#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR3522--MA0523.1.TCF7L2	chr2	31186192	31186205	-	0.000	0.000	Merged-chr2-31186156-11
NR1286--MA1421.1.TCF7L1	chr11	114387647	114387658	+	0.000	0.000	Merged-chr11-114387559-1
NR1563--MA0523.1.TCF7L2	chr12	106777762	106777775	-	0.000	0.000	Merged-chr12-106777834-6
NR1660--MA1421.1.TCF7L1	chr12	118255738	118255749	+	0.000	0.000	Merged-chr12-118255780-45
NR1645--MA0523.1.TCF7L2	chr12	116439703	116439716	-	0.000	0.000	Merged-chr12-116439612-8
NR3790--MA1421.1.TCF7L1	chr2	117089661	117089672	+	0.000	0.000	Merged-chr2-117089625-28
NR3341--MA0523.1.TCF7L2	chr19	32455179	32455192	+	0.000	0.000	Merged-chr19-32455050-22
NR4216--MA1421.1.TCF7L1	chr3	93522163	93522174	-	0.000	0.000	Merged-chr3-93522162-5
NR1723--MA0769.1.Tcf7	chr13	33071992	33072003	-	0.000	0.000	Merged-chr13-33072044-31
NR900--MA0523.1.TCF7L2	chr10	111031786	111031799	-	0.000	0.000	Merged-chr10-111031729-43
NR2463--MA1421.1.TCF7L1	chr15	73182578	73182589	+	0.000	0.000	Merged-chr15-73182706-35
NR3255--MA0523.1.TCF7L2	chr18	82607534	82607547	+	0.000	0.000	Merged-chr18-82607647-23
NR493--MA1421.1.TCF7L1	chr1	178629376	178629387	+	0.000	0.000	Merged-chr1-178629339-6
NR612--MA0769.1.Tcf7	chr10	12985173	12985184	-	0.000	0.000	Merged-chr10-12985296-24
NR5774--MA0769.1.Tcf7	chr6	137604952	137604963	-	0.000	0.000	Merged-chr6-137604948-13
NR3711--MA0523.1.TCF7L2	chr2	92256304	92256317	+	0.000	0.000	Merged-chr2-92256272-20
NR1150--MA0523.1.TCF7L2	chr11	75517407	75517420	-	0.000	0.000	Merged-chr11-75517304-2
NR852--MA0523.1.TCF7L2	chr10	95442547	95442560	-	0.000	0.000	Merged-chr10-95442476-5
NR5431--MA1421.1.TCF7L1	chr6	33675687	33675698	+	0.000	0.000	Merged-chr6-33675584-7
NR1630--MA1421.1.TCF7L1	chr12	114916907	114916918	-	0.000	0.000	Merged-chr12-114916975-5
NR261--MA1421.1.TCF7L1	chr1	127318709	127318720	+	0.000	0.000	Merged-chr1-127318690-2
NR5814--MA1421.1.TCF7L1	chr6	145268530	145268541	+	0.000	0.000	Merged-chr6-145268512-5
NR5646--MA1421.1.TCF7L1	chr6	108630913	108630924	-	0.000	0.000	Merged-chr6-108631007-44
NR2593--MA0523.1.TCF7L2	chr16	8472066	8472079	-	0.000	0.000	Merged-chr16-8472129-3
NR2241--MA0523.1.TCF7L2	chr14	101892407	101892420	-	0.000	0.000	Merged-chr14-101892350-14
NR3019--MA0523.1.TCF7L2	chr17	83832193	83832206	-	0.000	0.000	Merged-chr17-83832348-24
NR1883--MA1421.1.TCF7L1	chr13	91697295	91697306	+	0.000	0.000	Merged-chr13-91697201-18
NR2940--MA1421.1.TCF7L1	chr17	50148311	50148322	+	0.000	0.000	Merged-chr17-50148334-29
NR4959--MA1421.1.TCF7L1	chr5	8839300	8839311	-	0.000	0.000	Merged-chr5-8839426-88
NR4273--MA0769.1.Tcf7	chr3	106967025	106967036	-	0.000	0.000	Merged-chr3-106967057-110
NR3431--MA0523.1.TCF7L2	chr2	5003239	5003252	-	0.000	0.000	Merged-chr2-5003396-19
NR4148--MA0769.1.Tcf7	chr3	65537533	65537544	+	0.000	0.000	Merged-chr3-65537527-21
NR3794--MA1421.1.TCF7L1	chr2	117374269	117374280	-	0.000	0.000	Merged-chr2-117374468-47
NR4778--MA1421.1.TCF7L1	chr4	103113538	103113549	+	0.000	0.000	Merged-chr4-103113589-3
NR1722--MA0523.1.TCF7L2	chr13	33071990	33072003	-	0.000	0.000	Merged-chr13-33072044-31
NR3318--MA1421.1.TCF7L1	chr19	20931282	20931293	-	0.000	0.000	Merged-chr19-20931393-10
NR779--MA0769.1.Tcf7	chr10	78115089	78115100	-	0.000	0.000	Merged-chr10-78115092-14
NR5519--MA0523.1.TCF7L2	chr6	65585158	65585171	+	0.000	0.000	Merged-chr6-65585243-27
NR591--MA0769.1.Tcf7	chr10	5795542	5795553	-	0.000	0.000	Merged-chr10-5795457-7
NR7047--MA0523.1.TCF7L2	chrX	153896104	153896117	-	0.000	0.000	Merged-chrX-153896067-8
NR4272--MA0523.1.TCF7L2	chr3	106967023	106967036	-	0.000	0.000	Merged-chr3-106967057-110
NR5557--MA0523.1.TCF7L2	chr6	82744572	82744585	-	0.000	0.000	Merged-chr6-82744737-54
NR4135--MA0523.1.TCF7L2	chr3	60422472	60422485	+	0.000	0.000	Merged-chr3-60422418-15
NR3945--MA1421.1.TCF7L1	chr2	153211588	153211599	-	0.000	0.000	Merged-chr2-153211681-14
NR6915--MA0769.1.Tcf7	chr9	120961773	120961784	-	0.000	0.000	Merged-chr9-120961674-26
NR5740--MA0769.1.Tcf7	chr6	129917725	129917736	+	0.000	0.000	Merged-chr6-129917853-39
NR4431--MA0769.1.Tcf7	chr3	142436922	142436933	+	0.000	0.000	Merged-chr3-142437047-18
NR6913--MA1421.1.TCF7L1	chr9	120961773	120961784	-	0.000	0.000	Merged-chr9-120961674-26
NR2437--MA1421.1.TCF7L1	chr15	66899056	66899067	-	0.000	0.000	Merged-chr15-66899064-14
NR4939--MA0523.1.TCF7L2	chr4	150995032	150995045	+	0.000	0.000	Merged-chr4-150995020-21
NR4711--MA0523.1.TCF7L2	chr4	89393653	89393666	-	0.000	0.000	Merged-chr4-89393499-15
NR611--MA0523.1.TCF7L2	chr10	12985171	12985184	-	0.000	0.000	Merged-chr10-12985296-24
NR2941--MA0769.1.Tcf7	chr17	50148311	50148322	+	0.000	0.000	Merged-chr17-50148334-29
NR3603--MA0523.1.TCF7L2	chr2	59513724	59513737	+	0.000	0.000	Merged-chr2-59513816-12
NR4707--MA0523.1.TCF7L2	chr4	89302226	89302239	+	0.000	0.000	Merged-chr4-89302202-17
NR3391--MA0769.1.Tcf7	chr19	53395846	53395857	-	0.000	0.000	Merged-chr19-53395914-16
NR5647--MA0769.1.Tcf7	chr6	108630913	108630924	-	0.000	0.000	Merged-chr6-108631007-44
NR3528--MA1421.1.TCF7L1	chr2	34198752	34198763	+	0.000	0.000	Merged-chr2-34198771-20
NR4276--MA0523.1.TCF7L2	chr3	107185708	107185721	+	0.000	0.000	Merged-chr3-107185785-15
NR176--MA0523.1.TCF7L2	chr1	87378187	87378200	-	0.000	0.000	Merged-chr1-87378193-21
NR3433--MA1421.1.TCF7L1	chr2	5003345	5003356	+	0.000	0.000	Merged-chr2-5003396-19
NR778--MA0523.1.TCF7L2	chr10	78115087	78115100	-	0.000	0.000	Merged-chr10-78115092-14
NR5189--MA1421.1.TCF7L1	chr5	98161160	98161171	-	0.000	0.000	Merged-chr5-98160972-1
NR2400--MA0769.1.Tcf7	chr15	60136827	60136838	-	0.000	0.000	Merged-chr15-60136862-12
NR5437--MA0769.1.Tcf7	chr6	35462670	35462681	-	0.000	0.000	Merged-chr6-35462751-23
NR2399--MA0523.1.TCF7L2	chr15	60136825	60136838	-	0.000	0.000	Merged-chr15-60136862-12
NR1122--MA1421.1.TCF7L1	chr11	68498959	68498970	-	0.000	0.000	Merged-chr11-68499042-49
NR5549--MA0769.1.Tcf7	chr6	71638554	71638565	-	0.000	0.000	Merged-chr6-71638648-13
NR5716--MA0523.1.TCF7L2	chr6	128474316	128474329	+	0.000	0.000	Merged-chr6-128474299-11
NR1107--MA0523.1.TCF7L2	chr11	62815729	62815742	-	0.000	0.000	Merged-chr11-62815685-10
NR2651--MA1421.1.TCF7L1	chr16	31571070	31571081	+	0.000	0.000	Merged-chr16-31571020-15
NR5491--MA0523.1.TCF7L2	chr6	54991451	54991464	-	0.000	0.000	Merged-chr6-54991459-9
NR4781--MA1421.1.TCF7L1	chr4	103174433	103174444	-	0.000	0.000	Merged-chr4-103174438-7
NR2629--MA0769.1.Tcf7	chr16	24527150	24527161	+	0.000	0.000	Merged-chr16-24527284-22
NR1484--MA0523.1.TCF7L2	chr12	82326574	82326587	-	0.000	0.000	Merged-chr12-82326673-11
NR2535--MA0769.1.Tcf7	chr15	94259920	94259931	-	0.000	0.000	Merged-chr15-94259724-7
NR2397--MA1421.1.TCF7L1	chr15	59641420	59641431	+	0.000	0.000	Merged-chr15-59641442-25
NR1758--MA1421.1.TCF7L1	chr13	44395000	44395011	-	0.000	0.000	Merged-chr13-44394997-10
NR1217--MA0769.1.Tcf7	chr11	98925362	98925373	-	0.000	0.000	Merged-chr11-98925291-3
NR2553--MA0769.1.Tcf7	chr15	98623469	98623480	+	0.000	0.000	Merged-chr15-98623504-45
NR3910--MA1421.1.TCF7L1	chr2	147738039	147738050	-	0.000	0.000	Merged-chr2-147737931-1
NR2428--MA1421.1.TCF7L1	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR1253--MA0769.1.Tcf7	chr11	106958390	106958401	-	0.000	0.000	Merged-chr11-106958567-20
NR1128--MA0523.1.TCF7L2	chr11	70113939	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR2415--MA1421.1.TCF7L1	chr15	62374854	62374865	+	0.000	0.000	Merged-chr15-62374783-6
NR6805--MA1421.1.TCF7L1	chr9	95834855	95834866	+	0.000	0.000	Merged-chr9-95834941-16
NR6914--MA0523.1.TCF7L2	chr9	120961771	120961784	-	0.000	0.000	Merged-chr9-120961674-26
NR5711--MA0523.1.TCF7L2	chr6	127617488	127617501	+	0.000	0.000	Merged-chr6-127617353-34
NR1126--MA1421.1.TCF7L1	chr11	69657355	69657366	+	0.000	0.000	Merged-chr11-69657391-5
NR6580--MA1421.1.TCF7L1	chr9	14248415	14248426	-	0.000	0.000	Merged-chr9-14248366-20
NR3628--MA0523.1.TCF7L2	chr2	68882157	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR5773--MA1421.1.TCF7L1	chr6	137604952	137604963	-	0.000	0.000	Merged-chr6-137604948-13
NR6036--MA0769.1.Tcf7	chr7	84166258	84166269	+	0.000	0.000	Merged-chr7-84166236-11
NR866--MA1421.1.TCF7L1	chr10	96350787	96350798	-	0.000	0.000	Merged-chr10-96350967-23
NR4783--MA0769.1.Tcf7	chr4	103174433	103174444	-	0.000	0.000	Merged-chr4-103174438-7
NR4709--MA1421.1.TCF7L1	chr4	89359670	89359681	-	0.000	0.000	Merged-chr4-89359690-21
NR5752--MA0769.1.Tcf7	chr6	134117838	134117849	-	0.000	0.000	Merged-chr6-134117779-3
NR6972--MA0769.1.Tcf7	chrX	57185001	57185012	+	0.000	0.000	Merged-chrX-57185087-24
NR590--MA1421.1.TCF7L1	chr10	5795542	5795553	-	0.000	0.000	Merged-chr10-5795457-7
NR5322--MA1421.1.TCF7L1	chr5	137870834	137870845	+	0.000	0.000	Merged-chr5-137870793-17
NR631--MA0769.1.Tcf7	chr10	22163948	22163959	+	0.000	0.000	Merged-chr10-22163837-17
NR3516--MA0523.1.TCF7L2	chr2	30112724	30112737	-	0.000	0.000	Merged-chr2-30112786-18
NR5575--MA1421.1.TCF7L1	chr6	86754831	86754842	+	0.000	0.000	Merged-chr6-86754818-10
NR2747--MA0523.1.TCF7L2	chr16	75920967	75920980	-	0.000	0.000	Merged-chr16-75921068-56
