#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed
NR6835--MA0742.1.Klf12	chr10	95193989	95194003	-	0.000	0.000	Merged-chr10-95194130-23
NR1066--MA0039.3.KLF4	chr1	75213261	75213271	-	0.000	0.000	Merged-chr1-75213327-22
NR56622--MA0039.3.KLF4	chr7	101466456	101466466	-	0.000	0.000	Merged-chr7-101466620-78
NR38755--MA1107.1.KLF9	chr3	87840998	87841010	+	0.000	0.000	Merged-chr3-87841057-16
NR19659--MA1107.1.KLF9	chr14	74797449	74797461	-	0.000	0.000	Merged-chr14-74797519-9
NR40276--MA0740.1.KLF14	chr3	131126009	131126022	-	0.000	0.000	Merged-chr3-131125958-32
NR65134--MA0493.1.Klf1	chr9	118059292	118059302	+	0.000	0.000	Merged-chr9-118059304-13
NR31355--MA0493.1.Klf1	chr19	23388475	23388485	-	0.000	0.000	Merged-chr19-23388451-6
NR31060--MA0599.1.KLF5	chr19	9116470	9116479	-	0.000	0.000	Merged-chr19-9116540-6
NR28735--MA0599.1.KLF5	chr17	88143136	88143145	+	0.000	0.000	Merged-chr17-88142994-11
NR23843--MA0741.1.KLF16	chr16	17177860	17177870	+	0.000	0.000	Merged-chr16-17177816-6
NR65833--MA0599.1.KLF5	chrX	20798977	20798986	-	0.000	0.000	Merged-chrX-20799052-1
NR49562--MA0741.1.KLF16	chr5	139377552	139377562	-	0.000	0.000	Merged-chr5-139377554-24
NR44708--MA0742.1.Klf12	chr4	141433417	141433431	-	0.000	0.000	Merged-chr4-141433469-3
NR58834--MA0740.1.KLF14	chr8	25578491	25578504	-	0.000	0.000	Merged-chr8-25578502-39
NR22992--MA0742.1.Klf12	chr15	98907988	98908002	+	0.000	0.000	Merged-chr15-98907951-8
NR65133--MA0039.3.KLF4	chr9	118059294	118059304	+	0.000	0.000	Merged-chr9-118059304-13
NR38753--MA0741.1.KLF16	chr3	87841001	87841011	+	0.000	0.000	Merged-chr3-87841057-16
NR49571--MA1107.1.KLF9	chr5	139377609	139377621	-	0.000	0.000	Merged-chr5-139377554-24
NR26636--MA0742.1.Klf12	chr17	29638104	29638118	+	0.000	0.000	Merged-chr17-29638161-9
NR47845--MA0599.1.KLF5	chr5	112239656	112239665	-	0.000	0.000	Merged-chr5-112239781-12
NR13017--MA0039.3.KLF4	chr12	25155528	25155538	-	0.000	0.000	Merged-chr12-25155613-40
NR53855--MA1107.1.KLF9	chr6	145135508	145135520	-	0.000	0.000	Merged-chr6-145135361-11
NR3721--MA0039.3.KLF4	chr1	181228989	181228999	+	0.000	0.000	Merged-chr1-181229140-10
NR16115--MA0741.1.KLF16	chr13	49371629	49371639	+	0.000	0.000	Merged-chr13-49371654-30
NR55154--MA0599.1.KLF5	chr7	31028759	31028768	+	0.000	0.000	Merged-chr7-31028766-21
NR9925--MA1107.1.KLF9	chr11	69981321	69981333	-	0.000	0.000	Merged-chr11-69981377-5
NR2507--MA0493.1.Klf1	chr1	151382181	151382191	+	0.000	0.000	Merged-chr1-151382217-13
NR46871--MA0493.1.Klf1	chr5	73206407	73206417	-	0.000	0.000	Merged-chr5-73206518-35
NR31719--MA0599.1.KLF5	chr19	40661295	40661304	+	0.000	0.000	Merged-chr19-40661209-23
NR45195--MA0741.1.KLF16	chr4	150894754	150894764	+	0.000	0.000	Merged-chr4-150894695-19
NR895--MA0740.1.KLF14	chr1	66878637	66878650	+	0.000	0.000	Merged-chr1-66878572-10
NR52583--MA0599.1.KLF5	chr6	119199131	119199140	+	0.000	0.000	Merged-chr6-119199024-52
NR4543--MA0740.1.KLF14	chr10	8370347	8370360	+	0.000	0.000	Merged-chr10-8370203-10
NR23746--MA0039.3.KLF4	chr16	11502719	11502729	+	0.000	0.000	Merged-chr16-11502658-14
NR24630--MA0742.1.Klf12	chr16	55924216	55924230	+	0.000	0.000	Merged-chr16-55924140-18
NR12369--MA0740.1.KLF14	chr11	117792459	117792472	-	0.000	0.000	Merged-chr11-117792399-10
NR49567--MA0741.1.KLF16	chr5	139377608	139377618	-	0.000	0.000	Merged-chr5-139377554-24
NR16186--MA0740.1.KLF14	chr13	51781679	51781692	+	0.000	0.000	Merged-chr13-51781746-17
NR30787--MA0741.1.KLF16	chr19	4943123	4943133	+	0.000	0.000	Merged-chr19-4942974-44
NR33473--MA0493.1.Klf1	chr2	32834827	32834837	+	0.000	0.000	Merged-chr2-32834738-24
NR36760--MA0741.1.KLF16	chr2	164913585	164913595	-	0.000	0.000	Merged-chr2-164913622-30
NR31722--MA0039.3.KLF4	chr19	40665956	40665966	-	0.000	0.000	Merged-chr19-40666029-20
NR20984--MA0599.1.KLF5	chr15	34096547	34096556	-	0.000	0.000	Merged-chr15-34096594-23
NR51143--MA1107.1.KLF9	chr6	51533580	51533592	-	0.000	0.000	Merged-chr6-51533616-16
NR67041--MA1107.1.KLF9	chrX	169973437	169973449	+	0.000	0.000	Merged-chrX-169973362-71
NR31607--MA0493.1.Klf1	chr19	37110671	37110681	+	0.000	0.000	Merged-chr19-37110576-17
NR52579--MA0599.1.KLF5	chr6	119199111	119199120	+	0.000	0.000	Merged-chr6-119199024-52
NR10493--MA0740.1.KLF14	chr11	83637043	83637056	-	0.000	0.000	Merged-chr11-83637048-8
NR53851--MA0742.1.Klf12	chr6	145135517	145135531	+	0.000	0.000	Merged-chr6-145135361-11
NR58544--MA1107.1.KLF9	chr8	11107239	11107251	-	0.000	0.000	Merged-chr8-11107220-18
NR896--MA0657.1.KLF13	chr1	66878636	66878653	+	0.000	0.000	Merged-chr1-66878572-10
NR16575--MA0493.1.Klf1	chr13	65070137	65070147	+	0.000	0.000	Merged-chr13-65070187-24
NR34559--MA0493.1.Klf1	chr2	91078388	91078398	-	0.000	0.000	Merged-chr2-91078502-21
NR39569--MA1107.1.KLF9	chr3	105900446	105900458	-	0.000	0.000	Merged-chr3-105900628-63
NR11221--MA0741.1.KLF16	chr11	98925112	98925122	-	0.000	0.000	Merged-chr11-98925291-3
NR4544--MA0657.1.KLF13	chr10	8370346	8370363	+	0.000	0.000	Merged-chr10-8370203-10
NR39566--MA0742.1.Klf12	chr3	105900444	105900458	-	0.000	0.000	Merged-chr3-105900628-63
NR24635--MA0039.3.KLF4	chr16	55924233	55924243	+	0.000	0.000	Merged-chr16-55924140-18
NR32944--MA0742.1.Klf12	chr2	25480732	25480746	-	0.000	0.000	Merged-chr2-25480802-4
NR56628--MA0740.1.KLF14	chr7	101537734	101537747	-	0.000	0.000	Merged-chr7-101537821-5
NR55620--MA0493.1.Klf1	chr7	48132275	48132285	+	0.000	0.000	Merged-chr7-48132201-46
NR47858--MA0039.3.KLF4	chr5	112239789	112239799	-	0.000	0.000	Merged-chr5-112239781-12
NR9993--MA1107.1.KLF9	chr11	70622583	70622595	-	0.000	0.000	Merged-chr11-70622499-26
NR16574--MA0039.3.KLF4	chr13	65070139	65070149	+	0.000	0.000	Merged-chr13-65070187-24
NR16187--MA0657.1.KLF13	chr13	51781678	51781695	+	0.000	0.000	Merged-chr13-51781746-17
NR24628--MA0740.1.KLF14	chr16	55924216	55924229	+	0.000	0.000	Merged-chr16-55924140-18
NR55924--MA0742.1.Klf12	chr7	67444542	67444556	-	0.000	0.000	Merged-chr7-67444614-20
NR43766--MA0742.1.Klf12	chr4	129621212	129621226	+	0.000	0.000	Merged-chr4-129621333-30
NR6389--MA0599.1.KLF5	chr10	81401779	81401788	-	0.000	0.000	Merged-chr10-81401925-26
NR1065--MA0599.1.KLF5	chr1	75213263	75213272	-	0.000	0.000	Merged-chr1-75213327-22
NR24246--MA0741.1.KLF16	chr16	32658895	32658905	+	0.000	0.000	Merged-chr16-32659000-27
NR56621--MA0599.1.KLF5	chr7	101466458	101466467	-	0.000	0.000	Merged-chr7-101466620-78
NR16108--MA0742.1.Klf12	chr13	49298703	49298717	+	0.000	0.000	Merged-chr13-49298668-48
NR11167--MA0599.1.KLF5	chr11	98510400	98510409	+	0.000	0.000	Merged-chr11-98510270-21
NR32895--MA0599.1.KLF5	chr2	25148074	25148083	+	0.000	0.000	Merged-chr2-25148103-14
NR17593--MA1107.1.KLF9	chr13	104937903	104937915	+	0.000	0.000	Merged-chr13-104937983-19
NR5477--MA0740.1.KLF14	chr10	62247946	62247959	-	0.000	0.000	Merged-chr10-62247968-20
NR42776--MA0039.3.KLF4	chr4	101235188	101235198	+	0.000	0.000	Merged-chr4-101235092-24
NR5765--MA0599.1.KLF5	chr10	75536382	75536391	-	0.000	0.000	Merged-chr10-75536310-39
NR16189--MA0741.1.KLF16	chr13	51781680	51781690	+	0.000	0.000	Merged-chr13-51781746-17
NR3123--MA1107.1.KLF9	chr1	166429125	166429137	-	0.000	0.000	Merged-chr1-166429186-23
NR26641--MA1107.1.KLF9	chr17	29638104	29638116	+	0.000	0.000	Merged-chr17-29638161-9
NR47412--MA0740.1.KLF14	chr5	100485640	100485653	-	0.000	0.000	Merged-chr5-100485645-6
NR24639--MA0741.1.KLF16	chr16	55924232	55924242	+	0.000	0.000	Merged-chr16-55924140-18
NR20900--MA0599.1.KLF5	chr15	25865811	25865820	-	0.000	0.000	Merged-chr15-25865817-16
NR48430--MA0493.1.Klf1	chr5	121100550	121100560	+	0.000	0.000	Merged-chr5-121100615-3
NR47466--MA0742.1.Klf12	chr5	100872339	100872353	-	0.000	0.000	Merged-chr5-100872198-32
NR16190--MA1107.1.KLF9	chr13	51781679	51781691	+	0.000	0.000	Merged-chr13-51781746-17
NR17589--MA1107.1.KLF9	chr13	104937895	104937907	+	0.000	0.000	Merged-chr13-104937983-19
NR43325--MA1107.1.KLF9	chr4	120053610	120053622	-	0.000	0.000	Merged-chr4-120053646-59
NR56630--MA0493.1.Klf1	chr7	101537737	101537747	-	0.000	0.000	Merged-chr7-101537821-5
NR11226--MA0741.1.KLF16	chr11	98925117	98925127	-	0.000	0.000	Merged-chr11-98925291-3
NR13016--MA0599.1.KLF5	chr12	25155530	25155539	-	0.000	0.000	Merged-chr12-25155613-40
NR3720--MA0599.1.KLF5	chr1	181228988	181228997	+	0.000	0.000	Merged-chr1-181229140-10
NR17769--MA0741.1.KLF16	chr13	109239168	109239178	-	0.000	0.000	Merged-chr13-109239401-35
NR42128--MA1107.1.KLF9	chr4	46508193	46508205	-	0.000	0.000	Merged-chr4-46508172-31
NR6523--MA1107.1.KLF9	chr10	83336548	83336560	-	0.000	0.000	Merged-chr10-83336542-10
NR1509--MA0740.1.KLF14	chr1	97613886	97613899	+	0.000	0.000	Merged-chr1-97613912-17
NR30381--MA0740.1.KLF14	chr18	80178394	80178407	+	0.000	0.000	Merged-chr18-80178605-23
NR66419--MA0493.1.Klf1	chrX	102061020	102061030	+	0.000	0.000	Merged-chrX-102061073-12
NR9956--MA0741.1.KLF16	chr11	70229094	70229104	-	0.000	0.000	Merged-chr11-70229187-24
NR58833--MA0599.1.KLF5	chr8	25578445	25578454	+	0.000	0.000	Merged-chr8-25578502-39
NR47413--MA0657.1.KLF13	chr5	100485637	100485654	-	0.000	0.000	Merged-chr5-100485645-6
NR34174--MA0039.3.KLF4	chr2	72874554	72874564	-	0.000	0.000	Merged-chr2-72874420-46
NR47919--MA0599.1.KLF5	chr5	112311049	112311058	+	0.000	0.000	Merged-chr5-112310969-9
NR21774--MA0039.3.KLF4	chr15	76799673	76799683	+	0.000	0.000	Merged-chr15-76799596-17
NR42925--MA1107.1.KLF9	chr4	107357966	107357978	+	0.000	0.000	Merged-chr4-107358068-17
NR24475--MA0039.3.KLF4	chr16	44811655	44811665	+	0.000	0.000	Merged-chr16-44811713-22
NR19894--MA0039.3.KLF4	chr14	86744695	86744705	-	0.000	0.000	Merged-chr14-86744622-36
NR58832--MA1107.1.KLF9	chr8	25578423	25578435	+	0.000	0.000	Merged-chr8-25578502-39
NR61952--MA0741.1.KLF16	chr9	21601282	21601292	-	0.000	0.000	Merged-chr9-21601283-11
NR19658--MA0493.1.Klf1	chr14	74797451	74797461	-	0.000	0.000	Merged-chr14-74797519-9
NR652--MA1107.1.KLF9	chr1	53970821	53970833	-	0.000	0.000	Merged-chr1-53970777-7
NR17294--MA1107.1.KLF9	chr13	98737375	98737387	+	0.000	0.000	Merged-chr13-98737529-22
NR17605--MA0741.1.KLF16	chr13	104937969	104937979	-	0.000	0.000	Merged-chr13-104937983-19
NR4600--MA0599.1.KLF5	chr10	12929348	12929357	-	0.000	0.000	Merged-chr10-12929241-10
NR26--MA0039.3.KLF4	chr1	7206454	7206464	+	0.000	0.000	Merged-chr1-7206621-34
NR39565--MA0740.1.KLF14	chr3	105900445	105900458	-	0.000	0.000	Merged-chr3-105900628-63
NR24937--MA1107.1.KLF9	chr16	78606415	78606427	-	0.000	0.000	Merged-chr16-78606501-17
NR32943--MA0740.1.KLF14	chr2	25480733	25480746	-	0.000	0.000	Merged-chr2-25480802-4
NR46749--MA0599.1.KLF5	chr5	65850934	65850943	-	0.000	0.000	Merged-chr5-65850971-35
NR30382--MA0657.1.KLF13	chr18	80178393	80178410	+	0.000	0.000	Merged-chr18-80178605-23
NR43765--MA0740.1.KLF14	chr4	129621212	129621225	+	0.000	0.000	Merged-chr4-129621333-30
NR47851--MA1107.1.KLF9	chr5	112239639	112239651	-	0.000	0.000	Merged-chr5-112239781-12
NR38688--MA0599.1.KLF5	chr3	84630976	84630985	-	0.000	0.000	Merged-chr3-84630888-13
NR12857--MA1107.1.KLF9	chr12	16580528	16580540	-	0.000	0.000	Merged-chr12-16580677-15
NR17608--MA1107.1.KLF9	chr13	104937962	104937974	-	0.000	0.000	Merged-chr13-104937983-19
NR23450--MA0599.1.KLF5	chr15	102533746	102533755	-	0.000	0.000	Merged-chr15-102533867-9
NR42781--MA0741.1.KLF16	chr4	101235187	101235197	+	0.000	0.000	Merged-chr4-101235092-24
NR43823--MA1107.1.KLF9	chr4	130017554	130017566	-	0.000	0.000	Merged-chr4-130017376-16
NR774--MA0493.1.Klf1	chr1	58953882	58953892	+	0.000	0.000	Merged-chr1-58953999-17
NR31720--MA0741.1.KLF16	chr19	40661295	40661305	+	0.000	0.000	Merged-chr19-40661209-23
NR40277--MA0741.1.KLF16	chr3	131126011	131126021	-	0.000	0.000	Merged-chr3-131125958-32
NR17766--MA0599.1.KLF5	chr13	109239171	109239180	-	0.000	0.000	Merged-chr13-109239401-35
NR11230--MA1107.1.KLF9	chr11	98925103	98925115	-	0.000	0.000	Merged-chr11-98925291-3
NR21275--MA0599.1.KLF5	chr15	57921706	57921715	+	0.000	0.000	Merged-chr15-57921644-21
NR55801--MA0493.1.Klf1	chr7	64048785	64048795	-	0.000	0.000	Merged-chr7-64048843-48
NR15512--MA0742.1.Klf12	chr13	21200601	21200615	+	0.000	0.000	Merged-chr13-21200734-1
NR30550--MA1107.1.KLF9	chr18	84159107	84159119	+	0.000	0.000	Merged-chr18-84159275-32
NR30384--MA0741.1.KLF16	chr18	80178395	80178405	+	0.000	0.000	Merged-chr18-80178605-23
NR5839--MA0741.1.KLF16	chr10	77264474	77264484	+	0.000	0.000	Merged-chr10-77264465-20
NR56632--MA0741.1.KLF16	chr7	101555584	101555594	+	0.000	0.000	Merged-chr7-101555691-65
NR43815--MA0493.1.Klf1	chr4	130017254	130017264	+	0.000	0.000	Merged-chr4-130017376-16
NR55921--MA0039.3.KLF4	chr7	67425610	67425620	+	0.000	0.000	Merged-chr7-67425669-21
NR60838--MA0039.3.KLF4	chr8	115531468	115531478	+	0.000	0.000	Merged-chr8-115531430-21
NR31614--MA0493.1.Klf1	chr19	37333607	37333617	+	0.000	0.000	Merged-chr19-37333490-26
NR51040--MA0742.1.Klf12	chr6	48693966	48693980	-	0.000	0.000	Merged-chr6-48693973-35
NR32170--MA0039.3.KLF4	chr19	55260947	55260957	+	0.000	0.000	Merged-chr19-55260920-21
NR61304--MA0741.1.KLF16	chr8	123341734	123341744	+	0.000	0.000	Merged-chr8-123341706-13
NR51142--MA0493.1.Klf1	chr6	51533557	51533567	+	0.000	0.000	Merged-chr6-51533616-16
NR20955--MA0493.1.Klf1	chr15	31117642	31117652	-	0.000	0.000	Merged-chr15-31117559-26
NR902--MA0741.1.KLF16	chr1	66897060	66897070	+	0.000	0.000	Merged-chr1-66897217-4
NR58543--MA0741.1.KLF16	chr8	11107240	11107250	-	0.000	0.000	Merged-chr8-11107220-18
NR47847--MA0039.3.KLF4	chr5	112239645	112239655	-	0.000	0.000	Merged-chr5-112239781-12
NR50289--MA1107.1.KLF9	chr5	149594188	149594200	+	0.000	0.000	Merged-chr5-149594297-11
NR42783--MA1107.1.KLF9	chr4	101235184	101235196	+	0.000	0.000	Merged-chr4-101235092-24
NR55926--MA0039.3.KLF4	chr7	67444544	67444554	-	0.000	0.000	Merged-chr7-67444614-20
NR57494--MA0599.1.KLF5	chr7	127137855	127137864	+	0.000	0.000	Merged-chr7-127137762-54
NR56624--MA0741.1.KLF16	chr7	101466453	101466463	-	0.000	0.000	Merged-chr7-101466620-78
NR43819--MA0039.3.KLF4	chr4	130017552	130017562	-	0.000	0.000	Merged-chr4-130017376-16
NR54966--MA0039.3.KLF4	chr7	28609177	28609187	+	0.000	0.000	Merged-chr7-28609310-17
NR44441--MA0742.1.Klf12	chr4	138033648	138033662	-	0.000	0.000	Merged-chr4-138033707-13
NR65220--MA0657.1.KLF13	chr9	118863764	118863781	-	0.000	0.000	Merged-chr9-118863800-9
NR43767--MA0599.1.KLF5	chr4	129621213	129621222	+	0.000	0.000	Merged-chr4-129621333-30
NR39568--MA0493.1.Klf1	chr3	105900448	105900458	-	0.000	0.000	Merged-chr3-105900628-63
NR28470--MA0493.1.Klf1	chr17	84032431	84032441	+	0.000	0.000	Merged-chr17-84032623-33
NR8777--MA0493.1.Klf1	chr11	22833804	22833814	-	0.000	0.000	Merged-chr11-22833941-10
NR62871--MA1107.1.KLF9	chr9	57759486	57759498	+	0.000	0.000	Merged-chr9-57759618-20
NR49397--MA0493.1.Klf1	chr5	137645179	137645189	+	0.000	0.000	Merged-chr5-137645230-22
NR52496--MA0741.1.KLF16	chr6	115972919	115972929	-	0.000	0.000	Merged-chr6-115972922-11
NR21773--MA0599.1.KLF5	chr15	76799672	76799681	+	0.000	0.000	Merged-chr15-76799596-17
NR33636--MA0741.1.KLF16	chr2	35729724	35729734	-	0.000	0.000	Merged-chr2-35729635-16
NR4545--MA0742.1.Klf12	chr10	8370347	8370361	+	0.000	0.000	Merged-chr10-8370203-10
NR9087--MA0039.3.KLF4	chr11	48823885	48823895	+	0.000	0.000	Merged-chr11-48823880-45
NR9097--MA0493.1.Klf1	chr11	49051306	49051316	+	0.000	0.000	Merged-chr11-49051380-85
NR55799--MA0742.1.Klf12	chr7	64048781	64048795	-	0.000	0.000	Merged-chr7-64048843-48
NR48432--MA1107.1.KLF9	chr5	121100545	121100557	+	0.000	0.000	Merged-chr5-121100615-3
NR43323--MA1107.1.KLF9	chr4	120053606	120053618	-	0.000	0.000	Merged-chr4-120053646-59
NR32168--MA0657.1.KLF13	chr19	55260944	55260961	+	0.000	0.000	Merged-chr19-55260920-21
NR14962--MA0741.1.KLF16	chr12	112994353	112994363	+	0.000	0.000	Merged-chr12-112994371-22
NR3122--MA0493.1.Klf1	chr1	166429127	166429137	-	0.000	0.000	Merged-chr1-166429186-23
NR31480--MA1107.1.KLF9	chr19	32216868	32216880	+	0.000	0.000	Merged-chr19-32216974-24
NR5834--MA0740.1.KLF14	chr10	77264471	77264484	+	0.000	0.000	Merged-chr10-77264465-20
NR26640--MA0493.1.Klf1	chr17	29638104	29638114	+	0.000	0.000	Merged-chr17-29638161-9
NR17596--MA1107.1.KLF9	chr13	104937909	104937921	+	0.000	0.000	Merged-chr13-104937983-19
NR22993--MA0599.1.KLF5	chr15	98907989	98907998	+	0.000	0.000	Merged-chr15-98907951-8
NR25--MA0599.1.KLF5	chr1	7206453	7206462	+	0.000	0.000	Merged-chr1-7206621-34
NR19204--MA0599.1.KLF5	chr14	55913577	55913586	+	0.000	0.000	Merged-chr14-55913661-13
NR65224--MA0493.1.Klf1	chr9	118863770	118863780	-	0.000	0.000	Merged-chr9-118863800-9
NR11169--MA1107.1.KLF9	chr11	98510405	98510417	+	0.000	0.000	Merged-chr11-98510270-21
NR49528--MA0599.1.KLF5	chr5	139290677	139290686	+	0.000	0.000	Merged-chr5-139290875-38
NR56629--MA0599.1.KLF5	chr7	101537737	101537746	-	0.000	0.000	Merged-chr7-101537821-5
NR17181--MA0599.1.KLF5	chr13	95524222	95524231	+	0.000	0.000	Merged-chr13-95524264-2
NR19561--MA1107.1.KLF9	chr14	69774963	69774975	-	0.000	0.000	Merged-chr14-69774788-96
NR6764--MA0599.1.KLF5	chr10	93326907	93326916	+	0.000	0.000	Merged-chr10-93326815-10
NR42923--MA1107.1.KLF9	chr4	107357936	107357948	+	0.000	0.000	Merged-chr4-107358068-17
NR4547--MA0039.3.KLF4	chr10	8370349	8370359	+	0.000	0.000	Merged-chr10-8370203-10
NR57153--MA0742.1.Klf12	chr7	118254247	118254261	+	0.000	0.000	Merged-chr7-118254195-24
NR12371--MA0741.1.KLF16	chr11	117792461	117792471	-	0.000	0.000	Merged-chr11-117792399-10
NR33628--MA0741.1.KLF16	chr2	35448825	35448835	-	0.000	0.000	Merged-chr2-35448714-11
NR38751--MA0039.3.KLF4	chr3	87841000	87841010	+	0.000	0.000	Merged-chr3-87841057-16
NR49564--MA0599.1.KLF5	chr5	139377605	139377614	-	0.000	0.000	Merged-chr5-139377554-24
NR60925--MA1107.1.KLF9	chr8	117320831	117320843	+	0.000	0.000	Merged-chr8-117320786-24
NR48429--MA0493.1.Klf1	chr5	121100545	121100555	+	0.000	0.000	Merged-chr5-121100615-3
NR6522--MA0493.1.Klf1	chr10	83336550	83336560	-	0.000	0.000	Merged-chr10-83336542-10
NR28072--MA1107.1.KLF9	chr17	72079250	72079262	-	0.000	0.000	Merged-chr17-72079335-3
NR24287--MA0599.1.KLF5	chr16	33694856	33694865	-	0.000	0.000	Merged-chr16-33694670-5
NR47469--MA0493.1.Klf1	chr5	100872343	100872353	-	0.000	0.000	Merged-chr5-100872198-32
NR47920--MA0039.3.KLF4	chr5	112311050	112311060	+	0.000	0.000	Merged-chr5-112310969-9
NR44445--MA1107.1.KLF9	chr4	138033650	138033662	-	0.000	0.000	Merged-chr4-138033707-13
NR48428--MA0039.3.KLF4	chr5	121100547	121100557	+	0.000	0.000	Merged-chr5-121100615-3
NR6867--MA0493.1.Klf1	chr10	96118232	96118242	-	0.000	0.000	Merged-chr10-96118246-10
NR3120--MA0742.1.Klf12	chr1	166429123	166429137	-	0.000	0.000	Merged-chr1-166429186-23
NR21772--MA0742.1.Klf12	chr15	76799671	76799685	+	0.000	0.000	Merged-chr15-76799596-17
NR26820--MA0741.1.KLF16	chr17	32492562	32492572	+	0.000	0.000	Merged-chr17-32492576-17
NR24632--MA0599.1.KLF5	chr16	55924217	55924226	+	0.000	0.000	Merged-chr16-55924140-18
NR52589--MA0741.1.KLF16	chr6	119199105	119199115	+	0.000	0.000	Merged-chr6-119199024-52
NR5478--MA0599.1.KLF5	chr10	62247949	62247958	-	0.000	0.000	Merged-chr10-62247968-20
NR15245--MA0740.1.KLF14	chr12	118411982	118411995	+	0.000	0.000	Merged-chr12-118411992-13
NR63061--MA0740.1.KLF14	chr9	62026863	62026876	-	0.000	0.000	Merged-chr9-62026837-17
NR55925--MA0599.1.KLF5	chr7	67444546	67444555	-	0.000	0.000	Merged-chr7-67444614-20
NR63016--MA0741.1.KLF16	chr9	61619053	61619063	+	0.000	0.000	Merged-chr9-61618943-7
