#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR1413--MA0037.3.GATA3	chr12	25270024	25270031	+	0.000	0.000	Merged-chr12-25270049-10
NR4177--MA0766.1.GATA5	chr2	115846630	115846637	+	0.000	0.000	Merged-chr2-115846585-1
NR1769--MA0140.2.GATA1::TAL1	chr12	118439063	118439080	-	0.000	0.000	Merged-chr12-118439012-3
NR4244--MA0482.1.Gata4	chr2	127923473	127923483	+	0.000	0.000	Merged-chr2-127923410-36
NR2638--MA0766.1.GATA5	chr15	82906893	82906900	+	0.000	0.000	Merged-chr15-82906941-10
NR1755--MA0036.3.GATA2	chr12	118255860	118255870	-	0.000	0.000	Merged-chr12-118255780-45
NR2246--MA1104.1.GATA6	chr14	30675115	30675127	+	0.000	0.000	Merged-chr14-30675172-26
NR1794--MA0140.2.GATA1::TAL1	chr13	13559105	13559122	+	0.000	0.000	Merged-chr13-13559096-31
NR7297--MA1104.1.GATA6	chr9	63785708	63785720	-	0.000	0.000	Merged-chr9-63785726-16
NR2328--MA0035.3.Gata1	chr14	61589873	61589883	-	0.000	0.000	Merged-chr14-61589696-23
NR3066--MA1104.1.GATA6	chr17	12165546	12165558	-	0.000	0.000	Merged-chr17-12165459-54
NR4112--MA0036.3.GATA2	chr2	102812792	102812802	-	0.000	0.000	Merged-chr2-102812992-26
NR1625--MA0036.3.GATA2	chr12	98247086	98247096	+	0.000	0.000	Merged-chr12-98247130-40
NR4253--MA1104.1.GATA6	chr2	128366015	128366027	+	0.000	0.000	Merged-chr2-128365920-27
NR3175--MA0037.3.GATA3	chr17	44893787	44893794	+	0.000	0.000	Merged-chr17-44893726-24
NR1421--MA0035.3.Gata1	chr12	25394412	25394422	+	0.000	0.000	Merged-chr12-25394494-23
NR3881--MA0766.1.GATA5	chr2	26154177	26154184	+	0.000	0.000	Merged-chr2-26154226-16
NR4813--MA0140.2.GATA1::TAL1	chr3	136531894	136531911	+	0.000	0.000	Merged-chr3-136531691-41
NR3000--MA0036.3.GATA2	chr16	92764918	92764928	-	0.000	0.000	Merged-chr16-92765010-8
NR4633--MA1104.1.GATA6	chr3	87487990	87488002	-	0.000	0.000	Merged-chr3-87488125-17
NR6176--MA0766.1.GATA5	chr6	130102978	130102985	-	0.000	0.000	Merged-chr6-130103023-31
NR2216--MA0766.1.GATA5	chr14	14019694	14019701	+	0.000	0.000	Merged-chr14-14019640-26
NR2739--MA0766.1.GATA5	chr15	103154445	103154452	-	0.000	0.000	Merged-chr15-103154383-18
NR2729--MA0036.3.GATA2	chr15	100312583	100312593	-	0.000	0.000	Merged-chr15-100312549-27
NR2806--MA0482.1.Gata4	chr16	24527149	24527159	-	0.000	0.000	Merged-chr16-24527284-22
NR5750--MA0482.1.Gata4	chr5	134326495	134326505	+	0.000	0.000	Merged-chr5-134326402-39
NR6179--MA0036.3.GATA2	chr6	130136665	130136675	+	0.000	0.000	Merged-chr6-130136655-31
NR6190--MA0482.1.Gata4	chr6	130419322	130419332	+	0.000	0.000	Merged-chr6-130419325-26
NR2552--MA0037.3.GATA3	chr15	52570471	52570478	-	0.000	0.000	Merged-chr15-52570490-21
NR1046--MA0140.2.GATA1::TAL1	chr11	21105546	21105563	+	0.000	0.000	Merged-chr11-21105658-1
NR4245--MA1104.1.GATA6	chr2	127923471	127923483	-	0.000	0.000	Merged-chr2-127923410-36
NR2809--MA0035.3.Gata1	chr16	24527150	24527160	-	0.000	0.000	Merged-chr16-24527284-22
NR4117--MA0036.3.GATA2	chr2	102852290	102852300	-	0.000	0.000	Merged-chr2-102852175-26
NR179--MA0482.1.Gata4	chr1	86048456	86048466	-	0.000	0.000	Merged-chr1-86048437-13
NR2326--MA1104.1.GATA6	chr14	61589872	61589884	+	0.000	0.000	Merged-chr14-61589696-23
NR6439--MA0766.1.GATA5	chr7	75863453	75863460	-	0.000	0.000	Merged-chr7-75863636-9
NR2527--MA0482.1.Gata4	chr15	31440061	31440071	+	0.000	0.000	Merged-chr15-31440136-19
NR1792--MA0766.1.GATA5	chr13	12412202	12412209	+	0.000	0.000	Merged-chr13-12412239-11
NR4320--MA0037.3.GATA3	chr2	146498566	146498573	-	0.000	0.000	Merged-chr2-146498425-8
NR2640--MA0037.3.GATA3	chr15	85469062	85469069	+	0.000	0.000	Merged-chr15-85469002-5
NR5031--MA0037.3.GATA3	chr4	43973613	43973620	-	0.000	0.000	Merged-chr4-43973629-28
NR2636--MA0482.1.Gata4	chr15	82906890	82906900	-	0.000	0.000	Merged-chr15-82906941-10
NR5742--MA0482.1.Gata4	chr5	124012995	124013005	-	0.000	0.000	Merged-chr5-124013138-22
NR1163--MA0036.3.GATA2	chr11	63148509	63148519	+	0.000	0.000	Merged-chr11-63148506-21
NR7563--MA0036.3.GATA2	chr9	123931829	123931839	+	0.000	0.000	Merged-chr9-123931993-21
NR2639--MA0035.3.Gata1	chr15	82906891	82906901	-	0.000	0.000	Merged-chr15-82906941-10
NR7670--MA1104.1.GATA6	chrX	160496685	160496697	-	0.000	0.000	Merged-chrX-160496581-5
NR3735--MA0766.1.GATA5	chr19	46613397	46613404	-	0.000	0.000	Merged-chr19-46613309-39
NR3977--MA0036.3.GATA2	chr2	65135718	65135728	-	0.000	0.000	Merged-chr2-65135725-7
NR2807--MA1104.1.GATA6	chr16	24527149	24527161	+	0.000	0.000	Merged-chr16-24527284-22
NR6419--MA1104.1.GATA6	chr7	58452223	58452235	-	0.000	0.000	Merged-chr7-58452206-46
NR76--MA0037.3.GATA3	chr1	62829840	62829847	+	0.000	0.000	Merged-chr1-62829921-36
NR7523--MA0482.1.Gata4	chr9	117911072	117911082	-	0.000	0.000	Merged-chr9-117910970-21
NR6191--MA1104.1.GATA6	chr6	130419320	130419332	-	0.000	0.000	Merged-chr6-130419325-26
NR7303--MA0036.3.GATA2	chr9	64779819	64779829	-	0.000	0.000	Merged-chr9-64779927-39
NR3882--MA0035.3.Gata1	chr2	26154175	26154185	-	0.000	0.000	Merged-chr2-26154226-16
NR6177--MA0035.3.Gata1	chr6	130102977	130102987	+	0.000	0.000	Merged-chr6-130103023-31
NR2217--MA0035.3.Gata1	chr14	14019692	14019702	-	0.000	0.000	Merged-chr14-14019640-26
NR2658--MA0037.3.GATA3	chr15	88730899	88730906	+	0.000	0.000	Merged-chr15-88731051-1
NR7526--MA0035.3.Gata1	chr9	117911073	117911083	-	0.000	0.000	Merged-chr9-117910970-21
NR4319--MA0036.3.GATA2	chr2	146416548	146416558	+	0.000	0.000	Merged-chr2-146416561-24
NR1766--MA0036.3.GATA2	chr12	118439072	118439082	-	0.000	0.000	Merged-chr12-118439012-3
NR3064--MA0037.3.GATA3	chr17	12165548	12165555	-	0.000	0.000	Merged-chr17-12165459-54
NR2349--MA0482.1.Gata4	chr14	66218980	66218990	+	0.000	0.000	Merged-chr14-66218968-32
NR6437--MA0482.1.Gata4	chr7	75863453	75863463	+	0.000	0.000	Merged-chr7-75863636-9
NR985--MA0036.3.GATA2	chr10	128990354	128990364	+	0.000	0.000	Merged-chr10-128990510-111
NR5411--MA0035.3.Gata1	chr5	19923935	19923945	+	0.000	0.000	Merged-chr5-19924023-2
NR5833--MA0036.3.GATA2	chr6	33051809	33051819	-	0.000	0.000	Merged-chr6-33051908-11
NR2661--MA0036.3.GATA2	chr15	88730897	88730907	-	0.000	0.000	Merged-chr15-88731051-1
NR1793--MA0035.3.Gata1	chr13	12412200	12412210	-	0.000	0.000	Merged-chr13-12412239-11
NR3720--MA0482.1.Gata4	chr19	40477465	40477475	-	0.000	0.000	Merged-chr19-40477377-1
NR409--MA1104.1.GATA6	chr1	163383831	163383843	+	0.000	0.000	Merged-chr1-163383772-21
NR5652--MA0482.1.Gata4	chr5	105192811	105192821	+	0.000	0.000	Merged-chr5-105192735-25
NR5703--MA0036.3.GATA2	chr5	115313584	115313594	+	0.000	0.000	Merged-chr5-115313738-19
NR3818--MA0036.3.GATA2	chr2	9688418	9688428	-	0.000	0.000	Merged-chr2-9688295-16
NR5965--MA0766.1.GATA5	chr6	86922089	86922096	-	0.000	0.000	Merged-chr6-86921974-19
NR7502--MA0766.1.GATA5	chr9	115526274	115526281	+	0.000	0.000	Merged-chr9-115526484-32
NR4243--MA0037.3.GATA3	chr2	127923473	127923480	-	0.000	0.000	Merged-chr2-127923410-36
NR7550--MA0482.1.Gata4	chr9	121059650	121059660	+	0.000	0.000	Merged-chr9-121059635-6
NR7524--MA1104.1.GATA6	chr9	117911072	117911084	+	0.000	0.000	Merged-chr9-117910970-21
NR6376--MA0482.1.Gata4	chr7	45374773	45374783	+	0.000	0.000	Merged-chr7-45374832-5
NR2738--MA0037.3.GATA3	chr15	103154445	103154452	-	0.000	0.000	Merged-chr15-103154383-18
NR1099--MA0036.3.GATA2	chr11	48928354	48928364	-	0.000	0.000	Merged-chr11-48928222-10
NR5848--MA0766.1.GATA5	chr6	39284046	39284053	+	0.000	0.000	Merged-chr6-39284001-16
NR6993--MA0036.3.GATA2	chr8	111955417	111955427	+	0.000	0.000	Merged-chr8-111955328-48
NR590--MA0035.3.Gata1	chr1	193198412	193198422	+	0.000	0.000	Merged-chr1-193198474-9
NR4965--MA0036.3.GATA2	chr4	3209832	3209842	-	0.000	0.000	Merged-chr4-3209817-19
NR836--MA0766.1.GATA5	chr10	96391849	96391856	+	0.000	0.000	Merged-chr10-96391802-8
NR6438--MA1104.1.GATA6	chr7	75863451	75863463	-	0.000	0.000	Merged-chr7-75863636-9
NR5743--MA0035.3.Gata1	chr5	124012996	124013006	-	0.000	0.000	Merged-chr5-124013138-22
NR6964--MA0035.3.Gata1	chr8	94969658	94969668	+	0.000	0.000	Merged-chr8-94969690-1
NR5033--MA0766.1.GATA5	chr4	43973613	43973620	-	0.000	0.000	Merged-chr4-43973629-28
NR5827--MA0766.1.GATA5	chr6	30230605	30230612	+	0.000	0.000	Merged-chr6-30230479-12
NR6930--MA0035.3.Gata1	chr8	75170928	75170938	+	0.000	0.000	Merged-chr8-75170941-1
NR7412--MA0482.1.Gata4	chr9	95836024	95836034	+	0.000	0.000	Merged-chr9-95835913-33
NR4811--MA0766.1.GATA5	chr3	136531893	136531900	-	0.000	0.000	Merged-chr3-136531691-41
NR1753--MA0482.1.Gata4	chr12	118255859	118255869	-	0.000	0.000	Merged-chr12-118255780-45
NR7030--MA0036.3.GATA2	chr8	116526174	116526184	-	0.000	0.000	Merged-chr8-116526092-12
NR3721--MA1104.1.GATA6	chr19	40477465	40477477	+	0.000	0.000	Merged-chr19-40477377-1
NR3149--MA0037.3.GATA3	chr17	28015735	28015742	-	0.000	0.000	Merged-chr17-28015703-1
NR5653--MA1104.1.GATA6	chr5	105192809	105192821	-	0.000	0.000	Merged-chr5-105192735-25
NR7011--MA0482.1.Gata4	chr8	114879813	114879823	-	0.000	0.000	Merged-chr8-114879936-19
NR404--MA0036.3.GATA2	chr1	162615721	162615731	-	0.000	0.000	Merged-chr1-162615694-15
NR1495--MA0482.1.Gata4	chr12	70078944	70078954	-	0.000	0.000	Merged-chr12-70078875-55
NR1418--MA0482.1.Gata4	chr12	25394413	25394423	+	0.000	0.000	Merged-chr12-25394494-23
NR3345--MA0766.1.GATA5	chr18	13016561	13016568	-	0.000	0.000	Merged-chr18-13016580-10
NR7253--MA0035.3.Gata1	chr9	53436089	53436099	+	0.000	0.000	Merged-chr9-53436232-20
NR5758--MA0482.1.Gata4	chr5	137170915	137170925	-	0.000	0.000	Merged-chr5-137171021-10
NR3858--MA0036.3.GATA2	chr2	19628497	19628507	+	0.000	0.000	Merged-chr2-19628399-27
NR3069--MA0035.3.Gata1	chr17	12165547	12165557	+	0.000	0.000	Merged-chr17-12165459-54
NR7066--MA0766.1.GATA5	chr8	122712103	122712110	-	0.000	0.000	Merged-chr8-122712057-14
NR1401--MA1104.1.GATA6	chr11	121777184	121777196	-	0.000	0.000	Merged-chr11-121777303-26
NR1498--MA0035.3.Gata1	chr12	70078945	70078955	-	0.000	0.000	Merged-chr12-70078875-55
NR5291--MA0482.1.Gata4	chr4	145263888	145263898	-	0.000	0.000	Merged-chr4-145263821-10
NR3215--MA0766.1.GATA5	chr17	52484088	52484095	+	0.000	0.000	Merged-chr17-52484066-25
NR5418--MA0766.1.GATA5	chr5	24505729	24505736	-	0.000	0.000	Merged-chr5-24505685-17
NR2704--MA0035.3.Gata1	chr15	94453054	94453064	+	0.000	0.000	Merged-chr15-94453103-20
NR2635--MA0037.3.GATA3	chr15	82906893	82906900	+	0.000	0.000	Merged-chr15-82906941-10
NR1414--MA1104.1.GATA6	chr12	25270021	25270033	+	0.000	0.000	Merged-chr12-25270049-10
NR7669--MA0482.1.Gata4	chrX	160496687	160496697	+	0.000	0.000	Merged-chrX-160496581-5
NR5846--MA0482.1.Gata4	chr6	39284043	39284053	-	0.000	0.000	Merged-chr6-39284001-16
NR7045--MA0766.1.GATA5	chr8	117278454	117278461	-	0.000	0.000	Merged-chr8-117278352-17
NR4973--MA0482.1.Gata4	chr4	8518191	8518201	-	0.000	0.000	Merged-chr4-8518225-4
NR767--MA0766.1.GATA5	chr10	77288916	77288923	+	0.000	0.000	Merged-chr10-77288922-8
NR7245--MA0035.3.Gata1	chr9	51015925	51015935	+	0.000	0.000	Merged-chr9-51015891-3
NR181--MA0036.3.GATA2	chr1	86048457	86048467	-	0.000	0.000	Merged-chr1-86048437-13
NR3688--MA0036.3.GATA2	chr19	31321987	31321997	-	0.000	0.000	Merged-chr19-31321995-11
NR5849--MA0035.3.Gata1	chr6	39284044	39284054	-	0.000	0.000	Merged-chr6-39284001-16
NR7413--MA1104.1.GATA6	chr9	95836022	95836034	-	0.000	0.000	Merged-chr9-95835913-33
NR3188--MA0766.1.GATA5	chr17	47564806	47564813	-	0.000	0.000	Merged-chr17-47564757-20
NR5140--MA0482.1.Gata4	chr4	95068326	95068336	-	0.000	0.000	Merged-chr4-95068269-28
NR3178--MA0036.3.GATA2	chr17	44893785	44893795	-	0.000	0.000	Merged-chr17-44893726-24
NR1754--MA1104.1.GATA6	chr12	118255859	118255871	+	0.000	0.000	Merged-chr12-118255780-45
NR837--MA0035.3.Gata1	chr10	96391847	96391857	-	0.000	0.000	Merged-chr10-96391802-8
NR475--MA0766.1.GATA5	chr1	171796355	171796362	-	0.000	0.000	Merged-chr1-171796405-6
NR1161--MA0482.1.Gata4	chr11	63148510	63148520	+	0.000	0.000	Merged-chr11-63148506-21
NR6393--MA0036.3.GATA2	chr7	47113494	47113504	-	0.000	0.000	Merged-chr7-47113657-15
NR4790--MA0482.1.Gata4	chr3	133624224	133624234	+	0.000	0.000	Merged-chr3-133624254-1
NR4968--MA0140.2.GATA1::TAL1	chr4	3209823	3209840	-	0.000	0.000	Merged-chr4-3209817-19
NR7499--MA0482.1.Gata4	chr9	115526271	115526281	-	0.000	0.000	Merged-chr9-115526484-32
NR7012--MA1104.1.GATA6	chr8	114879813	114879825	+	0.000	0.000	Merged-chr8-114879936-19
NR1496--MA1104.1.GATA6	chr12	70078944	70078956	+	0.000	0.000	Merged-chr12-70078875-55
NR1624--MA1104.1.GATA6	chr12	98247085	98247097	-	0.000	0.000	Merged-chr12-98247130-40
NR707--MA0035.3.Gata1	chr10	54092218	54092228	+	0.000	0.000	Merged-chr10-54092203-26
NR1419--MA1104.1.GATA6	chr12	25394411	25394423	-	0.000	0.000	Merged-chr12-25394494-23
NR1164--MA0035.3.Gata1	chr11	63148509	63148519	+	0.000	0.000	Merged-chr11-63148506-21
NR4812--MA0035.3.Gata1	chr3	136531892	136531902	+	0.000	0.000	Merged-chr3-136531691-41
NR715--MA0036.3.GATA2	chr10	59392116	59392126	+	0.000	0.000	Merged-chr10-59392092-23
NR106--MA0766.1.GATA5	chr1	69496220	69496227	+	0.000	0.000	Merged-chr1-69496310-11
NR410--MA0036.3.GATA2	chr1	163383832	163383842	-	0.000	0.000	Merged-chr1-163383772-21
NR4302--MA0035.3.Gata1	chr2	136988018	136988028	-	0.000	0.000	Merged-chr2-136988057-20
NR6481--MA0036.3.GATA2	chr7	84166279	84166289	+	0.000	0.000	Merged-chr7-84166236-11
NR2348--MA0037.3.GATA3	chr14	66218980	66218987	-	0.000	0.000	Merged-chr14-66218968-32
NR5292--MA1104.1.GATA6	chr4	145263888	145263900	+	0.000	0.000	Merged-chr4-145263821-10
NR6436--MA0037.3.GATA3	chr7	75863453	75863460	-	0.000	0.000	Merged-chr7-75863636-9
NR6595--MA0035.3.Gata1	chr7	112136762	112136772	+	0.000	0.000	Merged-chr7-112136797-13
NR5668--MA0482.1.Gata4	chr5	107648992	107649002	+	0.000	0.000	Merged-chr5-107649073-49
NR1616--MA1104.1.GATA6	chr12	94085243	94085255	+	0.000	0.000	Merged-chr12-94085440-4
NR4323--MA0036.3.GATA2	chr2	146498565	146498575	+	0.000	0.000	Merged-chr2-146498425-8
NR2643--MA0036.3.GATA2	chr15	85469060	85469070	-	0.000	0.000	Merged-chr15-85469002-5
NR7067--MA0035.3.Gata1	chr8	122712102	122712112	+	0.000	0.000	Merged-chr8-122712057-14
NR6194--MA0035.3.Gata1	chr6	130419321	130419331	+	0.000	0.000	Merged-chr6-130419325-26
NR3216--MA0035.3.Gata1	chr17	52484086	52484096	-	0.000	0.000	Merged-chr17-52484066-25
NR1891--MA0140.2.GATA1::TAL1	chr13	51388265	51388282	-	0.000	0.000	Merged-chr13-51388076-1
NR5419--MA0035.3.Gata1	chr5	24505728	24505738	+	0.000	0.000	Merged-chr5-24505685-17
NR5651--MA0037.3.GATA3	chr5	105192811	105192818	-	0.000	0.000	Merged-chr5-105192735-25
NR526--MA0482.1.Gata4	chr1	181951071	181951081	+	0.000	0.000	Merged-chr1-181951117-29
NR983--MA0482.1.Gata4	chr10	128990355	128990365	+	0.000	0.000	Merged-chr10-128990510-111
NR3348--MA0482.1.Gata4	chr18	14374803	14374813	+	0.000	0.000	Merged-chr18-14374933-6
NR2351--MA0036.3.GATA2	chr14	66218979	66218989	+	0.000	0.000	Merged-chr14-66218968-32
NR635--MA0482.1.Gata4	chr10	21964643	21964653	+	0.000	0.000	Merged-chr10-21964511-16
NR1162--MA1104.1.GATA6	chr11	63148508	63148520	-	0.000	0.000	Merged-chr11-63148506-21
NR3186--MA0482.1.Gata4	chr17	47564806	47564816	+	0.000	0.000	Merged-chr17-47564757-20
NR2998--MA0482.1.Gata4	chr16	92764917	92764927	-	0.000	0.000	Merged-chr16-92765010-8
NR473--MA0482.1.Gata4	chr1	171796355	171796365	+	0.000	0.000	Merged-chr1-171796405-6
NR648--MA0482.1.Gata4	chr10	24593122	24593132	+	0.000	0.000	Merged-chr10-24593223-5
NR5882--MA0037.3.GATA3	chr6	54991388	54991395	-	0.000	0.000	Merged-chr6-54991459-9
NR6637--MA0766.1.GATA5	chr7	114616936	114616943	+	0.000	0.000	Merged-chr7-114616980-17
NR476--MA0035.3.Gata1	chr1	171796354	171796364	+	0.000	0.000	Merged-chr1-171796405-6
NR7674--MA0140.2.GATA1::TAL1	chrX	160496688	160496705	+	0.000	0.000	Merged-chrX-160496581-5
NR1851--MA0140.2.GATA1::TAL1	chr13	33071971	33071988	-	0.000	0.000	Merged-chr13-33072044-31
NR1179--MA0766.1.GATA5	chr11	68726939	68726946	-	0.000	0.000	Merged-chr11-68726851-12
NR2247--MA0036.3.GATA2	chr14	30675116	30675126	-	0.000	0.000	Merged-chr14-30675172-26
NR2528--MA0766.1.GATA5	chr15	31440061	31440068	-	0.000	0.000	Merged-chr15-31440136-19
NR1422--MA0140.2.GATA1::TAL1	chr12	25394603	25394620	-	0.000	0.000	Merged-chr12-25394494-23
NR4190--MA0482.1.Gata4	chr2	117374271	117374281	+	0.000	0.000	Merged-chr2-117374468-47
NR6587--MA0036.3.GATA2	chr7	110204278	110204288	+	0.000	0.000	Merged-chr7-110204373-3
NR107--MA0035.3.Gata1	chr1	69496218	69496228	-	0.000	0.000	Merged-chr1-69496310-11
