#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR2785--MA0523.1.TCF7L2	chr19	9044556	9044569	-	0.000	0.000	Merged-chr19-9044473-28
NR3308--MA1421.1.TCF7L1	chr2	173444591	173444602	+	0.000	0.000	Merged-chr2-173444560-32
NR2625--MA1421.1.TCF7L1	chr18	46181992	46182003	+	0.000	0.000	Merged-chr18-46182052-26
NR1927--MA0523.1.TCF7L2	chr15	9533555	9533568	+	0.000	0.000	Merged-chr15-9533546-44
NR5140--MA0769.1.Tcf7	chr8	56443932	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR5127--MA0769.1.Tcf7	chr8	46420849	46420860	+	0.000	0.000	Merged-chr8-46420639-16
NR2591--MA0523.1.TCF7L2	chr18	19524573	19524586	-	0.000	0.000	Merged-chr18-19524471-22
NR217--MA1421.1.TCF7L1	chr1	128794047	128794058	+	0.000	0.000	Merged-chr1-128794102-26
NR583--MA0769.1.Tcf7	chr10	63422397	63422408	-	0.000	0.000	Merged-chr10-63422253-20
NR3310--MA0769.1.Tcf7	chr2	173444591	173444602	+	0.000	0.000	Merged-chr2-173444560-32
NR4091--MA0769.1.Tcf7	chr5	58084166	58084177	-	0.000	0.000	Merged-chr5-58084122-29
NR3476--MA0523.1.TCF7L2	chr3	101056904	101056917	-	0.000	0.000	Merged-chr3-101056914-14
NR3888--MA0769.1.Tcf7	chr4	123588955	123588966	-	0.000	0.000	Merged-chr4-123588937-38
NR4857--MA0769.1.Tcf7	chr7	83087916	83087927	-	0.000	0.000	Merged-chr7-83087945-1
NR118--MA0769.1.Tcf7	chr1	82902312	82902323	-	0.000	0.000	Merged-chr1-82902274-10
NR16--MA1421.1.TCF7L1	chr1	21780997	21781008	+	0.000	0.000	Merged-chr1-21781098-42
NR1563--MA1421.1.TCF7L1	chr13	89965599	89965610	-	0.000	0.000	Merged-chr13-89965778-3
NR4965--MA1421.1.TCF7L1	chr7	115924071	115924082	-	0.000	0.000	Merged-chr7-115924236-1
NR5757--MA0523.1.TCF7L2	chrX	166805811	166805824	-	0.000	0.000	Merged-chrX-166805944-25
NR1400--MA0769.1.Tcf7	chr12	116315552	116315563	-	0.000	0.000	Merged-chr12-116315725-53
NR2387--MA0769.1.Tcf7	chr17	21231899	21231910	+	0.000	0.000	Merged-chr17-21231861-25
NR2931--MA0523.1.TCF7L2	chr2	30784851	30784864	-	0.000	0.000	Merged-chr2-30784697-21
NR3477--MA0769.1.Tcf7	chr3	101056906	101056917	-	0.000	0.000	Merged-chr3-101056914-14
NR4855--MA0523.1.TCF7L2	chr7	83087914	83087927	-	0.000	0.000	Merged-chr7-83087945-1
NR1405--MA0769.1.Tcf7	chr12	117679066	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR3601--MA0523.1.TCF7L2	chr3	135622119	135622132	+	0.000	0.000	Merged-chr3-135622151-7
NR2172--MA1421.1.TCF7L1	chr16	22632518	22632529	-	0.000	0.000	Merged-chr16-22632558-6
NR24--MA1421.1.TCF7L1	chr1	34831577	34831588	+	0.000	0.000	Merged-chr1-34831505-37
NR26--MA0769.1.Tcf7	chr1	34831577	34831588	+	0.000	0.000	Merged-chr1-34831505-37
NR5138--MA0523.1.TCF7L2	chr8	56443930	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR3809--MA0769.1.Tcf7	chr4	89169078	89169089	-	0.000	0.000	Merged-chr4-89169046-30
NR3347--MA0523.1.TCF7L2	chr3	22309244	22309257	-	0.000	0.000	Merged-chr3-22309201-16
NR2989--MA1421.1.TCF7L1	chr2	57697122	57697133	-	0.000	0.000	Merged-chr2-57697264-6
NR2990--MA0523.1.TCF7L2	chr2	57697139	57697152	+	0.000	0.000	Merged-chr2-57697264-6
NR2901--MA0523.1.TCF7L2	chr2	14048590	14048603	+	0.000	0.000	Merged-chr2-14048540-15
NR2330--MA0769.1.Tcf7	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR376--MA0523.1.TCF7L2	chr1	171963834	171963847	+	0.000	0.000	Merged-chr1-171963786-30
NR1030--MA0769.1.Tcf7	chr11	103808700	103808711	-	0.000	0.000	Merged-chr11-103808730-15
NR5139--MA0769.1.Tcf7	chr8	56443917	56443928	-	0.000	0.000	Merged-chr8-56443904-53
NR4859--MA0523.1.TCF7L2	chr7	83852807	83852820	+	0.000	0.000	Merged-chr7-83852721-40
NR2329--MA0523.1.TCF7L2	chr16	95869617	95869630	+	0.000	0.000	Merged-chr16-95869616-44
NR2595--MA0769.1.Tcf7	chr18	32543281	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR2904--MA0769.1.Tcf7	chr2	17861893	17861904	+	0.000	0.000	Merged-chr2-17861880-15
NR1031--MA0523.1.TCF7L2	chr11	104158013	104158026	-	0.000	0.000	Merged-chr11-104158136-14
NR2597--MA1421.1.TCF7L1	chr18	32816798	32816809	+	0.000	0.000	Merged-chr18-32816753-22
NR4446--MA0523.1.TCF7L2	chr6	65937486	65937499	+	0.000	0.000	Merged-chr6-65937524-1
NR948--MA0523.1.TCF7L2	chr11	74100908	74100921	+	0.000	0.000	Merged-chr11-74100988-13
NR4579--MA0523.1.TCF7L2	chr6	120934363	120934376	+	0.000	0.000	Merged-chr6-120934426-25
NR5301--MA0769.1.Tcf7	chr8	128247500	128247511	+	0.000	0.000	Merged-chr8-128247386-1
NR2341--MA0523.1.TCF7L2	chr16	97402539	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR1846--MA0769.1.Tcf7	chr14	79236623	79236634	-	0.000	0.000	Merged-chr14-79236608-48
NR4854--MA0523.1.TCF7L2	chr7	83087930	83087943	+	0.000	0.000	Merged-chr7-83087945-1
NR5068--MA0523.1.TCF7L2	chr7	143052807	143052820	+	0.000	0.000	Merged-chr7-143053012-41
NR2992--MA1421.1.TCF7L1	chr2	57833237	57833248	+	0.000	0.000	Merged-chr2-57833187-31
NR1332--MA0769.1.Tcf7	chr12	106046378	106046389	-	0.000	0.000	Merged-chr12-106046288-9
NR5425--MA0523.1.TCF7L2	chr9	66274922	66274935	+	0.000	0.000	Merged-chr9-66274857-15
NR3430--MA1421.1.TCF7L1	chr3	84595450	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR4074--MA0769.1.Tcf7	chr5	35813684	35813695	-	0.000	0.000	Merged-chr5-35813752-8
NR2342--MA0769.1.Tcf7	chr16	97402541	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR3148--MA0523.1.TCF7L2	chr2	125033329	125033342	-	0.000	0.000	Merged-chr2-125033201-15
NR1622--MA1421.1.TCF7L1	chr13	103357027	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR1029--MA1421.1.TCF7L1	chr11	103808700	103808711	-	0.000	0.000	Merged-chr11-103808730-15
NR1441--MA1421.1.TCF7L1	chr13	17432338	17432349	+	0.000	0.000	Merged-chr13-17432552-25
NR116--MA1421.1.TCF7L1	chr1	82902312	82902323	-	0.000	0.000	Merged-chr1-82902274-10
NR5457--MA1421.1.TCF7L1	chr9	75209425	75209436	-	0.000	0.000	Merged-chr9-75209368-16
NR3348--MA0769.1.Tcf7	chr3	22309246	22309257	-	0.000	0.000	Merged-chr3-22309201-16
NR1533--MA0523.1.TCF7L2	chr13	75740319	75740332	+	0.000	0.000	Merged-chr13-75740223-12
NR3105--MA0523.1.TCF7L2	chr2	108441079	108441092	+	0.000	0.000	Merged-chr2-108441195-1
NR1205--MA1421.1.TCF7L1	chr12	69093359	69093370	+	0.000	0.000	Merged-chr12-69093362-15
NR4125--MA0769.1.Tcf7	chr5	75662511	75662522	-	0.000	0.000	Merged-chr5-75662405-46
NR3878--MA0523.1.TCF7L2	chr4	118406372	118406385	-	0.000	0.000	Merged-chr4-118406334-12
NR2675--MA0523.1.TCF7L2	chr18	66528875	66528888	+	0.000	0.000	Merged-chr18-66528856-1
NR4488--MA0769.1.Tcf7	chr6	89288317	89288328	-	0.000	0.000	Merged-chr6-89288372-31
NR1567--MA0523.1.TCF7L2	chr13	91033602	91033615	-	0.000	0.000	Merged-chr13-91033672-15
NR1399--MA0523.1.TCF7L2	chr12	116315550	116315563	-	0.000	0.000	Merged-chr12-116315725-53
NR3431--MA0523.1.TCF7L2	chr3	84595448	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR3697--MA0523.1.TCF7L2	chr3	153548832	153548845	-	0.000	0.000	Merged-chr3-153548986-1
NR1879--MA1421.1.TCF7L1	chr14	103619883	103619894	+	0.000	0.000	Merged-chr14-103620031-34
NR5247--MA0769.1.Tcf7	chr8	116755773	116755784	-	0.000	0.000	Merged-chr8-116755810-6
NR532--MA1421.1.TCF7L1	chr10	38884932	38884943	+	0.000	0.000	Merged-chr10-38884993-65
NR1228--MA0769.1.Tcf7	chr12	75503313	75503324	+	0.000	0.000	Merged-chr12-75503354-19
NR2676--MA0769.1.Tcf7	chr18	66528875	66528886	+	0.000	0.000	Merged-chr18-66528856-1
NR4487--MA0523.1.TCF7L2	chr6	89288315	89288328	-	0.000	0.000	Merged-chr6-89288372-31
NR2813--MA0523.1.TCF7L2	chr19	30823037	30823050	-	0.000	0.000	Merged-chr19-30823040-7
NR2632--MA0523.1.TCF7L2	chr18	53904318	53904331	+	0.000	0.000	Merged-chr18-53904421-2
NR489--MA0769.1.Tcf7	chr10	13424827	13424838	+	0.000	0.000	Merged-chr10-13424690-40
NR1305--MA0523.1.TCF7L2	chr12	98252495	98252508	+	0.000	0.000	Merged-chr12-98252552-7
NR3435--MA0523.1.TCF7L2	chr3	86915476	86915489	+	0.000	0.000	Merged-chr3-86915418-7
NR946--MA0769.1.Tcf7	chr11	74100880	74100891	-	0.000	0.000	Merged-chr11-74100988-13
NR492--MA1421.1.TCF7L1	chr10	14040872	14040883	-	0.000	0.000	Merged-chr10-14040919-9
NR2735--MA0523.1.TCF7L2	chr18	78969582	78969595	-	0.000	0.000	Merged-chr18-78969407-8
NR2991--MA0769.1.Tcf7	chr2	57697122	57697133	-	0.000	0.000	Merged-chr2-57697264-6
NR5285--MA0523.1.TCF7L2	chr8	126539840	126539853	-	0.000	0.000	Merged-chr8-126539798-23
NR3224--MA0523.1.TCF7L2	chr2	147876585	147876598	+	0.000	0.000	Merged-chr2-147876682-1
NR533--MA0523.1.TCF7L2	chr10	38884932	38884945	+	0.000	0.000	Merged-chr10-38884993-65
NR5142--MA0769.1.Tcf7	chr8	57660261	57660272	-	0.000	0.000	Merged-chr8-57660259-14
NR5487--MA0523.1.TCF7L2	chr9	83893104	83893117	-	0.000	0.000	Merged-chr9-83893287-19
NR1007--MA0769.1.Tcf7	chr11	98596069	98596080	+	0.000	0.000	Merged-chr11-98595982-19
NR4089--MA1421.1.TCF7L1	chr5	58084166	58084177	-	0.000	0.000	Merged-chr5-58084122-29
NR4326--MA1421.1.TCF7L1	chr5	149427542	149427553	+	0.000	0.000	Merged-chr5-149427432-30
NR496--MA0769.1.Tcf7	chr10	18407613	18407624	-	0.000	0.000	Merged-chr10-18407539-30
NR1191--MA0769.1.Tcf7	chr12	55366688	55366699	-	0.000	0.000	Merged-chr12-55366796-37
NR5663--MA0523.1.TCF7L2	chr9	123960407	123960420	+	0.000	0.000	Merged-chr9-123960411-24
NR3146--MA0523.1.TCF7L2	chr2	124634579	124634592	+	0.000	0.000	Merged-chr2-124634585-20
NR634--MA1421.1.TCF7L1	chr10	83197953	83197964	+	0.000	0.000	Merged-chr10-83198046-22
NR730--MA0523.1.TCF7L2	chr10	111622635	111622648	+	0.000	0.000	Merged-chr10-111622563-9
NR1411--MA0523.1.TCF7L2	chr12	119148070	119148083	+	0.000	0.000	Merged-chr12-119148040-28
NR3335--MA0523.1.TCF7L2	chr3	10151766	10151779	-	0.000	0.000	Merged-chr3-10151750-17
NR3600--MA1421.1.TCF7L1	chr3	135622086	135622097	-	0.000	0.000	Merged-chr3-135622151-7
NR945--MA0523.1.TCF7L2	chr11	74100878	74100891	-	0.000	0.000	Merged-chr11-74100988-13
NR4180--MA0523.1.TCF7L2	chr5	97090319	97090332	+	0.000	0.000	Merged-chr5-97090318-20
NR1845--MA0523.1.TCF7L2	chr14	79236621	79236634	-	0.000	0.000	Merged-chr14-79236608-48
NR4050--MA0769.1.Tcf7	chr5	24894952	24894963	-	0.000	0.000	Merged-chr5-24894966-9
NR5137--MA1421.1.TCF7L1	chr8	56443932	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR1564--MA0769.1.Tcf7	chr13	89965599	89965610	-	0.000	0.000	Merged-chr13-89965778-3
NR5458--MA0769.1.Tcf7	chr9	75209425	75209436	-	0.000	0.000	Merged-chr9-75209368-16
NR5629--MA0523.1.TCF7L2	chr9	118285716	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR1651--MA0523.1.TCF7L2	chr13	108763549	108763562	-	0.000	0.000	Merged-chr13-108763497-25
NR5448--MA0523.1.TCF7L2	chr9	72890935	72890948	-	0.000	0.000	Merged-chr9-72890879-25
NR5713--MA1421.1.TCF7L1	chrX	93286395	93286406	-	0.000	0.000	Merged-chrX-93286459-28
NR2321--MA0523.1.TCF7L2	chr16	94185592	94185605	+	0.000	0.000	Merged-chr16-94185634-42
NR2923--MA0523.1.TCF7L2	chr2	26623143	26623156	+	0.000	0.000	Merged-chr2-26623162-26
NR5229--MA0523.1.TCF7L2	chr8	111449918	111449931	+	0.000	0.000	Merged-chr8-111449964-18
NR1032--MA0769.1.Tcf7	chr11	104158015	104158026	-	0.000	0.000	Merged-chr11-104158136-14
NR243--MA0769.1.Tcf7	chr1	136600778	136600789	+	0.000	0.000	Merged-chr1-136600909-41
NR4772--MA0769.1.Tcf7	chr7	35140123	35140134	+	0.000	0.000	Merged-chr7-35140267-30
NR515--MA0523.1.TCF7L2	chr10	26879379	26879392	+	0.000	0.000	Merged-chr10-26879299-36
NR5300--MA1421.1.TCF7L1	chr8	128247500	128247511	+	0.000	0.000	Merged-chr8-128247386-1
NR2092--MA0523.1.TCF7L2	chr15	94255221	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR2328--MA1421.1.TCF7L1	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR2924--MA0769.1.Tcf7	chr2	26623143	26623154	+	0.000	0.000	Merged-chr2-26623162-26
NR1190--MA0523.1.TCF7L2	chr12	55366686	55366699	-	0.000	0.000	Merged-chr12-55366796-37
NR4817--MA0523.1.TCF7L2	chr7	67911928	67911941	+	0.000	0.000	Merged-chr7-67912081-16
NR139--MA1421.1.TCF7L1	chr1	88228272	88228283	+	0.000	0.000	Merged-chr1-88228292-3
NR1624--MA0769.1.Tcf7	chr13	103357027	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR947--MA1421.1.TCF7L1	chr11	74100908	74100919	+	0.000	0.000	Merged-chr11-74100988-13
NR2037--MA0523.1.TCF7L2	chr15	73023023	73023036	+	0.000	0.000	Merged-chr15-73023142-29
NR17--MA0769.1.Tcf7	chr1	21780997	21781008	+	0.000	0.000	Merged-chr1-21781098-42
NR4470--MA1421.1.TCF7L1	chr6	84617256	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR3309--MA0523.1.TCF7L2	chr2	173444591	173444604	+	0.000	0.000	Merged-chr2-173444560-32
NR1775--MA0523.1.TCF7L2	chr14	46578262	46578275	+	0.000	0.000	Merged-chr14-46578431-37
NR824--MA0523.1.TCF7L2	chr11	20064186	20064199	+	0.000	0.000	Merged-chr11-20064139-6
NR5223--MA0769.1.Tcf7	chr8	107575001	107575012	+	0.000	0.000	Merged-chr8-107575004-5
NR3388--MA0769.1.Tcf7	chr3	58517234	58517245	+	0.000	0.000	Merged-chr3-58517381-43
NR96--MA1421.1.TCF7L1	chr1	72870326	72870337	+	0.000	0.000	Merged-chr1-72870469-25
NR2494--MA1421.1.TCF7L1	chr17	63356501	63356512	+	0.000	0.000	Merged-chr17-63356437-30
NR4124--MA0523.1.TCF7L2	chr5	75662509	75662522	-	0.000	0.000	Merged-chr5-75662405-46
NR1404--MA1421.1.TCF7L1	chr12	117679066	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR2477--MA1421.1.TCF7L1	chr17	56717988	56717999	+	0.000	0.000	Merged-chr17-56717989-1
NR4300--MA0523.1.TCF7L2	chr5	143630878	143630891	-	0.000	0.000	Merged-chr5-143630947-39
NR2173--MA0523.1.TCF7L2	chr16	22632516	22632529	-	0.000	0.000	Merged-chr16-22632558-6
NR25--MA0523.1.TCF7L2	chr1	34831577	34831590	+	0.000	0.000	Merged-chr1-34831505-37
NR3723--MA1421.1.TCF7L1	chr4	7961699	7961710	-	0.000	0.000	Merged-chr4-7961828-25
NR4319--MA0769.1.Tcf7	chr5	148265472	148265483	-	0.000	0.000	Merged-chr5-148265362-14
NR4471--MA0523.1.TCF7L2	chr6	84617254	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR3688--MA1421.1.TCF7L1	chr3	152355525	152355536	-	0.000	0.000	Merged-chr3-152355609-21
NR2594--MA0523.1.TCF7L2	chr18	32543279	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR5230--MA0769.1.Tcf7	chr8	111449918	111449929	+	0.000	0.000	Merged-chr8-111449964-18
NR5152--MA1421.1.TCF7L1	chr8	65889560	65889571	-	0.000	0.000	Merged-chr8-65889473-2
NR1227--MA1421.1.TCF7L1	chr12	75503313	75503324	+	0.000	0.000	Merged-chr12-75503354-19
NR4181--MA0769.1.Tcf7	chr5	97090319	97090330	+	0.000	0.000	Merged-chr5-97090318-20
NR3056--MA1421.1.TCF7L1	chr2	86906535	86906546	+	0.000	0.000	Merged-chr2-86906628-3
NR4151--MA1421.1.TCF7L1	chr5	92128690	92128701	+	0.000	0.000	Merged-chr5-92128744-12
NR434--MA1421.1.TCF7L1	chr1	187137696	187137707	+	0.000	0.000	Merged-chr1-187137600-16
NR902--MA0769.1.Tcf7	chr11	58643659	58643670	-	0.000	0.000	Merged-chr11-58643569-22
NR338--MA0769.1.Tcf7	chr1	161728755	161728766	+	0.000	0.000	Merged-chr1-161728798-12
NR3432--MA0769.1.Tcf7	chr3	84595450	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR4858--MA0523.1.TCF7L2	chr7	83852587	83852600	+	0.000	0.000	Merged-chr7-83852721-40
NR2495--MA0769.1.Tcf7	chr17	63356501	63356512	+	0.000	0.000	Merged-chr17-63356437-30
NR3106--MA0769.1.Tcf7	chr2	108441079	108441090	+	0.000	0.000	Merged-chr2-108441195-1
NR3434--MA1421.1.TCF7L1	chr3	86915476	86915487	+	0.000	0.000	Merged-chr3-86915418-7
NR4447--MA0769.1.Tcf7	chr6	65937486	65937497	+	0.000	0.000	Merged-chr6-65937524-1
NR2833--MA1421.1.TCF7L1	chr19	42179274	42179285	-	0.000	0.000	Merged-chr19-42179187-7
NR1652--MA0769.1.Tcf7	chr13	108763551	108763562	-	0.000	0.000	Merged-chr13-108763497-25
NR5126--MA1421.1.TCF7L1	chr8	46420849	46420860	+	0.000	0.000	Merged-chr8-46420639-16
NR2093--MA0769.1.Tcf7	chr15	94255223	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR4152--MA0769.1.Tcf7	chr5	92128690	92128701	+	0.000	0.000	Merged-chr5-92128744-12
NR2626--MA0769.1.Tcf7	chr18	46181992	46182003	+	0.000	0.000	Merged-chr18-46182052-26
NR3604--MA0769.1.Tcf7	chr3	136043797	136043808	-	0.000	0.000	Merged-chr3-136043895-1
NR2322--MA0769.1.Tcf7	chr16	94185592	94185603	+	0.000	0.000	Merged-chr16-94185634-42
NR3739--MA0769.1.Tcf7	chr4	21604450	21604461	-	0.000	0.000	Merged-chr4-21604388-2
NR4860--MA0769.1.Tcf7	chr7	83852807	83852818	+	0.000	0.000	Merged-chr7-83852721-40
NR5630--MA0523.1.TCF7L2	chr9	118285729	118285742	-	0.000	0.000	Merged-chr9-118285683-37
NR1623--MA0523.1.TCF7L2	chr13	103357025	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR4856--MA0769.1.Tcf7	chr7	83087930	83087941	+	0.000	0.000	Merged-chr7-83087945-1
NR4217--MA0523.1.TCF7L2	chr5	105198257	105198270	+	0.000	0.000	Merged-chr5-105198197-37
NR117--MA0523.1.TCF7L2	chr1	82902310	82902323	-	0.000	0.000	Merged-chr1-82902274-10
NR731--MA0769.1.Tcf7	chr10	111622635	111622646	+	0.000	0.000	Merged-chr10-111622563-9
NR3942--MA0523.1.TCF7L2	chr4	140859428	140859441	+	0.000	0.000	Merged-chr4-140859564-16
NR49--MA0523.1.TCF7L2	chr1	52456945	52456958	-	0.000	0.000	Merged-chr1-52456813-18
NR4472--MA0769.1.Tcf7	chr6	84617256	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR2903--MA0523.1.TCF7L2	chr2	17861893	17861906	+	0.000	0.000	Merged-chr2-17861880-15
NR1306--MA0769.1.Tcf7	chr12	98252495	98252506	+	0.000	0.000	Merged-chr12-98252552-7
NR1436--MA0769.1.Tcf7	chr13	12927707	12927718	+	0.000	0.000	Merged-chr13-12927520-1
NR3334--MA1421.1.TCF7L1	chr3	10151768	10151779	-	0.000	0.000	Merged-chr3-10151750-17
NR1844--MA1421.1.TCF7L1	chr14	79236623	79236634	-	0.000	0.000	Merged-chr14-79236608-48
NR4438--MA1421.1.TCF7L1	chr6	61125650	61125661	+	0.000	0.000	Merged-chr6-61125660-31
NR3858--MA0769.1.Tcf7	chr4	102967912	102967923	-	0.000	0.000	Merged-chr4-102968093-31
NR2786--MA0769.1.Tcf7	chr19	9044558	9044569	-	0.000	0.000	Merged-chr19-9044473-28
NR5628--MA1421.1.TCF7L1	chr9	118285718	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR821--MA0523.1.TCF7L2	chr11	11498084	11498097	-	0.000	0.000	Merged-chr11-11498094-24
NR582--MA1421.1.TCF7L1	chr10	63422397	63422408	-	0.000	0.000	Merged-chr10-63422253-20
