#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR2306--MA0768.1.LEF1	chr6	142567723	142567737	-	0.000	0.000	Merged-chr6-142567710-6
NR2539--MA0768.1.LEF1	chr8	104416244	104416258	+	0.000	0.000	Merged-chr8-104416222-18
NR208--MA0768.1.LEF1	chr1	191872687	191872701	-	0.000	0.000	Merged-chr1-191872609-17
NR1252--MA0768.1.LEF1	chr18	65016104	65016118	-	0.000	0.000	Merged-chr18-65016159-16
NR88--MA0768.1.LEF1	chr1	98088346	98088360	+	0.000	0.000	Merged-chr1-98088226-2
NR2557--MA0768.1.LEF1	chr8	123404745	123404759	-	0.000	0.000	Merged-chr8-123404693-24
NR123--MA0768.1.LEF1	chr1	135807883	135807897	-	0.000	0.000	Merged-chr1-135807785-37
NR2575--MA0768.1.LEF1	chr9	11559575	11559589	-	0.000	0.000	Merged-chr9-11559688-28
NR2687--MA0768.1.LEF1	chr9	102546095	102546109	-	0.000	0.000	Merged-chr9-102546012-3
NR468--MA0768.1.LEF1	chr12	3990027	3990041	-	0.000	0.000	Merged-chr12-3989980-1
NR1154--MA0768.1.LEF1	chr17	63460226	63460240	-	0.000	0.000	Merged-chr17-63460148-16
NR1060--MA0768.1.LEF1	chr16	84982743	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR271--MA0768.1.LEF1	chr10	60000108	60000122	+	0.000	0.000	Merged-chr10-60000232-10
NR1714--MA0768.1.LEF1	chr3	97274117	97274131	+	0.000	0.000	Merged-chr3-97274158-19
NR2589--MA0768.1.LEF1	chr9	25549247	25549261	-	0.000	0.000	Merged-chr9-25549394-11
NR2374--MA0768.1.LEF1	chr7	80936844	80936858	-	0.000	0.000	Merged-chr7-80936896-39
NR1056--MA0768.1.LEF1	chr16	78247722	78247736	-	0.000	0.000	Merged-chr16-78247900-23
NR1177--MA0768.1.LEF1	chr17	84239782	84239796	+	0.000	0.000	Merged-chr17-84239923-12
NR388--MA0768.1.LEF1	chr11	30168262	30168276	-	0.000	0.000	Merged-chr11-30168139-12
NR1074--MA0768.1.LEF1	chr16	91413339	91413353	+	0.000	0.000	Merged-chr16-91413429-37
NR1862--MA0768.1.LEF1	chr4	55755857	55755871	-	0.000	0.000	Merged-chr4-55755950-2
NR2379--MA0768.1.LEF1	chr7	84143203	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR2164--MA0768.1.LEF1	chr6	34939572	34939586	-	0.000	0.000	Merged-chr6-34939585-12
NR1401--MA0768.1.LEF1	chr2	32181551	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR2182--MA0768.1.LEF1	chr6	53706591	53706605	+	0.000	0.000	Merged-chr6-53706669-3
NR2621--MA0768.1.LEF1	chr9	61069840	61069854	-	0.000	0.000	Merged-chr9-61069791-4
NR863--MA0768.1.LEF1	chr14	118950662	118950676	-	0.000	0.000	Merged-chr14-118950797-17
NR1979--MA0768.1.LEF1	chr5	17438035	17438049	+	0.000	0.000	Merged-chr5-17438091-4
NR2608--MA0768.1.LEF1	chr9	42463999	42464013	+	0.000	0.000	Merged-chr9-42464013-7
NR635--MA0768.1.LEF1	chr13	44210324	44210338	+	0.000	0.000	Merged-chr13-44210381-13
NR1648--MA0768.1.LEF1	chr3	28318052	28318066	-	0.000	0.000	Merged-chr3-28318064-9
NR868--MA0768.1.LEF1	chr14	121353970	121353984	-	0.000	0.000	Merged-chr14-121354142-24
NR2411--MA0768.1.LEF1	chr7	115218910	115218924	+	0.000	0.000	Merged-chr7-115218920-27
NR653--MA0768.1.LEF1	chr13	55255252	55255266	-	0.000	0.000	Merged-chr13-55255412-37
NR1111--MA0768.1.LEF1	chr17	21438157	21438171	-	0.000	0.000	Merged-chr17-21438248-5
NR537--MA0768.1.LEF1	chr12	82187504	82187518	-	0.000	0.000	Merged-chr12-82187311-20
NR658--MA0768.1.LEF1	chr13	61710973	61710987	-	0.000	0.000	Merged-chr13-61710985-22
NR1344--MA0768.1.LEF1	chr19	42031243	42031257	-	0.000	0.000	Merged-chr19-42031201-8
NR68--MA0768.1.LEF1	chr1	85335845	85335859	-	0.000	0.000	Merged-chr1-85335844-5
NR1456--MA0768.1.LEF1	chr2	65421992	65422006	+	0.000	0.000	Merged-chr2-65422005-11
NR2434--MA0768.1.LEF1	chr7	128669091	128669105	-	0.000	0.000	Merged-chr7-128669075-5
NR309--MA0768.1.LEF1	chr10	85050895	85050909	-	0.000	0.000	Merged-chr10-85050856-11
NR1228--MA0768.1.LEF1	chr18	46381239	46381253	-	0.000	0.000	Merged-chr18-46381195-31
NR233--MA0768.1.LEF1	chr10	20231315	20231329	+	0.000	0.000	Merged-chr10-20231392-7
NR1134--MA0768.1.LEF1	chr17	45342328	45342342	-	0.000	0.000	Merged-chr17-45342322-7
NR1031--MA0768.1.LEF1	chr16	48745639	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR475--MA0768.1.LEF1	chr12	21172236	21172250	+	0.000	0.000	Merged-chr12-21172304-14
NR596--MA0768.1.LEF1	chr13	3479835	3479849	+	0.000	0.000	Merged-chr13-3479941-4
NR229--MA0768.1.LEF1	chr10	19406884	19406898	-	0.000	0.000	Merged-chr10-19406936-14
NR2466--MA0768.1.LEF1	chr8	8343178	8343192	+	0.000	0.000	Merged-chr8-8343206-7
NR493--MA0768.1.LEF1	chr12	39649242	39649256	-	0.000	0.000	Merged-chr12-39649191-14
NR2108--MA0768.1.LEF1	chr5	124907038	124907052	-	0.000	0.000	Merged-chr5-124907107-45
NR1036--MA0768.1.LEF1	chr16	50555180	50555194	-	0.000	0.000	Merged-chr16-50555141-20
NR2005--MA0768.1.LEF1	chr5	38632721	38632735	-	0.000	0.000	Merged-chr5-38632599-22
NR923--MA0768.1.LEF1	chr15	55327404	55327418	-	0.000	0.000	Merged-chr15-55327422-12
NR1721--MA0768.1.LEF1	chr3	100703371	100703385	-	0.000	0.000	Merged-chr3-100703204-27
NR932--MA0768.1.LEF1	chr15	64078110	64078124	+	0.000	0.000	Merged-chr15-64078156-8
NR919--MA0768.1.LEF1	chr15	52887036	52887050	-	0.000	0.000	Merged-chr15-52887057-9
NR1972--MA0768.1.LEF1	chr5	9107427	9107441	+	0.000	0.000	Merged-chr5-9107352-33
NR20--MA0768.1.LEF1	chr1	36910447	36910461	+	0.000	0.000	Merged-chr1-36910479-15
NR2498--MA0768.1.LEF1	chr8	56398906	56398920	+	0.000	0.000	Merged-chr8-56398896-15
NR2601--MA0768.1.LEF1	chr9	36802533	36802547	+	0.000	0.000	Merged-chr9-36802612-8
NR955--MA0768.1.LEF1	chr15	84372947	84372961	+	0.000	0.000	Merged-chr15-84372915-18
NR1198--MA0768.1.LEF1	chr18	5820058	5820072	-	0.000	0.000	Merged-chr18-5820020-28
NR2194--MA0768.1.LEF1	chr6	65818502	65818516	-	0.000	0.000	Merged-chr6-65818480-32
NR530--MA0768.1.LEF1	chr12	76853350	76853364	-	0.000	0.000	Merged-chr12-76853290-4
NR1758--MA0768.1.LEF1	chr3	127868602	127868616	+	0.000	0.000	Merged-chr3-127868548-8
NR763--MA0768.1.LEF1	chr14	21078622	21078636	-	0.000	0.000	Merged-chr14-21078723-20
NR2633--MA0768.1.LEF1	chr9	69142126	69142140	-	0.000	0.000	Merged-chr9-69142137-1
NR1409--MA0768.1.LEF1	chr2	43992731	43992745	-	0.000	0.000	Merged-chr2-43992698-17
NR320--MA0768.1.LEF1	chr10	95691109	95691123	+	0.000	0.000	Merged-chr10-95691143-13
NR2096--MA0768.1.LEF1	chr5	117924807	117924821	+	0.000	0.000	Merged-chr5-117924808-8
NR647--MA0768.1.LEF1	chr13	52628151	52628165	+	0.000	0.000	Merged-chr13-52628204-1
NR2517--MA0768.1.LEF1	chr8	77435082	77435096	+	0.000	0.000	Merged-chr8-77435130-10
NR1445--MA0768.1.LEF1	chr2	59645075	59645089	-	0.000	0.000	Merged-chr2-59645072-13
NR2535--MA0768.1.LEF1	chr8	95679373	95679387	+	0.000	0.000	Merged-chr8-95679341-1
NR2320--MA0768.1.LEF1	chr6	145469522	145469536	+	0.000	0.000	Merged-chr6-145469437-17
NR1463--MA0768.1.LEF1	chr2	68291456	68291470	+	0.000	0.000	Merged-chr2-68291418-12
NR2441--MA0768.1.LEF1	chr7	132356460	132356474	-	0.000	0.000	Merged-chr7-132356427-27
NR1217--MA0768.1.LEF1	chr18	33781014	33781028	+	0.000	0.000	Merged-chr18-33781041-12
NR2571--MA0768.1.LEF1	chr9	7576736	7576750	+	0.000	0.000	Merged-chr9-7576753-19
NR2231--MA0768.1.LEF1	chr6	95682808	95682822	-	0.000	0.000	Merged-chr6-95682989-10
NR2688--MA0768.1.LEF1	chr9	102587424	102587438	-	0.000	0.000	Merged-chr9-102587549-11
NR375--MA0768.1.LEF1	chr11	4642387	4642401	-	0.000	0.000	Merged-chr11-4642323-2
NR272--MA0768.1.LEF1	chr10	60000148	60000162	+	0.000	0.000	Merged-chr10-60000232-10
NR290--MA0768.1.LEF1	chr10	75417807	75417821	+	0.000	0.000	Merged-chr10-75417748-37
NR1178--MA0768.1.LEF1	chr17	84636035	84636049	-	0.000	0.000	Merged-chr17-84636147-9
NR604--MA0768.1.LEF1	chr13	9107246	9107260	+	0.000	0.000	Merged-chr13-9107382-45
NR2277--MA0768.1.LEF1	chr6	124683920	124683934	+	0.000	0.000	Merged-chr6-124683900-13
NR980--MA0768.1.LEF1	chr16	7419921	7419935	-	0.000	0.000	Merged-chr16-7419949-42
NR2295--MA0768.1.LEF1	chr6	134174879	134174893	+	0.000	0.000	Merged-chr6-134175051-22
NR1747--MA0768.1.LEF1	chr3	117044608	117044622	+	0.000	0.000	Merged-chr3-117044595-20
NR2725--MA0768.1.LEF1	chr9	123376967	123376981	-	0.000	0.000	Merged-chr9-123377036-7
NR2770--MA0768.1.LEF1	chrY	11858125	11858139	-	0.000	0.000	Merged-chrY-11858126-43
NR869--MA0768.1.LEF1	chr14	121354191	121354205	+	0.000	0.000	Merged-chr14-121354142-24
NR654--MA0768.1.LEF1	chr13	55255378	55255392	-	0.000	0.000	Merged-chr13-55255412-37
NR1340--MA0768.1.LEF1	chr19	40665894	40665908	-	0.000	0.000	Merged-chr19-40666029-20
NR1667--MA0768.1.LEF1	chr3	58658548	58658562	-	0.000	0.000	Merged-chr3-58658570-11
NR887--MA0768.1.LEF1	chr15	18951825	18951839	-	0.000	0.000	Merged-chr15-18951851-25
NR999--MA0768.1.LEF1	chr16	25466154	25466168	+	0.000	0.000	Merged-chr16-25466054-6
NR1470--MA0768.1.LEF1	chr2	70727345	70727359	+	0.000	0.000	Merged-chr2-70727299-23
NR1112--MA0768.1.LEF1	chr17	21661761	21661775	+	0.000	0.000	Merged-chr17-21661730-8
NR690--MA0768.1.LEF1	chr13	92639028	92639042	-	0.000	0.000	Merged-chr13-92639220-17
NR1224--MA0768.1.LEF1	chr18	38701046	38701060	+	0.000	0.000	Merged-chr18-38700911-27
NR444--MA0768.1.LEF1	chr11	108901317	108901331	-	0.000	0.000	Merged-chr11-108901238-21
NR1457--MA0768.1.LEF1	chr2	65422035	65422049	+	0.000	0.000	Merged-chr2-65422005-11
NR1569--MA0768.1.LEF1	chr2	135823829	135823843	-	0.000	0.000	Merged-chr2-135823878-14
NR2547--MA0768.1.LEF1	chr8	110846142	110846156	-	0.000	0.000	Merged-chr8-110845988-12
NR2332--MA0768.1.LEF1	chr7	12987473	12987487	-	0.000	0.000	Merged-chr7-12987633-12
NR480--MA0768.1.LEF1	chr12	25601138	25601152	-	0.000	0.000	Merged-chr12-25601123-16
NR592--MA0768.1.LEF1	chr12	117679063	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR1699--MA0768.1.LEF1	chr3	81489540	81489554	-	0.000	0.000	Merged-chr3-81489616-14
NR1802--MA0768.1.LEF1	chr3	152127481	152127495	+	0.000	0.000	Merged-chr3-152127515-20
NR1050--MA0768.1.LEF1	chr16	70007129	70007143	+	0.000	0.000	Merged-chr16-70007136-17
NR136--MA0768.1.LEF1	chr1	144141066	144141080	-	0.000	0.000	Merged-chr1-144141131-13
NR915--MA0768.1.LEF1	chr15	50694323	50694337	+	0.000	0.000	Merged-chr15-50694314-20
NR1610--MA0768.1.LEF1	chr2	157122032	157122046	-	0.000	0.000	Merged-chr2-157121969-26
NR154--MA0768.1.LEF1	chr1	156901812	156901826	+	0.000	0.000	Merged-chr1-156901975-24
NR284--MA0768.1.LEF1	chr10	67697939	67697953	+	0.000	0.000	Merged-chr10-67697981-39
NR1852--MA0768.1.LEF1	chr4	46100259	46100273	+	0.000	0.000	Merged-chr4-46100049-18
NR2154--MA0768.1.LEF1	chr6	15783259	15783273	+	0.000	0.000	Merged-chr6-15783250-24
NR611--MA0768.1.LEF1	chr13	13582032	13582046	-	0.000	0.000	Merged-chr13-13582107-29
NR21--MA0768.1.LEF1	chr1	36960732	36960746	+	0.000	0.000	Merged-chr1-36960699-30
NR2038--MA0768.1.LEF1	chr5	74105557	74105571	-	0.000	0.000	Merged-chr5-74105575-19
NR298--MA0768.1.LEF1	chr10	81249641	81249655	-	0.000	0.000	Merged-chr10-81249714-12
NR35--MA0768.1.LEF1	chr1	57952719	57952733	+	0.000	0.000	Merged-chr1-57952740-16
NR2522--MA0768.1.LEF1	chr8	81735841	81735855	-	0.000	0.000	Merged-chr8-81736050-71
NR1777--MA0768.1.LEF1	chr3	138842536	138842550	+	0.000	0.000	Merged-chr3-138842482-12
NR988--MA0768.1.LEF1	chr16	15910370	15910384	+	0.000	0.000	Merged-chr16-15910429-9
NR894--MA0768.1.LEF1	chr15	27796771	27796785	+	0.000	0.000	Merged-chr15-27796764-17
NR2097--MA0768.1.LEF1	chr5	117924832	117924846	-	0.000	0.000	Merged-chr5-117924808-8
NR648--MA0768.1.LEF1	chr13	52702316	52702330	-	0.000	0.000	Merged-chr13-52702318-14
NR1692--MA0768.1.LEF1	chr3	79129253	79129267	-	0.000	0.000	Merged-chr3-79129160-12
NR317--MA0768.1.LEF1	chr10	93050741	93050755	-	0.000	0.000	Merged-chr10-93050674-1
NR2554--MA0768.1.LEF1	chr8	115237246	115237260	+	0.000	0.000	Merged-chr8-115237313-17
NR1124--MA0768.1.LEF1	chr17	33456822	33456836	+	0.000	0.000	Merged-chr17-33456861-18
NR2460--MA0768.1.LEF1	chr7	142967347	142967361	+	0.000	0.000	Merged-chr7-142967366-1
NR1594--MA0768.1.LEF1	chr2	150130342	150130356	+	0.000	0.000	Merged-chr2-150130462-1
NR2572--MA0768.1.LEF1	chr9	7576792	7576806	+	0.000	0.000	Merged-chr9-7576753-19
NR2214--MA0768.1.LEF1	chr6	85029901	85029915	+	0.000	0.000	Merged-chr6-85029852-8
NR447--MA0768.1.LEF1	chr11	109785570	109785584	+	0.000	0.000	Merged-chr11-109785498-8
NR1008--MA0768.1.LEF1	chr16	32972825	32972839	-	0.000	0.000	Merged-chr16-32972762-21
NR483--MA0768.1.LEF1	chr12	31621765	31621779	+	0.000	0.000	Merged-chr12-31621788-10
NR1384--MA0768.1.LEF1	chr2	13132648	13132662	-	0.000	0.000	Merged-chr2-13132891-60
NR1026--MA0768.1.LEF1	chr16	45361319	45361333	-	0.000	0.000	Merged-chr16-45361455-26
NR2116--MA0768.1.LEF1	chr5	134277459	134277473	+	0.000	0.000	Merged-chr5-134277310-4
NR1926--MA0768.1.LEF1	chr4	120044774	120044788	-	0.000	0.000	Merged-chr4-120044912-16
NR1062--MA0768.1.LEF1	chr16	84995568	84995582	+	0.000	0.000	Merged-chr16-84995665-26
NR273--MA0768.1.LEF1	chr10	60000162	60000176	-	0.000	0.000	Merged-chr10-60000232-10
NR1841--MA0768.1.LEF1	chr4	34429185	34429199	+	0.000	0.000	Merged-chr4-34429163-2
NR1080--MA0768.1.LEF1	chr16	94374314	94374328	-	0.000	0.000	Merged-chr16-94374445-4
NR291--MA0768.1.LEF1	chr10	75417901	75417915	-	0.000	0.000	Merged-chr10-75417748-37
NR1980--MA0768.1.LEF1	chr5	17438053	17438067	-	0.000	0.000	Merged-chr5-17438091-4
NR1613--MA0768.1.LEF1	chr2	158673175	158673189	-	0.000	0.000	Merged-chr2-158673458-23
NR1058--MA0768.1.LEF1	chr16	78595986	78596000	-	0.000	0.000	Merged-chr16-78595924-17
NR1734--MA0768.1.LEF1	chr3	108124338	108124352	+	0.000	0.000	Merged-chr3-108124378-33
NR1076--MA0768.1.LEF1	chr16	92307632	92307646	+	0.000	0.000	Merged-chr16-92307633-7
NR502--MA0768.1.LEF1	chr12	41337045	41337059	-	0.000	0.000	Merged-chr12-41336902-7
NR33--MA0768.1.LEF1	chr1	54179463	54179477	+	0.000	0.000	Merged-chr1-54179404-9
NR753--MA0768.1.LEF1	chr14	15273330	15273344	-	0.000	0.000	Merged-chr14-15273135-43
NR2623--MA0768.1.LEF1	chr9	61745154	61745168	-	0.000	0.000	Merged-chr9-61745239-9
NR2068--MA0768.1.LEF1	chr5	97090319	97090333	+	0.000	0.000	Merged-chr5-97090318-20
NR1211--MA0768.1.LEF1	chr18	24237172	24237186	+	0.000	0.000	Merged-chr18-24237197-17
NR47--MA0768.1.LEF1	chr1	64308910	64308924	-	0.000	0.000	Merged-chr1-64308786-15
NR2771--MA0768.1.LEF1	chrY	11858272	11858286	-	0.000	0.000	Merged-chrY-11858126-43
NR2628--MA0768.1.LEF1	chr9	65084566	65084580	-	0.000	0.000	Merged-chr9-65084631-10
NR65--MA0768.1.LEF1	chr1	84318772	84318786	+	0.000	0.000	Merged-chr1-84318831-8
NR1668--MA0768.1.LEF1	chr3	60124187	60124201	+	0.000	0.000	Merged-chr3-60124423-36
NR83--MA0768.1.LEF1	chr1	95375651	95375665	-	0.000	0.000	Merged-chr1-95375799-8
NR1113--MA0768.1.LEF1	chr17	21661845	21661859	+	0.000	0.000	Merged-chr17-21661730-8
NR897--MA0768.1.LEF1	chr15	31649926	31649940	+	0.000	0.000	Merged-chr15-31649789-27
NR324--MA0768.1.LEF1	chr10	96955127	96955141	+	0.000	0.000	Merged-chr10-96955164-15
NR1225--MA0768.1.LEF1	chr18	38701109	38701123	+	0.000	0.000	Merged-chr18-38700911-27
NR2566--MA0768.1.LEF1	chr8	126826117	126826131	-	0.000	0.000	Merged-chr8-126826357-7
NR1700--MA0768.1.LEF1	chr3	84569605	84569619	+	0.000	0.000	Merged-chr3-84569742-8
NR1821--MA0768.1.LEF1	chr4	8499645	8499659	+	0.000	0.000	Merged-chr4-8499502-2
NR2141--MA0768.1.LEF1	chr5	151417186	151417200	+	0.000	0.000	Merged-chr5-151417137-15
NR804--MA0768.1.LEF1	chr14	61012532	61012546	+	0.000	0.000	Merged-chr14-61012611-17
NR267--MA0768.1.LEF1	chr10	59435688	59435702	-	0.000	0.000	Merged-chr10-59435699-1
NR1168--MA0768.1.LEF1	chr17	78304331	78304345	-	0.000	0.000	Merged-chr17-78304287-20
NR1620--MA0768.1.LEF1	chr2	164534495	164534509	-	0.000	0.000	Merged-chr2-164534526-17
NR706--MA0768.1.LEF1	chr13	103357024	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR2267--MA0768.1.LEF1	chr6	118621837	118621851	-	0.000	0.000	Merged-chr6-118621968-6
NR970--MA0768.1.LEF1	chr15	100145185	100145199	-	0.000	0.000	Merged-chr15-100145354-14
NR818--MA0768.1.LEF1	chr14	73472603	73472617	+	0.000	0.000	Merged-chr14-73472602-8
NR630--MA0768.1.LEF1	chr13	41447153	41447167	-	0.000	0.000	Merged-chr13-41447189-7
NR1531--MA0768.1.LEF1	chr2	114197100	114197114	-	0.000	0.000	Merged-chr2-114197005-3
NR40--MA0768.1.LEF1	chr1	60883019	60883033	-	0.000	0.000	Merged-chr1-60883000-15
NR2500--MA0768.1.LEF1	chr8	60954792	60954806	+	0.000	0.000	Merged-chr8-60954738-34
NR1643--MA0768.1.LEF1	chr3	21639667	21639681	-	0.000	0.000	Merged-chr3-21639655-12
NR187--MA0768.1.LEF1	chr1	181157415	181157429	-	0.000	0.000	Merged-chr1-181157308-13
NR1755--MA0768.1.LEF1	chr3	126825153	126825167	-	0.000	0.000	Merged-chr3-126825034-19
NR1661--MA0768.1.LEF1	chr3	54400014	54400028	-	0.000	0.000	Merged-chr3-54399982-24
NR1867--MA0768.1.LEF1	chr4	57834166	57834180	+	0.000	0.000	Merged-chr4-57834236-9
NR2630--MA0768.1.LEF1	chr9	66899728	66899742	-	0.000	0.000	Merged-chr9-66899689-35
NR1200--MA0768.1.LEF1	chr18	10154685	10154699	+	0.000	0.000	Merged-chr18-10154788-16
NR2751--MA0768.1.LEF1	chrX	106608147	106608161	+	0.000	0.000	Merged-chrX-106608183-10
NR1527--MA0768.1.LEF1	chr2	113234794	113234808	-	0.000	0.000	Merged-chr2-113234652-8
NR1312--MA0768.1.LEF1	chr19	16274717	16274731	-	0.000	0.000	Merged-chr19-16274697-6
NR532--MA0768.1.LEF1	chr12	77070154	77070168	-	0.000	0.000	Merged-chr12-77070291-10
NR1791--MA0768.1.LEF1	chr3	144232067	144232081	-	0.000	0.000	Merged-chr3-144232172-58
NR644--MA0768.1.LEF1	chr13	52144226	52144240	-	0.000	0.000	Merged-chr13-52144310-15
NR1778--MA0768.1.LEF1	chr3	138864258	138864272	-	0.000	0.000	Merged-chr3-138864342-22
NR1205--MA0768.1.LEF1	chr18	15331923	15331937	-	0.000	0.000	Merged-chr18-15331866-28
NR1335--MA0768.1.LEF1	chr19	34510905	34510919	+	0.000	0.000	Merged-chr19-34511025-19
NR2519--MA0768.1.LEF1	chr8	79060043	79060057	-	0.000	0.000	Merged-chr8-79060066-12
NR1447--MA0768.1.LEF1	chr2	59998025	59998039	+	0.000	0.000	Merged-chr2-59997998-11
NR1353--MA0768.1.LEF1	chr19	47915525	47915539	+	0.000	0.000	Merged-chr19-47915460-18
NR564--MA0768.1.LEF1	chr12	105538348	105538362	+	0.000	0.000	Merged-chr12-105538395-6
NR1107--MA0768.1.LEF1	chr17	15591416	15591430	+	0.000	0.000	Merged-chr17-15591479-15
NR470--MA0768.1.LEF1	chr12	8817860	8817874	+	0.000	0.000	Merged-chr12-8817903-12
NR224--MA0768.1.LEF1	chr10	18139515	18139529	+	0.000	0.000	Merged-chr10-18139344-30
NR121--MA0768.1.LEF1	chr1	133571478	133571492	+	0.000	0.000	Merged-chr1-133571423-3
NR2000--MA0768.1.LEF1	chr5	36140747	36140761	+	0.000	0.000	Merged-chr5-36140594-4,Merged-chr5-36140888-1
NR1810--MA0768.1.LEF1	chr3	154694065	154694079	-	0.000	0.000	Merged-chr3-154694103-10
NR1940--MA0768.1.LEF1	chr4	135911656	135911670	+	0.000	0.000	Merged-chr4-135911703-15
NR484--MA0768.1.LEF1	chr12	31756175	31756189	-	0.000	0.000	Merged-chr12-31756239-29
NR811--MA0768.1.LEF1	chr14	66805894	66805908	-	0.000	0.000	Merged-chr14-66805736-29
NR1045--MA0768.1.LEF1	chr16	57319958	57319972	+	0.000	0.000	Merged-chr16-57319907-20
NR256--MA0768.1.LEF1	chr10	50650805	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR1824--MA0768.1.LEF1	chr4	11610155	11610169	+	0.000	0.000	Merged-chr4-11610147-18
NR2032--MA0768.1.LEF1	chr5	67930820	67930834	-	0.000	0.000	Merged-chr5-67930859-12
NR158--MA0768.1.LEF1	chr1	161480189	161480203	-	0.000	0.000	Merged-chr1-161480099-19
NR2704--MA0768.1.LEF1	chr9	114592574	114592588	-	0.000	0.000	Merged-chr9-114592565-4
NR1744--MA0768.1.LEF1	chr3	116386819	116386833	+	0.000	0.000	Merged-chr3-116386953-10
NR2606--MA0768.1.LEF1	chr9	40759635	40759649	+	0.000	0.000	Merged-chr9-40759529-7
NR2624--MA0768.1.LEF1	chr9	61745321	61745335	+	0.000	0.000	Merged-chr9-61745239-9
NR1552--MA0768.1.LEF1	chr2	130178197	130178211	+	0.000	0.000	Merged-chr2-130178220-3
NR772--MA0768.1.LEF1	chr14	34670398	34670412	+	0.000	0.000	Merged-chr14-34670464-10
NR1418--MA0768.1.LEF1	chr2	45946382	45946396	+	0.000	0.000	Merged-chr2-45946471-14
NR1454--MA0768.1.LEF1	chr2	65214400	65214414	+	0.000	0.000	Merged-chr2-65214427-21
NR2432--MA0768.1.LEF1	chr7	127922797	127922811	-	0.000	0.000	Merged-chr7-127922827-35
NR2638--MA0768.1.LEF1	chr9	70584831	70584845	+	0.000	0.000	Merged-chr9-70584670-22
NR213--MA0768.1.LEF1	chr10	6954706	6954720	-	0.000	0.000	Merged-chr10-6954726-16
NR2450--MA0768.1.LEF1	chr7	136211566	136211580	+	0.000	0.000	Merged-chr7-136211556-10
NR898--MA0768.1.LEF1	chr15	35465166	35465180	-	0.000	0.000	Merged-chr15-35465086-12
NR1459--MA0768.1.LEF1	chr2	65871122	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR2549--MA0768.1.LEF1	chr8	111582535	111582549	-	0.000	0.000	Merged-chr8-111582684-27
NR2240--MA0768.1.LEF1	chr6	100255577	100255591	+	0.000	0.000	Merged-chr6-100255672-12
NR2697--MA0768.1.LEF1	chr9	108617523	108617537	+	0.000	0.000	Merged-chr9-108617434-16
