#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_up.bed
NR1740--MA0731.1.BCL6B	chr5	122288737	122288753	-	0.000	0.000	Merged-chr5-122288620-47
NR1753--MA0731.1.BCL6B	chr5	134277353	134277369	+	0.000	0.000	Merged-chr5-134277310-4
NR127--MA0731.1.BCL6B	chr1	139179803	139179819	+	0.000	0.000	Merged-chr1-139179878-22
NR379--MA0731.1.BCL6B	chr11	77371459	77371475	-	0.000	0.000	Merged-chr11-77371376-39
NR665--MA0463.1.Bcl6	chr14	53991442	53991455	-	0.000	0.000	Merged-chr14-53991550-13
NR683--MA0463.1.Bcl6	chr14	65393682	65393695	-	0.000	0.000	Merged-chr14-65393664-9
NR437--MA0463.1.Bcl6	chr12	33235889	33235902	+	0.000	0.000	Merged-chr12-33235849-22
NR1440--MA0731.1.BCL6B	chr3	152430996	152431012	-	0.000	0.000	Merged-chr3-152430886-16
NR2110--MA0463.1.Bcl6	chr8	18619058	18619071	-	0.000	0.000	Merged-chr8-18619188-46
NR2209--MA0463.1.Bcl6	chr8	128165795	128165808	-	0.000	0.000	Merged-chr8-128165876-22
NR1432--MA0731.1.BCL6B	chr3	148511210	148511226	+	0.000	0.000	Merged-chr3-148511126-2
NR160--MA0463.1.Bcl6	chr1	164453819	164453832	+	0.000	0.000	Merged-chr1-164453894-15
NR487--MA0463.1.Bcl6	chr12	91774238	91774251	+	0.000	0.000	Merged-chr12-91774223-2
NR1388--MA0463.1.Bcl6	chr3	121593387	121593400	-	0.000	0.000	Merged-chr3-121593516-30
NR1173--MA0463.1.Bcl6	chr2	75055298	75055311	+	0.000	0.000	Merged-chr2-75055098-51
NR908--MA0463.1.Bcl6	chr17	5814097	5814110	+	0.000	0.000	Merged-chr17-5814048-13
NR297--MA0731.1.BCL6B	chr10	95842886	95842902	-	0.000	0.000	Merged-chr10-95843057-27
NR1809--MA0463.1.Bcl6	chr6	49128445	49128458	-	0.000	0.000	Merged-chr6-49128471-29
NR1934--MA0731.1.BCL6B	chr6	145469503	145469519	+	0.000	0.000	Merged-chr6-145469437-17
NR2129--MA0463.1.Bcl6	chr8	41443766	41443779	-	0.000	0.000	Merged-chr8-41443750-12
NR2169--MA0731.1.BCL6B	chr8	95245170	95245186	-	0.000	0.000	Merged-chr8-95245362-18
NR1520--MA0731.1.BCL6B	chr4	86683518	86683534	+	0.000	0.000	Merged-chr4-86683553-15
NR167--MA0731.1.BCL6B	chr1	167871994	167872010	-	0.000	0.000	Merged-chr1-167872060-3
NR604--MA0463.1.Bcl6	chr13	92671666	92671679	-	0.000	0.000	Merged-chr13-92671922-24
NR14--MA0463.1.Bcl6	chr1	30792973	30792986	+	0.000	0.000	Merged-chr1-30793129-16
NR32--MA0463.1.Bcl6	chr1	64527545	64527558	-	0.000	0.000	Merged-chr1-64527761-39
NR861--MA0731.1.BCL6B	chr16	50315648	50315664	-	0.000	0.000	Merged-chr16-50315651-21
NR752--MA0463.1.Bcl6	chr15	9190110	9190123	-	0.000	0.000	Merged-chr15-9190055-23
NR524--MA0463.1.Bcl6	chr12	117553514	117553527	-	0.000	0.000	Merged-chr12-117553468-60
NR1998--MA0463.1.Bcl6	chr7	75387910	75387923	+	0.000	0.000	Merged-chr7-75388095-45
NR1425--MA0463.1.Bcl6	chr3	146063290	146063303	-	0.000	0.000	Merged-chr3-146063322-20
NR1111--MA0731.1.BCL6B	chr2	25095309	25095325	+	0.000	0.000	Merged-chr2-25095278-14
NR1905--MA0731.1.BCL6B	chr6	134120747	134120763	-	0.000	0.000	Merged-chr6-134120751-43
NR748--MA0463.1.Bcl6	chr14	122754731	122754744	-	0.000	0.000	Merged-chr14-122754701-5
NR64--MA0463.1.Bcl6	chr1	88578415	88578428	-	0.000	0.000	Merged-chr1-88578300-28
NR560--MA0463.1.Bcl6	chr13	44469934	44469947	-	0.000	0.000	Merged-chr13-44469890-10
NR2106--MA0731.1.BCL6B	chr8	12607380	12607396	-	0.000	0.000	Merged-chr8-12607436-37
NR561--MA0731.1.BCL6B	chr13	48843577	48843593	+	0.000	0.000	Merged-chr13-48843644-14
NR69--MA0463.1.Bcl6	chr1	91024162	91024175	-	0.000	0.000	Merged-chr1-91024136-16
NR556--MA0463.1.Bcl6	chr13	40418937	40418950	-	0.000	0.000	Merged-chr13-40418835-1
NR2122--MA0463.1.Bcl6	chr8	35321526	35321539	-	0.000	0.000	Merged-chr8-35321635-19
NR1347--MA0731.1.BCL6B	chr3	84501749	84501765	+	0.000	0.000	Merged-chr3-84501551-10
NR1390--MA0731.1.BCL6B	chr3	121593387	121593403	-	0.000	0.000	Merged-chr3-121593516-30
NR2252--MA0463.1.Bcl6	chr9	63749249	63749262	+	0.000	0.000	Merged-chr9-63749415-13
NR172--MA0463.1.Bcl6	chr1	170632632	170632645	+	0.000	0.000	Merged-chr1-170632592-34
NR1164--MA0731.1.BCL6B	chr2	59441660	59441676	-	0.000	0.000	Merged-chr2-59441702-10
NR1852--MA0463.1.Bcl6	chr6	94690438	94690451	+	0.000	0.000	Merged-chr6-94690537-14
NR2154--MA0463.1.Bcl6	chr8	83131698	83131711	-	0.000	0.000	Merged-chr8-83131891-13
NR1839--MA0463.1.Bcl6	chr6	84617231	84617244	-	0.000	0.000	Merged-chr6-84617241-46
NR853--MA0463.1.Bcl6	chr16	44691841	44691854	-	0.000	0.000	Merged-chr16-44691948-13
NR898--MA0731.1.BCL6B	chr16	92762111	92762127	+	0.000	0.000	Merged-chr16-92761917-18
NR755--MA0463.1.Bcl6	chr15	27796718	27796731	+	0.000	0.000	Merged-chr15-27796764-17
NR71--MA0463.1.Bcl6	chr1	91908047	91908060	+	0.000	0.000	Merged-chr1-91908187-5
NR773--MA0463.1.Bcl6	chr15	50261746	50261759	-	0.000	0.000	Merged-chr15-50261633-22
NR1101--MA0463.1.Bcl6	chr2	18403850	18403863	-	0.000	0.000	Merged-chr2-18403900-7
NR1580--MA0463.1.Bcl6	chr4	133162326	133162339	-	0.000	0.000	Merged-chr4-133162474-29
NR791--MA0463.1.Bcl6	chr15	66998608	66998621	-	0.000	0.000	Merged-chr15-66998486-48
NR1464--MA0463.1.Bcl6	chr4	11454095	11454108	-	0.000	0.000	Merged-chr4-11453952-20
NR335--MA0463.1.Bcl6	chr11	6658428	6658441	-	0.000	0.000	Merged-chr11-6658459-18
NR371--MA0463.1.Bcl6	chr11	70473508	70473521	+	0.000	0.000	Merged-chr11-70473545-6
NR143--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR795--MA0731.1.BCL6B	chr15	73092882	73092898	-	0.000	0.000	Merged-chr15-73092789-7
NR940--MA0463.1.Bcl6	chr17	44337039	44337052	+	0.000	0.000	Merged-chr17-44337024-21
NR10--MA0463.1.Bcl6	chr1	23321543	23321556	+	0.000	0.000	Merged-chr1-23321414-28
NR774--MA0731.1.BCL6B	chr15	50261745	50261761	-	0.000	0.000	Merged-chr15-50261633-22
NR2123--MA0731.1.BCL6B	chr8	35321526	35321542	-	0.000	0.000	Merged-chr8-35321635-19
NR1846--MA0463.1.Bcl6	chr6	90653236	90653249	+	0.000	0.000	Merged-chr6-90653255-2
NR121--MA0731.1.BCL6B	chr1	135659879	135659895	+	0.000	0.000	Merged-chr1-135659715-46
NR787--MA0731.1.BCL6B	chr15	64078149	64078165	+	0.000	0.000	Merged-chr15-64078156-8
NR1076--MA0463.1.Bcl6	chr19	41031105	41031118	+	0.000	0.000	Merged-chr19-41031181-46
NR439--MA0731.1.BCL6B	chr12	34249077	34249093	-	0.000	0.000	Merged-chr12-34249045-49
NR525--MA0463.1.Bcl6	chr12	117678925	117678938	+	0.000	0.000	Merged-chr12-117679056-43
NR2346--MA0731.1.BCL6B	chrX	160604100	160604116	+	0.000	0.000	Merged-chrX-160604231-21
NR552--MA0463.1.Bcl6	chr13	34114729	34114742	+	0.000	0.000	Merged-chr13-34114809-14
NR409--MA0463.1.Bcl6	chr11	113574369	113574382	+	0.000	0.000	Merged-chr11-113574265-17
NR1471--MA0463.1.Bcl6	chr4	34049876	34049889	+	0.000	0.000	Merged-chr4-34050032-15
NR2150--MA0731.1.BCL6B	chr8	77367069	77367085	+	0.000	0.000	Merged-chr8-77367221-20
NR445--MA0463.1.Bcl6	chr12	41565991	41566004	-	0.000	0.000	Merged-chr12-41565825-5
NR150--MA0463.1.Bcl6	chr1	160133897	160133910	-	0.000	0.000	Merged-chr1-160133869-7
NR1641--MA0731.1.BCL6B	chr5	23256167	23256183	+	0.000	0.000	Merged-chr5-23256254-4
NR1871--MA0463.1.Bcl6	chr6	114777875	114777888	-	0.000	0.000	Merged-chr6-114777982-17
NR1893--MA0731.1.BCL6B	chr6	126552060	126552076	-	0.000	0.000	Merged-chr6-126552098-38
NR939--MA0463.1.Bcl6	chr17	42999659	42999672	-	0.000	0.000	Merged-chr17-42999862-4
NR1773--MA0463.1.Bcl6	chr5	151416701	151416714	-	0.000	0.000	Merged-chr5-151416725-1
NR1639--MA0463.1.Bcl6	chr5	20845318	20845331	+	0.000	0.000	Merged-chr5-20845245-18
NR961--MA0731.1.BCL6B	chr17	80772627	80772643	-	0.000	0.000	Merged-chr17-80772766-52
NR662--MA0463.1.Bcl6	chr14	48236232	48236245	+	0.000	0.000	Merged-chr14-48236278-24
NR1335--MA0463.1.Bcl6	chr3	79254281	79254294	+	0.000	0.000	Merged-chr3-79254113-1
NR59--MA0463.1.Bcl6	chr1	86344411	86344424	+	0.000	0.000	Merged-chr1-86344486-59
NR1102--MA0731.1.BCL6B	chr2	18403850	18403866	+	0.000	0.000	Merged-chr2-18403900-7
NR1463--MA0731.1.BCL6B	chr4	11454055	11454071	+	0.000	0.000	Merged-chr4-11453952-20
NR1250--MA0463.1.Bcl6	chr2	152962498	152962511	-	0.000	0.000	Merged-chr2-152962501-29
NR1346--MA0731.1.BCL6B	chr3	84305540	84305556	-	0.000	0.000	Merged-chr3-84305403-2
NR1273--MA0463.1.Bcl6	chr2	169398595	169398608	+	0.000	0.000	Merged-chr2-169398588-9
NR923--MA0463.1.Bcl6	chr17	23925348	23925361	+	0.000	0.000	Merged-chr17-23925294-2
NR2126--MA0463.1.Bcl6	chr8	36030435	36030448	-	0.000	0.000	Merged-chr8-36030382-8
NR1175--MA0463.1.Bcl6	chr2	76421639	76421652	+	0.000	0.000	Merged-chr2-76421582-29
NR386--MA0463.1.Bcl6	chr11	80666516	80666529	+	0.000	0.000	Merged-chr11-80666360-28
NR1033--MA0731.1.BCL6B	chr18	79258159	79258175	+	0.000	0.000	Merged-chr18-79258074-1
NR1490--MA0731.1.BCL6B	chr4	54855896	54855912	-	0.000	0.000	Merged-chr4-54855897-1
NR2149--MA0463.1.Bcl6	chr8	77367069	77367082	-	0.000	0.000	Merged-chr8-77367221-20
NR470--MA0731.1.BCL6B	chr12	76923262	76923278	-	0.000	0.000	Merged-chr12-76923289-32
NR1995--MA0463.1.Bcl6	chr7	71242528	71242541	+	0.000	0.000	Merged-chr7-71242656-21
NR1749--MA0463.1.Bcl6	chr5	130088187	130088200	-	0.000	0.000	Merged-chr5-130088239-22
NR592--MA0731.1.BCL6B	chr13	84612705	84612721	+	0.000	0.000	Merged-chr13-84612634-1
NR866--MA0463.1.Bcl6	chr16	52292678	52292691	+	0.000	0.000	Merged-chr16-52292729-42
NR1657--MA0731.1.BCL6B	chr5	45790284	45790300	+	0.000	0.000	Merged-chr5-45790409-20
NR441--MA0731.1.BCL6B	chr12	35831526	35831542	-	0.000	0.000	Merged-chr12-35831478-13
NR1002--MA0463.1.Bcl6	chr18	57976984	57976997	-	0.000	0.000	Merged-chr18-57976918-16
NR1378--MA0731.1.BCL6B	chr3	108916907	108916923	-	0.000	0.000	Merged-chr3-108916963-5
NR558--MA0463.1.Bcl6	chr13	44260136	44260149	+	0.000	0.000	Merged-chr13-44260111-9
NR343--MA0463.1.Bcl6	chr11	22936719	22936732	-	0.000	0.000	Merged-chr11-22936648-30
NR943--MA0731.1.BCL6B	chr17	50291676	50291692	-	0.000	0.000	Merged-chr17-50291771-9
NR1086--MA0731.1.BCL6B	chr19	61110280	61110296	+	0.000	0.000	Merged-chr19-61110222-22
NR98--MA0463.1.Bcl6	chr1	118403981	118403994	-	0.000	0.000	Merged-chr1-118403887-21
NR2130--MA0731.1.BCL6B	chr8	41443766	41443782	+	0.000	0.000	Merged-chr8-41443750-12
NR97--MA0731.1.BCL6B	chr1	118403928	118403944	+	0.000	0.000	Merged-chr1-118403887-21
NR263--MA0463.1.Bcl6	chr10	75417577	75417590	-	0.000	0.000	Merged-chr10-75417748-37
NR1182--MA0463.1.Bcl6	chr2	79698323	79698336	+	0.000	0.000	Merged-chr2-79698404-21
NR2008--MA0463.1.Bcl6	chr7	88460108	88460121	-	0.000	0.000	Merged-chr7-88459917-15
NR1458--MA0731.1.BCL6B	chr4	8903258	8903274	-	0.000	0.000	Merged-chr4-8903379-6
NR534--MA0731.1.BCL6B	chr13	6471745	6471761	+	0.000	0.000	Merged-chr13-6471803-19
NR2138--MA0463.1.Bcl6	chr8	61283117	61283130	-	0.000	0.000	Merged-chr8-61283229-50
NR1742--MA0463.1.Bcl6	chr5	124907074	124907087	+	0.000	0.000	Merged-chr5-124907107-45
NR953--MA0463.1.Bcl6	chr17	65740379	65740392	-	0.000	0.000	Merged-chr17-65740416-17
NR895--MA0731.1.BCL6B	chr16	91374132	91374148	-	0.000	0.000	Merged-chr16-91374174-40
NR949--MA0463.1.Bcl6	chr17	56885000	56885013	+	0.000	0.000	Merged-chr17-56885050-19
NR1541--MA0463.1.Bcl6	chr4	102210083	102210096	+	0.000	0.000	Merged-chr4-102210111-10
NR1774--MA0463.1.Bcl6	chr5	151416847	151416860	-	0.000	0.000	Merged-chr5-151416725-1
NR2076--MA0463.1.Bcl6	chr7	130812771	130812784	-	0.000	0.000	Merged-chr7-130812664-20
NR891--MA0463.1.Bcl6	chr16	87597755	87597768	+	0.000	0.000	Merged-chr16-87597793-27
NR533--MA0463.1.Bcl6	chr13	6471748	6471761	+	0.000	0.000	Merged-chr13-6471803-19
NR739--MA0463.1.Bcl6	chr14	118109843	118109856	-	0.000	0.000	Merged-chr14-118109992-14
NR430--MA0463.1.Bcl6	chr12	28699707	28699720	+	0.000	0.000	Merged-chr12-28699931-23
NR757--MA0463.1.Bcl6	chr15	31472915	31472928	+	0.000	0.000	Merged-chr15-31472972-16
NR1461--MA0463.1.Bcl6	chr4	11404254	11404267	+	0.000	0.000	Merged-chr4-11404244-13
NR1389--MA0731.1.BCL6B	chr3	121593387	121593403	+	0.000	0.000	Merged-chr3-121593516-30
NR1121--MA0463.1.Bcl6	chr2	32553757	32553770	+	0.000	0.000	Merged-chr2-32553962-47
NR117--MA0731.1.BCL6B	chr1	132316104	132316120	+	0.000	0.000	Merged-chr1-132316198-37
NR1831--MA0731.1.BCL6B	chr6	70103457	70103473	-	0.000	0.000	Merged-chr6-70103466-27
NR2271--MA0731.1.BCL6B	chr9	89842701	89842717	+	0.000	0.000	Merged-chr9-89842601-13
NR2337--MA0731.1.BCL6B	chrX	104587399	104587415	+	0.000	0.000	Merged-chrX-104587558-7
NR444--MA0731.1.BCL6B	chr12	40579987	40580003	+	0.000	0.000	Merged-chr12-40580075-1
NR2207--MA0463.1.Bcl6	chr8	127672146	127672159	-	0.000	0.000	Merged-chr8-127671980-1
NR2225--MA0463.1.Bcl6	chr9	32668470	32668483	+	0.000	0.000	Merged-chr9-32668373-11
NR467--MA0463.1.Bcl6	chr12	75496175	75496188	-	0.000	0.000	Merged-chr12-75496120-14
NR152--MA0731.1.BCL6B	chr1	161309642	161309658	+	0.000	0.000	Merged-chr1-161309457-43
NR1171--MA0463.1.Bcl6	chr2	71360338	71360351	-	0.000	0.000	Merged-chr2-71360379-16
NR239--MA0463.1.Bcl6	chr10	53863685	53863698	+	0.000	0.000	Merged-chr10-53863643-19
NR906--MA0463.1.Bcl6	chr16	97869925	97869938	-	0.000	0.000	Merged-chr16-97869698-43
NR436--MA0731.1.BCL6B	chr12	30557461	30557477	-	0.000	0.000	Merged-chr12-30557589-12
NR293--MA0463.1.Bcl6	chr10	94378508	94378521	+	0.000	0.000	Merged-chr10-94378414-58
NR1400--MA0463.1.Bcl6	chr3	129308481	129308494	+	0.000	0.000	Merged-chr3-129308560-67
NR410--MA0463.1.Bcl6	chr11	113612289	113612302	-	0.000	0.000	Merged-chr11-113612276-39
NR880--MA0463.1.Bcl6	chr16	72218122	72218135	-	0.000	0.000	Merged-chr16-72218239-19
NR1470--MA0731.1.BCL6B	chr4	32869023	32869039	+	0.000	0.000	Merged-chr4-32869066-16
NR1419--MA0463.1.Bcl6	chr3	142706757	142706770	+	0.000	0.000	Merged-chr3-142706916-9
NR1462--MA0731.1.BCL6B	chr4	11404251	11404267	-	0.000	0.000	Merged-chr4-11404244-13
NR1688--MA0463.1.Bcl6	chr5	91960046	91960059	-	0.000	0.000	Merged-chr5-91960197-8
NR232--MA0463.1.Bcl6	chr10	39387280	39387293	-	0.000	0.000	Merged-chr10-39387129-14
NR438--MA0463.1.Bcl6	chr12	34249080	34249093	+	0.000	0.000	Merged-chr12-34249045-49
NR1800--MA0463.1.Bcl6	chr6	37564211	37564224	-	0.000	0.000	Merged-chr6-37564158-19
NR559--MA0463.1.Bcl6	chr13	44376071	44376084	+	0.000	0.000	Merged-chr13-44376077-22
NR1550--MA0731.1.BCL6B	chr4	109079933	109079949	-	0.000	0.000	Merged-chr4-109079913-32
NR1616--MA0731.1.BCL6B	chr5	5749605	5749621	+	0.000	0.000	Merged-chr5-5749564-48
NR2219--MA0463.1.Bcl6	chr9	21679884	21679897	-	0.000	0.000	Merged-chr9-21680027-16
