#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR880--MA0769.1.Tcf7	chr10	50650808	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR5590--MA0769.1.Tcf7	chr3	81489543	81489554	-	0.000	0.000	Merged-chr3-81489616-14
NR342--MA0523.1.TCF7L2	chr1	119469561	119469574	-	0.000	0.000	Merged-chr1-119469584-5
NR6162--MA1421.1.TCF7L1	chr4	55755860	55755871	-	0.000	0.000	Merged-chr4-55755950-2
NR7739--MA0769.1.Tcf7	chr7	58691973	58691984	+	0.000	0.000	Merged-chr7-58692005-1
NR4438--MA0523.1.TCF7L2	chr19	38837529	38837542	-	0.000	0.000	Merged-chr19-38837457-3
NR7472--MA1421.1.TCF7L1	chr6	120006467	120006478	+	0.000	0.000	Merged-chr6-120006378-7
NR3890--MA0769.1.Tcf7	chr17	57167169	57167180	+	0.000	0.000	Merged-chr17-57167239-24
NR3671--MA1421.1.TCF7L1	chr16	92307632	92307643	+	0.000	0.000	Merged-chr16-92307633-7
NR7556--MA0769.1.Tcf7	chr6	138269150	138269161	-	0.000	0.000	Merged-chr6-138269074-1
NR2232--MA0769.1.Tcf7	chr13	38938673	38938684	+	0.000	0.000	Merged-chr13-38938571-13
NR228--MA0769.1.Tcf7	chr1	85961046	85961057	+	0.000	0.000	Merged-chr1-85961052-28
NR8525--MA1421.1.TCF7L1	chr9	14071856	14071867	+	0.000	0.000	Merged-chr9-14072005-21
NR3340--MA0769.1.Tcf7	chr15	102165933	102165944	+	0.000	0.000	Merged-chr15-102165758-28
NR565--MA0523.1.TCF7L2	chr1	165869958	165869971	-	0.000	0.000	Merged-chr1-165869909-3
NR6158--MA0769.1.Tcf7	chr4	54855960	54855971	+	0.000	0.000	Merged-chr4-54855897-1
NR1980--MA0769.1.Tcf7	chr12	92625191	92625202	+	0.000	0.000	Merged-chr12-92625384-3
NR4556--MA0769.1.Tcf7	chr2	6716857	6716868	-	0.000	0.000	Merged-chr2-6716828-13
NR1506--MA0769.1.Tcf7	chr11	84529299	84529310	-	0.000	0.000	Merged-chr11-84529361-2
NR8447--MA1421.1.TCF7L1	chr8	120596172	120596183	+	0.000	0.000	Merged-chr8-120596111-22
NR8556--MA0523.1.TCF7L2	chr9	24331761	24331774	+	0.000	0.000	Merged-chr9-24331833-14
NR1473--MA0523.1.TCF7L2	chr11	74800984	74800997	-	0.000	0.000	Merged-chr11-74801071-1
NR7979--MA1421.1.TCF7L1	chr7	119808847	119808858	+	0.000	0.000	Merged-chr7-119808886-15
NR1484--MA1421.1.TCF7L1	chr11	76677202	76677213	-	0.000	0.000	Merged-chr11-76677169-5
NR8621--MA0769.1.Tcf7	chr9	42423787	42423798	+	0.000	0.000	Merged-chr9-42423784-11
NR6334--MA0769.1.Tcf7	chr4	107260085	107260096	+	0.000	0.000	Merged-chr4-107260166-15
NR5596--MA0523.1.TCF7L2	chr3	84569605	84569618	+	0.000	0.000	Merged-chr3-84569742-8
NR8951--MA0523.1.TCF7L2	chr9	114604273	114604286	-	0.000	0.000	Merged-chr9-114604237-4
NR1033--MA1421.1.TCF7L1	chr10	82728186	82728197	-	0.000	0.000	Merged-chr10-82728321-8
NR7474--MA0769.1.Tcf7	chr6	120006467	120006478	+	0.000	0.000	Merged-chr6-120006378-7
NR7043--MA0523.1.TCF7L2	chr6	5147853	5147866	+	0.000	0.000	Merged-chr6-5147663-1
NR6333--MA1421.1.TCF7L1	chr4	107260085	107260096	+	0.000	0.000	Merged-chr4-107260166-15
NR743--MA1421.1.TCF7L1	chr10	7995744	7995755	-	0.000	0.000	Merged-chr10-7995784-10
NR261--MA1421.1.TCF7L1	chr1	92627817	92627828	-	0.000	0.000	Merged-chr1-92627858-2
NR4371--MA0769.1.Tcf7	chr19	16274720	16274731	-	0.000	0.000	Merged-chr19-16274697-6
NR6703--MA1421.1.TCF7L1	chr5	72163354	72163365	+	0.000	0.000	Merged-chr5-72163190-22
NR1571--MA0523.1.TCF7L2	chr11	101199604	101199617	+	0.000	0.000	Merged-chr11-101199720-6
NR414--MA0523.1.TCF7L2	chr1	138251251	138251264	-	0.000	0.000	Merged-chr1-138251251-10
NR5961--MA0523.1.TCF7L2	chr3	146776738	146776751	+	0.000	0.000	Merged-chr3-146776816-2
NR3373--MA1421.1.TCF7L1	chr16	10399306	10399317	-	0.000	0.000	Merged-chr16-10399279-20
NR6918--MA1421.1.TCF7L1	chr5	121173009	121173020	+	0.000	0.000	Merged-chr5-121173124-16
NR5900--MA0769.1.Tcf7	chr3	138842536	138842547	+	0.000	0.000	Merged-chr3-138842482-12
NR5848--MA1421.1.TCF7L1	chr3	132575307	132575318	-	0.000	0.000	Merged-chr3-132575270-5
NR448--MA0523.1.TCF7L2	chr1	143993237	143993250	-	0.000	0.000	Merged-chr1-143993220-9
NR2671--MA0769.1.Tcf7	chr14	30024459	30024470	-	0.000	0.000	Merged-chr14-30024538-20
NR326--MA1421.1.TCF7L1	chr1	108038616	108038627	-	0.000	0.000	Merged-chr1-108038539-17
NR6627--MA0523.1.TCF7L2	chr5	44180970	44180983	-	0.000	0.000	Merged-chr5-44180865-15
NR4066--MA0523.1.TCF7L2	chr18	32149476	32149489	-	0.000	0.000	Merged-chr18-32149405-13
NR1335--MA0523.1.TCF7L2	chr11	16858776	16858789	-	0.000	0.000	Merged-chr11-16858803-1
NR3093--MA1421.1.TCF7L1	chr15	35917965	35917976	+	0.000	0.000	Merged-chr15-35918069-6
NR94--MA1421.1.TCF7L1	chr1	43475216	43475227	-	0.000	0.000	Merged-chr1-43475284-1
NR227--MA1421.1.TCF7L1	chr1	85961046	85961057	+	0.000	0.000	Merged-chr1-85961052-28
NR7575--MA0769.1.Tcf7	chr6	142567726	142567737	-	0.000	0.000	Merged-chr6-142567710-6
NR2273--MA1421.1.TCF7L1	chr13	51690452	51690463	+	0.000	0.000	Merged-chr13-51690450-25
NR3065--MA0523.1.TCF7L2	chr15	25910531	25910544	+	0.000	0.000	Merged-chr15-25910388-17
NR6051--MA0769.1.Tcf7	chr4	8499645	8499656	+	0.000	0.000	Merged-chr4-8499502-2
NR5709--MA0769.1.Tcf7	chr3	103862399	103862410	+	0.000	0.000	Merged-chr3-103862515-1
NR4352--MA1421.1.TCF7L1	chr19	11055837	11055848	-	0.000	0.000	Merged-chr19-11055893-27
NR5708--MA0523.1.TCF7L2	chr3	103862399	103862412	+	0.000	0.000	Merged-chr3-103862515-1
NR2269--MA1421.1.TCF7L1	chr13	49248370	49248381	-	0.000	0.000	Merged-chr13-49248536-2
NR3692--MA0523.1.TCF7L2	chr16	95134313	95134326	-	0.000	0.000	Merged-chr16-95134376-1
NR2807--MA0769.1.Tcf7	chr14	61773199	61773210	+	0.000	0.000	Merged-chr14-61773241-2
NR6153--MA0523.1.TCF7L2	chr4	53278142	53278155	+	0.000	0.000	Merged-chr4-53278272-26
NR9025--MA1421.1.TCF7L1	chr9	123376970	123376981	-	0.000	0.000	Merged-chr9-123377036-7
NR1558--MA0523.1.TCF7L2	chr11	98660778	98660791	+	0.000	0.000	Merged-chr11-98660794-12
NR1089--MA0523.1.TCF7L2	chr10	93050742	93050755	-	0.000	0.000	Merged-chr10-93050674-1
NR2937--MA0769.1.Tcf7	chr14	103532700	103532711	-	0.000	0.000	Merged-chr14-103532610-9
NR413--MA0523.1.TCF7L2	chr1	138251266	138251279	+	0.000	0.000	Merged-chr1-138251251-10
NR4369--MA1421.1.TCF7L1	chr19	16274720	16274731	-	0.000	0.000	Merged-chr19-16274697-6
NR4684--MA0523.1.TCF7L2	chr2	44159717	44159730	+	0.000	0.000	Merged-chr2-44159655-18
NR450--MA0769.1.Tcf7	chr1	143993239	143993250	-	0.000	0.000	Merged-chr1-143993220-9
NR327--MA0523.1.TCF7L2	chr1	108038614	108038627	-	0.000	0.000	Merged-chr1-108038539-17
NR1309--MA0523.1.TCF7L2	chr11	4642388	4642401	-	0.000	0.000	Merged-chr11-4642323-2
NR7882--MA1421.1.TCF7L1	chr7	101635945	101635956	+	0.000	0.000	Merged-chr7-101636183-33
NR786--MA0523.1.TCF7L2	chr10	19747729	19747742	-	0.000	0.000	Merged-chr10-19747869-22
NR6157--MA0523.1.TCF7L2	chr4	54855960	54855973	+	0.000	0.000	Merged-chr4-54855897-1
NR8623--MA0523.1.TCF7L2	chr9	42463999	42464012	+	0.000	0.000	Merged-chr9-42464013-7
NR8560--MA0769.1.Tcf7	chr9	25549250	25549261	-	0.000	0.000	Merged-chr9-25549394-11
NR1717--MA0523.1.TCF7L2	chr12	21472606	21472619	-	0.000	0.000	Merged-chr12-21472738-21
NR3693--MA0769.1.Tcf7	chr16	95134315	95134326	-	0.000	0.000	Merged-chr16-95134376-1
NR389--MA0769.1.Tcf7	chr1	133571485	133571496	+	0.000	0.000	Merged-chr1-133571423-3
NR9026--MA0523.1.TCF7L2	chr9	123376968	123376981	-	0.000	0.000	Merged-chr9-123377036-7
NR3237--MA0769.1.Tcf7	chr15	81131233	81131244	-	0.000	0.000	Merged-chr15-81131354-10
NR4685--MA0769.1.Tcf7	chr2	44159717	44159728	+	0.000	0.000	Merged-chr2-44159655-18
NR7574--MA0523.1.TCF7L2	chr6	142567724	142567737	-	0.000	0.000	Merged-chr6-142567710-6
NR4439--MA0769.1.Tcf7	chr19	38837531	38837542	-	0.000	0.000	Merged-chr19-38837457-3
NR5588--MA1421.1.TCF7L1	chr3	81489543	81489554	-	0.000	0.000	Merged-chr3-81489616-14
NR7046--MA0769.1.Tcf7	chr6	6149797	6149808	+	0.000	0.000	Merged-chr6-6149577-22
NR4354--MA0769.1.Tcf7	chr19	11055837	11055848	-	0.000	0.000	Merged-chr19-11055893-27
NR7738--MA0523.1.TCF7L2	chr7	58691973	58691986	+	0.000	0.000	Merged-chr7-58692005-1
NR8025--MA0523.1.TCF7L2	chr7	127898877	127898890	+	0.000	0.000	Merged-chr7-127898776-6
NR7510--MA0523.1.TCF7L2	chr6	129275961	129275974	-	0.000	0.000	Merged-chr6-129276104-1
NR6628--MA0769.1.Tcf7	chr5	44180972	44180983	-	0.000	0.000	Merged-chr5-44180865-15
NR5899--MA0523.1.TCF7L2	chr3	138842536	138842549	+	0.000	0.000	Merged-chr3-138842482-12
NR1239--MA0523.1.TCF7L2	chr10	117984830	117984843	-	0.000	0.000	Merged-chr10-117984742-1
NR7884--MA0769.1.Tcf7	chr7	101635945	101635956	+	0.000	0.000	Merged-chr7-101636183-33
NR1336--MA0769.1.Tcf7	chr11	16858780	16858791	+	0.000	0.000	Merged-chr11-16858803-1
NR2936--MA0523.1.TCF7L2	chr14	103532698	103532711	-	0.000	0.000	Merged-chr14-103532610-9
NR3095--MA0769.1.Tcf7	chr15	35917965	35917976	+	0.000	0.000	Merged-chr15-35918069-6
NR328--MA0769.1.Tcf7	chr1	108038616	108038627	-	0.000	0.000	Merged-chr1-108038539-17
NR96--MA0769.1.Tcf7	chr1	43475216	43475227	-	0.000	0.000	Merged-chr1-43475284-1
NR4437--MA1421.1.TCF7L1	chr19	38837531	38837542	-	0.000	0.000	Merged-chr19-38837457-3
NR1699--MA0769.1.Tcf7	chr12	15940839	15940850	+	0.000	0.000	Merged-chr12-15940918-8
NR5705--MA0769.1.Tcf7	chr3	103640397	103640408	-	0.000	0.000	Merged-chr3-103640406-6
NR796--MA1421.1.TCF7L1	chr10	22714721	22714732	-	0.000	0.000	Merged-chr10-22714818-39
NR1292--MA0769.1.Tcf7	chr10	128043801	128043812	+	0.000	0.000	Merged-chr10-128043792-2
NR3339--MA0523.1.TCF7L2	chr15	102165933	102165946	+	0.000	0.000	Merged-chr15-102165758-28
NR6164--MA0769.1.Tcf7	chr4	55755860	55755871	-	0.000	0.000	Merged-chr4-55755950-2
NR3364--MA0523.1.TCF7L2	chr16	7419922	7419935	-	0.000	0.000	Merged-chr16-7419949-42
NR1718--MA0769.1.Tcf7	chr12	21472608	21472619	-	0.000	0.000	Merged-chr12-21472738-21
NR5764--MA0769.1.Tcf7	chr3	115897972	115897983	-	0.000	0.000	Merged-chr3-115897908-5
NR5589--MA0523.1.TCF7L2	chr3	81489541	81489554	-	0.000	0.000	Merged-chr3-81489616-14
NR51--MA0523.1.TCF7L2	chr1	35580595	35580608	-	0.000	0.000	Merged-chr1-35580626-34
NR7091--MA0523.1.TCF7L2	chr6	28553178	28553191	-	0.000	0.000	Merged-chr6-28553228-1
NR8376--MA0523.1.TCF7L2	chr8	95679302	95679315	-	0.000	0.000	Merged-chr8-95679341-1
NR260--MA0523.1.TCF7L2	chr1	92627765	92627778	-	0.000	0.000	Merged-chr1-92627858-2
NR5568--MA0769.1.Tcf7	chr3	79129256	79129267	-	0.000	0.000	Merged-chr3-79129160-12
NR3066--MA0769.1.Tcf7	chr15	25910531	25910542	+	0.000	0.000	Merged-chr15-25910388-17
NR1291--MA1421.1.TCF7L1	chr10	128043801	128043812	+	0.000	0.000	Merged-chr10-128043792-2
NR787--MA0769.1.Tcf7	chr10	19747731	19747742	-	0.000	0.000	Merged-chr10-19747869-22
NR3235--MA0523.1.TCF7L2	chr15	80020709	80020722	+	0.000	0.000	Merged-chr15-80020745-7
NR6578--MA0769.1.Tcf7	chr5	24894952	24894963	-	0.000	0.000	Merged-chr5-24894966-9
NR1035--MA0769.1.Tcf7	chr10	82728186	82728197	-	0.000	0.000	Merged-chr10-82728321-8
NR879--MA0523.1.TCF7L2	chr10	50650806	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR5567--MA0523.1.TCF7L2	chr3	79129254	79129267	-	0.000	0.000	Merged-chr3-79129160-12
NR4532--MA0523.1.TCF7L2	chr2	3525922	3525935	+	0.000	0.000	Merged-chr2-3525948-8
NR6919--MA0769.1.Tcf7	chr5	121173009	121173020	+	0.000	0.000	Merged-chr5-121173124-16
NR2670--MA1421.1.TCF7L1	chr14	30024459	30024470	-	0.000	0.000	Merged-chr14-30024538-20
NR8557--MA0769.1.Tcf7	chr9	24331761	24331772	+	0.000	0.000	Merged-chr9-24331833-14
NR6248--MA1421.1.TCF7L1	chr4	87669755	87669766	+	0.000	0.000	Merged-chr4-87669731-33
NR2217--MA0523.1.TCF7L2	chr13	30833848	30833861	+	0.000	0.000	Merged-chr13-30833715-52
NR1206--MA1421.1.TCF7L1	chr10	114645086	114645097	-	0.000	0.000	Merged-chr10-114644949-1
NR3086--MA1421.1.TCF7L1	chr15	31649926	31649937	+	0.000	0.000	Merged-chr15-31649789-27
NR2806--MA0523.1.TCF7L2	chr14	61773199	61773212	+	0.000	0.000	Merged-chr14-61773241-2
NR4033--MA0523.1.TCF7L2	chr18	12876590	12876603	+	0.000	0.000	Merged-chr18-12876665-8
NR5318--MA0523.1.TCF7L2	chr2	169423640	169423653	-	0.000	0.000	Merged-chr2-169423761-9
NR6163--MA0523.1.TCF7L2	chr4	55755858	55755871	-	0.000	0.000	Merged-chr4-55755950-2
NR449--MA0523.1.TCF7L2	chr1	143993256	143993269	-	0.000	0.000	Merged-chr1-143993220-9
NR4345--MA1421.1.TCF7L1	chr19	7294771	7294782	-	0.000	0.000	Merged-chr19-7294791-1
NR8952--MA0769.1.Tcf7	chr9	114604275	114604286	-	0.000	0.000	Merged-chr9-114604237-4
NR1207--MA0769.1.Tcf7	chr10	114645086	114645097	-	0.000	0.000	Merged-chr10-114644949-1
NR2072--MA1421.1.TCF7L1	chr12	114093825	114093836	+	0.000	0.000	Merged-chr12-114094020-26
NR7473--MA0523.1.TCF7L2	chr6	120006467	120006480	+	0.000	0.000	Merged-chr6-120006378-7
NR1337--MA0769.1.Tcf7	chr11	16858778	16858789	-	0.000	0.000	Merged-chr11-16858803-1
NR3672--MA0523.1.TCF7L2	chr16	92307632	92307645	+	0.000	0.000	Merged-chr16-92307633-7
NR3087--MA0769.1.Tcf7	chr15	31649926	31649937	+	0.000	0.000	Merged-chr15-31649789-27
NR388--MA0523.1.TCF7L2	chr1	133571485	133571498	+	0.000	0.000	Merged-chr1-133571423-3
NR1755--MA1421.1.TCF7L1	chr12	34143172	34143183	+	0.000	0.000	Merged-chr12-34143068-3
NR3173--MA0523.1.TCF7L2	chr15	63971803	63971816	-	0.000	0.000	Merged-chr15-63971776-11
NR6154--MA0523.1.TCF7L2	chr4	53278261	53278274	-	0.000	0.000	Merged-chr4-53278272-26
NR5311--MA1421.1.TCF7L1	chr2	168429802	168429813	+	0.000	0.000	Merged-chr2-168429700-17
NR8620--MA0523.1.TCF7L2	chr9	42423787	42423800	+	0.000	0.000	Merged-chr9-42423784-11
NR3375--MA0769.1.Tcf7	chr16	10399306	10399317	-	0.000	0.000	Merged-chr16-10399279-20
NR6864--MA0769.1.Tcf7	chr5	107529092	107529103	-	0.000	0.000	Merged-chr5-107529039-9
NR1557--MA1421.1.TCF7L1	chr11	98660778	98660789	+	0.000	0.000	Merged-chr11-98660794-12
NR5704--MA0523.1.TCF7L2	chr3	103640395	103640408	-	0.000	0.000	Merged-chr3-103640406-6
NR1572--MA0769.1.Tcf7	chr11	101199604	101199615	+	0.000	0.000	Merged-chr11-101199720-6
NR3889--MA1421.1.TCF7L1	chr17	57167169	57167180	+	0.000	0.000	Merged-chr17-57167239-24
NR1559--MA0769.1.Tcf7	chr11	98660778	98660789	+	0.000	0.000	Merged-chr11-98660794-12
NR8624--MA0769.1.Tcf7	chr9	42463999	42464010	+	0.000	0.000	Merged-chr9-42464013-7
NR1034--MA0523.1.TCF7L2	chr10	82728184	82728197	-	0.000	0.000	Merged-chr10-82728321-8
NR4508--MA1421.1.TCF7L1	chr19	58051237	58051248	-	0.000	0.000	Merged-chr19-58051277-2
NR8622--MA1421.1.TCF7L1	chr9	42463999	42464010	+	0.000	0.000	Merged-chr9-42464013-7
NR8231--MA0769.1.Tcf7	chr8	46722876	46722887	-	0.000	0.000	Merged-chr8-46722876-13
NR292--MA0769.1.Tcf7	chr1	98088346	98088357	+	0.000	0.000	Merged-chr1-98088226-2
NR744--MA0523.1.TCF7L2	chr10	7995742	7995755	-	0.000	0.000	Merged-chr10-7995784-10
NR1090--MA0769.1.Tcf7	chr10	93050744	93050755	-	0.000	0.000	Merged-chr10-93050674-1
NR8559--MA0523.1.TCF7L2	chr9	25549248	25549261	-	0.000	0.000	Merged-chr9-25549394-11
NR2274--MA0769.1.Tcf7	chr13	51690452	51690463	+	0.000	0.000	Merged-chr13-51690450-25
NR5288--MA1421.1.TCF7L1	chr2	163048289	163048300	+	0.000	0.000	Merged-chr2-163048277-32
NR864--MA0523.1.TCF7L2	chr10	41822714	41822727	+	0.000	0.000	Merged-chr10-41822812-15
NR7573--MA1421.1.TCF7L1	chr6	142567726	142567737	-	0.000	0.000	Merged-chr6-142567710-6
NR3374--MA0523.1.TCF7L2	chr16	10399304	10399317	-	0.000	0.000	Merged-chr16-10399279-20
NR745--MA0769.1.Tcf7	chr10	7995744	7995755	-	0.000	0.000	Merged-chr10-7995784-10
NR9050--MA1421.1.TCF7L1	chrX	23710264	23710275	-	0.000	0.000	Merged-chrX-23710216-10
NR789--MA1421.1.TCF7L1	chr10	20231315	20231326	+	0.000	0.000	Merged-chr10-20231392-7
NR1505--MA1421.1.TCF7L1	chr11	84529299	84529310	-	0.000	0.000	Merged-chr11-84529361-2
NR4034--MA0769.1.Tcf7	chr18	12876590	12876601	+	0.000	0.000	Merged-chr18-12876665-8
NR2199--MA0769.1.Tcf7	chr13	23734524	23734535	+	0.000	0.000	Merged-chr13-23734534-7
NR8230--MA1421.1.TCF7L1	chr8	46722876	46722887	-	0.000	0.000	Merged-chr8-46722876-13
NR679--MA0523.1.TCF7L2	chr1	184408910	184408923	+	0.000	0.000	Merged-chr1-184408969-3
NR4619--MA1421.1.TCF7L1	chr2	25828733	25828744	+	0.000	0.000	Merged-chr2-25828697-14
NR9027--MA0769.1.Tcf7	chr9	123376970	123376981	-	0.000	0.000	Merged-chr9-123377036-7
NR4370--MA0523.1.TCF7L2	chr19	16274718	16274731	-	0.000	0.000	Merged-chr19-16274697-6
NR3094--MA0523.1.TCF7L2	chr15	35917965	35917978	+	0.000	0.000	Merged-chr15-35918069-6
NR8855--MA0769.1.Tcf7	chr9	95835518	95835529	-	0.000	0.000	Merged-chr9-95835465-2
NR95--MA0523.1.TCF7L2	chr1	43475214	43475227	-	0.000	0.000	Merged-chr1-43475284-1
NR343--MA0769.1.Tcf7	chr1	119469563	119469574	-	0.000	0.000	Merged-chr1-119469584-5
