#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR452--MA0508.2.PRDM1	chr12	25256455	25256464	+	0.000	0.000	Merged-chr12-25256439-11
NR518--MA0508.2.PRDM1	chr12	100928450	100928459	-	0.000	0.000	Merged-chr12-100928517-22
NR282--MA0508.2.PRDM1	chr10	98776467	98776476	+	0.000	0.000	Merged-chr10-98776574-38
NR566--MA0508.2.PRDM1	chr13	19272861	19272870	+	0.000	0.000	Merged-chr13-19272899-14
NR423--MA0508.2.PRDM1	chr11	116398139	116398148	+	0.000	0.000	Merged-chr11-116398180-34
NR675--MA0508.2.PRDM1	chr14	15770067	15770076	+	0.000	0.000	Merged-chr14-15770075-60
NR1640--MA0508.2.PRDM1	chr5	92467531	92467540	+	0.000	0.000	Merged-chr5-92467651-16
NR2080--MA0508.2.PRDM1	chr8	96851955	96851964	-	0.000	0.000	Merged-chr8-96851957-10
NR396--MA0508.2.PRDM1	chr11	84252631	84252640	+	0.000	0.000	Merged-chr11-84252620-21
NR428--MA0508.2.PRDM1	chr11	121027497	121027506	+	0.000	0.000	Merged-chr11-121027485-17
NR1632--MA0508.2.PRDM1	chr5	77367902	77367911	+	0.000	0.000	Merged-chr5-77367800-15
NR258--MA0508.2.PRDM1	chr10	81382495	81382504	+	0.000	0.000	Merged-chr10-81382450-15
NR2064--MA0508.2.PRDM1	chr8	84759395	84759404	-	0.000	0.000	Merged-chr8-84759322-6
NR489--MA0508.2.PRDM1	chr12	79540464	79540473	+	0.000	0.000	Merged-chr12-79540426-22
NR216--MA0508.2.PRDM1	chr10	41984246	41984255	+	0.000	0.000	Merged-chr10-41984389-13
NR2165--MA0508.2.PRDM1	chr9	63711960	63711969	+	0.000	0.000	Merged-chr9-63712041-20
NR1704--MA0508.2.PRDM1	chr5	145631391	145631400	+	0.000	0.000	Merged-chr5-145631455-2
NR1630--MA0508.2.PRDM1	chr5	77166259	77166268	-	0.000	0.000	Merged-chr5-77166256-29
NR1460--MA0508.2.PRDM1	chr4	11077714	11077723	+	0.000	0.000	Merged-chr4-11077783-17
NR1364--MA0508.2.PRDM1	chr3	105900414	105900423	+	0.000	0.000	Merged-chr3-105900628-63
NR1996--MA0508.2.PRDM1	chr7	125511557	125511566	-	0.000	0.000	Merged-chr7-125511628-40
NR1072--MA0508.2.PRDM1	chr19	14305900	14305909	+	0.000	0.000	Merged-chr19-14305924-12
NR1181--MA0508.2.PRDM1	chr2	73070696	73070705	-	0.000	0.000	Merged-chr2-73070867-8
NR1356--MA0508.2.PRDM1	chr3	101245490	101245499	-	0.000	0.000	Merged-chr3-101245474-18
NR432--MA0508.2.PRDM1	chr12	3871067	3871076	-	0.000	0.000	Merged-chr12-3871224-57
NR1322--MA0508.2.PRDM1	chr3	69223750	69223759	+	0.000	0.000	Merged-chr3-69223977-21
NR1226--MA0508.2.PRDM1	chr2	117089713	117089722	-	0.000	0.000	Merged-chr2-117089625-28
NR1749--MA0508.2.PRDM1	chr6	66472924	66472933	+	0.000	0.000	Merged-chr6-66473070-26
NR1335--MA0508.2.PRDM1	chr3	86206658	86206667	-	0.000	0.000	Merged-chr3-86206725-10
NR411--MA0508.2.PRDM1	chr11	104667628	104667637	-	0.000	0.000	Merged-chr11-104667644-45
NR881--MA0508.2.PRDM1	chr16	49772880	49772889	-	0.000	0.000	Merged-chr16-49772867-33
NR1199--MA0508.2.PRDM1	chr2	92832733	92832742	-	0.000	0.000	Merged-chr2-92832861-1
NR371--MA0508.2.PRDM1	chr11	59398102	59398111	+	0.000	0.000	Merged-chr11-59397887-30
NR751--MA0508.2.PRDM1	chr14	103850768	103850777	-	0.000	0.000	Merged-chr14-103850623-36
NR1707--MA0508.2.PRDM1	chr5	149647746	149647755	-	0.000	0.000	Merged-chr5-149647772-15
NR1035--MA0508.2.PRDM1	chr18	73613608	73613617	-	0.000	0.000	Merged-chr18-73613587-25
NR525--MA0508.2.PRDM1	chr12	107497182	107497191	-	0.000	0.000	Merged-chr12-107497155-16
NR581--MA0508.2.PRDM1	chr13	37633208	37633217	-	0.000	0.000	Merged-chr13-37633223-3
NR1027--MA0508.2.PRDM1	chr18	65481389	65481398	+	0.000	0.000	Merged-chr18-65481395-37
NR974--MA0508.2.PRDM1	chr17	69422886	69422895	-	0.000	0.000	Merged-chr17-69422874-19
NR1659--MA0508.2.PRDM1	chr5	103412565	103412574	-	0.000	0.000	Merged-chr5-103412550-11
NR735--MA0508.2.PRDM1	chr14	78685463	78685472	-	0.000	0.000	Merged-chr14-78685455-11
NR422--MA0508.2.PRDM1	chr11	115869448	115869457	-	0.000	0.000	Merged-chr11-115869577-16
NR1359--MA0508.2.PRDM1	chr3	103314495	103314504	+	0.000	0.000	Merged-chr3-103314506-15
NR382--MA0508.2.PRDM1	chr11	72176095	72176104	+	0.000	0.000	Merged-chr11-72176027-2
NR653--MA0508.2.PRDM1	chr13	108426961	108426970	+	0.000	0.000	Merged-chr13-108426890-1
NR177--MA0508.2.PRDM1	chr1	191780578	191780587	+	0.000	0.000	Merged-chr1-191780513-20
NR491--MA0508.2.PRDM1	chr12	79832918	79832927	-	0.000	0.000	Merged-chr12-79832817-8
NR1208--MA0508.2.PRDM1	chr2	102975919	102975928	-	0.000	0.000	Merged-chr2-102975832-14
NR361--MA0508.2.PRDM1	chr11	46229281	46229290	+	0.000	0.000	Merged-chr11-46229299-6
NR374--MA0508.2.PRDM1	chr11	66961727	66961736	-	0.000	0.000	Merged-chr11-66961666-9
NR1631--MA0508.2.PRDM1	chr5	77253288	77253297	-	0.000	0.000	Merged-chr5-77253463-13
NR483--MA0508.2.PRDM1	chr12	75837728	75837737	+	0.000	0.000	Merged-chr12-75837700-7
NR387--MA0508.2.PRDM1	chr11	78766568	78766577	-	0.000	0.000	Merged-chr11-78766561-26
NR496--MA0508.2.PRDM1	chr12	82226657	82226666	+	0.000	0.000	Merged-chr12-82226802-5
NR419--MA0508.2.PRDM1	chr11	113009617	113009626	+	0.000	0.000	Merged-chr11-113009621-13
NR2116--MA0508.2.PRDM1	chr9	22366938	22366947	+	0.000	0.000	Merged-chr9-22366928-17
NR2063--MA0508.2.PRDM1	chr8	84106799	84106808	-	0.000	0.000	Merged-chr8-84106629-28
NR1461--MA0508.2.PRDM1	chr4	11095667	11095676	-	0.000	0.000	Merged-chr4-11095738-16
NR1711--MA0508.2.PRDM1	chr6	4047309	4047318	+	0.000	0.000	Merged-chr6-4047358-2
NR2217--MA0508.2.PRDM1	chr9	113917083	113917092	+	0.000	0.000	Merged-chr9-113917131-18
NR119--MA0508.2.PRDM1	chr1	156574201	156574210	+	0.000	0.000	Merged-chr1-156574252-14
NR576--MA0508.2.PRDM1	chr13	30766853	30766862	-	0.000	0.000	Merged-chr13-30767058-33
NR1976--MA0508.2.PRDM1	chr7	109861567	109861576	-	0.000	0.000	Merged-chr7-109861640-6
NR459--MA0508.2.PRDM1	chr12	32099662	32099671	+	0.000	0.000	Merged-chr12-32099741-8
NR1302--MA0508.2.PRDM1	chr3	21838229	21838238	+	0.000	0.000	Merged-chr3-21838264-19
NR2265--MA0508.2.PRDM1	chrX	105721364	105721373	-	0.000	0.000	Merged-chrX-105721364-12
NR1480--MA0508.2.PRDM1	chr4	59230659	59230668	+	0.000	0.000	Merged-chr4-59230603-11
NR1363--MA0508.2.PRDM1	chr3	105133211	105133220	+	0.000	0.000	Merged-chr3-105133189-20
NR1634--MA0508.2.PRDM1	chr5	89044630	89044639	+	0.000	0.000	Merged-chr5-89044543-8
NR1905--MA0508.2.PRDM1	chr7	34918665	34918674	+	0.000	0.000	Merged-chr7-34918703-8
NR710--MA0508.2.PRDM1	chr14	61953304	61953313	+	0.000	0.000	Merged-chr14-61953231-1
NR962--MA0508.2.PRDM1	chr17	50070401	50070410	+	0.000	0.000	Merged-chr17-50070273-24
NR1899--MA0508.2.PRDM1	chr7	28788966	28788975	+	0.000	0.000	Merged-chr7-28788971-18
NR1626--MA0508.2.PRDM1	chr5	72948147	72948156	-	0.000	0.000	Merged-chr5-72948182-5
NR1639--MA0508.2.PRDM1	chr5	92327576	92327585	-	0.000	0.000	Merged-chr5-92327493-24
NR1748--MA0508.2.PRDM1	chr6	66472895	66472904	+	0.000	0.000	Merged-chr6-66473070-26
NR1586--MA0508.2.PRDM1	chr5	8397740	8397749	+	0.000	0.000	Merged-chr5-8397712-7
NR1552--MA0508.2.PRDM1	chr4	134365259	134365268	+	0.000	0.000	Merged-chr4-134365385-7
NR771--MA0508.2.PRDM1	chr14	122290592	122290601	-	0.000	0.000	Merged-chr14-122290582-19
NR74--MA0508.2.PRDM1	chr1	126827112	126827121	+	0.000	0.000	Merged-chr1-126827039-1
NR1198--MA0508.2.PRDM1	chr2	92243956	92243965	-	0.000	0.000	Merged-chr2-92243919-9
NR1469--MA0508.2.PRDM1	chr4	43563263	43563272	+	0.000	0.000	Merged-chr4-43563179-4
NR994--MA0508.2.PRDM1	chr17	88038451	88038460	+	0.000	0.000	Merged-chr17-88038382-13
NR1122--MA0508.2.PRDM1	chr2	14312636	14312645	+	0.000	0.000	Merged-chr2-14312633-23
NR973--MA0508.2.PRDM1	chr17	69401401	69401410	-	0.000	0.000	Merged-chr17-69401476-24
NR224--MA0508.2.PRDM1	chr10	44381639	44381648	-	0.000	0.000	Merged-chr10-44381463-1
NR203--MA0508.2.PRDM1	chr10	21188087	21188096	+	0.000	0.000	Merged-chr10-21187975-21
NR381--MA0508.2.PRDM1	chr11	71991749	71991758	-	0.000	0.000	Merged-chr11-71991697-3
NR556--MA0508.2.PRDM1	chr13	5286476	5286485	+	0.000	0.000	Merged-chr13-5286449-11
NR883--MA0508.2.PRDM1	chr16	52132955	52132964	-	0.000	0.000	Merged-chr16-52133067-26
NR2083--MA0508.2.PRDM1	chr8	106795031	106795040	+	0.000	0.000	Merged-chr8-106794988-23
NR418--MA0508.2.PRDM1	chr11	110897214	110897223	+	0.000	0.000	Merged-chr11-110897111-25
NR1037--MA0508.2.PRDM1	chr18	73765290	73765299	+	0.000	0.000	Merged-chr18-73765273-28
NR399--MA0508.2.PRDM1	chr11	90258456	90258465	-	0.000	0.000	Merged-chr11-90258330-4
NR269--MA0508.2.PRDM1	chr10	93195069	93195078	+	0.000	0.000	Merged-chr10-93194947-1
NR1840--MA0508.2.PRDM1	chr6	129406200	129406209	+	0.000	0.000	Merged-chr6-129406250-15
NR195--MA0508.2.PRDM1	chr10	12607463	12607472	+	0.000	0.000	Merged-chr10-12607451-15
NR575--MA0508.2.PRDM1	chr13	30754222	30754231	-	0.000	0.000	Merged-chr13-30754228-8
NR846--MA0508.2.PRDM1	chr16	22432040	22432049	-	0.000	0.000	Merged-chr16-22432023-24
NR1824--MA0508.2.PRDM1	chr6	120056377	120056386	+	0.000	0.000	Merged-chr6-120056156-40
NR2121--MA0508.2.PRDM1	chr9	32521343	32521352	-	0.000	0.000	Merged-chr9-32521383-3
NR1946--MA0508.2.PRDM1	chr7	90074607	90074616	-	0.000	0.000	Merged-chr7-90074700-23
NR668--MA0508.2.PRDM1	chr13	115042838	115042847	+	0.000	0.000	Merged-chr13-115042812-10
NR20--MA0508.2.PRDM1	chr1	43224399	43224408	+	0.000	0.000	Merged-chr1-43224405-37
NR429--MA0508.2.PRDM1	chr11	121039431	121039440	-	0.000	0.000	Merged-chr11-121039238-62
NR1904--MA0508.2.PRDM1	chr7	31037210	31037219	-	0.000	0.000	Merged-chr7-31037177-5
NR1742--MA0508.2.PRDM1	chr6	54991382	54991391	+	0.000	0.000	Merged-chr6-54991459-9
NR2105--MA0508.2.PRDM1	chr8	128433663	128433672	-	0.000	0.000	Merged-chr8-128433570-8
NR1580--MA0508.2.PRDM1	chr4	155208111	155208120	+	0.000	0.000	Merged-chr4-155208089-31
NR2118--MA0508.2.PRDM1	chr9	25430014	25430023	-	0.000	0.000	Merged-chr9-25429934-32
NR129--MA0508.2.PRDM1	chr1	164053690	164053699	-	0.000	0.000	Merged-chr1-164053798-7
NR810--MA0508.2.PRDM1	chr15	77123320	77123329	-	0.000	0.000	Merged-chr15-77123073-12
NR2044--MA0508.2.PRDM1	chr8	57387865	57387874	-	0.000	0.000	Merged-chr8-57387843-7
NR1856--MA0508.2.PRDM1	chr6	140441031	140441040	-	0.000	0.000	Merged-chr6-140440916-30
NR1713--MA0508.2.PRDM1	chr6	6149522	6149531	+	0.000	0.000	Merged-chr6-6149577-22
NR1455--MA0508.2.PRDM1	chr4	6844147	6844156	+	0.000	0.000	Merged-chr4-6844197-28
NR1726--MA0508.2.PRDM1	chr6	35462700	35462709	+	0.000	0.000	Merged-chr6-35462751-23
NR1272--MA0508.2.PRDM1	chr2	158163223	158163232	+	0.000	0.000	Merged-chr2-158163220-8
NR1923--MA0508.2.PRDM1	chr7	58701546	58701555	+	0.000	0.000	Merged-chr7-58701532-33
NR2158--MA0508.2.PRDM1	chr9	60991674	60991683	+	0.000	0.000	Merged-chr9-60991715-48
NR1665--MA0508.2.PRDM1	chr5	105609879	105609888	+	0.000	0.000	Merged-chr5-105609798-27
NR1317--MA0508.2.PRDM1	chr3	59222492	59222501	-	0.000	0.000	Merged-chr3-59222464-17
NR1806--MA0508.2.PRDM1	chr6	107749026	107749035	-	0.000	0.000	Merged-chr6-107749008-33
NR1875--MA0508.2.PRDM1	chr6	147672795	147672804	+	0.000	0.000	Merged-chr6-147672675-1
NR1113--MA0508.2.PRDM1	chr19	60681667	60681676	-	0.000	0.000	Merged-chr19-60681647-27
