#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR388--MA0766.1.GATA5	chr1	139009693	139009700	-	0.000	0.000	Merged-chr1-139009798-23
NR541--MA0035.3.Gata1	chr1	171643756	171643766	+	0.000	0.000	Merged-chr1-171643793-46
NR6782--MA0036.3.GATA2	chr7	27725771	27725781	+	0.000	0.000	Merged-chr7-27725861-23
NR5295--MA0035.3.Gata1	chr4	10977004	10977014	-	0.000	0.000	Merged-chr4-10976884-13
NR716--MA0035.3.Gata1	chr10	26229621	26229631	+	0.000	0.000	Merged-chr10-26229708-29
NR6787--MA0035.3.Gata1	chr7	27933592	27933602	-	0.000	0.000	Merged-chr7-27933719-74
NR6373--MA0035.3.Gata1	chr6	91125078	91125088	-	0.000	0.000	Merged-chr6-91125010-35
NR7303--MA0140.2.GATA1::TAL1	chr8	86484973	86484990	+	0.000	0.000	Merged-chr8-86484982-16
NR7382--MA1104.1.GATA6	chr8	111955416	111955428	-	0.000	0.000	Merged-chr8-111955328-48
NR4658--MA0036.3.GATA2	chr2	153525959	153525969	+	0.000	0.000	Merged-chr2-153526092-26
NR5625--MA1104.1.GATA6	chr4	136106795	136106807	-	0.000	0.000	Merged-chr4-136106995-34
NR2293--MA0036.3.GATA2	chr14	19979554	19979564	-	0.000	0.000	Merged-chr14-19979538-4
NR6482--MA0035.3.Gata1	chr6	120580288	120580298	-	0.000	0.000	Merged-chr6-120580158-49
NR986--MA0766.1.GATA5	chr10	117377488	117377495	-	0.000	0.000	Merged-chr10-117377577-5
NR4701--MA0482.1.Gata4	chr2	163131100	163131110	+	0.000	0.000	Merged-chr2-163131105-39
NR1267--MA0140.2.GATA1::TAL1	chr11	76484398	76484415	+	0.000	0.000	Merged-chr11-76484240-22
NR6927--MA0140.2.GATA1::TAL1	chr7	89171855	89171872	+	0.000	0.000	Merged-chr7-89172043-28
NR2012--MA0035.3.Gata1	chr13	63548593	63548603	-	0.000	0.000	Merged-chr13-63548573-9
NR6971--MA0035.3.Gata1	chr7	101504103	101504113	+	0.000	0.000	Merged-chr7-101503907-73
NR3068--MA1104.1.GATA6	chr16	45025477	45025489	+	0.000	0.000	Merged-chr16-45025536-40
NR2434--MA0036.3.GATA2	chr14	54227577	54227587	-	0.000	0.000	Merged-chr14-54227788-83
NR2416--MA0140.2.GATA1::TAL1	chr14	53132508	53132525	+	0.000	0.000	Merged-chr14-53132661-29
NR2121--MA0035.3.Gata1	chr13	101702250	101702260	-	0.000	0.000	Merged-chr13-101702260-81
NR6078--MA0037.3.GATA3	chr5	123603827	123603834	+	0.000	0.000	Merged-chr5-123603758-26
NR6522--MA0036.3.GATA2	chr6	126849235	126849245	-	0.000	0.000	Merged-chr6-126849069-62
NR7980--MA0037.3.GATA3	chrX	135962558	135962565	+	0.000	0.000	Merged-chrX-135962489-11
NR718--MA0482.1.Gata4	chr10	28520082	28520092	-	0.000	0.000	Merged-chr10-28520121-26
NR1337--MA0482.1.Gata4	chr11	98959550	98959560	+	0.000	0.000	Merged-chr11-98959702-39
NR2301--MA0766.1.GATA5	chr14	21683129	21683136	+	0.000	0.000	Merged-chr14-21683018-22
NR4053--MA0035.3.Gata1	chr2	13718858	13718868	+	0.000	0.000	Merged-chr2-13718816-55
NR6569--MA0036.3.GATA2	chr6	130102977	130102987	+	0.000	0.000	Merged-chr6-130103023-31
NR4695--MA0482.1.Gata4	chr2	162998787	162998797	-	0.000	0.000	Merged-chr2-162998735-32
NR7628--MA0482.1.Gata4	chr9	61707989	61707999	+	0.000	0.000	Merged-chr9-61708026-57
NR5333--MA0037.3.GATA3	chr4	33110182	33110189	-	0.000	0.000	Merged-chr4-33110299-20
NR607--MA0036.3.GATA2	chr1	191445990	191446000	+	0.000	0.000	Merged-chr1-191445969-55
NR6663--MA1104.1.GATA6	chr6	142823505	142823517	+	0.000	0.000	Merged-chr6-142823375-40
NR2524--MA0482.1.Gata4	chr14	74889137	74889147	+	0.000	0.000	Merged-chr14-74889136-25
NR435--MA0140.2.GATA1::TAL1	chr1	153847720	153847737	+	0.000	0.000	Merged-chr1-153847735-8
NR757--MA0140.2.GATA1::TAL1	chr10	41978595	41978612	+	0.000	0.000	Merged-chr10-41978788-45
NR4271--MA0035.3.Gata1	chr2	66185005	66185015	-	0.000	0.000	Merged-chr2-66184903-51
NR7599--MA0035.3.Gata1	chr9	48538518	48538528	-	0.000	0.000	Merged-chr9-48538454-59
NR251--MA0482.1.Gata4	chr1	95747470	95747480	-	0.000	0.000	Merged-chr1-95747553-17
NR2633--MA0140.2.GATA1::TAL1	chr14	118090055	118090072	-	0.000	0.000	Merged-chr14-118090082-2
NR4170--MA0036.3.GATA2	chr2	44557374	44557384	-	0.000	0.000	Merged-chr2-44557255-38
NR1115--MA1104.1.GATA6	chr11	23754515	23754527	+	0.000	0.000	Merged-chr11-23754497-34
NR4974--MA0766.1.GATA5	chr3	93550240	93550247	-	0.000	0.000	Merged-chr3-93550146-53
NR241--MA0035.3.Gata1	chr1	94035512	94035522	+	0.000	0.000	Merged-chr1-94035484-87
NR5781--MA0766.1.GATA5	chr5	23416085	23416092	+	0.000	0.000	Merged-chr5-23416133-73
NR6287--MA0766.1.GATA5	chr6	61225494	61225501	-	0.000	0.000	Merged-chr6-61225621-10
NR3676--MA0140.2.GATA1::TAL1	chr18	38144398	38144415	+	0.000	0.000	Merged-chr18-38144417-1
NR2441--MA0140.2.GATA1::TAL1	chr14	56816615	56816632	-	0.000	0.000	Merged-chr14-56816759-21
NR6785--MA1104.1.GATA6	chr7	27933591	27933603	+	0.000	0.000	Merged-chr7-27933719-74
NR966--MA1104.1.GATA6	chr10	111583204	111583216	+	0.000	0.000	Merged-chr10-111583294-13
NR2805--MA0140.2.GATA1::TAL1	chr15	60132881	60132898	-	0.000	0.000	Merged-chr15-60132913-50
NR254--MA0035.3.Gata1	chr1	95747471	95747481	-	0.000	0.000	Merged-chr1-95747553-17
NR1237--MA1104.1.GATA6	chr11	69991096	69991108	-	0.000	0.000	Merged-chr11-69991335-71
NR2094--MA0035.3.Gata1	chr13	95697071	95697081	+	0.000	0.000	Merged-chr13-95697036-46
NR6776--MA0766.1.GATA5	chr7	25296998	25297005	-	0.000	0.000	Merged-chr7-25297148-3
NR1421--MA0140.2.GATA1::TAL1	chr11	115589137	115589154	-	0.000	0.000	Merged-chr11-115589146-15
NR676--MA0036.3.GATA2	chr10	14326189	14326199	-	0.000	0.000	Merged-chr10-14326395-38
NR3848--MA0140.2.GATA1::TAL1	chr18	82513708	82513725	-	0.000	0.000	Merged-chr18-82513500-48
NR3374--MA0037.3.GATA3	chr17	12960400	12960407	-	0.000	0.000	Merged-chr17-12960561-54
NR6307--MA0037.3.GATA3	chr6	67184856	67184863	+	0.000	0.000	Merged-chr6-67184785-39
NR979--MA1104.1.GATA6	chr10	115406653	115406665	-	0.000	0.000	Merged-chr10-115406653-18
NR56--MA0482.1.Gata4	chr1	38883980	38883990	-	0.000	0.000	Merged-chr1-38884000-31
NR6808--MA0766.1.GATA5	chr7	35742554	35742561	-	0.000	0.000	Merged-chr7-35742502-39
NR657--MA0482.1.Gata4	chr10	12993575	12993585	+	0.000	0.000	Merged-chr10-12993694-35
NR2306--MA0766.1.GATA5	chr14	25857535	25857542	-	0.000	0.000	Merged-chr14-25857742-93
NR5705--MA0037.3.GATA3	chr4	149065062	149065069	+	0.000	0.000	Merged-chr4-149065047-12
NR2010--MA1104.1.GATA6	chr13	63548592	63548604	+	0.000	0.000	Merged-chr13-63548573-9
NR4300--MA0766.1.GATA5	chr2	76214465	76214472	+	0.000	0.000	Merged-chr2-76214615-2
NR5539--MA0482.1.Gata4	chr4	109105444	109105454	-	0.000	0.000	Merged-chr4-109105447-43
NR4414--MA0482.1.Gata4	chr2	104763427	104763437	-	0.000	0.000	Merged-chr2-104763396-33
NR2100--MA0036.3.GATA2	chr13	98124618	98124628	+	0.000	0.000	Merged-chr13-98124541-43
NR4799--MA0035.3.Gata1	chr3	14869855	14869865	-	0.000	0.000	Merged-chr3-14869878-60
NR59--MA0035.3.Gata1	chr1	38883981	38883991	-	0.000	0.000	Merged-chr1-38884000-31
NR389--MA0035.3.Gata1	chr1	139009692	139009702	+	0.000	0.000	Merged-chr1-139009798-23
NR3187--MA0482.1.Gata4	chr16	58679047	58679057	-	0.000	0.000	Merged-chr16-58678885-20
NR3953--MA0036.3.GATA2	chr19	29367424	29367434	-	0.000	0.000	Merged-chr19-29367376-49
NR3915--MA0140.2.GATA1::TAL1	chr19	11540582	11540599	+	0.000	0.000	Merged-chr19-11540460-39
NR1960--MA0035.3.Gata1	chr13	52008136	52008146	+	0.000	0.000	Merged-chr13-52008191-11
NR463--MA0140.2.GATA1::TAL1	chr1	160777070	160777087	-	0.000	0.000	Merged-chr1-160777141-20
NR3366--MA0037.3.GATA3	chr17	12165548	12165555	-	0.000	0.000	Merged-chr17-12165459-54
NR4696--MA1104.1.GATA6	chr2	162998787	162998799	+	0.000	0.000	Merged-chr2-162998735-32
NR3223--MA0037.3.GATA3	chr16	75984113	75984120	-	0.000	0.000	Merged-chr16-75984013-36
NR7629--MA1104.1.GATA6	chr9	61707987	61707999	-	0.000	0.000	Merged-chr9-61708026-57
NR1268--MA0482.1.Gata4	chr11	76599251	76599261	-	0.000	0.000	Merged-chr11-76599172-10
NR429--MA0036.3.GATA2	chr1	151457356	151457366	-	0.000	0.000	Merged-chr1-151457268-30
NR6549--MA0140.2.GATA1::TAL1	chr6	129533820	129533837	-	0.000	0.000	Merged-chr6-129533929-3
NR1176--MA0037.3.GATA3	chr11	53330482	53330489	+	0.000	0.000	Merged-chr11-53330512-15
NR6086--MA0036.3.GATA2	chr5	124022516	124022526	+	0.000	0.000	Merged-chr5-124022476-27
NR252--MA1104.1.GATA6	chr1	95747470	95747482	+	0.000	0.000	Merged-chr1-95747553-17
NR7196--MA0037.3.GATA3	chr8	33898110	33898117	+	0.000	0.000	Merged-chr8-33898095-27
NR1511--MA0140.2.GATA1::TAL1	chr12	41844189	41844206	+	0.000	0.000	Merged-chr12-41844052-32
NR4329--MA0036.3.GATA2	chr2	84351082	84351092	+	0.000	0.000	Merged-chr2-84351030-2
NR2659--MA0766.1.GATA5	chr14	121423099	121423106	+	0.000	0.000	Merged-chr14-121422910-45
NR2455--MA0482.1.Gata4	chr14	59943445	59943455	+	0.000	0.000	Merged-chr14-59943344-19
NR6814--MA0482.1.Gata4	chr7	38071355	38071365	-	0.000	0.000	Merged-chr7-38071224-22
NR3964--MA0037.3.GATA3	chr19	31210684	31210691	-	0.000	0.000	Merged-chr19-31210653-54
NR5896--MA0037.3.GATA3	chr5	65832148	65832155	-	0.000	0.000	Merged-chr5-65832305-23
NR4244--MA0482.1.Gata4	chr2	62352186	62352196	+	0.000	0.000	Merged-chr2-62352277-29
NR4996--MA0035.3.Gata1	chr3	102804002	102804012	+	0.000	0.000	Merged-chr3-102804136-20
NR7035--MA0140.2.GATA1::TAL1	chr7	120729749	120729766	-	0.000	0.000	Merged-chr7-120729886-25
NR6560--MA1104.1.GATA6	chr6	130078304	130078316	-	0.000	0.000	Merged-chr6-130078295-22
NR6262--MA0035.3.Gata1	chr6	54078339	54078349	-	0.000	0.000	Merged-chr6-54078374-21
NR6804--MA0035.3.Gata1	chr7	30717421	30717431	+	0.000	0.000	Merged-chr7-30717543-30
NR6285--MA0482.1.Gata4	chr6	61225494	61225504	+	0.000	0.000	Merged-chr6-61225621-10
NR6827--MA0482.1.Gata4	chr7	44344789	44344799	-	0.000	0.000	Merged-chr7-44344765-20
NR2258--MA0766.1.GATA5	chr14	10445400	10445407	-	0.000	0.000	Merged-chr14-10445443-9
NR3674--MA0036.3.GATA2	chr18	35887840	35887850	+	0.000	0.000	Merged-chr18-35887802-1
NR195--MA0482.1.Gata4	chr1	87878051	87878061	+	0.000	0.000	Merged-chr1-87877929-42
NR6142--MA0482.1.Gata4	chr5	147063478	147063488	+	0.000	0.000	Merged-chr5-147063758-85
NR7772--MA0766.1.GATA5	chr9	97068914	97068921	-	0.000	0.000	Merged-chr9-97068935-38
NR4733--MA0482.1.Gata4	chr2	172394058	172394068	+	0.000	0.000	Merged-chr2-172393836-103
NR2690--MA1104.1.GATA6	chr15	8280448	8280460	-	0.000	0.000	Merged-chr15-8280344-8
NR2458--MA0035.3.Gata1	chr14	59943444	59943454	+	0.000	0.000	Merged-chr14-59943344-19
NR381--MA0140.2.GATA1::TAL1	chr1	138449387	138449404	+	0.000	0.000	Merged-chr1-138449346-9
NR5811--MA0482.1.Gata4	chr5	30887490	30887500	-	0.000	0.000	Merged-chr5-30887642-12
NR502--MA0037.3.GATA3	chr1	164960957	164960964	+	0.000	0.000	Merged-chr1-164960822-1
NR57--MA1104.1.GATA6	chr1	38883980	38883992	+	0.000	0.000	Merged-chr1-38884000-31
NR3404--MA0140.2.GATA1::TAL1	chr17	17636257	17636274	-	0.000	0.000	Merged-chr17-17636367-22
NR658--MA1104.1.GATA6	chr10	12993573	12993585	-	0.000	0.000	Merged-chr10-12993694-35
NR2103--MA1104.1.GATA6	chr13	100201824	100201836	-	0.000	0.000	Merged-chr13-100202015-43
NR116--MA0036.3.GATA2	chr1	74726884	74726894	+	0.000	0.000	Merged-chr1-74726770-27
NR7250--MA0037.3.GATA3	chr8	64935135	64935142	-	0.000	0.000	Merged-chr8-64935114-22
NR198--MA0035.3.Gata1	chr1	87878050	87878060	+	0.000	0.000	Merged-chr1-87877929-42
NR5636--MA0037.3.GATA3	chr4	145312628	145312635	+	0.000	0.000	Merged-chr4-145312696-44
NR4736--MA0035.3.Gata1	chr2	172394057	172394067	+	0.000	0.000	Merged-chr2-172393836-103
NR4415--MA1104.1.GATA6	chr2	104763427	104763439	+	0.000	0.000	Merged-chr2-104763396-33
NR3066--MA0037.3.GATA3	chr16	45025480	45025487	+	0.000	0.000	Merged-chr16-45025536-40
NR4098--MA0035.3.Gata1	chr2	25054339	25054349	+	0.000	0.000	Merged-chr2-25054565-53
NR6932--MA1104.1.GATA6	chr7	90007378	90007390	+	0.000	0.000	Merged-chr7-90007418-46
NR3150--MA0140.2.GATA1::TAL1	chr16	55835704	55835721	+	0.000	0.000	Merged-chr16-55835900-11
NR2132--MA0035.3.Gata1	chr13	104041413	104041423	+	0.000	0.000	Merged-chr13-104041328-31
NR187--MA0482.1.Gata4	chr1	85794294	85794304	-	0.000	0.000	Merged-chr1-85794071-131
NR91--MA0766.1.GATA5	chr1	60990423	60990430	-	0.000	0.000	Merged-chr1-60990456-63
NR5880--MA0482.1.Gata4	chr5	62893335	62893345	+	0.000	0.000	Merged-chr5-62893222-24
NR6661--MA0037.3.GATA3	chr6	142823508	142823515	+	0.000	0.000	Merged-chr6-142823375-40
NR5490--MA0035.3.Gata1	chr4	89044205	89044215	+	0.000	0.000	Merged-chr4-89044155-38
NR3188--MA1104.1.GATA6	chr16	58679047	58679059	+	0.000	0.000	Merged-chr16-58678885-20
NR6928--MA0482.1.Gata4	chr7	89841971	89841981	-	0.000	0.000	Merged-chr7-89842093-31
NR4977--MA0482.1.Gata4	chr3	95666283	95666293	+	0.000	0.000	Merged-chr3-95666288-23
NR6166--MA0036.3.GATA2	chr5	151416829	151416839	+	0.000	0.000	Merged-chr5-151416725-1
NR2307--MA0035.3.Gata1	chr14	25857534	25857544	+	0.000	0.000	Merged-chr14-25857742-93
NR719--MA0035.3.Gata1	chr10	28520083	28520093	-	0.000	0.000	Merged-chr10-28520121-26
NR1782--MA0035.3.Gata1	chr12	112743308	112743318	+	0.000	0.000	Merged-chr12-112743369-41
NR3913--MA0766.1.GATA5	chr19	11540581	11540588	-	0.000	0.000	Merged-chr19-11540460-39
NR1113--MA0037.3.GATA3	chr11	23754518	23754525	+	0.000	0.000	Merged-chr11-23754497-34
NR4082--MA0766.1.GATA5	chr2	19320161	19320168	-	0.000	0.000	Merged-chr2-19320316-15
NR5160--MA0766.1.GATA5	chr3	137969288	137969295	-	0.000	0.000	Merged-chr3-137969157-49
NR5248--MA0037.3.GATA3	chr3	152929753	152929760	-	0.000	0.000	Merged-chr3-152929727-94
NR2787--MA0482.1.Gata4	chr15	52900012	52900022	-	0.000	0.000	Merged-chr15-52899831-78
NR2300--MA0037.3.GATA3	chr14	21683129	21683136	+	0.000	0.000	Merged-chr14-21683018-22
NR70--MA0766.1.GATA5	chr1	43457247	43457254	-	0.000	0.000	Merged-chr1-43457148-27
NR2456--MA1104.1.GATA6	chr14	59943443	59943455	-	0.000	0.000	Merged-chr14-59943344-19
NR4109--MA0035.3.Gata1	chr2	29632324	29632334	-	0.000	0.000	Merged-chr2-29632325-58
NR2429--MA0035.3.Gata1	chr14	54165206	54165216	-	0.000	0.000	Merged-chr14-54165125-24
NR1235--MA0037.3.GATA3	chr11	69991098	69991105	-	0.000	0.000	Merged-chr11-69991335-71
NR4245--MA1104.1.GATA6	chr2	62352184	62352196	-	0.000	0.000	Merged-chr2-62352277-29
NR1827--MA0035.3.Gata1	chr12	116620034	116620044	+	0.000	0.000	Merged-chr12-116620074-47
NR1931--MA0036.3.GATA2	chr13	43191921	43191931	+	0.000	0.000	Merged-chr13-43191968-21
NR2033--MA0766.1.GATA5	chr13	67332557	67332564	+	0.000	0.000	Merged-chr13-67332541-54
NR73--MA0036.3.GATA2	chr1	43538868	43538878	+	0.000	0.000	Merged-chr1-43538951-30
NR7823--MA0482.1.Gata4	chr9	102867021	102867031	-	0.000	0.000	Merged-chr9-102867048-29
NR1820--MA1104.1.GATA6	chr12	116177226	116177238	-	0.000	0.000	Merged-chr12-116177118-24
NR5391--MA0766.1.GATA5	chr4	59281127	59281134	-	0.000	0.000	Merged-chr4-59281104-23
NR196--MA1104.1.GATA6	chr1	87878049	87878061	-	0.000	0.000	Merged-chr1-87877929-42
NR559--MA0482.1.Gata4	chr1	179493159	179493169	-	0.000	0.000	Merged-chr1-179493163-27
NR6143--MA1104.1.GATA6	chr5	147063476	147063488	-	0.000	0.000	Merged-chr5-147063758-85
NR4734--MA1104.1.GATA6	chr2	172394056	172394068	-	0.000	0.000	Merged-chr2-172393836-103
NR7451--MA0766.1.GATA5	chr8	127963050	127963057	+	0.000	0.000	Merged-chr8-127963000-27
NR1360--MA0035.3.Gata1	chr11	101627408	101627418	+	0.000	0.000	Merged-chr11-101627512-104
NR1335--MA0766.1.GATA5	chr11	98783304	98783311	+	0.000	0.000	Merged-chr11-98783373-52
NR5812--MA1104.1.GATA6	chr5	30887490	30887502	+	0.000	0.000	Merged-chr5-30887642-12
NR7831--MA0766.1.GATA5	chr9	103426520	103426527	+	0.000	0.000	Merged-chr9-103426550-25
NR4297--MA0482.1.Gata4	chr2	76214462	76214472	-	0.000	0.000	Merged-chr2-76214615-2
NR6038--MA0766.1.GATA5	chr5	107265164	107265171	-	0.000	0.000	Merged-chr5-107265096-67
NR7826--MA0035.3.Gata1	chr9	102867022	102867032	-	0.000	0.000	Merged-chr9-102867048-29
NR4077--MA0036.3.GATA2	chr2	18403845	18403855	+	0.000	0.000	Merged-chr2-18403900-7
NR2474--MA0482.1.Gata4	chr14	61853658	61853668	+	0.000	0.000	Merged-chr14-61853631-6
NR6265--MA1104.1.GATA6	chr6	55511844	55511856	-	0.000	0.000	Merged-chr6-55511868-6
NR5707--MA0766.1.GATA5	chr4	149065062	149065069	+	0.000	0.000	Merged-chr4-149065047-12
NR3485--MA0766.1.GATA5	chr17	52150040	52150047	-	0.000	0.000	Merged-chr17-52149947-112
NR1780--MA1104.1.GATA6	chr12	112743307	112743319	-	0.000	0.000	Merged-chr12-112743369-41
NR1753--MA0035.3.Gata1	chr12	107160238	107160248	-	0.000	0.000	Merged-chr12-107160431-72
NR7537--MA0140.2.GATA1::TAL1	chr9	33060979	33060996	-	0.000	0.000	Merged-chr9-33060885-64
NR2259--MA0035.3.Gata1	chr14	10445399	10445409	+	0.000	0.000	Merged-chr14-10445443-9
NR1728--MA0766.1.GATA5	chr12	102283833	102283840	+	0.000	0.000	Merged-chr12-102283791-1
NR6195--MA0482.1.Gata4	chr6	15793426	15793436	-	0.000	0.000	Merged-chr6-15793359-107
NR1610--MA0035.3.Gata1	chr12	78686010	78686020	-	0.000	0.000	Merged-chr12-78685977-17
NR7773--MA0035.3.Gata1	chr9	97068913	97068923	+	0.000	0.000	Merged-chr9-97068935-38
NR6256--MA0766.1.GATA5	chr6	50387876	50387883	+	0.000	0.000	Merged-chr6-50387910-30
NR7104--MA0037.3.GATA3	chr7	143649723	143649730	-	0.000	0.000	Merged-chr7-143649559-54
NR4694--MA0037.3.GATA3	chr2	162998790	162998797	+	0.000	0.000	Merged-chr2-162998735-32
NR7627--MA0037.3.GATA3	chr9	61707989	61707996	-	0.000	0.000	Merged-chr9-61708026-57
NR188--MA1104.1.GATA6	chr1	85794294	85794306	+	0.000	0.000	Merged-chr1-85794071-131
NR7576--MA0036.3.GATA2	chr9	45945096	45945106	-	0.000	0.000	Merged-chr9-45945206-63
NR1179--MA0140.2.GATA1::TAL1	chr11	54973962	54973979	-	0.000	0.000	Merged-chr11-54973823-46
NR3074--MA0036.3.GATA2	chr16	45093369	45093379	-	0.000	0.000	Merged-chr16-45093384-16
NR6929--MA1104.1.GATA6	chr7	89841971	89841983	+	0.000	0.000	Merged-chr7-89842093-31
NR4978--MA1104.1.GATA6	chr3	95666281	95666293	-	0.000	0.000	Merged-chr3-95666288-23
NR839--MA1104.1.GATA6	chr10	77021622	77021634	-	0.000	0.000	Merged-chr10-77021563-39
NR1825--MA1104.1.GATA6	chr12	116620033	116620045	-	0.000	0.000	Merged-chr12-116620074-47
NR6097--MA0036.3.GATA2	chr5	137747961	137747971	+	0.000	0.000	Merged-chr5-137747869-32
NR4835--MA0037.3.GATA3	chr3	37483951	37483958	+	0.000	0.000	Merged-chr3-37484009-38
NR2788--MA1104.1.GATA6	chr15	52900012	52900024	+	0.000	0.000	Merged-chr15-52899831-78
NR2009--MA0482.1.Gata4	chr13	63548592	63548602	-	0.000	0.000	Merged-chr13-63548573-9
NR7390--MA0766.1.GATA5	chr8	117548685	117548692	-	0.000	0.000	Merged-chr8-117548585-70
NR3430--MA0766.1.GATA5	chr17	32349205	32349212	+	0.000	0.000	Merged-chr17-32349293-10
NR5036--MA0037.3.GATA3	chr3	115729287	115729294	-	0.000	0.000	Merged-chr3-115729400-55
NR3975--MA1104.1.GATA6	chr19	32755814	32755826	+	0.000	0.000	Merged-chr19-32755999-1
NR368--MA0482.1.Gata4	chr1	136601112	136601122	+	0.000	0.000	Merged-chr1-136600909-41
NR3924--MA0482.1.Gata4	chr19	16418579	16418589	+	0.000	0.000	Merged-chr19-16418552-32
NR4328--MA0140.2.GATA1::TAL1	chr2	84020202	84020219	+	0.000	0.000	Merged-chr2-84020132-33
NR3704--MA0036.3.GATA2	chr18	46448739	46448749	-	0.000	0.000	Merged-chr18-46448750-18
NR2340--MA0037.3.GATA3	chr14	31401017	31401024	+	0.000	0.000	Merged-chr14-31401139-16
NR6567--MA0482.1.Gata4	chr6	130102978	130102988	+	0.000	0.000	Merged-chr6-130103023-31
NR5646--MA0766.1.GATA5	chr4	145361256	145361263	+	0.000	0.000	Merged-chr4-145361226-45
NR3914--MA0035.3.Gata1	chr19	11540580	11540590	+	0.000	0.000	Merged-chr19-11540460-39
NR7568--MA0036.3.GATA2	chr9	44772869	44772879	-	0.000	0.000	Merged-chr9-44772887-60
NR7645--MA0482.1.Gata4	chr9	66295134	66295144	+	0.000	0.000	Merged-chr9-66295082-25
NR1591--MA0036.3.GATA2	chr12	73842214	73842224	+	0.000	0.000	Merged-chr12-73842345-69
NR7824--MA1104.1.GATA6	chr9	102867021	102867033	+	0.000	0.000	Merged-chr9-102867048-29
NR1938--MA0766.1.GATA5	chr13	45850807	45850814	-	0.000	0.000	Merged-chr13-45850664-56
NR4058--MA0766.1.GATA5	chr2	13760574	13760581	+	0.000	0.000	Merged-chr2-13760550-51
NR7630--MA0036.3.GATA2	chr9	61707988	61707998	+	0.000	0.000	Merged-chr9-61708026-57
NR7435--MA0766.1.GATA5	chr8	124520720	124520727	-	0.000	0.000	Merged-chr8-124520851-52
NR5161--MA0035.3.Gata1	chr3	137969287	137969297	+	0.000	0.000	Merged-chr3-137969157-49
NR1514--MA0036.3.GATA2	chr12	41852217	41852227	+	0.000	0.000	Merged-chr12-41852230-53
NR4648--MA0482.1.Gata4	chr2	152904623	152904633	+	0.000	0.000	Merged-chr2-152904288-57
NR3446--MA0036.3.GATA2	chr17	35910099	35910109	+	0.000	0.000	Merged-chr17-35910117-56
NR1495--MA0036.3.GATA2	chr12	36057887	36057897	+	0.000	0.000	Merged-chr12-36057875-8
NR1766--MA0036.3.GATA2	chr12	108646504	108646514	+	0.000	0.000	Merged-chr12-108646363-75
NR2078--MA0482.1.Gata4	chr13	93785453	93785463	+	0.000	0.000	Merged-chr13-93785385-35
