#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR799--MA0508.2.PRDM1	chr16	22493578	22493587	+	0.000	0.000	Merged-chr16-22493542-26
NR1689--MA0508.2.PRDM1	chr5	148419286	148419295	+	0.000	0.000	Merged-chr5-148419241-23
NR55--MA0508.2.PRDM1	chr1	105790531	105790540	+	0.000	0.000	Merged-chr1-105790569-8
NR385--MA0508.2.PRDM1	chr11	98294568	98294577	-	0.000	0.000	Merged-chr11-98294653-16
NR242--MA0508.2.PRDM1	chr10	77372276	77372285	+	0.000	0.000	Merged-chr10-77372172-15
NR2082--MA0508.2.PRDM1	chr9	57992444	57992453	-	0.000	0.000	Merged-chr9-57992295-1
NR1036--MA0508.2.PRDM1	chr19	16781168	16781177	+	0.000	0.000	Merged-chr19-16781022-84
NR1307--MA0508.2.PRDM1	chr3	55494380	55494389	-	0.000	0.000	Merged-chr3-55494225-1
NR669--MA0508.2.PRDM1	chr14	62837515	62837524	-	0.000	0.000	Merged-chr14-62837590-93
NR1288--MA0508.2.PRDM1	chr3	19240100	19240109	-	0.000	0.000	Merged-chr3-19240113-21
NR778--MA0508.2.PRDM1	chr15	103215469	103215478	+	0.000	0.000	Merged-chr15-103215427-34
NR34--MA0508.2.PRDM1	chr1	87607076	87607085	+	0.000	0.000	Merged-chr1-87606987-2
NR364--MA0508.2.PRDM1	chr11	83662446	83662455	+	0.000	0.000	Merged-chr11-83662452-14
NR2170--MA0508.2.PRDM1	chrX	96130406	96130415	-	0.000	0.000	Merged-chrX-96130578-90
NR505--MA0508.2.PRDM1	chr12	117959154	117959163	-	0.000	0.000	Merged-chr12-117959315-24
NR343--MA0508.2.PRDM1	chr11	63908573	63908582	-	0.000	0.000	Merged-chr11-63908633-20
NR518--MA0508.2.PRDM1	chr13	5705161	5705170	-	0.000	0.000	Merged-chr13-5705239-38
NR117--MA0508.2.PRDM1	chr1	163411951	163411960	-	0.000	0.000	Merged-chr1-163411894-2
NR226--MA0508.2.PRDM1	chr10	60156147	60156156	-	0.000	0.000	Merged-chr10-60156095-8
NR683--MA0508.2.PRDM1	chr14	73175902	73175911	+	0.000	0.000	Merged-chr14-73175814-32
NR335--MA0508.2.PRDM1	chr11	53128858	53128867	+	0.000	0.000	Merged-chr11-53128879-36
NR606--MA0508.2.PRDM1	chr13	110564221	110564230	+	0.000	0.000	Merged-chr13-110564159-46
NR858--MA0508.2.PRDM1	chr16	87507938	87507947	+	0.000	0.000	Merged-chr16-87507775-34
NR2032--MA0508.2.PRDM1	chr8	111769140	111769149	-	0.000	0.000	Merged-chr8-111769335-16
NR173--MA0508.2.PRDM1	chr10	4341557	4341566	-	0.000	0.000	Merged-chr10-4341594-18
NR348--MA0508.2.PRDM1	chr11	70789449	70789458	-	0.000	0.000	Merged-chr11-70789509-26
NR205--MA0508.2.PRDM1	chr10	37249763	37249772	+	0.000	0.000	Merged-chr10-37249909-39
NR391--MA0508.2.PRDM1	chr11	101448428	101448437	-	0.000	0.000	Merged-chr11-101448490-55
NR728--MA0508.2.PRDM1	chr15	25865855	25865864	-	0.000	0.000	Merged-chr15-25865817-16
NR423--MA0508.2.PRDM1	chr12	32006713	32006722	+	0.000	0.000	Merged-chr12-32006631-21
NR675--MA0508.2.PRDM1	chr14	66196557	66196566	+	0.000	0.000	Merged-chr14-66196468-7
NR199--MA0508.2.PRDM1	chr10	26203131	26203140	-	0.000	0.000	Merged-chr10-26203040-18
NR2120--MA0508.2.PRDM1	chr9	92266007	92266016	+	0.000	0.000	Merged-chr9-92266025-66
NR165--MA0508.2.PRDM1	chr1	192730830	192730839	+	0.000	0.000	Merged-chr1-192730717-13
NR274--MA0508.2.PRDM1	chr10	111156973	111156982	-	0.000	0.000	Merged-chr10-111156928-138
NR1802--MA0508.2.PRDM1	chr6	129366092	129366101	+	0.000	0.000	Merged-chr6-129366136-25
NR2146--MA0508.2.PRDM1	chr9	116270599	116270608	+	0.000	0.000	Merged-chr9-116270494-11
NR2003--MA0508.2.PRDM1	chr8	72319112	72319121	+	0.000	0.000	Merged-chr8-72319128-64
NR667--MA0508.2.PRDM1	chr14	61556957	61556966	-	0.000	0.000	Merged-chr14-61556804-76
NR938--MA0508.2.PRDM1	chr17	88042613	88042622	+	0.000	0.000	Merged-chr17-88042729-54
NR2112--MA0508.2.PRDM1	chr9	83023896	83023905	-	0.000	0.000	Merged-chr9-83023833-29
NR319--MA0508.2.PRDM1	chr11	30196030	30196039	+	0.000	0.000	Merged-chr11-30196013-11
NR2159--MA0508.2.PRDM1	chrX	7789679	7789688	+	0.000	0.000	Merged-chrX-7789819-46
NR537--MA0508.2.PRDM1	chr13	30933190	30933199	-	0.000	0.000	Merged-chr13-30933157-53
NR789--MA0508.2.PRDM1	chr16	10992745	10992754	-	0.000	0.000	Merged-chr16-10992753-110
NR2029--MA0508.2.PRDM1	chr8	109863613	109863622	-	0.000	0.000	Merged-chr8-109863558-21
NR646--MA0508.2.PRDM1	chr14	41013849	41013858	+	0.000	0.000	Merged-chr14-41013855-53
NR898--MA0508.2.PRDM1	chr17	33824544	33824553	+	0.000	0.000	Merged-chr17-33824550-48
NR1903--MA0508.2.PRDM1	chr7	98103403	98103412	+	0.000	0.000	Merged-chr7-98103355-56
NR279--MA0508.2.PRDM1	chr10	112002391	112002400	+	0.000	0.000	Merged-chr10-112002529-89
NR407--MA0508.2.PRDM1	chr11	121083088	121083097	-	0.000	0.000	Merged-chr11-121083089-49
NR2051--MA0508.2.PRDM1	chr8	128549957	128549966	-	0.000	0.000	Merged-chr8-128549994-56
NR2098--MA0508.2.PRDM1	chr9	72260374	72260383	-	0.000	0.000	Merged-chr9-72260549-32
NR1720--MA0508.2.PRDM1	chr6	52987520	52987529	-	0.000	0.000	Merged-chr6-52987651-24
NR476--MA0508.2.PRDM1	chr12	102877476	102877485	-	0.000	0.000	Merged-chr12-102877557-6
NR1733--MA0508.2.PRDM1	chr6	67266807	67266816	+	0.000	0.000	Merged-chr6-67267043-98
NR2173--MA0508.2.PRDM1	chrX	101429573	101429582	+	0.000	0.000	Merged-chrX-101429503-77
NR1985--MA0508.2.PRDM1	chr8	36082795	36082804	+	0.000	0.000	Merged-chr8-36082616-47
NR489--MA0508.2.PRDM1	chr12	112823444	112823453	-	0.000	0.000	Merged-chr12-112823453-38
NR1964--MA0508.2.PRDM1	chr7	141096796	141096805	+	0.000	0.000	Merged-chr7-141096826-78
NR1616--MA0508.2.PRDM1	chr5	62711044	62711053	+	0.000	0.000	Merged-chr5-62711036-55
NR1202--MA0508.2.PRDM1	chr2	128073135	128073144	+	0.000	0.000	Merged-chr2-128073179-40
NR2165--MA0508.2.PRDM1	chrX	57196547	57196556	-	0.000	0.000	Merged-chrX-57196423-53
NR1040--MA0508.2.PRDM1	chr19	20409952	20409961	-	0.000	0.000	Merged-chr19-20409885-54
NR229--MA0508.2.PRDM1	chr10	62544539	62544548	-	0.000	0.000	Merged-chr10-62544557-11
NR2069--MA0508.2.PRDM1	chr9	42418647	42418656	+	0.000	0.000	Merged-chr9-42418757-6
NR2178--MA0508.2.PRDM1	chrX	134550976	134550985	-	0.000	0.000	Merged-chrX-134551091-19
NR176--MA0508.2.PRDM1	chr10	8056067	8056076	+	0.000	0.000	Merged-chr10-8056065-1
NR1271--MA0508.2.PRDM1	chr2	174723538	174723547	+	0.000	0.000	Merged-chr2-174723668-14
NR1794--MA0508.2.PRDM1	chr6	124911743	124911752	-	0.000	0.000	Merged-chr6-124911783-36
NR1284--MA0508.2.PRDM1	chr3	14533802	14533811	-	0.000	0.000	Merged-chr3-14534014-70
NR1141--MA0508.2.PRDM1	chr2	68364638	68364647	+	0.000	0.000	Merged-chr2-68364639-40
NR1935--MA0508.2.PRDM1	chr7	125423224	125423233	-	0.000	0.000	Merged-chr7-125423125-27
NR2027--MA0508.2.PRDM1	chr8	107574915	107574924	-	0.000	0.000	Merged-chr8-107575004-5
NR1882--MA0508.2.PRDM1	chr7	75821666	75821675	+	0.000	0.000	Merged-chr7-75821795-19
NR1011--MA0508.2.PRDM1	chr18	84857104	84857113	+	0.000	0.000	Merged-chr18-84857209-14
NR1805--MA0508.2.PRDM1	chr6	129817851	129817860	-	0.000	0.000	Merged-chr6-129817846-22
NR1372--MA0508.2.PRDM1	chr3	123385939	123385948	+	0.000	0.000	Merged-chr3-123385920-64
NR1895--MA0508.2.PRDM1	chr7	90074607	90074616	-	0.000	0.000	Merged-chr7-90074700-23
NR1752--MA0508.2.PRDM1	chr6	97526411	97526420	-	0.000	0.000	Merged-chr6-97526268-25
NR1404--MA0508.2.PRDM1	chr3	139033227	139033236	+	0.000	0.000	Merged-chr3-139033383-15
NR1385--MA0508.2.PRDM1	chr3	130796716	130796725	+	0.000	0.000	Merged-chr3-130796721-21
NR1656--MA0508.2.PRDM1	chr5	107943139	107943148	+	0.000	0.000	Merged-chr5-107943154-10
NR1308--MA0508.2.PRDM1	chr3	55517379	55517388	-	0.000	0.000	Merged-chr3-55517605-60
NR2019--MA0508.2.PRDM1	chr8	88161331	88161340	+	0.000	0.000	Merged-chr8-88161496-26
NR1417--MA0508.2.PRDM1	chr3	143777349	143777358	-	0.000	0.000	Merged-chr3-143777288-1
NR1003--MA0508.2.PRDM1	chr18	80496025	80496034	-	0.000	0.000	Merged-chr18-80495918-16
NR1669--MA0508.2.PRDM1	chr5	129895660	129895669	+	0.000	0.000	Merged-chr5-129895711-51
NR570--MA0508.2.PRDM1	chr13	85499899	85499908	-	0.000	0.000	Merged-chr13-85499791-10
NR1526--MA0508.2.PRDM1	chr4	114909015	114909024	+	0.000	0.000	Merged-chr4-114908814-141
NR950--MA0508.2.PRDM1	chr18	11954615	11954624	-	0.000	0.000	Merged-chr18-11954741-24
NR1364--MA0508.2.PRDM1	chr3	116630459	116630468	+	0.000	0.000	Merged-chr3-116630474-26
NR602--MA0508.2.PRDM1	chr13	108881784	108881793	-	0.000	0.000	Merged-chr13-108882066-39
NR1744--MA0508.2.PRDM1	chr6	83718257	83718266	-	0.000	0.000	Merged-chr6-83718285-22
NR1582--MA0508.2.PRDM1	chr4	152341086	152341095	-	0.000	0.000	Merged-chr4-152341132-7
NR1853--MA0508.2.PRDM1	chr7	19004028	19004037	+	0.000	0.000	Merged-chr7-19004188-46
NR1648--MA0508.2.PRDM1	chr5	103760624	103760633	+	0.000	0.000	Merged-chr5-103760727-77
NR1866--MA0508.2.PRDM1	chr7	47013488	47013497	+	0.000	0.000	Merged-chr7-47013375-34
NR1247--MA0508.2.PRDM1	chr2	152332441	152332450	-	0.000	0.000	Merged-chr2-152332475-59
NR1518--MA0508.2.PRDM1	chr4	101194281	101194290	-	0.000	0.000	Merged-chr4-101194365-30
NR1104--MA0508.2.PRDM1	chr2	24776356	24776365	+	0.000	0.000	Merged-chr2-24776490-30
NR1356--MA0508.2.PRDM1	chr3	101238891	101238900	+	0.000	0.000	Merged-chr3-101238930-30
NR1213--MA0508.2.PRDM1	chr2	139628875	139628884	-	0.000	0.000	Merged-chr2-139628868-19
NR1194--MA0508.2.PRDM1	chr2	119477616	119477625	+	0.000	0.000	Merged-chr2-119477609-138
NR83--MA0508.2.PRDM1	chr1	143916321	143916330	+	0.000	0.000	Merged-chr1-143916234-1
NR684--MA0508.2.PRDM1	chr14	73524812	73524821	+	0.000	0.000	Merged-chr14-73525022-50
NR1478--MA0508.2.PRDM1	chr4	59278647	59278656	-	0.000	0.000	Merged-chr4-59278599-46
NR411--MA0508.2.PRDM1	chr12	8500050	8500059	+	0.000	0.000	Merged-chr12-8499918-111
NR1967--MA0508.2.PRDM1	chr7	142435693	142435702	+	0.000	0.000	Merged-chr7-142435660-33
NR392--MA0508.2.PRDM1	chr11	101552366	101552375	-	0.000	0.000	Merged-chr11-101552447-130
NR424--MA0508.2.PRDM1	chr12	32009520	32009529	+	0.000	0.000	Merged-chr12-32009552-2
NR1109--MA0508.2.PRDM1	chr2	34204998	34205007	-	0.000	0.000	Merged-chr2-34204759-60
NR676--MA0508.2.PRDM1	chr14	66792052	66792061	-	0.000	0.000	Merged-chr14-66791932-41
NR817--MA0508.2.PRDM1	chr16	32130072	32130081	+	0.000	0.000	Merged-chr16-32130229-66
NR384--MA0508.2.PRDM1	chr11	97104325	97104334	+	0.000	0.000	Merged-chr11-97104187-33
NR241--MA0508.2.PRDM1	chr10	76802277	76802286	-	0.000	0.000	Merged-chr10-76802342-40
NR1797--MA0508.2.PRDM1	chr6	125541002	125541011	+	0.000	0.000	Merged-chr6-125540912-17
NR1035--MA0508.2.PRDM1	chr19	15883278	15883287	+	0.000	0.000	Merged-chr19-15883225-34
NR873--MA0508.2.PRDM1	chr17	8195750	8195759	+	0.000	0.000	Merged-chr17-8195901-46
NR8--MA0508.2.PRDM1	chr1	38987572	38987581	+	0.000	0.000	Merged-chr1-38987666-67
NR730--MA0508.2.PRDM1	chr15	31117626	31117635	-	0.000	0.000	Merged-chr15-31117559-26
NR1415--MA0508.2.PRDM1	chr3	143599359	143599368	-	0.000	0.000	Merged-chr3-143599322-23
NR1667--MA0508.2.PRDM1	chr5	124050244	124050253	+	0.000	0.000	Merged-chr5-124050362-25
NR363--MA0508.2.PRDM1	chr11	82870844	82870853	+	0.000	0.000	Merged-chr11-82870965-86
NR886--MA0508.2.PRDM1	chr17	23193129	23193138	+	0.000	0.000	Merged-chr17-23193299-96
NR2060--MA0508.2.PRDM1	chr9	32759574	32759583	+	0.000	0.000	Merged-chr9-32759617-51
NR1123--MA0508.2.PRDM1	chr2	48333110	48333119	-	0.000	0.000	Merged-chr2-48333008-54
NR756--MA0508.2.PRDM1	chr15	81933385	81933394	+	0.000	0.000	Merged-chr15-81933219-12
NR1375--MA0508.2.PRDM1	chr3	126693633	126693642	+	0.000	0.000	Merged-chr3-126693413-64
NR517--MA0508.2.PRDM1	chr13	3611094	3611103	-	0.000	0.000	Merged-chr13-3611189-5
NR1136--MA0508.2.PRDM1	chr2	62526521	62526530	-	0.000	0.000	Merged-chr2-62526559-11
NR560--MA0508.2.PRDM1	chr13	75839921	75839930	+	0.000	0.000	Merged-chr13-75840041-65
NR355--MA0508.2.PRDM1	chr11	78328290	78328299	-	0.000	0.000	Merged-chr11-78328473-53
NR212--MA0508.2.PRDM1	chr10	40212569	40212578	+	0.000	0.000	Merged-chr10-40212600-39
NR701--MA0508.2.PRDM1	chr14	103719037	103719046	+	0.000	0.000	Merged-chr14-103719095-60
NR1096--MA0508.2.PRDM1	chr2	18050862	18050871	+	0.000	0.000	Merged-chr2-18050783-11
NR334--MA0508.2.PRDM1	chr11	51636452	51636461	-	0.000	0.000	Merged-chr11-51636554-3
NR791--MA0508.2.PRDM1	chr16	11688496	11688505	+	0.000	0.000	Merged-chr16-11688393-56
NR443--MA0508.2.PRDM1	chr12	77074625	77074634	-	0.000	0.000	Merged-chr12-77074794-6
NR1237--MA0508.2.PRDM1	chr2	148689620	148689629	-	0.000	0.000	Merged-chr2-148689712-32
NR565--MA0508.2.PRDM1	chr13	81297446	81297455	+	0.000	0.000	Merged-chr13-81297421-2
NR836--MA0508.2.PRDM1	chr16	59007264	59007273	-	0.000	0.000	Merged-chr16-59007299-38
NR531--MA0508.2.PRDM1	chr13	21579906	21579915	-	0.000	0.000	Merged-chr13-21579773-26
NR326--MA0508.2.PRDM1	chr11	46308006	46308015	-	0.000	0.000	Merged-chr11-46308256-89
NR1197--MA0508.2.PRDM1	chr2	121511679	121511688	+	0.000	0.000	Merged-chr2-121511602-35
NR687--MA0508.2.PRDM1	chr14	76152654	76152663	-	0.000	0.000	Merged-chr14-76152800-92
NR273--MA0508.2.PRDM1	chr10	111010665	111010674	+	0.000	0.000	Merged-chr10-111010753-5
NR815--MA0508.2.PRDM1	chr16	31234186	31234195	+	0.000	0.000	Merged-chr16-31234137-43
NR796--MA0508.2.PRDM1	chr16	18443709	18443718	+	0.000	0.000	Merged-chr16-18443657-29
NR401--MA0508.2.PRDM1	chr11	109722895	109722904	-	0.000	0.000	Merged-chr11-109722883-5
NR177--MA0508.2.PRDM1	chr10	8136889	8136898	-	0.000	0.000	Merged-chr10-8136726-1
NR666--MA0508.2.PRDM1	chr14	61339788	61339797	-	0.000	0.000	Merged-chr14-61339598-17
NR361--MA0508.2.PRDM1	chr11	79808189	79808198	-	0.000	0.000	Merged-chr11-79808076-4
NR78--MA0508.2.PRDM1	chr1	139454804	139454813	+	0.000	0.000	Merged-chr1-139454784-71
NR916--MA0508.2.PRDM1	chr17	56269294	56269303	-	0.000	0.000	Merged-chr17-56269390-41
NR1059--MA0508.2.PRDM1	chr19	34583375	34583384	+	0.000	0.000	Merged-chr19-34583205-74
NR2071--MA0508.2.PRDM1	chr9	44582506	44582515	-	0.000	0.000	Merged-chr9-44582588-15
NR483--MA0508.2.PRDM1	chr12	108450225	108450234	-	0.000	0.000	Merged-chr12-108450147-23
NR1883--MA0508.2.PRDM1	chr7	75821776	75821785	+	0.000	0.000	Merged-chr7-75821795-19
NR387--MA0508.2.PRDM1	chr11	99386273	99386282	-	0.000	0.000	Merged-chr11-99386173-34
NR496--MA0508.2.PRDM1	chr12	115171922	115171931	-	0.000	0.000	Merged-chr12-115171864-49
NR257--MA0508.2.PRDM1	chr10	94545658	94545667	-	0.000	0.000	Merged-chr10-94545691-55
NR528--MA0508.2.PRDM1	chr13	19272861	19272870	+	0.000	0.000	Merged-chr13-19272899-14
NR1591--MA0508.2.PRDM1	chr5	3494071	3494080	-	0.000	0.000	Merged-chr5-3493972-3
NR223--MA0508.2.PRDM1	chr10	53596852	53596861	-	0.000	0.000	Merged-chr10-53596886-150
NR1732--MA0508.2.PRDM1	chr6	66962693	66962702	-	0.000	0.000	Merged-chr6-66962662-45
NR616--MA0508.2.PRDM1	chr13	115042838	115042847	+	0.000	0.000	Merged-chr13-115042812-10
NR183--MA0508.2.PRDM1	chr10	14086298	14086307	-	0.000	0.000	Merged-chr10-14086090-94
NR2089--MA0508.2.PRDM1	chr9	62420109	62420118	-	0.000	0.000	Merged-chr9-62420075-10
NR1711--MA0508.2.PRDM1	chr6	38360194	38360203	-	0.000	0.000	Merged-chr6-38360325-47
NR629--MA0508.2.PRDM1	chr14	16152006	16152015	-	0.000	0.000	Merged-chr14-16152025-9
NR215--MA0508.2.PRDM1	chr10	44529602	44529611	+	0.000	0.000	Merged-chr10-44529535-56
NR576--MA0508.2.PRDM1	chr13	92354948	92354957	+	0.000	0.000	Merged-chr13-92354723-122
NR1310--MA0508.2.PRDM1	chr3	59120161	59120170	-	0.000	0.000	Merged-chr3-59120352-78
NR1562--MA0508.2.PRDM1	chr4	139330790	139330799	+	0.000	0.000	Merged-chr4-139330878-48
NR1671--MA0508.2.PRDM1	chr5	134232294	134232303	-	0.000	0.000	Merged-chr5-134232433-54
NR2034--MA0508.2.PRDM1	chr8	115410307	115410316	-	0.000	0.000	Merged-chr8-115410237-10
NR1270--MA0508.2.PRDM1	chr2	174566135	174566144	+	0.000	0.000	Merged-chr2-174566072-46
NR2047--MA0508.2.PRDM1	chr8	126979200	126979209	+	0.000	0.000	Merged-chr8-126979147-35
NR188--MA0508.2.PRDM1	chr10	17565429	17565438	+	0.000	0.000	Merged-chr10-17565414-37
NR1031--MA0508.2.PRDM1	chr19	10747842	10747851	+	0.000	0.000	Merged-chr19-10747819-69
NR1825--MA0508.2.PRDM1	chr6	140724837	140724846	+	0.000	0.000	Merged-chr6-140724746-15
NR1663--MA0508.2.PRDM1	chr5	121179304	121179313	-	0.000	0.000	Merged-chr5-121179549-53
NR2169--MA0508.2.PRDM1	chrX	94033120	94033129	+	0.000	0.000	Merged-chrX-94033132-22
NR1424--MA0508.2.PRDM1	chr3	145942201	145942210	+	0.000	0.000	Merged-chr3-145942154-31
NR1881--MA0508.2.PRDM1	chr7	74697053	74697062	+	0.000	0.000	Merged-chr7-74696900-78
NR1804--MA0508.2.PRDM1	chr6	129598184	129598193	-	0.000	0.000	Merged-chr6-129598126-11
NR2039--MA0508.2.PRDM1	chr8	121898697	121898706	-	0.000	0.000	Merged-chr8-121898554-47
NR1817--MA0508.2.PRDM1	chr6	134883881	134883890	-	0.000	0.000	Merged-chr6-134883955-22
NR1655--MA0508.2.PRDM1	chr5	107554483	107554492	+	0.000	0.000	Merged-chr5-107554534-24
NR2018--MA0508.2.PRDM1	chr8	86864556	86864565	+	0.000	0.000	Merged-chr8-86864748-39
NR159--MA0508.2.PRDM1	chr1	191599403	191599412	+	0.000	0.000	Merged-chr1-191599385-45
NR1493--MA0508.2.PRDM1	chr4	83315375	83315384	+	0.000	0.000	Merged-chr4-83315362-155
NR1111--MA0508.2.PRDM1	chr2	34945668	34945677	-	0.000	0.000	Merged-chr2-34945759-18
NR1363--MA0508.2.PRDM1	chr3	116424087	116424096	+	0.000	0.000	Merged-chr3-116424067-206
NR1852--MA0508.2.PRDM1	chr7	17135547	17135556	+	0.000	0.000	Merged-chr7-17135418-14
NR2119--MA0508.2.PRDM1	chr9	90114240	90114249	+	0.000	0.000	Merged-chr9-90114273-148
NR1193--MA0508.2.PRDM1	chr2	118200040	118200049	+	0.000	0.000	Merged-chr2-118200163-35
NR1050--MA0508.2.PRDM1	chr19	32172665	32172674	+	0.000	0.000	Merged-chr19-32172725-56
NR1368--MA0508.2.PRDM1	chr3	121154186	121154195	-	0.000	0.000	Merged-chr3-121154322-4
NR1477--MA0508.2.PRDM1	chr4	59037014	59037023	+	0.000	0.000	Merged-chr4-59036834-36
NR1063--MA0508.2.PRDM1	chr19	42306426	42306435	+	0.000	0.000	Merged-chr19-42306300-48
NR410--MA0508.2.PRDM1	chr12	8344997	8345006	-	0.000	0.000	Merged-chr12-8345102-29
NR1281--MA0508.2.PRDM1	chr3	5272106	5272115	-	0.000	0.000	Merged-chr3-5272073-63
NR1552--MA0508.2.PRDM1	chr4	134362888	134362897	+	0.000	0.000	Merged-chr4-134362784-33
NR1294--MA0508.2.PRDM1	chr3	30975577	30975586	+	0.000	0.000	Merged-chr3-30975540-11
NR1422--MA0508.2.PRDM1	chr3	144704127	144704136	-	0.000	0.000	Merged-chr3-144704080-31
NR40--MA0508.2.PRDM1	chr1	89108759	89108768	+	0.000	0.000	Merged-chr1-89108793-22
NR641--MA0508.2.PRDM1	chr14	33303609	33303618	-	0.000	0.000	Merged-chr14-33303599-44
NR912--MA0508.2.PRDM1	chr17	48042213	48042222	+	0.000	0.000	Merged-chr17-48042226-3
NR1849--MA0508.2.PRDM1	chr7	12891113	12891122	-	0.000	0.000	Merged-chr7-12891207-39
NR1706--MA0508.2.PRDM1	chr6	33249105	33249114	+	0.000	0.000	Merged-chr6-33249191-56
NR402--MA0508.2.PRDM1	chr11	116368302	116368311	-	0.000	0.000	Merged-chr11-116368348-10
NR1687--MA0508.2.PRDM1	chr5	146882603	146882612	-	0.000	0.000	Merged-chr5-146882424-24
NR654--MA0508.2.PRDM1	chr14	50784462	50784471	-	0.000	0.000	Merged-chr14-50784606-4
NR66--MA0508.2.PRDM1	chr1	127653720	127653729	-	0.000	0.000	Merged-chr1-127653505-23
NR1414--MA0508.2.PRDM1	chr3	143457655	143457664	+	0.000	0.000	Merged-chr3-143457661-6
NR110--MA0508.2.PRDM1	chr1	161765936	161765945	-	0.000	0.000	Merged-chr1-161766108-8
NR362--MA0508.2.PRDM1	chr11	80666403	80666412	+	0.000	0.000	Merged-chr11-80666360-28
NR633--MA0508.2.PRDM1	chr14	20253608	20253617	-	0.000	0.000	Merged-chr14-20253489-29
NR1536--MA0508.2.PRDM1	chr4	127021123	127021132	+	0.000	0.000	Merged-chr4-127021266-22
NR1807--MA0508.2.PRDM1	chr6	130538653	130538662	-	0.000	0.000	Merged-chr6-130538609-12
NR1169--MA0508.2.PRDM1	chr2	102039553	102039562	+	0.000	0.000	Merged-chr2-102039537-38
