#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR1924--MA0463.1.Bcl6	chr8	46747985	46747998	+	0.000	0.000	Merged-chr8-46747933-31
NR1587--MA0731.1.BCL6B	chr5	97055768	97055784	-	0.000	0.000	Merged-chr5-97055881-18
NR19--MA0731.1.BCL6B	chr1	58761666	58761682	-	0.000	0.000	Merged-chr1-58761595-25
NR934--MA0731.1.BCL6B	chr17	80621213	80621229	+	0.000	0.000	Merged-chr17-80621176-31
NR1619--MA0731.1.BCL6B	chr5	136186820	136186836	-	0.000	0.000	Merged-chr5-136186956-28
NR701--MA0463.1.Bcl6	chr14	86744176	86744189	+	0.000	0.000	Merged-chr14-86744130-2
NR1714--MA0463.1.Bcl6	chr6	113442464	113442477	-	0.000	0.000	Merged-chr6-113442615-46
NR2128--MA0463.1.Bcl6	chr9	124146171	124146184	+	0.000	0.000	Merged-chr9-124146419-55
NR990--MA0731.1.BCL6B	chr18	70530647	70530663	+	0.000	0.000	Merged-chr18-70530766-126
NR1074--MA0463.1.Bcl6	chr2	35464679	35464692	+	0.000	0.000	Merged-chr2-35464612-20
NR2164--MA0463.1.Bcl6	chrX	159899267	159899280	-	0.000	0.000	Merged-chrX-159899215-24
NR827--MA0463.1.Bcl6	chr16	72218122	72218135	-	0.000	0.000	Merged-chr16-72218239-19
NR1319--MA0731.1.BCL6B	chr3	109747806	109747822	-	0.000	0.000	Merged-chr3-109747952-27
NR1876--MA0463.1.Bcl6	chr7	131112869	131112882	-	0.000	0.000	Merged-chr7-131112700-22
NR538--MA0731.1.BCL6B	chr13	37312532	37312548	+	0.000	0.000	Merged-chr13-37312646-27
NR1303--MA0463.1.Bcl6	chr3	104788596	104788609	+	0.000	0.000	Merged-chr3-104788845-60
NR581--MA0731.1.BCL6B	chr13	90929893	90929909	-	0.000	0.000	Merged-chr13-90930019-46
NR747--MA0463.1.Bcl6	chr15	61541268	61541281	+	0.000	0.000	Merged-chr15-61541070-57
NR342--MA0731.1.BCL6B	chr11	69766431	69766447	-	0.000	0.000	Merged-chr11-69766217-75
NR408--MA0731.1.BCL6B	chr12	24600668	24600684	+	0.000	0.000	Merged-chr12-24600687-58
NR1136--MA0731.1.BCL6B	chr2	93454578	93454594	+	0.000	0.000	Merged-chr2-93454506-54
NR974--MA0731.1.BCL6B	chr18	55692610	55692626	+	0.000	0.000	Merged-chr18-55692856-31
NR1344--MA0463.1.Bcl6	chr3	131118038	131118051	+	0.000	0.000	Merged-chr3-131117856-77
NR555--MA0463.1.Bcl6	chr13	60744305	60744318	-	0.000	0.000	Merged-chr13-60744325-32
NR309--MA0463.1.Bcl6	chr11	22936719	22936732	-	0.000	0.000	Merged-chr11-22936648-30
NR1116--MA0463.1.Bcl6	chr2	75055298	75055311	+	0.000	0.000	Merged-chr2-75055098-51
NR2031--MA0731.1.BCL6B	chr9	62555688	62555704	+	0.000	0.000	Merged-chr9-62555590-11
NR591--MA0463.1.Bcl6	chr13	92671874	92671887	+	0.000	0.000	Merged-chr13-92671922-24
NR233--MA0463.1.Bcl6	chr10	75417577	75417590	-	0.000	0.000	Merged-chr10-75417748-37
NR552--MA0731.1.BCL6B	chr13	55513333	55513349	+	0.000	0.000	Merged-chr13-55513377-73
NR1913--MA0463.1.Bcl6	chr8	27192528	27192541	-	0.000	0.000	Merged-chr8-27192491-24
NR251--MA0463.1.Bcl6	chr10	94378508	94378521	+	0.000	0.000	Merged-chr10-94378414-58
NR294--MA0731.1.BCL6B	chr11	3931991	3932007	-	0.000	0.000	Merged-chr11-3931934-36
NR1931--MA0463.1.Bcl6	chr8	69832490	69832503	+	0.000	0.000	Merged-chr8-69832557-54
NR117--MA0463.1.Bcl6	chr1	159390151	159390164	-	0.000	0.000	Merged-chr1-159390218-34
NR1918--MA0463.1.Bcl6	chr8	33903000	33903013	-	0.000	0.000	Merged-chr8-33902890-33
NR1815--MA0463.1.Bcl6	chr7	89500188	89500201	-	0.000	0.000	Merged-chr7-89500080-22
NR339--MA0731.1.BCL6B	chr11	67010719	67010735	+	0.000	0.000	Merged-chr11-67010576-15
NR1801--MA0731.1.BCL6B	chr7	68127903	68127919	-	0.000	0.000	Merged-chr7-68127930-13
NR1278--MA0463.1.Bcl6	chr3	87508568	87508581	-	0.000	0.000	Merged-chr3-87508394-38
NR2041--MA0463.1.Bcl6	chr9	70310173	70310186	-	0.000	0.000	Merged-chr9-70310142-32
NR807--MA0463.1.Bcl6	chr16	33560457	33560470	+	0.000	0.000	Merged-chr16-33560481-14
NR1605--MA0463.1.Bcl6	chr5	110653365	110653378	+	0.000	0.000	Merged-chr5-110653386-72
NR610--MA0463.1.Bcl6	chr13	108041461	108041474	+	0.000	0.000	Merged-chr13-108041608-13
NR252--MA0731.1.BCL6B	chr10	95395294	95395310	+	0.000	0.000	Merged-chr10-95395228-39
NR1717--MA0463.1.Bcl6	chr6	119521578	119521591	-	0.000	0.000	Merged-chr6-119521532-2
NR318--MA0731.1.BCL6B	chr11	43410504	43410520	-	0.000	0.000	Merged-chr11-43410532-22
NR1735--MA0463.1.Bcl6	chr6	135011564	135011577	-	0.000	0.000	Merged-chr6-135011680-51
NR709--MA0463.1.Bcl6	chr14	101949135	101949148	-	0.000	0.000	Merged-chr14-101949272-41
NR297--MA0463.1.Bcl6	chr11	5416111	5416124	-	0.000	0.000	Merged-chr11-5415987-23
NR897--MA0731.1.BCL6B	chr17	36315614	36315630	+	0.000	0.000	Merged-chr17-36315514-41
NR1507--MA0463.1.Bcl6	chr4	151141662	151141675	+	0.000	0.000	Merged-chr4-151141740-35
NR2073--MA0463.1.Bcl6	chr9	94697026	94697039	-	0.000	0.000	Merged-chr9-94696966-6
NR2078--MA0463.1.Bcl6	chr9	96916796	96916809	+	0.000	0.000	Merged-chr9-96916836-41
NR790--MA0463.1.Bcl6	chr16	10844226	10844239	-	0.000	0.000	Merged-chr16-10844299-63
NR379--MA0731.1.BCL6B	chr11	102881279	102881295	-	0.000	0.000	Merged-chr11-102881162-74
NR665--MA0463.1.Bcl6	chr14	53134927	53134940	-	0.000	0.000	Merged-chr14-53134979-28
NR562--MA0463.1.Bcl6	chr13	67399791	67399804	+	0.000	0.000	Merged-chr13-67399691-60
NR222--MA0463.1.Bcl6	chr10	62449929	62449942	+	0.000	0.000	Merged-chr10-62449839-90
NR1696--MA0463.1.Bcl6	chr6	97353201	97353214	+	0.000	0.000	Merged-chr6-97353387-24
NR1854--MA0731.1.BCL6B	chr7	115716177	115716193	-	0.000	0.000	Merged-chr7-115716368-2
NR1593--MA0463.1.Bcl6	chr5	100929782	100929795	+	0.000	0.000	Merged-chr5-100929891-31
NR358--MA0731.1.BCL6B	chr11	81996268	81996284	-	0.000	0.000	Merged-chr11-81996367-24
NR357--MA0463.1.Bcl6	chr11	81996271	81996284	+	0.000	0.000	Merged-chr11-81996367-24
NR2030--MA0463.1.Bcl6	chr9	62555688	62555701	-	0.000	0.000	Merged-chr9-62555590-11
NR1697--MA0731.1.BCL6B	chr6	97353198	97353214	+	0.000	0.000	Merged-chr6-97353387-24
NR1302--MA0731.1.BCL6B	chr3	103780524	103780540	-	0.000	0.000	Merged-chr3-103780443-3
NR1968--MA0731.1.BCL6B	chr8	114986155	114986171	+	0.000	0.000	Merged-chr8-114986195-32
NR138--MA0463.1.Bcl6	chr1	165780417	165780430	-	0.000	0.000	Merged-chr1-165780595-120
NR1191--MA0463.1.Bcl6	chr2	147013882	147013895	-	0.000	0.000	Merged-chr2-147013782-1
NR1283--MA0731.1.BCL6B	chr3	93555233	93555249	+	0.000	0.000	Merged-chr3-93555296-85
NR926--MA0463.1.Bcl6	chr17	73875427	73875440	-	0.000	0.000	Merged-chr17-73875557-33
NR832--MA0463.1.Bcl6	chr16	76901238	76901251	-	0.000	0.000	Merged-chr16-76901209-11
NR2026--MA0731.1.BCL6B	chr9	58542126	58542142	-	0.000	0.000	Merged-chr9-58542052-13
NR1772--MA0731.1.BCL6B	chr7	30353590	30353606	-	0.000	0.000	Merged-chr7-30353555-8
NR2147--MA0463.1.Bcl6	chrX	101369227	101369240	-	0.000	0.000	Merged-chrX-101369155-35
NR1863--MA0463.1.Bcl6	chr7	125554617	125554630	-	0.000	0.000	Merged-chr7-125554660-11
NR828--MA0463.1.Bcl6	chr16	75617789	75617802	+	0.000	0.000	Merged-chr16-75617911-31
NR734--MA0463.1.Bcl6	chr15	42438244	42438257	-	0.000	0.000	Merged-chr15-42438303-11
NR1993--MA0463.1.Bcl6	chr9	7830195	7830208	+	0.000	0.000	Merged-chr9-7830026-47
NR882--MA0463.1.Bcl6	chr17	28257113	28257126	-	0.000	0.000	Merged-chr17-28256965-58
NR1634--MA0731.1.BCL6B	chr5	147323704	147323720	-	0.000	0.000	Merged-chr5-147323630-31
NR710--MA0731.1.BCL6B	chr14	101949135	101949151	+	0.000	0.000	Merged-chr14-101949272-41
NR1124--MA0731.1.BCL6B	chr2	79127665	79127681	+	0.000	0.000	Merged-chr2-79127545-30
NR766--MA0463.1.Bcl6	chr15	78581567	78581580	+	0.000	0.000	Merged-chr15-78581743-66
NR691--MA0731.1.BCL6B	chr14	74947733	74947749	-	0.000	0.000	Merged-chr14-74947864-55
NR672--MA0463.1.Bcl6	chr14	55743856	55743869	-	0.000	0.000	Merged-chr14-55743949-20
NR314--MA0463.1.Bcl6	chr11	34833783	34833796	+	0.000	0.000	Merged-chr11-34833705-58
NR1342--MA0731.1.BCL6B	chr3	130894525	130894541	-	0.000	0.000	Merged-chr3-130894407-22
NR1112--MA0463.1.Bcl6	chr2	71360338	71360351	-	0.000	0.000	Merged-chr2-71360379-16
NR1408--MA0731.1.BCL6B	chr4	44669643	44669659	-	0.000	0.000	Merged-chr4-44669679-10
NR690--MA0463.1.Bcl6	chr14	74947736	74947749	+	0.000	0.000	Merged-chr14-74947864-55
NR896--MA0463.1.Bcl6	chr17	36315614	36315627	-	0.000	0.000	Merged-chr17-36315514-41
NR2119--MA0731.1.BCL6B	chr9	122241153	122241169	-	0.000	0.000	Merged-chr9-122241103-26
NR1345--MA0463.1.Bcl6	chr3	131139775	131139788	+	0.000	0.000	Merged-chr3-131139787-62
NR1974--MA0731.1.BCL6B	chr8	117673711	117673727	+	0.000	0.000	Merged-chr8-117673653-52
NR789--MA0463.1.Bcl6	chr16	8870026	8870039	+	0.000	0.000	Merged-chr16-8869938-27
NR1260--MA0463.1.Bcl6	chr3	55660472	55660485	+	0.000	0.000	Merged-chr3-55660556-1
NR480--MA0463.1.Bcl6	chr12	104069767	104069780	+	0.000	0.000	Merged-chr12-104069872-17
NR2079--MA0731.1.BCL6B	chr9	96916793	96916809	-	0.000	0.000	Merged-chr9-96916836-41
NR2010--MA0463.1.Bcl6	chr9	41105377	41105390	+	0.000	0.000	Merged-chr9-41105401-34
NR1820--MA0463.1.Bcl6	chr7	96456340	96456353	+	0.000	0.000	Merged-chr7-96456149-2
NR2140--MA0463.1.Bcl6	chrX	74944039	74944052	+	0.000	0.000	Merged-chrX-74944090-41
NR1279--MA0463.1.Bcl6	chr3	88043087	88043100	+	0.000	0.000	Merged-chr3-88043136-39
NR808--MA0463.1.Bcl6	chr16	38017094	38017107	+	0.000	0.000	Merged-chr16-38017190-20
NR2154--MA0463.1.Bcl6	chrX	136245331	136245344	-	0.000	0.000	Merged-chrX-136245250-86
NR396--MA0463.1.Bcl6	chr11	117081940	117081953	-	0.000	0.000	Merged-chr11-117081831-19
NR611--MA0463.1.Bcl6	chr13	108041459	108041472	-	0.000	0.000	Merged-chr13-108041608-13
NR776--MA0731.1.BCL6B	chr15	86173709	86173725	+	0.000	0.000	Merged-chr15-86173737-35
NR1000--MA0731.1.BCL6B	chr18	79258159	79258175	+	0.000	0.000	Merged-chr18-79258074-1
NR2159--MA0463.1.Bcl6	chrX	151521073	151521086	-	0.000	0.000	Merged-chrX-151521261-1
NR1790--MA0463.1.Bcl6	chr7	58569056	58569069	+	0.000	0.000	Merged-chr7-58568960-29
NR960--MA0731.1.BCL6B	chr18	37720375	37720391	+	0.000	0.000	Merged-chr18-37720485-15
NR2092--MA0463.1.Bcl6	chr9	106306858	106306871	+	0.000	0.000	Merged-chr9-106306956-36
NR643--MA0463.1.Bcl6	chr14	16170520	16170533	+	0.000	0.000	Merged-chr14-16170468-26
NR450--MA0731.1.BCL6B	chr12	80887378	80887394	+	0.000	0.000	Merged-chr12-80887298-29
NR894--MA0463.1.Bcl6	chr17	36023838	36023851	-	0.000	0.000	Merged-chr17-36023858-33
NR321--MA0463.1.Bcl6	chr11	52231872	52231885	-	0.000	0.000	Merged-chr11-52232101-58
NR2097--MA0463.1.Bcl6	chr9	110458198	110458211	+	0.000	0.000	Merged-chr9-110458141-15
NR986--MA0731.1.BCL6B	chr18	69547883	69547899	-	0.000	0.000	Merged-chr18-69547959-32
NR433--MA0463.1.Bcl6	chr12	65172677	65172690	-	0.000	0.000	Merged-chr12-65172767-62
NR545--MA0463.1.Bcl6	chr13	48929716	48929729	+	0.000	0.000	Merged-chr13-48929819-47
NR451--MA0463.1.Bcl6	chr12	82166450	82166463	-	0.000	0.000	Merged-chr12-82166286-58
NR205--MA0463.1.Bcl6	chr10	24803457	24803470	+	0.000	0.000	Merged-chr10-24803463-6
NR317--MA0463.1.Bcl6	chr11	43410507	43410520	+	0.000	0.000	Merged-chr11-43410532-22
NR93--MA0731.1.BCL6B	chr1	138060081	138060097	+	0.000	0.000	Merged-chr1-138060143-27
NR694--MA0731.1.BCL6B	chr14	76001792	76001808	+	0.000	0.000	Merged-chr14-76001968-11
NR429--MA0463.1.Bcl6	chr12	55438940	55438953	-	0.000	0.000	Merged-chr12-55438958-24
NR551--MA0731.1.BCL6B	chr13	54590129	54590145	-	0.000	0.000	Merged-chr13-54590326-80
NR693--MA0463.1.Bcl6	chr14	76001792	76001805	-	0.000	0.000	Merged-chr14-76001968-11
NR598--MA0731.1.BCL6B	chr13	100103656	100103672	+	0.000	0.000	Merged-chr13-100103796-73
NR203--MA0731.1.BCL6B	chr10	18923347	18923363	+	0.000	0.000	Merged-chr10-18923473-26
NR241--MA0463.1.Bcl6	chr10	82666634	82666647	+	0.000	0.000	Merged-chr10-82666640-30
NR1254--MA0463.1.Bcl6	chr3	37738412	37738425	+	0.000	0.000	Merged-chr3-37738517-40
NR739--MA0731.1.BCL6B	chr15	54919967	54919983	-	0.000	0.000	Merged-chr15-54920011-57
NR219--MA0463.1.Bcl6	chr10	60381444	60381457	+	0.000	0.000	Merged-chr10-60381393-83
NR1272--MA0463.1.Bcl6	chr3	68543285	68543298	-	0.000	0.000	Merged-chr3-68543251-15
NR1599--MA0463.1.Bcl6	chr5	105849457	105849470	-	0.000	0.000	Merged-chr5-105849504-21
NR782--MA0731.1.BCL6B	chr15	97963454	97963470	-	0.000	0.000	Merged-chr15-97963529-3
NR577--MA0731.1.BCL6B	chr13	89720659	89720675	-	0.000	0.000	Merged-chr13-89720625-9
NR1908--MA0463.1.Bcl6	chr8	12672243	12672256	+	0.000	0.000	Merged-chr8-12672209-68
NR1496--MA0463.1.Bcl6	chr4	145586277	145586290	+	0.000	0.000	Merged-chr4-145586150-24
NR1711--MA0463.1.Bcl6	chr6	108736369	108736382	-	0.000	0.000	Merged-chr6-108736324-30
NR255--MA0463.1.Bcl6	chr10	97712894	97712907	-	0.000	0.000	Merged-chr10-97712811-31
NR1156--MA0463.1.Bcl6	chr2	118730720	118730733	-	0.000	0.000	Merged-chr2-118730761-5
NR367--MA0463.1.Bcl6	chr11	94677100	94677113	-	0.000	0.000	Merged-chr11-94677359-58
NR556--MA0731.1.BCL6B	chr13	60744305	60744321	+	0.000	0.000	Merged-chr13-60744325-32
NR2018--MA0463.1.Bcl6	chr9	50739381	50739394	+	0.000	0.000	Merged-chr9-50739429-50
NR10--MA0463.1.Bcl6	chr1	36252998	36253011	+	0.000	0.000	Merged-chr1-36253004-32
NR569--MA0731.1.BCL6B	chr13	73772828	73772844	+	0.000	0.000	Merged-chr13-73772920-55
NR1828--MA0463.1.Bcl6	chr7	102100414	102100427	-	0.000	0.000	Merged-chr7-102100187-36
NR2036--MA0463.1.Bcl6	chr9	65551087	65551100	+	0.000	0.000	Merged-chr9-65551237-57
NR949--MA0731.1.BCL6B	chr18	7756790	7756806	+	0.000	0.000	Merged-chr18-7756969-23
NR535--MA0731.1.BCL6B	chr13	34096172	34096188	+	0.000	0.000	Merged-chr13-34096039-50
NR2148--MA0463.1.Bcl6	chrX	102071177	102071190	-	0.000	0.000	Merged-chrX-102071254-29
NR277--MA0731.1.BCL6B	chr10	121641106	121641122	-	0.000	0.000	Merged-chr10-121641205-3
NR1618--MA0463.1.Bcl6	chr5	134704330	134704343	+	0.000	0.000	Merged-chr5-134704311-24
NR1882--MA0463.1.Bcl6	chr7	132389755	132389768	+	0.000	0.000	Merged-chr7-132389640-23
NR1421--MA0463.1.Bcl6	chr4	62806067	62806080	+	0.000	0.000	Merged-chr4-62806107-28
NR847--MA0463.1.Bcl6	chr16	91964632	91964645	-	0.000	0.000	Merged-chr16-91964745-42
NR190--MA0731.1.BCL6B	chr1	193698943	193698959	+	0.000	0.000	Merged-chr1-193699051-26
NR256--MA0731.1.BCL6B	chr10	97712894	97712910	+	0.000	0.000	Merged-chr10-97712811-31
NR977--MA0463.1.Bcl6	chr18	60803610	60803623	+	0.000	0.000	Merged-chr18-60803637-35
NR404--MA0463.1.Bcl6	chr12	16509619	16509632	+	0.000	0.000	Merged-chr12-16509548-40
NR29--MA0463.1.Bcl6	chr1	69331973	69331986	+	0.000	0.000	Merged-chr1-69331775-34
NR637--MA0463.1.Bcl6	chr14	7791703	7791716	+	0.000	0.000	Merged-chr14-7791631-72
NR422--MA0463.1.Bcl6	chr12	41852146	41852159	-	0.000	0.000	Merged-chr12-41852230-53
NR1341--MA0463.1.Bcl6	chr3	130894459	130894472	-	0.000	0.000	Merged-chr3-130894407-22
NR324--MA0463.1.Bcl6	chr11	53324630	53324643	-	0.000	0.000	Merged-chr11-53324720-33
NR1901--MA0463.1.Bcl6	chr7	145243141	145243154	-	0.000	0.000	Merged-chr7-145243309-40
NR323--MA0731.1.BCL6B	chr11	52346411	52346427	-	0.000	0.000	Merged-chr11-52346524-31
NR1792--MA0731.1.BCL6B	chr7	64158980	64158996	-	0.000	0.000	Merged-chr7-64158985-48
NR296--MA0731.1.BCL6B	chr11	4704383	4704399	+	0.000	0.000	Merged-chr11-4704501-78
NR249--MA0463.1.Bcl6	chr10	91028170	91028183	+	0.000	0.000	Merged-chr10-91028217-15
NR822--MA0463.1.Bcl6	chr16	57176300	57176313	+	0.000	0.000	Merged-chr16-57176339-30
NR1771--MA0731.1.BCL6B	chr7	28810687	28810703	-	0.000	0.000	Merged-chr7-28810674-63
NR1947--MA0463.1.Bcl6	chr8	90828934	90828947	+	0.000	0.000	Merged-chr8-90828979-56
NR1912--MA0731.1.BCL6B	chr8	25578403	25578419	-	0.000	0.000	Merged-chr8-25578502-39
NR1763--MA0731.1.BCL6B	chr7	13054842	13054858	+	0.000	0.000	Merged-chr7-13054889-1
NR2057--MA0463.1.Bcl6	chr9	80332335	80332348	+	0.000	0.000	Merged-chr9-80332405-28
NR299--MA0463.1.Bcl6	chr11	7161695	7161708	+	0.000	0.000	Merged-chr11-7161689-35
NR1415--MA0463.1.Bcl6	chr4	54527641	54527654	-	0.000	0.000	Merged-chr4-54527768-19
NR738--MA0463.1.Bcl6	chr15	54919970	54919983	+	0.000	0.000	Merged-chr15-54920011-57
NR1808--MA0731.1.BCL6B	chr7	80583354	80583370	+	0.000	0.000	Merged-chr7-80583398-64
NR756--MA0463.1.Bcl6	chr15	75851064	75851077	+	0.000	0.000	Merged-chr15-75851032-8
NR1646--MA0731.1.BCL6B	chr6	29272518	29272534	+	0.000	0.000	Merged-chr6-29272695-53
NR1960--MA0731.1.BCL6B	chr8	106133632	106133648	+	0.000	0.000	Merged-chr8-106133705-22
NR989--MA0463.1.Bcl6	chr18	70530647	70530660	-	0.000	0.000	Merged-chr18-70530766-126
NR1787--MA0463.1.Bcl6	chr7	49581544	49581557	-	0.000	0.000	Merged-chr7-49581640-7
NR1768--MA0731.1.BCL6B	chr7	27196245	27196261	+	0.000	0.000	Merged-chr7-27196117-84
NR940--MA0731.1.BCL6B	chr17	86301247	86301263	+	0.000	0.000	Merged-chr17-86301226-81
NR658--MA0463.1.Bcl6	chr14	47277008	47277021	+	0.000	0.000	Merged-chr14-47276879-81
NR206--MA0463.1.Bcl6	chr10	28816361	28816374	+	0.000	0.000	Merged-chr10-28816240-37
NR1250--MA0463.1.Bcl6	chr3	30968811	30968824	-	0.000	0.000	Merged-chr3-30968967-129
NR1698--MA0463.1.Bcl6	chr6	97806942	97806955	+	0.000	0.000	Merged-chr6-97807026-80
NR1952--MA0731.1.BCL6B	chr8	95081038	95081054	+	0.000	0.000	Merged-chr8-95081024-85
NR1999--MA0731.1.BCL6B	chr9	24517085	24517101	-	0.000	0.000	Merged-chr9-24516952-28
NR60--MA0731.1.BCL6B	chr1	106867027	106867043	+	0.000	0.000	Merged-chr1-106866899-32
NR1940--MA0463.1.Bcl6	chr8	81491449	81491462	-	0.000	0.000	Merged-chr8-81491424-1
NR1291--MA0463.1.Bcl6	chr3	96905379	96905392	+	0.000	0.000	Merged-chr3-96905193-62
NR1497--MA0463.1.Bcl6	chr4	145586310	145586323	+	0.000	0.000	Merged-chr4-145586150-24
NR1806--MA0463.1.Bcl6	chr7	78569320	78569333	-	0.000	0.000	Merged-chr7-78569115-35
NR802--MA0731.1.BCL6B	chr16	24652366	24652382	-	0.000	0.000	Merged-chr16-24652303-15
NR1054--MA0731.1.BCL6B	chr2	11331892	11331908	-	0.000	0.000	Merged-chr2-11331773-28
NR892--MA0731.1.BCL6B	chr17	35705981	35705997	+	0.000	0.000	Merged-chr17-35706172-14
NR1063--MA0463.1.Bcl6	chr2	19389000	19389013	+	0.000	0.000	Merged-chr2-19388892-38
NR1176--MA0731.1.BCL6B	chr2	132613832	132613848	-	0.000	0.000	Merged-chr2-132613792-39
NR928--MA0463.1.Bcl6	chr17	78245547	78245560	-	0.000	0.000	Merged-chr17-78245592-60
NR1090--MA0463.1.Bcl6	chr2	56114705	56114718	-	0.000	0.000	Merged-chr2-56114596-15
NR1304--MA0731.1.BCL6B	chr3	104788593	104788609	-	0.000	0.000	Merged-chr3-104788845-60
NR1059--MA0463.1.Bcl6	chr2	15049399	15049412	-	0.000	0.000	Merged-chr2-15049301-58
NR980--MA0731.1.BCL6B	chr18	66501996	66502012	+	0.000	0.000	Merged-chr18-66502099-22
NR1632--MA0463.1.Bcl6	chr5	146845045	146845058	-	0.000	0.000	Merged-chr5-146845015-50
NR176--MA0463.1.Bcl6	chr1	189799170	189799183	+	0.000	0.000	Merged-chr1-189799097-29
NR843--MA0463.1.Bcl6	chr16	90455790	90455803	-	0.000	0.000	Merged-chr16-90455724-1
NR1251--MA0731.1.BCL6B	chr3	30995542	30995558	+	0.000	0.000	Merged-chr3-30995800-69
NR1077--MA0463.1.Bcl6	chr2	36049404	36049417	-	0.000	0.000	Merged-chr2-36049261-79
NR1780--MA0463.1.Bcl6	chr7	38093516	38093529	-	0.000	0.000	Merged-chr7-38093373-14
NR876--MA0731.1.BCL6B	chr17	15431227	15431243	+	0.000	0.000	Merged-chr17-15431042-28
NR1--MA0463.1.Bcl6	chr1	6454138	6454151	+	0.000	0.000	Merged-chr1-6454252-50
NR1418--MA0463.1.Bcl6	chr4	59438283	59438296	+	0.000	0.000	Merged-chr4-59438300-38
NR908--MA0731.1.BCL6B	chr17	50291676	50291692	-	0.000	0.000	Merged-chr17-50291771-9
NR1436--MA0463.1.Bcl6	chr4	95096786	95096799	+	0.000	0.000	Merged-chr4-95096971-16
