#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR168--MA0766.1.GATA5	chr1	44101608	44101615	+	0.000	0.000	Merged-chr1-44101717-6
NR4164--MA0766.1.GATA5	chr16	89595948	89595955	+	0.000	0.000	Merged-chr16-89595892-3
NR7288--MA0482.1.Gata4	chr5	15470117	15470127	+	0.000	0.000	Merged-chr5-15470199-54
NR666--MA1104.1.GATA6	chr1	153141156	153141168	-	0.000	0.000	Merged-chr1-153140977-54
NR3823--MA0036.3.GATA2	chr16	10732545	10732555	+	0.000	0.000	Merged-chr16-10732689-38
NR8816--MA1104.1.GATA6	chr7	78865891	78865903	-	0.000	0.000	Merged-chr7-78865782-5
NR6296--MA0035.3.Gata1	chr3	106788698	106788708	-	0.000	0.000	Merged-chr3-106788511-97
NR9853--MA0766.1.GATA5	chrX	42343745	42343752	-	0.000	0.000	Merged-chrX-42343636-58
NR2235--MA0036.3.GATA2	chr12	92812909	92812919	-	0.000	0.000	Merged-chr12-92812766-7
NR2516--MA0766.1.GATA5	chr13	29756231	29756238	+	0.000	0.000	Merged-chr13-29756237-14
NR8003--MA0036.3.GATA2	chr6	54118991	54119001	+	0.000	0.000	Merged-chr6-54119085-6
NR6062--MA0766.1.GATA5	chr3	52878543	52878550	-	0.000	0.000	Merged-chr3-52878450-55
NR6575--MA0036.3.GATA2	chr3	152919362	152919372	+	0.000	0.000	Merged-chr3-152919231-7
NR6718--MA0482.1.Gata4	chr4	19923449	19923459	-	0.000	0.000	Merged-chr4-19923492-7
NR4101--MA0482.1.Gata4	chr16	78265278	78265288	+	0.000	0.000	Merged-chr16-78265078-57
NR2139--MA0036.3.GATA2	chr12	81595279	81595289	-	0.000	0.000	Merged-chr12-81595167-52
NR6057--MA0035.3.Gata1	chr3	52650274	52650284	+	0.000	0.000	Merged-chr3-52650302-1
NR5548--MA0037.3.GATA3	chr2	119742117	119742124	+	0.000	0.000	Merged-chr2-119742331-93
NR6237--MA0766.1.GATA5	chr3	84461171	84461178	+	0.000	0.000	Merged-chr3-84461060-54
NR8374--MA0766.1.GATA5	chr6	130078306	130078313	-	0.000	0.000	Merged-chr6-130078295-22
NR2554--MA0035.3.Gata1	chr13	41948366	41948376	-	0.000	0.000	Merged-chr13-41948463-1
NR1742--MA0036.3.GATA2	chr11	101627408	101627418	+	0.000	0.000	Merged-chr11-101627512-104
NR7542--MA0037.3.GATA3	chr5	65867408	65867415	-	0.000	0.000	Merged-chr5-65867573-52
NR2140--MA0035.3.Gata1	chr12	81595279	81595289	-	0.000	0.000	Merged-chr12-81595167-52
NR8693--MA0482.1.Gata4	chr7	44496630	44496640	+	0.000	0.000	Merged-chr7-44496496-71
NR195--MA0482.1.Gata4	chr1	59173177	59173187	-	0.000	0.000	Merged-chr1-59173225-2
NR8759--MA0482.1.Gata4	chr7	67672915	67672925	-	0.000	0.000	Merged-chr7-67672812-28
NR4436--MA1104.1.GATA6	chr17	52348685	52348697	-	0.000	0.000	Merged-chr17-52348820-8
NR1851--MA0036.3.GATA2	chr12	16185622	16185632	+	0.000	0.000	Merged-chr12-16185844-40
NR2315--MA0035.3.Gata1	chr12	110689849	110689859	-	0.000	0.000	Merged-chr12-110689902-59
NR3993--MA0035.3.Gata1	chr16	55907204	55907214	-	0.000	0.000	Merged-chr16-55907118-61
NR9761--MA0035.3.Gata1	chr9	107986401	107986411	+	0.000	0.000	Merged-chr9-107986494-4
NR3404--MA0140.2.GATA1::TAL1	chr14	121702666	121702683	+	0.000	0.000	Merged-chr14-121702650-15
NR5190--MA0037.3.GATA3	chr2	20969349	20969356	+	0.000	0.000	Merged-chr2-20969092-180
NR6426--MA0482.1.Gata4	chr3	133623448	133623458	+	0.000	0.000	Merged-chr3-133623556-36
NR4383--MA1104.1.GATA6	chr17	35727167	35727179	+	0.000	0.000	Merged-chr17-35727200-6
NR2585--MA0766.1.GATA5	chr13	59585438	59585445	-	0.000	0.000	Merged-chr13-59585318-80
NR8672--MA0482.1.Gata4	chr7	30535312	30535322	-	0.000	0.000	Merged-chr7-30535126-64
NR9431--MA0766.1.GATA5	chr8	125351842	125351849	+	0.000	0.000	Merged-chr8-125351679-18
NR4574--MA0035.3.Gata1	chr17	86038314	86038324	+	0.000	0.000	Merged-chr17-86038391-20
NR3772--MA0766.1.GATA5	chr15	103339526	103339533	-	0.000	0.000	Merged-chr15-103339534-3
NR8484--MA1104.1.GATA6	chr6	140817123	140817135	+	0.000	0.000	Merged-chr6-140817043-66
NR8356--MA0036.3.GATA2	chr6	129210607	129210617	-	0.000	0.000	Merged-chr6-129210550-50
NR5551--MA0036.3.GATA2	chr2	119742115	119742125	-	0.000	0.000	Merged-chr2-119742331-93
NR8223--MA0766.1.GATA5	chr6	100011908	100011915	+	0.000	0.000	Merged-chr6-100011850-11
NR8213--MA0036.3.GATA2	chr6	99220740	99220750	+	0.000	0.000	Merged-chr6-99220619-12
NR7791--MA0140.2.GATA1::TAL1	chr5	149392270	149392287	-	0.000	0.000	Merged-chr5-149392157-30
NR8295--MA0035.3.Gata1	chr6	122557163	122557173	+	0.000	0.000	Merged-chr6-122557216-31
NR7754--MA0036.3.GATA2	chr5	137787616	137787626	-	0.000	0.000	Merged-chr5-137787536-7
NR6294--MA1104.1.GATA6	chr3	106788697	106788709	+	0.000	0.000	Merged-chr3-106788511-97
NR567--MA0482.1.Gata4	chr1	133163853	133163863	+	0.000	0.000	Merged-chr1-133164049-18
NR7863--MA0036.3.GATA2	chr6	12785361	12785371	+	0.000	0.000	Merged-chr6-12785179-11
NR1681--MA0036.3.GATA2	chr11	75282788	75282798	+	0.000	0.000	Merged-chr11-75282753-54
NR7684--MA0140.2.GATA1::TAL1	chr5	107061821	107061838	-	0.000	0.000	Merged-chr5-107061883-14
NR6275--MA0036.3.GATA2	chr3	96580268	96580278	+	0.000	0.000	Merged-chr3-96580278-43
NR1604--MA0036.3.GATA2	chr11	33932388	33932398	-	0.000	0.000	Merged-chr11-33932389-100
NR6055--MA1104.1.GATA6	chr3	52650273	52650285	-	0.000	0.000	Merged-chr3-52650302-1
NR4580--MA1104.1.GATA6	chr17	86880651	86880663	-	0.000	0.000	Merged-chr17-86880662-37
NR2787--MA0482.1.Gata4	chr13	91033461	91033471	+	0.000	0.000	Merged-chr13-91033672-15
NR9607--MA0037.3.GATA3	chr9	61707989	61707996	-	0.000	0.000	Merged-chr9-61708026-57
NR7289--MA1104.1.GATA6	chr5	15470115	15470127	-	0.000	0.000	Merged-chr5-15470199-54
NR3122--MA0036.3.GATA2	chr14	46578325	46578335	-	0.000	0.000	Merged-chr14-46578431-37
NR5902--MA0035.3.Gata1	chr3	19319339	19319349	-	0.000	0.000	Merged-chr3-19319228-45
NR2896--MA0482.1.Gata4	chr13	112427868	112427878	+	0.000	0.000	Merged-chr13-112427724-41
NR4728--MA0035.3.Gata1	chr18	38350148	38350158	+	0.000	0.000	Merged-chr18-38350190-47
NR708--MA0482.1.Gata4	chr1	164184714	164184724	+	0.000	0.000	Merged-chr1-164184631-39
NR8638--MA1104.1.GATA6	chr7	24451977	24451989	+	0.000	0.000	Merged-chr7-24452185-33
NR4162--MA0482.1.Gata4	chr16	89595945	89595955	-	0.000	0.000	Merged-chr16-89595892-3
NR4043--MA0035.3.Gata1	chr16	64766974	64766984	+	0.000	0.000	Merged-chr16-64766994-6
NR689--MA0482.1.Gata4	chr1	160044870	160044880	-	0.000	0.000	Merged-chr1-160044750-78
NR3855--MA0035.3.Gata1	chr16	20930012	20930022	+	0.000	0.000	Merged-chr16-20930100-26
NR7417--MA0037.3.GATA3	chr5	36722519	36722526	+	0.000	0.000	Merged-chr5-36722614-37
NR8773--MA0482.1.Gata4	chr7	72308183	72308193	+	0.000	0.000	Merged-chr7-72308227-31
NR1487--MA0037.3.GATA3	chr10	127135640	127135647	-	0.000	0.000	Merged-chr10-127135675-65
NR9784--MA0766.1.GATA5	chr9	116138613	116138620	-	0.000	0.000	Merged-chr9-116138726-20
NR6719--MA1104.1.GATA6	chr4	19923449	19923461	+	0.000	0.000	Merged-chr4-19923492-7
NR4102--MA1104.1.GATA6	chr16	78265276	78265288	-	0.000	0.000	Merged-chr16-78265078-57
NR2309--MA0482.1.Gata4	chr12	110689779	110689789	+	0.000	0.000	Merged-chr12-110689902-59
NR1784--MA0482.1.Gata4	chr11	117308108	117308118	+	0.000	0.000	Merged-chr11-117308232-42
NR2699--MA0766.1.GATA5	chr13	81659056	81659063	+	0.000	0.000	Merged-chr13-81658891-4
NR7150--MA0140.2.GATA1::TAL1	chr4	136836252	136836269	-	0.000	0.000	Merged-chr4-136836082-29
NR4056--MA0035.3.Gata1	chr16	65448998	65449008	-	0.000	0.000	Merged-chr16-65448972-5
NR2422--MA0037.3.GATA3	chr13	8457041	8457048	-	0.000	0.000	Merged-chr13-8457184-81
NR196--MA1104.1.GATA6	chr1	59173177	59173189	+	0.000	0.000	Merged-chr1-59173225-2
NR6235--MA0482.1.Gata4	chr3	84461168	84461178	-	0.000	0.000	Merged-chr3-84461060-54
NR169--MA0035.3.Gata1	chr1	44101606	44101616	-	0.000	0.000	Merged-chr1-44101717-6
NR2307--MA0036.3.GATA2	chr12	108763691	108763701	-	0.000	0.000	Merged-chr12-108763648-15
NR7770--MA0482.1.Gata4	chr5	147063478	147063488	+	0.000	0.000	Merged-chr5-147063758-85
NR8199--MA0036.3.GATA2	chr6	97311128	97311138	-	0.000	0.000	Merged-chr6-97311024-32
NR8547--MA0482.1.Gata4	chr6	144987412	144987422	-	0.000	0.000	Merged-chr6-144987357-14
NR9854--MA0035.3.Gata1	chrX	42343744	42343754	+	0.000	0.000	Merged-chrX-42343636-58
NR8327--MA0036.3.GATA2	chr6	126849235	126849245	-	0.000	0.000	Merged-chr6-126849069-62
NR2517--MA0035.3.Gata1	chr13	29756229	29756239	-	0.000	0.000	Merged-chr13-29756237-14
NR6182--MA0482.1.Gata4	chr3	75696298	75696308	-	0.000	0.000	Merged-chr3-75696372-7
NR9763--MA0766.1.GATA5	chr9	110461309	110461316	-	0.000	0.000	Merged-chr9-110461339-53
NR6063--MA0035.3.Gata1	chr3	52878542	52878552	+	0.000	0.000	Merged-chr3-52878450-55
NR6427--MA1104.1.GATA6	chr3	133623446	133623458	-	0.000	0.000	Merged-chr3-133623556-36
NR3647--MA0766.1.GATA5	chr15	59010878	59010885	-	0.000	0.000	Merged-chr15-59010782-34
NR9610--MA0036.3.GATA2	chr9	61707988	61707998	+	0.000	0.000	Merged-chr9-61708026-57
NR6976--MA0482.1.Gata4	chr4	88015483	88015493	+	0.000	0.000	Merged-chr4-88015608-45
NR7757--MA0037.3.GATA3	chr5	139483517	139483524	-	0.000	0.000	Merged-chr5-139483495-36
NR5206--MA0037.3.GATA3	chr2	22796699	22796706	+	0.000	0.000	Merged-chr2-22796662-28
NR3899--MA0766.1.GATA5	chr16	29856393	29856400	-	0.000	0.000	Merged-chr16-29856280-19
NR5370--MA0766.1.GATA5	chr2	66184789	66184796	-	0.000	0.000	Merged-chr2-66184903-51
NR4091--MA0140.2.GATA1::TAL1	chr16	76225784	76225801	+	0.000	0.000	Merged-chr16-76225808-94
NR6238--MA0035.3.Gata1	chr3	84461169	84461179	-	0.000	0.000	Merged-chr3-84461060-54
NR8375--MA0035.3.Gata1	chr6	130078305	130078315	+	0.000	0.000	Merged-chr6-130078295-22
NR5044--MA0037.3.GATA3	chr19	29367426	29367433	+	0.000	0.000	Merged-chr19-29367376-49
NR5960--MA0482.1.Gata4	chr3	38371853	38371863	+	0.000	0.000	Merged-chr3-38371815-1
NR7420--MA0036.3.GATA2	chr5	36722517	36722527	-	0.000	0.000	Merged-chr5-36722614-37
NR3865--MA0766.1.GATA5	chr16	24826503	24826510	-	0.000	0.000	Merged-chr16-24826564-20
NR1314--MA0766.1.GATA5	chr10	99393614	99393621	+	0.000	0.000	Merged-chr10-99393384-65
NR5222--MA0035.3.Gata1	chr2	29632324	29632334	-	0.000	0.000	Merged-chr2-29632325-58
NR1566--MA0766.1.GATA5	chr11	22813645	22813652	+	0.000	0.000	Merged-chr11-22813643-1
NR367--MA0140.2.GATA1::TAL1	chr1	91065254	91065271	-	0.000	0.000	Merged-chr1-91065226-49
NR7800--MA0036.3.GATA2	chr5	150220586	150220596	+	0.000	0.000	Merged-chr5-150220578-7
NR4822--MA0037.3.GATA3	chr18	56733839	56733846	+	0.000	0.000	Merged-chr18-56734019-60
NR3717--MA0035.3.Gata1	chr15	91578251	91578261	+	0.000	0.000	Merged-chr15-91578192-2
NR1936--MA0036.3.GATA2	chr12	36057887	36057897	+	0.000	0.000	Merged-chr12-36057875-8
NR2156--MA1104.1.GATA6	chr12	88408405	88408417	+	0.000	0.000	Merged-chr12-88408457-71
NR389--MA0482.1.Gata4	chr1	94035513	94035523	+	0.000	0.000	Merged-chr1-94035484-87
NR9917--MA0766.1.GATA5	chrX	140537799	140537806	-	0.000	0.000	Merged-chrX-140537922-35
NR4385--MA0482.1.Gata4	chr17	35910100	35910110	+	0.000	0.000	Merged-chr17-35910117-56
NR6116--MA0036.3.GATA2	chr3	60954221	60954231	-	0.000	0.000	Merged-chr3-60954370-10
NR2903--MA0037.3.GATA3	chr13	113580117	113580124	+	0.000	0.000	Merged-chr13-113580257-62
NR9432--MA0035.3.Gata1	chr8	125351840	125351850	-	0.000	0.000	Merged-chr8-125351679-18
NR8377--MA0482.1.Gata4	chr6	130102978	130102988	+	0.000	0.000	Merged-chr6-130103023-31
NR3250--MA0035.3.Gata1	chr14	87439912	87439922	+	0.000	0.000	Merged-chr14-87439901-5
NR1755--MA0482.1.Gata4	chr11	106430743	106430753	+	0.000	0.000	Merged-chr11-106430638-37
NR1274--MA0766.1.GATA5	chr10	95971102	95971109	-	0.000	0.000	Merged-chr10-95971075-85
NR3958--MA0482.1.Gata4	chr16	48760676	48760686	+	0.000	0.000	Merged-chr16-48760801-13
NR4207--MA0766.1.GATA5	chr16	97204301	97204308	-	0.000	0.000	Merged-chr16-97204388-55
NR3773--MA0035.3.Gata1	chr15	103339525	103339535	+	0.000	0.000	Merged-chr15-103339534-3
