#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR1669--MA0508.2.PRDM1	chr5	129895660	129895669	+	0.000	0.000	Merged-chr5-129895711-51
NR570--MA0508.2.PRDM1	chr13	85499899	85499908	-	0.000	0.000	Merged-chr13-85499791-10
NR1526--MA0508.2.PRDM1	chr4	114909015	114909024	+	0.000	0.000	Merged-chr4-114908814-141
NR950--MA0508.2.PRDM1	chr18	11954615	11954624	-	0.000	0.000	Merged-chr18-11954741-24
NR1744--MA0508.2.PRDM1	chr6	83718257	83718266	-	0.000	0.000	Merged-chr6-83718285-22
NR1268--MA0508.2.PRDM1	chr2	173660538	173660547	+	0.000	0.000	Merged-chr2-173660540-10
NR963--MA0508.2.PRDM1	chr18	41861277	41861286	-	0.000	0.000	Merged-chr18-41861355-68
NR1582--MA0508.2.PRDM1	chr4	152341086	152341095	-	0.000	0.000	Merged-chr4-152341132-7
NR1853--MA0508.2.PRDM1	chr7	19004028	19004037	+	0.000	0.000	Merged-chr7-19004188-46
NR1648--MA0508.2.PRDM1	chr5	103760624	103760633	+	0.000	0.000	Merged-chr5-103760727-77
NR1486--MA0508.2.PRDM1	chr4	63853965	63853974	+	0.000	0.000	Merged-chr4-63853989-30
NR1138--MA0508.2.PRDM1	chr2	65104805	65104814	-	0.000	0.000	Merged-chr2-65104683-25
NR1200--MA0508.2.PRDM1	chr2	124634787	124634796	-	0.000	0.000	Merged-chr2-124634585-20
NR1247--MA0508.2.PRDM1	chr2	152332441	152332450	-	0.000	0.000	Merged-chr2-152332475-59
NR1499--MA0508.2.PRDM1	chr4	87987166	87987175	-	0.000	0.000	Merged-chr4-87987202-14
NR1104--MA0508.2.PRDM1	chr2	24776356	24776365	+	0.000	0.000	Merged-chr2-24776490-30
NR1356--MA0508.2.PRDM1	chr3	101238891	101238900	+	0.000	0.000	Merged-chr3-101238930-30
NR1213--MA0508.2.PRDM1	chr2	139628875	139628884	-	0.000	0.000	Merged-chr2-139628868-19
NR684--MA0508.2.PRDM1	chr14	73524812	73524821	+	0.000	0.000	Merged-chr14-73525022-50
NR1845--MA0508.2.PRDM1	chr6	149343925	149343934	+	0.000	0.000	Merged-chr6-149343874-27
NR1478--MA0508.2.PRDM1	chr4	59278647	59278656	-	0.000	0.000	Merged-chr4-59278599-46
NR411--MA0508.2.PRDM1	chr12	8500050	8500059	+	0.000	0.000	Merged-chr12-8499918-111
NR1077--MA0508.2.PRDM1	chr19	53900127	53900136	-	0.000	0.000	Merged-chr19-53900039-75
NR1043--MA0508.2.PRDM1	chr19	23523817	23523826	+	0.000	0.000	Merged-chr19-23523973-15
NR1109--MA0508.2.PRDM1	chr2	34204998	34205007	-	0.000	0.000	Merged-chr2-34204759-60
NR676--MA0508.2.PRDM1	chr14	66792052	66792061	-	0.000	0.000	Merged-chr14-66791932-41
NR804--MA0508.2.PRDM1	chr16	24836748	24836757	-	0.000	0.000	Merged-chr16-24836747-26
NR642--MA0508.2.PRDM1	chr14	36864236	36864245	+	0.000	0.000	Merged-chr14-36864137-55
NR1579--MA0508.2.PRDM1	chr4	148998272	148998281	-	0.000	0.000	Merged-chr4-148998288-20
NR817--MA0508.2.PRDM1	chr16	32130072	32130081	+	0.000	0.000	Merged-chr16-32130229-66
NR54--MA0508.2.PRDM1	chr1	101902329	101902338	-	0.000	0.000	Merged-chr1-101902483-125
NR241--MA0508.2.PRDM1	chr10	76802277	76802286	-	0.000	0.000	Merged-chr10-76802342-40
NR1797--MA0508.2.PRDM1	chr6	125541002	125541011	+	0.000	0.000	Merged-chr6-125540912-17
NR1035--MA0508.2.PRDM1	chr19	15883278	15883287	+	0.000	0.000	Merged-chr19-15883225-34
NR67--MA0508.2.PRDM1	chr1	128617825	128617834	+	0.000	0.000	Merged-chr1-128617938-22
NR1287--MA0508.2.PRDM1	chr3	18243930	18243939	-	0.000	0.000	Merged-chr3-18243680-52
NR1829--MA0508.2.PRDM1	chr6	142950600	142950609	-	0.000	0.000	Merged-chr6-142950474-44
NR525--MA0508.2.PRDM1	chr13	9430075	9430084	+	0.000	0.000	Merged-chr13-9430179-63
NR1415--MA0508.2.PRDM1	chr3	143599359	143599368	-	0.000	0.000	Merged-chr3-143599322-23
NR1667--MA0508.2.PRDM1	chr5	124050244	124050253	+	0.000	0.000	Merged-chr5-124050362-25
NR363--MA0508.2.PRDM1	chr11	82870844	82870853	+	0.000	0.000	Merged-chr11-82870965-86
NR1048--MA0508.2.PRDM1	chr19	30924284	30924293	-	0.000	0.000	Merged-chr19-30924347-34
NR1319--MA0508.2.PRDM1	chr3	68494057	68494066	-	0.000	0.000	Merged-chr3-68493991-26
NR886--MA0508.2.PRDM1	chr17	23193129	23193138	+	0.000	0.000	Merged-chr17-23193299-96
NR2060--MA0508.2.PRDM1	chr9	32759574	32759583	+	0.000	0.000	Merged-chr9-32759617-51
NR472--MA0508.2.PRDM1	chr12	100871976	100871985	+	0.000	0.000	Merged-chr12-100871796-44
NR1428--MA0508.2.PRDM1	chr3	148491528	148491537	-	0.000	0.000	Merged-chr3-148491583-74
NR1123--MA0508.2.PRDM1	chr2	48333110	48333119	-	0.000	0.000	Merged-chr2-48333008-54
NR756--MA0508.2.PRDM1	chr15	81933385	81933394	+	0.000	0.000	Merged-chr15-81933219-12
NR1375--MA0508.2.PRDM1	chr3	126693633	126693642	+	0.000	0.000	Merged-chr3-126693413-64
NR613--MA0508.2.PRDM1	chr13	114151393	114151402	+	0.000	0.000	Merged-chr13-114151304-52
NR1136--MA0508.2.PRDM1	chr2	62526521	62526530	-	0.000	0.000	Merged-chr2-62526559-11
NR769--MA0508.2.PRDM1	chr15	96345068	96345077	-	0.000	0.000	Merged-chr15-96345150-30
NR560--MA0508.2.PRDM1	chr13	75839921	75839930	+	0.000	0.000	Merged-chr13-75840041-65
NR355--MA0508.2.PRDM1	chr11	78328290	78328299	-	0.000	0.000	Merged-chr11-78328473-53
NR212--MA0508.2.PRDM1	chr10	40212569	40212578	+	0.000	0.000	Merged-chr10-40212600-39
NR878--MA0508.2.PRDM1	chr17	15440376	15440385	-	0.000	0.000	Merged-chr17-15440327-25
NR193--MA0508.2.PRDM1	chr10	19168063	19168072	+	0.000	0.000	Merged-chr10-19167953-53
NR321--MA0508.2.PRDM1	chr11	32000055	32000064	-	0.000	0.000	Merged-chr11-32000120-91
NR844--MA0508.2.PRDM1	chr16	76416545	76416554	+	0.000	0.000	Merged-chr16-76416397-52
NR225--MA0508.2.PRDM1	chr10	57448192	57448201	+	0.000	0.000	Merged-chr10-57448269-42
NR682--MA0508.2.PRDM1	chr14	72807541	72807550	-	0.000	0.000	Merged-chr14-72807438-29
NR477--MA0508.2.PRDM1	chr12	104057316	104057325	-	0.000	0.000	Merged-chr12-104057313-64
NR748--MA0508.2.PRDM1	chr15	66994582	66994591	+	0.000	0.000	Merged-chr15-66994727-12
NR1096--MA0508.2.PRDM1	chr2	18050862	18050871	+	0.000	0.000	Merged-chr2-18050783-11
NR1367--MA0508.2.PRDM1	chr3	121105080	121105089	-	0.000	0.000	Merged-chr3-121105161-35
NR17--MA0508.2.PRDM1	chr1	52607900	52607909	+	0.000	0.000	Merged-chr1-52607825-19
NR1237--MA0508.2.PRDM1	chr2	148689620	148689629	-	0.000	0.000	Merged-chr2-148689712-32
NR599--MA0508.2.PRDM1	chr13	108316207	108316216	-	0.000	0.000	Merged-chr13-108316339-65
NR204--MA0508.2.PRDM1	chr10	33987011	33987020	+	0.000	0.000	Merged-chr10-33986962-32
NR565--MA0508.2.PRDM1	chr13	81297446	81297455	+	0.000	0.000	Merged-chr13-81297421-2
NR836--MA0508.2.PRDM1	chr16	59007264	59007273	-	0.000	0.000	Merged-chr16-59007299-38
NR1088--MA0508.2.PRDM1	chr2	7270166	7270175	+	0.000	0.000	Merged-chr2-7270224-62
NR531--MA0508.2.PRDM1	chr13	21579906	21579915	-	0.000	0.000	Merged-chr13-21579773-26
NR783--MA0508.2.PRDM1	chr16	3982435	3982444	-	0.000	0.000	Merged-chr16-3982293-15
NR578--MA0508.2.PRDM1	chr13	94153740	94153749	-	0.000	0.000	Merged-chr13-94153821-20
NR1197--MA0508.2.PRDM1	chr2	121511679	121511688	+	0.000	0.000	Merged-chr2-121511602-35
NR687--MA0508.2.PRDM1	chr14	76152654	76152663	-	0.000	0.000	Merged-chr14-76152800-92
NR273--MA0508.2.PRDM1	chr10	111010665	111010674	+	0.000	0.000	Merged-chr10-111010753-5
NR815--MA0508.2.PRDM1	chr16	31234186	31234195	+	0.000	0.000	Merged-chr16-31234137-43
NR130--MA0508.2.PRDM1	chr1	173510783	173510792	+	0.000	0.000	Merged-chr1-173510865-36
NR401--MA0508.2.PRDM1	chr11	109722895	109722904	-	0.000	0.000	Merged-chr11-109722883-5
NR177--MA0508.2.PRDM1	chr10	8136889	8136898	-	0.000	0.000	Merged-chr10-8136726-1
NR305--MA0508.2.PRDM1	chr10	130371154	130371163	+	0.000	0.000	Merged-chr10-130371145-16
NR557--MA0508.2.PRDM1	chr13	74861745	74861754	-	0.000	0.000	Merged-chr13-74861692-20
NR209--MA0508.2.PRDM1	chr10	39479571	39479580	+	0.000	0.000	Merged-chr10-39479564-73
NR395--MA0508.2.PRDM1	chr11	106167712	106167721	+	0.000	0.000	Merged-chr11-106167556-51
NR6--MA0508.2.PRDM1	chr1	21830030	21830039	-	0.000	0.000	Merged-chr1-21830153-46
NR361--MA0508.2.PRDM1	chr11	79808189	79808198	-	0.000	0.000	Merged-chr11-79808076-4
NR78--MA0508.2.PRDM1	chr1	139454804	139454813	+	0.000	0.000	Merged-chr1-139454784-71
NR122--MA0508.2.PRDM1	chr1	168432404	168432413	-	0.000	0.000	Merged-chr1-168432368-41
NR645--MA0508.2.PRDM1	chr14	40938697	40938706	-	0.000	0.000	Merged-chr14-40938744-34
NR1902--MA0508.2.PRDM1	chr7	97749001	97749010	-	0.000	0.000	Merged-chr7-97749220-165
NR2071--MA0508.2.PRDM1	chr9	44582506	44582515	-	0.000	0.000	Merged-chr9-44582588-15
NR483--MA0508.2.PRDM1	chr12	108450225	108450234	-	0.000	0.000	Merged-chr12-108450147-23
NR278--MA0508.2.PRDM1	chr10	111912369	111912378	+	0.000	0.000	Merged-chr10-111912286-27
NR1883--MA0508.2.PRDM1	chr7	75821776	75821785	+	0.000	0.000	Merged-chr7-75821795-19
NR135--MA0508.2.PRDM1	chr1	176939833	176939842	-	0.000	0.000	Merged-chr1-176939939-16
NR387--MA0508.2.PRDM1	chr11	99386273	99386282	-	0.000	0.000	Merged-chr11-99386173-34
NR244--MA0508.2.PRDM1	chr10	79417332	79417341	-	0.000	0.000	Merged-chr10-79417442-89
NR101--MA0508.2.PRDM1	chr1	156206230	156206239	+	0.000	0.000	Merged-chr1-156206326-26
NR191--MA0508.2.PRDM1	chr10	19009376	19009385	+	0.000	0.000	Merged-chr10-19009477-32
NR528--MA0508.2.PRDM1	chr13	19272861	19272870	+	0.000	0.000	Merged-chr13-19272899-14
NR1591--MA0508.2.PRDM1	chr5	3494071	3494080	-	0.000	0.000	Merged-chr5-3493972-3
NR1732--MA0508.2.PRDM1	chr6	66962693	66962702	-	0.000	0.000	Merged-chr6-66962662-45
NR1984--MA0508.2.PRDM1	chr8	35628452	35628461	+	0.000	0.000	Merged-chr8-35628375-52
NR759--MA0508.2.PRDM1	chr15	86007864	86007873	+	0.000	0.000	Merged-chr15-86007897-35
NR597--MA0508.2.PRDM1	chr13	107461261	107461270	+	0.000	0.000	Merged-chr13-107461269-28
NR868--MA0508.2.PRDM1	chr16	94414372	94414381	+	0.000	0.000	Merged-chr16-94414336-19
NR2042--MA0508.2.PRDM1	chr8	122702392	122702401	+	0.000	0.000	Merged-chr8-122702580-1
NR2089--MA0508.2.PRDM1	chr9	62420109	62420118	-	0.000	0.000	Merged-chr9-62420075-10
NR629--MA0508.2.PRDM1	chr14	16152006	16152015	-	0.000	0.000	Merged-chr14-16152025-9
NR1692--MA0508.2.PRDM1	chr5	149643375	149643384	-	0.000	0.000	Merged-chr5-149643430-9
NR215--MA0508.2.PRDM1	chr10	44529602	44529611	+	0.000	0.000	Merged-chr10-44529535-56
NR228--MA0508.2.PRDM1	chr10	61658069	61658078	+	0.000	0.000	Merged-chr10-61658061-29
NR1833--MA0508.2.PRDM1	chr6	145193580	145193589	+	0.000	0.000	Merged-chr6-145193570-49
NR608--MA0508.2.PRDM1	chr13	110825021	110825030	+	0.000	0.000	Merged-chr13-110825010-20
NR1671--MA0508.2.PRDM1	chr5	134232294	134232303	-	0.000	0.000	Merged-chr5-134232433-54
NR2034--MA0508.2.PRDM1	chr8	115410307	115410316	-	0.000	0.000	Merged-chr8-115410237-10
NR1846--MA0508.2.PRDM1	chr7	6343580	6343589	+	0.000	0.000	Merged-chr7-6343741-28
NR698--MA0508.2.PRDM1	chr14	99032847	99032856	+	0.000	0.000	Merged-chr14-99032788-27
NR1161--MA0508.2.PRDM1	chr2	84798206	84798215	+	0.000	0.000	Merged-chr2-84798317-11
NR1270--MA0508.2.PRDM1	chr2	174566135	174566144	+	0.000	0.000	Merged-chr2-174566072-46
NR2047--MA0508.2.PRDM1	chr8	126979200	126979209	+	0.000	0.000	Merged-chr8-126979147-35
