#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR5625--MA0037.3.GATA3	chr6	108606934	108606941	-	0.000	0.000	Merged-chr6-108607013-11
NR2774--MA0035.3.Gata1	chr16	43661708	43661718	-	0.000	0.000	Merged-chr16-43661789-37
NR4353--MA0036.3.GATA2	chr3	60788287	60788297	+	0.000	0.000	Merged-chr3-60788099-46
NR3578--MA1104.1.GATA6	chr19	33053335	33053347	-	0.000	0.000	Merged-chr19-33053321-32
NR1053--MA0482.1.Gata4	chr11	3387173	3387183	-	0.000	0.000	Merged-chr11-3387260-37
NR1324--MA0482.1.Gata4	chr11	103346388	103346398	+	0.000	0.000	Merged-chr11-103346367-17
NR214--MA0036.3.GATA2	chr1	105543278	105543288	-	0.000	0.000	Merged-chr1-105543373-21
NR6556--MA0036.3.GATA2	chr8	117278453	117278463	+	0.000	0.000	Merged-chr8-117278352-17
NR7139--MA0482.1.Gata4	chrX	136616096	136616106	+	0.000	0.000	Merged-chrX-136616157-16
NR1232--MA0037.3.GATA3	chr11	85454138	85454145	+	0.000	0.000	Merged-chr11-85454065-23
NR2535--MA0035.3.Gata1	chr15	53222538	53222548	+	0.000	0.000	Merged-chr15-53222571-24
NR6650--MA1104.1.GATA6	chr8	128562983	128562995	-	0.000	0.000	Merged-chr8-128563020-29
NR2992--MA0035.3.Gata1	chr17	18558831	18558841	-	0.000	0.000	Merged-chr17-18558777-104
NR4738--MA0035.3.Gata1	chr3	159509171	159509181	+	0.000	0.000	Merged-chr3-159509158-33
NR1341--MA0037.3.GATA3	chr11	106057070	106057077	-	0.000	0.000	Merged-chr11-106057103-42
NR5500--MA0140.2.GATA1::TAL1	chr6	51073645	51073662	+	0.000	0.000	Merged-chr6-51073558-17
NR1337--MA0482.1.Gata4	chr11	104538423	104538433	-	0.000	0.000	Merged-chr11-104538419-8
NR5087--MA0766.1.GATA5	chr5	17422756	17422763	-	0.000	0.000	Merged-chr5-17422615-4
NR1497--MA1104.1.GATA6	chr12	35686611	35686623	+	0.000	0.000	Merged-chr12-35686484-17
NR6631--MA0036.3.GATA2	chr8	127589469	127589479	+	0.000	0.000	Merged-chr8-127589399-43
NR5171--MA1104.1.GATA6	chr5	64472606	64472618	-	0.000	0.000	Merged-chr5-64472447-77
NR617--MA0766.1.GATA5	chr1	191803663	191803670	-	0.000	0.000	Merged-chr1-191803516-12
NR1830--MA0037.3.GATA3	chr13	32993666	32993673	-	0.000	0.000	Merged-chr13-32993550-50
NR4390--MA0482.1.Gata4	chr3	82333843	82333853	+	0.000	0.000	Merged-chr3-82333766-35
NR6121--MA0036.3.GATA2	chr7	100449171	100449181	+	0.000	0.000	Merged-chr7-100449076-60
NR6402--MA0766.1.GATA5	chr8	36194320	36194327	-	0.000	0.000	Merged-chr8-36194183-57
NR4246--MA0766.1.GATA5	chr2	172405078	172405085	+	0.000	0.000	Merged-chr2-172405200-19
NR2285--MA0036.3.GATA2	chr14	54181415	54181425	+	0.000	0.000	Merged-chr14-54181464-26
NR3073--MA0482.1.Gata4	chr17	48332829	48332839	+	0.000	0.000	Merged-chr17-48332786-43
NR6721--MA0482.1.Gata4	chr9	46015109	46015119	+	0.000	0.000	Merged-chr9-46015200-37
NR4380--MA0035.3.Gata1	chr3	79128064	79128074	-	0.000	0.000	Merged-chr3-79127993-19
NR5276--MA0482.1.Gata4	chr5	105244863	105244873	-	0.000	0.000	Merged-chr5-105244982-37
NR1909--MA0037.3.GATA3	chr13	66991739	66991746	+	0.000	0.000	Merged-chr13-66991703-16
NR2349--MA0037.3.GATA3	chr14	66241477	66241484	-	0.000	0.000	Merged-chr14-66241484-22
NR2302--MA1104.1.GATA6	chr14	56284546	56284558	-	0.000	0.000	Merged-chr14-56284559-51
NR2968--MA1104.1.GATA6	chr17	13654772	13654784	+	0.000	0.000	Merged-chr17-13654932-70
NR729--MA0036.3.GATA2	chr10	39991287	39991297	+	0.000	0.000	Merged-chr10-39991173-41
NR1792--MA0036.3.GATA2	chr13	20094994	20095004	+	0.000	0.000	Merged-chr13-20095026-36
NR6692--MA0035.3.Gata1	chr9	35016830	35016840	+	0.000	0.000	Merged-chr9-35016972-25
NR1128--MA1104.1.GATA6	chr11	52314534	52314546	+	0.000	0.000	Merged-chr11-52314367-60
NR2375--MA0482.1.Gata4	chr14	79557826	79557836	-	0.000	0.000	Merged-chr14-79557870-40
NR2732--MA0035.3.Gata1	chr16	23306051	23306061	-	0.000	0.000	Merged-chr16-23306128-31
NR5308--MA0482.1.Gata4	chr5	124012995	124013005	-	0.000	0.000	Merged-chr5-124013138-22
NR1142--MA0140.2.GATA1::TAL1	chr11	53656983	53657000	+	0.000	0.000	Merged-chr11-53657053-47
NR7097--MA0036.3.GATA2	chrX	37110342	37110352	-	0.000	0.000	Merged-chrX-37110282-56
NR5564--MA0037.3.GATA3	chr6	91172603	91172610	+	0.000	0.000	Merged-chr6-91172590-9
NR1786--MA0140.2.GATA1::TAL1	chr13	13559105	13559122	+	0.000	0.000	Merged-chr13-13559096-31
NR2898--MA0482.1.Gata4	chr16	93918466	93918476	+	0.000	0.000	Merged-chr16-93918388-61
NR3679--MA0037.3.GATA3	chr19	59926171	59926178	-	0.000	0.000	Merged-chr19-59926305-20
NR5503--MA0140.2.GATA1::TAL1	chr6	54158525	54158542	-	0.000	0.000	Merged-chr6-54158471-51
NR6724--MA0035.3.Gata1	chr9	46015108	46015118	+	0.000	0.000	Merged-chr9-46015200-37
NR1438--MA0482.1.Gata4	chr11	119352714	119352724	-	0.000	0.000	Merged-chr11-119352857-1
NR2787--MA0036.3.GATA2	chr16	49774802	49774812	+	0.000	0.000	Merged-chr16-49774880-113
NR4847--MA0036.3.GATA2	chr4	89486086	89486096	-	0.000	0.000	Merged-chr4-89486149-23
NR2240--MA0766.1.GATA5	chr14	40927279	40927286	+	0.000	0.000	Merged-chr14-40927194-29
NR1869--MA0037.3.GATA3	chr13	46360724	46360731	+	0.000	0.000	Merged-chr13-46360893-14
NR4172--MA0766.1.GATA5	chr2	153147906	153147913	+	0.000	0.000	Merged-chr2-153147891-25
NR3244--MA1104.1.GATA6	chr18	34783577	34783589	-	0.000	0.000	Merged-chr18-34783714-45
NR6323--MA0035.3.Gata1	chr7	140983188	140983198	+	0.000	0.000	Merged-chr7-140983161-18
NR4372--MA0035.3.Gata1	chr3	75696299	75696309	-	0.000	0.000	Merged-chr3-75696372-7
NR2990--MA1104.1.GATA6	chr17	18558830	18558842	+	0.000	0.000	Merged-chr17-18558777-104
NR4736--MA1104.1.GATA6	chr3	159509170	159509182	-	0.000	0.000	Merged-chr3-159509158-33
NR5447--MA1104.1.GATA6	chr6	4664522	4664534	-	0.000	0.000	Merged-chr6-4664595-18
NR4618--MA0766.1.GATA5	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR73--MA0037.3.GATA3	chr1	62829840	62829847	+	0.000	0.000	Merged-chr1-62829921-36
NR2657--MA0036.3.GATA2	chr15	98510666	98510676	+	0.000	0.000	Merged-chr15-98510679-15
NR4051--MA1104.1.GATA6	chr2	120026842	120026854	+	0.000	0.000	Merged-chr2-120026874-2
NR1813--MA0766.1.GATA5	chr13	30777933	30777940	+	0.000	0.000	Merged-chr13-30777847-15
NR1197--MA1104.1.GATA6	chr11	75169167	75169179	-	0.000	0.000	Merged-chr11-75169080-24
NR5630--MA0766.1.GATA5	chr6	108607018	108607025	-	0.000	0.000	Merged-chr6-108607013-11
NR732--MA0482.1.Gata4	chr10	40451942	40451952	+	0.000	0.000	Merged-chr10-40451996-39
NR5304--MA0037.3.GATA3	chr5	122145603	122145610	-	0.000	0.000	Merged-chr5-122145635-51
NR6388--MA0766.1.GATA5	chr8	33898110	33898117	+	0.000	0.000	Merged-chr8-33898095-27
NR1912--MA0036.3.GATA2	chr13	66991737	66991747	-	0.000	0.000	Merged-chr13-66991703-16
NR1398--MA0482.1.Gata4	chr11	111065057	111065067	-	0.000	0.000	Merged-chr11-111065000-37
NR4969--MA0036.3.GATA2	chr4	134746203	134746213	+	0.000	0.000	Merged-chr4-134746190-17
NR6726--MA0482.1.Gata4	chr9	46149548	46149558	-	0.000	0.000	Merged-chr9-46149631-49
NR288--MA0036.3.GATA2	chr1	131638414	131638424	-	0.000	0.000	Merged-chr1-131638408-68
NR2105--MA0035.3.Gata1	chr13	106836444	106836454	+	0.000	0.000	Merged-chr13-106836459-51
NR4427--MA0482.1.Gata4	chr3	96675627	96675637	+	0.000	0.000	Merged-chr3-96675499-26
NR3068--MA0035.3.Gata1	chr17	44893785	44893795	-	0.000	0.000	Merged-chr17-44893726-24
NR6445--MA0035.3.Gata1	chr8	83779752	83779762	+	0.000	0.000	Merged-chr8-83779707-23
NR3682--MA0036.3.GATA2	chr19	59926170	59926180	+	0.000	0.000	Merged-chr19-59926305-20
NR939--MA0036.3.GATA2	chr10	111583205	111583215	-	0.000	0.000	Merged-chr10-111583294-13
NR264--MA0766.1.GATA5	chr1	128057473	128057480	-	0.000	0.000	Merged-chr1-128057377-21
NR2195--MA0035.3.Gata1	chr14	25535444	25535454	-	0.000	0.000	Merged-chr14-25535305-16
NR3892--MA0035.3.Gata1	chr2	75119412	75119422	+	0.000	0.000	Merged-chr2-75119235-19
NR1612--MA0035.3.Gata1	chr12	91746101	91746111	-	0.000	0.000	Merged-chr12-91745848-45
NR1814--MA0037.3.GATA3	chr13	32411687	32411694	+	0.000	0.000	Merged-chr13-32411761-17
NR1609--MA0037.3.GATA3	chr12	91746103	91746110	+	0.000	0.000	Merged-chr12-91745848-45
NR2575--MA0035.3.Gata1	chr15	62779102	62779112	+	0.000	0.000	Merged-chr15-62779143-25
NR6105--MA0036.3.GATA2	chr7	90007379	90007389	-	0.000	0.000	Merged-chr7-90007418-46
NR2467--MA0140.2.GATA1::TAL1	chr14	121829945	121829962	+	0.000	0.000	Merged-chr14-121830164-49
NR6577--MA0482.1.Gata4	chr8	122533227	122533237	-	0.000	0.000	Merged-chr8-122533289-14
NR2789--MA0140.2.GATA1::TAL1	chr16	49800303	49800320	-	0.000	0.000	Merged-chr16-49800187-31
NR2161--MA0035.3.Gata1	chr13	113580115	113580125	-	0.000	0.000	Merged-chr13-113580257-62
NR678--MA0140.2.GATA1::TAL1	chr10	19577780	19577797	-	0.000	0.000	Merged-chr10-19577648-1
NR4401--MA0140.2.GATA1::TAL1	chr3	84772169	84772186	-	0.000	0.000	Merged-chr3-84772067-31
NR3584--MA0037.3.GATA3	chr19	34254497	34254504	-	0.000	0.000	Merged-chr19-34254414-29
NR3562--MA0766.1.GATA5	chr19	29367426	29367433	+	0.000	0.000	Merged-chr19-29367376-49
NR2111--MA1104.1.GATA6	chr13	108045779	108045791	-	0.000	0.000	Merged-chr13-108045887-18
NR1872--MA0036.3.GATA2	chr13	46360722	46360732	-	0.000	0.000	Merged-chr13-46360893-14
NR6195--MA0036.3.GATA2	chr7	114616934	114616944	-	0.000	0.000	Merged-chr7-114616980-17
NR6737--MA0036.3.GATA2	chr9	50924696	50924706	+	0.000	0.000	Merged-chr9-50924601-13
NR3074--MA1104.1.GATA6	chr17	48332827	48332839	-	0.000	0.000	Merged-chr17-48332786-43
NR6722--MA1104.1.GATA6	chr9	46015107	46015119	-	0.000	0.000	Merged-chr9-46015200-37
NR3759--MA0037.3.GATA3	chr2	31081560	31081567	+	0.000	0.000	Merged-chr2-31081632-31
NR5277--MA1104.1.GATA6	chr5	105244863	105244875	+	0.000	0.000	Merged-chr5-105244982-37
NR1734--MA0035.3.Gata1	chr12	118255860	118255870	-	0.000	0.000	Merged-chr12-118255780-45
NR6262--MA0035.3.Gata1	chr7	127144581	127144591	+	0.000	0.000	Merged-chr7-127144596-50
NR5460--MA0766.1.GATA5	chr6	12080607	12080614	+	0.000	0.000	Merged-chr6-12080624-16
NR2673--MA0482.1.Gata4	chr15	103339526	103339536	+	0.000	0.000	Merged-chr15-103339534-3
NR2376--MA1104.1.GATA6	chr14	79557826	79557838	+	0.000	0.000	Merged-chr14-79557870-40
NR3432--MA0766.1.GATA5	chr18	79353031	79353038	+	0.000	0.000	Merged-chr18-79353064-26
NR4143--MA0766.1.GATA5	chr2	148857033	148857040	-	0.000	0.000	Merged-chr2-148856922-22
NR389--MA0036.3.GATA2	chr1	155223926	155223936	-	0.000	0.000	Merged-chr1-155224072-96
NR4395--MA0766.1.GATA5	chr3	84093109	84093116	+	0.000	0.000	Merged-chr3-84093112-19
NR4385--MA0036.3.GATA2	chr3	79248516	79248526	-	0.000	0.000	Merged-chr3-79248582-102
NR3930--MA1104.1.GATA6	chr2	91876527	91876539	-	0.000	0.000	Merged-chr2-91876592-59
NR6689--MA0035.3.Gata1	chr9	31300706	31300716	+	0.000	0.000	Merged-chr9-31300664-3
NR2690--MA1104.1.GATA6	chr16	10814976	10814988	+	0.000	0.000	Merged-chr16-10815093-30
NR323--MA0482.1.Gata4	chr1	143319752	143319762	+	0.000	0.000	Merged-chr1-143319719-34
NR1917--MA0036.3.GATA2	chr13	67332555	67332565	-	0.000	0.000	Merged-chr13-67332541-54
NR1008--MA0482.1.Gata4	chr10	122976185	122976195	-	0.000	0.000	Merged-chr10-122976254-31
NR1439--MA1104.1.GATA6	chr11	119352714	119352726	+	0.000	0.000	Merged-chr11-119352857-1
NR6403--MA0035.3.Gata1	chr8	36194319	36194329	+	0.000	0.000	Merged-chr8-36194183-57
NR1442--MA0035.3.Gata1	chr11	119352715	119352725	-	0.000	0.000	Merged-chr11-119352857-1
NR2722--MA1104.1.GATA6	chr16	20930011	20930023	-	0.000	0.000	Merged-chr16-20930100-26
NR2062--MA0766.1.GATA5	chr13	100576090	100576097	+	0.000	0.000	Merged-chr13-100576105-29
NR1694--MA0035.3.Gata1	chr12	112743308	112743318	+	0.000	0.000	Merged-chr12-112743369-41
NR7137--MA0482.1.Gata4	chrX	134601054	134601064	+	0.000	0.000	Merged-chrX-134601254-82
NR3576--MA0037.3.GATA3	chr19	33053337	33053344	-	0.000	0.000	Merged-chr19-33053321-32
NR5791--MA0140.2.GATA1::TAL1	chr6	136902663	136902680	-	0.000	0.000	Merged-chr6-136902691-26
NR2010--MA0035.3.Gata1	chr13	91484440	91484450	-	0.000	0.000	Merged-chr13-91484361-55
NR6949--MA0482.1.Gata4	chr9	95836024	95836034	+	0.000	0.000	Merged-chr9-95835913-33
NR767--MA1104.1.GATA6	chr10	62984253	62984265	+	0.000	0.000	Merged-chr10-62984405-51
NR6264--MA0482.1.Gata4	chr7	128132355	128132365	+	0.000	0.000	Merged-chr7-128132284-5
NR2974--MA0037.3.GATA3	chr17	13655026	13655033	+	0.000	0.000	Merged-chr17-13654932-70
NR1836--MA0140.2.GATA1::TAL1	chr13	33068288	33068305	-	0.000	0.000	Merged-chr13-33068250-9
NR3020--MA0140.2.GATA1::TAL1	chr17	30842622	30842639	+	0.000	0.000	Merged-chr17-30842407-10
NR716--MA0482.1.Gata4	chr10	34172903	34172913	-	0.000	0.000	Merged-chr10-34172961-40
NR4170--MA0482.1.Gata4	chr2	152768034	152768044	+	0.000	0.000	Merged-chr2-152767843-25
NR3619--MA0140.2.GATA1::TAL1	chr19	44112031	44112048	+	0.000	0.000	Merged-chr19-44111939-9
NR2708--MA0035.3.Gata1	chr16	13306419	13306429	+	0.000	0.000	Merged-chr16-13306399-29
NR5269--MA0037.3.GATA3	chr5	105192811	105192818	-	0.000	0.000	Merged-chr5-105192735-25
NR3762--MA0036.3.GATA2	chr2	31081558	31081568	-	0.000	0.000	Merged-chr2-31081632-31
NR1877--MA0036.3.GATA2	chr13	49188129	49188139	-	0.000	0.000	Merged-chr13-49188113-1
NR1309--MA0037.3.GATA3	chr11	101627409	101627416	-	0.000	0.000	Merged-chr11-101627512-104
NR2598--MA0766.1.GATA5	chr15	78495178	78495185	+	0.000	0.000	Merged-chr15-78495177-43
NR5331--MA0037.3.GATA3	chr5	130255521	130255528	+	0.000	0.000	Merged-chr5-130255429-49
NR4345--MA0482.1.Gata4	chr3	59114100	59114110	+	0.000	0.000	Merged-chr3-59114221-20
NR1835--MA0035.3.Gata1	chr13	32993665	32993675	+	0.000	0.000	Merged-chr13-32993550-50
NR6639--MA0140.2.GATA1::TAL1	chr8	127973440	127973457	+	0.000	0.000	Merged-chr8-127973425-20
NR5652--MA0035.3.Gata1	chr6	115480357	115480367	+	0.000	0.000	Merged-chr6-115480536-31
NR1399--MA1104.1.GATA6	chr11	111065057	111065069	+	0.000	0.000	Merged-chr11-111065000-37
NR5290--MA0766.1.GATA5	chr5	115755111	115755118	+	0.000	0.000	Merged-chr5-115755148-41
NR5832--MA0766.1.GATA5	chr6	142809494	142809501	+	0.000	0.000	Merged-chr6-142809719-29
NR3794--MA0140.2.GATA1::TAL1	chr2	44324188	44324205	+	0.000	0.000	Merged-chr2-44324055-19
NR3028--MA0482.1.Gata4	chr17	32350601	32350611	+	0.000	0.000	Merged-chr17-32350599-47
NR2697--MA0036.3.GATA2	chr16	10879822	10879832	-	0.000	0.000	Merged-chr16-10879691-17
NR3600--MA0482.1.Gata4	chr19	40818905	40818915	+	0.000	0.000	Merged-chr19-40819012-30
NR4039--MA0766.1.GATA5	chr2	116999070	116999077	+	0.000	0.000	Merged-chr2-116999120-8
NR4040--MA0482.1.Gata4	chr2	117374271	117374281	+	0.000	0.000	Merged-chr2-117374468-47
NR5726--MA0036.3.GATA2	chr6	129586992	129587002	+	0.000	0.000	Merged-chr6-129586992-7
NR5619--MA0140.2.GATA1::TAL1	chr6	108448326	108448343	+	0.000	0.000	Merged-chr6-108448378-58
NR6023--MA0036.3.GATA2	chr7	67500441	67500451	-	0.000	0.000	Merged-chr7-67500556-27
NR2187--MA0036.3.GATA2	chr14	16373047	16373057	-	0.000	0.000	Merged-chr14-16372999-30
NR332--MA0037.3.GATA3	chr1	144076169	144076176	-	0.000	0.000	Merged-chr1-144076413-55
NR262--MA0482.1.Gata4	chr1	128057473	128057483	+	0.000	0.000	Merged-chr1-128057377-21
NR6399--MA0482.1.Gata4	chr8	36194320	36194330	+	0.000	0.000	Merged-chr8-36194183-57
NR6578--MA1104.1.GATA6	chr8	122533227	122533239	+	0.000	0.000	Merged-chr8-122533289-14
NR1474--MA0037.3.GATA3	chr12	25270024	25270031	+	0.000	0.000	Merged-chr12-25270049-10
NR1181--MA0766.1.GATA5	chr11	70594812	70594819	-	0.000	0.000	Merged-chr11-70594778-39
NR5360--MA0035.3.Gata1	chr5	138657963	138657973	+	0.000	0.000	Merged-chr5-138657986-28
NR5631--MA0035.3.Gata1	chr6	108607017	108607027	+	0.000	0.000	Merged-chr6-108607013-11
NR1400--MA0035.3.Gata1	chr11	111065058	111065068	-	0.000	0.000	Merged-chr11-111065000-37
NR1126--MA0037.3.GATA3	chr11	52314537	52314544	+	0.000	0.000	Merged-chr11-52314367-60
NR6687--MA1104.1.GATA6	chr9	31300705	31300717	-	0.000	0.000	Merged-chr9-31300664-3
NR6427--MA0140.2.GATA1::TAL1	chr8	72351715	72351732	-	0.000	0.000	Merged-chr8-72351655-27
NR3603--MA0035.3.Gata1	chr19	40818904	40818914	+	0.000	0.000	Merged-chr19-40819012-30
NR6389--MA0035.3.Gata1	chr8	33898108	33898118	-	0.000	0.000	Merged-chr8-33898095-27
NR4612--MA1104.1.GATA6	chr3	136725867	136725879	-	0.000	0.000	Merged-chr3-136725981-1
NR2456--MA1104.1.GATA6	chr14	121313218	121313230	-	0.000	0.000	Merged-chr14-121313397-5
NR3502--MA0036.3.GATA2	chr19	5094351	5094361	-	0.000	0.000	Merged-chr19-5094459-12
NR5740--MA0035.3.Gata1	chr6	130136665	130136675	+	0.000	0.000	Merged-chr6-130136655-31
NR2328--MA0036.3.GATA2	chr14	60131691	60131701	+	0.000	0.000	Merged-chr14-60131750-51
NR6517--MA0035.3.Gata1	chr8	111976661	111976671	-	0.000	0.000	Merged-chr8-111976573-47
NR1283--MA0140.2.GATA1::TAL1	chr11	95842102	95842119	+	0.000	0.000	Merged-chr11-95842065-49
NR6017--MA0482.1.Gata4	chr7	66060370	66060380	+	0.000	0.000	Merged-chr7-66060555-63
NR5272--MA0036.3.GATA2	chr5	105192810	105192820	+	0.000	0.000	Merged-chr5-105192735-25
NR1073--MA0037.3.GATA3	chr11	11836941	11836948	-	0.000	0.000	Merged-chr11-11837020-26
NR1312--MA0036.3.GATA2	chr11	101627408	101627418	+	0.000	0.000	Merged-chr11-101627512-104
NR4379--MA0766.1.GATA5	chr3	79128066	79128073	+	0.000	0.000	Merged-chr3-79127993-19
NR2770--MA0037.3.GATA3	chr16	43661710	43661717	+	0.000	0.000	Merged-chr16-43661789-37
NR4175--MA0482.1.Gata4	chr2	156882818	156882828	+	0.000	0.000	Merged-chr2-156882642-42
NR2674--MA1104.1.GATA6	chr15	103339524	103339536	-	0.000	0.000	Merged-chr15-103339534-3
NR6649--MA0482.1.Gata4	chr8	128562985	128562995	+	0.000	0.000	Merged-chr8-128563020-29
NR4698--MA0482.1.Gata4	chr3	152734251	152734261	-	0.000	0.000	Merged-chr3-152734415-9
NR1160--MA0766.1.GATA5	chr11	64037641	64037648	+	0.000	0.000	Merged-chr11-64037767-32
NR1702--MA0766.1.GATA5	chr12	113414681	113414688	-	0.000	0.000	Merged-chr12-113414554-11
NR7086--MA0140.2.GATA1::TAL1	chrX	7586698	7586715	-	0.000	0.000	Merged-chrX-7586610-10
NR5314--MA0766.1.GATA5	chr5	124022517	124022524	-	0.000	0.000	Merged-chr5-124022476-27
NR324--MA1104.1.GATA6	chr1	143319750	143319762	-	0.000	0.000	Merged-chr1-143319719-34
NR2260--MA0037.3.GATA3	chr14	47476788	47476795	+	0.000	0.000	Merged-chr14-47476839-9
NR3563--MA0035.3.Gata1	chr19	29367424	29367434	-	0.000	0.000	Merged-chr19-29367376-49
NR4188--MA0482.1.Gata4	chr2	163054625	163054635	-	0.000	0.000	Merged-chr2-163054784-63
NR5445--MA0037.3.GATA3	chr6	4664524	4664531	-	0.000	0.000	Merged-chr6-4664595-18
NR5413--MA0036.3.GATA2	chr5	149583075	149583085	+	0.000	0.000	Merged-chr5-149583085-2
NR3191--MA0036.3.GATA2	chr17	83307182	83307192	-	0.000	0.000	Merged-chr17-83307130-30
NR4069--MA0035.3.Gata1	chr2	132497593	132497603	-	0.000	0.000	Merged-chr2-132497706-22
NR1740--MA0035.3.Gata1	chr12	118439072	118439082	-	0.000	0.000	Merged-chr12-118439012-3
NR1195--MA0037.3.GATA3	chr11	75169169	75169176	-	0.000	0.000	Merged-chr11-75169080-24
NR3622--MA1104.1.GATA6	chr19	46613395	46613407	-	0.000	0.000	Merged-chr19-46613309-39
NR7141--MA0035.3.Gata1	chrX	137019422	137019432	-	0.000	0.000	Merged-chrX-137019593-29
