#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR1894--MA0463.1.Bcl6	chr6	127103099	127103112	+	0.000	0.000	Merged-chr6-127103000-20
NR504--MA0731.1.BCL6B	chr12	105476722	105476738	-	0.000	0.000	Merged-chr12-105476621-32
NR1442--MA0463.1.Bcl6	chr3	152886882	152886895	+	0.000	0.000	Merged-chr3-152886887-20
NR1648--MA0463.1.Bcl6	chr5	32714042	32714055	+	0.000	0.000	Merged-chr5-32713886-83
NR2182--MA0731.1.BCL6B	chr8	109917559	109917575	+	0.000	0.000	Merged-chr8-109917447-24
NR865--MA0731.1.BCL6B	chr16	51878441	51878457	+	0.000	0.000	Merged-chr16-51878445-21
NR2310--MA0731.1.BCL6B	chr9	118361240	118361256	+	0.000	0.000	Merged-chr9-118361138-26
NR407--MA0463.1.Bcl6	chr11	109758841	109758854	+	0.000	0.000	Merged-chr11-109758787-36
NR1407--MA0731.1.BCL6B	chr3	132791402	132791418	-	0.000	0.000	Merged-chr3-132791387-40
NR783--MA0463.1.Bcl6	chr15	58685161	58685174	-	0.000	0.000	Merged-chr15-58685209-108
NR878--MA0731.1.BCL6B	chr16	64770965	64770981	-	0.000	0.000	Merged-chr16-64770922-80
NR331--MA0463.1.Bcl6	chr11	4497614	4497627	-	0.000	0.000	Merged-chr11-4497649-38
NR38--MA0731.1.BCL6B	chr1	69657265	69657281	+	0.000	0.000	Merged-chr1-69657362-23
NR667--MA0463.1.Bcl6	chr14	54165193	54165206	+	0.000	0.000	Merged-chr14-54165125-24
NR2331--MA0463.1.Bcl6	chrX	59999515	59999528	-	0.000	0.000	Merged-chrX-59999627-14
NR1586--MA0463.1.Bcl6	chr4	136031602	136031615	+	0.000	0.000	Merged-chr4-136031447-41
NR591--MA0463.1.Bcl6	chr13	81685149	81685162	+	0.000	0.000	Merged-chr13-81685096-36
NR2140--MA0731.1.BCL6B	chr8	66486562	66486578	-	0.000	0.000	Merged-chr8-66486443-62
NR1801--MA0463.1.Bcl6	chr6	38360235	38360248	-	0.000	0.000	Merged-chr6-38360325-47
NR599--MA0731.1.BCL6B	chr13	90929893	90929909	-	0.000	0.000	Merged-chr13-90930019-46
NR185--MA0731.1.BCL6B	chr1	178187462	178187478	+	0.000	0.000	Merged-chr1-178187385-1
NR313--MA0731.1.BCL6B	chr10	117677622	117677638	-	0.000	0.000	Merged-chr10-117677545-62
NR836--MA0731.1.BCL6B	chr16	23250854	23250870	+	0.000	0.000	Merged-chr16-23250750-42
NR1088--MA0731.1.BCL6B	chr2	3753874	3753890	-	0.000	0.000	Merged-chr2-3753899-45
NR1197--MA0731.1.BCL6B	chr2	103485213	103485229	-	0.000	0.000	Merged-chr2-103485172-63
NR2023--MA0731.1.BCL6B	chr7	101310836	101310852	-	0.000	0.000	Merged-chr7-101310709-58
NR706--MA0731.1.BCL6B	chr14	73290157	73290173	+	0.000	0.000	Merged-chr14-73290096-39
NR914--MA0463.1.Bcl6	chr17	12165427	12165440	+	0.000	0.000	Merged-chr17-12165459-54
NR359--MA0463.1.Bcl6	chr11	58171728	58171741	+	0.000	0.000	Merged-chr11-58171716-43
NR1054--MA0463.1.Bcl6	chr19	10880822	10880835	+	0.000	0.000	Merged-chr19-10881047-16
NR2238--MA0463.1.Bcl6	chr9	48538503	48538516	-	0.000	0.000	Merged-chr9-48538454-59
NR932--MA0463.1.Bcl6	chr17	31789358	31789371	+	0.000	0.000	Merged-chr17-31789470-34
NR2135--MA0463.1.Bcl6	chr8	47533574	47533587	+	0.000	0.000	Merged-chr8-47533612-62
NR2256--MA0463.1.Bcl6	chr9	75441295	75441308	-	0.000	0.000	Merged-chr9-75441511-87
NR950--MA0463.1.Bcl6	chr17	57126000	57126013	-	0.000	0.000	Merged-chr17-57126152-41
NR807--MA0463.1.Bcl6	chr15	97606704	97606717	+	0.000	0.000	Merged-chr15-97606857-25
NR828--MA0731.1.BCL6B	chr16	14351039	14351055	+	0.000	0.000	Merged-chr16-14350919-24
NR1963--MA0463.1.Bcl6	chr7	28381221	28381234	+	0.000	0.000	Merged-chr7-28381197-44
NR395--MA0731.1.BCL6B	chr11	97662228	97662244	+	0.000	0.000	Merged-chr11-97662254-27
NR149--MA0463.1.Bcl6	chr1	160054533	160054546	+	0.000	0.000	Merged-chr1-160054348-51
NR1923--MA0731.1.BCL6B	chr6	140657483	140657499	+	0.000	0.000	Merged-chr6-140657459-39
NR20--MA0463.1.Bcl6	chr1	43899091	43899104	+	0.000	0.000	Merged-chr1-43899142-19
NR1068--MA0463.1.Bcl6	chr19	34290522	34290535	+	0.000	0.000	Merged-chr19-34290594-61
NR788--MA0731.1.BCL6B	chr15	64246561	64246577	-	0.000	0.000	Merged-chr15-64246637-23
NR709--MA0463.1.Bcl6	chr14	75845845	75845858	-	0.000	0.000	Merged-chr14-75845908-1
NR2055--MA0463.1.Bcl6	chr7	116484374	116484387	-	0.000	0.000	Merged-chr7-116484434-42
NR400--MA0463.1.Bcl6	chr11	102430374	102430387	-	0.000	0.000	Merged-chr11-102430460-50
NR1874--MA0463.1.Bcl6	chr6	115946797	115946810	+	0.000	0.000	Merged-chr6-115946621-13
NR2342--MA0731.1.BCL6B	chrX	158940984	158941000	+	0.000	0.000	Merged-chrX-158941058-9
NR2180--MA0731.1.BCL6B	chr8	107503458	107503474	-	0.000	0.000	Merged-chr8-107503641-5
NR2246--MA0731.1.BCL6B	chr9	57762915	57762931	+	0.000	0.000	Merged-chr9-57762825-14
NR496--MA0731.1.BCL6B	chr12	98445743	98445759	-	0.000	0.000	Merged-chr12-98445818-15
NR1753--MA0731.1.BCL6B	chr5	134277353	134277369	+	0.000	0.000	Merged-chr5-134277310-4
NR2116--MA0731.1.BCL6B	chr8	25264248	25264264	-	0.000	0.000	Merged-chr8-25264436-22
NR637--MA0731.1.BCL6B	chr14	14715997	14716013	-	0.000	0.000	Merged-chr14-14716073-16
NR2096--MA0463.1.Bcl6	chr7	140193006	140193019	-	0.000	0.000	Merged-chr7-140193008-50
NR1333--MA0463.1.Bcl6	chr3	79210354	79210367	+	0.000	0.000	Merged-chr3-79210417-27
NR127--MA0731.1.BCL6B	chr1	139179803	139179819	+	0.000	0.000	Merged-chr1-139179878-22
NR665--MA0463.1.Bcl6	chr14	53991442	53991455	-	0.000	0.000	Merged-chr14-53991550-13
NR1351--MA0463.1.Bcl6	chr3	88914017	88914030	+	0.000	0.000	Merged-chr3-88913993-52
NR683--MA0463.1.Bcl6	chr14	65393682	65393695	-	0.000	0.000	Merged-chr14-65393664-9
NR1997--MA0731.1.BCL6B	chr7	74697100	74697116	+	0.000	0.000	Merged-chr7-74696900-78
NR2313--MA0731.1.BCL6B	chr9	122150686	122150702	-	0.000	0.000	Merged-chr9-122150542-33
NR437--MA0463.1.Bcl6	chr12	33235889	33235902	+	0.000	0.000	Merged-chr12-33235849-22
NR1854--MA0731.1.BCL6B	chr6	97148714	97148730	-	0.000	0.000	Merged-chr6-97148793-82
NR1593--MA0463.1.Bcl6	chr4	145219837	145219850	-	0.000	0.000	Merged-chr4-145220002-13
NR2326--MA0731.1.BCL6B	chrX	20364486	20364502	+	0.000	0.000	Merged-chrX-20364570-48
NR2110--MA0463.1.Bcl6	chr8	18619058	18619071	-	0.000	0.000	Merged-chr8-18619188-46
NR1291--MA0731.1.BCL6B	chr2	181375967	181375983	+	0.000	0.000	Merged-chr2-181375912-7
NR142--MA0463.1.Bcl6	chr1	155050360	155050373	-	0.000	0.000	Merged-chr1-155050378-11
NR2227--MA0463.1.Bcl6	chr9	32915849	32915862	+	0.000	0.000	Merged-chr9-32915809-45
NR375--MA0463.1.Bcl6	chr11	72961951	72961964	+	0.000	0.000	Merged-chr11-72961970-1
NR160--MA0463.1.Bcl6	chr1	164453819	164453832	+	0.000	0.000	Merged-chr1-164453894-15
NR1267--MA0463.1.Bcl6	chr2	167505401	167505414	-	0.000	0.000	Merged-chr2-167505349-52
NR1943--MA0463.1.Bcl6	chr6	148436699	148436712	+	0.000	0.000	Merged-chr6-148436541-68
NR487--MA0463.1.Bcl6	chr12	91774238	91774251	+	0.000	0.000	Merged-chr12-91774223-2
NR1650--MA0731.1.BCL6B	chr5	35817406	35817422	+	0.000	0.000	Merged-chr5-35817524-2
NR297--MA0731.1.BCL6B	chr10	95842886	95842902	-	0.000	0.000	Merged-chr10-95843057-27
NR1934--MA0731.1.BCL6B	chr6	145469503	145469519	+	0.000	0.000	Merged-chr6-145469437-17
NR604--MA0463.1.Bcl6	chr13	92671666	92671679	-	0.000	0.000	Merged-chr13-92671922-24
NR1262--MA0731.1.BCL6B	chr2	163401537	163401553	+	0.000	0.000	Merged-chr2-163401452-24
NR14--MA0463.1.Bcl6	chr1	30792973	30792986	+	0.000	0.000	Merged-chr1-30793129-16
NR308--MA0731.1.BCL6B	chr10	111478964	111478980	-	0.000	0.000	Merged-chr10-111478939-8
NR2005--MA0731.1.BCL6B	chr7	84164954	84164970	+	0.000	0.000	Merged-chr7-84165071-54
NR970--MA0731.1.BCL6B	chr17	86832839	86832855	-	0.000	0.000	Merged-chr17-86833009-31
NR752--MA0463.1.Bcl6	chr15	9190110	9190123	-	0.000	0.000	Merged-chr15-9190055-23
NR524--MA0463.1.Bcl6	chr12	117553514	117553527	-	0.000	0.000	Merged-chr12-117553468-60
NR1998--MA0463.1.Bcl6	chr7	75387910	75387923	+	0.000	0.000	Merged-chr7-75388095-45
NR1425--MA0463.1.Bcl6	chr3	146063290	146063303	-	0.000	0.000	Merged-chr3-146063322-20
NR1111--MA0731.1.BCL6B	chr2	25095309	25095325	+	0.000	0.000	Merged-chr2-25095278-14
NR1634--MA0731.1.BCL6B	chr5	16470144	16470160	+	0.000	0.000	Merged-chr5-16470042-54
NR2197--MA0463.1.Bcl6	chr8	122556837	122556850	-	0.000	0.000	Merged-chr8-122556749-52
NR1905--MA0731.1.BCL6B	chr6	134120747	134120763	-	0.000	0.000	Merged-chr6-134120751-43
NR748--MA0463.1.Bcl6	chr14	122754731	122754744	-	0.000	0.000	Merged-chr14-122754701-5
NR560--MA0463.1.Bcl6	chr13	44469934	44469947	-	0.000	0.000	Merged-chr13-44469890-10
NR2106--MA0731.1.BCL6B	chr8	12607380	12607396	-	0.000	0.000	Merged-chr8-12607436-37
NR1309--MA0463.1.Bcl6	chr3	38497052	38497065	-	0.000	0.000	Merged-chr3-38497155-35
NR82--MA0463.1.Bcl6	chr1	104986399	104986412	+	0.000	0.000	Merged-chr1-104986299-37
NR2119--MA0731.1.BCL6B	chr8	31176221	31176237	-	0.000	0.000	Merged-chr8-31176190-29
NR1594--MA0731.1.BCL6B	chr4	145246637	145246653	+	0.000	0.000	Merged-chr4-145246720-73
NR561--MA0731.1.BCL6B	chr13	48843577	48843593	+	0.000	0.000	Merged-chr13-48843644-14
NR69--MA0463.1.Bcl6	chr1	91024162	91024175	-	0.000	0.000	Merged-chr1-91024136-16
NR574--MA0463.1.Bcl6	chr13	63223659	63223672	-	0.000	0.000	Merged-chr13-63223423-77
NR328--MA0463.1.Bcl6	chr11	3161066	3161079	+	0.000	0.000	Merged-chr11-3161151-10
NR1229--MA0463.1.Bcl6	chr2	129873720	129873733	+	0.000	0.000	Merged-chr2-129873690-22
NR1014--MA0463.1.Bcl6	chr18	67290582	67290595	+	0.000	0.000	Merged-chr18-67290612-3
NR1225--MA0731.1.BCL6B	chr2	125735759	125735775	-	0.000	0.000	Merged-chr2-125735684-57
NR1682--MA0731.1.BCL6B	chr5	77285928	77285944	+	0.000	0.000	Merged-chr5-77285904-24
NR1605--MA0731.1.BCL6B	chr4	147848496	147848512	-	0.000	0.000	Merged-chr4-147848412-69
NR2010--MA0463.1.Bcl6	chr7	89147009	89147022	+	0.000	0.000	Merged-chr7-89146936-24
NR2216--MA0463.1.Bcl6	chr9	20581378	20581391	-	0.000	0.000	Merged-chr9-20581482-47
NR824--MA0731.1.BCL6B	chr16	11034623	11034639	+	0.000	0.000	Merged-chr16-11034584-21
NR2122--MA0463.1.Bcl6	chr8	35321526	35321539	-	0.000	0.000	Merged-chr8-35321635-19
NR364--MA0463.1.Bcl6	chr11	62185090	62185103	+	0.000	0.000	Merged-chr11-62185170-13
NR1300--MA0731.1.BCL6B	chr3	31145929	31145945	-	0.000	0.000	Merged-chr3-31145985-42
NR1395--MA0463.1.Bcl6	chr3	126596843	126596856	+	0.000	0.000	Merged-chr3-126597082-207
NR1180--MA0463.1.Bcl6	chr2	79005096	79005109	+	0.000	0.000	Merged-chr2-79004997-23
NR1294--MA0731.1.BCL6B	chr3	9786798	9786814	-	0.000	0.000	Merged-chr3-9786855-28
NR1610--MA0463.1.Bcl6	chr4	150799032	150799045	-	0.000	0.000	Merged-chr4-150799073-80
NR784--MA0731.1.BCL6B	chr15	58685161	58685177	+	0.000	0.000	Merged-chr15-58685209-108
NR370--MA0731.1.BCL6B	chr11	69921667	69921683	+	0.000	0.000	Merged-chr11-69921533-99
NR933--MA0463.1.Bcl6	chr17	32386899	32386912	+	0.000	0.000	Merged-chr17-32386992-9
NR1055--MA0731.1.BCL6B	chr19	10880819	10880835	+	0.000	0.000	Merged-chr19-10881047-16
NR172--MA0463.1.Bcl6	chr1	170632632	170632645	+	0.000	0.000	Merged-chr1-170632592-34
NR1946--MA0463.1.Bcl6	chr6	149193847	149193860	+	0.000	0.000	Merged-chr6-149193776-50
NR1852--MA0463.1.Bcl6	chr6	94690438	94690451	+	0.000	0.000	Merged-chr6-94690537-14
NR492--MA0731.1.BCL6B	chr12	94115005	94115021	-	0.000	0.000	Merged-chr12-94114920-18
NR1557--MA0731.1.BCL6B	chr4	117267545	117267561	+	0.000	0.000	Merged-chr4-117267580-14
NR1828--MA0731.1.BCL6B	chr6	67127941	67127957	+	0.000	0.000	Merged-chr6-67128007-16
NR1969--MA0463.1.Bcl6	chr7	39544308	39544321	+	0.000	0.000	Merged-chr7-39544508-62
NR885--MA0731.1.BCL6B	chr16	76323590	76323606	-	0.000	0.000	Merged-chr16-76323771-64
NR401--MA0463.1.Bcl6	chr11	104630448	104630461	-	0.000	0.000	Merged-chr11-104630373-60
NR871--MA0463.1.Bcl6	chr16	55822246	55822259	-	0.000	0.000	Merged-chr16-55822144-53
NR1013--MA0731.1.BCL6B	chr18	65395665	65395681	-	0.000	0.000	Merged-chr18-65395765-31
NR509--MA0463.1.Bcl6	chr12	108765905	108765918	+	0.000	0.000	Merged-chr12-108765872-68
NR830--MA0731.1.BCL6B	chr16	15637536	15637552	+	0.000	0.000	Merged-chr16-15637448-97
NR415--MA0463.1.Bcl6	chr11	117349650	117349663	-	0.000	0.000	Merged-chr11-117349622-30
NR1101--MA0463.1.Bcl6	chr2	18403850	18403863	-	0.000	0.000	Merged-chr2-18403900-7
NR1580--MA0463.1.Bcl6	chr4	133162326	133162339	-	0.000	0.000	Merged-chr4-133162474-29
NR791--MA0463.1.Bcl6	chr15	66998608	66998621	-	0.000	0.000	Merged-chr15-66998486-48
NR986--MA0731.1.BCL6B	chr18	32880671	32880687	+	0.000	0.000	Merged-chr18-32880667-46
NR1692--MA0463.1.Bcl6	chr5	92624742	92624755	+	0.000	0.000	Merged-chr5-92624653-16
NR37--MA0731.1.BCL6B	chr1	69498973	69498989	+	0.000	0.000	Merged-chr1-69499196-51
NR58--MA0463.1.Bcl6	chr1	85894504	85894517	+	0.000	0.000	Merged-chr1-85894541-45
NR476--MA0731.1.BCL6B	chr12	83632169	83632185	+	0.000	0.000	Merged-chr12-83632308-58
NR1366--MA0731.1.BCL6B	chr3	101661684	101661700	+	0.000	0.000	Merged-chr3-101661770-28
NR1679--MA0463.1.Bcl6	chr5	77130534	77130547	-	0.000	0.000	Merged-chr5-77130540-43
NR1464--MA0463.1.Bcl6	chr4	11454095	11454108	-	0.000	0.000	Merged-chr4-11453952-20
NR1106--MA0463.1.Bcl6	chr2	19389000	19389013	+	0.000	0.000	Merged-chr2-19388892-38
NR223--MA0463.1.Bcl6	chr10	20954198	20954211	-	0.000	0.000	Merged-chr10-20954386-18
NR1903--MA0463.1.Bcl6	chr6	133986387	133986400	+	0.000	0.000	Merged-chr6-133986314-22
NR184--MA0731.1.BCL6B	chr1	178182416	178182432	+	0.000	0.000	Merged-chr1-178182458-49
NR1074--MA0731.1.BCL6B	chr19	40300154	40300170	+	0.000	0.000	Merged-chr19-40300210-18
NR1254--MA0463.1.Bcl6	chr2	156482275	156482288	-	0.000	0.000	Merged-chr2-156482364-23
NR2261--MA0731.1.BCL6B	chr9	78553225	78553241	-	0.000	0.000	Merged-chr9-78553202-20
NR1272--MA0463.1.Bcl6	chr2	168904459	168904472	-	0.000	0.000	Merged-chr2-168904404-53
NR2131--MA0731.1.BCL6B	chr8	46210877	46210893	+	0.000	0.000	Merged-chr8-46210944-80
NR1228--MA0731.1.BCL6B	chr2	128698283	128698299	-	0.000	0.000	Merged-chr2-128698451-42
NR931--MA0463.1.Bcl6	chr17	31512348	31512361	-	0.000	0.000	Merged-chr17-31512269-60
NR940--MA0463.1.Bcl6	chr17	44337039	44337052	+	0.000	0.000	Merged-chr17-44337024-21
NR2123--MA0731.1.BCL6B	chr8	35321526	35321542	-	0.000	0.000	Merged-chr8-35321635-19
NR121--MA0731.1.BCL6B	chr1	135659879	135659895	+	0.000	0.000	Merged-chr1-135659715-46
NR1076--MA0463.1.Bcl6	chr19	41031105	41031118	+	0.000	0.000	Merged-chr19-41031181-46
NR1761--MA0463.1.Bcl6	chr5	144040910	144040923	-	0.000	0.000	Merged-chr5-144040932-23
NR1882--MA0463.1.Bcl6	chr6	117917776	117917789	+	0.000	0.000	Merged-chr6-117917768-1
NR2245--MA0731.1.BCL6B	chr9	57421340	57421356	+	0.000	0.000	Merged-chr9-57421302-52
NR520--MA0463.1.Bcl6	chr12	116049825	116049838	+	0.000	0.000	Merged-chr12-116049840-17
NR507--MA0463.1.Bcl6	chr12	108494387	108494400	-	0.000	0.000	Merged-chr12-108494516-14
NR256--MA0731.1.BCL6B	chr10	68908444	68908460	-	0.000	0.000	Merged-chr10-68908384-20
NR404--MA0463.1.Bcl6	chr11	106536328	106536341	+	0.000	0.000	Merged-chr11-106536245-61
NR2224--MA0731.1.BCL6B	chr9	32594531	32594547	+	0.000	0.000	Merged-chr9-32594541-47
NR1305--MA0463.1.Bcl6	chr3	37229441	37229454	+	0.000	0.000	Merged-chr3-37229433-26
NR1970--MA0731.1.BCL6B	chr7	39544305	39544321	-	0.000	0.000	Merged-chr7-39544508-62
NR525--MA0463.1.Bcl6	chr12	117678925	117678938	+	0.000	0.000	Merged-chr12-117679056-43
NR474--MA0731.1.BCL6B	chr12	82470805	82470821	+	0.000	0.000	Merged-chr12-82470743-2
NR1681--MA0463.1.Bcl6	chr5	77285748	77285761	-	0.000	0.000	Merged-chr5-77285904-24
NR1159--MA0731.1.BCL6B	chr2	55091612	55091628	-	0.000	0.000	Merged-chr2-55091620-19
NR1538--MA0463.1.Bcl6	chr4	101349651	101349664	+	0.000	0.000	Merged-chr4-101349658-19
NR1556--MA0463.1.Bcl6	chr4	117267545	117267558	-	0.000	0.000	Merged-chr4-117267580-14
NR767--MA0463.1.Bcl6	chr15	38284095	38284108	+	0.000	0.000	Merged-chr15-38283996-39
NR552--MA0463.1.Bcl6	chr13	34114729	34114742	+	0.000	0.000	Merged-chr13-34114809-14
NR1668--MA0463.1.Bcl6	chr5	65867465	65867478	+	0.000	0.000	Merged-chr5-65867573-52
NR2041--MA0731.1.BCL6B	chr7	109781530	109781546	-	0.000	0.000	Merged-chr7-109781592-85
NR427--MA0463.1.Bcl6	chr12	20233659	20233672	+	0.000	0.000	Merged-chr12-20233852-40
NR1113--MA0463.1.Bcl6	chr2	25241268	25241281	-	0.000	0.000	Merged-chr2-25241119-44
NR897--MA0463.1.Bcl6	chr16	92697330	92697343	+	0.000	0.000	Merged-chr16-92697129-7
NR2221--MA0463.1.Bcl6	chr9	28261428	28261441	-	0.000	0.000	Merged-chr9-28261552-34
NR1261--MA0463.1.Bcl6	chr2	162998608	162998621	-	0.000	0.000	Merged-chr2-162998735-32
NR799--MA0463.1.Bcl6	chr15	81859149	81859162	-	0.000	0.000	Merged-chr15-81858977-32
NR902--MA0463.1.Bcl6	chr16	95821118	95821131	-	0.000	0.000	Merged-chr16-95821218-29
NR1431--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR150--MA0463.1.Bcl6	chr1	160133897	160133910	-	0.000	0.000	Merged-chr1-160133869-7
NR2235--MA0463.1.Bcl6	chr9	46273043	46273056	-	0.000	0.000	Merged-chr9-46273034-67
NR1792--MA0731.1.BCL6B	chr6	31076174	31076190	-	0.000	0.000	Merged-chr6-31076077-28
NR383--MA0463.1.Bcl6	chr11	79698485	79698498	+	0.000	0.000	Merged-chr11-79698290-25
NR1275--MA0463.1.Bcl6	chr2	170355027	170355040	-	0.000	0.000	Merged-chr2-170355131-22
NR495--MA0463.1.Bcl6	chr12	98445746	98445759	+	0.000	0.000	Merged-chr12-98445818-15
NR1410--MA0731.1.BCL6B	chr3	135665917	135665933	+	0.000	0.000	Merged-chr3-135665884-70
NR2249--MA0463.1.Bcl6	chr9	63124407	63124420	+	0.000	0.000	Merged-chr9-63124202-41
NR1607--MA0463.1.Bcl6	chr4	148998327	148998340	+	0.000	0.000	Merged-chr4-148998288-20
NR612--MA0463.1.Bcl6	chr13	104287242	104287255	-	0.000	0.000	Merged-chr13-104287389-4
NR1871--MA0463.1.Bcl6	chr6	114777875	114777888	-	0.000	0.000	Merged-chr6-114777982-17
NR1983--MA0463.1.Bcl6	chr7	58569056	58569069	+	0.000	0.000	Merged-chr7-58568960-29
NR2113--MA0731.1.BCL6B	chr8	22405971	22405987	-	0.000	0.000	Merged-chr8-22405869-37
