#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR42657--MA1107.1.KLF9	chr4	56222644	56222656	+	0.000	0.000	Merged-chr4-56222492-84
NR68273--MA0599.1.KLF5	chrX	164980501	164980510	+	0.000	0.000	Merged-chrX-164980464-71
NR11249--MA0599.1.KLF5	chr11	101657997	101658006	-	0.000	0.000	Merged-chr11-101657872-2
NR52134--MA0741.1.KLF16	chr6	48016324	48016334	+	0.000	0.000	Merged-chr6-48016315-29
NR8445--MA0599.1.KLF5	chr11	6415818	6415827	-	0.000	0.000	Merged-chr11-6415741-2
NR34986--MA0741.1.KLF16	chr2	109992690	109992700	+	0.000	0.000	Merged-chr2-109992727-6
NR44073--MA0742.1.Klf12	chr4	120287788	120287802	-	0.000	0.000	Merged-chr4-120287807-68
NR26258--MA0493.1.Klf1	chr17	25579076	25579086	-	0.000	0.000	Merged-chr17-25579223-53
NR22932--MA1107.1.KLF9	chr15	98927691	98927703	+	0.000	0.000	Merged-chr15-98927787-24
NR55240--MA0741.1.KLF16	chr6	145211056	145211066	+	0.000	0.000	Merged-chr6-145211240-87
NR14420--MA0599.1.KLF5	chr12	108686585	108686594	-	0.000	0.000	Merged-chr12-108686639-7
NR55511--MA0741.1.KLF16	chr7	4752625	4752635	+	0.000	0.000	Merged-chr7-4752938-34
NR52003--MA0493.1.Klf1	chr6	42245873	42245883	-	0.000	0.000	Merged-chr6-42245976-48
NR9781--MA0599.1.KLF5	chr11	68853178	68853187	-	0.000	0.000	Merged-chr11-68853077-70
NR19049--MA1107.1.KLF9	chr14	54517535	54517547	-	0.000	0.000	Merged-chr14-54517551-43
NR50422--MA0740.1.KLF14	chr5	137502625	137502638	-	0.000	0.000	Merged-chr5-137502544-104
NR45033--MA0741.1.KLF16	chr4	136178076	136178086	-	0.000	0.000	Merged-chr4-136177885-58
NR35697--MA0741.1.KLF16	chr2	132511679	132511689	-	0.000	0.000	Merged-chr2-132511544-14
NR52209--MA0493.1.Klf1	chr6	49930289	49930299	+	0.000	0.000	Merged-chr6-49930273-14
NR45304--MA0741.1.KLF16	chr4	140948181	140948191	-	0.000	0.000	Merged-chr4-140948211-54
NR35687--MA0599.1.KLF5	chr2	132511667	132511676	-	0.000	0.000	Merged-chr2-132511544-14
NR30443--MA0493.1.Klf1	chr18	80200734	80200744	-	0.000	0.000	Merged-chr18-80200692-56
NR8211--MA1107.1.KLF9	chr10	128411642	128411654	-	0.000	0.000	Merged-chr10-128411568-50
NR21193--MA1107.1.KLF9	chr15	51865540	51865552	-	0.000	0.000	Merged-chr15-51865405-64
NR56222--MA0741.1.KLF16	chr7	27178880	27178890	+	0.000	0.000	Merged-chr7-27178757-96
NR22260--MA0039.3.KLF4	chr15	83564471	83564481	-	0.000	0.000	Merged-chr15-83564488-10
NR6584--MA0741.1.KLF16	chr10	80629067	80629077	-	0.000	0.000	Merged-chr10-80629091-37
NR15332--MA0741.1.KLF16	chr13	29986294	29986304	-	0.000	0.000	Merged-chr13-29986284-62
NR51946--MA0741.1.KLF16	chr6	38809625	38809635	+	0.000	0.000	Merged-chr6-38809579-1
NR33417--MA0741.1.KLF16	chr2	33203539	33203549	-	0.000	0.000	Merged-chr2-33203595-17
NR29894--MA1107.1.KLF9	chr18	66502012	66502024	-	0.000	0.000	Merged-chr18-66502099-22
NR28596--MA0741.1.KLF16	chr17	88066132	88066142	-	0.000	0.000	Merged-chr17-88066099-76
NR28201--MA0741.1.KLF16	chr17	80169133	80169143	+	0.000	0.000	Merged-chr17-80169005-20
NR774--MA0742.1.Klf12	chr1	58304554	58304568	-	0.000	0.000	Merged-chr1-58304515-8
NR47628--MA0493.1.Klf1	chr5	67155894	67155904	+	0.000	0.000	Merged-chr5-67155759-12
NR43626--MA1107.1.KLF9	chr4	107357951	107357963	+	0.000	0.000	Merged-chr4-107358068-17
NR21521--MA0599.1.KLF5	chr15	64364699	64364708	-	0.000	0.000	Merged-chr15-64364676-9
NR21860--MA1107.1.KLF9	chr15	77071699	77071711	-	0.000	0.000	Merged-chr15-77071598-27
NR56175--MA0599.1.KLF5	chr7	25297659	25297668	+	0.000	0.000	Merged-chr7-25297702-69
NR33955--MA0599.1.KLF5	chr2	62441224	62441233	+	0.000	0.000	Merged-chr2-62441216-45
NR39785--MA0741.1.KLF16	chr3	106547641	106547651	+	0.000	0.000	Merged-chr3-106547777-76
NR23676--MA0742.1.Klf12	chr16	20622571	20622585	-	0.000	0.000	Merged-chr16-20622479-9
NR15943--MA1107.1.KLF9	chr13	53000591	53000603	+	0.000	0.000	Merged-chr13-53000704-16
NR4644--MA1107.1.KLF9	chr1	193349928	193349940	-	0.000	0.000	Merged-chr1-193349952-15
NR48954--MA0039.3.KLF4	chr5	113830474	113830484	-	0.000	0.000	Merged-chr5-113830533-46
NR19189--MA0599.1.KLF5	chr14	59341184	59341193	+	0.000	0.000	Merged-chr14-59341391-54
NR31332--MA0742.1.Klf12	chr19	16780960	16780974	-	0.000	0.000	Merged-chr19-16781022-84
NR16011--MA0740.1.KLF14	chr13	54789203	54789216	-	0.000	0.000	Merged-chr13-54789340-56
NR63150--MA0493.1.Klf1	chr8	125727534	125727544	-	0.000	0.000	Merged-chr8-125727602-12
NR47507--MA0741.1.KLF16	chr5	64906018	64906028	-	0.000	0.000	Merged-chr5-64905944-90
NR39922--MA0742.1.Klf12	chr3	108727580	108727594	+	0.000	0.000	Merged-chr3-108727524-22
NR21708--MA1107.1.KLF9	chr15	75841916	75841928	+	0.000	0.000	Merged-chr15-75842000-59
NR63067--MA0740.1.KLF14	chr8	124663442	124663455	+	0.000	0.000	Merged-chr8-124663205-81
NR3313--MA0493.1.Klf1	chr1	165322330	165322340	+	0.000	0.000	Merged-chr1-165322509-22
NR14747--MA0599.1.KLF5	chr12	115359432	115359441	-	0.000	0.000	Merged-chr12-115359237-46
NR22705--MA0599.1.KLF5	chr15	93275329	93275338	+	0.000	0.000	Merged-chr15-93275409-98
NR63061--MA0599.1.KLF5	chr8	124434540	124434549	-	0.000	0.000	Merged-chr8-124434522-47
NR28453--MA0741.1.KLF16	chr17	86216049	86216059	-	0.000	0.000	Merged-chr17-86215920-18
NR20645--MA1107.1.KLF9	chr15	3988161	3988173	+	0.000	0.000	Merged-chr15-3988220-10
NR15129--MA0493.1.Klf1	chr13	17943969	17943979	+	0.000	0.000	Merged-chr13-17943897-84
NR26751--MA0599.1.KLF5	chr17	34898555	34898564	-	0.000	0.000	Merged-chr17-34898484-39
NR56611--MA0742.1.Klf12	chr7	35333988	35334002	-	0.000	0.000	Merged-chr7-35333987-100
NR9769--MA0741.1.KLF16	chr11	68199578	68199588	-	0.000	0.000	Merged-chr11-68199450-69
NR42979--MA0039.3.KLF4	chr4	63943069	63943079	-	0.000	0.000	Merged-chr4-63943077-12
NR16295--MA0741.1.KLF16	chr13	63541775	63541785	+	0.000	0.000	Merged-chr13-63541673-31
NR58417--MA0493.1.Klf1	chr7	110221665	110221675	-	0.000	0.000	Merged-chr7-110221778-96
NR52917--MA0599.1.KLF5	chr6	83867126	83867135	-	0.000	0.000	Merged-chr6-83867367-64
NR64254--MA0599.1.KLF5	chr9	51977706	51977715	-	0.000	0.000	Merged-chr9-51977664-31
NR6610--MA0599.1.KLF5	chr10	80702358	80702367	-	0.000	0.000	Merged-chr10-80702302-86
NR57300--MA0741.1.KLF16	chr7	66197279	66197289	-	0.000	0.000	Merged-chr7-66197224-72
NR21090--MA1107.1.KLF9	chr15	38452892	38452904	-	0.000	0.000	Merged-chr15-38452892-28
NR66849--MA1107.1.KLF9	chr9	123989733	123989745	-	0.000	0.000	Merged-chr9-123989844-27
NR9635--MA0742.1.Klf12	chr11	62761927	62761941	-	0.000	0.000	Merged-chr11-62762057-29
NR2376--MA0599.1.KLF5	chr1	136131315	136131324	-	0.000	0.000	Merged-chr1-136131353-55
NR24897--MA1107.1.KLF9	chr16	87455112	87455124	+	0.000	0.000	Merged-chr16-87455177-68
NR62880--MA0599.1.KLF5	chr8	122432956	122432965	+	0.000	0.000	Merged-chr8-122432955-76
NR27268--MA0599.1.KLF5	chr17	47629543	47629552	-	0.000	0.000	Merged-chr17-47629585-70
NR47759--MA0741.1.KLF16	chr5	73223222	73223232	+	0.000	0.000	Merged-chr5-73223278-33
NR39567--MA0493.1.Klf1	chr3	101597691	101597701	-	0.000	0.000	Merged-chr3-101597743-1
NR3782--MA0039.3.KLF4	chr1	175692818	175692828	+	0.000	0.000	Merged-chr1-175692845-123
NR68013--MA0741.1.KLF16	chrX	150813213	150813223	+	0.000	0.000	Merged-chrX-150813149-62
NR27452--MA0740.1.KLF14	chr17	51876640	51876653	+	0.000	0.000	Merged-chr17-51876629-40
NR22813--MA0741.1.KLF16	chr15	96684760	96684770	+	0.000	0.000	Merged-chr15-96684531-29
NR45116--MA0039.3.KLF4	chr4	137714170	137714180	-	0.000	0.000	Merged-chr4-137714339-14
NR45126--MA0493.1.Klf1	chr4	137861877	137861887	+	0.000	0.000	Merged-chr4-137861990-96
NR50848--MA1107.1.KLF9	chr5	142702094	142702106	-	0.000	0.000	Merged-chr5-142702175-63
NR64020--MA1107.1.KLF9	chr9	44043307	44043319	+	0.000	0.000	Merged-chr9-44043404-33
NR35206--MA0741.1.KLF16	chr2	119288749	119288759	-	0.000	0.000	Merged-chr2-119288645-61
NR5658--MA0657.1.KLF13	chr10	57799618	57799635	-	0.000	0.000	Merged-chr10-57799667-19
NR27518--MA0740.1.KLF14	chr17	56291400	56291413	+	0.000	0.000	Merged-chr17-56291357-21
NR63488--MA0742.1.Klf12	chr9	15357834	15357848	+	0.000	0.000	Merged-chr9-15357727-65
NR51784--MA0741.1.KLF16	chr6	30617390	30617400	+	0.000	0.000	Merged-chr6-30617295-15
NR26070--MA0493.1.Klf1	chr17	23193705	23193715	+	0.000	0.000	Merged-chr17-23193725-11
NR24324--MA1107.1.KLF9	chr16	49796915	49796927	+	0.000	0.000	Merged-chr16-49797153-43
NR25401--MA0493.1.Klf1	chr16	96145501	96145511	-	0.000	0.000	Merged-chr16-96145464-50
NR10179--MA0741.1.KLF16	chr11	76945645	76945655	+	0.000	0.000	Merged-chr11-76945750-46
NR51845--MA0599.1.KLF5	chr6	33702504	33702513	+	0.000	0.000	Merged-chr6-33702629-6
NR44716--MA1107.1.KLF9	chr4	132946590	132946602	-	0.000	0.000	Merged-chr4-132946711-2
NR13490--MA0741.1.KLF16	chr12	79628758	79628768	-	0.000	0.000	Merged-chr12-79628685-20
NR28976--MA0741.1.KLF16	chr18	25168983	25168993	-	0.000	0.000	Merged-chr18-25168786-81
NR37825--MA0039.3.KLF4	chr3	19459141	19459151	-	0.000	0.000	Merged-chr3-19459037-66
NR9084--MA0741.1.KLF16	chr11	49250539	49250549	+	0.000	0.000	Merged-chr11-49250392-85
NR55295--MA0493.1.Klf1	chr6	146776840	146776850	-	0.000	0.000	Merged-chr6-146776808-33
NR1004--MA0740.1.KLF14	chr1	71557128	71557141	-	0.000	0.000	Merged-chr1-71557349-80
NR11210--MA0741.1.KLF16	chr11	101226465	101226475	+	0.000	0.000	Merged-chr11-101226407-43
NR21336--MA0740.1.KLF14	chr15	58595065	58595078	+	0.000	0.000	Merged-chr15-58595150-15
NR7676--MA0039.3.KLF4	chr10	117651269	117651279	-	0.000	0.000	Merged-chr10-117651194-26
NR21607--MA0740.1.KLF14	chr15	73169066	73169079	-	0.000	0.000	Merged-chr15-73169118-30
NR40052--MA1107.1.KLF9	chr3	116440302	116440314	-	0.000	0.000	Merged-chr3-116440390-48
NR37343--MA0741.1.KLF16	chr2	173578405	173578415	+	0.000	0.000	Merged-chr2-173578364-53
NR65603--MA0740.1.KLF14	chr9	102779722	102779735	+	0.000	0.000	Merged-chr9-102779765-25
NR66079--MA1107.1.KLF9	chr9	110449147	110449159	-	0.000	0.000	Merged-chr9-110449150-25
NR65896--MA0742.1.Klf12	chr9	107526845	107526859	-	0.000	0.000	Merged-chr9-107526799-38
NR36--MA0740.1.KLF14	chr1	7206767	7206780	+	0.000	0.000	Merged-chr1-7206621-34
NR29573--MA0599.1.KLF5	chr18	56562410	56562419	+	0.000	0.000	Merged-chr18-56562419-49
NR10195--MA0599.1.KLF5	chr11	77484085	77484094	+	0.000	0.000	Merged-chr11-77483872-51
NR18617--MA0039.3.KLF4	chr14	33322886	33322896	-	0.000	0.000	Merged-chr14-33322921-30
NR29077--MA0742.1.Klf12	chr18	33213961	33213975	+	0.000	0.000	Merged-chr18-33213882-74
NR47646--MA0493.1.Klf1	chr5	67306943	67306953	+	0.000	0.000	Merged-chr5-67307077-62
NR53987--MA0741.1.KLF16	chr6	120112534	120112544	-	0.000	0.000	Merged-chr6-120112379-94
NR35471--MA1107.1.KLF9	chr2	127328546	127328558	+	0.000	0.000	Merged-chr2-127328606-14
NR63345--MA0742.1.Klf12	chr9	4376374	4376388	-	0.000	0.000	Merged-chr9-4376401-57
NR17915--MA0741.1.KLF16	chr13	117025575	117025585	+	0.000	0.000	Merged-chr13-117025711-44
NR53205--MA0493.1.Klf1	chr6	90435275	90435285	-	0.000	0.000	Merged-chr6-90435288-28
NR62992--MA0599.1.KLF5	chr8	123443319	123443328	+	0.000	0.000	Merged-chr8-123443214-62
NR62038--MA0493.1.Klf1	chr8	104847016	104847026	+	0.000	0.000	Merged-chr8-104846957-13
NR53138--MA0742.1.Klf12	chr6	88939585	88939599	-	0.000	0.000	Merged-chr6-88939617-36
NR1559--MA0741.1.KLF16	chr1	90603344	90603354	-	0.000	0.000	Merged-chr1-90603376-57
NR22812--MA0493.1.Klf1	chr15	96684759	96684769	+	0.000	0.000	Merged-chr15-96684531-29
NR23677--MA0039.3.KLF4	chr16	20622573	20622583	-	0.000	0.000	Merged-chr16-20622479-9
NR31645--MA0493.1.Klf1	chr19	36919697	36919707	+	0.000	0.000	Merged-chr19-36919663-6
NR13429--MA0599.1.KLF5	chr12	78198676	78198685	-	0.000	0.000	Merged-chr12-78198818-9
NR20897--MA0599.1.KLF5	chr15	27923870	27923879	-	0.000	0.000	Merged-chr15-27923818-49
NR59570--MA0599.1.KLF5	chr7	140036677	140036686	-	0.000	0.000	Merged-chr7-140036517-83
NR13413--MA0741.1.KLF16	chr12	76822538	76822548	-	0.000	0.000	Merged-chr12-76822446-31
NR52481--MA0039.3.KLF4	chr6	57570394	57570404	-	0.000	0.000	Merged-chr6-57570582-29
NR46564--MA0039.3.KLF4	chr5	20083296	20083306	+	0.000	0.000	Merged-chr5-20083207-6
NR47868--MA0741.1.KLF16	chr5	75143469	75143479	+	0.000	0.000	Merged-chr5-75143306-22
NR29339--MA0741.1.KLF16	chr18	39758262	39758272	+	0.000	0.000	Merged-chr18-39758407-11
NR45251--MA0741.1.KLF16	chr4	139574480	139574490	-	0.000	0.000	Merged-chr4-139574722-95
NR37563--MA0740.1.KLF14	chr2	180257192	180257205	-	0.000	0.000	Merged-chr2-180257083-89
NR28143--MA0599.1.KLF5	chr17	79355160	79355169	-	0.000	0.000	Merged-chr17-79355271-160
NR5073--MA0740.1.KLF14	chr10	20952520	20952533	-	0.000	0.000	Merged-chr10-20952486-81
NR68045--MA0599.1.KLF5	chrX	153007136	153007145	-	0.000	0.000	Merged-chrX-153007191-68
NR21064--MA0493.1.Klf1	chr15	38078883	38078893	-	0.000	0.000	Merged-chr15-38078784-97
NR7588--MA0742.1.Klf12	chr10	116674532	116674546	+	0.000	0.000	Merged-chr10-116674597-17
NR65548--MA0742.1.Klf12	chr9	101251889	101251903	+	0.000	0.000	Merged-chr9-101251656-72
NR52392--MA1107.1.KLF9	chr6	54224524	54224536	+	0.000	0.000	Merged-chr6-54224603-8
NR55049--MA0493.1.Klf1	chr6	143327068	143327078	-	0.000	0.000	Merged-chr6-143327148-45
NR10288--MA0741.1.KLF16	chr11	78261553	78261563	+	0.000	0.000	Merged-chr11-78261664-62
NR45806--MA1107.1.KLF9	chr4	149658197	149658209	+	0.000	0.000	Merged-chr4-149658229-60
NR63603--MA0599.1.KLF5	chr9	21936826	21936835	+	0.000	0.000	Merged-chr9-21936934-34
NR59194--MA0740.1.KLF14	chr7	130812683	130812696	-	0.000	0.000	Merged-chr7-130812664-20
NR46260--MA1107.1.KLF9	chr4	155761108	155761120	+	0.000	0.000	Merged-chr4-155761063-52
NR42792--MA0493.1.Klf1	chr4	59224958	59224968	-	0.000	0.000	Merged-chr4-59225002-19
NR54555--MA0741.1.KLF16	chr6	134830123	134830133	+	0.000	0.000	Merged-chr6-134830106-68
NR10983--MA0599.1.KLF5	chr11	97435278	97435287	-	0.000	0.000	Merged-chr11-97435107-48
NR47758--MA0493.1.Klf1	chr5	73223221	73223231	+	0.000	0.000	Merged-chr5-73223278-33
NR17447--MA1107.1.KLF9	chr13	105294050	105294062	+	0.000	0.000	Merged-chr13-105294247-42
NR10154--MA0742.1.Klf12	chr11	76399196	76399210	+	0.000	0.000	Merged-chr11-76399136-77
NR46148--MA0657.1.KLF13	chr4	154112081	154112098	+	0.000	0.000	Merged-chr4-154111922-1
NR27071--MA0599.1.KLF5	chr17	44777244	44777253	+	0.000	0.000	Merged-chr17-44777259-107
NR44045--MA0740.1.KLF14	chr4	119947765	119947778	-	0.000	0.000	Merged-chr4-119947761-47
NR65170--MA0740.1.KLF14	chr9	86695947	86695960	-	0.000	0.000	Merged-chr9-86695858-50
NR56090--MA0599.1.KLF5	chr7	24884123	24884132	-	0.000	0.000	Merged-chr7-24884343-81
NR33184--MA1107.1.KLF9	chr2	30066343	30066355	+	0.000	0.000	Merged-chr2-30066556-82
NR5986--MA0599.1.KLF5	chr10	67194229	67194238	+	0.000	0.000	Merged-chr10-67194243-31
NR2637--MA0741.1.KLF16	chr1	151083928	151083938	-	0.000	0.000	Merged-chr1-151084034-24
NR56909--MA0493.1.Klf1	chr7	45370613	45370623	+	0.000	0.000	Merged-chr7-45370625-47
NR22844--MA0599.1.KLF5	chr15	97373628	97373637	+	0.000	0.000	Merged-chr15-97373444-153
NR62746--MA0599.1.KLF5	chr8	120668183	120668192	+	0.000	0.000	Merged-chr8-120668120-83
NR5596--MA0740.1.KLF14	chr10	53379932	53379945	-	0.000	0.000	Merged-chr10-53379695-71
NR37177--MA0493.1.Klf1	chr2	170307068	170307078	-	0.000	0.000	Merged-chr2-170306902-1
NR33851--MA1107.1.KLF9	chr2	60210487	60210499	+	0.000	0.000	Merged-chr2-60210153-124
NR40016--MA0039.3.KLF4	chr3	115758850	115758860	-	0.000	0.000	Merged-chr3-115758930-94
NR42329--MA0742.1.Klf12	chr4	44301108	44301122	-	0.000	0.000	Merged-chr4-44301035-47
NR67836--MA1107.1.KLF9	chrX	134158411	134158423	+	0.000	0.000	Merged-chrX-134158448-18
NR48133--MA0740.1.KLF14	chr5	92675307	92675320	-	0.000	0.000	Merged-chr5-92675540-55
NR66933--MA0740.1.KLF14	chrX	7375917	7375930	-	0.000	0.000	Merged-chrX-7375915-61
NR39138--MA0599.1.KLF5	chr3	93547874	93547883	+	0.000	0.000	Merged-chr3-93547849-109
NR60338--MA0599.1.KLF5	chr8	22701626	22701635	+	0.000	0.000	Merged-chr8-22701538-39
NR63048--MA0599.1.KLF5	chr8	124265927	124265936	-	0.000	0.000	Merged-chr8-124265993-45
NR20884--MA0742.1.Klf12	chr15	25897768	25897782	-	0.000	0.000	Merged-chr15-25897767-21
NR42326--MA1107.1.KLF9	chr4	44173531	44173543	-	0.000	0.000	Merged-chr4-44173421-4
NR62463--MA0741.1.KLF16	chr8	115397895	115397905	-	0.000	0.000	Merged-chr8-115397759-2
NR31607--MA0741.1.KLF16	chr19	34846569	34846579	-	0.000	0.000	Merged-chr19-34846685-64
NR32520--MA0493.1.Klf1	chr2	3475132	3475142	-	0.000	0.000	Merged-chr2-3474992-83
NR46248--MA0599.1.KLF5	chr4	155669501	155669510	-	0.000	0.000	Merged-chr4-155669356-57
NR4027--MA0740.1.KLF14	chr1	181860841	181860854	-	0.000	0.000	Merged-chr1-181860828-54
NR46587--MA1107.1.KLF9	chr5	20844999	20845011	+	0.000	0.000	Merged-chr5-20844868-1
NR17014--MA0599.1.KLF5	chr13	96542678	96542687	-	0.000	0.000	Merged-chr13-96542795-71
NR54545--MA1107.1.KLF9	chr6	134348663	134348675	-	0.000	0.000	Merged-chr6-134348726-53
NR47654--MA0039.3.KLF4	chr5	67418937	67418947	+	0.000	0.000	Merged-chr5-67418777-17
NR2223--MA0741.1.KLF16	chr1	132342005	132342015	-	0.000	0.000	Merged-chr1-132341932-46
NR52122--MA0742.1.Klf12	chr6	47788656	47788670	+	0.000	0.000	Merged-chr6-47788410-56
NR13527--MA0493.1.Klf1	chr12	80945391	80945401	+	0.000	0.000	Merged-chr12-80945473-1
NR35424--MA0741.1.KLF16	chr2	125866186	125866196	-	0.000	0.000	Merged-chr2-125866332-46
NR364--MA0741.1.KLF16	chr1	36557328	36557338	+	0.000	0.000	Merged-chr1-36557303-50
NR2148--MA0599.1.KLF5	chr1	131060522	131060531	-	0.000	0.000	Merged-chr1-131060576-40
NR64908--MA0599.1.KLF5	chr9	75222103	75222112	-	0.000	0.000	Merged-chr9-75222047-24
NR48142--MA0657.1.KLF13	chr5	92675418	92675435	-	0.000	0.000	Merged-chr5-92675540-55
NR33170--MA0740.1.KLF14	chr2	30061999	30062012	-	0.000	0.000	Merged-chr2-30061957-9
NR10002--MA0741.1.KLF16	chr11	72690251	72690261	+	0.000	0.000	Merged-chr11-72690099-58
NR6040--MA0741.1.KLF16	chr10	68300308	68300318	+	0.000	0.000	Merged-chr10-68300314-9
NR38801--MA0741.1.KLF16	chr3	84228746	84228756	+	0.000	0.000	Merged-chr3-84228654-57
NR53134--MA0599.1.KLF5	chr6	88902262	88902271	-	0.000	0.000	Merged-chr6-88902370-64
NR27429--MA0742.1.Klf12	chr17	51179330	51179344	+	0.000	0.000	Merged-chr17-51179139-100
NR30028--MA0742.1.Klf12	chr18	68300301	68300315	+	0.000	0.000	Merged-chr18-68300275-69
NR15725--MA0741.1.KLF16	chr13	43261561	43261571	+	0.000	0.000	Merged-chr13-43261701-66
NR56183--MA1107.1.KLF9	chr7	25395746	25395758	-	0.000	0.000	Merged-chr7-25395796-56
NR59721--MA0741.1.KLF16	chr7	142095290	142095300	-	0.000	0.000	Merged-chr7-142095287-55
NR59098--MA0740.1.KLF14	chr7	127895645	127895658	+	0.000	0.000	Merged-chr7-127895657-49
NR14505--MA0493.1.Klf1	chr12	110375399	110375409	-	0.000	0.000	Merged-chr12-110375416-20
NR10503--MA1107.1.KLF9	chr11	83302859	83302871	-	0.000	0.000	Merged-chr11-83302766-59
NR50405--MA1107.1.KLF9	chr5	137072204	137072216	-	0.000	0.000	Merged-chr5-137072251-26
NR19197--MA1107.1.KLF9	chr14	59441020	59441032	-	0.000	0.000	Merged-chr14-59440946-75
NR47563--MA0741.1.KLF16	chr5	65436006	65436016	-	0.000	0.000	Merged-chr5-65436020-62
NR63916--MA0493.1.Klf1	chr9	40455373	40455383	-	0.000	0.000	Merged-chr9-40455611-102
NR35351--MA0493.1.Klf1	chr2	122028485	122028495	+	0.000	0.000	Merged-chr2-122028535-87
NR11223--MA0741.1.KLF16	chr11	101465742	101465752	+	0.000	0.000	Merged-chr11-101465784-70
