#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR5044--MA0039.3.KLF4	chr10	19240429	19240439	-	0.000	0.000	Merged-chr10-19240294-18
NR35329--MA0599.1.KLF5	chr2	121473816	121473825	-	0.000	0.000	Merged-chr2-121474015-54
NR9629--MA0599.1.KLF5	chr11	62613858	62613867	-	0.000	0.000	Merged-chr11-62613895-32
NR41793--MA0657.1.KLF13	chr4	11900132	11900149	-	0.000	0.000	Merged-chr4-11900204-55
NR10666--MA0657.1.KLF13	chr11	88161151	88161168	-	0.000	0.000	Merged-chr11-88161275-1
NR44838--MA0599.1.KLF5	chr4	134187207	134187216	+	0.000	0.000	Merged-chr4-134187105-62
NR35453--MA1107.1.KLF9	chr2	127131580	127131592	-	0.000	0.000	Merged-chr2-127131488-25
NR26521--MA0741.1.KLF16	chr17	30576457	30576467	-	0.000	0.000	Merged-chr17-30576361-74
NR26826--MA1107.1.KLF9	chr17	35667515	35667527	+	0.000	0.000	Merged-chr17-35667602-67
NR44623--MA0599.1.KLF5	chr4	130802166	130802175	+	0.000	0.000	Merged-chr4-130802230-25
NR34572--MA0741.1.KLF16	chr2	91537758	91537768	+	0.000	0.000	Merged-chr2-91537835-43
NR55845--MA1107.1.KLF9	chr7	18884583	18884595	-	0.000	0.000	Merged-chr7-18884656-52
NR45004--MA0039.3.KLF4	chr4	136081974	136081984	+	0.000	0.000	Merged-chr4-136081901-45
NR61619--MA1107.1.KLF9	chr8	84004816	84004828	+	0.000	0.000	Merged-chr8-84004825-54
NR26316--MA0741.1.KLF16	chr17	26885152	26885162	-	0.000	0.000	Merged-chr17-26885199-21
NR11101--MA0741.1.KLF16	chr11	98907694	98907704	-	0.000	0.000	Merged-chr11-98907810-50
NR2624--MA0741.1.KLF16	chr1	151041127	151041137	-	0.000	0.000	Merged-chr1-151041056-25
NR65223--MA0740.1.KLF14	chr9	88719820	88719833	-	0.000	0.000	Merged-chr9-88719952-88
NR61404--MA1107.1.KLF9	chr8	75071859	75071871	+	0.000	0.000	Merged-chr8-75071889-52
NR16109--MA0741.1.KLF16	chr13	56704004	56704014	-	0.000	0.000	Merged-chr13-56703613-154
NR52252--MA0742.1.Klf12	chr6	50596915	50596929	+	0.000	0.000	Merged-chr6-50596805-84
NR42299--MA0657.1.KLF13	chr4	43875676	43875693	-	0.000	0.000	Merged-chr4-43875709-66
NR53231--MA1107.1.KLF9	chr6	91123764	91123776	-	0.000	0.000	Merged-chr6-91123668-27
NR37029--MA0741.1.KLF16	chr2	168525574	168525584	+	0.000	0.000	Merged-chr2-168525389-54
NR63338--MA0740.1.KLF14	chr9	4309649	4309662	-	0.000	0.000	Merged-chr9-4309732-98
NR12697--MA0599.1.KLF5	chr12	28649571	28649580	+	0.000	0.000	Merged-chr12-28649710-52
NR39347--MA1107.1.KLF9	chr3	97124354	97124366	-	0.000	0.000	Merged-chr3-97124449-32
NR4490--MA0741.1.KLF16	chr1	191906682	191906692	-	0.000	0.000	Merged-chr1-191906883-127
NR1623--MA0740.1.KLF14	chr1	92180455	92180468	+	0.000	0.000	Merged-chr1-92180417-91
NR48856--MA1107.1.KLF9	chr5	111357153	111357165	-	0.000	0.000	Merged-chr5-111357188-22
NR50741--MA0493.1.Klf1	chr5	140999422	140999432	-	0.000	0.000	Merged-chr5-140999389-30
NR36899--MA0740.1.KLF14	chr2	166713854	166713867	-	0.000	0.000	Merged-chr2-166713802-88
NR18842--MA0657.1.KLF13	chr14	48376180	48376197	+	0.000	0.000	Merged-chr14-48376361-15
NR26568--MA0741.1.KLF16	chr17	31855835	31855845	+	0.000	0.000	Merged-chr17-31855795-60
NR32310--MA0599.1.KLF5	chr19	57477445	57477454	+	0.000	0.000	Merged-chr19-57477375-13
NR13745--MA0039.3.KLF4	chr12	88472044	88472054	+	0.000	0.000	Merged-chr12-88472096-45
NR12124--MA0599.1.KLF5	chr11	118349035	118349044	+	0.000	0.000	Merged-chr11-118348908-46
NR53371--MA0599.1.KLF5	chr6	97205656	97205665	-	0.000	0.000	Merged-chr6-97205560-61
NR12463--MA1107.1.KLF9	chr12	11279888	11279900	+	0.000	0.000	Merged-chr12-11280014-10
NR2876--MA0741.1.KLF16	chr1	155083556	155083566	+	0.000	0.000	Merged-chr1-155083440-69
NR19175--MA0493.1.Klf1	chr14	57571573	57571583	-	0.000	0.000	Merged-chr14-57571607-60
NR67711--MA0493.1.Klf1	chrX	101274019	101274029	+	0.000	0.000	Merged-chrX-101274015-74
NR10064--MA1107.1.KLF9	chr11	74925819	74925831	-	0.000	0.000	Merged-chr11-74926072-90
NR2161--MA0599.1.KLF5	chr1	131181900	131181909	-	0.000	0.000	Merged-chr1-131181943-34
NR40053--MA0740.1.KLF14	chr3	116487881	116487894	+	0.000	0.000	Merged-chr3-116487886-17
NR29648--MA1107.1.KLF9	chr18	60560702	60560714	+	0.000	0.000	Merged-chr18-60560900-69
NR58328--MA0599.1.KLF5	chr7	109174706	109174715	-	0.000	0.000	Merged-chr7-109174740-1
NR12105--MA1107.1.KLF9	chr11	118000671	118000683	-	0.000	0.000	Merged-chr11-118000770-19
NR9301--MA1107.1.KLF9	chr11	54802280	54802292	-	0.000	0.000	Merged-chr11-54802192-79
NR13317--MA0599.1.KLF5	chr12	73633835	73633844	+	0.000	0.000	Merged-chr12-73633909-44
NR53735--MA0741.1.KLF16	chr6	114698145	114698155	+	0.000	0.000	Merged-chr6-114698042-26
NR8678--MA0599.1.KLF5	chr11	22842479	22842488	+	0.000	0.000	Merged-chr11-22842421-15
NR5799--MA0742.1.Klf12	chr10	60752848	60752862	+	0.000	0.000	Merged-chr10-60752721-60
NR68291--MA0599.1.KLF5	chrX	166661470	166661479	-	0.000	0.000	Merged-chrX-166661565-108
NR45928--MA0599.1.KLF5	chr4	150938240	150938249	-	0.000	0.000	Merged-chr4-150938152-39
NR23486--MA0599.1.KLF5	chr16	13903146	13903155	-	0.000	0.000	Merged-chr16-13903124-91
NR26630--MA0741.1.KLF16	chr17	33484283	33484293	-	0.000	0.000	Merged-chr17-33484214-28
NR55971--MA0493.1.Klf1	chr7	19749906	19749916	+	0.000	0.000	Merged-chr7-19749873-53
NR54340--MA0599.1.KLF5	chr6	128285958	128285967	-	0.000	0.000	Merged-chr6-128286104-14
NR27916--MA1107.1.KLF9	chr17	70986906	70986918	-	0.000	0.000	Merged-chr17-70986978-98
NR26196--MA0599.1.KLF5	chr17	24752923	24752932	+	0.000	0.000	Merged-chr17-24753082-30
NR62102--MA0741.1.KLF16	chr8	105614035	105614045	+	0.000	0.000	Merged-chr8-105614025-28
NR55891--MA0599.1.KLF5	chr7	19093643	19093652	+	0.000	0.000	Merged-chr7-19093740-100
NR3684--MA1107.1.KLF9	chr1	172455666	172455678	-	0.000	0.000	Merged-chr1-172455714-32
NR52903--MA0493.1.Klf1	chr6	83572526	83572536	-	0.000	0.000	Merged-chr6-83572392-58
NR11876--MA0741.1.KLF16	chr11	115869720	115869730	+	0.000	0.000	Merged-chr11-115869577-16
NR42895--MA0493.1.Klf1	chr4	62480507	62480517	-	0.000	0.000	Merged-chr4-62480522-129
NR4681--MA0599.1.KLF5	chr1	193589281	193589290	-	0.000	0.000	Merged-chr1-193589231-21
NR46569--MA1107.1.KLF9	chr5	20470551	20470563	+	0.000	0.000	Merged-chr5-20470671-36
NR50952--MA0742.1.Klf12	chr5	144919969	144919983	-	0.000	0.000	Merged-chr5-144919868-22
NR33297--MA0599.1.KLF5	chr2	31848055	31848064	+	0.000	0.000	Merged-chr2-31848098-17
NR5278--MA0493.1.Klf1	chr10	39444837	39444847	-	0.000	0.000	Merged-chr10-39444819-13
NR8501--MA0741.1.KLF16	chr11	11521973	11521983	-	0.000	0.000	Merged-chr11-11522120-49
NR33112--MA0741.1.KLF16	chr2	28698444	28698454	+	0.000	0.000	Merged-chr2-28698593-11
NR11468--MA0493.1.Klf1	chr11	106666632	106666642	-	0.000	0.000	Merged-chr11-106666756-22
NR12011--MA1107.1.KLF9	chr11	117326116	117326128	-	0.000	0.000	Merged-chr11-117325818-58
NR38688--MA0740.1.KLF14	chr3	75557049	75557062	-	0.000	0.000	Merged-chr3-75556873-176
NR41163--MA0741.1.KLF16	chr3	146045218	146045228	-	0.000	0.000	Merged-chr3-146045142-29
NR39679--MA0493.1.Klf1	chr3	103927745	103927755	-	0.000	0.000	Merged-chr3-103927636-31
NR44980--MA1107.1.KLF9	chr4	136021851	136021863	+	0.000	0.000	Merged-chr4-136021705-51
NR58573--MA1107.1.KLF9	chr7	114284570	114284582	-	0.000	0.000	Merged-chr7-114284648-5
NR38835--MA0741.1.KLF16	chr3	84480456	84480466	-	0.000	0.000	Merged-chr3-84480339-69
NR10307--MA0741.1.KLF16	chr11	78343417	78343427	+	0.000	0.000	Merged-chr11-78343551-35
NR36889--MA0599.1.KLF5	chr2	166617812	166617821	-	0.000	0.000	Merged-chr2-166617858-42
NR64305--MA0741.1.KLF16	chr9	55429396	55429406	-	0.000	0.000	Merged-chr9-55429436-19
NR42528--MA0493.1.Klf1	chr4	47502596	47502606	-	0.000	0.000	Merged-chr4-47502756-26
NR25988--MA0742.1.Klf12	chr17	21383733	21383747	-	0.000	0.000	Merged-chr17-21383828-70
NR28357--MA0741.1.KLF16	chr17	84860066	84860076	+	0.000	0.000	Merged-chr17-84860120-51
NR18626--MA0741.1.KLF16	chr14	33447264	33447274	-	0.000	0.000	Merged-chr14-33447186-64
NR16139--MA0599.1.KLF5	chr13	58067717	58067726	-	0.000	0.000	Merged-chr13-58067754-68
NR45158--MA0599.1.KLF5	chr4	138250406	138250415	-	0.000	0.000	Merged-chr4-138250390-66
NR13553--MA1107.1.KLF9	chr12	82166462	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR14089--MA0599.1.KLF5	chr12	101958244	101958253	+	0.000	0.000	Merged-chr12-101958185-60
NR28697--MA1107.1.KLF9	chr18	3507816	3507828	+	0.000	0.000	Merged-chr18-3507740-84
NR14550--MA0599.1.KLF5	chr12	110979206	110979215	-	0.000	0.000	Merged-chr12-110979044-60
NR5507--MA0599.1.KLF5	chr10	44458744	44458753	+	0.000	0.000	Merged-chr10-44458751-54
NR29459--MA0657.1.KLF13	chr18	50029964	50029981	+	0.000	0.000	Merged-chr18-50029985-2
NR12437--MA0493.1.Klf1	chr12	8947906	8947916	-	0.000	0.000	Merged-chr12-8948013-17
NR52053--MA0599.1.KLF5	chr6	43666096	43666105	+	0.000	0.000	Merged-chr6-43666119-58
NR37652--MA0599.1.KLF5	chr2	181601309	181601318	-	0.000	0.000	Merged-chr2-181601291-52
NR17501--MA0741.1.KLF16	chr13	107890370	107890380	-	0.000	0.000	Merged-chr13-107890491-165
NR26706--MA0493.1.Klf1	chr17	34196857	34196867	+	0.000	0.000	Merged-chr17-34196730-34
NR22704--MA1107.1.KLF9	chr15	93273098	93273110	+	0.000	0.000	Merged-chr15-93272956-59
NR12239--MA0741.1.KLF16	chr11	120981077	120981087	+	0.000	0.000	Merged-chr11-120981125-9
NR25414--MA1107.1.KLF9	chr16	96341334	96341346	+	0.000	0.000	Merged-chr16-96341450-15
NR52259--MA0599.1.KLF5	chr6	50596971	50596980	+	0.000	0.000	Merged-chr6-50596805-84
NR35459--MA0599.1.KLF5	chr2	127314607	127314616	-	0.000	0.000	Merged-chr2-127314742-58
NR58220--MA0493.1.Klf1	chr7	105356550	105356560	-	0.000	0.000	Merged-chr7-105356441-22
NR66974--MA0742.1.Klf12	chrX	8132567	8132581	+	0.000	0.000	Merged-chrX-8132452-84
NR34790--MA0741.1.KLF16	chr2	102186262	102186272	+	0.000	0.000	Merged-chr2-102186171-70
NR4989--MA1107.1.KLF9	chr10	17948132	17948144	+	0.000	0.000	Merged-chr10-17948244-7
NR35920--MA0599.1.KLF5	chr2	144011511	144011520	+	0.000	0.000	Merged-chr2-144011305-12
NR30135--MA0599.1.KLF5	chr18	73572609	73572618	-	0.000	0.000	Merged-chr18-73572695-132
NR60531--MA0741.1.KLF16	chr8	35428949	35428959	-	0.000	0.000	Merged-chr8-35428921-45
NR44067--MA1107.1.KLF9	chr4	120053614	120053626	-	0.000	0.000	Merged-chr4-120053646-59
NR37181--MA0741.1.KLF16	chr2	170324279	170324289	-	0.000	0.000	Merged-chr2-170324293-28
NR12123--MA1107.1.KLF9	chr11	118337939	118337951	-	0.000	0.000	Merged-chr11-118337723-52
NR56027--MA0493.1.Klf1	chr7	24413747	24413757	+	0.000	0.000	Merged-chr7-24413787-50
NR57066--MA0657.1.KLF13	chr7	49246032	49246049	+	0.000	0.000	Merged-chr7-49246156-57
NR39217--MA0039.3.KLF4	chr3	95315145	95315155	+	0.000	0.000	Merged-chr3-95315367-55
NR7033--MA0657.1.KLF13	chr10	91083031	91083048	-	0.000	0.000	Merged-chr10-91082825-101
NR26400--MA0742.1.Klf12	chr17	27909125	27909139	-	0.000	0.000	Merged-chr17-27909139-107
NR65507--MA0740.1.KLF14	chr9	99479395	99479408	+	0.000	0.000	Merged-chr9-99479335-46
NR11285--MA0599.1.KLF5	chr11	102230232	102230241	+	0.000	0.000	Merged-chr11-102230116-64
NR34457--MA0039.3.KLF4	chr2	83828117	83828127	-	0.000	0.000	Merged-chr2-83828033-13
NR59682--MA0599.1.KLF5	chr7	141414154	141414163	-	0.000	0.000	Merged-chr7-141414217-79
NR22969--MA0741.1.KLF16	chr15	99284818	99284828	+	0.000	0.000	Merged-chr15-99284805-29
NR49396--MA0493.1.Klf1	chr5	121593643	121593653	-	0.000	0.000	Merged-chr5-121593794-58
NR37779--MA0742.1.Klf12	chr3	14611346	14611360	+	0.000	0.000	Merged-chr3-14611354-67
NR5752--MA1107.1.KLF9	chr10	59965008	59965020	-	0.000	0.000	Merged-chr10-59964870-60
NR11266--MA1107.1.KLF9	chr11	102074472	102074484	+	0.000	0.000	Merged-chr11-102074455-23
NR63804--MA0493.1.Klf1	chr9	32695960	32695970	+	0.000	0.000	Merged-chr9-32696080-66
NR6073--MA0599.1.KLF5	chr10	69571692	69571701	-	0.000	0.000	Merged-chr10-69571391-44
NR37764--MA0599.1.KLF5	chr3	13336347	13336356	+	0.000	0.000	Merged-chr3-13336302-6
NR26120--MA0741.1.KLF16	chr17	23924760	23924770	-	0.000	0.000	Merged-chr17-23924911-57
NR54206--MA0599.1.KLF5	chr6	125422584	125422593	-	0.000	0.000	Merged-chr6-125422633-47
NR64384--MA0599.1.KLF5	chr9	57957107	57957116	+	0.000	0.000	Merged-chr9-57956974-45
NR9853--MA0742.1.Klf12	chr11	69948318	69948332	+	0.000	0.000	Merged-chr11-69948307-18
NR44874--MA0599.1.KLF5	chr4	134535431	134535440	+	0.000	0.000	Merged-chr4-134535132-103
NR32762--MA0741.1.KLF16	chr2	13575063	13575073	+	0.000	0.000	Merged-chr2-13575035-10
NR46915--MA0599.1.KLF5	chr5	31251614	31251623	-	0.000	0.000	Merged-chr5-31251770-31
NR65386--MA0742.1.Klf12	chr9	96364537	96364551	+	0.000	0.000	Merged-chr9-96364326-104
NR58024--MA0741.1.KLF16	chr7	99483783	99483793	-	0.000	0.000	Merged-chr7-99483585-69
NR66551--MA0741.1.KLF16	chr9	119271718	119271728	+	0.000	0.000	Merged-chr9-119271668-22
NR6721--MA1107.1.KLF9	chr10	81401863	81401875	+	0.000	0.000	Merged-chr10-81401925-26
NR56129--MA0039.3.KLF4	chr7	25209559	25209569	-	0.000	0.000	Merged-chr7-25209520-33
NR16237--MA0493.1.Klf1	chr13	61998878	61998888	+	0.000	0.000	Merged-chr13-61998846-64
NR67761--MA0599.1.KLF5	chrX	106011816	106011825	-	0.000	0.000	Merged-chrX-106011686-72
NR41254--MA1107.1.KLF9	chr3	149097858	149097870	+	0.000	0.000	Merged-chr3-149097847-1
NR10397--MA0741.1.KLF16	chr11	80378145	80378155	-	0.000	0.000	Merged-chr11-80377981-38
NR16157--MA0599.1.KLF5	chr13	58385343	58385352	-	0.000	0.000	Merged-chr13-58385175-66
NR41795--MA0741.1.KLF16	chr4	11900137	11900147	-	0.000	0.000	Merged-chr4-11900204-55
NR35956--MA0742.1.Klf12	chr2	144527473	144527487	+	0.000	0.000	Merged-chr2-144527541-67
NR36888--MA1107.1.KLF9	chr2	166031291	166031303	+	0.000	0.000	Merged-chr2-166031387-74
NR46592--MA0493.1.Klf1	chr5	20845383	20845393	+	0.000	0.000	Merged-chr5-20845245-18
NR28989--MA0741.1.KLF16	chr18	25505288	25505298	-	0.000	0.000	Merged-chr18-25505224-41
NR3484--MA0599.1.KLF5	chr1	167269677	167269686	-	0.000	0.000	Merged-chr1-167269786-33
NR10718--MA1107.1.KLF9	chr11	89024218	89024230	+	0.000	0.000	Merged-chr11-89024298-29
NR51760--MA0599.1.KLF5	chr6	30047879	30047888	+	0.000	0.000	Merged-chr6-30048099-79
NR56876--MA0742.1.Klf12	chr7	45162287	45162301	+	0.000	0.000	Merged-chr7-45162253-48
NR18684--MA0740.1.KLF14	chr14	40956692	40956705	-	0.000	0.000	Merged-chr14-40956605-62
NR39044--MA0599.1.KLF5	chr3	89961598	89961607	+	0.000	0.000	Merged-chr3-89961609-14
NR60244--MA0599.1.KLF5	chr8	19979880	19979889	+	0.000	0.000	Merged-chr8-19979731-1
NR16707--MA0741.1.KLF16	chr13	81351471	81351481	+	0.000	0.000	Merged-chr13-81351650-43
NR52277--MA0599.1.KLF5	chr6	51269958	51269967	+	0.000	0.000	Merged-chr6-51269766-1
NR61580--MA0599.1.KLF5	chr8	83608107	83608116	-	0.000	0.000	Merged-chr8-83608300-96
NR16805--MA1107.1.KLF9	chr13	89454697	89454709	-	0.000	0.000	Merged-chr13-89454773-11
NR23043--MA0599.1.KLF5	chr15	100443683	100443692	+	0.000	0.000	Merged-chr15-100443625-43
NR40941--MA0741.1.KLF16	chr3	142688679	142688689	-	0.000	0.000	Merged-chr3-142688787-41
NR27149--MA0741.1.KLF16	chr17	46202814	46202824	+	0.000	0.000	Merged-chr17-46202897-79
NR5408--MA0741.1.KLF16	chr10	42018402	42018412	-	0.000	0.000	Merged-chr10-42018378-38
NR63621--MA0599.1.KLF5	chr9	22116284	22116293	+	0.000	0.000	Merged-chr9-22116288-1
NR53810--MA0741.1.KLF16	chr6	116193621	116193631	+	0.000	0.000	Merged-chr6-116193488-104
NR43061--MA0741.1.KLF16	chr4	83321982	83321992	+	0.000	0.000	Merged-chr4-83321868-23
NR221--MA0741.1.KLF16	chr1	23922395	23922405	-	0.000	0.000	Merged-chr1-23922466-2
NR66331--MA0599.1.KLF5	chr9	115163143	115163152	+	0.000	0.000	Merged-chr9-115163085-16
NR12205--MA0741.1.KLF16	chr11	120643757	120643767	+	0.000	0.000	Merged-chr11-120643689-55
NR15967--MA0599.1.KLF5	chr13	54188614	54188623	+	0.000	0.000	Merged-chr13-54188520-62
NR30153--MA0599.1.KLF5	chr18	74207848	74207857	-	0.000	0.000	Merged-chr18-74207831-60
NR29345--MA0599.1.KLF5	chr18	41753031	41753040	-	0.000	0.000	Merged-chr18-41752958-32
NR33149--MA0493.1.Klf1	chr2	29649893	29649903	+	0.000	0.000	Merged-chr2-29649675-51
