#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR13381--MA0741.1.KLF16	chr12	17737292	17737302	+	0.000	0.000	Merged-chr12-17737331-11
NR32743--MA1107.1.KLF9	chr18	60844149	60844161	-	0.000	0.000	Merged-chr18-60844209-77
NR26250--MA0741.1.KLF16	chr16	24450149	24450159	-	0.000	0.000	Merged-chr16-24450067-2
NR33279--MA0599.1.KLF5	chr18	75370567	75370576	+	0.000	0.000	Merged-chr18-75370606-43
NR23778--MA0740.1.KLF14	chr15	58823639	58823652	-	0.000	0.000	Merged-chr15-58823489-98
NR53250--MA0599.1.KLF5	chr5	135545383	135545392	+	0.000	0.000	Merged-chr5-135545364-67
NR26826--MA1107.1.KLF9	chr16	52454391	52454403	+	0.000	0.000	Merged-chr16-52454226-6
NR62659--MA0741.1.KLF16	chr8	27161537	27161547	-	0.000	0.000	Merged-chr8-27161535-3
NR59145--MA0742.1.Klf12	chr7	34912357	34912371	+	0.000	0.000	Merged-chr7-34912506-54
NR21502--MA1107.1.KLF9	chr14	79154091	79154103	-	0.000	0.000	Merged-chr14-79154092-10
NR54513--MA0039.3.KLF4	chr6	24310903	24310913	-	0.000	0.000	Merged-chr6-24310854-8
NR28698--MA0599.1.KLF5	chr17	18004866	18004875	+	0.000	0.000	Merged-chr17-18004943-3
NR11155--MA0599.1.KLF5	chr11	69948287	69948296	+	0.000	0.000	Merged-chr11-69948307-18
NR9091--MA0493.1.Klf1	chr10	121033846	121033856	-	0.000	0.000	Merged-chr10-121033809-97
NR63543--MA0740.1.KLF14	chr8	69176605	69176618	-	0.000	0.000	Merged-chr8-69176623-23
NR63695--MA0657.1.KLF13	chr8	70797262	70797279	-	0.000	0.000	Merged-chr8-70797334-59
NR14429--MA0741.1.KLF16	chr12	69539531	69539541	-	0.000	0.000	Merged-chr12-69539558-45
NR35554--MA0741.1.KLF16	chr2	17703232	17703242	+	0.000	0.000	Merged-chr2-17703026-82
NR54649--MA0599.1.KLF5	chr6	30391067	30391076	+	0.000	0.000	Merged-chr6-30391012-49
NR35349--MA0741.1.KLF16	chr2	11777592	11777602	+	0.000	0.000	Merged-chr2-11777973-128
NR34042--MA0599.1.KLF5	chr19	8837509	8837518	+	0.000	0.000	Merged-chr19-8837631-55
NR36637--MA1107.1.KLF9	chr2	51223806	51223818	+	0.000	0.000	Merged-chr2-51223946-1
NR39008--MA0599.1.KLF5	chr2	136891526	136891535	+	0.000	0.000	Merged-chr2-136891552-154
NR30017--MA0657.1.KLF13	chr17	56357744	56357761	+	0.000	0.000	Merged-chr17-56357646-33
NR33003--MA0741.1.KLF16	chr18	67768649	67768659	-	0.000	0.000	Merged-chr18-67768535-29
NR28125--MA0599.1.KLF5	chr16	97310087	97310096	-	0.000	0.000	Merged-chr16-97310397-57
NR64796--MA0741.1.KLF16	chr8	109868492	109868502	-	0.000	0.000	Merged-chr8-109868700-77
NR18873--MA0493.1.Klf1	chr13	106825808	106825818	-	0.000	0.000	Merged-chr13-106825787-11
NR17242--MA0599.1.KLF5	chr13	58402844	58402853	+	0.000	0.000	Merged-chr13-58402711-8
NR50956--MA0493.1.Klf1	chr5	65436007	65436017	-	0.000	0.000	Merged-chr5-65436020-62
NR66868--MA0599.1.KLF5	chr9	65586972	65586981	+	0.000	0.000	Merged-chr9-65587090-27
NR20645--MA1107.1.KLF9	chr14	47546048	47546060	+	0.000	0.000	Merged-chr14-47545973-9
NR20871--MA0742.1.Klf12	chr14	54464112	54464126	-	0.000	0.000	Merged-chr14-54464203-140
NR25879--MA0742.1.Klf12	chr16	11134650	11134664	+	0.000	0.000	Merged-chr16-11134662-66
NR34023--MA1107.1.KLF9	chr19	8695518	8695530	-	0.000	0.000	Merged-chr19-8695569-23
NR52917--MA0599.1.KLF5	chr5	129020154	129020163	+	0.000	0.000	Merged-chr5-129020147-99
NR57300--MA0741.1.KLF16	chr6	134183958	134183968	+	0.000	0.000	Merged-chr6-134184108-53
NR25092--MA0493.1.Klf1	chr15	93576006	93576016	-	0.000	0.000	Merged-chr15-93576121-28
NR9093--MA0742.1.Klf12	chr10	121331258	121331272	+	0.000	0.000	Merged-chr10-121331107-36
NR10965--MA0599.1.KLF5	chr11	62648543	62648552	+	0.000	0.000	Merged-chr11-62648702-91
NR52309--MA0741.1.KLF16	chr5	113873339	113873349	-	0.000	0.000	Merged-chr5-113873174-24
NR37486--MA0741.1.KLF16	chr2	83929608	83929618	-	0.000	0.000	Merged-chr2-83929608-43
NR26732--MA1107.1.KLF9	chr16	48763323	48763335	-	0.000	0.000	Merged-chr16-48763464-5
NR44192--MA1107.1.KLF9	chr3	143493054	143493066	+	0.000	0.000	Merged-chr3-143493127-1
NR7207--MA0493.1.Klf1	chr10	75304012	75304022	-	0.000	0.000	Merged-chr10-75303775-85
NR42694--MA0599.1.KLF5	chr3	95142400	95142409	+	0.000	0.000	Merged-chr3-95142553-16
NR56287--MA0599.1.KLF5	chr6	99502511	99502520	+	0.000	0.000	Merged-chr6-99502370-1
NR67846--MA0599.1.KLF5	chr9	106438462	106438471	+	0.000	0.000	Merged-chr9-106438400-53
NR13460--MA0599.1.KLF5	chr12	21543471	21543480	-	0.000	0.000	Merged-chr12-21543416-58
NR10607--MA0599.1.KLF5	chr11	53519829	53519838	-	0.000	0.000	Merged-chr11-53519837-32
NR61310--MA1107.1.KLF9	chr7	121734715	121734727	-	0.000	0.000	Merged-chr7-121734819-1
NR58645--MA0740.1.KLF14	chr7	24638376	24638389	+	0.000	0.000	Merged-chr7-24638466-38
NR23360--MA0493.1.Klf1	chr15	38078883	38078893	-	0.000	0.000	Merged-chr15-38078784-97
NR43430--MA0740.1.KLF14	chr3	121370595	121370608	-	0.000	0.000	Merged-chr3-121370505-2
NR5799--MA0742.1.Klf12	chr10	22058713	22058727	-	0.000	0.000	Merged-chr10-22058743-34
NR14733--MA0493.1.Klf1	chr12	81845220	81845230	-	0.000	0.000	Merged-chr12-81845150-28
NR68218--MA0039.3.KLF4	chr9	118489785	118489795	-	0.000	0.000	Merged-chr9-118489742-49
NR28326--MA0493.1.Klf1	chr17	7169950	7169960	-	0.000	0.000	Merged-chr17-7169938-73
NR22489--MA1107.1.KLF9	chr14	121545762	121545774	+	0.000	0.000	Merged-chr14-121545671-6
NR64653--MA0741.1.KLF16	chr8	105623209	105623219	-	0.000	0.000	Merged-chr8-105622975-103
NR69190--MA0742.1.Klf12	chrX	103695580	103695594	-	0.000	0.000	Merged-chrX-103695530-55
NR66844--MA0039.3.KLF4	chr9	65461183	65461193	-	0.000	0.000	Merged-chr9-65461064-58
NR68487--MA1107.1.KLF9	chrX	7375918	7375930	-	0.000	0.000	Merged-chrX-7375915-61
NR25736--MA0742.1.Klf12	chr16	8671872	8671886	+	0.000	0.000	Merged-chr16-8671994-77
NR49230--MA0741.1.KLF16	chr4	155774592	155774602	+	0.000	0.000	Merged-chr4-155774656-37
NR48638--MA0599.1.KLF5	chr4	140868569	140868578	+	0.000	0.000	Merged-chr4-140868739-15
NR14859--MA0599.1.KLF5	chr12	85746480	85746489	-	0.000	0.000	Merged-chr12-85746223-36
NR66098--MA0599.1.KLF5	chr9	32728397	32728406	-	0.000	0.000	Merged-chr9-32728530-9
NR5734--MA1107.1.KLF9	chr10	18070686	18070698	-	0.000	0.000	Merged-chr10-18070790-14
NR62768--MA0741.1.KLF16	chr8	34397999	34398009	+	0.000	0.000	Merged-chr8-34397971-66
NR17569--MA0599.1.KLF5	chr13	69611738	69611747	+	0.000	0.000	Merged-chr13-69611588-99
NR34830--MA0599.1.KLF5	chr19	47937642	47937651	-	0.000	0.000	Merged-chr19-47937684-41
NR1016--MA0039.3.KLF4	chr1	51104944	51104954	-	0.000	0.000	Merged-chr1-51104887-5
NR37540--MA0599.1.KLF5	chr2	85007679	85007688	+	0.000	0.000	Merged-chr2-85007896-35
NR20418--MA0599.1.KLF5	chr14	40966991	40967000	+	0.000	0.000	Merged-chr14-40966984-107
NR58887--MA0493.1.Klf1	chr7	28677346	28677356	-	0.000	0.000	Merged-chr7-28677170-43
NR28913--MA0599.1.KLF5	chr17	25015824	25015833	-	0.000	0.000	Merged-chr17-25015631-3
NR68815--MA0599.1.KLF5	chrX	48285496	48285505	+	0.000	0.000	Merged-chrX-48285695-3
NR49083--MA0599.1.KLF5	chr4	152130692	152130701	-	0.000	0.000	Merged-chr4-152130617-6
NR13651--MA0039.3.KLF4	chr12	28735503	28735513	-	0.000	0.000	Merged-chr12-28735423-1
NR14711--MA0740.1.KLF14	chr12	80885787	80885800	-	0.000	0.000	Merged-chr12-80885869-36
NR10871--MA0599.1.KLF5	chr11	60727259	60727268	+	0.000	0.000	Merged-chr11-60727194-59
NR63830--MA1107.1.KLF9	chr8	72277459	72277471	-	0.000	0.000	Merged-chr8-72277394-10
NR58058--MA0741.1.KLF16	chr7	4964460	4964470	+	0.000	0.000	Merged-chr7-4964465-28
NR45904--MA0740.1.KLF14	chr4	43493301	43493314	-	0.000	0.000	Merged-chr4-43493243-98
NR2488--MA0599.1.KLF5	chr1	119457045	119457054	-	0.000	0.000	Merged-chr1-119457268-70
NR48972--MA0039.3.KLF4	chr4	150029911	150029921	-	0.000	0.000	Merged-chr4-150029862-9
NR35053--MA0742.1.Klf12	chr2	3284119	3284133	-	0.000	0.000	Merged-chr2-3284320-138
NR1559--MA0741.1.KLF16	chr1	74854898	74854908	-	0.000	0.000	Merged-chr1-74854969-34
NR28796--MA0493.1.Klf1	chr17	22867286	22867296	+	0.000	0.000	Merged-chr17-22867283-5
NR28833--MA0741.1.KLF16	chr17	23924760	23924770	-	0.000	0.000	Merged-chr17-23924911-57
NR6345--MA0741.1.KLF16	chr10	43722543	43722553	+	0.000	0.000	Merged-chr10-43722672-2
NR33746--MA0740.1.KLF14	chr19	3325549	3325562	-	0.000	0.000	Merged-chr19-3325405-49
NR52081--MA0741.1.KLF16	chr5	110176524	110176534	-	0.000	0.000	Merged-chr5-110176742-78
NR62634--MA0599.1.KLF5	chr8	26698690	26698699	-	0.000	0.000	Merged-chr8-26698799-12
NR59570--MA0599.1.KLF5	chr7	48898567	48898576	+	0.000	0.000	Merged-chr7-48898692-36
NR36110--MA0599.1.KLF5	chr2	32535274	32535283	+	0.000	0.000	Merged-chr2-32535268-83
NR157--MA0599.1.KLF5	chr1	9848224	9848233	-	0.000	0.000	Merged-chr1-9848247-58
NR43999--MA0599.1.KLF5	chr3	138264942	138264951	-	0.000	0.000	Merged-chr3-138265020-7
NR32981--MA0493.1.Klf1	chr18	67289142	67289152	-	0.000	0.000	Merged-chr18-67289383-133
NR29068--MA0741.1.KLF16	chr17	27826186	27826196	-	0.000	0.000	Merged-chr17-27826379-77
NR56502--MA0599.1.KLF5	chr6	108571218	108571227	+	0.000	0.000	Merged-chr6-108571232-71
NR14765--MA0599.1.KLF5	chr12	82169642	82169651	+	0.000	0.000	Merged-chr12-82169653-106
NR52348--MA0493.1.Klf1	chr5	114639608	114639618	-	0.000	0.000	Merged-chr5-114639574-38
NR45282--MA1107.1.KLF9	chr4	14922315	14922327	-	0.000	0.000	Merged-chr4-14922203-28
NR68122--MA0741.1.KLF16	chr9	114730243	114730253	-	0.000	0.000	Merged-chr9-114730346-23
NR66171--MA0741.1.KLF16	chr9	37232354	37232364	-	0.000	0.000	Merged-chr9-37232426-6
NR40060--MA0742.1.Klf12	chr2	169634035	169634049	+	0.000	0.000	Merged-chr2-169634008-43
NR39908--MA0599.1.KLF5	chr2	167349466	167349475	-	0.000	0.000	Merged-chr2-167349371-94
NR48276--MA0740.1.KLF14	chr4	133887412	133887425	-	0.000	0.000	Merged-chr4-133887364-2
NR50955--MA0039.3.KLF4	chr5	65436005	65436015	-	0.000	0.000	Merged-chr5-65436020-62
NR43211--MA0599.1.KLF5	chr3	109025789	109025798	-	0.000	0.000	Merged-chr3-109025792-30
NR58435--MA0493.1.Klf1	chr7	19282641	19282651	+	0.000	0.000	Merged-chr7-19282647-45
NR52598--MA1107.1.KLF9	chr5	121564879	121564891	-	0.000	0.000	Merged-chr5-121564703-31
NR52935--MA0599.1.KLF5	chr5	129725042	129725051	+	0.000	0.000	Merged-chr5-129725191-86
NR49808--MA0493.1.Klf1	chr5	21187053	21187063	+	0.000	0.000	Merged-chr5-21187049-4
NR59612--MA0741.1.KLF16	chr7	51879291	51879301	-	0.000	0.000	Merged-chr7-51879410-58
NR68908--MA1107.1.KLF9	chrX	57326759	57326771	-	0.000	0.000	Merged-chrX-57326687-25
NR41281--MA0742.1.Klf12	chr3	36613427	36613441	+	0.000	0.000	Merged-chr3-36613405-48
NR69362--MA1107.1.KLF9	chrX	136761501	136761513	-	0.000	0.000	Merged-chrX-136761493-40
NR35920--MA0599.1.KLF5	chr2	29820464	29820473	+	0.000	0.000	Merged-chr2-29820454-25
NR30000--MA0493.1.Klf1	chr17	56304179	56304189	-	0.000	0.000	Merged-chr17-56304020-73
NR69229--MA0599.1.KLF5	chrX	107816438	107816447	+	0.000	0.000	Merged-chrX-107816203-60
NR55975--MA1107.1.KLF9	chr6	89286769	89286781	+	0.000	0.000	Merged-chr6-89286978-37
NR11985--MA0741.1.KLF16	chr11	96916553	96916563	+	0.000	0.000	Merged-chr11-96916500-59
NR11365--MA0493.1.Klf1	chr11	76217590	76217600	+	0.000	0.000	Merged-chr11-76217513-52
NR54868--MA0493.1.Klf1	chr6	41662627	41662637	+	0.000	0.000	Merged-chr6-41662525-9
NR22168--MA0599.1.KLF5	chr14	115205899	115205908	+	0.000	0.000	Merged-chr14-115206056-2
NR45774--MA0741.1.KLF16	chr4	41569669	41569679	-	0.000	0.000	Merged-chr4-41569502-63
NR20874--MA0493.1.Klf1	chr14	54464116	54464126	-	0.000	0.000	Merged-chr14-54464203-140
NR22698--MA0741.1.KLF16	chr15	9071392	9071402	+	0.000	0.000	Merged-chr15-9071380-92
NR33512--MA0599.1.KLF5	chr18	82847257	82847266	-	0.000	0.000	Merged-chr18-82847210-15
NR62531--MA0599.1.KLF5	chr8	22757686	22757695	+	0.000	0.000	Merged-chr8-22757594-30
NR778--MA0741.1.KLF16	chr1	39478751	39478761	+	0.000	0.000	Merged-chr1-39478588-52
NR54779--MA0599.1.KLF5	chr6	37442267	37442276	+	0.000	0.000	Merged-chr6-37442138-79
NR68903--MA0039.3.KLF4	chrX	57189588	57189598	-	0.000	0.000	Merged-chrX-57189507-26
NR5752--MA1107.1.KLF9	chr10	18743779	18743791	+	0.000	0.000	Merged-chr10-18743767-30
NR68913--MA0493.1.Klf1	chrX	59134807	59134817	+	0.000	0.000	Merged-chrX-59134766-110
NR61005--MA0740.1.KLF14	chr7	110221679	110221692	-	0.000	0.000	Merged-chr7-110221778-96
NR4994--MA0493.1.Klf1	chr1	191397226	191397236	-	0.000	0.000	Merged-chr1-191397050-148
NR10416--MA0741.1.KLF16	chr11	43426269	43426279	-	0.000	0.000	Merged-chr11-43426226-46
NR28931--MA0599.1.KLF5	chr17	25222286	25222295	+	0.000	0.000	Merged-chr17-25222539-87
NR61889--MA0599.1.KLF5	chr7	141215715	141215724	-	0.000	0.000	Merged-chr7-141215830-56
NR26120--MA0741.1.KLF16	chr16	20622574	20622584	-	0.000	0.000	Merged-chr16-20622479-9
NR41282--MA0599.1.KLF5	chr3	36613428	36613437	+	0.000	0.000	Merged-chr3-36613405-48
NR9684--MA0740.1.KLF14	chr11	4186703	4186716	-	0.000	0.000	Merged-chr11-4186832-60
NR22816--MA1107.1.KLF9	chr15	12795465	12795477	+	0.000	0.000	Merged-chr15-12795578-29
NR69493--MA0599.1.KLF5	chrX	152016301	152016310	-	0.000	0.000	Merged-chrX-152016475-78
NR49830--MA0740.1.KLF14	chr5	21701493	21701506	-	0.000	0.000	Merged-chr5-21701542-81
NR31304--MA0740.1.KLF14	chr18	3507870	3507883	-	0.000	0.000	Merged-chr18-3507740-84
NR1058--MA0742.1.Klf12	chr1	52630917	52630931	+	0.000	0.000	Merged-chr1-52631121-87
NR43662--MA1107.1.KLF9	chr3	128088205	128088217	+	0.000	0.000	Merged-chr3-128088433-16
NR2889--MA0741.1.KLF16	chr1	132417544	132417554	-	0.000	0.000	Merged-chr1-132417659-59
NR10611--MA0493.1.Klf1	chr11	53567353	53567363	-	0.000	0.000	Merged-chr11-53567481-45
NR32762--MA0741.1.KLF16	chr18	61377969	61377979	-	0.000	0.000	Merged-chr18-61377910-13
NR37104--MA0741.1.KLF16	chr2	69723112	69723122	-	0.000	0.000	Merged-chr2-69723038-83
NR45631--MA0741.1.KLF16	chr4	34889449	34889459	-	0.000	0.000	Merged-chr4-34889348-6
NR68897--MA0741.1.KLF16	chrX	56374578	56374588	-	0.000	0.000	Merged-chrX-56374648-33
NR18350--MA0599.1.KLF5	chr13	93304022	93304031	+	0.000	0.000	Merged-chr13-93303987-85
NR39697--MA0493.1.Klf1	chr2	160873051	160873061	+	0.000	0.000	Merged-chr2-160872923-80
NR34578--MA0039.3.KLF4	chr19	41027749	41027759	+	0.000	0.000	Merged-chr19-41027802-5
NR35424--MA0741.1.KLF16	chr2	13793561	13793571	+	0.000	0.000	Merged-chr2-13793433-83
NR61101--MA0599.1.KLF5	chr7	114276178	114276187	-	0.000	0.000	Merged-chr7-114276213-86
NR16227--MA0039.3.KLF4	chr13	13531063	13531073	-	0.000	0.000	Merged-chr13-13531086-27
NR12348--MA0741.1.KLF16	chr11	102467222	102467232	-	0.000	0.000	Merged-chr11-102467251-44
NR20875--MA0741.1.KLF16	chr14	54464115	54464125	-	0.000	0.000	Merged-chr14-54464203-140
NR12911--MA1107.1.KLF9	chr11	117878384	117878396	-	0.000	0.000	Merged-chr11-117878483-30
NR48385--MA0740.1.KLF14	chr4	135273031	135273044	-	0.000	0.000	Merged-chr4-135272795-85
NR51093--MA0599.1.KLF5	chr5	71658021	71658030	+	0.000	0.000	Merged-chr5-71657956-24
NR64908--MA0599.1.KLF5	chr8	115234221	115234230	-	0.000	0.000	Merged-chr8-115234193-65
NR15930--MA0741.1.KLF16	chr13	6648788	6648798	+	0.000	0.000	Merged-chr13-6648891-51
NR47011--MA0599.1.KLF5	chr4	88033143	88033152	+	0.000	0.000	Merged-chr4-88033206-92
NR58929--MA0740.1.KLF14	chr7	29211551	29211564	+	0.000	0.000	Merged-chr7-29211529-84
NR28052--MA0741.1.KLF16	chr16	95821066	95821076	-	0.000	0.000	Merged-chr16-95821218-29
NR25451--MA0599.1.KLF5	chr15	102279429	102279438	-	0.000	0.000	Merged-chr15-102279513-54
NR26643--MA0741.1.KLF16	chr16	44687889	44687899	-	0.000	0.000	Merged-chr16-44688022-8
NR3206--MA0493.1.Klf1	chr1	144004216	144004226	+	0.000	0.000	Merged-chr1-144004210-81
NR28161--MA0599.1.KLF5	chr17	3209727	3209736	+	0.000	0.000	Merged-chr17-3209784-17
NR64532--MA0742.1.Klf12	chr8	104042628	104042642	-	0.000	0.000	Merged-chr8-104042673-23
NR34694--MA0741.1.KLF16	chr19	45805272	45805282	+	0.000	0.000	Merged-chr19-45805178-27
NR57117--MA0493.1.Klf1	chr6	127566597	127566607	+	0.000	0.000	Merged-chr6-127566523-22
NR31827--MA0740.1.KLF14	chr18	25554826	25554839	-	0.000	0.000	Merged-chr18-25554898-22
NR39036--MA0741.1.KLF16	chr2	139776490	139776500	-	0.000	0.000	Merged-chr2-139776654-18
NR26438--MA0741.1.KLF16	chr16	32658892	32658902	+	0.000	0.000	Merged-chr16-32659000-27
NR31010--MA0599.1.KLF5	chr17	86969786	86969795	-	0.000	0.000	Merged-chr17-86969824-22
NR5310--MA0599.1.KLF5	chr10	5805596	5805605	+	0.000	0.000	Merged-chr10-5805785-87
NR42232--MA1107.1.KLF9	chr3	79178356	79178368	+	0.000	0.000	Merged-chr3-79178280-26
