#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR3281--MA1104.1.GATA6	chr16	92307631	92307643	+	0.000	0.000	Merged-chr16-92307633-7
NR4241--MA0140.2.GATA1::TAL1	chr2	59474550	59474567	-	0.000	0.000	Merged-chr2-59474458-28
NR854--MA0036.3.GATA2	chr10	80827013	80827023	-	0.000	0.000	Merged-chr10-80827107-1
NR5484--MA1104.1.GATA6	chr4	88275646	88275658	-	0.000	0.000	Merged-chr4-88275744-16
NR1278--MA0766.1.GATA5	chr11	80068121	80068128	-	0.000	0.000	Merged-chr11-80068268-1
NR363--MA1104.1.GATA6	chr1	133571484	133571496	+	0.000	0.000	Merged-chr1-133571423-3
NR5109--MA0035.3.Gata1	chr3	130810235	130810245	-	0.000	0.000	Merged-chr3-130810133-82
NR859--MA0035.3.Gata1	chr10	81137368	81137378	+	0.000	0.000	Merged-chr10-81137276-7
NR3979--MA1104.1.GATA6	chr19	32998969	32998981	+	0.000	0.000	Merged-chr19-32999080-29
NR2675--MA0482.1.Gata4	chr15	5108584	5108594	+	0.000	0.000	Merged-chr15-5108448-64
NR354--MA0766.1.GATA5	chr1	130838475	130838482	+	0.000	0.000	Merged-chr1-130838519-27
NR7625--MA0140.2.GATA1::TAL1	chr9	57955143	57955160	-	0.000	0.000	Merged-chr9-57955089-22
NR3217--MA1104.1.GATA6	chr16	66086700	66086712	-	0.000	0.000	Merged-chr16-66086640-17
NR4345--MA0035.3.Gata1	chr2	84887895	84887905	+	0.000	0.000	Merged-chr2-84887926-27
NR2963--MA1104.1.GATA6	chr16	8640131	8640143	+	0.000	0.000	Merged-chr16-8639905-53
NR2293--MA0036.3.GATA2	chr14	19979554	19979564	-	0.000	0.000	Merged-chr14-19979538-4
NR6482--MA0035.3.Gata1	chr6	120580288	120580298	-	0.000	0.000	Merged-chr6-120580158-49
NR986--MA0766.1.GATA5	chr10	117377488	117377495	-	0.000	0.000	Merged-chr10-117377577-5
NR7904--MA0140.2.GATA1::TAL1	chr9	119255026	119255043	+	0.000	0.000	Merged-chr9-119254891-26
NR5032--MA0482.1.Gata4	chr3	115704680	115704690	-	0.000	0.000	Merged-chr3-115704719-34
NR7259--MA0035.3.Gata1	chr8	69168492	69168502	-	0.000	0.000	Merged-chr8-69168549-18
NR6718--MA0036.3.GATA2	chr7	6127301	6127311	+	0.000	0.000	Merged-chr7-6127268-44
NR4101--MA0036.3.GATA2	chr2	25111312	25111322	+	0.000	0.000	Merged-chr2-25111409-51
NR2160--MA0766.1.GATA5	chr13	107571661	107571668	-	0.000	0.000	Merged-chr13-107571801-8
NR4844--MA0482.1.Gata4	chr3	51744642	51744652	+	0.000	0.000	Merged-chr3-51744632-10
NR1348--MA0035.3.Gata1	chr11	100545860	100545870	+	0.000	0.000	Merged-chr11-100545700-39
NR2749--MA0766.1.GATA5	chr15	36440115	36440122	+	0.000	0.000	Merged-chr15-36440213-15
NR1267--MA0140.2.GATA1::TAL1	chr11	76484398	76484415	+	0.000	0.000	Merged-chr11-76484240-22
NR6927--MA0140.2.GATA1::TAL1	chr7	89171855	89171872	+	0.000	0.000	Merged-chr7-89172043-28
NR6362--MA0482.1.Gata4	chr6	87041202	87041212	-	0.000	0.000	Merged-chr6-87041204-35
NR7225--MA0035.3.Gata1	chr8	46859563	46859573	+	0.000	0.000	Merged-chr8-46859659-64
NR2012--MA0035.3.Gata1	chr13	63548593	63548603	-	0.000	0.000	Merged-chr13-63548573-9
NR2678--MA0035.3.Gata1	chr15	5108583	5108593	+	0.000	0.000	Merged-chr15-5108448-64
NR3021--MA1104.1.GATA6	chr16	27395271	27395283	-	0.000	0.000	Merged-chr16-27395267-15
NR3958--MA1104.1.GATA6	chr19	29418704	29418716	-	0.000	0.000	Merged-chr19-29418635-70
NR6971--MA0035.3.Gata1	chr7	101504103	101504113	+	0.000	0.000	Merged-chr7-101503907-73
NR4810--MA0482.1.Gata4	chr3	27067360	27067370	+	0.000	0.000	Merged-chr3-27067455-6
NR3007--MA0140.2.GATA1::TAL1	chr16	22608368	22608385	-	0.000	0.000	Merged-chr16-22608248-9
NR6742--MA0482.1.Gata4	chr7	19093680	19093690	+	0.000	0.000	Merged-chr7-19093740-100
NR2434--MA0036.3.GATA2	chr14	54227577	54227587	-	0.000	0.000	Merged-chr14-54227788-83
NR5297--MA0482.1.Gata4	chr4	11404221	11404231	+	0.000	0.000	Merged-chr4-11404244-13
NR6522--MA0036.3.GATA2	chr6	126849235	126849245	-	0.000	0.000	Merged-chr6-126849069-62
NR1740--MA0140.2.GATA1::TAL1	chr12	104067617	104067634	+	0.000	0.000	Merged-chr12-104067684-35
NR7980--MA0037.3.GATA3	chrX	135962558	135962565	+	0.000	0.000	Merged-chrX-135962489-11
NR5822--MA0140.2.GATA1::TAL1	chr5	32767952	32767969	-	0.000	0.000	Merged-chr5-32768073-31
NR5700--MA0037.3.GATA3	chr4	148638466	148638473	+	0.000	0.000	Merged-chr4-148638535-16
NR161--MA0036.3.GATA2	chr1	84817775	84817785	-	0.000	0.000	Merged-chr1-84817778-11
NR5062--MA1104.1.GATA6	chr3	121689284	121689296	+	0.000	0.000	Merged-chr3-121689232-23
NR5035--MA0035.3.Gata1	chr3	115704681	115704691	-	0.000	0.000	Merged-chr3-115704719-34
NR7086--MA0482.1.Gata4	chr7	139861701	139861711	-	0.000	0.000	Merged-chr7-139861613-5
NR5585--MA1104.1.GATA6	chr4	124769254	124769266	+	0.000	0.000	Merged-chr4-124769177-27
NR6458--MA0037.3.GATA3	chr6	108532094	108532101	+	0.000	0.000	Merged-chr6-108531954-46
NR6631--MA0036.3.GATA2	chr6	140308146	140308156	-	0.000	0.000	Merged-chr6-140308190-9
NR3034--MA1104.1.GATA6	chr16	36602846	36602858	-	0.000	0.000	Merged-chr16-36602811-38
NR5333--MA0037.3.GATA3	chr4	33110182	33110189	-	0.000	0.000	Merged-chr4-33110299-20
NR2482--MA0035.3.Gata1	chr14	62342732	62342742	-	0.000	0.000	Merged-chr14-62342844-35
NR2846--MA1104.1.GATA6	chr15	78514704	78514716	+	0.000	0.000	Merged-chr15-78514847-17
NR607--MA0036.3.GATA2	chr1	191445990	191446000	+	0.000	0.000	Merged-chr1-191445969-55
NR2548--MA0035.3.Gata1	chr14	79557827	79557837	-	0.000	0.000	Merged-chr14-79557870-40
NR2524--MA0482.1.Gata4	chr14	74889137	74889147	+	0.000	0.000	Merged-chr14-74889136-25
NR4956--MA0035.3.Gata1	chr3	84570696	84570706	+	0.000	0.000	Merged-chr3-84570776-21
NR203--MA0766.1.GATA5	chr1	88578424	88578431	+	0.000	0.000	Merged-chr1-88578300-28
NR435--MA0140.2.GATA1::TAL1	chr1	153847720	153847737	+	0.000	0.000	Merged-chr1-153847735-8
NR994--MA0140.2.GATA1::TAL1	chr10	118110141	118110158	+	0.000	0.000	Merged-chr10-118110099-23
NR4661--MA0482.1.Gata4	chr2	154754225	154754235	-	0.000	0.000	Merged-chr2-154754253-27
NR4271--MA0035.3.Gata1	chr2	66185005	66185015	-	0.000	0.000	Merged-chr2-66184903-51
NR7599--MA0035.3.Gata1	chr9	48538518	48538528	-	0.000	0.000	Merged-chr9-48538454-59
NR4170--MA0036.3.GATA2	chr2	44557374	44557384	-	0.000	0.000	Merged-chr2-44557255-38
NR132--MA0035.3.Gata1	chr1	79752488	79752498	-	0.000	0.000	Merged-chr1-79752241-78
NR1115--MA1104.1.GATA6	chr11	23754515	23754527	+	0.000	0.000	Merged-chr11-23754497-34
NR2270--MA1104.1.GATA6	chr14	16172523	16172535	+	0.000	0.000	Merged-chr14-16172497-2
NR1459--MA0482.1.Gata4	chr12	16258474	16258484	-	0.000	0.000	Merged-chr12-16258722-16
NR5199--MA0036.3.GATA2	chr3	143977278	143977288	-	0.000	0.000	Merged-chr3-143977087-2
NR4380--MA0035.3.Gata1	chr2	92192027	92192037	-	0.000	0.000	Merged-chr2-92192158-30
NR2495--MA0035.3.Gata1	chr14	66805736	66805746	-	0.000	0.000	Merged-chr14-66805736-29
NR241--MA0035.3.Gata1	chr1	94035512	94035522	+	0.000	0.000	Merged-chr1-94035484-87
NR6492--MA0766.1.GATA5	chr6	122334238	122334245	+	0.000	0.000	Merged-chr6-122334221-7
NR3676--MA0140.2.GATA1::TAL1	chr18	38144398	38144415	+	0.000	0.000	Merged-chr18-38144417-1
NR5107--MA1104.1.GATA6	chr3	130810234	130810246	+	0.000	0.000	Merged-chr3-130810133-82
NR3156--MA1104.1.GATA6	chr16	57319937	57319949	+	0.000	0.000	Merged-chr16-57319907-20
NR2441--MA0140.2.GATA1::TAL1	chr14	56816615	56816632	-	0.000	0.000	Merged-chr14-56816759-21
NR857--MA1104.1.GATA6	chr10	81137367	81137379	-	0.000	0.000	Merged-chr10-81137276-7
NR966--MA1104.1.GATA6	chr10	111583204	111583216	+	0.000	0.000	Merged-chr10-111583294-13
NR4106--MA0036.3.GATA2	chr2	28418247	28418257	-	0.000	0.000	Merged-chr2-28418249-8
NR7174--MA0482.1.Gata4	chr8	27137213	27137223	+	0.000	0.000	Merged-chr8-27137178-38
NR848--MA0766.1.GATA5	chr10	79937304	79937311	-	0.000	0.000	Merged-chr10-79937148-47
NR1237--MA1104.1.GATA6	chr11	69991096	69991108	-	0.000	0.000	Merged-chr11-69991335-71
NR1508--MA1104.1.GATA6	chr12	40427688	40427700	+	0.000	0.000	Merged-chr12-40427719-34
NR6776--MA0766.1.GATA5	chr7	25296998	25297005	-	0.000	0.000	Merged-chr7-25297148-3
NR4477--MA0766.1.GATA5	chr2	121457053	121457060	-	0.000	0.000	Merged-chr2-121457132-54
NR3374--MA0037.3.GATA3	chr17	12960400	12960407	-	0.000	0.000	Merged-chr17-12960561-54
NR6885--MA0766.1.GATA5	chr7	78583904	78583911	+	0.000	0.000	Merged-chr7-78583930-15
NR657--MA0482.1.Gata4	chr10	12993575	12993585	+	0.000	0.000	Merged-chr10-12993694-35
NR836--MA1104.1.GATA6	chr10	75417897	75417909	-	0.000	0.000	Merged-chr10-75417748-37
NR2010--MA1104.1.GATA6	chr13	63548592	63548604	+	0.000	0.000	Merged-chr13-63548573-9
NR2676--MA1104.1.GATA6	chr15	5108582	5108594	-	0.000	0.000	Merged-chr15-5108448-64
NR4300--MA0766.1.GATA5	chr2	76214465	76214472	+	0.000	0.000	Merged-chr2-76214615-2
NR7075--MA0140.2.GATA1::TAL1	chr7	135647125	135647142	+	0.000	0.000	Merged-chr7-135647119-33
NR2001--MA0766.1.GATA5	chr13	62880365	62880372	+	0.000	0.000	Merged-chr13-62880327-44
NR5033--MA1104.1.GATA6	chr3	115704680	115704692	+	0.000	0.000	Merged-chr3-115704719-34
NR6822--MA0482.1.Gata4	chr7	43894806	43894816	+	0.000	0.000	Merged-chr7-43894981-37
NR4845--MA1104.1.GATA6	chr3	51744640	51744652	-	0.000	0.000	Merged-chr3-51744632-10
NR3594--MA0140.2.GATA1::TAL1	chr17	84273171	84273188	-	0.000	0.000	Merged-chr17-84273035-23
NR2480--MA1104.1.GATA6	chr14	62342731	62342743	+	0.000	0.000	Merged-chr14-62342844-35
NR4799--MA0035.3.Gata1	chr3	14869855	14869865	-	0.000	0.000	Merged-chr3-14869878-60
NR6363--MA1104.1.GATA6	chr6	87041202	87041214	+	0.000	0.000	Merged-chr6-87041204-35
NR7047--MA0035.3.Gata1	chr7	125281541	125281551	-	0.000	0.000	Merged-chr7-125281590-1
NR4284--MA0036.3.GATA2	chr2	70425814	70425824	+	0.000	0.000	Merged-chr2-70425902-24
NR2885--MA0766.1.GATA5	chr15	91616651	91616658	+	0.000	0.000	Merged-chr15-91616695-12
NR6859--MA0035.3.Gata1	chr7	68225792	68225802	+	0.000	0.000	Merged-chr7-68225775-20
NR4037--MA0035.3.Gata1	chr2	11320205	11320215	-	0.000	0.000	Merged-chr2-11320345-22
NR6743--MA1104.1.GATA6	chr7	19093678	19093690	-	0.000	0.000	Merged-chr7-19093740-100
NR5298--MA1104.1.GATA6	chr4	11404219	11404231	-	0.000	0.000	Merged-chr4-11404244-13
NR6354--MA0766.1.GATA5	chr6	82922017	82922024	+	0.000	0.000	Merged-chr6-82922037-57
NR2896--MA0140.2.GATA1::TAL1	chr15	93751199	93751216	-	0.000	0.000	Merged-chr15-93751087-35
NR355--MA0035.3.Gata1	chr1	130838473	130838483	-	0.000	0.000	Merged-chr1-130838519-27
NR1960--MA0035.3.Gata1	chr13	52008136	52008146	+	0.000	0.000	Merged-chr13-52008191-11
NR3766--MA0140.2.GATA1::TAL1	chr18	67270258	67270275	-	0.000	0.000	Merged-chr18-67270168-25
NR7725--MA0037.3.GATA3	chr9	86579815	86579822	-	0.000	0.000	Merged-chr9-86579809-9
NR4122--MA0482.1.Gata4	chr2	32857713	32857723	+	0.000	0.000	Merged-chr2-32857854-19
NR7087--MA1104.1.GATA6	chr7	139861701	139861713	+	0.000	0.000	Merged-chr7-139861613-5
NR1268--MA0482.1.Gata4	chr11	76599251	76599261	-	0.000	0.000	Merged-chr11-76599172-10
NR429--MA0036.3.GATA2	chr1	151457356	151457366	-	0.000	0.000	Merged-chr1-151457268-30
NR4425--MA0036.3.GATA2	chr2	106985120	106985130	+	0.000	0.000	Merged-chr2-106985167-21
NR1176--MA0037.3.GATA3	chr11	53330482	53330489	+	0.000	0.000	Merged-chr11-53330512-15
NR4295--MA0140.2.GATA1::TAL1	chr2	76030057	76030074	+	0.000	0.000	Merged-chr2-76030062-28
NR2158--MA0037.3.GATA3	chr13	107571661	107571668	-	0.000	0.000	Merged-chr13-107571801-8
NR4339--MA0766.1.GATA5	chr2	84868763	84868770	-	0.000	0.000	Merged-chr2-84868738-21
NR4329--MA0036.3.GATA2	chr2	84351082	84351092	+	0.000	0.000	Merged-chr2-84351030-2
NR4406--MA0482.1.Gata4	chr2	102039327	102039337	-	0.000	0.000	Merged-chr2-102039537-38
NR6814--MA0482.1.Gata4	chr7	38071355	38071365	-	0.000	0.000	Merged-chr7-38071224-22
NR3983--MA0140.2.GATA1::TAL1	chr19	32998961	32998978	-	0.000	0.000	Merged-chr19-32999080-29
NR6795--MA0482.1.Gata4	chr7	30280499	30280509	-	0.000	0.000	Merged-chr7-30280528-94
NR5896--MA0037.3.GATA3	chr5	65832148	65832155	-	0.000	0.000	Merged-chr5-65832305-23
NR4125--MA0035.3.Gata1	chr2	32857712	32857722	+	0.000	0.000	Merged-chr2-32857854-19
NR2083--MA0766.1.GATA5	chr13	94966148	94966155	-	0.000	0.000	Merged-chr13-94966148-17
NR6262--MA0035.3.Gata1	chr6	54078339	54078349	-	0.000	0.000	Merged-chr6-54078374-21
NR5277--MA0037.3.GATA3	chr3	159505789	159505796	+	0.000	0.000	Merged-chr3-159505893-1
NR6804--MA0035.3.Gata1	chr7	30717421	30717431	+	0.000	0.000	Merged-chr7-30717543-30
NR1885--MA0036.3.GATA2	chr13	16020803	16020813	+	0.000	0.000	Merged-chr13-16020821-23
NR1843--MA0035.3.Gata1	chr12	117403955	117403965	-	0.000	0.000	Merged-chr12-117403786-38
NR1774--MA0037.3.GATA3	chr12	112606011	112606018	-	0.000	0.000	Merged-chr12-112605824-36
NR6490--MA0482.1.Gata4	chr6	122334235	122334245	-	0.000	0.000	Merged-chr6-122334221-7
NR2258--MA0766.1.GATA5	chr14	10445400	10445407	-	0.000	0.000	Merged-chr14-10445443-9
NR7175--MA1104.1.GATA6	chr8	27137211	27137223	-	0.000	0.000	Merged-chr8-27137178-38
NR3977--MA0037.3.GATA3	chr19	32998972	32998979	+	0.000	0.000	Merged-chr19-32999080-29
NR3674--MA0036.3.GATA2	chr18	35887840	35887850	+	0.000	0.000	Merged-chr18-35887802-1
NR6142--MA0482.1.Gata4	chr5	147063478	147063488	+	0.000	0.000	Merged-chr5-147063758-85
NR4733--MA0482.1.Gata4	chr2	172394058	172394068	+	0.000	0.000	Merged-chr2-172393836-103
NR3629--MA0037.3.GATA3	chr18	6484970	6484977	-	0.000	0.000	Merged-chr18-6484878-33
NR204--MA0035.3.Gata1	chr1	88578422	88578432	-	0.000	0.000	Merged-chr1-88578300-28
NR381--MA0140.2.GATA1::TAL1	chr1	138449387	138449404	+	0.000	0.000	Merged-chr1-138449346-9
NR3215--MA0037.3.GATA3	chr16	66086702	66086709	-	0.000	0.000	Merged-chr16-66086640-17
NR5811--MA0482.1.Gata4	chr5	30887490	30887500	-	0.000	0.000	Merged-chr5-30887642-12
NR4494--MA0036.3.GATA2	chr2	125214597	125214607	+	0.000	0.000	Merged-chr2-125214795-24
NR2961--MA0037.3.GATA3	chr16	8640134	8640141	+	0.000	0.000	Merged-chr16-8639905-53
NR3726--MA0140.2.GATA1::TAL1	chr18	56504815	56504832	-	0.000	0.000	Merged-chr18-56504783-42
NR1098--MA0482.1.Gata4	chr11	11836941	11836951	+	0.000	0.000	Merged-chr11-11837020-26
NR658--MA1104.1.GATA6	chr10	12993573	12993585	-	0.000	0.000	Merged-chr10-12993694-35
NR2103--MA1104.1.GATA6	chr13	100201824	100201836	-	0.000	0.000	Merged-chr13-100202015-43
NR3544--MA0036.3.GATA2	chr17	71491183	71491193	+	0.000	0.000	Merged-chr17-71491103-50
NR6493--MA0035.3.Gata1	chr6	122334236	122334246	-	0.000	0.000	Merged-chr6-122334221-7
NR2718--MA0482.1.Gata4	chr15	25673749	25673759	+	0.000	0.000	Merged-chr15-25673661-24
NR116--MA0036.3.GATA2	chr1	74726884	74726894	+	0.000	0.000	Merged-chr1-74726770-27
NR5910--MA0035.3.Gata1	chr5	71903683	71903693	+	0.000	0.000	Merged-chr5-71903621-28
NR7250--MA0037.3.GATA3	chr8	64935135	64935142	-	0.000	0.000	Merged-chr8-64935114-22
NR4855--MA0482.1.Gata4	chr3	55115681	55115691	+	0.000	0.000	Merged-chr3-55115739-6
NR3956--MA0037.3.GATA3	chr19	29418706	29418713	-	0.000	0.000	Merged-chr19-29418635-70
NR4736--MA0035.3.Gata1	chr2	172394057	172394067	+	0.000	0.000	Merged-chr2-172393836-103
NR7470--MA0036.3.GATA2	chr9	7576785	7576795	-	0.000	0.000	Merged-chr9-7576753-19
NR5200--MA0766.1.GATA5	chr3	143977280	143977287	+	0.000	0.000	Merged-chr3-143977087-2
NR849--MA0035.3.Gata1	chr10	79937303	79937313	+	0.000	0.000	Merged-chr10-79937148-47
NR6823--MA1104.1.GATA6	chr7	43894804	43894816	-	0.000	0.000	Merged-chr7-43894981-37
NR1192--MA0036.3.GATA2	chr11	58643560	58643570	+	0.000	0.000	Merged-chr11-58643569-22
NR4478--MA0035.3.Gata1	chr2	121457052	121457062	+	0.000	0.000	Merged-chr2-121457132-54
NR2132--MA0035.3.Gata1	chr13	104041413	104041423	+	0.000	0.000	Merged-chr13-104041328-31
NR1996--MA0766.1.GATA5	chr13	61788293	61788300	-	0.000	0.000	Merged-chr13-61788395-14
NR4919--MA0036.3.GATA2	chr3	69177418	69177428	+	0.000	0.000	Merged-chr3-69177555-55
NR6886--MA0035.3.Gata1	chr7	78583902	78583912	-	0.000	0.000	Merged-chr7-78583930-15
NR6928--MA0482.1.Gata4	chr7	89841971	89841981	-	0.000	0.000	Merged-chr7-89842093-31
NR4977--MA0482.1.Gata4	chr3	95666283	95666293	+	0.000	0.000	Merged-chr3-95666288-23
NR7168--MA0140.2.GATA1::TAL1	chr8	25017191	25017208	-	0.000	0.000	Merged-chr8-25017163-89
NR3980--MA0036.3.GATA2	chr19	32998970	32998980	-	0.000	0.000	Merged-chr19-32999080-29
NR6166--MA0036.3.GATA2	chr5	151416829	151416839	+	0.000	0.000	Merged-chr5-151416725-1
NR746--MA1104.1.GATA6	chr10	39764910	39764922	-	0.000	0.000	Merged-chr10-39764888-24
NR7940--MA0482.1.Gata4	chrX	37110341	37110351	-	0.000	0.000	Merged-chrX-37110282-56
NR1113--MA0037.3.GATA3	chr11	23754518	23754525	+	0.000	0.000	Merged-chr11-23754497-34
NR4082--MA0766.1.GATA5	chr2	19320161	19320168	-	0.000	0.000	Merged-chr2-19320316-15
NR1757--MA0766.1.GATA5	chr12	107362207	107362214	+	0.000	0.000	Merged-chr12-107362270-34
NR4123--MA1104.1.GATA6	chr2	32857711	32857723	-	0.000	0.000	Merged-chr2-32857854-19
NR5835--MA0036.3.GATA2	chr5	36140703	36140713	+	0.000	0.000	Merged-chr5-36140594-4,Merged-chr5-36140888-1
NR5248--MA0037.3.GATA3	chr3	152929753	152929760	-	0.000	0.000	Merged-chr3-152929727-94
NR2787--MA0482.1.Gata4	chr15	52900012	52900022	-	0.000	0.000	Merged-chr15-52899831-78
NR1585--MA0036.3.GATA2	chr12	73598432	73598442	+	0.000	0.000	Merged-chr12-73598343-51
NR6208--MA0766.1.GATA5	chr6	29279099	29279106	+	0.000	0.000	Merged-chr6-29279043-26
NR1570--MA1104.1.GATA6	chr12	69446042	69446054	+	0.000	0.000	Merged-chr12-69446107-1
NR4324--MA0482.1.Gata4	chr2	84016491	84016501	+	0.000	0.000	Merged-chr2-84016424-23
NR3154--MA0037.3.GATA3	chr16	57319940	57319947	+	0.000	0.000	Merged-chr16-57319907-20
NR2025--MA0482.1.Gata4	chr13	66991736	66991746	-	0.000	0.000	Merged-chr13-66991703-16
NR1110--MA0140.2.GATA1::TAL1	chr11	22843008	22843025	-	0.000	0.000	Merged-chr11-22842852-10
NR3630--MA1104.1.GATA6	chr18	6484968	6484980	-	0.000	0.000	Merged-chr18-6484878-33
NR70--MA0766.1.GATA5	chr1	43457247	43457254	-	0.000	0.000	Merged-chr1-43457148-27
NR7289--MA0037.3.GATA3	chr8	81695137	81695144	-	0.000	0.000	Merged-chr8-81695130-10
NR1432--MA0140.2.GATA1::TAL1	chr11	117334306	117334323	-	0.000	0.000	Merged-chr11-117334271-49
NR3859--MA0140.2.GATA1::TAL1	chr18	83740741	83740758	-	0.000	0.000	Merged-chr18-83740717-24
NR1235--MA0037.3.GATA3	chr11	69991098	69991105	-	0.000	0.000	Merged-chr11-69991335-71
NR1506--MA0037.3.GATA3	chr12	40427691	40427698	+	0.000	0.000	Merged-chr12-40427719-34
NR546--MA0482.1.Gata4	chr1	176877892	176877902	+	0.000	0.000	Merged-chr1-176877943-17
NR6796--MA1104.1.GATA6	chr7	30280499	30280511	+	0.000	0.000	Merged-chr7-30280528-94
NR4337--MA0482.1.Gata4	chr2	84868763	84868773	+	0.000	0.000	Merged-chr2-84868738-21
NR1931--MA0036.3.GATA2	chr13	43191921	43191931	+	0.000	0.000	Merged-chr13-43191968-21
NR3861--MA0140.2.GATA1::TAL1	chr18	84911834	84911851	+	0.000	0.000	Merged-chr18-84911932-15
NR7255--MA0037.3.GATA3	chr8	69168494	69168501	+	0.000	0.000	Merged-chr8-69168549-18
NR3592--MA0036.3.GATA2	chr17	84241679	84241689	+	0.000	0.000	Merged-chr17-84241728-6
NR6060--MA0482.1.Gata4	chr5	114681319	114681329	-	0.000	0.000	Merged-chr5-114681129-21
NR4379--MA0766.1.GATA5	chr2	92192029	92192036	+	0.000	0.000	Merged-chr2-92192158-30
NR7690--MA0766.1.GATA5	chr9	78024981	78024988	-	0.000	0.000	Merged-chr9-78024957-31
NR2033--MA0766.1.GATA5	chr13	67332557	67332564	+	0.000	0.000	Merged-chr13-67332541-54
NR5227--MA0037.3.GATA3	chr3	146776675	146776682	+	0.000	0.000	Merged-chr3-146776816-2
NR7823--MA0482.1.Gata4	chr9	102867021	102867031	-	0.000	0.000	Merged-chr9-102867048-29
NR1820--MA1104.1.GATA6	chr12	116177226	116177238	-	0.000	0.000	Merged-chr12-116177118-24
NR5610--MA0035.3.Gata1	chr4	132783978	132783988	-	0.000	0.000	Merged-chr4-132783946-19
NR6143--MA1104.1.GATA6	chr5	147063476	147063488	-	0.000	0.000	Merged-chr5-147063758-85
NR4734--MA1104.1.GATA6	chr2	172394056	172394068	-	0.000	0.000	Merged-chr2-172393836-103
NR3991--MA0140.2.GATA1::TAL1	chr19	40477853	40477870	+	0.000	0.000	Merged-chr19-40477844-34
NR4196--MA0140.2.GATA1::TAL1	chr2	49335422	49335439	+	0.000	0.000	Merged-chr2-49335380-1
NR1335--MA0766.1.GATA5	chr11	98783304	98783311	+	0.000	0.000	Merged-chr11-98783373-52
NR5812--MA1104.1.GATA6	chr5	30887490	30887502	+	0.000	0.000	Merged-chr5-30887642-12
NR7831--MA0766.1.GATA5	chr9	103426520	103426527	+	0.000	0.000	Merged-chr9-103426550-25
NR4045--MA0482.1.Gata4	chr2	13011573	13011583	-	0.000	0.000	Merged-chr2-13011599-3
