#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR6232--MA0482.1.Gata4	chr6	140357779	140357789	-	0.000	0.000	Merged-chr6-140357700-50
NR1941--MA0036.3.GATA2	chr13	73505474	73505484	-	0.000	0.000	Merged-chr13-73505560-1
NR4071--MA0766.1.GATA5	chr2	92192029	92192036	+	0.000	0.000	Merged-chr2-92192158-30
NR6094--MA0035.3.Gata1	chr6	117166983	117166993	-	0.000	0.000	Merged-chr6-117167105-10
NR3143--MA1104.1.GATA6	chr17	26532842	26532854	+	0.000	0.000	Merged-chr17-26532798-20
NR1880--MA0035.3.Gata1	chr13	43191921	43191931	+	0.000	0.000	Merged-chr13-43191968-21
NR5617--MA1104.1.GATA6	chr5	96201944	96201956	-	0.000	0.000	Merged-chr5-96201907-44
NR7483--MA1104.1.GATA6	chr9	112186685	112186697	-	0.000	0.000	Merged-chr9-112186441-37
NR825--MA0036.3.GATA2	chr10	96201432	96201442	-	0.000	0.000	Merged-chr10-96201472-66
NR5726--MA1104.1.GATA6	chr5	123132810	123132822	-	0.000	0.000	Merged-chr5-123132961-7
NR6306--MA0766.1.GATA5	chr7	19086251	19086258	+	0.000	0.000	Merged-chr7-19086207-16
NR1224--MA1104.1.GATA6	chr11	86436896	86436908	+	0.000	0.000	Merged-chr11-86436948-18
NR7479--MA0482.1.Gata4	chr9	112174907	112174917	-	0.000	0.000	Merged-chr9-112174843-101
NR2441--MA0140.2.GATA1::TAL1	chr14	103017227	103017244	-	0.000	0.000	Merged-chr14-103017290-44
NR7406--MA0037.3.GATA3	chr9	95113475	95113482	-	0.000	0.000	Merged-chr9-95113538-34
NR350--MA0035.3.Gata1	chr1	153847115	153847125	-	0.000	0.000	Merged-chr1-153847127-37
NR714--MA1104.1.GATA6	chr10	59392115	59392127	-	0.000	0.000	Merged-chr10-59392092-23
NR7198--MA0035.3.Gata1	chr9	41118250	41118260	-	0.000	0.000	Merged-chr9-41118206-38
NR67--MA0035.3.Gata1	chr1	54421812	54421822	-	0.000	0.000	Merged-chr1-54421982-33
NR3628--MA0482.1.Gata4	chr19	11484712	11484722	-	0.000	0.000	Merged-chr19-11484539-38
NR6615--MA0035.3.Gata1	chr7	113419585	113419595	-	0.000	0.000	Merged-chr7-113419557-35
NR915--MA0482.1.Gata4	chr10	117836638	117836648	-	0.000	0.000	Merged-chr10-117836641-40
NR6894--MA1104.1.GATA6	chr8	57638198	57638210	+	0.000	0.000	Merged-chr8-57637972-56
NR7007--MA0140.2.GATA1::TAL1	chr8	113669781	113669798	-	0.000	0.000	Merged-chr8-113669969-10
NR6867--MA0035.3.Gata1	chr8	34164659	34164669	+	0.000	0.000	Merged-chr8-34164566-26
NR1410--MA0036.3.GATA2	chr12	17636827	17636837	+	0.000	0.000	Merged-chr12-17636836-5
NR6700--MA0482.1.Gata4	chr7	123108636	123108646	-	0.000	0.000	Merged-chr7-123108481-68
NR727--MA1104.1.GATA6	chr10	59431032	59431044	+	0.000	0.000	Merged-chr10-59431050-41
NR1438--MA0482.1.Gata4	chr12	32183055	32183065	+	0.000	0.000	Merged-chr12-32183013-17
NR7608--MA0140.2.GATA1::TAL1	chrX	73921980	73921997	-	0.000	0.000	Merged-chrX-73921958-51
NR2745--MA0035.3.Gata1	chr16	11526689	11526699	-	0.000	0.000	Merged-chr16-11526520-43
NR3231--MA0037.3.GATA3	chr17	62784084	62784091	-	0.000	0.000	Merged-chr17-62784192-42
NR1276--MA0482.1.Gata4	chr11	98497545	98497555	+	0.000	0.000	Merged-chr11-98497586-22
NR4382--MA0482.1.Gata4	chr2	152789711	152789721	-	0.000	0.000	Merged-chr2-152789536-78
NR4263--MA0035.3.Gata1	chr2	129385621	129385631	+	0.000	0.000	Merged-chr2-129385556-29
NR6868--MA0140.2.GATA1::TAL1	chr8	34164661	34164678	+	0.000	0.000	Merged-chr8-34164566-26
NR2676--MA1104.1.GATA6	chr15	91616639	91616651	+	0.000	0.000	Merged-chr15-91616695-12
NR3722--MA0036.3.GATA2	chr19	40477466	40477476	-	0.000	0.000	Merged-chr19-40477377-1
NR4510--MA0482.1.Gata4	chr3	19305553	19305563	+	0.000	0.000	Merged-chr3-19305697-23
NR918--MA0035.3.Gata1	chr10	117836639	117836649	-	0.000	0.000	Merged-chr10-117836641-40
NR1981--MA0035.3.Gata1	chr13	85505144	85505154	+	0.000	0.000	Merged-chr13-85505133-53
NR7127--MA1104.1.GATA6	chr9	5311520	5311532	-	0.000	0.000	Merged-chr9-5311572-34
NR717--MA0140.2.GATA1::TAL1	chr10	59392118	59392135	+	0.000	0.000	Merged-chr10-59392092-23
NR4271--MA0036.3.GATA2	chr2	132131371	132131381	-	0.000	0.000	Merged-chr2-132131548-24
NR1037--MA0482.1.Gata4	chr11	11836982	11836992	+	0.000	0.000	Merged-chr11-11837020-26
NR2001--MA0766.1.GATA5	chr13	90930170	90930177	-	0.000	0.000	Merged-chr13-90930019-46
NR1289--MA0482.1.Gata4	chr11	101604893	101604903	+	0.000	0.000	Merged-chr11-101604778-40
NR2243--MA0036.3.GATA2	chr14	27384253	27384263	+	0.000	0.000	Merged-chr14-27384235-54
NR5923--MA0037.3.GATA3	chr6	71962928	71962935	+	0.000	0.000	Merged-chr6-71962835-53
NR7507--MA1104.1.GATA6	chr9	116138611	116138623	-	0.000	0.000	Merged-chr9-116138726-20
NR317--MA0766.1.GATA5	chr1	149758506	149758513	-	0.000	0.000	Merged-chr1-149758666-31
NR3873--MA0140.2.GATA1::TAL1	chr2	25111314	25111331	+	0.000	0.000	Merged-chr2-25111409-51
NR4506--MA0140.2.GATA1::TAL1	chr3	10212220	10212237	-	0.000	0.000	Merged-chr3-10212114-17
NR5980--MA0140.2.GATA1::TAL1	chr6	90782576	90782593	-	0.000	0.000	Merged-chr6-90782586-39
NR5500--MA0766.1.GATA5	chr5	63768124	63768131	-	0.000	0.000	Merged-chr5-63767981-25
NR6201--MA0036.3.GATA2	chr6	134189984	134189994	-	0.000	0.000	Merged-chr6-134189868-22
NR331--MA0482.1.Gata4	chr1	151346963	151346973	+	0.000	0.000	Merged-chr1-151346878-17
NR6006--MA0766.1.GATA5	chr6	97523241	97523248	-	0.000	0.000	Merged-chr6-97523334-26
NR2171--MA0482.1.Gata4	chr13	113639035	113639045	+	0.000	0.000	Merged-chr13-113639155-24
NR777--MA0036.3.GATA2	chr10	81137368	81137378	+	0.000	0.000	Merged-chr10-81137276-7
NR762--MA1104.1.GATA6	chr10	75417897	75417909	-	0.000	0.000	Merged-chr10-75417748-37
NR193--MA0035.3.Gata1	chr1	94035512	94035522	+	0.000	0.000	Merged-chr1-94035484-87
NR828--MA1104.1.GATA6	chr10	96204409	96204421	-	0.000	0.000	Merged-chr10-96204406-28
NR6233--MA1104.1.GATA6	chr6	140357779	140357791	+	0.000	0.000	Merged-chr6-140357700-50
NR2888--MA0036.3.GATA2	chr16	56800671	56800681	+	0.000	0.000	Merged-chr16-56800625-33
NR742--MA0140.2.GATA1::TAL1	chr10	62590405	62590422	+	0.000	0.000	Merged-chr10-62590420-43
NR2017--MA0036.3.GATA2	chr13	94966147	94966157	+	0.000	0.000	Merged-chr13-94966148-17
NR510--MA0037.3.GATA3	chr1	179169880	179169887	-	0.000	0.000	Merged-chr1-179169843-56
NR6705--MA0482.1.Gata4	chr7	123378038	123378048	+	0.000	0.000	Merged-chr7-123378098-56
NR4391--MA1104.1.GATA6	chr2	154797063	154797075	+	0.000	0.000	Merged-chr2-154797130-17
NR3379--MA0037.3.GATA3	chr18	38700838	38700845	-	0.000	0.000	Merged-chr18-38700911-27
NR4544--MA0766.1.GATA5	chr3	37483951	37483958	+	0.000	0.000	Merged-chr3-37484009-38
NR2235--MA0036.3.GATA2	chr14	20938524	20938534	-	0.000	0.000	Merged-chr14-20938430-1
NR6609--MA0482.1.Gata4	chr7	113263190	113263200	+	0.000	0.000	Merged-chr7-113263148-32
NR4658--MA0482.1.Gata4	chr3	96814563	96814573	+	0.000	0.000	Merged-chr3-96814496-20
NR2564--MA0482.1.Gata4	chr15	52900012	52900022	-	0.000	0.000	Merged-chr15-52899831-78
NR2174--MA0035.3.Gata1	chr13	113639034	113639044	+	0.000	0.000	Merged-chr13-113639155-24
NR884--MA1104.1.GATA6	chr10	111583204	111583216	+	0.000	0.000	Merged-chr10-111583294-13
NR4771--MA0037.3.GATA3	chr3	132791516	132791523	+	0.000	0.000	Merged-chr3-132791387-40
NR4547--MA0036.3.GATA2	chr3	37738509	37738519	-	0.000	0.000	Merged-chr3-37738517-40
NR2867--MA0036.3.GATA2	chr16	50839801	50839811	+	0.000	0.000	Merged-chr16-50839866-11
NR1843--MA0035.3.Gata1	chr13	32411685	32411695	-	0.000	0.000	Merged-chr13-32411761-17
NR4505--MA0035.3.Gata1	chr3	10151661	10151671	-	0.000	0.000	Merged-chr3-10151750-17
NR7611--MA0035.3.Gata1	chrX	75475363	75475373	+	0.000	0.000	Merged-chrX-75475461-22
NR2600--MA0037.3.GATA3	chr15	72928859	72928866	+	0.000	0.000	Merged-chr15-72929064-48
NR4210--MA0482.1.Gata4	chr2	121457053	121457063	+	0.000	0.000	Merged-chr2-121457132-54
NR3674--MA0036.3.GATA2	chr19	29418705	29418715	+	0.000	0.000	Merged-chr19-29418635-70
NR1994--MA0036.3.GATA2	chr13	89889162	89889172	+	0.000	0.000	Merged-chr13-89889254-28
NR916--MA1104.1.GATA6	chr10	117836638	117836650	+	0.000	0.000	Merged-chr10-117836641-40
NR4072--MA0035.3.Gata1	chr2	92192027	92192037	-	0.000	0.000	Merged-chr2-92192158-30
NR4528--MA0482.1.Gata4	chr3	33956364	33956374	-	0.000	0.000	Merged-chr3-33956471-94
NR2086--MA0036.3.GATA2	chr13	102875200	102875210	-	0.000	0.000	Merged-chr13-102875123-19
NR2163--MA0482.1.Gata4	chr13	113211433	113211443	+	0.000	0.000	Merged-chr13-113211561-35
NR1439--MA1104.1.GATA6	chr12	32183053	32183065	-	0.000	0.000	Merged-chr12-32183013-17
NR2567--MA0035.3.Gata1	chr15	52900013	52900023	-	0.000	0.000	Merged-chr15-52899831-78
NR1442--MA0035.3.Gata1	chr12	32183054	32183064	+	0.000	0.000	Merged-chr12-32183013-17
NR6426--MA0482.1.Gata4	chr7	65705269	65705279	-	0.000	0.000	Merged-chr7-65705151-59
NR4383--MA1104.1.GATA6	chr2	152789711	152789723	+	0.000	0.000	Merged-chr2-152789536-78
NR2795--MA0482.1.Gata4	chr16	24151675	24151685	-	0.000	0.000	Merged-chr16-24151708-115
NR6307--MA0035.3.Gata1	chr7	19086249	19086259	-	0.000	0.000	Merged-chr7-19086207-16
NR3847--MA0037.3.GATA3	chr2	19320161	19320168	-	0.000	0.000	Merged-chr2-19320316-15
NR2381--MA0482.1.Gata4	chr14	79331456	79331466	-	0.000	0.000	Merged-chr14-79331457-66
NR2176--MA0482.1.Gata4	chr13	113639071	113639081	+	0.000	0.000	Merged-chr13-113639155-24
NR1086--MA0140.2.GATA1::TAL1	chr11	44520215	44520232	+	0.000	0.000	Merged-chr11-44520256-56
NR3663--MA0766.1.GATA5	chr19	29067134	29067141	-	0.000	0.000	Merged-chr19-29067288-42
NR6315--MA0036.3.GATA2	chr7	19332940	19332950	+	0.000	0.000	Merged-chr7-19332998-44
NR1038--MA1104.1.GATA6	chr11	11836980	11836992	-	0.000	0.000	Merged-chr11-11837020-26
NR2166--MA0035.3.Gata1	chr13	113211432	113211442	+	0.000	0.000	Merged-chr13-113211561-35
NR2336--MA0036.3.GATA2	chr14	62342732	62342742	-	0.000	0.000	Merged-chr14-62342844-35
NR7190--MA0140.2.GATA1::TAL1	chr9	40616637	40616654	+	0.000	0.000	Merged-chr9-40616605-15
NR1887--MA0766.1.GATA5	chr13	49188131	49188138	+	0.000	0.000	Merged-chr13-49188113-1
NR4385--MA0140.2.GATA1::TAL1	chr2	152789703	152789720	-	0.000	0.000	Merged-chr2-152789536-78
NR1540--MA0482.1.Gata4	chr12	82175887	82175897	+	0.000	0.000	Merged-chr12-82175969-10
NR6429--MA0035.3.Gata1	chr7	65705270	65705280	-	0.000	0.000	Merged-chr7-65705151-59
NR3871--MA0036.3.GATA2	chr2	25111312	25111322	+	0.000	0.000	Merged-chr2-25111409-51
NR6089--MA0037.3.GATA3	chr6	117166985	117166992	+	0.000	0.000	Merged-chr6-117167105-10
NR1258--MA0140.2.GATA1::TAL1	chr11	96830003	96830020	-	0.000	0.000	Merged-chr11-96830081-68
NR4633--MA1104.1.GATA6	chr3	87487990	87488002	-	0.000	0.000	Merged-chr3-87488125-17
NR5018--MA0140.2.GATA1::TAL1	chr4	33189444	33189461	+	0.000	0.000	Merged-chr4-33189254-36
NR5880--MA0482.1.Gata4	chr6	54368222	54368232	-	0.000	0.000	Merged-chr6-54368259-25
NR4427--MA0140.2.GATA1::TAL1	chr2	165884803	165884820	+	0.000	0.000	Merged-chr2-165884678-116
NR1530--MA0035.3.Gata1	chr12	76527617	76527627	-	0.000	0.000	Merged-chr12-76527633-28
NR5660--MA0036.3.GATA2	chr5	105699708	105699718	-	0.000	0.000	Merged-chr5-105699890-8
NR3141--MA0037.3.GATA3	chr17	26532845	26532852	+	0.000	0.000	Merged-chr17-26532798-20
NR567--MA0482.1.Gata4	chr1	191391470	191391480	+	0.000	0.000	Merged-chr1-191391579-39
NR4757--MA0036.3.GATA2	chr3	127759488	127759498	+	0.000	0.000	Merged-chr3-127759429-25
NR6309--MA0482.1.Gata4	chr7	19093680	19093690	+	0.000	0.000	Merged-chr7-19093740-100
NR4537--MA1104.1.GATA6	chr3	37456364	37456376	-	0.000	0.000	Merged-chr3-37456289-20
NR5619--MA0140.2.GATA1::TAL1	chr5	96219689	96219706	-	0.000	0.000	Merged-chr5-96219655-31
NR6033--MA0766.1.GATA5	chr6	98843188	98843195	-	0.000	0.000	Merged-chr6-98843089-22
NR332--MA1104.1.GATA6	chr1	151346961	151346973	-	0.000	0.000	Merged-chr1-151346878-17
NR4419--MA0766.1.GATA5	chr2	163102176	163102183	-	0.000	0.000	Merged-chr2-163102101-1
NR2172--MA1104.1.GATA6	chr13	113639033	113639045	-	0.000	0.000	Merged-chr13-113639155-24
NR3316--MA0037.3.GATA3	chr17	84633653	84633660	-	0.000	0.000	Merged-chr17-84633706-27
NR6147--MA0482.1.Gata4	chr6	128001278	128001288	+	0.000	0.000	Merged-chr6-128001424-1
NR1020--MA0035.3.Gata1	chr11	6701479	6701489	+	0.000	0.000	Merged-chr11-6701596-23
NR1543--MA0035.3.Gata1	chr12	82175886	82175896	+	0.000	0.000	Merged-chr12-82175969-10
NR5673--MA0036.3.GATA2	chr5	107978461	107978471	-	0.000	0.000	Merged-chr5-107978348-39
NR1171--MA0036.3.GATA2	chr11	64899064	64899074	+	0.000	0.000	Merged-chr11-64899021-36
NR1723--MA0766.1.GATA5	chr12	116177228	116177235	-	0.000	0.000	Merged-chr12-116177118-24
NR6461--MA0482.1.Gata4	chr7	79728348	79728358	+	0.000	0.000	Merged-chr7-79728407-21
NR6706--MA1104.1.GATA6	chr7	123378036	123378048	-	0.000	0.000	Merged-chr7-123378098-56
NR1110--MA0140.2.GATA1::TAL1	chr11	52294238	52294255	+	0.000	0.000	Merged-chr11-52294354-37
NR318--MA0035.3.Gata1	chr1	149758505	149758515	+	0.000	0.000	Merged-chr1-149758666-31
NR5792--MA0766.1.GATA5	chr5	147063478	147063485	-	0.000	0.000	Merged-chr5-147063758-85
NR3329--MA0037.3.GATA3	chr18	6484970	6484977	-	0.000	0.000	Merged-chr18-6484878-33
NR3764--MA0766.1.GATA5	chr19	57079576	57079583	+	0.000	0.000	Merged-chr19-57079445-11
NR6892--MA0037.3.GATA3	chr8	57638201	57638208	+	0.000	0.000	Merged-chr8-57637972-56
NR1879--MA0766.1.GATA5	chr13	43191941	43191948	-	0.000	0.000	Merged-chr13-43191968-21
NR5121--MA0035.3.Gata1	chr4	86725381	86725391	-	0.000	0.000	Merged-chr4-86725378-12
NR5118--MA0037.3.GATA3	chr4	86725372	86725379	-	0.000	0.000	Merged-chr4-86725378-12
NR2565--MA1104.1.GATA6	chr15	52900012	52900024	+	0.000	0.000	Merged-chr15-52899831-78
NR3964--MA0035.3.Gata1	chr2	59534487	59534497	+	0.000	0.000	Merged-chr2-59534510-22
NR4589--MA0482.1.Gata4	chr3	69177419	69177429	+	0.000	0.000	Merged-chr3-69177555-55
NR725--MA0037.3.GATA3	chr10	59431035	59431042	+	0.000	0.000	Merged-chr10-59431050-41
NR1884--MA0140.2.GATA1::TAL1	chr13	48978300	48978317	-	0.000	0.000	Merged-chr13-48978131-34
NR5501--MA0035.3.Gata1	chr5	63768123	63768133	+	0.000	0.000	Merged-chr5-63767981-25
NR6007--MA0035.3.Gata1	chr6	97523240	97523250	+	0.000	0.000	Merged-chr6-97523334-26
NR2240--MA0140.2.GATA1::TAL1	chr14	26858506	26858523	+	0.000	0.000	Merged-chr14-26858524-14
NR2275--MA0036.3.GATA2	chr14	49155694	49155704	-	0.000	0.000	Merged-chr14-49155726-21
NR1251--MA0035.3.Gata1	chr11	95336986	95336996	-	0.000	0.000	Merged-chr11-95337203-127
NR4211--MA1104.1.GATA6	chr2	121457051	121457063	-	0.000	0.000	Merged-chr2-121457132-54
NR6092--MA0036.3.GATA2	chr6	117166983	117166993	-	0.000	0.000	Merged-chr6-117167105-10
NR1431--MA0766.1.GATA5	chr12	28699759	28699766	-	0.000	0.000	Merged-chr12-28699931-23
NR4529--MA1104.1.GATA6	chr3	33956364	33956376	+	0.000	0.000	Merged-chr3-33956471-94
NR349--MA0766.1.GATA5	chr1	153847117	153847124	+	0.000	0.000	Merged-chr1-153847127-37
NR5490--MA0036.3.GATA2	chr5	51853847	51853857	-	0.000	0.000	Merged-chr5-51853758-22
NR2164--MA1104.1.GATA6	chr13	113211431	113211443	-	0.000	0.000	Merged-chr13-113211561-35
NR4946--MA0140.2.GATA1::TAL1	chr3	152210480	152210497	-	0.000	0.000	Merged-chr3-152210438-105
NR7125--MA0037.3.GATA3	chr9	5311522	5311529	-	0.000	0.000	Merged-chr9-5311572-34
NR5152--MA0766.1.GATA5	chr4	95530936	95530943	+	0.000	0.000	Merged-chr4-95530923-13
NR1434--MA0036.3.GATA2	chr12	31997092	31997102	-	0.000	0.000	Merged-chr12-31997107-37
NR6453--MA0482.1.Gata4	chr7	78583901	78583911	-	0.000	0.000	Merged-chr7-78583930-15
NR7505--MA0037.3.GATA3	chr9	116138613	116138620	-	0.000	0.000	Merged-chr9-116138726-20
NR6427--MA1104.1.GATA6	chr7	65705269	65705281	+	0.000	0.000	Merged-chr7-65705151-59
NR5803--MA0766.1.GATA5	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR2796--MA1104.1.GATA6	chr16	24151675	24151687	+	0.000	0.000	Merged-chr16-24151708-115
NR4035--MA0035.3.Gata1	chr2	80324387	80324397	+	0.000	0.000	Merged-chr2-80324472-29
NR2177--MA1104.1.GATA6	chr13	113639069	113639081	-	0.000	0.000	Merged-chr13-113639155-24
NR1814--MA0036.3.GATA2	chr13	20094994	20095004	+	0.000	0.000	Merged-chr13-20095026-36
NR6291--MA0482.1.Gata4	chr7	6127302	6127312	+	0.000	0.000	Merged-chr7-6127268-44
NR2060--MA0482.1.Gata4	chr13	101694724	101694734	-	0.000	0.000	Merged-chr13-101694673-130
NR2007--MA0035.3.Gata1	chr13	91769172	91769182	-	0.000	0.000	Merged-chr13-91769088-25
NR5044--MA0037.3.GATA3	chr4	53384822	53384829	-	0.000	0.000	Merged-chr4-53384912-31
NR1652--MA0036.3.GATA2	chr12	104069808	104069818	-	0.000	0.000	Merged-chr12-104069872-17
NR5841--MA0035.3.Gata1	chr6	37455628	37455638	-	0.000	0.000	Merged-chr6-37455816-24
NR5274--MA0766.1.GATA5	chr4	133879300	133879307	-	0.000	0.000	Merged-chr4-133879423-50
NR5787--MA0036.3.GATA2	chr5	146897120	146897130	+	0.000	0.000	Merged-chr5-146897155-34
NR2000--MA1104.1.GATA6	chr13	90930168	90930180	-	0.000	0.000	Merged-chr13-90930019-46
NR1541--MA1104.1.GATA6	chr12	82175885	82175897	-	0.000	0.000	Merged-chr12-82175969-10
NR1243--MA0035.3.Gata1	chr11	90488275	90488285	+	0.000	0.000	Merged-chr11-90488376-19
NR6231--MA0037.3.GATA3	chr6	140357782	140357789	+	0.000	0.000	Merged-chr6-140357700-50
NR1094--MA0140.2.GATA1::TAL1	chr11	46389549	46389566	+	0.000	0.000	Merged-chr11-46389577-59
NR1885--MA0482.1.Gata4	chr13	49188128	49188138	-	0.000	0.000	Merged-chr13-49188113-1
NR1844--MA0140.2.GATA1::TAL1	chr13	32829109	32829126	+	0.000	0.000	Merged-chr13-32829119-10
NR3330--MA1104.1.GATA6	chr18	6484968	6484980	-	0.000	0.000	Merged-chr18-6484878-33
