#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR9402--MA0002.2.RUNX1	chr9	121642794	121642804	-	0.000	0.000	Merged-chr9-121642625-86
NR9482--MA0511.2.RUNX2	chrX	59508506	59508514	-	0.000	0.000	Merged-chrX-59508552-38
NR3763--MA0684.1.RUNX3	chr16	49818780	49818789	+	0.000	0.000	Merged-chr16-49818889-55
NR921--MA0002.2.RUNX1	chr10	23812342	23812352	-	0.000	0.000	Merged-chr10-23812313-29
NR8943--MA0002.2.RUNX1	chr8	127815059	127815069	-	0.000	0.000	Merged-chr8-127815081-25
NR7868--MA0511.2.RUNX2	chr6	120957519	120957527	-	0.000	0.000	Merged-chr6-120957473-22
NR3366--MA0511.2.RUNX2	chr15	50841965	50841973	+	0.000	0.000	Merged-chr15-50841998-15
NR3637--MA0511.2.RUNX2	chr16	17619473	17619481	-	0.000	0.000	Merged-chr16-17619453-35
NR5300--MA0684.1.RUNX3	chr2	112510301	112510310	-	0.000	0.000	Merged-chr2-112510265-49
NR7769--MA0002.2.RUNX1	chr6	100072752	100072762	+	0.000	0.000	Merged-chr6-100072784-7
NR3267--MA0002.2.RUNX1	chr15	27596891	27596901	+	0.000	0.000	Merged-chr15-27596992-56
NR697--MA0002.2.RUNX1	chr1	177532840	177532850	-	0.000	0.000	Merged-chr1-177532869-13
NR3538--MA0002.2.RUNX1	chr15	93563705	93563715	-	0.000	0.000	Merged-chr15-93563752-30
NR4964--MA0002.2.RUNX1	chr2	21222924	21222934	-	0.000	0.000	Merged-chr2-21222970-39
NR2049--MA0511.2.RUNX2	chr12	86047582	86047590	-	0.000	0.000	Merged-chr12-86047582-19
NR9558--MA0002.2.RUNX1	chrX	140505997	140506007	+	0.000	0.000	Merged-chrX-140506133-71
NR9514--MA0511.2.RUNX2	chrX	85839395	85839403	+	0.000	0.000	Merged-chrX-85839388-40
NR7193--MA0002.2.RUNX1	chr5	98016941	98016951	-	0.000	0.000	Merged-chr5-98016849-63
NR7420--MA0511.2.RUNX2	chr6	8068567	8068575	+	0.000	0.000	Merged-chr6-8068549-6
NR8956--MA0002.2.RUNX1	chr9	7830106	7830116	+	0.000	0.000	Merged-chr9-7830026-47
NR1348--MA0002.2.RUNX1	chr11	3298594	3298604	+	0.000	0.000	Merged-chr11-3298569-4
NR4725--MA0002.2.RUNX1	chr18	84851321	84851331	+	0.000	0.000	Merged-chr18-84851440-69
NR1205--MA0002.2.RUNX1	chr10	96481315	96481325	-	0.000	0.000	Merged-chr10-96481360-10
NR7516--MA0684.1.RUNX3	chr6	34277855	34277864	+	0.000	0.000	Merged-chr6-34277890-22
NR4563--MA0002.2.RUNX1	chr18	54722728	54722738	+	0.000	0.000	Merged-chr18-54722634-2
NR1208--MA0511.2.RUNX2	chr10	96609528	96609536	+	0.000	0.000	Merged-chr10-96609713-52
NR5545--MA0002.2.RUNX1	chr2	172390742	172390752	+	0.000	0.000	Merged-chr2-172390550-32
NR8922--MA0002.2.RUNX1	chr8	124242428	124242438	+	0.000	0.000	Merged-chr8-124242348-54
NR18--MA0684.1.RUNX3	chr1	7095994	7096003	-	0.000	0.000	Merged-chr1-7096130-35
NR5326--MA0684.1.RUNX3	chr2	118700448	118700457	+	0.000	0.000	Merged-chr2-118700490-41
NR410--MA0684.1.RUNX3	chr1	105435211	105435220	-	0.000	0.000	Merged-chr1-105435161-34
NR9365--MA0511.2.RUNX2	chr9	115387674	115387682	-	0.000	0.000	Merged-chr9-115387656-46
NR4880--MA0511.2.RUNX2	chr2	3810495	3810503	-	0.000	0.000	Merged-chr2-3810542-48
NR1076--MA0684.1.RUNX3	chr10	68147063	68147072	+	0.000	0.000	Merged-chr10-68147068-31
NR9123--MA0002.2.RUNX1	chr9	57861936	57861946	+	0.000	0.000	Merged-chr9-57862051-8
NR3007--MA0002.2.RUNX1	chr14	69979173	69979183	+	0.000	0.000	Merged-chr14-69979172-46
NR708--MA0002.2.RUNX1	chr1	179240818	179240828	-	0.000	0.000	Merged-chr1-179240877-38
NR993--MA0511.2.RUNX2	chr10	40469354	40469362	-	0.000	0.000	Merged-chr10-40469285-5
NR9375--MA0002.2.RUNX1	chr9	116329392	116329402	+	0.000	0.000	Merged-chr9-116329317-45
NR9602--MA0511.2.RUNX2	chrX	163908938	163908946	-	0.000	0.000	Merged-chrX-163909067-73
NR8521--MA0002.2.RUNX1	chr7	144907413	144907423	-	0.000	0.000	Merged-chr7-144907286-56
NR3259--MA0002.2.RUNX1	chr15	25828624	25828634	+	0.000	0.000	Merged-chr15-25828667-44
NR8650--MA0684.1.RUNX3	chr8	35628486	35628495	-	0.000	0.000	Merged-chr8-35628375-52
NR2690--MA0511.2.RUNX2	chr13	109190440	109190448	-	0.000	0.000	Merged-chr13-109190361-18
NR3196--MA0511.2.RUNX2	chr14	121846234	121846242	-	0.000	0.000	Merged-chr14-121846246-16
NR4542--MA0002.2.RUNX1	chr18	49721779	49721789	-	0.000	0.000	Merged-chr18-49721855-41
NR9279--MA0002.2.RUNX1	chr9	94621077	94621087	+	0.000	0.000	Merged-chr9-94620917-97
NR7284--MA0511.2.RUNX2	chr5	118601662	118601670	-	0.000	0.000	Merged-chr5-118601665-20
NR132--MA0002.2.RUNX1	chr1	39896692	39896702	+	0.000	0.000	Merged-chr1-39896761-43
NR5875--MA0511.2.RUNX2	chr3	75714111	75714119	+	0.000	0.000	Merged-chr3-75714014-36
NR9013--MA0684.1.RUNX3	chr9	22155686	22155695	-	0.000	0.000	Merged-chr9-22155812-33
NR10--MA0511.2.RUNX2	chr1	6467288	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR6997--MA0002.2.RUNX1	chr5	43837607	43837617	+	0.000	0.000	Merged-chr5-43837616-20
NR2971--MA0002.2.RUNX1	chr14	60072651	60072661	-	0.000	0.000	Merged-chr14-60072713-24
NR7108--MA0002.2.RUNX1	chr5	77096146	77096156	+	0.000	0.000	Merged-chr5-77096159-4
NR7393--MA0511.2.RUNX2	chr5	149080641	149080649	-	0.000	0.000	Merged-chr5-149080540-39
NR3477--MA0002.2.RUNX1	chr15	78516016	78516026	-	0.000	0.000	Merged-chr15-78515914-15
NR3704--MA0511.2.RUNX2	chr16	35741829	35741837	-	0.000	0.000	Merged-chr16-35741769-10
NR1449--MA0002.2.RUNX1	chr11	31824839	31824849	+	0.000	0.000	Merged-chr11-31824780-24
NR9497--MA0002.2.RUNX1	chrX	74393182	74393192	-	0.000	0.000	Merged-chrX-74393226-50
NR87--MA0684.1.RUNX3	chr1	24100192	24100201	+	0.000	0.000	Merged-chr1-24100239-49
NR4826--MA0002.2.RUNX1	chr19	34306975	34306985	-	0.000	0.000	Merged-chr19-34306924-50
NR5266--MA0002.2.RUNX1	chr2	101649592	101649602	-	0.000	0.000	Merged-chr2-101649593-1
NR6963--MA0002.2.RUNX1	chr5	34565878	34565888	-	0.000	0.000	Merged-chr5-34565807-6
NR3115--MA0684.1.RUNX3	chr14	105272269	105272278	+	0.000	0.000	Merged-chr14-105272291-16
NR8500--MA0002.2.RUNX1	chr7	140195062	140195072	+	0.000	0.000	Merged-chr7-140195109-1
NR2861--MA0684.1.RUNX3	chr14	20785459	20785468	+	0.000	0.000	Merged-chr14-20785376-56
NR4393--MA0002.2.RUNX1	chr17	88256245	88256255	-	0.000	0.000	Merged-chr17-88256193-58
NR7203--MA0684.1.RUNX3	chr5	100916620	100916629	+	0.000	0.000	Merged-chr5-100916697-39
NR8900--MA0684.1.RUNX3	chr8	119812443	119812452	+	0.000	0.000	Merged-chr8-119812593-113
NR3638--MA0684.1.RUNX3	chr16	17619472	17619481	-	0.000	0.000	Merged-chr16-17619453-35
NR8481--MA0002.2.RUNX1	chr7	132672698	132672708	-	0.000	0.000	Merged-chr7-132672749-42
NR1144--MA0002.2.RUNX1	chr10	84897547	84897557	-	0.000	0.000	Merged-chr10-84897526-62
NR3019--MA0684.1.RUNX3	chr14	73117173	73117182	+	0.000	0.000	Merged-chr14-73117167-52
NR7263--MA0511.2.RUNX2	chr5	113165187	113165195	+	0.000	0.000	Merged-chr5-113165071-16
NR1544--MA0684.1.RUNX3	chr11	58978065	58978074	-	0.000	0.000	Merged-chr11-58978003-101
NR3032--MA0511.2.RUNX2	chr14	75722247	75722255	+	0.000	0.000	Merged-chr14-75722251-22
NR5235--MA0511.2.RUNX2	chr2	84827250	84827258	-	0.000	0.000	Merged-chr2-84827189-69
NR7293--MA0684.1.RUNX3	chr5	120577171	120577180	+	0.000	0.000	Merged-chr5-120577035-13
NR985--MA0511.2.RUNX2	chr10	39600324	39600332	+	0.000	0.000	Merged-chr10-39600436-54
NR5013--MA0684.1.RUNX3	chr2	32047599	32047608	+	0.000	0.000	Merged-chr2-32047446-8
NR763--MA0684.1.RUNX3	chr1	189795638	189795647	-	0.000	0.000	Merged-chr1-189795440-7
NR5136--MA0002.2.RUNX1	chr2	59716653	59716663	+	0.000	0.000	Merged-chr2-59716624-17
NR4825--MA0684.1.RUNX3	chr19	33265323	33265332	-	0.000	0.000	Merged-chr19-33265390-26
NR4882--MA0002.2.RUNX1	chr2	3910639	3910649	-	0.000	0.000	Merged-chr2-3910596-12
NR472--MA0002.2.RUNX1	chr1	127830381	127830391	-	0.000	0.000	Merged-chr1-127830460-48
NR2854--MA0002.2.RUNX1	chr14	20503206	20503216	-	0.000	0.000	Merged-chr14-20503247-33
NR995--MA0002.2.RUNX1	chr10	41527300	41527310	+	0.000	0.000	Merged-chr10-41527362-17
NR1014--MA0002.2.RUNX1	chr10	53348547	53348557	+	0.000	0.000	Merged-chr10-53348557-41
NR6737--MA0002.2.RUNX1	chr4	136266854	136266864	+	0.000	0.000	Merged-chr4-136266898-41
NR4120--MA0002.2.RUNX1	chr17	22353017	22353027	+	0.000	0.000	Merged-chr17-22353026-21
NR1094--MA0511.2.RUNX2	chr10	71226073	71226081	-	0.000	0.000	Merged-chr10-71226142-30
NR9462--MA0684.1.RUNX3	chrX	48713031	48713040	-	0.000	0.000	Merged-chrX-48713049-46
NR3217--MA0002.2.RUNX1	chr15	5108552	5108562	+	0.000	0.000	Merged-chr15-5108448-64
NR5248--MA0511.2.RUNX2	chr2	91042847	91042855	+	0.000	0.000	Merged-chr2-91042928-59
NR1888--MA0511.2.RUNX2	chr12	36019763	36019771	-	0.000	0.000	Merged-chr12-36019766-41
NR3198--MA0002.2.RUNX1	chr14	122012007	122012017	-	0.000	0.000	Merged-chr14-122012077-50
NR2714--MA0511.2.RUNX2	chr13	112355216	112355224	-	0.000	0.000	Merged-chr13-112355130-25
NR8983--MA0002.2.RUNX1	chr9	13973828	13973838	-	0.000	0.000	Merged-chr9-13973849-7
NR4900--MA0684.1.RUNX3	chr2	9689686	9689695	-	0.000	0.000	Merged-chr2-9689730-31
NR5135--MA0684.1.RUNX3	chr2	59716627	59716636	-	0.000	0.000	Merged-chr2-59716624-17
NR8840--MA0002.2.RUNX1	chr8	109595866	109595876	+	0.000	0.000	Merged-chr8-109596037-26
NR4133--MA0002.2.RUNX1	chr17	25584077	25584087	+	0.000	0.000	Merged-chr17-25583989-33
NR2724--MA0002.2.RUNX1	chr13	113693580	113693590	-	0.000	0.000	Merged-chr13-113693609-26
NR808--MA0684.1.RUNX3	chr10	7005413	7005422	+	0.000	0.000	Merged-chr10-7005430-4
NR8887--MA0002.2.RUNX1	chr8	117776355	117776365	+	0.000	0.000	Merged-chr8-117776265-26
NR6793--MA0002.2.RUNX1	chr4	148102320	148102330	+	0.000	0.000	Merged-chr4-148102321-24
NR7447--MA0684.1.RUNX3	chr6	12081955	12081964	-	0.000	0.000	Merged-chr6-12082002-27
NR3167--MA0511.2.RUNX2	chr14	118774994	118775002	-	0.000	0.000	Merged-chr14-118775098-19
NR580--MA0684.1.RUNX3	chr1	151683179	151683188	-	0.000	0.000	Merged-chr1-151683056-48
NR1758--MA0511.2.RUNX2	chr11	119076033	119076041	+	0.000	0.000	Merged-chr11-119075997-48
NR4864--MA0511.2.RUNX2	chr19	55332803	55332811	-	0.000	0.000	Merged-chr19-55332814-24
NR4642--MA0684.1.RUNX3	chr18	69547155	69547164	+	0.000	0.000	Merged-chr18-69547283-22
NR7156--MA0002.2.RUNX1	chr5	92603164	92603174	+	0.000	0.000	Merged-chr5-92603127-58
NR1960--MA0002.2.RUNX1	chr12	55367005	55367015	-	0.000	0.000	Merged-chr12-55366796-37
NR4080--MA0002.2.RUNX1	chr17	18458391	18458401	-	0.000	0.000	Merged-chr17-18458447-27
NR4622--MA0002.2.RUNX1	chr18	65819116	65819126	+	0.000	0.000	Merged-chr18-65819211-50
NR3547--MA0511.2.RUNX2	chr15	96599114	96599122	-	0.000	0.000	Merged-chr15-96599090-44
NR6924--MA0511.2.RUNX2	chr5	23387127	23387135	+	0.000	0.000	Merged-chr5-23387051-61
NR6702--MA0684.1.RUNX3	chr4	132732479	132732488	+	0.000	0.000	Merged-chr4-132732449-43
NR292--MA0511.2.RUNX2	chr1	82893719	82893727	-	0.000	0.000	Merged-chr1-82893598-7
NR420--MA0511.2.RUNX2	chr1	106612882	106612890	+	0.000	0.000	Merged-chr1-106612861-63
NR3163--MA0684.1.RUNX3	chr14	118658446	118658455	+	0.000	0.000	Merged-chr14-118658326-68
NR8343--MA0002.2.RUNX1	chr7	90131275	90131285	+	0.000	0.000	Merged-chr7-90131300-10
NR7268--MA0511.2.RUNX2	chr5	114826496	114826504	+	0.000	0.000	Merged-chr5-114826460-42
NR3242--MA0511.2.RUNX2	chr15	12447227	12447235	+	0.000	0.000	Merged-chr15-12447311-14
NR3318--MA0002.2.RUNX1	chr15	37644430	37644440	+	0.000	0.000	Merged-chr15-37644500-63
NR6424--MA0002.2.RUNX1	chr4	45280316	45280326	+	0.000	0.000	Merged-chr4-45280353-18
NR2588--MA0002.2.RUNX1	chr13	95517998	95518008	-	0.000	0.000	Merged-chr13-95518086-22
NR8290--MA0002.2.RUNX1	chr7	74599961	74599971	+	0.000	0.000	Merged-chr7-74599992-6
NR8356--MA0002.2.RUNX1	chr7	96456512	96456522	-	0.000	0.000	Merged-chr7-96456783-25
NR6676--MA0002.2.RUNX1	chr4	123588773	123588783	-	0.000	0.000	Merged-chr4-123588937-38
NR7264--MA0684.1.RUNX3	chr5	113165187	113165196	+	0.000	0.000	Merged-chr5-113165071-16
NR4330--MA0002.2.RUNX1	chr17	71598817	71598827	+	0.000	0.000	Merged-chr17-71598732-66
NR7387--MA0002.2.RUNX1	chr5	148501500	148501510	+	0.000	0.000	Merged-chr5-148501527-73
NR3033--MA0684.1.RUNX3	chr14	75722247	75722256	+	0.000	0.000	Merged-chr14-75722251-22
NR1148--MA0684.1.RUNX3	chr10	85035480	85035489	-	0.000	0.000	Merged-chr10-85035484-19
NR7138--MA0511.2.RUNX2	chr5	89198657	89198665	-	0.000	0.000	Merged-chr5-89198704-31
NR8879--MA0002.2.RUNX1	chr8	116689973	116689983	-	0.000	0.000	Merged-chr8-116689955-52
NR4377--MA0002.2.RUNX1	chr17	86038397	86038407	-	0.000	0.000	Merged-chr17-86038391-20
NR5359--MA0002.2.RUNX1	chr2	130577964	130577974	+	0.000	0.000	Merged-chr2-130578052-52
NR9053--MA0684.1.RUNX3	chr9	37554456	37554465	-	0.000	0.000	Merged-chr9-37554470-32
NR3364--MA0511.2.RUNX2	chr15	50697988	50697996	+	0.000	0.000	Merged-chr15-50698255-117
NR4234--MA0002.2.RUNX1	chr17	51800376	51800386	-	0.000	0.000	Merged-chr17-51800463-8
NR1528--MA0684.1.RUNX3	chr11	54105211	54105220	-	0.000	0.000	Merged-chr11-54105258-8
NR7518--MA0511.2.RUNX2	chr6	34495211	34495219	-	0.000	0.000	Merged-chr6-34495216-31
NR5838--MA0511.2.RUNX2	chr3	65435375	65435383	+	0.000	0.000	Merged-chr3-65435198-48
NR1700--MA0002.2.RUNX1	chr11	109445750	109445760	+	0.000	0.000	Merged-chr11-109445792-26
NR6708--MA0002.2.RUNX1	chr4	133873110	133873120	+	0.000	0.000	Merged-chr4-133873054-46
NR17--MA0002.2.RUNX1	chr1	7095993	7096003	+	0.000	0.000	Merged-chr1-7096130-35
NR1952--MA0002.2.RUNX1	chr12	52824993	52825003	+	0.000	0.000	Merged-chr12-52824887-17
NR4072--MA0002.2.RUNX1	chr17	18032516	18032526	+	0.000	0.000	Merged-chr17-18032603-1
NR6850--MA0511.2.RUNX2	chr5	5559449	5559457	+	0.000	0.000	Merged-chr5-5559516-60
NR7005--MA0002.2.RUNX1	chr5	44606812	44606822	-	0.000	0.000	Merged-chr5-44606765-1
NR6423--MA0684.1.RUNX3	chr4	44097943	44097952	-	0.000	0.000	Merged-chr4-44098042-4
NR599--MA0002.2.RUNX1	chr1	161309625	161309635	-	0.000	0.000	Merged-chr1-161309457-43
NR2414--MA0511.2.RUNX2	chr13	48979287	48979295	-	0.000	0.000	Merged-chr13-48979303-21
NR1174--MA0511.2.RUNX2	chr10	91167021	91167029	+	0.000	0.000	Merged-chr10-91167120-36
NR8560--MA0684.1.RUNX3	chr8	14090513	14090522	-	0.000	0.000	Merged-chr8-14090395-62
NR3569--MA0684.1.RUNX3	chr15	100461457	100461466	-	0.000	0.000	Merged-chr15-100461368-57
NR727--MA0002.2.RUNX1	chr1	184005826	184005836	-	0.000	0.000	Merged-chr1-184005889-70
NR2715--MA0684.1.RUNX3	chr13	112355215	112355224	-	0.000	0.000	Merged-chr13-112355130-25
NR4247--MA0002.2.RUNX1	chr17	52463554	52463564	+	0.000	0.000	Merged-chr17-52463426-13
NR8811--MA0002.2.RUNX1	chr8	104344199	104344209	-	0.000	0.000	Merged-chr8-104344230-45
NR8335--MA0002.2.RUNX1	chr7	84740070	84740080	+	0.000	0.000	Merged-chr7-84740151-41
NR4581--MA0684.1.RUNX3	chr18	56718579	56718588	-	0.000	0.000	Merged-chr18-56718597-44
NR8606--MA0002.2.RUNX1	chr8	22728940	22728950	-	0.000	0.000	Merged-chr8-22728865-15
NR8957--MA0511.2.RUNX2	chr9	7897824	7897832	+	0.000	0.000	Merged-chr9-7897799-25
NR171--MA0684.1.RUNX3	chr1	53774180	53774189	+	0.000	0.000	Merged-chr1-53774073-61
NR508--MA0684.1.RUNX3	chr1	136685579	136685588	-	0.000	0.000	Merged-chr1-136685597-75
NR6307--MA0002.2.RUNX1	chr4	11077683	11077693	-	0.000	0.000	Merged-chr4-11077783-17
NR4356--MA0002.2.RUNX1	chr17	80323713	80323723	-	0.000	0.000	Merged-chr17-80323753-51
NR8987--MA0684.1.RUNX3	chr9	14172082	14172091	+	0.000	0.000	Merged-chr9-14171965-37
NR3138--MA0511.2.RUNX2	chr14	115017783	115017791	-	0.000	0.000	Merged-chr14-115017884-47
NR2262--MA0002.2.RUNX1	chr13	6916212	6916222	+	0.000	0.000	Merged-chr13-6916028-1
NR2328--MA0002.2.RUNX1	chr13	22049920	22049930	-	0.000	0.000	Merged-chr13-22049966-26
NR8030--MA0002.2.RUNX1	chr6	143462157	143462167	-	0.000	0.000	Merged-chr6-143462218-2
NR7226--MA0511.2.RUNX2	chr5	105642691	105642699	-	0.000	0.000	Merged-chr5-105642805-64
NR3039--MA0002.2.RUNX1	chr14	78356897	78356907	+	0.000	0.000	Merged-chr14-78356893-53
NR901--MA0511.2.RUNX2	chr10	18965062	18965070	+	0.000	0.000	Merged-chr10-18964975-40
NR7127--MA0002.2.RUNX1	chr5	86087003	86087013	-	0.000	0.000	Merged-chr5-86086914-50
NR6101--MA0511.2.RUNX2	chr3	133332484	133332492	-	0.000	0.000	Merged-chr3-133332565-72
NR3168--MA0684.1.RUNX3	chr14	118774993	118775002	-	0.000	0.000	Merged-chr14-118775098-19
NR455--MA0684.1.RUNX3	chr1	121220445	121220454	+	0.000	0.000	Merged-chr1-121220429-14
NR7335--MA0511.2.RUNX2	chr5	134444618	134444626	-	0.000	0.000	Merged-chr5-134444752-37
NR3548--MA0684.1.RUNX3	chr15	96599113	96599122	-	0.000	0.000	Merged-chr15-96599090-44
NR978--MA0684.1.RUNX3	chr10	39005776	39005785	+	0.000	0.000	Merged-chr10-39005753-18
NR2275--MA0002.2.RUNX1	chr13	8783856	8783866	+	0.000	0.000	Merged-chr13-8783962-14
NR835--MA0684.1.RUNX3	chr10	9856012	9856021	+	0.000	0.000	Merged-chr10-9856019-18
NR2231--MA0511.2.RUNX2	chr12	119148036	119148044	+	0.000	0.000	Merged-chr12-119148040-28
NR6092--MA0002.2.RUNX1	chr3	129561207	129561217	+	0.000	0.000	Merged-chr3-129561081-2
NR4831--MA0684.1.RUNX3	chr19	36083078	36083087	-	0.000	0.000	Merged-chr19-36083098-3
NR6905--MA0002.2.RUNX1	chr5	18044603	18044613	-	0.000	0.000	Merged-chr5-18044510-1
NR4683--MA0002.2.RUNX1	chr18	77767858	77767868	+	0.000	0.000	Merged-chr18-77767671-52
NR4954--MA0002.2.RUNX1	chr2	19344909	19344919	-	0.000	0.000	Merged-chr2-19344795-21
NR4910--MA0511.2.RUNX2	chr2	12302049	12302057	-	0.000	0.000	Merged-chr2-12301937-47
NR4335--MA0002.2.RUNX1	chr17	72925171	72925181	-	0.000	0.000	Merged-chr17-72925262-16
NR6472--MA0002.2.RUNX1	chr4	58121128	58121138	-	0.000	0.000	Merged-chr4-58121225-3
NR1801--MA0002.2.RUNX1	chr12	8844922	8844932	+	0.000	0.000	Merged-chr12-8844937-14
NR276--MA0511.2.RUNX2	chr1	78537715	78537723	+	0.000	0.000	Merged-chr1-78537773-101
NR818--MA0511.2.RUNX2	chr10	8766172	8766180	+	0.000	0.000	Merged-chr10-8766277-7
NR2592--MA0511.2.RUNX2	chr13	95813840	95813848	-	0.000	0.000	Merged-chr13-95813903-46
NR3369--MA0511.2.RUNX2	chr15	51843860	51843868	+	0.000	0.000	Merged-chr15-51844000-32
NR6951--MA0511.2.RUNX2	chr5	29195825	29195833	+	0.000	0.000	Merged-chr5-29195906-68
NR6524--MA0684.1.RUNX3	chr4	70410407	70410416	+	0.000	0.000	Merged-chr4-70410445-57
NR4967--MA0002.2.RUNX1	chr2	21223168	21223178	+	0.000	0.000	Merged-chr2-21222970-39
NR9309--MA0002.2.RUNX1	chr9	98616575	98616585	+	0.000	0.000	Merged-chr9-98616546-17
NR6110--MA0684.1.RUNX3	chr3	135402594	135402603	+	0.000	0.000	Merged-chr3-135402581-53
NR4824--MA0002.2.RUNX1	chr19	33265322	33265332	+	0.000	0.000	Merged-chr19-33265390-26
NR2002--MA0002.2.RUNX1	chr12	73598394	73598404	+	0.000	0.000	Merged-chr12-73598343-51
NR686--MA0684.1.RUNX3	chr1	175669154	175669163	+	0.000	0.000	Merged-chr1-175669210-35
NR4953--MA0684.1.RUNX3	chr2	19344824	19344833	-	0.000	0.000	Merged-chr2-19344795-21
NR6756--MA0002.2.RUNX1	chr4	145045906	145045916	-	0.000	0.000	Merged-chr4-145045932-55
NR2254--MA0002.2.RUNX1	chr13	5864746	5864756	+	0.000	0.000	Merged-chr13-5864867-1
NR8770--MA0684.1.RUNX3	chr8	88279326	88279335	-	0.000	0.000	Merged-chr8-88279591-45
NR9103--MA0511.2.RUNX2	chr9	51402045	51402053	-	0.000	0.000	Merged-chr9-51401998-48
NR8893--MA0002.2.RUNX1	chr8	118830517	118830527	+	0.000	0.000	Merged-chr8-118830505-12
NR6613--MA0002.2.RUNX1	chr4	98113774	98113784	+	0.000	0.000	Merged-chr4-98113853-12
NR2158--MA0002.2.RUNX1	chr12	110770983	110770993	+	0.000	0.000	Merged-chr12-110770987-31
NR6994--MA0684.1.RUNX3	chr5	41708343	41708352	+	0.000	0.000	Merged-chr5-41708072-132
NR9--MA0511.2.RUNX2	chr1	6406418	6406426	-	0.000	0.000	Merged-chr1-6406629-55
