#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR10605--MA0684.1.RUNX3	chr9	96583332	96583341	-	0.000	0.000	Merged-chr9-96583315-51
NR8922--MA0002.2.RUNX1	chr6	142950587	142950597	+	0.000	0.000	Merged-chr6-142950474-44
NR424--MA0002.2.RUNX1	chr1	134067278	134067288	+	0.000	0.000	Merged-chr1-134067296-40
NR10457--MA0002.2.RUNX1	chr9	75246464	75246474	+	0.000	0.000	Merged-chr9-75246433-36
NR9091--MA0002.2.RUNX1	chr7	24369933	24369943	+	0.000	0.000	Merged-chr7-24370030-56
NR10728--MA0002.2.RUNX1	chr9	116214505	116214515	+	0.000	0.000	Merged-chr9-116214567-36
NR1665--MA0511.2.RUNX2	chr11	58290432	58290440	-	0.000	0.000	Merged-chr11-58290425-28
NR1936--MA0511.2.RUNX2	chr11	104538431	104538439	+	0.000	0.000	Merged-chr11-104538419-8
NR5797--MA0002.2.RUNX1	chr2	72536031	72536041	+	0.000	0.000	Merged-chr2-72536133-16
NR10791--MA0684.1.RUNX3	chr9	120943670	120943679	-	0.000	0.000	Merged-chr9-120943869-18
NR3246--MA0002.2.RUNX1	chr14	41050792	41050802	+	0.000	0.000	Merged-chr14-41050635-35
NR1238--MA0684.1.RUNX3	chr10	89597370	89597379	-	0.000	0.000	Merged-chr10-89597404-12
NR10043--MA0002.2.RUNX1	chr8	111821359	111821369	-	0.000	0.000	Merged-chr8-111821367-66
NR4820--MA0684.1.RUNX3	chr17	84845181	84845190	-	0.000	0.000	Merged-chr17-84845195-48
NR3597--MA0511.2.RUNX2	chr15	6569140	6569148	+	0.000	0.000	Merged-chr15-6569076-63
NR2992--MA0002.2.RUNX1	chr13	95892234	95892244	-	0.000	0.000	Merged-chr13-95891948-150
NR7334--MA0002.2.RUNX1	chr4	122808311	122808321	-	0.000	0.000	Merged-chr4-122808329-35
NR3498--MA0002.2.RUNX1	chr14	101879179	101879189	-	0.000	0.000	Merged-chr14-101879110-69
NR7956--MA0511.2.RUNX2	chr5	105290974	105290982	-	0.000	0.000	Merged-chr5-105291153-16
NR10566--MA0002.2.RUNX1	chr9	92611076	92611086	+	0.000	0.000	Merged-chr9-92611125-19
NR5134--MA0511.2.RUNX2	chr18	82493046	82493054	+	0.000	0.000	Merged-chr18-82492983-14
NR4800--MA0002.2.RUNX1	chr17	83772990	83773000	+	0.000	0.000	Merged-chr17-83772963-43
NR7529--MA0684.1.RUNX3	chr4	150566267	150566276	+	0.000	0.000	Merged-chr4-150566221-49
NR2915--MA0002.2.RUNX1	chr13	81705689	81705699	-	0.000	0.000	Merged-chr13-81705633-6
NR1281--MA0684.1.RUNX3	chr10	95300007	95300016	-	0.000	0.000	Merged-chr10-95299831-73
NR5306--MA0002.2.RUNX1	chr19	24971561	24971571	-	0.000	0.000	Merged-chr19-24971475-35
NR10152--MA0002.2.RUNX1	chr8	124509391	124509401	+	0.000	0.000	Merged-chr8-124509346-29
NR6732--MA0002.2.RUNX1	chr3	116808332	116808342	+	0.000	0.000	Merged-chr3-116808199-73
NR2--MA0684.1.RUNX3	chr1	4748286	4748295	-	0.000	0.000	Merged-chr1-4748298-21
NR3977--MA0511.2.RUNX2	chr15	100060982	100060990	-	0.000	0.000	Merged-chr15-100060928-68
NR9789--MA0002.2.RUNX1	chr8	22728940	22728950	-	0.000	0.000	Merged-chr8-22728865-15
NR7172--MA0002.2.RUNX1	chr4	86722117	86722127	-	0.000	0.000	Merged-chr4-86721990-52
NR1155--MA0511.2.RUNX2	chr10	77962993	77963001	+	0.000	0.000	Merged-chr10-77962952-24
NR5287--MA0002.2.RUNX1	chr19	20944612	20944622	-	0.000	0.000	Merged-chr19-20944629-14
NR5558--MA0002.2.RUNX1	chr2	11339397	11339407	-	0.000	0.000	Merged-chr2-11339259-65
NR3878--MA0002.2.RUNX1	chr15	84212362	84212372	-	0.000	0.000	Merged-chr15-84212289-37
NR3007--MA0002.2.RUNX1	chr13	99148606	99148616	-	0.000	0.000	Merged-chr13-99148566-18
NR6984--MA0002.2.RUNX1	chr4	11135531	11135541	+	0.000	0.000	Merged-chr4-11135501-42
NR7096--MA0684.1.RUNX3	chr4	53826423	53826432	-	0.000	0.000	Merged-chr4-53826364-82
NR10360--MA0511.2.RUNX2	chr9	57340003	57340011	-	0.000	0.000	Merged-chr9-57339944-60
NR4704--MA0002.2.RUNX1	chr17	57183079	57183089	+	0.000	0.000	Merged-chr17-57183114-28
NR2482--MA0002.2.RUNX1	chr12	113362608	113362618	+	0.000	0.000	Merged-chr12-113362654-28
NR3193--MA0002.2.RUNX1	chr14	20503206	20503216	-	0.000	0.000	Merged-chr14-20503247-33
NR5815--MA0684.1.RUNX3	chr2	75683104	75683113	+	0.000	0.000	Merged-chr2-75683146-50
NR9583--MA0511.2.RUNX2	chr7	125635629	125635637	-	0.000	0.000	Merged-chr7-125635870-68
NR275--MA0002.2.RUNX1	chr1	91049441	91049451	-	0.000	0.000	Merged-chr1-91049511-13
NR5418--MA0511.2.RUNX2	chr19	47133353	47133361	-	0.000	0.000	Merged-chr19-47133332-21
NR4271--MA0002.2.RUNX1	chr16	64758703	64758713	+	0.000	0.000	Merged-chr16-64758494-145
NR4813--MA0002.2.RUNX1	chr17	84118423	84118433	-	0.000	0.000	Merged-chr17-84118358-5
NR132--MA0002.2.RUNX1	chr1	59602810	59602820	-	0.000	0.000	Merged-chr1-59602737-35
NR798--MA0002.2.RUNX1	chr1	191419219	191419229	-	0.000	0.000	Merged-chr1-191419117-1
NR10165--MA0002.2.RUNX1	chr8	126614578	126614588	+	0.000	0.000	Merged-chr8-126614626-35
NR1688--MA0002.2.RUNX1	chr11	61602865	61602875	-	0.000	0.000	Merged-chr11-61602995-47
NR10707--MA0002.2.RUNX1	chr9	114446485	114446495	-	0.000	0.000	Merged-chr9-114446417-16
NR5382--MA0684.1.RUNX3	chr19	40300140	40300149	+	0.000	0.000	Merged-chr19-40300210-18
NR7727--MA0002.2.RUNX1	chr5	43915498	43915508	-	0.000	0.000	Merged-chr5-43915438-14
NR6060--MA0002.2.RUNX1	chr2	128499758	128499768	+	0.000	0.000	Merged-chr2-128499903-59
NR6997--MA0002.2.RUNX1	chr4	20033080	20033090	-	0.000	0.000	Merged-chr4-20033263-40
NR6602--MA0002.2.RUNX1	chr3	88579756	88579766	+	0.000	0.000	Merged-chr3-88579705-42
NR2914--MA0684.1.RUNX3	chr13	81705664	81705673	+	0.000	0.000	Merged-chr13-81705633-6
NR4717--MA0002.2.RUNX1	chr17	63356450	63356460	-	0.000	0.000	Merged-chr17-63356437-30
NR3354--MA0684.1.RUNX3	chr14	65071105	65071114	+	0.000	0.000	Merged-chr14-65071184-53
NR3625--MA0684.1.RUNX3	chr15	18951818	18951827	-	0.000	0.000	Merged-chr15-18951851-25
NR3748--MA0002.2.RUNX1	chr15	60132879	60132889	+	0.000	0.000	Merged-chr15-60132913-50
NR8534--MA0002.2.RUNX1	chr6	86850879	86850889	+	0.000	0.000	Merged-chr6-86850884-40
NR8805--MA0002.2.RUNX1	chr6	129997722	129997732	-	0.000	0.000	Merged-chr6-129997694-33
NR7442--MA0684.1.RUNX3	chr4	138456181	138456190	-	0.000	0.000	Merged-chr4-138456183-28
NR2500--MA0684.1.RUNX3	chr12	114612200	114612209	-	0.000	0.000	Merged-chr12-114612279-30
NR5286--MA0684.1.RUNX3	chr19	20875900	20875909	-	0.000	0.000	Merged-chr19-20876096-16
NR9374--MA0684.1.RUNX3	chr7	99151592	99151601	-	0.000	0.000	Merged-chr7-99151549-44
NR3129--MA0002.2.RUNX1	chr13	113693580	113693590	-	0.000	0.000	Merged-chr13-113693609-26
NR1178--MA0002.2.RUNX1	chr10	80763638	80763648	-	0.000	0.000	Merged-chr10-80763655-40
NR2481--MA0684.1.RUNX3	chr12	112976384	112976393	+	0.000	0.000	Merged-chr12-112976486-72
NR720--MA0511.2.RUNX2	chr1	182504347	182504355	-	0.000	0.000	Merged-chr1-182504417-24
NR9768--MA0002.2.RUNX1	chr8	14012787	14012797	+	0.000	0.000	Merged-chr8-14012674-53
NR9724--MA0511.2.RUNX2	chr7	143644145	143644153	+	0.000	0.000	Merged-chr7-143644190-29
NR5537--MA0002.2.RUNX1	chr2	9607878	9607888	-	0.000	0.000	Merged-chr2-9607843-12
NR4511--MA0511.2.RUNX2	chr17	18957940	18957948	+	0.000	0.000	Merged-chr17-18957901-23
NR8372--MA0002.2.RUNX1	chr6	35462680	35462690	-	0.000	0.000	Merged-chr6-35462751-23
NR8643--MA0002.2.RUNX1	chr6	108338417	108338427	+	0.000	0.000	Merged-chr6-108338556-41
NR8914--MA0002.2.RUNX1	chr6	140801342	140801352	+	0.000	0.000	Merged-chr6-140801246-11
NR416--MA0002.2.RUNX1	chr1	133801879	133801889	-	0.000	0.000	Merged-chr1-133801920-3
NR7280--MA0684.1.RUNX3	chr4	107989118	107989127	+	0.000	0.000	Merged-chr4-107989218-22
NR972--MA0511.2.RUNX2	chr10	30716232	30716240	-	0.000	0.000	Merged-chr10-30716378-49
NR9354--MA0002.2.RUNX1	chr7	96818602	96818612	-	0.000	0.000	Merged-chr7-96818578-56
NR4412--MA0002.2.RUNX1	chr16	94303059	94303069	-	0.000	0.000	Merged-chr16-94303117-33
NR5395--MA0684.1.RUNX3	chr19	42266338	42266347	-	0.000	0.000	Merged-chr19-42266343-14
NR7198--MA0002.2.RUNX1	chr4	95278164	95278174	-	0.000	0.000	Merged-chr4-95278286-49
NR67--MA0002.2.RUNX1	chr1	39478710	39478720	-	0.000	0.000	Merged-chr1-39478588-52
NR9105--MA0511.2.RUNX2	chr7	27357789	27357797	+	0.000	0.000	Merged-chr7-27357694-29
NR1164--MA0684.1.RUNX3	chr10	79417835	79417844	+	0.000	0.000	Merged-chr10-79417907-1
NR939--MA0002.2.RUNX1	chr10	22296027	22296037	-	0.000	0.000	Merged-chr10-22296009-12
NR131--MA0684.1.RUNX3	chr1	59180217	59180226	+	0.000	0.000	Merged-chr1-59180254-19
NR9628--MA0511.2.RUNX2	chr7	132317353	132317361	-	0.000	0.000	Merged-chr7-132317352-2
NR10706--MA0684.1.RUNX3	chr9	114446464	114446473	+	0.000	0.000	Merged-chr9-114446417-16
NR10287--MA0002.2.RUNX1	chr9	31301254	31301264	-	0.000	0.000	Merged-chr9-31301307-111
NR10558--MA0002.2.RUNX1	chr9	90259714	90259724	-	0.000	0.000	Merged-chr9-90259820-55
NR5126--MA0511.2.RUNX2	chr18	81400357	81400365	-	0.000	0.000	Merged-chr18-81400344-68
NR4250--MA0002.2.RUNX1	chr16	57495696	57495706	+	0.000	0.000	Merged-chr16-57495758-66
NR1100--MA0511.2.RUNX2	chr10	67658078	67658086	-	0.000	0.000	Merged-chr10-67657975-87
NR2636--MA0002.2.RUNX1	chr13	13517052	13517062	-	0.000	0.000	Merged-chr13-13516959-38
NR1273--MA0684.1.RUNX3	chr10	94552091	94552100	+	0.000	0.000	Merged-chr10-94552139-57
NR1544--MA0684.1.RUNX3	chr11	19972600	19972609	-	0.000	0.000	Merged-chr11-19972622-7
NR3076--MA0002.2.RUNX1	chr13	108100837	108100847	+	0.000	0.000	Merged-chr13-108100820-31
NR1068--MA0684.1.RUNX3	chr10	60290309	60290318	-	0.000	0.000	Merged-chr10-60290356-31
NR6182--MA0002.2.RUNX1	chr2	152906976	152906986	+	0.000	0.000	Merged-chr2-152906761-58
NR10415--MA0002.2.RUNX1	chr9	66504135	66504145	+	0.000	0.000	Merged-chr9-66504076-31
NR9244--MA0684.1.RUNX3	chr7	64141526	64141535	+	0.000	0.000	Merged-chr7-64141555-53
NR5506--MA0511.2.RUNX2	chr19	60681736	60681744	+	0.000	0.000	Merged-chr19-60681647-27
NR2950--MA0002.2.RUNX1	chr13	89425994	89426004	+	0.000	0.000	Merged-chr13-89425827-19
NR5136--MA0002.2.RUNX1	chr18	82503866	82503876	+	0.000	0.000	Merged-chr18-82503961-54
NR10130--MA0684.1.RUNX3	chr8	122527147	122527156	+	0.000	0.000	Merged-chr8-122527026-7
NR3128--MA0684.1.RUNX3	chr13	113669859	113669868	-	0.000	0.000	Merged-chr13-113669806-22
NR886--MA0002.2.RUNX1	chr10	13438594	13438604	-	0.000	0.000	Merged-chr10-13438536-33
NR6291--MA0002.2.RUNX1	chr2	167697962	167697972	+	0.000	0.000	Merged-chr2-167698100-38
NR10319--MA0002.2.RUNX1	chr9	42108626	42108636	-	0.000	0.000	Merged-chr9-42108628-57
NR571--MA0511.2.RUNX2	chr1	164079560	164079568	-	0.000	0.000	Merged-chr1-164079439-12
NR2874--MA0684.1.RUNX3	chr13	63808146	63808155	+	0.000	0.000	Merged-chr13-63808172-29
NR4948--MA0002.2.RUNX1	chr18	41861231	41861241	-	0.000	0.000	Merged-chr18-41861355-68
NR1527--MA0511.2.RUNX2	chr11	11657343	11657351	+	0.000	0.000	Merged-chr11-11657249-55
NR3585--MA0684.1.RUNX3	chr15	4085775	4085784	+	0.000	0.000	Merged-chr15-4085955-91
NR5388--MA0002.2.RUNX1	chr19	41328933	41328943	-	0.000	0.000	Merged-chr19-41328970-48
NR5659--MA0002.2.RUNX1	chr2	34074198	34074208	+	0.000	0.000	Merged-chr2-34074171-45
NR1157--MA0002.2.RUNX1	chr10	77963002	77963012	-	0.000	0.000	Merged-chr10-77962952-24
NR9148--MA0684.1.RUNX3	chr7	37977883	37977892	-	0.000	0.000	Merged-chr7-37977957-29
NR4534--MA0002.2.RUNX1	chr17	24084685	24084695	-	0.000	0.000	Merged-chr17-24084802-20
NR10732--MA0511.2.RUNX2	chr9	116263828	116263836	-	0.000	0.000	Merged-chr9-116263985-48
NR9227--MA0511.2.RUNX2	chr7	63973380	63973388	+	0.000	0.000	Merged-chr7-63973470-12
NR938--MA0684.1.RUNX3	chr10	22295969	22295978	+	0.000	0.000	Merged-chr10-22296009-12
NR10091--MA0002.2.RUNX1	chr8	119784332	119784342	+	0.000	0.000	Merged-chr8-119784383-58
NR8622--MA0002.2.RUNX1	chr6	103034149	103034159	-	0.000	0.000	Merged-chr6-103034102-21
NR7818--MA0511.2.RUNX2	chr5	72636229	72636237	-	0.000	0.000	Merged-chr5-72636293-57
NR10428--MA0002.2.RUNX1	chr9	69068846	69068856	-	0.000	0.000	Merged-chr9-69068633-33
NR9062--MA0002.2.RUNX1	chr7	4083057	4083067	-	0.000	0.000	Merged-chr7-4082893-63
NR3316--MA0511.2.RUNX2	chr14	56314657	56314665	+	0.000	0.000	Merged-chr14-56314681-19
NR746--MA0511.2.RUNX2	chr1	184534678	184534686	+	0.000	0.000	Merged-chr1-184534660-49
NR7177--MA0002.2.RUNX1	chr4	88006046	88006056	+	0.000	0.000	Merged-chr4-88006036-27
NR10779--MA0511.2.RUNX2	chr9	119963508	119963516	+	0.000	0.000	Merged-chr9-119963439-34
NR7404--MA0511.2.RUNX2	chr4	135157505	135157513	-	0.000	0.000	Merged-chr4-135157519-19
NR5182--MA0511.2.RUNX2	chr18	89215000	89215008	-	0.000	0.000	Merged-chr18-89214991-26
NR1266--MA0002.2.RUNX1	chr10	93933059	93933069	-	0.000	0.000	Merged-chr10-93933103-29
NR6052--MA0002.2.RUNX1	chr2	128153202	128153212	+	0.000	0.000	Merged-chr2-128153146-97
NR603--MA0511.2.RUNX2	chr1	165985849	165985857	+	0.000	0.000	Merged-chr1-165985990-54
NR5897--MA0684.1.RUNX3	chr2	92205438	92205447	-	0.000	0.000	Merged-chr2-92205451-35
NR2906--MA0684.1.RUNX3	chr13	81182721	81182730	+	0.000	0.000	Merged-chr13-81182564-34
NR7927--MA0511.2.RUNX2	chr5	100915564	100915572	+	0.000	0.000	Merged-chr5-100915342-34
NR49--MA0511.2.RUNX2	chr1	37471644	37471652	+	0.000	0.000	Merged-chr1-37471561-5
NR10808--MA0002.2.RUNX1	chr9	122233149	122233159	-	0.000	0.000	Merged-chr9-122233247-97
NR6846--MA0002.2.RUNX1	chr3	142281311	142281321	-	0.000	0.000	Merged-chr3-142281213-32
NR2073--MA0002.2.RUNX1	chr11	118379789	118379799	+	0.000	0.000	Merged-chr11-118379704-27
NR4580--MA0511.2.RUNX2	chr17	30363571	30363579	-	0.000	0.000	Merged-chr17-30363504-27
NR10937--MA0684.1.RUNX3	chrX	101767451	101767460	-	0.000	0.000	Merged-chrX-101767433-48
NR5291--MA0511.2.RUNX2	chr19	21510326	21510334	-	0.000	0.000	Merged-chr19-21510334-13
NR9366--MA0684.1.RUNX3	chr7	98090400	98090409	+	0.000	0.000	Merged-chr7-98090470-13
NR5086--MA0511.2.RUNX2	chr18	75541214	75541222	+	0.000	0.000	Merged-chr18-75541168-25
NR10789--MA0002.2.RUNX1	chr9	120866893	120866903	+	0.000	0.000	Merged-chr9-120866868-24
NR9637--MA0684.1.RUNX3	chr7	132402776	132402785	-	0.000	0.000	Merged-chr7-132402823-64
NR4818--MA0002.2.RUNX1	chr17	84698931	84698941	-	0.000	0.000	Merged-chr17-84698927-25
NR5258--MA0002.2.RUNX1	chr19	12833792	12833802	+	0.000	0.000	Merged-chr19-12833671-54
NR10523--MA0684.1.RUNX3	chr9	84031079	84031088	+	0.000	0.000	Merged-chr9-84030961-27
NR7289--MA0511.2.RUNX2	chr4	109505046	109505054	-	0.000	0.000	Merged-chr4-109505092-26
NR2823--MA0511.2.RUNX2	chr13	52874144	52874152	+	0.000	0.000	Merged-chr13-52874286-33
NR10375--MA0002.2.RUNX1	chr9	58280706	58280716	+	0.000	0.000	Merged-chr9-58280700-28
NR5214--MA0511.2.RUNX2	chr19	5724635	5724643	+	0.000	0.000	Merged-chr19-5724698-18
NR2330--MA0684.1.RUNX3	chr12	84933859	84933868	-	0.000	0.000	Merged-chr12-84934066-14
NR5009--MA0511.2.RUNX2	chr18	56888939	56888947	+	0.000	0.000	Merged-chr18-56889017-47
NR9346--MA0002.2.RUNX1	chr7	92420690	92420700	+	0.000	0.000	Merged-chr7-92420666-38
NR4404--MA0002.2.RUNX1	chr16	93552990	93553000	-	0.000	0.000	Merged-chr16-93552984-42
NR10775--MA0684.1.RUNX3	chr9	119823983	119823992	+	0.000	0.000	Merged-chr9-119823942-29
NR865--MA0002.2.RUNX1	chr10	7816779	7816789	+	0.000	0.000	Merged-chr10-7816759-33
NR6270--MA0002.2.RUNX1	chr2	165408114	165408124	-	0.000	0.000	Merged-chr2-165408039-24
NR6607--MA0002.2.RUNX1	chr3	89187824	89187834	-	0.000	0.000	Merged-chr3-89188181-94
