#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR2473--MA0463.1.Bcl6	chr8	41443766	41443779	-	0.000	0.000	Merged-chr8-41443750-12
NR175--MA0731.1.BCL6B	chr1	164966186	164966202	+	0.000	0.000	Merged-chr1-164966286-53
NR1043--MA0463.1.Bcl6	chr16	17508851	17508864	+	0.000	0.000	Merged-chr16-17508961-62
NR1710--MA0463.1.Bcl6	chr3	129602473	129602486	-	0.000	0.000	Merged-chr3-129602465-51
NR930--MA0463.1.Bcl6	chr15	10486030	10486043	-	0.000	0.000	Merged-chr15-10486107-67
NR1173--MA0463.1.Bcl6	chr17	33865564	33865577	-	0.000	0.000	Merged-chr17-33865585-36
NR702--MA0463.1.Bcl6	chr13	81351846	81351859	-	0.000	0.000	Merged-chr13-81351650-43
NR1191--MA0463.1.Bcl6	chr17	51855369	51855382	-	0.000	0.000	Merged-chr17-51855418-25
NR1500--MA0463.1.Bcl6	chr2	118730720	118730733	-	0.000	0.000	Merged-chr2-118730761-5
NR2375--MA0463.1.Bcl6	chr7	80636405	80636418	+	0.000	0.000	Merged-chr7-80636547-14
NR926--MA0463.1.Bcl6	chr15	6622717	6622730	-	0.000	0.000	Merged-chr15-6622657-10
NR1733--MA0463.1.Bcl6	chr3	143426913	143426926	-	0.000	0.000	Merged-chr3-143426791-9
NR174--MA0463.1.Bcl6	chr1	164494789	164494802	+	0.000	0.000	Merged-chr1-164494906-11
NR295--MA0463.1.Bcl6	chr10	39039685	39039698	-	0.000	0.000	Merged-chr10-39039718-5
NR2165--MA0463.1.Bcl6	chr6	30351368	30351381	-	0.000	0.000	Merged-chr6-30351409-35
NR1093--MA0463.1.Bcl6	chr16	57465557	57465570	+	0.000	0.000	Merged-chr16-57465471-22
NR501--MA0463.1.Bcl6	chr12	17348213	17348226	+	0.000	0.000	Merged-chr12-17348366-60
NR2398--MA0463.1.Bcl6	chr7	101377953	101377966	+	0.000	0.000	Merged-chr7-101378062-62
NR861--MA0731.1.BCL6B	chr14	60129816	60129832	-	0.000	0.000	Merged-chr14-60129717-50
NR50--MA0463.1.Bcl6	chr1	40383107	40383120	+	0.000	0.000	Merged-chr1-40383046-56
NR2609--MA0463.1.Bcl6	chr9	63698479	63698492	+	0.000	0.000	Merged-chr9-63698652-22
NR1895--MA0463.1.Bcl6	chr4	101261210	101261223	+	0.000	0.000	Merged-chr4-101261063-33
NR1886--MA0731.1.BCL6B	chr4	96591234	96591250	+	0.000	0.000	Merged-chr4-96591096-6
NR2663--MA0463.1.Bcl6	chr9	106215647	106215660	+	0.000	0.000	Merged-chr9-106215485-26
NR444--MA0463.1.Bcl6	chr11	62675924	62675937	+	0.000	0.000	Merged-chr11-62675914-24
NR1260--MA0463.1.Bcl6	chr18	36530114	36530127	-	0.000	0.000	Merged-chr18-36530023-27
NR431--MA0731.1.BCL6B	chr11	51638254	51638270	+	0.000	0.000	Merged-chr11-51638186-26
NR1587--MA0463.1.Bcl6	chr2	180745283	180745296	+	0.000	0.000	Merged-chr2-180745387-39
NR96--MA0463.1.Bcl6	chr1	82787570	82787583	+	0.000	0.000	Merged-chr1-82787603-20
NR1390--MA0463.1.Bcl6	chr2	38926702	38926715	-	0.000	0.000	Merged-chr2-38926558-133
NR1914--MA0463.1.Bcl6	chr4	117146378	117146391	-	0.000	0.000	Merged-chr4-117146401-30
NR1820--MA0463.1.Bcl6	chr4	44106510	44106523	+	0.000	0.000	Merged-chr4-44106569-17
NR1050--MA0463.1.Bcl6	chr16	22548239	22548252	-	0.000	0.000	Merged-chr16-22548400-52
NR476--MA0463.1.Bcl6	chr11	103344789	103344802	+	0.000	0.000	Merged-chr11-103344829-56
NR136--MA0463.1.Bcl6	chr1	121608287	121608300	+	0.000	0.000	Merged-chr1-121608228-8
NR2364--MA0463.1.Bcl6	chr7	72261167	72261180	+	0.000	0.000	Merged-chr7-72261137-47
NR1294--MA0731.1.BCL6B	chr18	68059320	68059336	-	0.000	0.000	Merged-chr18-68059360-81
NR915--MA0463.1.Bcl6	chr14	122953499	122953512	-	0.000	0.000	Merged-chr14-122953434-8
NR1674--MA0731.1.BCL6B	chr3	98027543	98027559	+	0.000	0.000	Merged-chr3-98027437-43
NR1055--MA0731.1.BCL6B	chr16	25423965	25423981	+	0.000	0.000	Merged-chr16-25423952-5
NR87--MA0731.1.BCL6B	chr1	74661790	74661806	+	0.000	0.000	Merged-chr1-74661827-58
NR2136--MA0463.1.Bcl6	chr5	150840181	150840194	+	0.000	0.000	Merged-chr5-150840006-2
NR1279--MA0463.1.Bcl6	chr18	53177273	53177286	-	0.000	0.000	Merged-chr18-53177390-15
NR402--MA0731.1.BCL6B	chr11	6018449	6018465	-	0.000	0.000	Merged-chr11-6018281-55
NR2154--MA0463.1.Bcl6	chr6	24310928	24310941	+	0.000	0.000	Merged-chr6-24310854-8
NR817--MA0463.1.Bcl6	chr14	34674449	34674462	-	0.000	0.000	Merged-chr14-34674583-4
NR763--MA0731.1.BCL6B	chr13	117241310	117241326	+	0.000	0.000	Merged-chr13-117241409-28
NR2172--MA0463.1.Bcl6	chr6	34955547	34955560	+	0.000	0.000	Merged-chr6-34955632-40
NR1414--MA0731.1.BCL6B	chr2	53088802	53088818	-	0.000	0.000	Merged-chr2-53088913-36
NR1666--MA0731.1.BCL6B	chr3	95135853	95135869	-	0.000	0.000	Merged-chr3-95135773-59
NR2611--MA0463.1.Bcl6	chr9	64824823	64824836	+	0.000	0.000	Merged-chr9-64824731-59
NR1087--MA0463.1.Bcl6	chr16	52468700	52468713	+	0.000	0.000	Merged-chr16-52468577-24
NR1969--MA0463.1.Bcl6	chr5	3670359	3670372	+	0.000	0.000	Merged-chr5-3670094-38
NR298--MA0463.1.Bcl6	chr10	42220590	42220603	-	0.000	0.000	Merged-chr10-42220589-14
NR2177--MA0463.1.Bcl6	chr6	38911332	38911345	+	0.000	0.000	Merged-chr6-38911348-28
NR1679--MA0731.1.BCL6B	chr3	101731254	101731270	-	0.000	0.000	Merged-chr3-101731258-4
NR992--MA0463.1.Bcl6	chr15	76351094	76351107	-	0.000	0.000	Merged-chr15-76351256-113
NR1884--MA0463.1.Bcl6	chr4	95765579	95765592	+	0.000	0.000	Merged-chr4-95765748-2
NR58--MA0731.1.BCL6B	chr1	53856982	53856998	-	0.000	0.000	Merged-chr1-53856868-4
NR2522--MA0463.1.Bcl6	chr8	88294090	88294103	+	0.000	0.000	Merged-chr8-88293881-56
NR450--MA0731.1.BCL6B	chr11	71004529	71004545	-	0.000	0.000	Merged-chr11-71004359-68
NR1334--MA0463.1.Bcl6	chr19	25062768	25062781	-	0.000	0.000	Merged-chr19-25062644-33
NR1114--MA0731.1.BCL6B	chr16	76866285	76866301	-	0.000	0.000	Merged-chr16-76866196-31
NR856--MA0731.1.BCL6B	chr14	55604120	55604136	+	0.000	0.000	Merged-chr14-55604128-61
NR1370--MA0463.1.Bcl6	chr2	15055493	15055506	-	0.000	0.000	Merged-chr2-15055346-111
NR94--MA0463.1.Bcl6	chr1	80758532	80758545	-	0.000	0.000	Merged-chr1-80758556-27
NR429--MA0463.1.Bcl6	chr11	51638256	51638269	+	0.000	0.000	Merged-chr11-51638186-26
NR822--MA0731.1.BCL6B	chr14	40955957	40955973	-	0.000	0.000	Merged-chr14-40955925-7
NR1074--MA0731.1.BCL6B	chr16	44321828	44321844	-	0.000	0.000	Merged-chr16-44321913-9
NR564--MA0731.1.BCL6B	chr12	76923262	76923278	-	0.000	0.000	Merged-chr12-76923289-32
NR1366--MA0463.1.Bcl6	chr2	11118763	11118776	+	0.000	0.000	Merged-chr2-11118835-29
NR2456--MA0463.1.Bcl6	chr8	25256217	25256230	+	0.000	0.000	Merged-chr8-25256219-29
NR2241--MA0463.1.Bcl6	chr6	108839648	108839661	-	0.000	0.000	Merged-chr6-108839644-6
NR2707--MA0731.1.BCL6B	chrX	159708859	159708875	+	0.000	0.000	Merged-chrX-159708599-75
NR1337--MA0731.1.BCL6B	chr19	32292666	32292682	-	0.000	0.000	Merged-chr19-32292783-63
NR1944--MA0463.1.Bcl6	chr4	135963648	135963661	-	0.000	0.000	Merged-chr4-135963723-59
NR488--MA0463.1.Bcl6	chr12	4817611	4817624	-	0.000	0.000	Merged-chr12-4817506-66
NR940--MA0463.1.Bcl6	chr15	25441369	25441382	+	0.000	0.000	Merged-chr15-25441217-22
NR2667--MA0731.1.BCL6B	chr9	107675869	107675885	+	0.000	0.000	Merged-chr9-107676090-54
NR909--MA0463.1.Bcl6	chr14	120572382	120572395	-	0.000	0.000	Merged-chr14-120572441-59
NR600--MA0463.1.Bcl6	chr12	114469202	114469215	-	0.000	0.000	Merged-chr12-114469182-47
NR1501--MA0463.1.Bcl6	chr2	121511698	121511711	-	0.000	0.000	Merged-chr2-121511602-35
NR317--MA0731.1.BCL6B	chr10	58282344	58282360	+	0.000	0.000	Merged-chr10-58282409-26
NR2362--MA0731.1.BCL6B	chr7	68286116	68286132	-	0.000	0.000	Merged-chr7-68286059-41
NR2166--MA0463.1.Bcl6	chr6	30509646	30509659	-	0.000	0.000	Merged-chr6-30509699-52
NR15--MA0463.1.Bcl6	chr1	13560219	13560232	+	0.000	0.000	Merged-chr1-13560165-1
NR2245--MA0731.1.BCL6B	chr6	112852610	112852626	+	0.000	0.000	Merged-chr6-112852567-47
NR2516--MA0731.1.BCL6B	chr8	84011582	84011598	-	0.000	0.000	Merged-chr8-84011629-75
NR514--MA0731.1.BCL6B	chr12	29291093	29291109	+	0.000	0.000	Merged-chr12-29291093-42
NR753--MA0463.1.Bcl6	chr13	109685729	109685742	+	0.000	0.000	Merged-chr13-109685834-42
NR2529--MA0731.1.BCL6B	chr8	94434330	94434346	-	0.000	0.000	Merged-chr8-94434227-54
NR875--MA0731.1.BCL6B	chr14	79295838	79295854	+	0.000	0.000	Merged-chr14-79295795-2
NR2367--MA0731.1.BCL6B	chr7	74357249	74357265	-	0.000	0.000	Merged-chr7-74357288-11
NR1878--MA0463.1.Bcl6	chr4	93497599	93497612	-	0.000	0.000	Merged-chr4-93497619-1
NR2604--MA0731.1.BCL6B	chr9	56995099	56995115	+	0.000	0.000	Merged-chr9-56995243-79
NR1681--MA0463.1.Bcl6	chr3	103374143	103374156	+	0.000	0.000	Merged-chr3-103374270-26
NR767--MA0463.1.Bcl6	chr13	119283788	119283801	-	0.000	0.000	Merged-chr13-119283624-33
NR1668--MA0463.1.Bcl6	chr3	95722632	95722645	-	0.000	0.000	Merged-chr3-95722546-39
NR1574--MA0463.1.Bcl6	chr2	167313926	167313939	+	0.000	0.000	Merged-chr2-167313855-44
NR570--MA0463.1.Bcl6	chr12	85123320	85123333	+	0.000	0.000	Merged-chr12-85123310-39
NR2564--MA0731.1.BCL6B	chr8	125557520	125557536	+	0.000	0.000	Merged-chr8-125557520-11
NR214--MA0731.1.BCL6B	chr1	182163153	182163169	+	0.000	0.000	Merged-chr1-182163114-26
NR2163--MA0731.1.BCL6B	chr6	29272518	29272534	+	0.000	0.000	Merged-chr6-29272695-53
NR1561--MA0731.1.BCL6B	chr2	157131153	157131169	-	0.000	0.000	Merged-chr2-157131278-25
NR2176--MA0731.1.BCL6B	chr6	38789669	38789685	-	0.000	0.000	Merged-chr6-38789563-52
NR2678--MA0463.1.Bcl6	chr9	124068594	124068607	-	0.000	0.000	Merged-chr9-124068612-53
NR2463--MA0463.1.Bcl6	chr8	34817845	34817858	+	0.000	0.000	Merged-chr8-34817852-8
NR2699--MA0731.1.BCL6B	chrX	77586167	77586183	+	0.000	0.000	Merged-chrX-77586206-37
NR2696--MA0463.1.Bcl6	chrX	52760348	52760361	+	0.000	0.000	Merged-chrX-52760494-47
NR2155--MA0731.1.BCL6B	chr6	24310925	24310941	-	0.000	0.000	Merged-chr6-24310854-8
NR296--MA0731.1.BCL6B	chr10	39039685	39039701	+	0.000	0.000	Merged-chr10-39039718-5
NR804--MA0463.1.Bcl6	chr14	17414438	17414451	+	0.000	0.000	Merged-chr14-17414498-32
NR2007--MA0463.1.Bcl6	chr5	20845318	20845331	+	0.000	0.000	Merged-chr5-20845245-18
NR1293--MA0463.1.Bcl6	chr18	68059323	68059336	+	0.000	0.000	Merged-chr18-68059360-81
NR2486--MA0463.1.Bcl6	chr8	53630672	53630685	+	0.000	0.000	Merged-chr8-53630787-29
NR1047--MA0463.1.Bcl6	chr16	21412734	21412747	-	0.000	0.000	Merged-chr16-21412806-39
NR1168--MA0463.1.Bcl6	chr17	28257113	28257126	-	0.000	0.000	Merged-chr17-28256965-58
NR164--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR2173--MA0463.1.Bcl6	chr6	34955545	34955558	-	0.000	0.000	Merged-chr6-34955632-40
NR2039--MA0463.1.Bcl6	chr5	53995259	53995272	-	0.000	0.000	Merged-chr5-53995231-101
NR2500--MA0463.1.Bcl6	chr8	69832490	69832503	+	0.000	0.000	Merged-chr8-69832557-54
NR299--MA0463.1.Bcl6	chr10	42843275	42843288	+	0.000	0.000	Merged-chr10-42843414-7
NR2630--MA0463.1.Bcl6	chr9	82964143	82964156	-	0.000	0.000	Merged-chr9-82964235-29
NR872--MA0463.1.Bcl6	chr14	75899662	75899675	+	0.000	0.000	Merged-chr14-75899694-30
NR1885--MA0463.1.Bcl6	chr4	96591234	96591247	-	0.000	0.000	Merged-chr4-96591096-6
NR859--MA0463.1.Bcl6	chr14	57910807	57910820	+	0.000	0.000	Merged-chr14-57910674-41
NR1657--MA0463.1.Bcl6	chr3	84657193	84657206	-	0.000	0.000	Merged-chr3-84657299-19
NR877--MA0463.1.Bcl6	chr14	79390423	79390436	+	0.000	0.000	Merged-chr14-79390621-66
NR1675--MA0463.1.Bcl6	chr3	98281002	98281015	-	0.000	0.000	Merged-chr3-98281152-46
NR1864--MA0731.1.BCL6B	chr4	86683518	86683534	+	0.000	0.000	Merged-chr4-86683553-15
NR1211--MA0731.1.BCL6B	chr17	70755478	70755494	+	0.000	0.000	Merged-chr17-70755266-44
NR77--MA0463.1.Bcl6	chr1	66714310	66714323	+	0.000	0.000	Merged-chr1-66714205-8
NR2322--MA0463.1.Bcl6	chr7	28780269	28780282	-	0.000	0.000	Merged-chr7-28780400-13
NR1004--MA0463.1.Bcl6	chr15	100598719	100598732	-	0.000	0.000	Merged-chr15-100598688-62
NR797--MA0463.1.Bcl6	chr14	13080302	13080315	-	0.000	0.000	Merged-chr14-13080160-1
NR694--MA0463.1.Bcl6	chr13	73714215	73714228	+	0.000	0.000	Merged-chr13-73714224-16
NR60--MA0731.1.BCL6B	chr1	58761717	58761733	+	0.000	0.000	Merged-chr1-58761595-25
NR466--MA0463.1.Bcl6	chr11	98682471	98682484	+	0.000	0.000	Merged-chr11-98682471-63
NR661--MA0731.1.BCL6B	chr13	37312532	37312548	+	0.000	0.000	Merged-chr13-37312646-27
NR1009--MA0463.1.Bcl6	chr15	102526799	102526812	+	0.000	0.000	Merged-chr15-102526608-8
NR1479--MA0463.1.Bcl6	chr2	103638728	103638741	+	0.000	0.000	Merged-chr2-103638879-10
NR2457--MA0463.1.Bcl6	chr8	25994109	25994122	-	0.000	0.000	Merged-chr8-25994134-53
NR1170--MA0463.1.Bcl6	chr17	32424202	32424215	-	0.000	0.000	Merged-chr17-32424197-48
NR596--MA0463.1.Bcl6	chr12	107992791	107992804	-	0.000	0.000	Merged-chr12-107992676-1
NR1291--MA0463.1.Bcl6	chr18	65272282	65272295	+	0.000	0.000	Merged-chr18-65272227-29
NR2260--MA0463.1.Bcl6	chr6	127582688	127582701	+	0.000	0.000	Merged-chr6-127582626-90
NR1045--MA0463.1.Bcl6	chr16	18127358	18127371	-	0.000	0.000	Merged-chr16-18127553-42
NR1673--MA0731.1.BCL6B	chr3	97297574	97297590	-	0.000	0.000	Merged-chr3-97297834-52
NR892--MA0731.1.BCL6B	chr14	103550684	103550700	+	0.000	0.000	Merged-chr14-103550672-31
NR1269--MA0463.1.Bcl6	chr18	42589626	42589639	+	0.000	0.000	Merged-chr18-42589675-37
