#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR60683--MA0742.1.Klf12	chr7	112679301	112679315	+	0.000	0.000	Merged-chr7-112679423-49
NR50681--MA0742.1.Klf12	chr5	107688053	107688067	-	0.000	0.000	Merged-chr5-107688177-56
NR7391--MA0599.1.KLF5	chr10	91123594	91123603	-	0.000	0.000	Merged-chr10-91123790-83
NR52427--MA0742.1.Klf12	chr5	139304586	139304600	-	0.000	0.000	Merged-chr5-139304539-2
NR47636--MA0039.3.KLF4	chr4	144901712	144901722	+	0.000	0.000	Merged-chr4-144901724-37
NR48056--MA0741.1.KLF16	chr4	150938239	150938249	-	0.000	0.000	Merged-chr4-150938152-39
NR58329--MA0741.1.KLF16	chr7	27325316	27325326	+	0.000	0.000	Merged-chr7-27325300-3
NR66856--MA0741.1.KLF16	chr9	64960819	64960829	+	0.000	0.000	Merged-chr9-64960866-47
NR61780--MA1107.1.KLF9	chr7	139125698	139125710	-	0.000	0.000	Merged-chr7-139125728-10
NR66407--MA0599.1.KLF5	chr9	50856930	50856939	-	0.000	0.000	Merged-chr9-50856954-76
NR33680--MA0740.1.KLF14	chr19	44069762	44069775	+	0.000	0.000	Merged-chr19-44069600-84
NR13787--MA0599.1.KLF5	chr12	30911671	30911680	-	0.000	0.000	Merged-chr12-30911736-104
NR56551--MA0740.1.KLF14	chr6	136414208	136414221	+	0.000	0.000	Merged-chr6-136414055-4
NR38939--MA0599.1.KLF5	chr2	160873052	160873061	+	0.000	0.000	Merged-chr2-160872923-80
NR70264--MA1107.1.KLF9	chrX	136976961	136976973	+	0.000	0.000	Merged-chrX-136976953-62
NR50078--MA1107.1.KLF9	chr5	88676304	88676316	-	0.000	0.000	Merged-chr5-88676360-5
NR45032--MA0493.1.Klf1	chr4	56222650	56222660	+	0.000	0.000	Merged-chr4-56222492-84
NR54032--MA0741.1.KLF16	chr6	48395581	48395591	+	0.000	0.000	Merged-chr6-48395696-62
NR36889--MA0599.1.KLF5	chr2	104122734	104122743	-	0.000	0.000	Merged-chr2-104122905-60
NR4870--MA0741.1.KLF16	chr10	4432430	4432440	+	0.000	0.000	Merged-chr10-4432497-94
NR30568--MA1107.1.KLF9	chr18	34119162	34119174	+	0.000	0.000	Merged-chr18-34119023-1
NR28530--MA0740.1.KLF14	chr17	44777208	44777221	+	0.000	0.000	Merged-chr17-44777259-107
NR39599--MA0599.1.KLF5	chr2	173263824	173263833	+	0.000	0.000	Merged-chr2-173263932-54
NR33278--MA1107.1.KLF9	chr19	29647966	29647978	+	0.000	0.000	Merged-chr19-29648098-92
NR33373--MA0742.1.Klf12	chr19	34475187	34475201	+	0.000	0.000	Merged-chr19-34475070-71
NR31281--MA0657.1.KLF13	chr18	62973002	62973019	+	0.000	0.000	Merged-chr18-62972884-28
NR20752--MA0039.3.KLF4	chr14	70618074	70618084	-	0.000	0.000	Merged-chr14-70618190-41
NR9007--MA0741.1.KLF16	chr11	3931857	3931867	+	0.000	0.000	Merged-chr11-3931934-36
NR3536--MA0039.3.KLF4	chr1	173630847	173630857	+	0.000	0.000	Merged-chr1-173630967-64
NR46789--MA0493.1.Klf1	chr4	130520468	130520478	-	0.000	0.000	Merged-chr4-130520365-48
NR45158--MA0599.1.KLF5	chr4	59805781	59805790	+	0.000	0.000	Merged-chr4-59805793-13
NR13214--MA0599.1.KLF5	chr11	120660701	120660710	-	0.000	0.000	Merged-chr11-120660742-13
NR16372--MA0740.1.KLF14	chr13	21222584	21222597	-	0.000	0.000	Merged-chr13-21222520-28
NR15809--MA1107.1.KLF9	chr12	112673045	112673057	+	0.000	0.000	Merged-chr12-112673105-15
NR44459--MA0740.1.KLF14	chr4	41124388	41124401	+	0.000	0.000	Merged-chr4-41124348-51
NR51957--MA0599.1.KLF5	chr5	134350859	134350868	+	0.000	0.000	Merged-chr5-134350841-34
NR29068--MA0741.1.KLF16	chr17	57275563	57275573	+	0.000	0.000	Merged-chr17-57275446-78
NR22037--MA1107.1.KLF9	chr15	10714811	10714823	+	0.000	0.000	Merged-chr15-10714882-50
NR29036--MA0740.1.KLF14	chr17	57188912	57188925	+	0.000	0.000	Merged-chr17-57188930-47
NR52538--MA0657.1.KLF13	chr5	140208908	140208925	+	0.000	0.000	Merged-chr5-140208912-49
NR34009--MA0657.1.KLF13	chr19	54115019	54115036	-	0.000	0.000	Merged-chr19-54115142-50
NR68122--MA0741.1.KLF16	chr9	102354859	102354869	-	0.000	0.000	Merged-chr9-102354787-54
NR60226--MA0599.1.KLF5	chr7	100879822	100879831	+	0.000	0.000	Merged-chr7-100879826-8
NR5615--MA0740.1.KLF14	chr10	42478608	42478621	-	0.000	0.000	Merged-chr10-42478401-62
NR39908--MA0599.1.KLF5	chr2	180589396	180589405	-	0.000	0.000	Merged-chr2-180589507-64
NR63275--MA1107.1.KLF9	chr8	69832445	69832457	-	0.000	0.000	Merged-chr8-69832557-54
NR22717--MA0741.1.KLF16	chr15	58171624	58171634	+	0.000	0.000	Merged-chr15-58171434-29
NR43426--MA0599.1.KLF5	chr3	144720417	144720426	-	0.000	0.000	Merged-chr3-144720507-6
NR23579--MA1107.1.KLF9	chr15	82188230	82188242	+	0.000	0.000	Merged-chr15-82188110-14
NR33159--MA0741.1.KLF16	chr19	23135505	23135515	+	0.000	0.000	Merged-chr19-23135579-121
NR34923--MA1107.1.KLF9	chr2	26304877	26304889	-	0.000	0.000	Merged-chr2-26304890-4
NR41957--MA0741.1.KLF16	chr3	103927744	103927754	-	0.000	0.000	Merged-chr3-103927636-31
NR66313--MA0599.1.KLF5	chr9	47530145	47530154	+	0.000	0.000	Merged-chr9-47530154-53
NR26750--MA1107.1.KLF9	chr16	95990954	95990966	+	0.000	0.000	Merged-chr16-95990846-67
NR38710--MA0493.1.Klf1	chr2	155819125	155819135	+	0.000	0.000	Merged-chr2-155819195-52
NR29121--MA0599.1.KLF5	chr17	63405678	63405687	+	0.000	0.000	Merged-chr17-63405591-44
NR36875--MA0493.1.Klf1	chr2	104095787	104095797	-	0.000	0.000	Merged-chr2-104095908-22
NR35244--MA0599.1.KLF5	chr2	32132894	32132903	-	0.000	0.000	Merged-chr2-32132816-8
NR28810--MA0657.1.KLF13	chr17	50292852	50292869	+	0.000	0.000	Merged-chr17-50292906-47
NR38630--MA0599.1.KLF5	chr2	154408141	154408150	-	0.000	0.000	Merged-chr2-154408006-43
NR57932--MA0741.1.KLF16	chr7	17025640	17025650	+	0.000	0.000	Merged-chr7-17025652-5
NR44753--MA0599.1.KLF5	chr4	45530839	45530848	+	0.000	0.000	Merged-chr4-45530813-118
NR65268--MA0741.1.KLF16	chr8	124663443	124663453	+	0.000	0.000	Merged-chr8-124663205-81
NR10625--MA0599.1.KLF5	chr11	72608378	72608387	+	0.000	0.000	Merged-chr11-72608419-11
NR41142--MA1107.1.KLF9	chr3	84345595	84345607	+	0.000	0.000	Merged-chr3-84345416-77
NR18744--MA0742.1.Klf12	chr13	108316274	108316288	+	0.000	0.000	Merged-chr13-108316339-65
NR55110--MA0741.1.KLF16	chr6	98609334	98609344	+	0.000	0.000	Merged-chr6-98609321-36
NR33727--MA0599.1.KLF5	chr19	45047770	45047779	+	0.000	0.000	Merged-chr19-45047719-125
NR29045--MA0657.1.KLF13	chr17	57249421	57249438	-	0.000	0.000	Merged-chr17-57249489-39
NR23584--MA0493.1.Klf1	chr15	82224397	82224407	+	0.000	0.000	Merged-chr15-82224462-30
NR16588--MA0742.1.Klf12	chr13	34037504	34037518	+	0.000	0.000	Merged-chr13-34037610-57
NR14957--MA0493.1.Klf1	chr12	91849228	91849238	+	0.000	0.000	Merged-chr12-91849094-58
NR7126--MA1107.1.KLF9	chr10	83898135	83898147	+	0.000	0.000	Merged-chr10-83898059-2
NR32068--MA0493.1.Klf1	chr18	81405004	81405014	+	0.000	0.000	Merged-chr18-81404957-28
NR269--MA0599.1.KLF5	chr1	34462899	34462908	+	0.000	0.000	Merged-chr1-34462977-38
NR43223--MA0741.1.KLF16	chr3	139075234	139075244	-	0.000	0.000	Merged-chr3-139075106-131
NR16712--MA0599.1.KLF5	chr13	40676878	40676887	+	0.000	0.000	Merged-chr13-40676828-31
NR20623--MA0741.1.KLF16	chr14	66196441	66196451	+	0.000	0.000	Merged-chr14-66196468-7
NR8258--MA0740.1.KLF14	chr10	118141764	118141777	-	0.000	0.000	Merged-chr10-118141818-53
NR56953--MA1107.1.KLF9	chr6	142659042	142659054	+	0.000	0.000	Merged-chr6-142659170-20
