#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR23778--MA0740.1.KLF14	chr15	58823639	58823652	-	0.000	0.000	Merged-chr15-58823489-98
NR25862--MA0493.1.Klf1	chr16	10969311	10969321	-	0.000	0.000	Merged-chr16-10969472-37
NR10937--MA0657.1.KLF13	chr11	61684378	61684395	+	0.000	0.000	Merged-chr11-61684230-57
NR26826--MA1107.1.KLF9	chr16	52454391	52454403	+	0.000	0.000	Merged-chr16-52454226-6
NR62659--MA0741.1.KLF16	chr8	27161537	27161547	-	0.000	0.000	Merged-chr8-27161535-3
NR59145--MA0742.1.Klf12	chr7	34912357	34912371	+	0.000	0.000	Merged-chr7-34912506-54
NR7263--MA0740.1.KLF14	chr10	75978464	75978477	-	0.000	0.000	Merged-chr10-75978406-17
NR21502--MA1107.1.KLF9	chr14	79154091	79154103	-	0.000	0.000	Merged-chr14-79154092-10
NR54513--MA0039.3.KLF4	chr6	24310903	24310913	-	0.000	0.000	Merged-chr6-24310854-8
NR37234--MA0741.1.KLF16	chr2	72997221	72997231	-	0.000	0.000	Merged-chr2-72997142-44
NR28698--MA0599.1.KLF5	chr17	18004866	18004875	+	0.000	0.000	Merged-chr17-18004943-3
NR11155--MA0599.1.KLF5	chr11	69948287	69948296	+	0.000	0.000	Merged-chr11-69948307-18
NR64114--MA1107.1.KLF9	chr8	84128439	84128451	+	0.000	0.000	Merged-chr8-84128468-26
NR11494--MA1107.1.KLF9	chr11	78301518	78301530	-	0.000	0.000	Merged-chr11-78301552-46
NR52523--MA0742.1.Klf12	chr5	119359915	119359929	-	0.000	0.000	Merged-chr5-119360019-16
NR63695--MA0657.1.KLF13	chr8	70797262	70797279	-	0.000	0.000	Merged-chr8-70797334-59
NR14429--MA0741.1.KLF16	chr12	69539531	69539541	-	0.000	0.000	Merged-chr12-69539558-45
NR23374--MA0599.1.KLF5	chr15	38301078	38301087	-	0.000	0.000	Merged-chr15-38301067-73
NR12478--MA0741.1.KLF16	chr11	106788648	106788658	+	0.000	0.000	Merged-chr11-106788603-141
NR35349--MA0741.1.KLF16	chr2	11777592	11777602	+	0.000	0.000	Merged-chr2-11777973-128
NR34042--MA0599.1.KLF5	chr19	8837509	8837518	+	0.000	0.000	Merged-chr19-8837631-55
NR68160--MA1107.1.KLF9	chr9	116114512	116114524	-	0.000	0.000	Merged-chr9-116114550-42
NR36637--MA1107.1.KLF9	chr2	51223806	51223818	+	0.000	0.000	Merged-chr2-51223946-1
NR39008--MA0599.1.KLF5	chr2	136891526	136891535	+	0.000	0.000	Merged-chr2-136891552-154
NR28125--MA0599.1.KLF5	chr16	97310087	97310096	-	0.000	0.000	Merged-chr16-97310397-57
NR64796--MA0741.1.KLF16	chr8	109868492	109868502	-	0.000	0.000	Merged-chr8-109868700-77
NR18873--MA0493.1.Klf1	chr13	106825808	106825818	-	0.000	0.000	Merged-chr13-106825787-11
NR41232--MA0493.1.Klf1	chr3	35723792	35723802	+	0.000	0.000	Merged-chr3-35723760-11
NR17242--MA0599.1.KLF5	chr13	58402844	58402853	+	0.000	0.000	Merged-chr13-58402711-8
NR10495--MA0740.1.KLF14	chr11	49083338	49083351	+	0.000	0.000	Merged-chr11-49083360-4
NR26966--MA0599.1.KLF5	chr16	57434815	57434824	-	0.000	0.000	Merged-chr16-57434811-45
NR66868--MA0599.1.KLF5	chr9	65586972	65586981	+	0.000	0.000	Merged-chr9-65587090-27
NR20645--MA1107.1.KLF9	chr14	47546048	47546060	+	0.000	0.000	Merged-chr14-47545973-9
NR20871--MA0742.1.Klf12	chr14	54464112	54464126	-	0.000	0.000	Merged-chr14-54464203-140
NR25879--MA0742.1.Klf12	chr16	11134650	11134664	+	0.000	0.000	Merged-chr16-11134662-66
NR53451--MA0493.1.Klf1	chr5	137776847	137776857	-	0.000	0.000	Merged-chr5-137776694-7
NR42979--MA0039.3.KLF4	chr3	103102604	103102614	-	0.000	0.000	Merged-chr3-103102606-96
NR62516--MA0741.1.KLF16	chr8	22227124	22227134	+	0.000	0.000	Merged-chr8-22227321-39
NR57300--MA0741.1.KLF16	chr6	134183958	134183968	+	0.000	0.000	Merged-chr6-134184108-53
NR25092--MA0493.1.Klf1	chr15	93576006	93576016	-	0.000	0.000	Merged-chr15-93576121-28
NR9093--MA0742.1.Klf12	chr10	121331258	121331272	+	0.000	0.000	Merged-chr10-121331107-36
NR62982--MA0742.1.Klf12	chr8	40963168	40963182	-	0.000	0.000	Merged-chr8-40963134-88
NR10965--MA0599.1.KLF5	chr11	62648543	62648552	+	0.000	0.000	Merged-chr11-62648702-91
NR52309--MA0741.1.KLF16	chr5	113873339	113873349	-	0.000	0.000	Merged-chr5-113873174-24
NR37486--MA0741.1.KLF16	chr2	83929608	83929618	-	0.000	0.000	Merged-chr2-83929608-43
NR26732--MA1107.1.KLF9	chr16	48763323	48763335	-	0.000	0.000	Merged-chr16-48763464-5
NR44192--MA1107.1.KLF9	chr3	143493054	143493066	+	0.000	0.000	Merged-chr3-143493127-1
NR42694--MA0599.1.KLF5	chr3	95142400	95142409	+	0.000	0.000	Merged-chr3-95142553-16
NR56287--MA0599.1.KLF5	chr6	99502511	99502520	+	0.000	0.000	Merged-chr6-99502370-1
NR63795--MA0740.1.KLF14	chr8	71665701	71665714	-	0.000	0.000	Merged-chr8-71665590-47
NR5711--MA0740.1.KLF14	chr10	17479187	17479200	+	0.000	0.000	Merged-chr10-17479176-1
NR27392--MA1107.1.KLF9	chr16	75856073	75856085	+	0.000	0.000	Merged-chr16-75856186-4
NR10607--MA0599.1.KLF5	chr11	53519829	53519838	-	0.000	0.000	Merged-chr11-53519837-32
NR36562--MA0599.1.KLF5	chr2	48419890	48419899	+	0.000	0.000	Merged-chr2-48419995-8
NR17397--MA0657.1.KLF13	chr13	64161797	64161814	-	0.000	0.000	Merged-chr13-64161873-63
NR20846--MA0039.3.KLF4	chr14	54146704	54146714	+	0.000	0.000	Merged-chr14-54146707-32
NR28326--MA0493.1.Klf1	chr17	7169950	7169960	-	0.000	0.000	Merged-chr17-7169938-73
NR56268--MA1107.1.KLF9	chr6	99360158	99360170	+	0.000	0.000	Merged-chr6-99360034-2
NR22489--MA1107.1.KLF9	chr14	121545762	121545774	+	0.000	0.000	Merged-chr14-121545671-6
NR64902--MA1107.1.KLF9	chr8	114882136	114882148	+	0.000	0.000	Merged-chr8-114882305-33
NR69190--MA0742.1.Klf12	chrX	103695580	103695594	-	0.000	0.000	Merged-chrX-103695530-55
NR22950--MA1107.1.KLF9	chr15	25805854	25805866	+	0.000	0.000	Merged-chr15-25805747-73
NR49230--MA0741.1.KLF16	chr4	155774592	155774602	+	0.000	0.000	Merged-chr4-155774656-37
NR5734--MA1107.1.KLF9	chr10	18070686	18070698	-	0.000	0.000	Merged-chr10-18070790-14
NR8105--MA0599.1.KLF5	chr10	93326907	93326916	+	0.000	0.000	Merged-chr10-93326815-10
NR62768--MA0741.1.KLF16	chr8	34397999	34398009	+	0.000	0.000	Merged-chr8-34397971-66
NR17569--MA0599.1.KLF5	chr13	69611738	69611747	+	0.000	0.000	Merged-chr13-69611588-99
NR52766--MA0741.1.KLF16	chr5	124079222	124079232	-	0.000	0.000	Merged-chr5-124079181-11
NR67678--MA0740.1.KLF14	chr9	99568955	99568968	-	0.000	0.000	Merged-chr9-99568733-85
NR1568--MA0742.1.Klf12	chr1	75213259	75213273	-	0.000	0.000	Merged-chr1-75213327-22
NR1016--MA0039.3.KLF4	chr1	51104944	51104954	-	0.000	0.000	Merged-chr1-51104887-5
NR37540--MA0599.1.KLF5	chr2	85007679	85007688	+	0.000	0.000	Merged-chr2-85007896-35
NR58887--MA0493.1.Klf1	chr7	28677346	28677356	-	0.000	0.000	Merged-chr7-28677170-43
NR28913--MA0599.1.KLF5	chr17	25015824	25015833	-	0.000	0.000	Merged-chr17-25015631-3
NR68815--MA0599.1.KLF5	chrX	48285496	48285505	+	0.000	0.000	Merged-chrX-48285695-3
NR59430--MA1107.1.KLF9	chr7	45068180	45068192	-	0.000	0.000	Merged-chr7-45068056-13
NR35417--MA0039.3.KLF4	chr2	13575064	13575074	+	0.000	0.000	Merged-chr2-13575035-10
NR68600--MA0599.1.KLF5	chrX	12977804	12977813	-	0.000	0.000	Merged-chrX-12977868-18
NR13651--MA0039.3.KLF4	chr12	28735503	28735513	-	0.000	0.000	Merged-chr12-28735423-1
NR10871--MA0599.1.KLF5	chr11	60727259	60727268	+	0.000	0.000	Merged-chr11-60727194-59
NR22589--MA0741.1.KLF16	chr14	123001573	123001583	+	0.000	0.000	Merged-chr14-123001594-21
NR49965--MA0599.1.KLF5	chr5	24685916	24685925	-	0.000	0.000	Merged-chr5-24685796-115
NR58058--MA0741.1.KLF16	chr7	4964460	4964470	+	0.000	0.000	Merged-chr7-4964465-28
NR8896--MA0741.1.KLF16	chr10	117063814	117063824	-	0.000	0.000	Merged-chr10-117063673-90
NR45904--MA0740.1.KLF14	chr4	43493301	43493314	-	0.000	0.000	Merged-chr4-43493243-98
NR35053--MA0742.1.Klf12	chr2	3284119	3284133	-	0.000	0.000	Merged-chr2-3284320-138
NR61637--MA1107.1.KLF9	chr7	132735389	132735401	-	0.000	0.000	Merged-chr7-132735427-53
NR28796--MA0493.1.Klf1	chr17	22867286	22867296	+	0.000	0.000	Merged-chr17-22867283-5
NR28833--MA0741.1.KLF16	chr17	23924760	23924770	-	0.000	0.000	Merged-chr17-23924911-57
NR6345--MA0741.1.KLF16	chr10	43722543	43722553	+	0.000	0.000	Merged-chr10-43722672-2
NR53409--MA0742.1.Klf12	chr5	137600821	137600835	+	0.000	0.000	Merged-chr5-137600985-67
NR33746--MA0740.1.KLF14	chr19	3325549	3325562	-	0.000	0.000	Merged-chr19-3325405-49
NR11173--MA0599.1.KLF5	chr11	70221161	70221170	-	0.000	0.000	Merged-chr11-70221085-67
NR62634--MA0599.1.KLF5	chr8	26698690	26698699	-	0.000	0.000	Merged-chr8-26698799-12
NR59570--MA0599.1.KLF5	chr7	48898567	48898576	+	0.000	0.000	Merged-chr7-48898692-36
NR58901--MA0599.1.KLF5	chr7	28803043	28803052	+	0.000	0.000	Merged-chr7-28802927-28
NR36110--MA0599.1.KLF5	chr2	32535274	32535283	+	0.000	0.000	Merged-chr2-32535268-83
NR42233--MA0599.1.KLF5	chr3	79194246	79194255	+	0.000	0.000	Merged-chr3-79194432-21
NR157--MA0599.1.KLF5	chr1	9848224	9848233	-	0.000	0.000	Merged-chr1-9848247-58
NR43999--MA0599.1.KLF5	chr3	138264942	138264951	-	0.000	0.000	Merged-chr3-138265020-7
NR32981--MA0493.1.Klf1	chr18	67289142	67289152	-	0.000	0.000	Merged-chr18-67289383-133
NR29068--MA0741.1.KLF16	chr17	27826186	27826196	-	0.000	0.000	Merged-chr17-27826379-77
NR56502--MA0599.1.KLF5	chr6	108571218	108571227	+	0.000	0.000	Merged-chr6-108571232-71
NR14765--MA0599.1.KLF5	chr12	82169642	82169651	+	0.000	0.000	Merged-chr12-82169653-106
NR52348--MA0493.1.Klf1	chr5	114639608	114639618	-	0.000	0.000	Merged-chr5-114639574-38
NR45282--MA1107.1.KLF9	chr4	14922315	14922327	-	0.000	0.000	Merged-chr4-14922203-28
NR68122--MA0741.1.KLF16	chr9	114730243	114730253	-	0.000	0.000	Merged-chr9-114730346-23
NR7582--MA0039.3.KLF4	chr10	80622384	80622394	+	0.000	0.000	Merged-chr10-80622471-84
NR37867--MA0599.1.KLF5	chr2	103797078	103797087	-	0.000	0.000	Merged-chr2-103797033-190
NR40060--MA0742.1.Klf12	chr2	169634035	169634049	+	0.000	0.000	Merged-chr2-169634008-43
NR17501--MA0741.1.KLF16	chr13	67081391	67081401	+	0.000	0.000	Merged-chr13-67081382-93
NR62606--MA1107.1.KLF9	chr8	25609071	25609083	-	0.000	0.000	Merged-chr8-25609215-28
NR25108--MA0741.1.KLF16	chr15	93950834	93950844	-	0.000	0.000	Merged-chr15-93950639-49
NR58435--MA0493.1.Klf1	chr7	19282641	19282651	+	0.000	0.000	Merged-chr7-19282647-45
NR52935--MA0599.1.KLF5	chr5	129725042	129725051	+	0.000	0.000	Merged-chr5-129725191-86
NR49808--MA0493.1.Klf1	chr5	21187053	21187063	+	0.000	0.000	Merged-chr5-21187049-4
NR48445--MA0742.1.Klf12	chr4	136060046	136060060	-	0.000	0.000	Merged-chr4-136060160-34
NR68908--MA1107.1.KLF9	chrX	57326759	57326771	-	0.000	0.000	Merged-chrX-57326687-25
NR35920--MA0599.1.KLF5	chr2	29820464	29820473	+	0.000	0.000	Merged-chr2-29820454-25
NR69229--MA0599.1.KLF5	chrX	107816438	107816447	+	0.000	0.000	Merged-chrX-107816203-60
NR44753--MA0599.1.KLF5	chr3	154628589	154628598	+	0.000	0.000	Merged-chr3-154628476-23
NR37181--MA0741.1.KLF16	chr2	71786879	71786889	-	0.000	0.000	Merged-chr2-71787122-109
NR11985--MA0741.1.KLF16	chr11	96916553	96916563	+	0.000	0.000	Merged-chr11-96916500-59
NR52025--MA1107.1.KLF9	chr5	107926653	107926665	+	0.000	0.000	Merged-chr5-107926816-56
NR11365--MA0493.1.Klf1	chr11	76217590	76217600	+	0.000	0.000	Merged-chr11-76217513-52
NR54868--MA0493.1.Klf1	chr6	41662627	41662637	+	0.000	0.000	Merged-chr6-41662525-9
NR22168--MA0599.1.KLF5	chr14	115205899	115205908	+	0.000	0.000	Merged-chr14-115206056-2
NR42693--MA1107.1.KLF9	chr3	95135837	95135849	-	0.000	0.000	Merged-chr3-95135773-59
NR45774--MA0741.1.KLF16	chr4	41569669	41569679	-	0.000	0.000	Merged-chr4-41569502-63
NR20874--MA0493.1.Klf1	chr14	54464116	54464126	-	0.000	0.000	Merged-chr14-54464203-140
NR37177--MA0493.1.Klf1	chr2	71786880	71786890	-	0.000	0.000	Merged-chr2-71787122-109
NR33512--MA0599.1.KLF5	chr18	82847257	82847266	-	0.000	0.000	Merged-chr18-82847210-15
NR62531--MA0599.1.KLF5	chr8	22757686	22757695	+	0.000	0.000	Merged-chr8-22757594-30
NR4201--MA1107.1.KLF9	chr1	171607430	171607442	-	0.000	0.000	Merged-chr1-171607234-71
NR54779--MA0599.1.KLF5	chr6	37442267	37442276	+	0.000	0.000	Merged-chr6-37442138-79
NR68913--MA0493.1.Klf1	chrX	59134807	59134817	+	0.000	0.000	Merged-chrX-59134766-110
NR10145--MA0741.1.KLF16	chr11	23306493	23306503	-	0.000	0.000	Merged-chr11-23306363-115
NR4994--MA0493.1.Klf1	chr1	191397226	191397236	-	0.000	0.000	Merged-chr1-191397050-148
NR63804--MA0493.1.Klf1	chr8	71665704	71665714	-	0.000	0.000	Merged-chr8-71665590-47
NR28931--MA0599.1.KLF5	chr17	25222286	25222295	+	0.000	0.000	Merged-chr17-25222539-87
NR60677--MA1107.1.KLF9	chr7	98469233	98469245	+	0.000	0.000	Merged-chr7-98469350-12
NR57950--MA0599.1.KLF5	chr6	148896263	148896272	+	0.000	0.000	Merged-chr6-148896090-83
NR43755--MA0742.1.Klf12	chr3	131272064	131272078	-	0.000	0.000	Merged-chr3-131271947-79
NR61889--MA0599.1.KLF5	chr7	141215715	141215724	-	0.000	0.000	Merged-chr7-141215830-56
NR9684--MA0740.1.KLF14	chr11	4186703	4186716	-	0.000	0.000	Merged-chr11-4186832-60
NR22816--MA1107.1.KLF9	chr15	12795465	12795477	+	0.000	0.000	Merged-chr15-12795578-29
NR69493--MA0599.1.KLF5	chrX	152016301	152016310	-	0.000	0.000	Merged-chrX-152016475-78
NR31304--MA0740.1.KLF14	chr18	3507870	3507883	-	0.000	0.000	Merged-chr18-3507740-84
NR21129--MA0741.1.KLF16	chr14	61556963	61556973	-	0.000	0.000	Merged-chr14-61556804-76
NR24440--MA0741.1.KLF16	chr15	80192528	80192538	+	0.000	0.000	Merged-chr15-80192413-58
NR2889--MA0741.1.KLF16	chr1	132417544	132417554	-	0.000	0.000	Merged-chr1-132417659-59
NR10611--MA0493.1.Klf1	chr11	53567353	53567363	-	0.000	0.000	Merged-chr11-53567481-45
NR32762--MA0741.1.KLF16	chr18	61377969	61377979	-	0.000	0.000	Merged-chr18-61377910-13
NR37104--MA0741.1.KLF16	chr2	69723112	69723122	-	0.000	0.000	Merged-chr2-69723038-83
NR45631--MA0741.1.KLF16	chr4	34889449	34889459	-	0.000	0.000	Merged-chr4-34889348-6
NR68897--MA0741.1.KLF16	chrX	56374578	56374588	-	0.000	0.000	Merged-chrX-56374648-33
NR18350--MA0599.1.KLF5	chr13	93304022	93304031	+	0.000	0.000	Merged-chr13-93303987-85
NR39697--MA0493.1.Klf1	chr2	160873051	160873061	+	0.000	0.000	Merged-chr2-160872923-80
NR53419--MA0039.3.KLF4	chr5	137721049	137721059	+	0.000	0.000	Merged-chr5-137721139-55
NR35424--MA0741.1.KLF16	chr2	13793561	13793571	+	0.000	0.000	Merged-chr2-13793433-83
NR49964--MA1107.1.KLF9	chr5	24685861	24685873	+	0.000	0.000	Merged-chr5-24685796-115
NR61101--MA0599.1.KLF5	chr7	114276178	114276187	-	0.000	0.000	Merged-chr7-114276213-86
NR16227--MA0039.3.KLF4	chr13	13531063	13531073	-	0.000	0.000	Merged-chr13-13531086-27
NR12348--MA0741.1.KLF16	chr11	102467222	102467232	-	0.000	0.000	Merged-chr11-102467251-44
NR20875--MA0741.1.KLF16	chr14	54464115	54464125	-	0.000	0.000	Merged-chr14-54464203-140
NR41254--MA1107.1.KLF9	chr3	36475724	36475736	+	0.000	0.000	Merged-chr3-36475795-73
NR12911--MA1107.1.KLF9	chr11	117878384	117878396	-	0.000	0.000	Merged-chr11-117878483-30
NR48385--MA0740.1.KLF14	chr4	135273031	135273044	-	0.000	0.000	Merged-chr4-135272795-85
NR64908--MA0599.1.KLF5	chr8	115234221	115234230	-	0.000	0.000	Merged-chr8-115234193-65
NR48656--MA0740.1.KLF14	chr4	141060591	141060604	-	0.000	0.000	Merged-chr4-141060681-65
NR15930--MA0741.1.KLF16	chr13	6648788	6648798	+	0.000	0.000	Merged-chr13-6648891-51
NR33839--MA0599.1.KLF5	chr19	5024023	5024032	-	0.000	0.000	Merged-chr19-5024003-73
NR47011--MA0599.1.KLF5	chr4	88033143	88033152	+	0.000	0.000	Merged-chr4-88033206-92
NR58929--MA0740.1.KLF14	chr7	29211551	29211564	+	0.000	0.000	Merged-chr7-29211529-84
NR67066--MA1107.1.KLF9	chr9	75435887	75435899	+	0.000	0.000	Merged-chr9-75436054-36
NR30013--MA1107.1.KLF9	chr17	56350991	56351003	-	0.000	0.000	Merged-chr17-56350875-30
NR59230--MA0599.1.KLF5	chr7	38085244	38085253	-	0.000	0.000	Merged-chr7-38085350-130
NR56876--MA0742.1.Klf12	chr6	120916865	120916879	+	0.000	0.000	Merged-chr6-120916830-68
NR25451--MA0599.1.KLF5	chr15	102279429	102279438	-	0.000	0.000	Merged-chr15-102279513-54
NR26643--MA0741.1.KLF16	chr16	44687889	44687899	-	0.000	0.000	Merged-chr16-44688022-8
NR42447--MA1107.1.KLF9	chr3	88510189	88510201	-	0.000	0.000	Merged-chr3-88510082-59
NR28161--MA0599.1.KLF5	chr17	3209727	3209736	+	0.000	0.000	Merged-chr17-3209784-17
NR64532--MA0742.1.Klf12	chr8	104042628	104042642	-	0.000	0.000	Merged-chr8-104042673-23
NR7590--MA0740.1.KLF14	chr10	80622463	80622476	+	0.000	0.000	Merged-chr10-80622471-84
NR57117--MA0493.1.Klf1	chr6	127566597	127566607	+	0.000	0.000	Merged-chr6-127566523-22
NR31827--MA0740.1.KLF14	chr18	25554826	25554839	-	0.000	0.000	Merged-chr18-25554898-22
