#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR744--MA0463.1.Bcl6	chr16	13448032	13448045	+	0.000	0.000	Merged-chr16-13448119-36
NR1542--MA0463.1.Bcl6	chr5	89051303	89051316	-	0.000	0.000	Merged-chr5-89051554-45
NR22--MA0731.1.BCL6B	chr1	53843227	53843243	+	0.000	0.000	Merged-chr1-53843171-20
NR1417--MA0731.1.BCL6B	chr4	109079933	109079949	-	0.000	0.000	Merged-chr4-109079913-32
NR984--MA0731.1.BCL6B	chr19	30095535	30095551	-	0.000	0.000	Merged-chr19-30095625-14
NR1314--MA0463.1.Bcl6	chr3	137955595	137955608	+	0.000	0.000	Merged-chr3-137955835-60
NR1999--MA0463.1.Bcl6	chr9	43784218	43784231	+	0.000	0.000	Merged-chr9-43784156-3
NR1690--MA0463.1.Bcl6	chr6	114916515	114916528	+	0.000	0.000	Merged-chr6-114916622-10
NR1547--MA0463.1.Bcl6	chr5	92392655	92392668	+	0.000	0.000	Merged-chr5-92392769-24
NR1473--MA0731.1.BCL6B	chr4	147848496	147848512	-	0.000	0.000	Merged-chr4-147848412-69
NR1539--MA0731.1.BCL6B	chr5	77285928	77285944	+	0.000	0.000	Merged-chr5-77285904-24
NR315--MA0463.1.Bcl6	chr11	53769773	53769786	-	0.000	0.000	Merged-chr11-53769580-6
NR1010--MA0463.1.Bcl6	chr19	56295268	56295281	+	0.000	0.000	Merged-chr19-56295235-24
NR1757--MA0731.1.BCL6B	chr7	16012876	16012892	+	0.000	0.000	Merged-chr7-16013066-32
NR221--MA0463.1.Bcl6	chr10	59879764	59879777	+	0.000	0.000	Merged-chr10-59879607-101
NR1480--MA0463.1.Bcl6	chr4	151141662	151141675	+	0.000	0.000	Merged-chr4-151141740-35
NR1595--MA0731.1.BCL6B	chr5	138264029	138264045	-	0.000	0.000	Merged-chr5-138263904-55
NR1234--MA0463.1.Bcl6	chr3	68494052	68494065	+	0.000	0.000	Merged-chr3-68493991-26
NR1910--MA0463.1.Bcl6	chr8	46943697	46943710	+	0.000	0.000	Merged-chr8-46943576-48
NR1290--MA0731.1.BCL6B	chr3	126825088	126825104	+	0.000	0.000	Merged-chr3-126825034-19
NR1252--MA0463.1.Bcl6	chr3	93362257	93362270	-	0.000	0.000	Merged-chr3-93362115-43
NR1627--MA0731.1.BCL6B	chr6	22340070	22340086	+	0.000	0.000	Merged-chr6-22340067-27
NR1213--MA0731.1.BCL6B	chr3	37199139	37199155	-	0.000	0.000	Merged-chr3-37199060-11
NR105--MA0463.1.Bcl6	chr1	153386977	153386990	-	0.000	0.000	Merged-chr1-153386899-25
NR1579--MA0463.1.Bcl6	chr5	129586225	129586238	-	0.000	0.000	Merged-chr5-129586130-49
NR1465--MA0731.1.BCL6B	chr4	145250058	145250074	-	0.000	0.000	Merged-chr4-145250198-42
NR703--MA0731.1.BCL6B	chr15	57508722	57508738	-	0.000	0.000	Merged-chr15-57508665-16
NR684--MA0731.1.BCL6B	chr15	12895527	12895543	+	0.000	0.000	Merged-chr15-12895648-51
NR1382--MA0463.1.Bcl6	chr4	46404354	46404367	-	0.000	0.000	Merged-chr4-46404308-42
NR1906--MA0463.1.Bcl6	chr8	41443766	41443779	-	0.000	0.000	Merged-chr8-41443750-12
NR141--MA0463.1.Bcl6	chr1	176827398	176827411	+	0.000	0.000	Merged-chr1-176827492-35
NR2011--MA0463.1.Bcl6	chr9	50527997	50528010	-	0.000	0.000	Merged-chr9-50528064-1
NR374--MA0463.1.Bcl6	chr11	109585135	109585148	-	0.000	0.000	Merged-chr11-109585234-31
NR1239--MA0731.1.BCL6B	chr3	78890029	78890045	-	0.000	0.000	Merged-chr3-78890015-28
NR772--MA0731.1.BCL6B	chr16	49164667	49164683	-	0.000	0.000	Merged-chr16-49164589-42
NR813--MA0463.1.Bcl6	chr16	97272489	97272502	+	0.000	0.000	Merged-chr16-97272459-57
NR925--MA0463.1.Bcl6	chr18	60632960	60632973	-	0.000	0.000	Merged-chr18-60633052-25
NR1826--MA0463.1.Bcl6	chr7	101896592	101896605	+	0.000	0.000	Merged-chr7-101896554-69
NR1218--MA0731.1.BCL6B	chr3	52850196	52850212	-	0.000	0.000	Merged-chr3-52850315-12
NR1289--MA0463.1.Bcl6	chr3	126825088	126825101	-	0.000	0.000	Merged-chr3-126825034-19
NR1688--MA0731.1.BCL6B	chr6	113661633	113661649	-	0.000	0.000	Merged-chr6-113661383-125
NR926--MA0731.1.BCL6B	chr18	60632960	60632976	+	0.000	0.000	Merged-chr18-60633052-25
NR493--MA0731.1.BCL6B	chr13	14063560	14063576	-	0.000	0.000	Merged-chr13-14063519-130
NR1449--MA0731.1.BCL6B	chr4	136031599	136031615	-	0.000	0.000	Merged-chr4-136031447-41
NR350--MA0731.1.BCL6B	chr11	81996268	81996284	-	0.000	0.000	Merged-chr11-81996367-24
NR1306--MA0731.1.BCL6B	chr3	133544249	133544265	+	0.000	0.000	Merged-chr3-133544434-91
NR1634--MA0463.1.Bcl6	chr6	37046476	37046489	-	0.000	0.000	Merged-chr6-37046555-33
NR845--MA0463.1.Bcl6	chr17	44121575	44121588	+	0.000	0.000	Merged-chr17-44121634-62
NR1079--MA0463.1.Bcl6	chr2	69712420	69712433	-	0.000	0.000	Merged-chr2-69712301-22
NR254--MA0731.1.BCL6B	chr10	98785560	98785576	+	0.000	0.000	Merged-chr10-98785565-23
NR743--MA0731.1.BCL6B	chr16	13286624	13286640	-	0.000	0.000	Merged-chr16-13286714-13
NR1518--MA0463.1.Bcl6	chr5	65326391	65326404	+	0.000	0.000	Merged-chr5-65326399-35
NR881--MA0463.1.Bcl6	chr17	79100012	79100025	-	0.000	0.000	Merged-chr17-79100085-51
NR27--MA0463.1.Bcl6	chr1	60979578	60979591	-	0.000	0.000	Merged-chr1-60979583-29
NR420--MA0463.1.Bcl6	chr12	86687071	86687084	-	0.000	0.000	Merged-chr12-86687051-28
NR865--MA0731.1.BCL6B	chr17	65870407	65870423	-	0.000	0.000	Merged-chr17-65870335-22
NR451--MA0731.1.BCL6B	chr12	108765902	108765918	-	0.000	0.000	Merged-chr12-108765872-68
NR1136--MA0731.1.BCL6B	chr2	130664268	130664284	-	0.000	0.000	Merged-chr2-130664423-57
NR1308--MA0463.1.Bcl6	chr3	135604915	135604928	+	0.000	0.000	Merged-chr3-135604723-37
NR671--MA0463.1.Bcl6	chr14	121478475	121478488	-	0.000	0.000	Merged-chr14-121478313-77
NR313--MA0463.1.Bcl6	chr11	53324630	53324643	-	0.000	0.000	Merged-chr11-53324720-33
NR1572--MA0463.1.Bcl6	chr5	123508367	123508380	+	0.000	0.000	Merged-chr5-123508424-41
NR1684--MA0463.1.Bcl6	chr6	108836146	108836159	-	0.000	0.000	Merged-chr6-108836247-72
NR193--MA0731.1.BCL6B	chr10	13057151	13057167	-	0.000	0.000	Merged-chr10-13057097-43
NR464--MA0731.1.BCL6B	chr12	113485485	113485501	+	0.000	0.000	Merged-chr12-113485346-21
NR443--MA0463.1.Bcl6	chr12	102330251	102330264	+	0.000	0.000	Merged-chr12-102330247-36
NR309--MA0463.1.Bcl6	chr11	43767037	43767050	-	0.000	0.000	Merged-chr11-43767173-52
NR1586--MA0463.1.Bcl6	chr5	134437612	134437625	-	0.000	0.000	Merged-chr5-134437601-35
NR17--MA0731.1.BCL6B	chr1	37478656	37478672	+	0.000	0.000	Merged-chr1-37478552-128
NR1913--MA0463.1.Bcl6	chr8	50293759	50293772	-	0.000	0.000	Merged-chr8-50293787-15
NR363--MA0463.1.Bcl6	chr11	98497618	98497631	+	0.000	0.000	Merged-chr11-98497586-22
NR475--MA0463.1.Bcl6	chr12	116049825	116049838	+	0.000	0.000	Merged-chr12-116049840-17
NR2010--MA0731.1.BCL6B	chr9	50414258	50414274	+	0.000	0.000	Merged-chr9-50414250-13
NR381--MA0463.1.Bcl6	chr11	114873360	114873373	-	0.000	0.000	Merged-chr11-114873395-35
NR198--MA0731.1.BCL6B	chr10	19566218	19566234	+	0.000	0.000	Merged-chr10-19566068-15
NR1282--MA0463.1.Bcl6	chr3	121570749	121570762	+	0.000	0.000	Merged-chr3-121570822-16
NR578--MA0731.1.BCL6B	chr13	109844987	109845003	-	0.000	0.000	Merged-chr13-109845162-65
NR914--MA0463.1.Bcl6	chr18	39020928	39020941	-	0.000	0.000	Merged-chr18-39020827-46
NR687--MA0731.1.BCL6B	chr15	18951744	18951760	+	0.000	0.000	Merged-chr15-18951851-25
NR2023--MA0463.1.Bcl6	chr9	63124407	63124420	+	0.000	0.000	Merged-chr9-63124202-41
NR932--MA0463.1.Bcl6	chr18	66502170	66502183	-	0.000	0.000	Merged-chr18-66502099-22
NR177--MA0731.1.BCL6B	chr1	189922365	189922381	+	0.000	0.000	Merged-chr1-189922190-68
NR950--MA0463.1.Bcl6	chr18	81462417	81462430	-	0.000	0.000	Merged-chr18-81462369-37
NR2002--MA0731.1.BCL6B	chr9	46067768	46067784	+	0.000	0.000	Merged-chr9-46067902-17
NR919--MA0463.1.Bcl6	chr18	54940552	54940565	-	0.000	0.000	Merged-chr18-54940674-40
NR1511--MA0463.1.Bcl6	chr5	52783117	52783130	+	0.000	0.000	Merged-chr5-52783183-56
NR2092--MA0731.1.BCL6B	chr9	121675081	121675097	-	0.000	0.000	Merged-chr9-121675261-45
NR1189--MA0731.1.BCL6B	chr2	174674171	174674187	+	0.000	0.000	Merged-chr2-174674180-20
NR1838--MA0463.1.Bcl6	chr7	114069447	114069460	+	0.000	0.000	Merged-chr7-114069379-29
NR852--MA0463.1.Bcl6	chr17	46686074	46686087	-	0.000	0.000	Merged-chr17-46686121-20
NR122--MA0731.1.BCL6B	chr1	164966186	164966202	+	0.000	0.000	Merged-chr1-164966286-53
NR1086--MA0463.1.Bcl6	chr2	75055298	75055311	+	0.000	0.000	Merged-chr2-75055098-51
NR1968--MA0463.1.Bcl6	chr8	117673711	117673724	-	0.000	0.000	Merged-chr8-117673653-52
NR1413--MA0463.1.Bcl6	chr4	102989449	102989462	-	0.000	0.000	Merged-chr4-102989545-19
NR624--MA0463.1.Bcl6	chr14	55604120	55604133	-	0.000	0.000	Merged-chr14-55604128-61
NR1992--MA0731.1.BCL6B	chr9	32906412	32906428	+	0.000	0.000	Merged-chr9-32906573-43
NR52--MA0463.1.Bcl6	chr1	85794371	85794384	+	0.000	0.000	Merged-chr1-85794071-131
NR1655--MA0463.1.Bcl6	chr6	59417831	59417844	+	0.000	0.000	Merged-chr6-59417759-25
NR629--MA0463.1.Bcl6	chr14	66232296	66232309	+	0.000	0.000	Merged-chr14-66232261-58
NR1673--MA0463.1.Bcl6	chr6	91706271	91706284	-	0.000	0.000	Merged-chr6-91706219-53
NR320--MA0463.1.Bcl6	chr11	57951648	57951661	+	0.000	0.000	Merged-chr11-57951726-64
NR526--MA0463.1.Bcl6	chr13	60744305	60744318	-	0.000	0.000	Merged-chr13-60744325-32
NR1427--MA0463.1.Bcl6	chr4	118449767	118449780	-	0.000	0.000	Merged-chr4-118449765-23
NR127--MA0731.1.BCL6B	chr1	170168189	170168205	-	0.000	0.000	Merged-chr1-170167960-28
NR1445--MA0463.1.Bcl6	chr4	133843311	133843324	+	0.000	0.000	Merged-chr4-133843326-54
NR450--MA0463.1.Bcl6	chr12	108765905	108765918	+	0.000	0.000	Merged-chr12-108765872-68
NR1463--MA0463.1.Bcl6	chr4	145250061	145250074	+	0.000	0.000	Merged-chr4-145250198-42
NR110--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR316--MA0463.1.Bcl6	chr11	54239918	54239931	+	0.000	0.000	Merged-chr11-54240142-13
NR249--MA0731.1.BCL6B	chr10	93985650	93985666	+	0.000	0.000	Merged-chr10-93985650-27
NR1854--MA0731.1.BCL6B	chr7	123327150	123327166	+	0.000	0.000	Merged-chr7-123327122-14
NR106--MA0731.1.BCL6B	chr1	153559668	153559684	-	0.000	0.000	Merged-chr1-153559503-28
NR1440--MA0731.1.BCL6B	chr4	128884559	128884575	+	0.000	0.000	Merged-chr4-128884596-1
NR1020--MA0463.1.Bcl6	chr2	9681863	9681876	+	0.000	0.000	Merged-chr2-9681902-51
NR240--MA0463.1.Bcl6	chr10	84836282	84836295	-	0.000	0.000	Merged-chr10-84836383-30
NR1615--MA0731.1.BCL6B	chr5	147323704	147323720	-	0.000	0.000	Merged-chr5-147323630-31
NR697--MA0463.1.Bcl6	chr15	42479767	42479780	-	0.000	0.000	Merged-chr15-42479661-25
NR1137--MA0463.1.Bcl6	chr2	131145659	131145672	+	0.000	0.000	Merged-chr2-131145703-8
NR2034--MA0731.1.BCL6B	chr9	74142193	74142209	-	0.000	0.000	Merged-chr9-74142084-19
NR1043--MA0463.1.Bcl6	chr2	32057480	32057493	-	0.000	0.000	Merged-chr2-32057507-27
NR1161--MA0731.1.BCL6B	chr2	148857011	148857027	+	0.000	0.000	Merged-chr2-148856922-22
NR1432--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR930--MA0463.1.Bcl6	chr18	65272282	65272295	+	0.000	0.000	Merged-chr18-65272227-29
NR375--MA0463.1.Bcl6	chr11	109822516	109822529	-	0.000	0.000	Merged-chr11-109822566-4
NR2030--MA0463.1.Bcl6	chr9	69319993	69320006	+	0.000	0.000	Merged-chr9-69320084-71
NR272--MA0463.1.Bcl6	chr10	117660123	117660136	-	0.000	0.000	Merged-chr10-117659981-30
NR1388--MA0463.1.Bcl6	chr4	59682660	59682673	+	0.000	0.000	Merged-chr4-59682801-45
NR908--MA0463.1.Bcl6	chr18	25510935	25510948	+	0.000	0.000	Merged-chr18-25510965-10
NR1809--MA0463.1.Bcl6	chr7	89500188	89500201	-	0.000	0.000	Merged-chr7-89500080-22
NR290--MA0463.1.Bcl6	chr11	3157550	3157563	+	0.000	0.000	Merged-chr11-3157744-93
NR1283--MA0731.1.BCL6B	chr3	121570746	121570762	-	0.000	0.000	Merged-chr3-121570822-16
NR1500--MA0463.1.Bcl6	chr5	21786687	21786700	-	0.000	0.000	Merged-chr5-21786800-52
NR1827--MA0463.1.Bcl6	chr7	104400828	104400841	-	0.000	0.000	Merged-chr7-104400949-29
NR850--MA0463.1.Bcl6	chr17	45384662	45384675	-	0.000	0.000	Merged-chr17-45384721-21
NR622--MA0463.1.Bcl6	chr14	55497507	55497520	-	0.000	0.000	Merged-chr14-55497522-22
NR1023--MA0731.1.BCL6B	chr2	13718738	13718754	-	0.000	0.000	Merged-chr2-13718816-55
NR2005--MA0731.1.BCL6B	chr9	46273043	46273059	+	0.000	0.000	Merged-chr9-46273034-67
NR32--MA0463.1.Bcl6	chr1	69331973	69331986	+	0.000	0.000	Merged-chr1-69331775-34
NR846--MA0463.1.Bcl6	chr17	44121573	44121586	-	0.000	0.000	Merged-chr17-44121634-62
NR970--MA0731.1.BCL6B	chr19	11496483	11496499	-	0.000	0.000	Merged-chr19-11496633-26
NR2095--MA0731.1.BCL6B	chr9	123960498	123960514	+	0.000	0.000	Merged-chr9-123960411-24
NR1653--MA0463.1.Bcl6	chr6	58770866	58770879	-	0.000	0.000	Merged-chr6-58770995-22
NR197--MA0463.1.Bcl6	chr10	19566239	19566252	+	0.000	0.000	Merged-chr10-19566068-15
NR864--MA0463.1.Bcl6	chr17	65870410	65870423	+	0.000	0.000	Merged-chr17-65870335-22
NR618--MA0463.1.Bcl6	chr14	54060008	54060021	+	0.000	0.000	Merged-chr14-54060057-10
NR1939--MA0731.1.BCL6B	chr8	95081038	95081054	+	0.000	0.000	Merged-chr8-95081024-85
NR1730--MA0731.1.BCL6B	chr6	143373889	143373905	-	0.000	0.000	Merged-chr6-143373914-47
NR1111--MA0731.1.BCL6B	chr2	93199059	93199075	-	0.000	0.000	Merged-chr2-93199242-68
NR654--MA0463.1.Bcl6	chr14	103850544	103850557	+	0.000	0.000	Merged-chr14-103850623-36
NR1667--MA0463.1.Bcl6	chr6	88412833	88412846	-	0.000	0.000	Merged-chr6-88412709-5
NR1452--MA0463.1.Bcl6	chr4	138259675	138259688	+	0.000	0.000	Merged-chr4-138259629-9
NR4--MA0463.1.Bcl6	chr1	20740783	20740796	+	0.000	0.000	Merged-chr1-20740658-39
NR1504--MA0731.1.BCL6B	chr5	35813679	35813695	+	0.000	0.000	Merged-chr5-35813752-8
NR1756--MA0731.1.BCL6B	chr7	13054842	13054858	+	0.000	0.000	Merged-chr7-13054889-1
NR211--MA0463.1.Bcl6	chr10	39492190	39492203	-	0.000	0.000	Merged-chr10-39492279-24
NR1112--MA0463.1.Bcl6	chr2	93823660	93823673	+	0.000	0.000	Merged-chr2-93823719-41
NR690--MA0463.1.Bcl6	chr15	25884648	25884661	-	0.000	0.000	Merged-chr15-25884835-36
NR1439--MA0463.1.Bcl6	chr4	128884559	128884572	-	0.000	0.000	Merged-chr4-128884596-1
NR2099--MA0463.1.Bcl6	chrX	8132522	8132535	+	0.000	0.000	Merged-chrX-8132452-84
NR1246--MA0731.1.BCL6B	chr3	87742863	87742879	-	0.000	0.000	Merged-chr3-87742894-18
NR341--MA0463.1.Bcl6	chr11	71996080	71996093	-	0.000	0.000	Merged-chr11-71996185-51
NR328--MA0463.1.Bcl6	chr11	61231621	61231634	-	0.000	0.000	Merged-chr11-61231556-8
NR113--MA0463.1.Bcl6	chr1	160044884	160044897	-	0.000	0.000	Merged-chr1-160044750-78
NR1573--MA0731.1.BCL6B	chr5	124022443	124022459	+	0.000	0.000	Merged-chr5-124022476-27
NR1247--MA0463.1.Bcl6	chr3	88043087	88043100	+	0.000	0.000	Merged-chr3-88043136-39
NR1063--MA0731.1.BCL6B	chr2	53102298	53102314	+	0.000	0.000	Merged-chr2-53102302-39
NR1820--MA0463.1.Bcl6	chr7	100591176	100591189	-	0.000	0.000	Merged-chr7-100591140-72
NR410--MA0731.1.BCL6B	chr12	70999571	70999587	+	0.000	0.000	Merged-chr12-70999631-61
NR1552--MA0731.1.BCL6B	chr5	97009427	97009443	+	0.000	0.000	Merged-chr5-97009545-38
NR1019--MA0463.1.Bcl6	chr2	6445024	6445037	+	0.000	0.000	Merged-chr2-6444990-17
NR1727--MA0731.1.BCL6B	chr6	140801177	140801193	-	0.000	0.000	Merged-chr6-140801246-11
NR1180--MA0463.1.Bcl6	chr2	168159068	168159081	-	0.000	0.000	Merged-chr2-168159188-34
NR248--MA0463.1.Bcl6	chr10	93985595	93985608	-	0.000	0.000	Merged-chr10-93985650-27
NR915--MA0463.1.Bcl6	chr18	46182171	46182184	-	0.000	0.000	Merged-chr18-46182052-26
NR154--MA0463.1.Bcl6	chr1	181299201	181299214	-	0.000	0.000	Merged-chr1-181299360-30
NR2024--MA0463.1.Bcl6	chr9	63698479	63698492	+	0.000	0.000	Merged-chr9-63698652-22
NR1185--MA0463.1.Bcl6	chr2	173018225	173018238	+	0.000	0.000	Merged-chr2-173018174-48
NR53--MA0731.1.BCL6B	chr1	85794368	85794384	-	0.000	0.000	Merged-chr1-85794071-131
NR1339--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR511--MA0731.1.BCL6B	chr13	34096172	34096188	+	0.000	0.000	Merged-chr13-34096039-50
NR1870--MA0463.1.Bcl6	chr7	131540223	131540236	-	0.000	0.000	Merged-chr7-131540239-21
NR1828--MA0731.1.BCL6B	chr7	105395366	105395382	-	0.000	0.000	Merged-chr7-105395581-59
NR1414--MA0731.1.BCL6B	chr4	102989449	102989465	+	0.000	0.000	Merged-chr4-102989545-19
NR1000--MA0731.1.BCL6B	chr19	46014671	46014687	+	0.000	0.000	Merged-chr19-46014734-21
NR1666--MA0731.1.BCL6B	chr6	87394950	87394966	-	0.000	0.000	Merged-chr6-87395104-19
NR362--MA0731.1.BCL6B	chr11	98348333	98348349	+	0.000	0.000	Merged-chr11-98348383-15
NR401--MA0463.1.Bcl6	chr12	41852146	41852159	-	0.000	0.000	Merged-chr12-41852230-53
NR917--MA0731.1.BCL6B	chr18	49755848	49755864	-	0.000	0.000	Merged-chr18-49755713-75
NR1265--MA0731.1.BCL6B	chr3	104818059	104818075	+	0.000	0.000	Merged-chr3-104818098-119
NR1788--MA0731.1.BCL6B	chr7	64228657	64228673	+	0.000	0.000	Merged-chr7-64228536-6
NR35--MA0463.1.Bcl6	chr1	72212336	72212349	-	0.000	0.000	Merged-chr1-72212180-28
NR1790--MA0463.1.Bcl6	chr7	64373942	64373955	-	0.000	0.000	Merged-chr7-64373946-61
NR721--MA0731.1.BCL6B	chr15	78896369	78896385	+	0.000	0.000	Merged-chr15-78896310-38
NR303--MA0463.1.Bcl6	chr11	32039801	32039814	-	0.000	0.000	Merged-chr11-32039842-30
NR24--MA0731.1.BCL6B	chr1	59608673	59608689	+	0.000	0.000	Merged-chr1-59608730-64
NR988--MA0463.1.Bcl6	chr19	34290522	34290535	+	0.000	0.000	Merged-chr19-34290594-61
NR625--MA0731.1.BCL6B	chr14	55604120	55604136	+	0.000	0.000	Merged-chr14-55604128-61
NR1767--MA0731.1.BCL6B	chr7	25647999	25648015	-	0.000	0.000	Merged-chr7-25647877-43
NR321--MA0463.1.Bcl6	chr11	57952819	57952832	+	0.000	0.000	Merged-chr11-57952769-40
NR1795--MA0463.1.Bcl6	chr7	72261167	72261180	+	0.000	0.000	Merged-chr7-72261137-47
NR778--MA0463.1.Bcl6	chr16	55822246	55822259	-	0.000	0.000	Merged-chr16-55822144-53
NR1018--MA0731.1.BCL6B	chr19	60310813	60310829	-	0.000	0.000	Merged-chr19-60310774-21
NR1464--MA0463.1.Bcl6	chr4	145250059	145250072	-	0.000	0.000	Merged-chr4-145250198-42
NR1576--MA0463.1.Bcl6	chr5	124907074	124907087	+	0.000	0.000	Merged-chr5-124907107-45
NR796--MA0463.1.Bcl6	chr16	84616236	84616249	+	0.000	0.000	Merged-chr16-84616157-15
NR1124--MA0463.1.Bcl6	chr2	122234452	122234465	+	0.000	0.000	Merged-chr2-122234275-1
NR1594--MA0463.1.Bcl6	chr5	138116873	138116886	+	0.000	0.000	Merged-chr5-138117022-54
NR1021--MA0463.1.Bcl6	chr2	9681864	9681877	+	0.000	0.000	Merged-chr2-9681902-51
NR1921--MA0463.1.Bcl6	chr8	71537599	71537612	+	0.000	0.000	Merged-chr8-71537469-55
NR107--MA0463.1.Bcl6	chr1	155050360	155050373	-	0.000	0.000	Merged-chr1-155050378-11
NR150--MA0731.1.BCL6B	chr1	180264979	180264995	+	0.000	0.000	Merged-chr1-180265063-87
NR1478--MA0463.1.Bcl6	chr4	150799032	150799045	-	0.000	0.000	Merged-chr4-150799073-80
NR530--MA0731.1.BCL6B	chr13	65176267	65176283	+	0.000	0.000	Merged-chr13-65176353-33
NR1908--MA0463.1.Bcl6	chr8	46753129	46753142	+	0.000	0.000	Merged-chr8-46753180-8
NR814--MA0731.1.BCL6B	chr16	97272486	97272502	-	0.000	0.000	Merged-chr16-97272459-57
NR1062--MA0463.1.Bcl6	chr2	53051573	53051586	+	0.000	0.000	Merged-chr2-53051556-37
NR1589--MA0731.1.BCL6B	chr5	136186820	136186836	-	0.000	0.000	Merged-chr5-136186956-28
NR5--MA0731.1.BCL6B	chr1	20740780	20740796	-	0.000	0.000	Merged-chr1-20740658-39
NR1501--MA0463.1.Bcl6	chr5	23787890	23787903	+	0.000	0.000	Merged-chr5-23787783-52
NR833--MA0463.1.Bcl6	chr17	29395512	29395525	+	0.000	0.000	Merged-chr17-29395437-29
NR678--MA0731.1.BCL6B	chr15	5144593	5144609	+	0.000	0.000	Merged-chr15-5144505-4
NR1631--MA0463.1.Bcl6	chr6	31125737	31125750	+	0.000	0.000	Merged-chr6-31125664-26
NR851--MA0463.1.Bcl6	chr17	46163220	46163233	-	0.000	0.000	Merged-chr17-46163116-51
NR230--MA0731.1.BCL6B	chr10	68054566	68054582	-	0.000	0.000	Merged-chr10-68054504-48
NR1403--MA0463.1.Bcl6	chr4	95053371	95053384	-	0.000	0.000	Merged-chr4-95053399-2
NR33--MA0463.1.Bcl6	chr1	69461264	69461277	+	0.000	0.000	Merged-chr1-69461360-14
NR847--MA0463.1.Bcl6	chr17	44121610	44121623	-	0.000	0.000	Merged-chr17-44121634-62
