#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed
NR64472--MA1107.1.KLF9	chr8	26698688	26698700	-	0.000	0.000	Merged-chr8-26698799-12
NR58555--MA1107.1.KLF9	chr6	145002297	145002309	-	0.000	0.000	Merged-chr6-145002461-23
NR28778--MA0493.1.Klf1	chr17	35197378	35197388	+	0.000	0.000	Merged-chr17-35197339-8
NR49928--MA1107.1.KLF9	chr5	33143059	33143071	-	0.000	0.000	Merged-chr5-33143118-19
NR6596--MA0493.1.Klf1	chr10	71399679	71399689	+	0.000	0.000	Merged-chr10-71399794-69
NR55763--MA0741.1.KLF16	chr6	66535291	66535301	-	0.000	0.000	Merged-chr6-66535397-73
NR54523--MA0493.1.Klf1	chr6	8209196	8209206	+	0.000	0.000	Merged-chr6-8209414-69
NR28698--MA0599.1.KLF5	chr17	34879644	34879653	-	0.000	0.000	Merged-chr17-34879793-28
NR52523--MA0742.1.Klf12	chr5	122548896	122548910	-	0.000	0.000	Merged-chr5-122548864-15
NR44604--MA1107.1.KLF9	chr4	14922363	14922375	-	0.000	0.000	Merged-chr4-14922203-28
NR139--MA0599.1.KLF5	chr1	14740135	14740144	-	0.000	0.000	Merged-chr1-14740213-10
NR65111--MA0599.1.KLF5	chr8	64947110	64947119	+	0.000	0.000	Merged-chr8-64947122-116
NR63338--MA0740.1.KLF14	chr7	135598565	135598578	+	0.000	0.000	Merged-chr7-135598633-32
NR22705--MA0599.1.KLF5	chr15	38199892	38199901	+	0.000	0.000	Merged-chr15-38199755-22
NR43876--MA0741.1.KLF16	chr3	146207602	146207612	+	0.000	0.000	Merged-chr3-146207752-15
NR33927--MA1107.1.KLF9	chr19	41207067	41207079	+	0.000	0.000	Merged-chr19-41206944-35
NR12749--MA0741.1.KLF16	chr11	113787647	113787657	+	0.000	0.000	Merged-chr11-113787671-26
NR58891--MA0742.1.Klf12	chr7	6362942	6362956	+	0.000	0.000	Merged-chr7-6362949-126
NR28182--MA0741.1.KLF16	chr17	26885319	26885329	-	0.000	0.000	Merged-chr17-26885199-21
NR6441--MA0741.1.KLF16	chr10	68136635	68136645	+	0.000	0.000	Merged-chr10-68136775-17
NR61839--MA0493.1.Klf1	chr7	102315702	102315712	-	0.000	0.000	Merged-chr7-102315597-18
NR46267--MA0741.1.KLF16	chr4	89169051	89169061	-	0.000	0.000	Merged-chr4-89169046-30
NR1179--MA0741.1.KLF16	chr1	73940883	73940893	+	0.000	0.000	Merged-chr1-73940938-50
NR69138--MA0741.1.KLF16	chr9	64023084	64023094	+	0.000	0.000	Merged-chr9-64023001-53
NR59851--MA0741.1.KLF16	chr7	29251414	29251424	-	0.000	0.000	Merged-chr7-29251339-19
NR35799--MA0599.1.KLF5	chr2	32931925	32931934	+	0.000	0.000	Merged-chr2-32931910-4
NR50731--MA0039.3.KLF4	chr5	65764529	65764539	+	0.000	0.000	Merged-chr5-65764429-153
NR24432--MA0493.1.Klf1	chr15	94255127	94255137	+	0.000	0.000	Merged-chr15-94255177-46
NR8323--MA1107.1.KLF9	chr10	117104434	117104446	-	0.000	0.000	Merged-chr10-117104293-23
NR15805--MA0493.1.Klf1	chr12	112629101	112629111	-	0.000	0.000	Merged-chr12-112629266-49
NR67034--MA0039.3.KLF4	chr8	119927824	119927834	+	0.000	0.000	Merged-chr8-119927830-10
NR64662--MA0742.1.Klf12	chr8	36249516	36249530	+	0.000	0.000	Merged-chr8-36249558-6
NR56161--MA0493.1.Klf1	chr6	86777972	86777982	+	0.000	0.000	Merged-chr6-86778019-10
NR57300--MA0741.1.KLF16	chr6	120836853	120836863	+	0.000	0.000	Merged-chr6-120836708-1
NR33185--MA0599.1.KLF5	chr19	7294696	7294705	-	0.000	0.000	Merged-chr19-7294791-1
NR18784--MA0599.1.KLF5	chr13	113031870	113031879	-	0.000	0.000	Merged-chr13-113031920-44
NR698--MA0493.1.Klf1	chr1	50927414	50927424	+	0.000	0.000	Merged-chr1-50927546-47
NR50260--MA0740.1.KLF14	chr5	44971073	44971086	+	0.000	0.000	Merged-chr5-44970910-1
NR55620--MA0741.1.KLF16	chr6	56909162	56909172	-	0.000	0.000	Merged-chr6-56909111-27
NR40365--MA0039.3.KLF4	chr3	10013167	10013177	-	0.000	0.000	Merged-chr3-10012893-114
NR65876--MA0493.1.Klf1	chr8	84686727	84686737	-	0.000	0.000	Merged-chr8-84686915-1
NR37400--MA1107.1.KLF9	chr2	103485241	103485253	-	0.000	0.000	Merged-chr2-103485172-63
NR32815--MA0741.1.KLF16	chr18	89626890	89626900	+	0.000	0.000	Merged-chr18-89627032-39
NR59949--MA0039.3.KLF4	chr7	30607854	30607864	-	0.000	0.000	Merged-chr7-30607986-27
NR17992--MA0741.1.KLF16	chr13	94567545	94567555	-	0.000	0.000	Merged-chr13-94567668-9
NR39969--MA0742.1.Klf12	chr2	173036664	173036678	-	0.000	0.000	Merged-chr2-173036738-9
NR43462--MA0741.1.KLF16	chr3	135307624	135307634	+	0.000	0.000	Merged-chr3-135307763-66
NR18765--MA1107.1.KLF9	chr13	112824335	112824347	+	0.000	0.000	Merged-chr13-112824318-13
NR7466--MA1107.1.KLF9	chr10	85035596	85035608	-	0.000	0.000	Merged-chr10-85035484-19
NR13317--MA0599.1.KLF5	chr11	121388260	121388269	+	0.000	0.000	Merged-chr11-121388378-24
NR43733--MA0741.1.KLF16	chr3	143379404	143379414	+	0.000	0.000	Merged-chr3-143379316-24
NR27935--MA0599.1.KLF5	chr17	21617538	21617547	-	0.000	0.000	Merged-chr17-21617473-39
NR5133--MA0742.1.Klf12	chr10	7780925	7780939	-	0.000	0.000	Merged-chr10-7780858-76
NR60472--MA0599.1.KLF5	chr7	46033783	46033792	-	0.000	0.000	Merged-chr7-46033779-50
NR64653--MA0741.1.KLF16	chr8	36188904	36188914	-	0.000	0.000	Merged-chr8-36188983-40
NR36419--MA0599.1.KLF5	chr2	65104848	65104857	-	0.000	0.000	Merged-chr2-65104683-25
NR11943--MA0599.1.KLF5	chr11	97685761	97685770	-	0.000	0.000	Merged-chr11-97685725-37
NR31659--MA0599.1.KLF5	chr18	56562415	56562424	+	0.000	0.000	Merged-chr18-56562419-49
NR55285--MA0039.3.KLF4	chr6	48706254	48706264	+	0.000	0.000	Merged-chr6-48706289-36
NR45928--MA0599.1.KLF5	chr4	65605074	65605083	-	0.000	0.000	Merged-chr4-65605051-78
NR21097--MA0741.1.KLF16	chr14	75892275	75892285	-	0.000	0.000	Merged-chr14-75892464-20
NR64719--MA0741.1.KLF16	chr8	40963171	40963181	-	0.000	0.000	Merged-chr8-40963134-88
NR45713--MA0599.1.KLF5	chr4	59626167	59626176	+	0.000	0.000	Merged-chr4-59626281-68
NR34681--MA0741.1.KLF16	chr2	3118324	3118334	-	0.000	0.000	Merged-chr2-3118423-48
NR27701--MA1107.1.KLF9	chr17	12036300	12036312	+	0.000	0.000	Merged-chr17-12036318-13
NR41334--MA0039.3.KLF4	chr3	68763113	68763123	+	0.000	0.000	Merged-chr3-68763187-8
NR7199--MA0741.1.KLF16	chr10	81136291	81136301	-	0.000	0.000	Merged-chr10-81136337-26
NR58887--MA0493.1.Klf1	chr7	6286458	6286468	-	0.000	0.000	Merged-chr7-6286404-52
NR65159--MA0741.1.KLF16	chr8	68062493	68062503	+	0.000	0.000	Merged-chr8-68062355-69
NR70363--MA0493.1.Klf1	chr9	99479260	99479270	-	0.000	0.000	Merged-chr9-99479335-46
NR6731--MA0599.1.KLF5	chr10	75836068	75836077	+	0.000	0.000	Merged-chr10-75835813-94
NR12245--MA0599.1.KLF5	chr11	101468165	101468174	-	0.000	0.000	Merged-chr11-101468029-46
NR42013--MA0657.1.KLF13	chr3	95650860	95650877	-	0.000	0.000	Merged-chr3-95650788-36
NR32637--MA0599.1.KLF5	chr18	82855839	82855848	+	0.000	0.000	Merged-chr18-82855874-59
NR5963--MA0740.1.KLF14	chr10	53889521	53889534	-	0.000	0.000	Merged-chr10-53889619-14
NR25508--MA1107.1.KLF9	chr16	18733522	18733534	+	0.000	0.000	Merged-chr16-18733506-32
NR71135--MA0741.1.KLF16	chr9	116123216	116123226	-	0.000	0.000	Merged-chr9-116123185-43
NR28218--MA1107.1.KLF9	chr17	27133988	27134000	+	0.000	0.000	Merged-chr17-27133890-64
NR64366--MA0599.1.KLF5	chr8	22060487	22060496	-	0.000	0.000	Merged-chr8-22060379-109
NR5758--MA0740.1.KLF14	chr10	42018380	42018393	-	0.000	0.000	Merged-chr10-42018378-38
NR14506--MA0740.1.KLF14	chr12	72085581	72085594	-	0.000	0.000	Merged-chr12-72085712-110
NR44856--MA0599.1.KLF5	chr4	33310259	33310268	-	0.000	0.000	Merged-chr4-33310385-59
NR1613--MA0599.1.KLF5	chr1	88708225	88708234	+	0.000	0.000	Merged-chr1-88708373-21
NR56193--MA0599.1.KLF5	chr6	87590778	87590787	+	0.000	0.000	Merged-chr6-87590737-28
NR39473--MA0493.1.Klf1	chr2	163750236	163750246	+	0.000	0.000	Merged-chr2-163750187-67
NR71255--MA0657.1.KLF13	chr9	118678596	118678613	+	0.000	0.000	Merged-chr9-118678587-68
NR36683--MA0599.1.KLF5	chr2	73540605	73540614	-	0.000	0.000	Merged-chr2-73540763-38
NR70264--MA1107.1.KLF9	chr9	96772965	96772977	+	0.000	0.000	Merged-chr9-96773309-49
NR58234--MA0599.1.KLF5	chr6	140614111	140614120	-	0.000	0.000	Merged-chr6-140613913-33
NR5198--MA0599.1.KLF5	chr10	11149366	11149375	-	0.000	0.000	Merged-chr10-11149591-75
NR6821--MA0741.1.KLF16	chr10	77367039	77367049	+	0.000	0.000	Merged-chr10-77367193-51
NR23473--MA0740.1.KLF14	chr15	75894412	75894425	+	0.000	0.000	Merged-chr15-75894455-46
NR11253--MA0493.1.Klf1	chr11	78690774	78690784	+	0.000	0.000	Merged-chr11-78690691-3
NR29000--MA0599.1.KLF5	chr17	44079046	44079055	-	0.000	0.000	Merged-chr17-44078849-42
NR20967--MA0039.3.KLF4	chr14	73049214	73049224	-	0.000	0.000	Merged-chr14-73049322-54
NR47690--MA1107.1.KLF9	chr4	132783898	132783910	-	0.000	0.000	Merged-chr4-132783946-19
NR50200--MA0599.1.KLF5	chr5	41708185	41708194	+	0.000	0.000	Merged-chr5-41708072-132
NR33503--MA0657.1.KLF13	chr19	22915934	22915951	-	0.000	0.000	Merged-chr19-22916033-24
NR7915--MA0599.1.KLF5	chr10	99107163	99107172	+	0.000	0.000	Merged-chr10-99107143-4
NR70881--MA0741.1.KLF16	chr9	111275333	111275343	+	0.000	0.000	Merged-chr9-111275276-5
NR1290--MA0493.1.Klf1	chr1	75487846	75487856	+	0.000	0.000	Merged-chr1-75487610-71
NR47597--MA0741.1.KLF16	chr4	130913176	130913186	+	0.000	0.000	Merged-chr4-130913209-32
NR7327--MA0741.1.KLF16	chr10	81606092	81606102	+	0.000	0.000	Merged-chr10-81606133-64
NR58000--MA1107.1.KLF9	chr6	135150454	135150466	-	0.000	0.000	Merged-chr6-135150450-14
NR16263--MA1107.1.KLF9	chr13	17993398	17993410	-	0.000	0.000	Merged-chr13-17993273-57
NR18519--MA1107.1.KLF9	chr13	107168732	107168744	+	0.000	0.000	Merged-chr13-107168851-26
NR61990--MA0039.3.KLF4	chr7	109021671	109021681	-	0.000	0.000	Merged-chr7-109021609-50
NR9--MA0741.1.KLF16	chr1	4496536	4496546	-	0.000	0.000	Merged-chr1-4496602-47
NR14765--MA0599.1.KLF5	chr12	82187388	82187397	+	0.000	0.000	Merged-chr12-82187311-20
NR67724--MA1107.1.KLF9	chr9	14172182	14172194	-	0.000	0.000	Merged-chr9-14171965-37
NR50467--MA0741.1.KLF16	chr5	57714983	57714993	-	0.000	0.000	Merged-chr5-57715009-24
NR43784--MA0599.1.KLF5	chr3	144720483	144720492	-	0.000	0.000	Merged-chr3-144720507-6
NR59212--MA0599.1.KLF5	chr7	19149330	19149339	+	0.000	0.000	Merged-chr7-19149446-69
NR45251--MA0741.1.KLF16	chr4	45342149	45342159	-	0.000	0.000	Merged-chr4-45342285-81
NR14124--MA0741.1.KLF16	chr12	52503832	52503842	-	0.000	0.000	Merged-chr12-52504054-125
NR39026--MA0599.1.KLF5	chr2	153278559	153278568	+	0.000	0.000	Merged-chr2-153278581-35
NR18304--MA1107.1.KLF9	chr13	101669127	101669139	-	0.000	0.000	Merged-chr13-101669067-25
NR22175--MA0741.1.KLF16	chr14	122913264	122913274	+	0.000	0.000	Merged-chr14-122913202-60
NR460--MA0741.1.KLF16	chr1	37889350	37889360	+	0.000	0.000	Merged-chr1-37889517-3
NR45139--MA1107.1.KLF9	chr4	43044013	43044025	+	0.000	0.000	Merged-chr4-43044114-23
NR21199--MA0599.1.KLF5	chr14	79530367	79530376	-	0.000	0.000	Merged-chr14-79530350-57
NR8556--MA1107.1.KLF9	chr10	120697614	120697626	+	0.000	0.000	Merged-chr10-120697518-32
NR14758--MA0740.1.KLF14	chr12	82166461	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR20495--MA0741.1.KLF16	chr14	57684857	57684867	-	0.000	0.000	Merged-chr14-57684714-16
NR255--MA0741.1.KLF16	chr1	24100391	24100401	+	0.000	0.000	Merged-chr1-24100239-49
NR66671--MA0599.1.KLF5	chr8	111094542	111094551	-	0.000	0.000	Merged-chr8-111094698-82
NR35012--MA0740.1.KLF14	chr2	17862024	17862037	+	0.000	0.000	Merged-chr2-17861880-15
NR43366--MA0741.1.KLF16	chr3	132684249	132684259	-	0.000	0.000	Merged-chr3-132684136-80
NR6843--MA0599.1.KLF5	chr10	77606455	77606464	+	0.000	0.000	Merged-chr10-77606503-166
NR65316--MA1107.1.KLF9	chr8	70594431	70594443	+	0.000	0.000	Merged-chr8-70594498-62
NR3232--MA1107.1.KLF9	chr1	155215382	155215394	-	0.000	0.000	Merged-chr1-155215542-10
NR35949--MA0740.1.KLF14	chr2	37703405	37703418	-	0.000	0.000	Merged-chr2-37703369-89
NR52598--MA1107.1.KLF9	chr5	123512320	123512332	+	0.000	0.000	Merged-chr5-123512374-9
NR66508--MA0741.1.KLF16	chr8	106054373	106054383	-	0.000	0.000	Merged-chr8-106054451-60
NR26289--MA1107.1.KLF9	chr16	55526628	55526640	-	0.000	0.000	Merged-chr16-55526472-43
NR2474--MA0493.1.Klf1	chr1	132316074	132316084	-	0.000	0.000	Merged-chr1-132316198-37
NR42792--MA0493.1.Klf1	chr3	116424263	116424273	-	0.000	0.000	Merged-chr3-116424067-206
NR1182--MA1107.1.KLF9	chr1	73940867	73940879	+	0.000	0.000	Merged-chr1-73940938-50
NR52720--MA0599.1.KLF5	chr5	124729838	124729847	+	0.000	0.000	Merged-chr5-124729814-15
NR26074--MA1107.1.KLF9	chr16	44140732	44140744	-	0.000	0.000	Merged-chr16-44140552-3
NR15804--MA0039.3.KLF4	chr12	112629099	112629109	-	0.000	0.000	Merged-chr12-112629266-49
NR68908--MA1107.1.KLF9	chr9	57647832	57647844	-	0.000	0.000	Merged-chr9-57647746-26
NR37839--MA1107.1.KLF9	chr2	118491077	118491089	+	0.000	0.000	Merged-chr2-118491236-48
NR2571--MA0741.1.KLF16	chr1	134344750	134344760	+	0.000	0.000	Merged-chr1-134344743-32
NR30474--MA1107.1.KLF9	chr17	84056506	84056518	-	0.000	0.000	Merged-chr17-84056540-29
NR16056--MA0741.1.KLF16	chr12	118836994	118837004	-	0.000	0.000	Merged-chr12-118836898-44
NR12123--MA1107.1.KLF9	chr11	99549731	99549743	-	0.000	0.000	Merged-chr11-99549700-12
NR69905--MA0599.1.KLF5	chr9	85319699	85319708	+	0.000	0.000	Merged-chr9-85319747-2
NR60055--MA0741.1.KLF16	chr7	35333918	35333928	-	0.000	0.000	Merged-chr7-35333987-100
NR41142--MA1107.1.KLF9	chr3	57848016	57848028	+	0.000	0.000	Merged-chr3-57848090-4
NR50053--MA0741.1.KLF16	chr5	35893448	35893458	+	0.000	0.000	Merged-chr5-35893424-58
NR24551--MA0740.1.KLF14	chr15	97606751	97606764	+	0.000	0.000	Merged-chr15-97606857-25
NR2637--MA0741.1.KLF16	chr1	135818771	135818781	+	0.000	0.000	Merged-chr1-135818684-27
NR24649--MA0741.1.KLF16	chr15	98793346	98793356	+	0.000	0.000	Merged-chr15-98793364-7
NR65659--MA0657.1.KLF13	chr8	78509324	78509341	-	0.000	0.000	Merged-chr8-78509175-167
NR27960--MA0741.1.KLF16	chr17	22424056	22424066	-	0.000	0.000	Merged-chr17-22424161-65
NR70704--MA0599.1.KLF5	chr9	107985993	107986002	+	0.000	0.000	Merged-chr9-107985898-91
NR52536--MA0742.1.Klf12	chr5	122951569	122951583	+	0.000	0.000	Merged-chr5-122951683-61
NR65456--MA0599.1.KLF5	chr8	71634466	71634475	-	0.000	0.000	Merged-chr8-71634399-33
NR7126--MA1107.1.KLF9	chr10	80656766	80656778	-	0.000	0.000	Merged-chr10-80656566-55
NR56071--MA1107.1.KLF9	chr6	85037786	85037798	-	0.000	0.000	Merged-chr6-85037843-26
NR66186--MA0039.3.KLF4	chr8	94827954	94827964	-	0.000	0.000	Merged-chr8-94828163-36
NR59404--MA0493.1.Klf1	chr7	24413742	24413752	+	0.000	0.000	Merged-chr7-24413787-50
NR112--MA0741.1.KLF16	chr1	13426251	13426261	-	0.000	0.000	Merged-chr1-13426013-7
NR50856--MA0742.1.Klf12	chr5	72203201	72203215	-	0.000	0.000	Merged-chr5-72203390-56
NR48285--MA0657.1.KLF13	chr4	140750570	140750587	+	0.000	0.000	Merged-chr4-140750542-28
NR41577--MA0493.1.Klf1	chr3	84770750	84770760	-	0.000	0.000	Merged-chr3-84770670-24
NR25545--MA0599.1.KLF5	chr16	20672722	20672731	+	0.000	0.000	Merged-chr16-20672939-74
NR56931--MA0740.1.KLF14	chr6	113326750	113326763	+	0.000	0.000	Merged-chr6-113326896-63
NR16918--MA0599.1.KLF5	chr13	51685365	51685374	-	0.000	0.000	Merged-chr13-51685389-6
NR28255--MA0599.1.KLF5	chr17	27826228	27826237	-	0.000	0.000	Merged-chr17-27826379-77
NR58895--MA0039.3.KLF4	chr7	6383276	6383286	-	0.000	0.000	Merged-chr7-6383352-66
NR46453--MA0740.1.KLF14	chr4	101419686	101419699	-	0.000	0.000	Merged-chr4-101419713-70
NR8329--MA0599.1.KLF5	chr10	117118630	117118639	-	0.000	0.000	Merged-chr10-117118585-40
NR6725--MA0741.1.KLF16	chr10	75835757	75835767	+	0.000	0.000	Merged-chr10-75835813-94
NR23485--MA1107.1.KLF9	chr15	75929910	75929922	-	0.000	0.000	Merged-chr15-75929724-50
NR61754--MA0493.1.Klf1	chr7	101012085	101012095	-	0.000	0.000	Merged-chr7-101011923-30
NR29591--MA0599.1.KLF5	chr17	57080112	57080121	-	0.000	0.000	Merged-chr17-57080070-15
