#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR6750--MA0089.1.MAFG::NFE2L1	chr19	7217510	7217515	+	0.000	0.000	Merged-chr19-7217648-56
NR13228--MA0501.1.MAF::NFE2	chr9	78074144	78074158	+	0.000	0.000	Merged-chr9-78074095-46
NR2896--MA0496.2.MAFK	chr12	91765692	91765710	-	0.000	0.000	Merged-chr12-91765630-19
NR9664--MA0089.1.MAFG::NFE2L1	chr4	119415501	119415506	-	0.000	0.000	Merged-chr4-119415497-57
NR8639--MA0495.2.MAFF	chr3	105892539	105892559	+	0.000	0.000	Merged-chr3-105892493-111
NR12124--MA0591.1.Bach1::Mafk	chr7	101504749	101504763	-	0.000	0.000	Merged-chr7-101504709-13
NR3271--MA0089.1.MAFG::NFE2L1	chr13	37963598	37963603	-	0.000	0.000	Merged-chr13-37963615-35
NR5835--MA0495.2.MAFF	chr17	31789317	31789337	-	0.000	0.000	Merged-chr17-31789470-34
NR4212--MA0089.1.MAFG::NFE2L1	chr14	54361015	54361020	+	0.000	0.000	Merged-chr14-54361034-73
NR6813--MA0495.2.MAFF	chr19	32320554	32320574	+	0.000	0.000	Merged-chr19-32320426-40
NR3778--MA0501.1.MAF::NFE2	chr13	117284154	117284168	+	0.000	0.000	Merged-chr13-117284235-48
NR8431--MA0089.1.MAFG::NFE2L1	chr3	75499333	75499338	+	0.000	0.000	Merged-chr3-75499335-90
NR1145--MA0501.1.MAF::NFE2	chr10	7470135	7470149	+	0.000	0.000	Merged-chr10-7470291-37
NR10234--MA0591.1.Bach1::Mafk	chr5	65514773	65514787	+	0.000	0.000	Merged-chr5-65514883-10
NR10768--MA0089.1.MAFG::NFE2L1	chr6	13871523	13871528	-	0.000	0.000	Merged-chr6-13871403-58
NR2859--MA0089.1.MAFG::NFE2L1	chr12	84177283	84177288	+	0.000	0.000	Merged-chr12-84177406-21
NR9753--MA0117.2.Mafb	chr4	142153734	142153745	+	0.000	0.000	Merged-chr4-142153700-30
NR10691--MA0501.1.MAF::NFE2	chr6	3345469	3345483	+	0.000	0.000	Merged-chr6-3345422-65
NR122--MA0496.2.MAFK	chr1	21963193	21963211	-	0.000	0.000	Merged-chr1-21963410-76
NR8794--MA0501.1.MAF::NFE2	chr3	130905293	130905307	+	0.000	0.000	Merged-chr3-130905343-29
NR7804--MA0089.1.MAFG::NFE2L1	chr2	155382161	155382166	+	0.000	0.000	Merged-chr2-155382008-76
NR4973--MA0496.2.MAFK	chr15	83149652	83149670	-	0.000	0.000	Merged-chr15-83149470-115
NR13672--MA0495.2.MAFF	chrX	103981222	103981242	+	0.000	0.000	Merged-chrX-103981115-84
NR3667--MA0501.1.MAF::NFE2	chr13	103110002	103110016	-	0.000	0.000	Merged-chr13-103110112-59
NR8100--MA0501.1.MAF::NFE2	chr3	18623967	18623981	-	0.000	0.000	Merged-chr3-18624063-31
NR7800--MA0495.2.MAFF	chr2	155082571	155082591	-	0.000	0.000	Merged-chr2-155082625-23
NR13491--MA0591.1.Bach1::Mafk	chr9	120960867	120960881	+	0.000	0.000	Merged-chr9-120960803-26
NR1831--MA0117.2.Mafb	chr10	99592177	99592188	-	0.000	0.000	Merged-chr10-99592304-27
NR8793--MA0117.2.Mafb	chr3	130905322	130905333	+	0.000	0.000	Merged-chr3-130905343-29
NR7337--MA0591.1.Bach1::Mafk	chr2	70933191	70933205	+	0.000	0.000	Merged-chr2-70933304-29
NR7024--MA0089.1.MAFG::NFE2L1	chr2	19344838	19344843	-	0.000	0.000	Merged-chr2-19344795-21
NR1825--MA0495.2.MAFF	chr10	99459977	99459997	-	0.000	0.000	Merged-chr10-99459996-60
NR12586--MA0501.1.MAF::NFE2	chr8	57427711	57427725	-	0.000	0.000	Merged-chr8-57427831-53
NR12234--MA0089.1.MAFG::NFE2L1	chr7	117428880	117428885	-	0.000	0.000	Merged-chr7-117429043-56
NR2542--MA0089.1.MAFG::NFE2L1	chr12	17511194	17511199	-	0.000	0.000	Merged-chr12-17511273-48
NR12747--MA0501.1.MAF::NFE2	chr8	83740255	83740269	+	0.000	0.000	Merged-chr8-83740218-49
NR6876--MA0089.1.MAFG::NFE2L1	chr19	57105696	57105701	-	0.000	0.000	Merged-chr19-57105551-34
NR7615--MA0089.1.MAFG::NFE2L1	chr2	130642558	130642563	+	0.000	0.000	Merged-chr2-130642738-65
NR11405--MA0089.1.MAFG::NFE2L1	chr6	119522086	119522091	+	0.000	0.000	Merged-chr6-119522115-45
NR8471--MA0659.1.MAFG	chr3	79100354	79100374	-	0.000	0.000	Merged-chr3-79100420-9
NR1550--MA0501.1.MAF::NFE2	chr10	62590345	62590359	+	0.000	0.000	Merged-chr10-62590420-43
NR8040--MA0089.1.MAFG::NFE2L1	chr3	8971816	8971821	+	0.000	0.000	Merged-chr3-8971852-23
NR6761--MA0089.1.MAFG::NFE2L1	chr19	9939003	9939008	-	0.000	0.000	Merged-chr19-9938920-69
NR4839--MA0496.2.MAFK	chr15	61541266	61541284	+	0.000	0.000	Merged-chr15-61541070-57
NR8885--MA0496.2.MAFK	chr3	142560505	142560523	+	0.000	0.000	Merged-chr3-142560586-84
NR7789--MA0591.1.Bach1::Mafk	chr2	152029410	152029424	-	0.000	0.000	Merged-chr2-152029501-52
NR741--MA0089.1.MAFG::NFE2L1	chr1	138159131	138159136	+	0.000	0.000	Merged-chr1-138159171-7
NR5855--MA0117.2.Mafb	chr17	34079786	34079797	-	0.000	0.000	Merged-chr17-34079741-9
NR13104--MA0591.1.Bach1::Mafk	chr9	32747939	32747953	+	0.000	0.000	Merged-chr9-32747725-37
NR10536--MA0591.1.Bach1::Mafk	chr5	124943798	124943812	+	0.000	0.000	Merged-chr5-124943788-2
NR13478--MA0089.1.MAFG::NFE2L1	chr9	117653680	117653685	-	0.000	0.000	Merged-chr9-117653773-19
NR9368--MA0501.1.MAF::NFE2	chr4	62476050	62476064	+	0.000	0.000	Merged-chr4-62476033-55
NR5945--MA0089.1.MAFG::NFE2L1	chr17	56162384	56162389	-	0.000	0.000	Merged-chr17-56162461-54
NR382--MA0496.2.MAFK	chr1	72870500	72870518	+	0.000	0.000	Merged-chr1-72870469-25
NR7790--MA0089.1.MAFG::NFE2L1	chr2	152788881	152788886	+	0.000	0.000	Merged-chr2-152789002-1
NR5515--MA0117.2.Mafb	chr16	75855587	75855598	-	0.000	0.000	Merged-chr16-75855662-51
NR9188--MA0591.1.Bach1::Mafk	chr4	32906829	32906843	+	0.000	0.000	Merged-chr4-32906813-40
NR5541--MA0089.1.MAFG::NFE2L1	chr16	78199485	78199490	+	0.000	0.000	Merged-chr16-78199529-2
NR2109--MA0496.2.MAFK	chr11	11573643	11573661	+	0.000	0.000	Merged-chr11-11573827-37
NR12245--MA0089.1.MAFG::NFE2L1	chr7	121020597	121020602	-	0.000	0.000	Merged-chr7-121020504-17
NR2373--MA0496.2.MAFK	chr11	95834502	95834520	+	0.000	0.000	Merged-chr11-95834511-50
NR10069--MA0117.2.Mafb	chr5	28071845	28071856	-	0.000	0.000	Merged-chr5-28071950-1
NR13227--MA0659.1.MAFG	chr9	78074138	78074158	-	0.000	0.000	Merged-chr9-78074095-46
NR12155--MA0659.1.MAFG	chr7	104465137	104465157	-	0.000	0.000	Merged-chr7-104465292-53
NR3193--MA0089.1.MAFG::NFE2L1	chr13	21735093	21735098	-	0.000	0.000	Merged-chr13-21734996-112
NR3018--MA0659.1.MAFG	chr12	114615864	114615884	-	0.000	0.000	Merged-chr12-114615725-85
NR1010--MA0501.1.MAF::NFE2	chr1	185193695	185193709	-	0.000	0.000	Merged-chr1-185193700-43
NR12536--MA0591.1.Bach1::Mafk	chr8	47991102	47991116	-	0.000	0.000	Merged-chr8-47991152-4
NR13678--MA0089.1.MAFG::NFE2L1	chrX	106136059	106136064	+	0.000	0.000	Merged-chrX-106135909-80
NR3986--MA0089.1.MAFG::NFE2L1	chr14	20674182	20674187	+	0.000	0.000	Merged-chr14-20674407-80
NR8099--MA0501.1.MAF::NFE2	chr3	18623973	18623987	+	0.000	0.000	Merged-chr3-18624063-31
NR10517--MA0117.2.Mafb	chr5	121335516	121335527	+	0.000	0.000	Merged-chr5-121335584-25
NR7884--MA0501.1.MAF::NFE2	chr2	167004604	167004618	+	0.000	0.000	Merged-chr2-167004660-28
NR10302--MA0117.2.Mafb	chr5	75645649	75645660	-	0.000	0.000	Merged-chr5-75645576-13
NR8015--MA0117.2.Mafb	chr2	180456471	180456482	+	0.000	0.000	Merged-chr2-180456418-79
NR2162--MA0089.1.MAFG::NFE2L1	chr11	22782950	22782955	-	0.000	0.000	Merged-chr11-22782908-24
NR12961--MA0659.1.MAFG	chr8	126686967	126686987	-	0.000	0.000	Merged-chr8-126687126-29
NR13556--MA0496.2.MAFK	chrX	48310731	48310749	+	0.000	0.000	Merged-chrX-48310773-8
NR13482--MA0117.2.Mafb	chr9	118706052	118706063	+	0.000	0.000	Merged-chr9-118706091-31
NR7149--MA0117.2.Mafb	chr2	49482494	49482505	+	0.000	0.000	Merged-chr2-49482478-20
NR4520--MA0501.1.MAF::NFE2	chr14	120275574	120275588	-	0.000	0.000	Merged-chr14-120275634-49
NR7813--MA0089.1.MAFG::NFE2L1	chr2	156970625	156970630	+	0.000	0.000	Merged-chr2-156970494-23
NR6557--MA0591.1.Bach1::Mafk	chr18	65430699	65430713	-	0.000	0.000	Merged-chr18-65430843-87
NR5667--MA0089.1.MAFG::NFE2L1	chr17	5165466	5165471	-	0.000	0.000	Merged-chr17-5165532-60
NR3203--MA0089.1.MAFG::NFE2L1	chr13	23752647	23752652	-	0.000	0.000	Merged-chr13-23752435-52
NR179--MA0117.2.Mafb	chr1	38884008	38884019	+	0.000	0.000	Merged-chr1-38884000-31
NR3023--MA0591.1.Bach1::Mafk	chr12	114991125	114991139	-	0.000	0.000	Merged-chr12-114991248-55
NR3129--MA0089.1.MAFG::NFE2L1	chr13	8831748	8831753	+	0.000	0.000	Merged-chr13-8831757-38
NR952--MA0089.1.MAFG::NFE2L1	chr1	172000863	172000868	+	0.000	0.000	Merged-chr1-172000780-26
NR1653--MA0117.2.Mafb	chr10	75415018	75415029	+	0.000	0.000	Merged-chr10-75415162-28
NR2046--MA0591.1.Bach1::Mafk	chr10	130311781	130311795	-	0.000	0.000	Merged-chr10-130311798-35
NR9260--MA0495.2.MAFF	chr4	48039926	48039946	+	0.000	0.000	Merged-chr4-48039854-22
NR11522--MA0117.2.Mafb	chr6	135436457	135436468	+	0.000	0.000	Merged-chr6-135436569-8
NR13592--MA0496.2.MAFK	chrX	59568330	59568348	+	0.000	0.000	Merged-chrX-59568240-6
NR8297--MA0501.1.MAF::NFE2	chr3	52555202	52555216	+	0.000	0.000	Merged-chr3-52555195-52
NR2328--MA0501.1.MAF::NFE2	chr11	79130172	79130186	+	0.000	0.000	Merged-chr11-79129992-68
NR4938--MA0089.1.MAFG::NFE2L1	chr15	78597115	78597120	+	0.000	0.000	Merged-chr15-78597127-20
NR8134--MA0496.2.MAFK	chr3	21917648	21917666	+	0.000	0.000	Merged-chr3-21917648-70
NR10082--MA0089.1.MAFG::NFE2L1	chr5	33039547	33039552	-	0.000	0.000	Merged-chr5-33039465-62
NR10542--MA0496.2.MAFK	chr5	125158607	125158625	-	0.000	0.000	Merged-chr5-125158641-59
NR5989--MA0591.1.Bach1::Mafk	chr17	65961962	65961976	-	0.000	0.000	Merged-chr17-65961846-52
NR417--MA0659.1.MAFG	chr1	78422793	78422813	+	0.000	0.000	Merged-chr1-78422740-38
NR776--MA0089.1.MAFG::NFE2L1	chr1	143907539	143907544	-	0.000	0.000	Merged-chr1-143907495-7
NR7824--MA0089.1.MAFG::NFE2L1	chr2	158160167	158160172	-	0.000	0.000	Merged-chr2-158160127-37
NR1898--MA0495.2.MAFF	chr10	107858904	107858924	+	0.000	0.000	Merged-chr10-107858878-12
NR344--MA0591.1.Bach1::Mafk	chr1	69291466	69291480	-	0.000	0.000	Merged-chr1-69291557-40
NR2475--MA0089.1.MAFG::NFE2L1	chr11	120458142	120458147	-	0.000	0.000	Merged-chr11-120458072-48
NR3851--MA0117.2.Mafb	chr14	8157092	8157103	+	0.000	0.000	Merged-chr14-8157136-4
NR4835--MA0501.1.MAF::NFE2	chr15	60141740	60141754	-	0.000	0.000	Merged-chr15-60141822-49
NR11325--MA0089.1.MAFG::NFE2L1	chr6	108466214	108466219	-	0.000	0.000	Merged-chr6-108466218-26
NR5695--MA0117.2.Mafb	chr17	10425564	10425575	-	0.000	0.000	Merged-chr17-10425505-16
NR13044--MA0117.2.Mafb	chr9	15582149	15582160	-	0.000	0.000	Merged-chr9-15582230-13
NR8840--MA0089.1.MAFG::NFE2L1	chr3	136688184	136688189	-	0.000	0.000	Merged-chr3-136688298-63
NR12530--MA0495.2.MAFF	chr8	46550338	46550358	+	0.000	0.000	Merged-chr8-46550228-39
NR1629--MA0496.2.MAFK	chr10	70903744	70903762	+	0.000	0.000	Merged-chr10-70903939-1
NR5852--MA0089.1.MAFG::NFE2L1	chr17	33940346	33940351	+	0.000	0.000	Merged-chr17-33940486-52
NR9851--MA0501.1.MAF::NFE2	chr4	152186854	152186868	-	0.000	0.000	Merged-chr4-152186778-42
NR12158--MA0496.2.MAFK	chr7	104465138	104465156	-	0.000	0.000	Merged-chr7-104465292-53
NR1320--MA0496.2.MAFK	chr10	29313191	29313209	-	0.000	0.000	Merged-chr10-29313390-69
NR12532--MA0659.1.MAFG	chr8	46550338	46550358	+	0.000	0.000	Merged-chr8-46550228-39
NR7910--MA0501.1.MAF::NFE2	chr2	170247792	170247806	+	0.000	0.000	Merged-chr2-170247949-28
NR5778--MA0089.1.MAFG::NFE2L1	chr17	22866544	22866549	-	0.000	0.000	Merged-chr17-22866822-95
NR4832--MA0495.2.MAFF	chr15	60141740	60141760	+	0.000	0.000	Merged-chr15-60141822-49
NR2757--MA0591.1.Bach1::Mafk	chr12	54313282	54313296	+	0.000	0.000	Merged-chr12-54313214-97
NR4734--MA0089.1.MAFG::NFE2L1	chr15	38452914	38452919	+	0.000	0.000	Merged-chr15-38452892-28
NR6719--MA0089.1.MAFG::NFE2L1	chr18	89126581	89126586	-	0.000	0.000	Merged-chr18-89126622-17
NR11929--MA0089.1.MAFG::NFE2L1	chr7	68070809	68070814	-	0.000	0.000	Merged-chr7-68070882-29
NR11438--MA0089.1.MAFG::NFE2L1	chr6	124903770	124903775	-	0.000	0.000	Merged-chr6-124903872-48
NR8918--MA0496.2.MAFK	chr3	146063413	146063431	+	0.000	0.000	Merged-chr3-146063322-20
NR426--MA0117.2.Mafb	chr1	80728462	80728473	+	0.000	0.000	Merged-chr1-80728475-49
NR2578--MA0501.1.MAF::NFE2	chr12	25240223	25240237	+	0.000	0.000	Merged-chr12-25240283-42
NR3949--MA0591.1.Bach1::Mafk	chr14	15747084	15747098	+	0.000	0.000	Merged-chr14-15746987-40
NR429--MA0495.2.MAFF	chr1	81301963	81301983	-	0.000	0.000	Merged-chr1-81301857-6
NR12945--MA0089.1.MAFG::NFE2L1	chr8	124573690	124573695	+	0.000	0.000	Merged-chr8-124573741-33
NR2305--MA0117.2.Mafb	chr11	72961928	72961939	+	0.000	0.000	Merged-chr11-72961970-1
NR2435--MA0659.1.MAFG	chr11	115463665	115463685	+	0.000	0.000	Merged-chr11-115463666-29
NR2319--MA0501.1.MAF::NFE2	chr11	75170581	75170595	-	0.000	0.000	Merged-chr11-75170495-55
NR44--MA0089.1.MAFG::NFE2L1	chr1	10037936	10037941	+	0.000	0.000	Merged-chr1-10038044-60
NR5461--MA0089.1.MAFG::NFE2L1	chr16	65448874	65448879	+	0.000	0.000	Merged-chr16-65448972-5
NR10671--MA0089.1.MAFG::NFE2L1	chr5	150522599	150522604	+	0.000	0.000	Merged-chr5-150522629-58
NR11410--MA0089.1.MAFG::NFE2L1	chr6	119918737	119918742	+	0.000	0.000	Merged-chr6-119918835-40
NR6325--MA0591.1.Bach1::Mafk	chr18	31759787	31759801	-	0.000	0.000	Merged-chr18-31760012-102
NR2417--MA0117.2.Mafb	chr11	109611822	109611833	+	0.000	0.000	Merged-chr11-109611660-96
NR1974--MA0591.1.Bach1::Mafk	chr10	118722058	118722072	+	0.000	0.000	Merged-chr10-118722050-7
NR8643--MA0659.1.MAFG	chr3	105892539	105892559	-	0.000	0.000	Merged-chr3-105892493-111
NR4861--MA0659.1.MAFG	chr15	64041700	64041720	-	0.000	0.000	Merged-chr15-64041818-65
NR2179--MA0591.1.Bach1::Mafk	chr11	26640671	26640685	-	0.000	0.000	Merged-chr11-26640535-47
NR5763--MA0089.1.MAFG::NFE2L1	chr17	21536859	21536864	-	0.000	0.000	Merged-chr17-21536922-38
NR1980--MA0501.1.MAF::NFE2	chr10	121334826	121334840	-	0.000	0.000	Merged-chr10-121334819-22
NR13206--MA0089.1.MAFG::NFE2L1	chr9	75541761	75541766	-	0.000	0.000	Merged-chr9-75541698-38
NR3138--MA0089.1.MAFG::NFE2L1	chr13	9763395	9763400	-	0.000	0.000	Merged-chr13-9763479-33
NR3630--MA0496.2.MAFK	chr13	99385148	99385166	+	0.000	0.000	Merged-chr13-99385105-49
NR1240--MA0089.1.MAFG::NFE2L1	chr10	16930232	16930237	+	0.000	0.000	Merged-chr10-16930100-2
NR9191--MA0117.2.Mafb	chr4	33310234	33310245	-	0.000	0.000	Merged-chr4-33310385-59
NR6919--MA0089.1.MAFG::NFE2L1	chr2	6863174	6863179	-	0.000	0.000	Merged-chr2-6863166-2
NR262--MA0591.1.Bach1::Mafk	chr1	58304611	58304625	-	0.000	0.000	Merged-chr1-58304515-8
NR8883--MA0495.2.MAFF	chr3	142560504	142560524	+	0.000	0.000	Merged-chr3-142560586-84
NR2429--MA0495.2.MAFF	chr11	113536965	113536985	-	0.000	0.000	Merged-chr11-113536889-33
NR10218--MA0089.1.MAFG::NFE2L1	chr5	64371445	64371450	-	0.000	0.000	Merged-chr5-64371502-26
NR1005--MA0117.2.Mafb	chr1	182657754	182657765	-	0.000	0.000	Merged-chr1-182657860-43
NR2180--MA0501.1.MAF::NFE2	chr11	26640674	26640688	+	0.000	0.000	Merged-chr11-26640535-47
NR5950--MA0089.1.MAFG::NFE2L1	chr17	56819798	56819803	+	0.000	0.000	Merged-chr17-56819789-51
NR6667--MA0496.2.MAFK	chr18	82826228	82826246	+	0.000	0.000	Merged-chr18-82826025-87
NR3742--MA0496.2.MAFK	chr13	109822601	109822619	-	0.000	0.000	Merged-chr13-109822486-79
NR7559--MA0089.1.MAFG::NFE2L1	chr2	121271577	121271582	+	0.000	0.000	Merged-chr2-121271299-80
NR10592--MA0496.2.MAFK	chr5	135134346	135134364	-	0.000	0.000	Merged-chr5-135134293-53
NR3671--MA0495.2.MAFF	chr13	103374635	103374655	-	0.000	0.000	Merged-chr13-103374467-6
NR6779--MA0496.2.MAFK	chr19	14352215	14352233	-	0.000	0.000	Merged-chr19-14352313-109
NR11250--MA0117.2.Mafb	chr6	97294129	97294140	-	0.000	0.000	Merged-chr6-97294114-106
NR13506--MA0117.2.Mafb	chr9	123723235	123723246	+	0.000	0.000	Merged-chr9-123723255-25
NR4167--MA0089.1.MAFG::NFE2L1	chr14	47518828	47518833	+	0.000	0.000	Merged-chr14-47518812-18
NR4277--MA0496.2.MAFK	chr14	78273821	78273839	-	0.000	0.000	Merged-chr14-78273841-14
NR3673--MA0659.1.MAFG	chr13	103374635	103374655	-	0.000	0.000	Merged-chr13-103374467-6
NR4607--MA0591.1.Bach1::Mafk	chr15	12667948	12667962	-	0.000	0.000	Merged-chr15-12668076-24
NR13168--MA0496.2.MAFK	chr9	61708040	61708058	-	0.000	0.000	Merged-chr9-61708026-57
NR2458--MA0659.1.MAFG	chr11	117109896	117109916	-	0.000	0.000	Merged-chr11-117109823-31
NR8406--MA0117.2.Mafb	chr3	69156710	69156721	+	0.000	0.000	Merged-chr3-69156652-55
NR8588--MA0501.1.MAF::NFE2	chr3	95434258	95434272	-	0.000	0.000	Merged-chr3-95434415-68
NR12908--MA0591.1.Bach1::Mafk	chr8	115844180	115844194	-	0.000	0.000	Merged-chr8-115844208-1
NR6130--MA0496.2.MAFK	chr17	86063693	86063711	-	0.000	0.000	Merged-chr17-86063661-27
NR4412--MA0495.2.MAFF	chr14	105177467	105177487	+	0.000	0.000	Merged-chr14-105177397-2
NR10389--MA0659.1.MAFG	chr5	92353778	92353798	-	0.000	0.000	Merged-chr5-92353751-46
NR4065--MA0089.1.MAFG::NFE2L1	chr14	36316078	36316083	+	0.000	0.000	Merged-chr14-36316254-1
NR10382--MA0496.2.MAFK	chr5	92348951	92348969	+	0.000	0.000	Merged-chr5-92348973-52
NR2460--MA0496.2.MAFK	chr11	117109897	117109915	+	0.000	0.000	Merged-chr11-117109823-31
NR13314--MA0659.1.MAFG	chr9	90257560	90257580	-	0.000	0.000	Merged-chr9-90257512-5
NR4837--MA0496.2.MAFK	chr15	60141741	60141759	-	0.000	0.000	Merged-chr15-60141822-49
NR9601--MA0089.1.MAFG::NFE2L1	chr4	99942369	99942374	-	0.000	0.000	Merged-chr4-99942261-47
NR13581--MA0089.1.MAFG::NFE2L1	chrX	52988221	52988226	-	0.000	0.000	Merged-chrX-52988248-53
NR10869--MA0591.1.Bach1::Mafk	chr6	31803375	31803389	+	0.000	0.000	Merged-chr6-31803356-16
NR1283--MA0117.2.Mafb	chr10	21976504	21976515	-	0.000	0.000	Merged-chr10-21976372-39
NR6360--MA0501.1.MAF::NFE2	chr18	39035430	39035444	+	0.000	0.000	Merged-chr18-39035384-28
NR9626--MA0117.2.Mafb	chr4	106935350	106935361	-	0.000	0.000	Merged-chr4-106935357-64
NR12376--MA0089.1.MAFG::NFE2L1	chr8	12607412	12607417	-	0.000	0.000	Merged-chr8-12607436-37
NR2467--MA0117.2.Mafb	chr11	118245198	118245209	+	0.000	0.000	Merged-chr11-118245259-33
NR180--MA0591.1.Bach1::Mafk	chr1	38884011	38884025	-	0.000	0.000	Merged-chr1-38884000-31
NR6828--MA0089.1.MAFG::NFE2L1	chr19	36533188	36533193	-	0.000	0.000	Merged-chr19-36533224-11
NR13554--MA0495.2.MAFF	chrX	48310730	48310750	-	0.000	0.000	Merged-chrX-48310773-8
NR4162--MA0501.1.MAF::NFE2	chr14	46578293	46578307	-	0.000	0.000	Merged-chr14-46578431-37
NR4178--MA0089.1.MAFG::NFE2L1	chr14	48199269	48199274	+	0.000	0.000	Merged-chr14-48199252-26
NR4554--MA0089.1.MAFG::NFE2L1	chr14	123163261	123163266	-	0.000	0.000	Merged-chr14-123163033-38
NR3510--MA0089.1.MAFG::NFE2L1	chr13	83318500	83318505	-	0.000	0.000	Merged-chr13-83318611-6
NR13392--MA0089.1.MAFG::NFE2L1	chr9	101182255	101182260	+	0.000	0.000	Merged-chr9-101182194-26
NR13404--MA0089.1.MAFG::NFE2L1	chr9	107771162	107771167	+	0.000	0.000	Merged-chr9-107771032-67
