#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR2307--MA0117.2.Mafb	chr11	94591900	94591911	-	0.000	0.000	Merged-chr11-94591721-35
NR947--MA0089.1.MAFG::NFE2L1	chr1	183987870	183987875	+	0.000	0.000	Merged-chr1-183987914-47
NR1103--MA0496.2.MAFK	chr1	193201462	193201480	-	0.000	0.000	Merged-chr1-193201306-86
NR10352--MA0496.2.MAFK	chr6	108277101	108277119	+	0.000	0.000	Merged-chr6-108277136-27
NR8755--MA0495.2.MAFF	chr4	116806479	116806499	+	0.000	0.000	Merged-chr4-116806659-9
NR9511--MA0659.1.MAFG	chr5	97002395	97002415	+	0.000	0.000	Merged-chr5-97002471-16
NR3071--MA0089.1.MAFG::NFE2L1	chr12	114469074	114469079	-	0.000	0.000	Merged-chr12-114469182-47
NR1596--MA0495.2.MAFF	chr10	96357117	96357137	-	0.000	0.000	Merged-chr10-96357351-35
NR3188--MA0591.1.Bach1::Mafk	chr13	5890181	5890195	-	0.000	0.000	Merged-chr13-5890173-33
NR5432--MA0089.1.MAFG::NFE2L1	chr17	34912020	34912025	+	0.000	0.000	Merged-chr17-34912198-43
NR11195--MA0089.1.MAFG::NFE2L1	chr7	101555538	101555543	+	0.000	0.000	Merged-chr7-101555691-65
NR3662--MA0089.1.MAFG::NFE2L1	chr13	102873652	102873657	+	0.000	0.000	Merged-chr13-102873625-24
NR2242--MA0089.1.MAFG::NFE2L1	chr11	85235135	85235140	-	0.000	0.000	Merged-chr11-85234934-68
NR8848--MA0591.1.Bach1::Mafk	chr4	128981294	128981308	-	0.000	0.000	Merged-chr4-128981305-55
NR8867--MA0495.2.MAFF	chr4	133625795	133625815	+	0.000	0.000	Merged-chr4-133625907-62
NR2414--MA0501.1.MAF::NFE2	chr11	109744078	109744092	-	0.000	0.000	Merged-chr11-109744155-21
NR11583--MA0117.2.Mafb	chr7	143628821	143628832	+	0.000	0.000	Merged-chr7-143628758-62
NR9766--MA0089.1.MAFG::NFE2L1	chr5	135962695	135962700	-	0.000	0.000	Merged-chr5-135962796-70
NR254--MA0089.1.MAFG::NFE2L1	chr1	74227568	74227573	-	0.000	0.000	Merged-chr1-74227561-37
NR6445--MA0496.2.MAFK	chr2	4559577	4559595	+	0.000	0.000	Merged-chr2-4559721-92
NR630--MA0089.1.MAFG::NFE2L1	chr1	153085500	153085505	-	0.000	0.000	Merged-chr1-153085366-59
NR9081--MA0117.2.Mafb	chr5	3358909	3358920	+	0.000	0.000	Merged-chr5-3358967-15
NR4793--MA0089.1.MAFG::NFE2L1	chr15	101105609	101105614	+	0.000	0.000	Merged-chr15-101105775-48
NR10397--MA0501.1.MAF::NFE2	chr6	114657110	114657124	-	0.000	0.000	Merged-chr6-114657175-55
NR469--MA0089.1.MAFG::NFE2L1	chr1	127297096	127297101	-	0.000	0.000	Merged-chr1-127297024-52
NR2305--MA0496.2.MAFK	chr11	94386616	94386634	+	0.000	0.000	Merged-chr11-94386453-49
NR11988--MA0089.1.MAFG::NFE2L1	chr8	116605575	116605580	+	0.000	0.000	Merged-chr8-116605593-15
NR5015--MA0496.2.MAFK	chr16	52879650	52879668	+	0.000	0.000	Merged-chr16-52879758-28
NR2798--MA0495.2.MAFF	chr12	80197672	80197692	+	0.000	0.000	Merged-chr12-80197610-10
NR4084--MA0117.2.Mafb	chr14	67993286	67993297	-	0.000	0.000	Merged-chr14-67993349-29
NR28--MA0089.1.MAFG::NFE2L1	chr1	16688419	16688424	+	0.000	0.000	Merged-chr1-16688563-89
NR659--MA0496.2.MAFK	chr1	155224014	155224032	-	0.000	0.000	Merged-chr1-155224072-96
NR7551--MA0591.1.Bach1::Mafk	chr2	180822556	180822570	+	0.000	0.000	Merged-chr2-180822678-8
NR8504--MA0496.2.MAFK	chr4	47314182	47314200	+	0.000	0.000	Merged-chr4-47314208-36
NR5169--MA0089.1.MAFG::NFE2L1	chr16	87709519	87709524	+	0.000	0.000	Merged-chr16-87709397-19
NR9664--MA0089.1.MAFG::NFE2L1	chr5	115474452	115474457	-	0.000	0.000	Merged-chr5-115474524-35
NR10019--MA0117.2.Mafb	chr6	31219077	31219088	+	0.000	0.000	Merged-chr6-31219106-11
NR4983--MA0591.1.Bach1::Mafk	chr16	49907578	49907592	+	0.000	0.000	Merged-chr16-49907534-19
NR4089--MA0659.1.MAFG	chr14	68048502	68048522	-	0.000	0.000	Merged-chr14-68048538-29
NR11770--MA0591.1.Bach1::Mafk	chr8	70635683	70635697	-	0.000	0.000	Merged-chr8-70635559-11
NR11205--MA0089.1.MAFG::NFE2L1	chr7	101896630	101896635	-	0.000	0.000	Merged-chr7-101896554-69
NR12018--MA0501.1.MAF::NFE2	chr8	120760047	120760061	+	0.000	0.000	Merged-chr8-120760094-1
NR12304--MA0496.2.MAFK	chr9	44999339	44999357	-	0.000	0.000	Merged-chr9-44999415-9
NR8700--MA0591.1.Bach1::Mafk	chr4	106987844	106987858	-	0.000	0.000	Merged-chr4-106987990-49
NR2775--MA0501.1.MAF::NFE2	chr12	73842444	73842458	+	0.000	0.000	Merged-chr12-73842345-69
NR3197--MA0089.1.MAFG::NFE2L1	chr13	6659457	6659462	+	0.000	0.000	Merged-chr13-6659549-27
NR4993--MA0089.1.MAFG::NFE2L1	chr16	52143291	52143296	-	0.000	0.000	Merged-chr16-52143257-58
NR3939--MA0501.1.MAF::NFE2	chr14	26858677	26858691	+	0.000	0.000	Merged-chr14-26858524-14
NR6376--MA0117.2.Mafb	chr19	56647420	56647431	+	0.000	0.000	Merged-chr19-56647541-17
NR6808--MA0591.1.Bach1::Mafk	chr2	69802945	69802959	-	0.000	0.000	Merged-chr2-69803068-39
NR10608--MA0501.1.MAF::NFE2	chr6	140516456	140516470	+	0.000	0.000	Merged-chr6-140516566-6
NR2240--MA0089.1.MAFG::NFE2L1	chr11	84813941	84813946	+	0.000	0.000	Merged-chr11-84814104-24
NR4091--MA0496.2.MAFK	chr14	68048503	68048521	+	0.000	0.000	Merged-chr14-68048538-29
NR7898--MA0496.2.MAFK	chr3	105763607	105763625	-	0.000	0.000	Merged-chr3-105763665-52
NR2664--MA0501.1.MAF::NFE2	chr12	32897734	32897748	-	0.000	0.000	Merged-chr12-32897664-25
NR10364--MA0089.1.MAFG::NFE2L1	chr6	108426895	108426900	+	0.000	0.000	Merged-chr6-108426934-21
NR11103--MA0089.1.MAFG::NFE2L1	chr7	80033512	80033517	+	0.000	0.000	Merged-chr7-80033388-28
NR9090--MA0501.1.MAF::NFE2	chr5	3358936	3358950	-	0.000	0.000	Merged-chr5-3358967-15
NR11250--MA0496.2.MAFK	chr7	104465138	104465156	+	0.000	0.000	Merged-chr7-104465292-53
NR2020--MA0591.1.Bach1::Mafk	chr11	51264661	51264675	+	0.000	0.000	Merged-chr11-51264498-29
NR5369--MA0089.1.MAFG::NFE2L1	chr17	24669586	24669591	-	0.000	0.000	Merged-chr17-24669740-50
NR7896--MA0591.1.Bach1::Mafk	chr3	105763609	105763623	+	0.000	0.000	Merged-chr3-105763665-52
NR4535--MA0495.2.MAFF	chr15	60141740	60141760	-	0.000	0.000	Merged-chr15-60141822-49
NR11705--MA0591.1.Bach1::Mafk	chr8	40584824	40584838	-	0.000	0.000	Merged-chr8-40584789-43
NR10449--MA0591.1.Bach1::Mafk	chr6	122758925	122758939	-	0.000	0.000	Merged-chr6-122758915-39
NR10843--MA0117.2.Mafb	chr7	19228404	19228415	-	0.000	0.000	Merged-chr7-19228320-141
NR12363--MA0495.2.MAFF	chr9	62349327	62349347	+	0.000	0.000	Merged-chr9-62349502-36
NR508--MA0591.1.Bach1::Mafk	chr1	131153186	131153200	-	0.000	0.000	Merged-chr1-131153253-37
NR11029--MA0089.1.MAFG::NFE2L1	chr7	66116121	66116126	-	0.000	0.000	Merged-chr7-66116161-49
NR2757--MA0089.1.MAFG::NFE2L1	chr12	71015954	71015959	-	0.000	0.000	Merged-chr12-71015954-124
NR6761--MA0089.1.MAFG::NFE2L1	chr2	62459432	62459437	+	0.000	0.000	Merged-chr2-62459373-5
NR11971--MA0089.1.MAFG::NFE2L1	chr8	114815498	114815503	-	0.000	0.000	Merged-chr8-114815485-46
NR6600--MA0117.2.Mafb	chr2	32715337	32715348	+	0.000	0.000	Merged-chr2-32715137-51
NR10814--MA0496.2.MAFK	chr7	16057371	16057389	+	0.000	0.000	Merged-chr7-16057177-61
NR2706--MA0591.1.Bach1::Mafk	chr12	51845107	51845121	+	0.000	0.000	Merged-chr12-51845032-54
NR4383--MA0501.1.MAF::NFE2	chr15	12196836	12196850	+	0.000	0.000	Merged-chr15-12196994-20
NR4640--MA0501.1.MAF::NFE2	chr15	79414721	79414735	+	0.000	0.000	Merged-chr15-79414662-24
NR12235--MA0117.2.Mafb	chr9	31386997	31387008	+	0.000	0.000	Merged-chr9-31386923-3
NR1881--MA0591.1.Bach1::Mafk	chr11	4249448	4249462	+	0.000	0.000	Merged-chr11-4249438-7
NR5643--MA0089.1.MAFG::NFE2L1	chr17	86495938	86495943	-	0.000	0.000	Merged-chr17-86495952-1
NR11369--MA0117.2.Mafb	chr7	118141376	118141387	+	0.000	0.000	Merged-chr7-118141478-27
NR5636--MA0659.1.MAFG	chr17	86188060	86188080	-	0.000	0.000	Merged-chr17-86187981-35
NR5404--MA0591.1.Bach1::Mafk	chr17	29362144	29362158	+	0.000	0.000	Merged-chr17-29362126-13
NR9960--MA0591.1.Bach1::Mafk	chr6	13838632	13838646	+	0.000	0.000	Merged-chr6-13838758-42
NR6157--MA0117.2.Mafb	chr19	9038340	9038351	+	0.000	0.000	Merged-chr19-9038318-39
NR956--MA0089.1.MAFG::NFE2L1	chr1	184751472	184751477	-	0.000	0.000	Merged-chr1-184751461-18
NR1726--MA0089.1.MAFG::NFE2L1	chr10	117629309	117629314	-	0.000	0.000	Merged-chr10-117629481-71
NR4433--MA0501.1.MAF::NFE2	chr15	36640982	36640996	-	0.000	0.000	Merged-chr15-36640954-48
NR2163--MA0495.2.MAFF	chr11	73131228	73131248	-	0.000	0.000	Merged-chr11-73131233-35
NR2398--MA0501.1.MAF::NFE2	chr11	108244342	108244356	+	0.000	0.000	Merged-chr11-108244396-19
NR9514--MA0496.2.MAFK	chr5	97002396	97002414	-	0.000	0.000	Merged-chr5-97002471-16
NR10779--MA0089.1.MAFG::NFE2L1	chr6	149139141	149139146	-	0.000	0.000	Merged-chr6-149139257-18
NR3801--MA0659.1.MAFG	chr13	114935790	114935810	-	0.000	0.000	Merged-chr13-114935699-10
NR9197--MA0089.1.MAFG::NFE2L1	chr5	24842605	24842610	-	0.000	0.000	Merged-chr5-24842624-94
NR3141--MA0495.2.MAFF	chr12	117403964	117403984	+	0.000	0.000	Merged-chr12-117403786-38
NR2742--MA0089.1.MAFG::NFE2L1	chr12	65065555	65065560	-	0.000	0.000	Merged-chr12-65065515-53
NR10857--MA0659.1.MAFG	chr7	25107335	25107355	+	0.000	0.000	Merged-chr7-25107253-25
NR2268--MA0659.1.MAFG	chr11	87074101	87074121	-	0.000	0.000	Merged-chr11-87073947-35
NR1232--MA0501.1.MAF::NFE2	chr10	25457256	25457270	-	0.000	0.000	Merged-chr10-25457296-47
NR9649--MA0495.2.MAFF	chr5	115312987	115313007	+	0.000	0.000	Merged-chr5-115313005-7
NR8859--MA0089.1.MAFG::NFE2L1	chr4	129827884	129827889	+	0.000	0.000	Merged-chr4-129827894-38
NR5656--MA0089.1.MAFG::NFE2L1	chr17	88060197	88060202	-	0.000	0.000	Merged-chr17-88060218-12
NR2957--MA0089.1.MAFG::NFE2L1	chr12	102725393	102725398	-	0.000	0.000	Merged-chr12-102725313-9
NR1913--MA0089.1.MAFG::NFE2L1	chr11	16956633	16956638	+	0.000	0.000	Merged-chr11-16956809-36
NR8946--MA0089.1.MAFG::NFE2L1	chr4	143188933	143188938	-	0.000	0.000	Merged-chr4-143188920-11
NR7491--MA0496.2.MAFK	chr2	173431831	173431849	+	0.000	0.000	Merged-chr2-173431870-16
NR6296--MA0089.1.MAFG::NFE2L1	chr19	41332361	41332366	+	0.000	0.000	Merged-chr19-41332408-11
NR2407--MA0591.1.Bach1::Mafk	chr11	109375549	109375563	+	0.000	0.000	Merged-chr11-109375589-56
NR11882--MA0089.1.MAFG::NFE2L1	chr8	88244522	88244527	+	0.000	0.000	Merged-chr8-88244347-35
NR2705--MA0495.2.MAFF	chr12	51845104	51845124	-	0.000	0.000	Merged-chr12-51845032-54
NR11940--MA0496.2.MAFK	chr8	106795005	106795023	+	0.000	0.000	Merged-chr8-106794988-23
NR8554--MA0591.1.Bach1::Mafk	chr4	63403483	63403497	+	0.000	0.000	Merged-chr4-63403472-49
NR4047--MA0089.1.MAFG::NFE2L1	chr14	60129741	60129746	+	0.000	0.000	Merged-chr14-60129717-50
NR8876--MA0591.1.Bach1::Mafk	chr4	133688451	133688465	-	0.000	0.000	Merged-chr4-133688584-12
NR10040--MA0501.1.MAF::NFE2	chr6	37723514	37723528	+	0.000	0.000	Merged-chr6-37723494-25
NR1390--MA0591.1.Bach1::Mafk	chr10	68240710	68240724	+	0.000	0.000	Merged-chr10-68240828-58
NR289--MA0089.1.MAFG::NFE2L1	chr1	82839779	82839784	+	0.000	0.000	Merged-chr1-82839592-65
NR7337--MA0089.1.MAFG::NFE2L1	chr2	153326125	153326130	+	0.000	0.000	Merged-chr2-153325949-22
NR10753--MA0591.1.Bach1::Mafk	chr6	147099619	147099633	+	0.000	0.000	Merged-chr6-147099564-76
NR2716--MA0659.1.MAFG	chr12	52603789	52603809	-	0.000	0.000	Merged-chr12-52603919-133
NR11735--MA0501.1.MAF::NFE2	chr8	64826687	64826701	-	0.000	0.000	Merged-chr8-64826546-37
NR7610--MA0659.1.MAFG	chr3	21917647	21917667	+	0.000	0.000	Merged-chr3-21917648-70
NR5554--MA0089.1.MAFG::NFE2L1	chr17	74717768	74717773	-	0.000	0.000	Merged-chr17-74717725-59
NR4134--MA0089.1.MAFG::NFE2L1	chr14	74847773	74847778	+	0.000	0.000	Merged-chr14-74847708-53
NR9182--MA0089.1.MAFG::NFE2L1	chr5	21254967	21254972	-	0.000	0.000	Merged-chr5-21254890-25
NR397--MA0501.1.MAF::NFE2	chr1	106601140	106601154	+	0.000	0.000	Merged-chr1-106601056-67
NR6483--MA0089.1.MAFG::NFE2L1	chr2	11548810	11548815	+	0.000	0.000	Merged-chr2-11548721-17
NR3280--MA0089.1.MAFG::NFE2L1	chr13	24413452	24413457	+	0.000	0.000	Merged-chr13-24413373-17
NR8833--MA0591.1.Bach1::Mafk	chr4	126110993	126111007	-	0.000	0.000	Merged-chr4-126110742-108
NR3601--MA0591.1.Bach1::Mafk	chr13	93789526	93789540	+	0.000	0.000	Merged-chr13-93789416-6
NR11329--MA0089.1.MAFG::NFE2L1	chr7	115075947	115075952	+	0.000	0.000	Merged-chr7-115076033-1
NR7424--MA0089.1.MAFG::NFE2L1	chr2	166740617	166740622	+	0.000	0.000	Merged-chr2-166740656-12
NR12950--MA0495.2.MAFF	chrX	75764228	75764248	-	0.000	0.000	Merged-chrX-75764478-65
NR7109--MA0501.1.MAF::NFE2	chr2	125791849	125791863	+	0.000	0.000	Merged-chr2-125791694-59
NR10784--MA0501.1.MAF::NFE2	chr7	4493032	4493046	+	0.000	0.000	Merged-chr7-4492991-39
NR4955--MA0501.1.MAF::NFE2	chr16	44140578	44140592	+	0.000	0.000	Merged-chr16-44140552-3
NR12916--MA0117.2.Mafb	chrX	48455162	48455173	+	0.000	0.000	Merged-chrX-48455147-3
NR4436--MA0089.1.MAFG::NFE2L1	chr15	36792595	36792600	-	0.000	0.000	Merged-chr15-36792702-8
NR2302--MA0591.1.Bach1::Mafk	chr11	94386618	94386632	-	0.000	0.000	Merged-chr11-94386453-49
NR12372--MA0496.2.MAFK	chr9	62425368	62425386	+	0.000	0.000	Merged-chr9-62425384-15
NR622--MA0117.2.Mafb	chr1	152288036	152288047	+	0.000	0.000	Merged-chr1-152287912-60
NR6785--MA0501.1.MAF::NFE2	chr2	65170816	65170830	+	0.000	0.000	Merged-chr2-65170889-79
NR6622--MA0501.1.MAF::NFE2	chr2	35299661	35299675	-	0.000	0.000	Merged-chr2-35299647-29
NR4520--MA0501.1.MAF::NFE2	chr15	58927827	58927841	-	0.000	0.000	Merged-chr15-58927815-41
NR1517--MA0495.2.MAFF	chr10	88783292	88783312	-	0.000	0.000	Merged-chr10-88783253-12
NR12647--MA0089.1.MAFG::NFE2L1	chr9	100689914	100689919	+	0.000	0.000	Merged-chr9-100689976-48
NR11077--MA0495.2.MAFF	chr7	75575211	75575231	-	0.000	0.000	Merged-chr7-75575378-66
NR9786--MA0089.1.MAFG::NFE2L1	chr5	139303792	139303797	+	0.000	0.000	Merged-chr5-139303910-62
NR3023--MA0591.1.Bach1::Mafk	chr12	110889190	110889204	-	0.000	0.000	Merged-chr12-110889168-75
NR2089--MA0591.1.Bach1::Mafk	chr11	60935534	60935548	+	0.000	0.000	Merged-chr11-60935533-50
NR7427--MA0591.1.Bach1::Mafk	chr2	167688904	167688918	+	0.000	0.000	Merged-chr2-167689291-96
NR12840--MA0117.2.Mafb	chr9	122865930	122865941	-	0.000	0.000	Merged-chr9-122865982-50
NR10473--MA0089.1.MAFG::NFE2L1	chr6	125215542	125215547	-	0.000	0.000	Merged-chr6-125215615-63
NR1346--MA0089.1.MAFG::NFE2L1	chr10	59636948	59636953	+	0.000	0.000	Merged-chr10-59636988-40
NR1722--MA0089.1.MAFG::NFE2L1	chr10	117418163	117418168	-	0.000	0.000	Merged-chr10-117417999-69
NR540--MA0495.2.MAFF	chr1	138952343	138952363	-	0.000	0.000	Merged-chr1-138952405-35
NR1532--MA0501.1.MAF::NFE2	chr10	89487169	89487183	+	0.000	0.000	Merged-chr10-89487316-19
NR1647--MA0495.2.MAFF	chr10	107858904	107858924	+	0.000	0.000	Merged-chr10-107858878-12
NR257--MA0591.1.Bach1::Mafk	chr1	74398277	74398291	+	0.000	0.000	Merged-chr1-74398237-10
NR1839--MA0496.2.MAFK	chr10	127322156	127322174	-	0.000	0.000	Merged-chr10-127322062-67
NR3600--MA0117.2.Mafb	chr13	93340894	93340905	+	0.000	0.000	Merged-chr13-93341062-38
NR9193--MA0089.1.MAFG::NFE2L1	chr5	24100851	24100856	-	0.000	0.000	Merged-chr5-24100850-85
NR3101--MA0089.1.MAFG::NFE2L1	chr12	115012885	115012890	+	0.000	0.000	Merged-chr12-115012998-22
NR6877--MA0495.2.MAFF	chr2	84660393	84660413	+	0.000	0.000	Merged-chr2-84660480-32
NR5798--MA0659.1.MAFG	chr18	32941393	32941413	+	0.000	0.000	Merged-chr18-32941218-63
NR4930--MA0495.2.MAFF	chr16	36666059	36666079	-	0.000	0.000	Merged-chr16-36665954-31
NR9280--MA0089.1.MAFG::NFE2L1	chr5	52786765	52786770	-	0.000	0.000	Merged-chr5-52786683-41
NR9347--MA0117.2.Mafb	chr5	72212861	72212872	+	0.000	0.000	Merged-chr5-72212800-19
NR1952--MA0501.1.MAF::NFE2	chr11	26601747	26601761	+	0.000	0.000	Merged-chr11-26601843-16
NR773--MA0591.1.Bach1::Mafk	chr1	166360345	166360359	+	0.000	0.000	Merged-chr1-166360361-34
NR7637--MA0089.1.MAFG::NFE2L1	chr3	31056840	31056845	+	0.000	0.000	Merged-chr3-31056991-112
NR12847--MA0089.1.MAFG::NFE2L1	chr9	123923470	123923475	+	0.000	0.000	Merged-chr9-123923476-12
NR5639--MA0496.2.MAFK	chr17	86188061	86188079	-	0.000	0.000	Merged-chr17-86187981-35
NR1651--MA0496.2.MAFK	chr10	107858905	107858923	+	0.000	0.000	Merged-chr10-107858878-12
NR3907--MA0496.2.MAFK	chr14	16244007	16244025	+	0.000	0.000	Merged-chr14-16243907-1
NR7609--MA0495.2.MAFF	chr3	21917647	21917667	-	0.000	0.000	Merged-chr3-21917648-70
NR4135--MA0117.2.Mafb	chr14	74918642	74918653	+	0.000	0.000	Merged-chr14-74918775-39
NR4496--MA0495.2.MAFF	chr15	55838807	55838827	+	0.000	0.000	Merged-chr15-55838772-33
NR5954--MA0089.1.MAFG::NFE2L1	chr18	67255730	67255735	-	0.000	0.000	Merged-chr18-67255745-40
NR9582--MA0089.1.MAFG::NFE2L1	chr5	105541195	105541200	+	0.000	0.000	Merged-chr5-105541026-23
NR8960--MA0117.2.Mafb	chr4	144906688	144906699	-	0.000	0.000	Merged-chr4-144906777-28
NR6626--MA0496.2.MAFK	chr2	35447542	35447560	+	0.000	0.000	Merged-chr2-35447488-46
NR78--MA0591.1.Bach1::Mafk	chr1	37585878	37585892	-	0.000	0.000	Merged-chr1-37586082-40
NR3832--MA0501.1.MAF::NFE2	chr13	117196139	117196153	+	0.000	0.000	Merged-chr13-117196008-56
NR5004--MA0495.2.MAFF	chr16	52468520	52468540	+	0.000	0.000	Merged-chr16-52468577-24
NR10471--MA0089.1.MAFG::NFE2L1	chr6	124903770	124903775	-	0.000	0.000	Merged-chr6-124903872-48
NR728--MA0496.2.MAFK	chr1	163383764	163383782	+	0.000	0.000	Merged-chr1-163383772-21
NR9029--MA0089.1.MAFG::NFE2L1	chr4	148509460	148509465	+	0.000	0.000	Merged-chr4-148509676-49
NR8502--MA0495.2.MAFF	chr4	47314181	47314201	+	0.000	0.000	Merged-chr4-47314208-36
NR8620--MA0117.2.Mafb	chr4	89212361	89212372	+	0.000	0.000	Merged-chr4-89212481-15
NR3721--MA0501.1.MAF::NFE2	chr13	109238842	109238856	+	0.000	0.000	Merged-chr13-109238823-1
NR7087--MA0117.2.Mafb	chr2	122164513	122164524	+	0.000	0.000	Merged-chr2-122164298-58
NR2622--MA0501.1.MAF::NFE2	chr12	21437732	21437746	+	0.000	0.000	Merged-chr12-21437615-25
NR7108--MA0591.1.Bach1::Mafk	chr2	125791846	125791860	+	0.000	0.000	Merged-chr2-125791694-59
NR2211--MA0659.1.MAFG	chr11	79207637	79207657	+	0.000	0.000	Merged-chr11-79207824-18
NR12383--MA0501.1.MAF::NFE2	chr9	65541879	65541893	+	0.000	0.000	Merged-chr9-65541837-66
NR8871--MA0659.1.MAFG	chr4	133625795	133625815	+	0.000	0.000	Merged-chr4-133625907-62
NR4358--MA0089.1.MAFG::NFE2L1	chr15	6512369	6512374	+	0.000	0.000	Merged-chr15-6512431-6
NR1200--MA0591.1.Bach1::Mafk	chr10	20855283	20855297	-	0.000	0.000	Merged-chr10-20855169-17
NR4498--MA0117.2.Mafb	chr15	55838807	55838818	+	0.000	0.000	Merged-chr15-55838772-33
NR4776--MA0501.1.MAF::NFE2	chr15	100461863	100461877	-	0.000	0.000	Merged-chr15-100461811-2
NR270--MA0089.1.MAFG::NFE2L1	chr1	75486716	75486721	-	0.000	0.000	Merged-chr1-75486810-6
NR2460--MA0089.1.MAFG::NFE2L1	chr11	114184628	114184633	-	0.000	0.000	Merged-chr11-114184749-1
NR6619--MA0501.1.MAF::NFE2	chr2	34982237	34982251	+	0.000	0.000	Merged-chr2-34982434-20
NR10018--MA0089.1.MAFG::NFE2L1	chr6	31216930	31216935	+	0.000	0.000	Merged-chr6-31216711-63
NR5865--MA0089.1.MAFG::NFE2L1	chr18	49771085	49771090	+	0.000	0.000	Merged-chr18-49771034-59
NR11005--MA0591.1.Bach1::Mafk	chr7	58584547	58584561	-	0.000	0.000	Merged-chr7-58584520-36
NR12626--MA0117.2.Mafb	chr9	96705716	96705727	+	0.000	0.000	Merged-chr9-96705718-86
NR7446--MA0501.1.MAF::NFE2	chr2	168591526	168591540	-	0.000	0.000	Merged-chr2-168591388-1
NR6783--MA0496.2.MAFK	chr2	65134009	65134027	-	0.000	0.000	Merged-chr2-65133825-19
NR4542--MA0591.1.Bach1::Mafk	chr15	62145431	62145445	-	0.000	0.000	Merged-chr15-62145292-46
NR3566--MA0501.1.MAF::NFE2	chr13	90981323	90981337	+	0.000	0.000	Merged-chr13-90981461-11
NR2328--MA0591.1.Bach1::Mafk	chr11	96859897	96859911	+	0.000	0.000	Merged-chr11-96859766-18
NR8195--MA0117.2.Mafb	chr3	142545600	142545611	+	0.000	0.000	Merged-chr3-142545607-21
NR10587--MA0591.1.Bach1::Mafk	chr6	137535762	137535776	+	0.000	0.000	Merged-chr6-137535864-11
NR9114--MA0089.1.MAFG::NFE2L1	chr5	10866605	10866610	+	0.000	0.000	Merged-chr5-10866661-52
NR2341--MA0659.1.MAFG	chr11	97999439	97999459	-	0.000	0.000	Merged-chr11-97999442-46
NR8862--MA0117.2.Mafb	chr4	132883795	132883806	+	0.000	0.000	Merged-chr4-132883673-3
NR12859--MA0117.2.Mafb	chrX	12151874	12151885	+	0.000	0.000	Merged-chrX-12151801-24
NR1345--MA0117.2.Mafb	chr10	59570333	59570344	+	0.000	0.000	Merged-chr10-59570235-1
NR498--MA0089.1.MAFG::NFE2L1	chr1	131003551	131003556	-	0.000	0.000	Merged-chr1-131003466-39
NR10030--MA0591.1.Bach1::Mafk	chr6	34863105	34863119	+	0.000	0.000	Merged-chr6-34862986-94
NR5763--MA0089.1.MAFG::NFE2L1	chr18	23734842	23734847	-	0.000	0.000	Merged-chr18-23734973-16
NR7793--MA0495.2.MAFF	chr3	89727207	89727227	+	0.000	0.000	Merged-chr3-89727230-25
NR11930--MA0591.1.Bach1::Mafk	chr8	105255265	105255279	-	0.000	0.000	Merged-chr8-105255163-4
