#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR1343--MA0508.2.PRDM1	chr3	97076594	97076603	+	0.000	0.000	Merged-chr3-97076384-70
NR976--MA0508.2.PRDM1	chr17	88755676	88755685	+	0.000	0.000	Merged-chr17-88755707-11
NR1595--MA0508.2.PRDM1	chr5	76951353	76951362	+	0.000	0.000	Merged-chr5-76951369-96
NR1866--MA0508.2.PRDM1	chr7	47013488	47013497	+	0.000	0.000	Merged-chr7-47013375-34
NR27--MA0508.2.PRDM1	chr1	52388418	52388427	+	0.000	0.000	Merged-chr1-52388435-48
NR562--MA0508.2.PRDM1	chr13	21783381	21783390	-	0.000	0.000	Merged-chr13-21783235-60
NR1104--MA0508.2.PRDM1	chr19	53464788	53464797	-	0.000	0.000	Merged-chr19-53464901-55
NR780--MA0508.2.PRDM1	chr15	52944827	52944836	-	0.000	0.000	Merged-chr15-52944849-44
NR1322--MA0508.2.PRDM1	chr3	81761175	81761184	+	0.000	0.000	Merged-chr3-81761081-32
NR270--MA0508.2.PRDM1	chr10	84917552	84917561	-	0.000	0.000	Merged-chr10-84917565-76
NR96--MA0508.2.PRDM1	chr1	143192316	143192325	-	0.000	0.000	Merged-chr1-143192394-27
NR1587--MA0508.2.PRDM1	chr5	64959265	64959274	-	0.000	0.000	Merged-chr5-64959516-90
NR1173--MA0508.2.PRDM1	chr2	71787615	71787624	+	0.000	0.000	Merged-chr2-71787780-1
NR1715--MA0508.2.PRDM1	chr6	67266807	67266816	+	0.000	0.000	Merged-chr6-67267043-98
NR1030--MA0508.2.PRDM1	chr18	75341879	75341888	+	0.000	0.000	Merged-chr18-75341997-14
NR392--MA0508.2.PRDM1	chr11	80498186	80498195	-	0.000	0.000	Merged-chr11-80498094-2
NR1348--MA0508.2.PRDM1	chr3	103857576	103857585	+	0.000	0.000	Merged-chr3-103857591-40
NR262--MA0508.2.PRDM1	chr10	76802277	76802286	-	0.000	0.000	Merged-chr10-76802342-40
NR804--MA0508.2.PRDM1	chr15	86228297	86228306	-	0.000	0.000	Merged-chr15-86228439-16
NR1056--MA0508.2.PRDM1	chr19	9911610	9911619	+	0.000	0.000	Merged-chr19-9911533-24
NR1022--MA0508.2.PRDM1	chr18	67449278	67449287	-	0.000	0.000	Merged-chr18-67449102-80
NR655--MA0508.2.PRDM1	chr13	115042838	115042847	+	0.000	0.000	Merged-chr13-115042812-10
NR1274--MA0508.2.PRDM1	chr2	173431699	173431708	+	0.000	0.000	Merged-chr2-173431870-16
NR764--MA0508.2.PRDM1	chr15	28159183	28159192	-	0.000	0.000	Merged-chr15-28159214-52
NR2190--MA0508.2.PRDM1	chrX	100476535	100476544	-	0.000	0.000	Merged-chrX-100476611-55
NR525--MA0508.2.PRDM1	chr12	115848086	115848095	-	0.000	0.000	Merged-chr12-115847969-36
NR982--MA0508.2.PRDM1	chr18	4375432	4375441	-	0.000	0.000	Merged-chr18-4375655-46
NR111--MA0508.2.PRDM1	chr1	153085200	153085209	+	0.000	0.000	Merged-chr1-153085366-59
NR1001--MA0508.2.PRDM1	chr18	40308109	40308118	-	0.000	0.000	Merged-chr18-40308184-41
NR1667--MA0508.2.PRDM1	chr5	143518123	143518132	+	0.000	0.000	Merged-chr5-143518064-68
NR363--MA0508.2.PRDM1	chr11	53128858	53128867	+	0.000	0.000	Merged-chr11-53128879-36
NR220--MA0508.2.PRDM1	chr10	37249763	37249772	+	0.000	0.000	Merged-chr10-37249909-39
NR886--MA0508.2.PRDM1	chr16	87507938	87507947	+	0.000	0.000	Merged-chr16-87507775-34
NR1157--MA0508.2.PRDM1	chr2	52590975	52590984	+	0.000	0.000	Merged-chr2-52591094-36
NR581--MA0508.2.PRDM1	chr13	41471645	41471654	+	0.000	0.000	Merged-chr13-41471691-6
NR852--MA0508.2.PRDM1	chr16	32431126	32431135	-	0.000	0.000	Merged-chr16-32431022-65
NR180--MA0508.2.PRDM1	chr1	191599403	191599412	+	0.000	0.000	Merged-chr1-191599385-45
NR1136--MA0508.2.PRDM1	chr2	18989001	18989010	+	0.000	0.000	Merged-chr2-18989067-34
NR1659--MA0508.2.PRDM1	chr5	137760357	137760366	-	0.000	0.000	Merged-chr5-137760235-32
NR193--MA0508.2.PRDM1	chr10	4341557	4341566	-	0.000	0.000	Merged-chr10-4341594-18
NR735--MA0508.2.PRDM1	chr14	78749577	78749586	+	0.000	0.000	Merged-chr14-78749515-13
NR38--MA0508.2.PRDM1	chr1	69790666	69790675	+	0.000	0.000	Merged-chr1-69790561-27
NR573--MA0508.2.PRDM1	chr13	30933190	30933199	-	0.000	0.000	Merged-chr13-30933157-53
NR682--MA0508.2.PRDM1	chr14	21032266	21032275	+	0.000	0.000	Merged-chr14-21032326-46
NR1096--MA0508.2.PRDM1	chr19	41031243	41031252	+	0.000	0.000	Merged-chr19-41031181-46
NR1019--MA0508.2.PRDM1	chr18	65395858	65395867	-	0.000	0.000	Merged-chr18-65395765-31
NR857--MA0508.2.PRDM1	chr16	36598480	36598489	+	0.000	0.000	Merged-chr16-36598490-46
NR1128--MA0508.2.PRDM1	chr2	13271433	13271442	-	0.000	0.000	Merged-chr2-13271415-60
NR966--MA0508.2.PRDM1	chr17	83633001	83633010	+	0.000	0.000	Merged-chr17-83632909-17
NR17--MA0508.2.PRDM1	chr1	38987572	38987581	+	0.000	0.000	Merged-chr1-38987666-67
NR552--MA0508.2.PRDM1	chr13	12395238	12395247	-	0.000	0.000	Merged-chr13-12395311-75
NR185--MA0508.2.PRDM1	chr1	192730653	192730662	+	0.000	0.000	Merged-chr1-192730717-13
NR727--MA0508.2.PRDM1	chr14	73524812	73524821	+	0.000	0.000	Merged-chr14-73525022-50
NR2153--MA0508.2.PRDM1	chr9	116223603	116223612	+	0.000	0.000	Merged-chr9-116223599-38
NR836--MA0508.2.PRDM1	chr16	19983126	19983135	+	0.000	0.000	Merged-chr16-19983015-55
NR1931--MA0508.2.PRDM1	chr7	114082266	114082275	+	0.000	0.000	Merged-chr7-114082253-23
NR435--MA0508.2.PRDM1	chr11	116869751	116869760	-	0.000	0.000	Merged-chr11-116869693-21
NR2132--MA0508.2.PRDM1	chr9	96652902	96652911	+	0.000	0.000	Merged-chr9-96652845-6
NR653--MA0508.2.PRDM1	chr13	113104962	113104971	+	0.000	0.000	Merged-chr13-113104978-22
NR286--MA0508.2.PRDM1	chr10	95887923	95887932	-	0.000	0.000	Merged-chr10-95887976-8
NR828--MA0508.2.PRDM1	chr16	10741345	10741354	+	0.000	0.000	Merged-chr16-10741370-34
NR1891--MA0508.2.PRDM1	chr7	78724766	78724775	+	0.000	0.000	Merged-chr7-78724772-25
NR523--MA0508.2.PRDM1	chr12	115812900	115812909	-	0.000	0.000	Merged-chr12-115813006-23
NR1208--MA0508.2.PRDM1	chr2	116942622	116942631	+	0.000	0.000	Merged-chr2-116942591-14
NR2015--MA0508.2.PRDM1	chr8	94354661	94354670	+	0.000	0.000	Merged-chr8-94354585-34
NR361--MA0508.2.PRDM1	chr11	49204074	49204083	-	0.000	0.000	Merged-chr11-49204089-8
NR1870--MA0508.2.PRDM1	chr7	49601649	49601658	-	0.000	0.000	Merged-chr7-49601650-79
NR916--MA0508.2.PRDM1	chr17	22817919	22817928	+	0.000	0.000	Merged-chr17-22817720-41
NR1059--MA0508.2.PRDM1	chr19	10747842	10747851	+	0.000	0.000	Merged-chr19-10747819-69
NR1902--MA0508.2.PRDM1	chr7	90074607	90074616	-	0.000	0.000	Merged-chr7-90074700-23
NR2071--MA0508.2.PRDM1	chr9	37552767	37552776	+	0.000	0.000	Merged-chr9-37552724-59
NR2137--MA0508.2.PRDM1	chr9	106421741	106421750	-	0.000	0.000	Merged-chr9-106421889-27
NR1883--MA0508.2.PRDM1	chr7	72275540	72275549	-	0.000	0.000	Merged-chr7-72275636-59
NR929--MA0508.2.PRDM1	chr17	34103002	34103011	+	0.000	0.000	Merged-chr17-34102981-20
NR767--MA0508.2.PRDM1	chr15	31547537	31547546	+	0.000	0.000	Merged-chr15-31547572-6
NR419--MA0508.2.PRDM1	chr11	103346320	103346329	+	0.000	0.000	Merged-chr11-103346367-17
NR191--MA0508.2.PRDM1	chr1	195092158	195092167	-	0.000	0.000	Merged-chr1-195092271-59
NR257--MA0508.2.PRDM1	chr10	75424716	75424725	+	0.000	0.000	Merged-chr10-75424715-43
NR1732--MA0508.2.PRDM1	chr6	87590836	87590845	+	0.000	0.000	Merged-chr6-87590737-28
NR759--MA0508.2.PRDM1	chr15	8443642	8443651	-	0.000	0.000	Merged-chr15-8443642-4
NR1950--MA0508.2.PRDM1	chr7	128461630	128461639	-	0.000	0.000	Merged-chr7-128461528-79
NR868--MA0508.2.PRDM1	chr16	50315668	50315677	+	0.000	0.000	Merged-chr16-50315651-21
NR2042--MA0508.2.PRDM1	chr8	126979200	126979209	+	0.000	0.000	Merged-chr8-126979147-35
NR249--MA0508.2.PRDM1	chr10	67727608	67727617	+	0.000	0.000	Merged-chr10-67727735-22
NR106--MA0508.2.PRDM1	chr1	151011218	151011227	+	0.000	0.000	Merged-chr1-151011231-27
NR1692--MA0508.2.PRDM1	chr6	33249105	33249114	+	0.000	0.000	Merged-chr6-33249191-56
NR576--MA0508.2.PRDM1	chr13	34163153	34163162	+	0.000	0.000	Merged-chr13-34163217-77
NR2177--MA0508.2.PRDM1	chrX	57196547	57196556	-	0.000	0.000	Merged-chrX-57196423-53
NR589--MA0508.2.PRDM1	chr13	54209589	54209598	-	0.000	0.000	Merged-chr13-54209586-83
NR1846--MA0508.2.PRDM1	chr7	17135547	17135556	+	0.000	0.000	Merged-chr7-17135418-14
NR1432--MA0508.2.PRDM1	chr4	15300070	15300079	+	0.000	0.000	Merged-chr4-15300125-32
NR1270--MA0508.2.PRDM1	chr2	170024985	170024994	+	0.000	0.000	Merged-chr2-170025063-12
NR1541--MA0508.2.PRDM1	chr4	152341086	152341095	-	0.000	0.000	Merged-chr4-152341132-7
NR2047--MA0508.2.PRDM1	chr8	128549957	128549966	-	0.000	0.000	Merged-chr8-128549994-56
NR1968--MA0508.2.PRDM1	chr7	143822986	143822995	+	0.000	0.000	Merged-chr7-143822961-65
NR1990--MA0508.2.PRDM1	chr8	53630825	53630834	-	0.000	0.000	Merged-chr8-53630787-29
NR1751--MA0508.2.PRDM1	chr6	108165118	108165127	-	0.000	0.000	Merged-chr6-108164965-54
NR1546--MA0508.2.PRDM1	chr4	155066058	155066067	+	0.000	0.000	Merged-chr4-155066224-12
NR1403--MA0508.2.PRDM1	chr3	145942201	145942210	+	0.000	0.000	Merged-chr3-145942154-31
NR1655--MA0508.2.PRDM1	chr5	134232294	134232303	-	0.000	0.000	Merged-chr5-134232433-54
NR1621--MA0508.2.PRDM1	chr5	105110387	105110396	-	0.000	0.000	Merged-chr5-105110402-76
NR1668--MA0508.2.PRDM1	chr5	143548531	143548540	+	0.000	0.000	Merged-chr5-143548603-67
NR1254--MA0508.2.PRDM1	chr2	153632750	153632759	+	0.000	0.000	Merged-chr2-153632630-73
NR1092--MA0508.2.PRDM1	chr19	34607771	34607780	+	0.000	0.000	Merged-chr19-34607589-82
NR138--MA0508.2.PRDM1	chr1	171281209	171281218	+	0.000	0.000	Merged-chr1-171281333-62
NR1647--MA0508.2.PRDM1	chr5	120116547	120116556	-	0.000	0.000	Merged-chr5-120116585-62
NR1918--MA0508.2.PRDM1	chr7	101341586	101341595	+	0.000	0.000	Merged-chr7-101341598-26
NR832--MA0508.2.PRDM1	chr16	11688496	11688505	+	0.000	0.000	Merged-chr16-11688393-56
NR1974--MA0508.2.PRDM1	chr8	13551173	13551182	-	0.000	0.000	Merged-chr8-13551195-28
NR1103--MA0508.2.PRDM1	chr19	53273668	53273677	-	0.000	0.000	Merged-chr19-53273545-52
NR1769--MA0508.2.PRDM1	chr6	124911743	124911752	-	0.000	0.000	Merged-chr6-124911783-36
NR1626--MA0508.2.PRDM1	chr5	107554483	107554492	+	0.000	0.000	Merged-chr5-107554534-24
NR1368--MA0508.2.PRDM1	chr3	123385939	123385948	+	0.000	0.000	Merged-chr3-123385920-64
NR1225--MA0508.2.PRDM1	chr2	129174625	129174634	+	0.000	0.000	Merged-chr2-129174665-20
NR792--MA0508.2.PRDM1	chr15	72859553	72859562	+	0.000	0.000	Merged-chr15-72859470-25
NR2188--MA0508.2.PRDM1	chrX	96130406	96130415	-	0.000	0.000	Merged-chrX-96130578-90
NR1063--MA0508.2.PRDM1	chr19	11513696	11513705	-	0.000	0.000	Merged-chr19-11513556-25
NR1443--MA0508.2.PRDM1	chr4	43936373	43936382	+	0.000	0.000	Merged-chr4-43936425-4
NR1714--MA0508.2.PRDM1	chr6	66962693	66962702	-	0.000	0.000	Merged-chr6-66962662-45
NR410--MA0508.2.PRDM1	chr11	98294568	98294577	-	0.000	0.000	Merged-chr11-98294653-16
NR933--MA0508.2.PRDM1	chr17	35517057	35517066	-	0.000	0.000	Merged-chr17-35516869-65
NR1347--MA0508.2.PRDM1	chr3	103206632	103206641	-	0.000	0.000	Merged-chr3-103206656-43
NR1390--MA0508.2.PRDM1	chr3	139049065	139049074	+	0.000	0.000	Merged-chr3-139049154-18
NR1456--MA0508.2.PRDM1	chr4	59278647	59278656	-	0.000	0.000	Merged-chr4-59278599-46
NR880--MA0508.2.PRDM1	chr16	75617833	75617842	-	0.000	0.000	Merged-chr16-75617911-31
NR532--MA0508.2.PRDM1	chr12	117995044	117995053	-	0.000	0.000	Merged-chr12-117995119-48
NR1435--MA0508.2.PRDM1	chr4	19569155	19569164	+	0.000	0.000	Merged-chr4-19569261-1
NR1958--MA0508.2.PRDM1	chr7	135632193	135632202	+	0.000	0.000	Merged-chr7-135632078-25
NR1068--MA0508.2.PRDM1	chr19	16781168	16781177	+	0.000	0.000	Merged-chr19-16781022-84
NR1401--MA0508.2.PRDM1	chr3	144704127	144704136	-	0.000	0.000	Merged-chr3-144704080-31
NR1305--MA0508.2.PRDM1	chr3	51553251	51553260	-	0.000	0.000	Merged-chr3-51553157-56
NR872--MA0508.2.PRDM1	chr16	55526568	55526577	-	0.000	0.000	Merged-chr16-55526472-43
NR1143--MA0508.2.PRDM1	chr2	27540337	27540346	-	0.000	0.000	Merged-chr2-27540208-76
NR1395--MA0508.2.PRDM1	chr3	143599359	143599368	-	0.000	0.000	Merged-chr3-143599322-23
NR1523--MA0508.2.PRDM1	chr4	141618939	141618948	+	0.000	0.000	Merged-chr4-141618821-28
NR1775--MA0508.2.PRDM1	chr6	127246038	127246047	+	0.000	0.000	Merged-chr6-127246096-47
NR1122--MA0508.2.PRDM1	chr2	4883404	4883413	-	0.000	0.000	Merged-chr2-4883400-34
NR1169--MA0508.2.PRDM1	chr2	68364638	68364647	+	0.000	0.000	Merged-chr2-68364639-40
NR1026--MA0508.2.PRDM1	chr18	70522417	70522426	+	0.000	0.000	Merged-chr18-70522488-53
NR864--MA0508.2.PRDM1	chr16	45024178	45024187	-	0.000	0.000	Merged-chr16-45024089-23
NR1278--MA0508.2.PRDM1	chr2	180589440	180589449	+	0.000	0.000	Merged-chr2-180589507-64
NR973--MA0508.2.PRDM1	chr17	88042613	88042622	+	0.000	0.000	Merged-chr17-88042729-54
NR354--MA0508.2.PRDM1	chr11	32582908	32582917	+	0.000	0.000	Merged-chr11-32583029-49
NR734--MA0508.2.PRDM1	chr14	78438308	78438317	+	0.000	0.000	Merged-chr14-78438304-11
NR1005--MA0508.2.PRDM1	chr18	50053409	50053418	+	0.000	0.000	Merged-chr18-50053279-83
NR2160--MA0508.2.PRDM1	chr9	118453825	118453834	-	0.000	0.000	Merged-chr9-118453688-29
NR1528--MA0508.2.PRDM1	chr4	145586306	145586315	+	0.000	0.000	Merged-chr4-145586150-24
NR2030--MA0508.2.PRDM1	chr8	115232602	115232611	+	0.000	0.000	Merged-chr8-115232618-16
NR280--MA0508.2.PRDM1	chr10	93938811	93938820	+	0.000	0.000	Merged-chr10-93938916-38
NR617--MA0508.2.PRDM1	chr13	91636012	91636021	-	0.000	0.000	Merged-chr13-91636122-22
NR1236--MA0508.2.PRDM1	chr2	145233990	145233999	+	0.000	0.000	Merged-chr2-145234039-59
NR203--MA0508.2.PRDM1	chr10	14042986	14042995	+	0.000	0.000	Merged-chr10-14042980-37
NR1488--MA0508.2.PRDM1	chr4	114909015	114909024	+	0.000	0.000	Merged-chr4-114908814-141
NR1183--MA0508.2.PRDM1	chr2	84678380	84678389	-	0.000	0.000	Merged-chr2-84678253-56
NR421--MA0508.2.PRDM1	chr11	105364512	105364521	+	0.000	0.000	Merged-chr11-105364636-18
NR1629--MA0508.2.PRDM1	chr5	107943139	107943148	+	0.000	0.000	Merged-chr5-107943154-10
NR801--MA0508.2.PRDM1	chr15	80697716	80697725	+	0.000	0.000	Merged-chr15-80697819-49
NR1053--MA0508.2.PRDM1	chr19	5088494	5088503	-	0.000	0.000	Merged-chr19-5088339-71
NR923--MA0508.2.PRDM1	chr17	28407662	28407671	+	0.000	0.000	Merged-chr17-28407635-51
