#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR4722--MA0766.1.GATA5	chr4	98282497	98282504	-	0.000	0.000	Merged-chr4-98282479-46
NR3940--MA0035.3.Gata1	chr2	136008748	136008758	+	0.000	0.000	Merged-chr2-136008735-1
NR2208--MA0036.3.GATA2	chr14	65351499	65351509	+	0.000	0.000	Merged-chr14-65351604-1
NR1249--MA0766.1.GATA5	chr11	104609421	104609428	+	0.000	0.000	Merged-chr11-104609685-47
NR4074--MA0036.3.GATA2	chr2	167840536	167840546	+	0.000	0.000	Merged-chr2-167840232-36
NR241--MA0035.3.Gata1	chr1	97576113	97576123	+	0.000	0.000	Merged-chr1-97576212-8
NR2946--MA0766.1.GATA5	chr17	31224056	31224063	+	0.000	0.000	Merged-chr17-31224074-61
NR6947--MA1104.1.GATA6	chr9	124281594	124281606	-	0.000	0.000	Merged-chr9-124281557-1
NR4330--MA1104.1.GATA6	chr3	104643970	104643982	-	0.000	0.000	Merged-chr3-104644064-46
NR216--MA0766.1.GATA5	chr1	91252306	91252313	-	0.000	0.000	Merged-chr1-91252194-19
NR1811--MA0036.3.GATA2	chr13	60468356	60468366	+	0.000	0.000	Merged-chr13-60468287-16
NR5107--MA1104.1.GATA6	chr5	89036397	89036409	+	0.000	0.000	Merged-chr5-89036442-30
NR3248--MA0482.1.Gata4	chr18	61479926	61479936	+	0.000	0.000	Merged-chr18-61480035-15
NR4193--MA0766.1.GATA5	chr3	37975246	37975253	-	0.000	0.000	Merged-chr3-37975346-34
NR6211--MA0482.1.Gata4	chr7	127288039	127288049	-	0.000	0.000	Merged-chr7-127288112-51
NR3955--MA0140.2.GATA1::TAL1	chr2	140427457	140427474	-	0.000	0.000	Merged-chr2-140427451-17
NR4987--MA0766.1.GATA5	chr5	24505729	24505736	-	0.000	0.000	Merged-chr5-24505685-17
NR2165--MA0766.1.GATA5	chr14	56284605	56284612	-	0.000	0.000	Merged-chr14-56284559-51
NR3470--MA0037.3.GATA3	chr19	38224181	38224188	+	0.000	0.000	Merged-chr19-38224078-67
NR4614--MA1104.1.GATA6	chr4	40773025	40773037	-	0.000	0.000	Merged-chr4-40773188-44
NR3195--MA0482.1.Gata4	chr18	50028360	50028370	-	0.000	0.000	Merged-chr18-50028414-49
NR6843--MA0482.1.Gata4	chr9	100522270	100522280	-	0.000	0.000	Merged-chr9-100522209-27
NR1420--MA0766.1.GATA5	chr12	76533015	76533022	-	0.000	0.000	Merged-chr12-76533132-4
NR5229--MA1104.1.GATA6	chr5	105699707	105699719	+	0.000	0.000	Merged-chr5-105699890-8
NR6655--MA1104.1.GATA6	chr9	32613149	32613161	-	0.000	0.000	Merged-chr9-32613071-26
NR2439--MA0036.3.GATA2	chr15	41429627	41429637	-	0.000	0.000	Merged-chr15-41429607-8
NR2424--MA1104.1.GATA6	chr15	36440112	36440124	+	0.000	0.000	Merged-chr15-36440213-15
NR1346--MA0037.3.GATA3	chr12	28589598	28589605	-	0.000	0.000	Merged-chr12-28589573-34
NR6214--MA0035.3.Gata1	chr7	127288040	127288050	-	0.000	0.000	Merged-chr7-127288112-51
NR2482--MA0036.3.GATA2	chr15	66508081	66508091	+	0.000	0.000	Merged-chr15-66508027-52
NR5016--MA0482.1.Gata4	chr5	33304162	33304172	-	0.000	0.000	Merged-chr5-33304235-9
NR2134--MA0036.3.GATA2	chr14	51089607	51089617	-	0.000	0.000	Merged-chr14-51089414-103
NR5272--MA0037.3.GATA3	chr5	122232124	122232131	+	0.000	0.000	Merged-chr5-122232202-28
NR4334--MA0140.2.GATA1::TAL1	chr3	105815405	105815422	-	0.000	0.000	Merged-chr3-105815563-53
NR1890--MA0766.1.GATA5	chr13	91484442	91484449	+	0.000	0.000	Merged-chr13-91484361-55
NR3198--MA0035.3.Gata1	chr18	50028361	50028371	-	0.000	0.000	Merged-chr18-50028414-49
NR132--MA0036.3.GATA2	chr1	69513759	69513769	-	0.000	0.000	Merged-chr1-69513618-39
NR3515--MA0037.3.GATA3	chr19	59926171	59926178	-	0.000	0.000	Merged-chr19-59926305-20
NR2913--MA1104.1.GATA6	chr17	13654817	13654829	+	0.000	0.000	Merged-chr17-13654932-70
NR984--MA0482.1.Gata4	chr11	30166377	30166387	-	0.000	0.000	Merged-chr11-30166468-16
NR1912--MA0036.3.GATA2	chr13	94966147	94966157	+	0.000	0.000	Merged-chr13-94966148-17
NR779--MA0482.1.Gata4	chr10	89326992	89327002	-	0.000	0.000	Merged-chr10-89327162-49
NR525--MA0140.2.GATA1::TAL1	chr1	181842529	181842546	+	0.000	0.000	Merged-chr1-181842712-4
NR6634--MA1104.1.GATA6	chr9	24413891	24413903	+	0.000	0.000	Merged-chr9-24413892-11
NR273--MA1104.1.GATA6	chr1	118477150	118477162	-	0.000	0.000	Merged-chr1-118477016-17
NR6720--MA0140.2.GATA1::TAL1	chr9	62972571	62972588	-	0.000	0.000	Merged-chr9-62972468-50
NR4242--MA0035.3.Gata1	chr3	68543031	68543041	+	0.000	0.000	Merged-chr3-68543251-15
NR2655--MA1104.1.GATA6	chr16	17015987	17015999	+	0.000	0.000	Merged-chr16-17015762-57
NR5019--MA0035.3.Gata1	chr5	33304163	33304173	-	0.000	0.000	Merged-chr5-33304235-9
NR4217--MA0766.1.GATA5	chr3	60565494	60565501	+	0.000	0.000	Merged-chr3-60565389-13
NR3068--MA0035.3.Gata1	chr17	71491183	71491193	+	0.000	0.000	Merged-chr17-71491103-50
NR4494--MA0035.3.Gata1	chr3	143337484	143337494	+	0.000	0.000	Merged-chr3-143337505-1
NR397--MA0036.3.GATA2	chr1	160195097	160195107	+	0.000	0.000	Merged-chr1-160195203-53
NR4664--MA0036.3.GATA2	chr4	59275688	59275698	-	0.000	0.000	Merged-chr4-59275689-14
NR5251--MA0037.3.GATA3	chr5	107978463	107978470	+	0.000	0.000	Merged-chr5-107978348-39
NR2779--MA0036.3.GATA2	chr16	57319938	57319948	-	0.000	0.000	Merged-chr16-57319907-20
NR5426--MA1104.1.GATA6	chr6	29279101	29279113	+	0.000	0.000	Merged-chr6-29279043-26
NR5752--MA0766.1.GATA5	chr6	129284596	129284603	-	0.000	0.000	Merged-chr6-129284661-64
NR2442--MA0482.1.Gata4	chr15	41818826	41818836	+	0.000	0.000	Merged-chr15-41818887-24
NR6504--MA1104.1.GATA6	chr8	115126753	115126765	-	0.000	0.000	Merged-chr8-115126776-11
NR6206--MA0035.3.Gata1	chr7	126822098	126822108	-	0.000	0.000	Merged-chr7-126822065-16
NR2965--MA0482.1.Gata4	chr17	36020625	36020635	-	0.000	0.000	Merged-chr17-36020745-74
NR5678--MA0037.3.GATA3	chr6	116673515	116673522	-	0.000	0.000	Merged-chr6-116673479-1
NR5949--MA0037.3.GATA3	chr7	45510504	45510511	-	0.000	0.000	Merged-chr7-45510367-63
NR5873--MA0140.2.GATA1::TAL1	chr7	16405771	16405788	-	0.000	0.000	Merged-chr7-16405720-76
NR5790--MA0035.3.Gata1	chr6	134189984	134189994	-	0.000	0.000	Merged-chr6-134189868-22
NR2378--MA0036.3.GATA2	chr15	5108583	5108593	+	0.000	0.000	Merged-chr15-5108448-64
NR3507--MA0037.3.GATA3	chr19	57079576	57079583	+	0.000	0.000	Merged-chr19-57079445-11
NR2041--MA0482.1.Gata4	chr14	8255426	8255436	+	0.000	0.000	Merged-chr14-8255378-13
NR5439--MA0037.3.GATA3	chr6	31218642	31218649	+	0.000	0.000	Merged-chr6-31218507-77
NR1981--MA0036.3.GATA2	chr13	109262084	109262094	-	0.000	0.000	Merged-chr13-109262028-7
NR4448--MA0766.1.GATA5	chr3	136531893	136531900	-	0.000	0.000	Merged-chr3-136531691-41
NR2102--MA0766.1.GATA5	chr14	40927279	40927286	+	0.000	0.000	Merged-chr14-40927194-29
NR129--MA0035.3.Gata1	chr1	69331723	69331733	-	0.000	0.000	Merged-chr1-69331775-34
NR914--MA0140.2.GATA1::TAL1	chr10	129700993	129701010	-	0.000	0.000	Merged-chr10-129701077-6
NR2445--MA0035.3.Gata1	chr15	41818825	41818835	+	0.000	0.000	Merged-chr15-41818887-24
NR5551--MA0035.3.Gata1	chr6	83146200	83146210	-	0.000	0.000	Merged-chr6-83146136-12
NR6033--MA0482.1.Gata4	chr7	90349362	90349372	-	0.000	0.000	Merged-chr7-90349289-16
NR2596--MA0036.3.GATA2	chr15	100755064	100755074	-	0.000	0.000	Merged-chr15-100755115-72
NR1752--MA0766.1.GATA5	chr13	49188131	49188138	+	0.000	0.000	Merged-chr13-49188113-1
NR2600--MA0037.3.GATA3	chr15	100984054	100984061	+	0.000	0.000	Merged-chr15-100983947-40
NR2963--MA0140.2.GATA1::TAL1	chr17	35993948	35993965	-	0.000	0.000	Merged-chr17-35993975-42
NR2054--MA0482.1.Gata4	chr14	16172523	16172533	-	0.000	0.000	Merged-chr14-16172497-2
NR6050--MA1104.1.GATA6	chr7	100449170	100449182	-	0.000	0.000	Merged-chr7-100449076-60
NR4072--MA0035.3.Gata1	chr2	166701814	166701824	+	0.000	0.000	Merged-chr2-166701886-96
NR2848--MA0482.1.Gata4	chr16	91685629	91685639	+	0.000	0.000	Merged-chr16-91685700-49
NR6844--MA1104.1.GATA6	chr9	100522270	100522282	+	0.000	0.000	Merged-chr9-100522209-27
NR1264--MA0037.3.GATA3	chr11	108911013	108911020	-	0.000	0.000	Merged-chr11-108910906-74
NR2044--MA0035.3.Gata1	chr14	8255425	8255435	+	0.000	0.000	Merged-chr14-8255378-13
NR2212--MA0140.2.GATA1::TAL1	chr14	66805727	66805744	-	0.000	0.000	Merged-chr14-66805736-29
NR4181--MA0035.3.Gata1	chr3	21996048	21996058	-	0.000	0.000	Merged-chr3-21996009-51
NR5944--MA0035.3.Gata1	chr7	43894805	43894815	+	0.000	0.000	Merged-chr7-43894981-37
NR6938--MA0140.2.GATA1::TAL1	chr9	121857607	121857624	+	0.000	0.000	Merged-chr9-121857638-93
NR6926--MA0035.3.Gata1	chr9	120576585	120576595	-	0.000	0.000	Merged-chr9-120576585-14
NR1351--MA0766.1.GATA5	chr12	31997094	31997101	+	0.000	0.000	Merged-chr12-31997107-37
NR2989--MA0036.3.GATA2	chr17	47521585	47521595	-	0.000	0.000	Merged-chr17-47521683-42
NR1694--MA0035.3.Gata1	chr13	30548965	30548975	+	0.000	0.000	Merged-chr13-30549048-17
NR611--MA0037.3.GATA3	chr10	21268932	21268939	+	0.000	0.000	Merged-chr10-21269012-32
NR5791--MA0140.2.GATA1::TAL1	chr6	134189975	134189992	-	0.000	0.000	Merged-chr6-134189868-22
NR2947--MA0035.3.Gata1	chr17	31224054	31224064	-	0.000	0.000	Merged-chr17-31224074-61
NR4536--MA0766.1.GATA5	chr3	152928850	152928857	-	0.000	0.000	Merged-chr3-152928852-31
NR2575--MA0036.3.GATA2	chr15	97247891	97247901	-	0.000	0.000	Merged-chr15-97247725-117
NR4240--MA1104.1.GATA6	chr3	68543030	68543042	-	0.000	0.000	Merged-chr3-68543251-15
NR5017--MA1104.1.GATA6	chr5	33304162	33304174	+	0.000	0.000	Merged-chr5-33304235-9
NR2427--MA0140.2.GATA1::TAL1	chr15	36440104	36440121	-	0.000	0.000	Merged-chr15-36440213-15
NR2749--MA0140.2.GATA1::TAL1	chr16	48745689	48745706	+	0.000	0.000	Merged-chr16-48745701-29
NR5614--MA0766.1.GATA5	chr6	97523196	97523203	+	0.000	0.000	Merged-chr6-97523334-26
NR649--MA0766.1.GATA5	chr10	28674113	28674120	+	0.000	0.000	Merged-chr10-28674060-27
NR4988--MA0035.3.Gata1	chr5	24505728	24505738	+	0.000	0.000	Merged-chr5-24505685-17
NR5442--MA0036.3.GATA2	chr6	31218640	31218650	-	0.000	0.000	Merged-chr6-31218507-77
NR1038--MA0037.3.GATA3	chr11	58948841	58948848	+	0.000	0.000	Merged-chr11-58948790-70
NR6040--MA0140.2.GATA1::TAL1	chr7	92903842	92903859	-	0.000	0.000	Merged-chr7-92903803-41
NR2859--MA0036.3.GATA2	chr16	94374311	94374321	+	0.000	0.000	Merged-chr16-94374445-4
NR5997--MA0037.3.GATA3	chr7	78583904	78583911	+	0.000	0.000	Merged-chr7-78583930-15
NR6317--MA0140.2.GATA1::TAL1	chr8	25017191	25017208	-	0.000	0.000	Merged-chr8-25017163-89
NR985--MA1104.1.GATA6	chr11	30166377	30166389	+	0.000	0.000	Merged-chr11-30166468-16
NR1421--MA0035.3.Gata1	chr12	76533014	76533024	+	0.000	0.000	Merged-chr12-76533132-4
NR1004--MA0037.3.GATA3	chr11	44529320	44529327	-	0.000	0.000	Merged-chr11-44529424-39
NR6657--MA0482.1.Gata4	chr9	32706422	32706432	+	0.000	0.000	Merged-chr9-32706237-53
NR4311--MA0482.1.Gata4	chr3	97681658	97681668	+	0.000	0.000	Merged-chr3-97681414-143
NR3141--MA0037.3.GATA3	chr18	6484970	6484977	-	0.000	0.000	Merged-chr18-6484878-33
NR3207--MA0037.3.GATA3	chr18	55107111	55107118	-	0.000	0.000	Merged-chr18-55107186-34
NR3043--MA0140.2.GATA1::TAL1	chr17	57031707	57031724	-	0.000	0.000	Merged-chr17-57031784-94
NR1747--MA0036.3.GATA2	chr13	48572470	48572480	-	0.000	0.000	Merged-chr13-48572336-21
NR6495--MA0482.1.Gata4	chr8	110859815	110859825	+	0.000	0.000	Merged-chr8-110860019-49
NR1824--MA0482.1.Gata4	chr13	62880362	62880372	-	0.000	0.000	Merged-chr13-62880327-44
NR2264--MA0482.1.Gata4	chr14	79481997	79482007	+	0.000	0.000	Merged-chr14-79481875-1
NR2443--MA1104.1.GATA6	chr15	41818824	41818836	-	0.000	0.000	Merged-chr15-41818887-24
NR6418--MA0482.1.Gata4	chr8	84357743	84357753	+	0.000	0.000	Merged-chr8-84357932-29
NR1891--MA0035.3.Gata1	chr13	91484440	91484450	-	0.000	0.000	Merged-chr13-91484361-55
NR2049--MA0035.3.Gata1	chr14	14353430	14353440	-	0.000	0.000	Merged-chr14-14353361-58
NR3860--MA0766.1.GATA5	chr2	118638376	118638383	-	0.000	0.000	Merged-chr2-118638272-10
NR4070--MA1104.1.GATA6	chr2	166701739	166701751	-	0.000	0.000	Merged-chr2-166701886-96
NR2456--MA1104.1.GATA6	chr15	53724264	53724276	-	0.000	0.000	Merged-chr15-53724398-47
NR4495--MA0140.2.GATA1::TAL1	chr3	143337486	143337503	+	0.000	0.000	Merged-chr3-143337505-1
NR5910--MA0036.3.GATA2	chr7	28867692	28867702	+	0.000	0.000	Merged-chr7-28867749-38
NR2042--MA1104.1.GATA6	chr14	8255424	8255436	-	0.000	0.000	Merged-chr14-8255378-13
NR6888--MA0482.1.Gata4	chr9	110685719	110685729	+	0.000	0.000	Merged-chr9-110685799-1
NR5696--MA0766.1.GATA5	chr6	120799149	120799156	+	0.000	0.000	Merged-chr6-120799097-7
NR4452--MA0140.2.GATA1::TAL1	chr3	136697948	136697965	+	0.000	0.000	Merged-chr3-136697993-45
NR6012--MA0766.1.GATA5	chr7	80672386	80672393	-	0.000	0.000	Merged-chr7-80672574-36
NR6924--MA1104.1.GATA6	chr9	120576584	120576596	+	0.000	0.000	Merged-chr9-120576585-14
NR1041--MA0036.3.GATA2	chr11	58948839	58948849	-	0.000	0.000	Merged-chr11-58948790-70
NR4721--MA0037.3.GATA3	chr4	98282497	98282504	-	0.000	0.000	Merged-chr4-98282479-46
NR6034--MA1104.1.GATA6	chr7	90349362	90349374	+	0.000	0.000	Merged-chr7-90349289-16
NR5753--MA0035.3.Gata1	chr6	129284595	129284605	+	0.000	0.000	Merged-chr6-129284661-64
NR215--MA1104.1.GATA6	chr1	91252304	91252316	-	0.000	0.000	Merged-chr1-91252194-19
NR2422--MA0037.3.GATA3	chr15	36440115	36440122	+	0.000	0.000	Merged-chr15-36440213-15
NR2055--MA1104.1.GATA6	chr14	16172523	16172535	+	0.000	0.000	Merged-chr14-16172497-2
NR4749--MA0036.3.GATA2	chr4	106529758	106529768	-	0.000	0.000	Merged-chr4-106529868-63
NR2849--MA1104.1.GATA6	chr16	91685627	91685639	-	0.000	0.000	Merged-chr16-91685700-49
NR1750--MA0482.1.Gata4	chr13	49188128	49188138	-	0.000	0.000	Merged-chr13-49188113-1
NR2527--MA0482.1.Gata4	chr15	82914619	82914629	-	0.000	0.000	Merged-chr15-82914694-36
NR3210--MA0036.3.GATA2	chr18	55107110	55107120	+	0.000	0.000	Merged-chr18-55107186-34
NR5445--MA0037.3.GATA3	chr6	34156300	34156307	-	0.000	0.000	Merged-chr6-34156229-28
NR2911--MA0037.3.GATA3	chr17	13654820	13654827	+	0.000	0.000	Merged-chr17-13654932-70
NR1737--MA0037.3.GATA3	chr13	42049139	42049146	+	0.000	0.000	Merged-chr13-42049130-34
NR5078--MA0037.3.GATA3	chr5	65535551	65535558	-	0.000	0.000	Merged-chr5-65535639-23
NR4449--MA0035.3.Gata1	chr3	136531892	136531902	+	0.000	0.000	Merged-chr3-136531691-41
NR1957--MA0036.3.GATA2	chr13	108045780	108045790	+	0.000	0.000	Merged-chr13-108045887-18
NR158--MA0482.1.Gata4	chr1	75487549	75487559	+	0.000	0.000	Merged-chr1-75487610-71
NR4517--MA0140.2.GATA1::TAL1	chr3	148491490	148491507	-	0.000	0.000	Merged-chr3-148491583-74
NR6632--MA0037.3.GATA3	chr9	24413894	24413901	+	0.000	0.000	Merged-chr9-24413892-11
NR4205--MA0036.3.GATA2	chr3	52840428	52840438	+	0.000	0.000	Merged-chr3-52840378-53
NR1230--MA0035.3.Gata1	chr11	100545860	100545870	+	0.000	0.000	Merged-chr11-100545700-39
NR4287--MA0035.3.Gata1	chr3	89187848	89187858	-	0.000	0.000	Merged-chr3-89188181-94
NR4196--MA0766.1.GATA5	chr3	51744642	51744649	-	0.000	0.000	Merged-chr3-51744632-10
NR1753--MA0035.3.Gata1	chr13	49188129	49188139	-	0.000	0.000	Merged-chr13-49188113-1
NR4329--MA0482.1.Gata4	chr3	104643972	104643982	+	0.000	0.000	Merged-chr3-104644064-46
NR3998--MA0036.3.GATA2	chr2	150667355	150667365	-	0.000	0.000	Merged-chr2-150667676-130
NR3069--MA0140.2.GATA1::TAL1	chr17	71491185	71491202	+	0.000	0.000	Merged-chr17-71491103-50
NR4709--MA0482.1.Gata4	chr4	95068326	95068336	-	0.000	0.000	Merged-chr4-95068269-28
NR3451--MA0766.1.GATA5	chr19	32186977	32186984	+	0.000	0.000	Merged-chr19-32186788-54
NR5925--MA0766.1.GATA5	chr7	30280502	30280509	+	0.000	0.000	Merged-chr7-30280528-94
NR1100--MA0035.3.Gata1	chr11	75169168	75169178	+	0.000	0.000	Merged-chr11-75169080-24
NR5230--MA0036.3.GATA2	chr5	105699708	105699718	-	0.000	0.000	Merged-chr5-105699890-8
NR6658--MA1104.1.GATA6	chr9	32706420	32706432	-	0.000	0.000	Merged-chr9-32706237-53
NR4041--MA1104.1.GATA6	chr2	158666715	158666727	+	0.000	0.000	Merged-chr2-158666771-26
NR1352--MA0035.3.Gata1	chr12	31997092	31997102	-	0.000	0.000	Merged-chr12-31997107-37
NR6929--MA1104.1.GATA6	chr9	120961807	120961819	+	0.000	0.000	Merged-chr9-120961674-26
NR3994--MA0140.2.GATA1::TAL1	chr2	150451319	150451336	+	0.000	0.000	Merged-chr2-150451435-66
NR5620--MA0766.1.GATA5	chr6	97523241	97523248	-	0.000	0.000	Merged-chr6-97523334-26
NR1825--MA1104.1.GATA6	chr13	62880362	62880374	+	0.000	0.000	Merged-chr13-62880327-44
NR5862--MA0036.3.GATA2	chr7	6127301	6127311	+	0.000	0.000	Merged-chr7-6127268-44
NR2265--MA1104.1.GATA6	chr14	79481995	79482007	-	0.000	0.000	Merged-chr14-79481875-1
NR751--MA0766.1.GATA5	chr10	79937304	79937311	-	0.000	0.000	Merged-chr10-79937148-47
NR5615--MA0035.3.Gata1	chr6	97523194	97523204	-	0.000	0.000	Merged-chr6-97523334-26
NR6419--MA1104.1.GATA6	chr8	84357741	84357753	-	0.000	0.000	Merged-chr8-84357932-29
NR5986--MA0482.1.Gata4	chr7	65705269	65705279	-	0.000	0.000	Merged-chr7-65705151-59
NR54--MA0766.1.GATA5	chr1	38694231	38694238	+	0.000	0.000	Merged-chr1-38694375-50
