#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR3025--MA0482.1.Gata4	chr16	33073040	33073050	-	0.000	0.000	Merged-chr16-33073178-28
NR541--MA0035.3.Gata1	chr1	171643756	171643766	+	0.000	0.000	Merged-chr1-171643793-46
NR6782--MA0036.3.GATA2	chr7	27725771	27725781	+	0.000	0.000	Merged-chr7-27725861-23
NR6173--MA0766.1.GATA5	chr6	4664524	4664531	-	0.000	0.000	Merged-chr6-4664595-18
NR5295--MA0035.3.Gata1	chr4	10977004	10977014	-	0.000	0.000	Merged-chr4-10976884-13
NR743--MA1104.1.GATA6	chr10	39488317	39488329	+	0.000	0.000	Merged-chr10-39488240-32
NR716--MA0035.3.Gata1	chr10	26229621	26229631	+	0.000	0.000	Merged-chr10-26229708-29
NR6787--MA0035.3.Gata1	chr7	27933592	27933602	-	0.000	0.000	Merged-chr7-27933719-74
NR6373--MA0035.3.Gata1	chr6	91125078	91125088	-	0.000	0.000	Merged-chr6-91125010-35
NR7303--MA0140.2.GATA1::TAL1	chr8	86484973	86484990	+	0.000	0.000	Merged-chr8-86484982-16
NR7382--MA1104.1.GATA6	chr8	111955416	111955428	-	0.000	0.000	Merged-chr8-111955328-48
NR4964--MA0035.3.Gata1	chr3	89183058	89183068	+	0.000	0.000	Merged-chr3-89183015-64
NR877--MA0766.1.GATA5	chr10	85411169	85411176	+	0.000	0.000	Merged-chr10-85411172-67
NR6282--MA0766.1.GATA5	chr6	58832867	58832874	-	0.000	0.000	Merged-chr6-58832889-39
NR4658--MA0036.3.GATA2	chr2	153525959	153525969	+	0.000	0.000	Merged-chr2-153526092-26
NR4914--MA1104.1.GATA6	chr3	69041531	69041543	+	0.000	0.000	Merged-chr3-69041504-24
NR5625--MA1104.1.GATA6	chr4	136106795	136106807	-	0.000	0.000	Merged-chr4-136106995-34
NR1419--MA0766.1.GATA5	chr11	114883356	114883363	+	0.000	0.000	Merged-chr11-114883420-19
NR692--MA0140.2.GATA1::TAL1	chr10	19747774	19747791	-	0.000	0.000	Merged-chr10-19747869-22
NR357--MA0036.3.GATA2	chr1	131204670	131204680	-	0.000	0.000	Merged-chr1-131204658-49
NR4701--MA0482.1.Gata4	chr2	163131100	163131110	+	0.000	0.000	Merged-chr2-163131105-39
NR466--MA0036.3.GATA2	chr1	161309341	161309351	-	0.000	0.000	Merged-chr1-161309457-43
NR7666--MA0037.3.GATA3	chr9	72465984	72465991	+	0.000	0.000	Merged-chr9-72465991-47
NR7867--MA0482.1.Gata4	chr9	110685719	110685729	+	0.000	0.000	Merged-chr9-110685799-1
NR6936--MA0036.3.GATA2	chr7	90068041	90068051	-	0.000	0.000	Merged-chr7-90068033-46
NR3068--MA1104.1.GATA6	chr16	45025477	45025489	+	0.000	0.000	Merged-chr16-45025536-40
NR4791--MA0482.1.Gata4	chr3	9867514	9867524	-	0.000	0.000	Merged-chr3-9867662-24
NR1388--MA1104.1.GATA6	chr11	108910988	108911000	-	0.000	0.000	Merged-chr11-108910906-74
NR2416--MA0140.2.GATA1::TAL1	chr14	53132508	53132525	+	0.000	0.000	Merged-chr14-53132661-29
NR4467--MA0035.3.Gata1	chr2	117412149	117412159	-	0.000	0.000	Merged-chr2-117412269-30
NR1397--MA0140.2.GATA1::TAL1	chr11	108911014	108911031	+	0.000	0.000	Merged-chr11-108910906-74
NR2121--MA0035.3.Gata1	chr13	101702250	101702260	-	0.000	0.000	Merged-chr13-101702260-81
NR6078--MA0037.3.GATA3	chr5	123603827	123603834	+	0.000	0.000	Merged-chr5-123603758-26
NR718--MA0482.1.Gata4	chr10	28520082	28520092	-	0.000	0.000	Merged-chr10-28520121-26
NR1337--MA0482.1.Gata4	chr11	98959550	98959560	+	0.000	0.000	Merged-chr11-98959702-39
NR2301--MA0766.1.GATA5	chr14	21683129	21683136	+	0.000	0.000	Merged-chr14-21683018-22
NR4053--MA0035.3.Gata1	chr2	13718858	13718868	+	0.000	0.000	Merged-chr2-13718816-55
NR6569--MA0036.3.GATA2	chr6	130102977	130102987	+	0.000	0.000	Merged-chr6-130103023-31
NR6580--MA0482.1.Gata4	chr6	130342155	130342165	+	0.000	0.000	Merged-chr6-130342331-49
NR3177--MA1104.1.GATA6	chr16	58534725	58534737	+	0.000	0.000	Merged-chr16-58534735-63
NR4695--MA0482.1.Gata4	chr2	162998787	162998797	-	0.000	0.000	Merged-chr2-162998735-32
NR7628--MA0482.1.Gata4	chr9	61707989	61707999	+	0.000	0.000	Merged-chr9-61708026-57
NR7807--MA1104.1.GATA6	chr9	100522270	100522282	+	0.000	0.000	Merged-chr9-100522209-27
NR1446--MA0482.1.Gata4	chr12	12172556	12172566	+	0.000	0.000	Merged-chr12-12172464-29
NR3286--MA1104.1.GATA6	chr16	92641310	92641322	+	0.000	0.000	Merged-chr16-92641253-41
NR6663--MA1104.1.GATA6	chr6	142823505	142823517	+	0.000	0.000	Merged-chr6-142823375-40
NR757--MA0140.2.GATA1::TAL1	chr10	41978595	41978612	+	0.000	0.000	Merged-chr10-41978788-45
NR1258--MA1104.1.GATA6	chr11	75169167	75169179	-	0.000	0.000	Merged-chr11-75169080-24
NR251--MA0482.1.Gata4	chr1	95747470	95747480	-	0.000	0.000	Merged-chr1-95747553-17
NR2633--MA0140.2.GATA1::TAL1	chr14	118090055	118090072	-	0.000	0.000	Merged-chr14-118090082-2
NR4974--MA0766.1.GATA5	chr3	93550240	93550247	-	0.000	0.000	Merged-chr3-93550146-53
NR6481--MA0140.2.GATA1::TAL1	chr6	120188249	120188266	-	0.000	0.000	Merged-chr6-120188171-90
NR6501--MA0036.3.GATA2	chr6	122742623	122742633	+	0.000	0.000	Merged-chr6-122742614-91
NR5781--MA0766.1.GATA5	chr5	23416085	23416092	+	0.000	0.000	Merged-chr5-23416133-73
NR6287--MA0766.1.GATA5	chr6	61225494	61225501	-	0.000	0.000	Merged-chr6-61225621-10
NR1909--MA0037.3.GATA3	chr13	33079457	33079464	+	0.000	0.000	Merged-chr13-33079670-11
NR6785--MA1104.1.GATA6	chr7	27933591	27933603	+	0.000	0.000	Merged-chr7-27933719-74
NR2805--MA0140.2.GATA1::TAL1	chr15	60132881	60132898	-	0.000	0.000	Merged-chr15-60132913-50
NR296--MA0036.3.GATA2	chr1	108038617	108038627	+	0.000	0.000	Merged-chr1-108038539-17
NR254--MA0035.3.Gata1	chr1	95747471	95747481	-	0.000	0.000	Merged-chr1-95747553-17
NR1329--MA0482.1.Gata4	chr11	98682373	98682383	-	0.000	0.000	Merged-chr11-98682471-63
NR2094--MA0035.3.Gata1	chr13	95697071	95697081	+	0.000	0.000	Merged-chr13-95697036-46
NR1421--MA0140.2.GATA1::TAL1	chr11	115589137	115589154	-	0.000	0.000	Merged-chr11-115589146-15
NR676--MA0036.3.GATA2	chr10	14326189	14326199	-	0.000	0.000	Merged-chr10-14326395-38
NR6157--MA0766.1.GATA5	chr5	149246273	149246280	+	0.000	0.000	Merged-chr5-149246178-51
NR3848--MA0140.2.GATA1::TAL1	chr18	82513708	82513725	-	0.000	0.000	Merged-chr18-82513500-48
NR1048--MA0035.3.Gata1	chr11	6528674	6528684	-	0.000	0.000	Merged-chr11-6528717-51
NR3916--MA0037.3.GATA3	chr19	12805884	12805891	+	0.000	0.000	Merged-chr19-12806193-62
NR6307--MA0037.3.GATA3	chr6	67184856	67184863	+	0.000	0.000	Merged-chr6-67184785-39
NR4605--MA0766.1.GATA5	chr2	144198964	144198971	+	0.000	0.000	Merged-chr2-144198804-26
NR979--MA1104.1.GATA6	chr10	115406653	115406665	-	0.000	0.000	Merged-chr10-115406653-18
NR5782--MA0037.3.GATA3	chr5	24505729	24505736	-	0.000	0.000	Merged-chr5-24505685-17
NR56--MA0482.1.Gata4	chr1	38883980	38883990	-	0.000	0.000	Merged-chr1-38884000-31
NR6808--MA0766.1.GATA5	chr7	35742554	35742561	-	0.000	0.000	Merged-chr7-35742502-39
NR2306--MA0766.1.GATA5	chr14	25857535	25857542	-	0.000	0.000	Merged-chr14-25857742-93
NR5705--MA0037.3.GATA3	chr4	149065062	149065069	+	0.000	0.000	Merged-chr4-149065047-12
NR699--MA0766.1.GATA5	chr10	21975620	21975627	-	0.000	0.000	Merged-chr10-21975536-24
NR6171--MA0482.1.Gata4	chr6	4664524	4664534	+	0.000	0.000	Merged-chr6-4664595-18
NR6989--MA0035.3.Gata1	chr7	108943831	108943841	-	0.000	0.000	Merged-chr7-108943832-1
NR5539--MA0482.1.Gata4	chr4	109105444	109105454	-	0.000	0.000	Merged-chr4-109105447-43
NR4414--MA0482.1.Gata4	chr2	104763427	104763437	-	0.000	0.000	Merged-chr2-104763396-33
NR2463--MA0482.1.Gata4	chr14	60072723	60072733	+	0.000	0.000	Merged-chr14-60072713-24
NR798--MA0036.3.GATA2	chr10	62327713	62327723	-	0.000	0.000	Merged-chr10-62327638-49
NR2100--MA0036.3.GATA2	chr13	98124618	98124628	+	0.000	0.000	Merged-chr13-98124541-43
NR59--MA0035.3.Gata1	chr1	38883981	38883991	-	0.000	0.000	Merged-chr1-38884000-31
NR1912--MA0036.3.GATA2	chr13	33079455	33079465	-	0.000	0.000	Merged-chr13-33079670-11
NR389--MA0035.3.Gata1	chr1	139009692	139009702	+	0.000	0.000	Merged-chr1-139009798-23
NR3187--MA0482.1.Gata4	chr16	58679047	58679057	-	0.000	0.000	Merged-chr16-58678885-20
NR6174--MA0035.3.Gata1	chr6	4664523	4664533	+	0.000	0.000	Merged-chr6-4664595-18
NR4792--MA1104.1.GATA6	chr3	9867514	9867526	+	0.000	0.000	Merged-chr3-9867662-24
NR668--MA0036.3.GATA2	chr10	13993678	13993688	+	0.000	0.000	Merged-chr10-13993632-56
NR3953--MA0036.3.GATA2	chr19	29367424	29367434	-	0.000	0.000	Merged-chr19-29367376-49
NR3915--MA0140.2.GATA1::TAL1	chr19	11540582	11540599	+	0.000	0.000	Merged-chr19-11540460-39
NR4080--MA0140.2.GATA1::TAL1	chr2	18939004	18939021	-	0.000	0.000	Merged-chr2-18939077-26
NR463--MA0140.2.GATA1::TAL1	chr1	160777070	160777087	-	0.000	0.000	Merged-chr1-160777141-20
NR3366--MA0037.3.GATA3	chr17	12165548	12165555	-	0.000	0.000	Merged-chr17-12165459-54
NR4696--MA1104.1.GATA6	chr2	162998787	162998799	+	0.000	0.000	Merged-chr2-162998735-32
NR3223--MA0037.3.GATA3	chr16	75984113	75984120	-	0.000	0.000	Merged-chr16-75984013-36
NR5499--MA0482.1.Gata4	chr4	95068326	95068336	-	0.000	0.000	Merged-chr4-95068269-28
NR7629--MA1104.1.GATA6	chr9	61707987	61707999	-	0.000	0.000	Merged-chr9-61708026-57
NR1447--MA1104.1.GATA6	chr12	12172554	12172566	-	0.000	0.000	Merged-chr12-12172464-29
NR4164--MA0766.1.GATA5	chr2	43739404	43739411	-	0.000	0.000	Merged-chr2-43739518-2
NR1450--MA0035.3.Gata1	chr12	12172555	12172565	+	0.000	0.000	Merged-chr12-12172464-29
NR6549--MA0140.2.GATA1::TAL1	chr6	129533820	129533837	-	0.000	0.000	Merged-chr6-129533929-3
NR6086--MA0036.3.GATA2	chr5	124022516	124022526	+	0.000	0.000	Merged-chr5-124022476-27
NR252--MA1104.1.GATA6	chr1	95747470	95747482	+	0.000	0.000	Merged-chr1-95747553-17
NR7196--MA0037.3.GATA3	chr8	33898110	33898117	+	0.000	0.000	Merged-chr8-33898095-27
NR1511--MA0140.2.GATA1::TAL1	chr12	41844189	41844206	+	0.000	0.000	Merged-chr12-41844052-32
NR7650--MA0766.1.GATA5	chr9	66505774	66505781	+	0.000	0.000	Merged-chr9-66505646-32
NR2659--MA0766.1.GATA5	chr14	121423099	121423106	+	0.000	0.000	Merged-chr14-121422910-45
NR2455--MA0482.1.Gata4	chr14	59943445	59943455	+	0.000	0.000	Merged-chr14-59943344-19
NR596--MA0482.1.Gata4	chr1	187347071	187347081	-	0.000	0.000	Merged-chr1-187347072-46
NR3964--MA0037.3.GATA3	chr19	31210684	31210691	-	0.000	0.000	Merged-chr19-31210653-54
NR4244--MA0482.1.Gata4	chr2	62352186	62352196	+	0.000	0.000	Merged-chr2-62352277-29
NR4996--MA0035.3.Gata1	chr3	102804002	102804012	+	0.000	0.000	Merged-chr3-102804136-20
NR7035--MA0140.2.GATA1::TAL1	chr7	120729749	120729766	-	0.000	0.000	Merged-chr7-120729886-25
NR6560--MA1104.1.GATA6	chr6	130078304	130078316	-	0.000	0.000	Merged-chr6-130078295-22
NR6285--MA0482.1.Gata4	chr6	61225494	61225504	+	0.000	0.000	Merged-chr6-61225621-10
NR6827--MA0482.1.Gata4	chr7	44344789	44344799	-	0.000	0.000	Merged-chr7-44344765-20
NR195--MA0482.1.Gata4	chr1	87878051	87878061	+	0.000	0.000	Merged-chr1-87877929-42
NR807--MA0140.2.GATA1::TAL1	chr10	66955653	66955670	+	0.000	0.000	Merged-chr10-66955647-19
NR7772--MA0766.1.GATA5	chr9	97068914	97068921	-	0.000	0.000	Merged-chr9-97068935-38
NR2690--MA1104.1.GATA6	chr15	8280448	8280460	-	0.000	0.000	Merged-chr15-8280344-8
NR2458--MA0035.3.Gata1	chr14	59943444	59943454	+	0.000	0.000	Merged-chr14-59943344-19
NR5004--MA1104.1.GATA6	chr3	106544878	106544890	+	0.000	0.000	Merged-chr3-106544962-40
NR502--MA0037.3.GATA3	chr1	164960957	164960964	+	0.000	0.000	Merged-chr1-164960822-1
NR2856--MA0140.2.GATA1::TAL1	chr15	80743668	80743685	-	0.000	0.000	Merged-chr15-80743505-96
NR57--MA1104.1.GATA6	chr1	38883980	38883992	+	0.000	0.000	Merged-chr1-38884000-31
NR3404--MA0140.2.GATA1::TAL1	chr17	17636257	17636274	-	0.000	0.000	Merged-chr17-17636367-22
NR217--MA0035.3.Gata1	chr1	91099024	91099034	+	0.000	0.000	Merged-chr1-91099031-34
NR2447--MA0482.1.Gata4	chr14	57571228	57571238	-	0.000	0.000	Merged-chr14-57571249-1
NR198--MA0035.3.Gata1	chr1	87878050	87878060	+	0.000	0.000	Merged-chr1-87877929-42
NR5636--MA0037.3.GATA3	chr4	145312628	145312635	+	0.000	0.000	Merged-chr4-145312696-44
NR4415--MA1104.1.GATA6	chr2	104763427	104763439	+	0.000	0.000	Merged-chr2-104763396-33
NR3066--MA0037.3.GATA3	chr16	45025480	45025487	+	0.000	0.000	Merged-chr16-45025536-40
NR2464--MA1104.1.GATA6	chr14	60072721	60072733	-	0.000	0.000	Merged-chr14-60072713-24
NR1386--MA0037.3.GATA3	chr11	108910990	108910997	-	0.000	0.000	Merged-chr11-108910906-74
NR6577--MA0766.1.GATA5	chr6	130312045	130312052	-	0.000	0.000	Merged-chr6-130312055-26
NR876--MA1104.1.GATA6	chr10	85411166	85411178	+	0.000	0.000	Merged-chr10-85411172-67
NR2336--MA0036.3.GATA2	chr14	30675116	30675126	-	0.000	0.000	Merged-chr14-30675172-26
NR4098--MA0035.3.Gata1	chr2	25054339	25054349	+	0.000	0.000	Merged-chr2-25054565-53
NR1877--MA0036.3.GATA2	chr13	10019410	10019420	-	0.000	0.000	Merged-chr13-10019536-22
NR1147--MA1104.1.GATA6	chr11	43492831	43492843	-	0.000	0.000	Merged-chr11-43492848-27
NR6932--MA1104.1.GATA6	chr7	90007378	90007390	+	0.000	0.000	Merged-chr7-90007418-46
NR7805--MA0037.3.GATA3	chr9	100522273	100522280	+	0.000	0.000	Merged-chr9-100522209-27
NR3150--MA0140.2.GATA1::TAL1	chr16	55835704	55835721	+	0.000	0.000	Merged-chr16-55835900-11
NR6158--MA0035.3.Gata1	chr5	149246271	149246281	-	0.000	0.000	Merged-chr5-149246178-51
NR187--MA0482.1.Gata4	chr1	85794294	85794304	-	0.000	0.000	Merged-chr1-85794071-131
NR91--MA0766.1.GATA5	chr1	60990423	60990430	-	0.000	0.000	Merged-chr1-60990456-63
NR3284--MA0037.3.GATA3	chr16	92641313	92641320	+	0.000	0.000	Merged-chr16-92641253-41
NR5880--MA0482.1.Gata4	chr5	62893335	62893345	+	0.000	0.000	Merged-chr5-62893222-24
NR6661--MA0037.3.GATA3	chr6	142823508	142823515	+	0.000	0.000	Merged-chr6-142823375-40
NR5490--MA0035.3.Gata1	chr4	89044205	89044215	+	0.000	0.000	Merged-chr4-89044155-38
NR3188--MA1104.1.GATA6	chr16	58679047	58679059	+	0.000	0.000	Merged-chr16-58678885-20
NR7693--MA0035.3.Gata1	chr9	80318149	80318159	+	0.000	0.000	Merged-chr9-80318250-48
NR1256--MA0037.3.GATA3	chr11	75169169	75169176	-	0.000	0.000	Merged-chr11-75169080-24
NR2307--MA0035.3.Gata1	chr14	25857534	25857544	+	0.000	0.000	Merged-chr14-25857742-93
NR719--MA0035.3.Gata1	chr10	28520083	28520093	-	0.000	0.000	Merged-chr10-28520121-26
NR1782--MA0035.3.Gata1	chr12	112743308	112743318	+	0.000	0.000	Merged-chr12-112743369-41
NR3913--MA0766.1.GATA5	chr19	11540581	11540588	-	0.000	0.000	Merged-chr19-11540460-39
NR3903--MA0036.3.GATA2	chr19	5802463	5802473	+	0.000	0.000	Merged-chr19-5802452-32
NR5160--MA0766.1.GATA5	chr3	137969288	137969295	-	0.000	0.000	Merged-chr3-137969157-49
NR1933--MA0482.1.Gata4	chr13	43485436	43485446	+	0.000	0.000	Merged-chr13-43485409-24
NR192--MA0140.2.GATA1::TAL1	chr1	85953391	85953408	+	0.000	0.000	Merged-chr1-85953523-25
NR2300--MA0037.3.GATA3	chr14	21683129	21683136	+	0.000	0.000	Merged-chr14-21683018-22
NR4704--MA0482.1.Gata4	chr2	163229298	163229308	-	0.000	0.000	Merged-chr2-163229277-53
NR2456--MA1104.1.GATA6	chr14	59943443	59943455	-	0.000	0.000	Merged-chr14-59943344-19
NR4109--MA0035.3.Gata1	chr2	29632324	29632334	-	0.000	0.000	Merged-chr2-29632325-58
NR2429--MA0035.3.Gata1	chr14	54165206	54165216	-	0.000	0.000	Merged-chr14-54165125-24
NR4245--MA1104.1.GATA6	chr2	62352184	62352196	-	0.000	0.000	Merged-chr2-62352277-29
NR1827--MA0035.3.Gata1	chr12	116620034	116620044	+	0.000	0.000	Merged-chr12-116620074-47
NR5000--MA0140.2.GATA1::TAL1	chr3	105815405	105815422	-	0.000	0.000	Merged-chr3-105815563-53
NR686--MA0140.2.GATA1::TAL1	chr10	18064764	18064781	+	0.000	0.000	Merged-chr10-18064784-37
NR73--MA0036.3.GATA2	chr1	43538868	43538878	+	0.000	0.000	Merged-chr1-43538951-30
NR1394--MA0035.3.Gata1	chr11	108910989	108910999	+	0.000	0.000	Merged-chr11-108910906-74
NR7731--MA1104.1.GATA6	chr9	87025898	87025910	-	0.000	0.000	Merged-chr9-87025935-38
NR3475--MA0140.2.GATA1::TAL1	chr17	44893776	44893793	-	0.000	0.000	Merged-chr17-44893726-24
NR215--MA1104.1.GATA6	chr1	91099023	91099035	-	0.000	0.000	Merged-chr1-91099031-34
NR5391--MA0766.1.GATA5	chr4	59281127	59281134	-	0.000	0.000	Merged-chr4-59281104-23
NR196--MA1104.1.GATA6	chr1	87878049	87878061	-	0.000	0.000	Merged-chr1-87877929-42
NR559--MA0482.1.Gata4	chr1	179493159	179493169	-	0.000	0.000	Merged-chr1-179493163-27
NR4108--MA0140.2.GATA1::TAL1	chr2	29237795	29237812	+	0.000	0.000	Merged-chr2-29237965-2
NR4165--MA0035.3.Gata1	chr2	43739403	43739413	+	0.000	0.000	Merged-chr2-43739518-2
NR7451--MA0766.1.GATA5	chr8	127963050	127963057	+	0.000	0.000	Merged-chr8-127963000-27
NR1360--MA0035.3.Gata1	chr11	101627408	101627418	+	0.000	0.000	Merged-chr11-101627512-104
NR4022--MA0035.3.Gata1	chr2	3764477	3764487	+	0.000	0.000	Merged-chr2-3764311-29
NR6124--MA0036.3.GATA2	chr5	143133103	143133113	+	0.000	0.000	Merged-chr5-143133108-49
NR1848--MA0036.3.GATA2	chr12	118255860	118255870	-	0.000	0.000	Merged-chr12-118255780-45
NR1434--MA0036.3.GATA2	chr12	3427691	3427701	+	0.000	0.000	Merged-chr12-3427631-4
NR3943--MA0035.3.Gata1	chr19	25360764	25360774	-	0.000	0.000	Merged-chr19-25360847-26
NR6038--MA0766.1.GATA5	chr5	107265164	107265171	-	0.000	0.000	Merged-chr5-107265096-67
NR5426--MA0036.3.GATA2	chr4	75278973	75278983	-	0.000	0.000	Merged-chr4-75279089-1
NR5707--MA0766.1.GATA5	chr4	149065062	149065069	+	0.000	0.000	Merged-chr4-149065047-12
NR3485--MA0766.1.GATA5	chr17	52150040	52150047	-	0.000	0.000	Merged-chr17-52149947-112
NR1780--MA1104.1.GATA6	chr12	112743307	112743319	-	0.000	0.000	Merged-chr12-112743369-41
NR5893--MA0766.1.GATA5	chr5	64472608	64472615	-	0.000	0.000	Merged-chr5-64472447-77
NR1753--MA0035.3.Gata1	chr12	107160238	107160248	-	0.000	0.000	Merged-chr12-107160431-72
NR7537--MA0140.2.GATA1::TAL1	chr9	33060979	33060996	-	0.000	0.000	Merged-chr9-33060885-64
NR4790--MA0037.3.GATA3	chr3	9867517	9867524	+	0.000	0.000	Merged-chr3-9867662-24
NR1728--MA0766.1.GATA5	chr12	102283833	102283840	+	0.000	0.000	Merged-chr12-102283791-1
NR6195--MA0482.1.Gata4	chr6	15793426	15793436	-	0.000	0.000	Merged-chr6-15793359-107
NR1610--MA0035.3.Gata1	chr12	78686010	78686020	-	0.000	0.000	Merged-chr12-78685977-17
NR7773--MA0035.3.Gata1	chr9	97068913	97068923	+	0.000	0.000	Merged-chr9-97068935-38
NR6256--MA0766.1.GATA5	chr6	50387876	50387883	+	0.000	0.000	Merged-chr6-50387910-30
NR7104--MA0037.3.GATA3	chr7	143649723	143649730	-	0.000	0.000	Merged-chr7-143649559-54
NR2015--MA0036.3.GATA2	chr13	63885648	63885658	-	0.000	0.000	Merged-chr13-63885791-1
NR4694--MA0037.3.GATA3	chr2	162998790	162998797	+	0.000	0.000	Merged-chr2-162998735-32
NR7627--MA0037.3.GATA3	chr9	61707989	61707996	-	0.000	0.000	Merged-chr9-61708026-57
NR188--MA1104.1.GATA6	chr1	85794294	85794306	+	0.000	0.000	Merged-chr1-85794071-131
NR7576--MA0036.3.GATA2	chr9	45945096	45945106	-	0.000	0.000	Merged-chr9-45945206-63
NR1179--MA0140.2.GATA1::TAL1	chr11	54973962	54973979	-	0.000	0.000	Merged-chr11-54973823-46
NR3345--MA0036.3.GATA2	chr17	7927889	7927899	+	0.000	0.000	Merged-chr17-7928003-98
NR1190--MA0035.3.Gata1	chr11	58189860	58189870	-	0.000	0.000	Merged-chr11-58189839-18
NR1825--MA1104.1.GATA6	chr12	116620033	116620045	-	0.000	0.000	Merged-chr12-116620074-47
NR6097--MA0036.3.GATA2	chr5	137747961	137747971	+	0.000	0.000	Merged-chr5-137747869-32
NR6639--MA0036.3.GATA2	chr6	140598740	140598750	+	0.000	0.000	Merged-chr6-140598794-45
NR1707--MA0766.1.GATA5	chr12	92976672	92976679	-	0.000	0.000	Merged-chr12-92976529-13
NR7390--MA0766.1.GATA5	chr8	117548685	117548692	-	0.000	0.000	Merged-chr8-117548585-70
NR6578--MA0035.3.Gata1	chr6	130312044	130312054	+	0.000	0.000	Merged-chr6-130312055-26
NR5036--MA0037.3.GATA3	chr3	115729287	115729294	-	0.000	0.000	Merged-chr3-115729400-55
NR4705--MA1104.1.GATA6	chr2	163229298	163229310	+	0.000	0.000	Merged-chr2-163229277-53
NR4020--MA1104.1.GATA6	chr2	3764476	3764488	-	0.000	0.000	Merged-chr2-3764311-29
NR368--MA0482.1.Gata4	chr1	136601112	136601122	+	0.000	0.000	Merged-chr1-136600909-41
NR4328--MA0140.2.GATA1::TAL1	chr2	84020202	84020219	+	0.000	0.000	Merged-chr2-84020132-33
NR6567--MA0482.1.Gata4	chr6	130102978	130102988	+	0.000	0.000	Merged-chr6-130103023-31
NR3914--MA0035.3.Gata1	chr19	11540580	11540590	+	0.000	0.000	Merged-chr19-11540460-39
NR7568--MA0036.3.GATA2	chr9	44772869	44772879	-	0.000	0.000	Merged-chr9-44772887-60
NR7645--MA0482.1.Gata4	chr9	66295134	66295144	+	0.000	0.000	Merged-chr9-66295082-25
NR1591--MA0036.3.GATA2	chr12	73842214	73842224	+	0.000	0.000	Merged-chr12-73842345-69
NR1938--MA0766.1.GATA5	chr13	45850807	45850814	-	0.000	0.000	Merged-chr13-45850664-56
NR4058--MA0766.1.GATA5	chr2	13760574	13760581	+	0.000	0.000	Merged-chr2-13760550-51
