#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR6855--MA0741.1.KLF16	chr10	63023947	63023957	+	0.000	0.000	Merged-chr10-63023888-111
NR24446--MA0599.1.KLF5	chr15	80264287	80264296	+	0.000	0.000	Merged-chr15-80264351-45
NR13381--MA0741.1.KLF16	chr12	17737292	17737302	+	0.000	0.000	Merged-chr12-17737331-11
NR32743--MA1107.1.KLF9	chr18	60844149	60844161	-	0.000	0.000	Merged-chr18-60844209-77
NR23778--MA0740.1.KLF14	chr15	58823639	58823652	-	0.000	0.000	Merged-chr15-58823489-98
NR69232--MA1107.1.KLF9	chrX	108834384	108834396	-	0.000	0.000	Merged-chrX-108834442-59
NR10937--MA0657.1.KLF13	chr11	61684378	61684395	+	0.000	0.000	Merged-chr11-61684230-57
NR4033--MA0741.1.KLF16	chr1	167339598	167339608	-	0.000	0.000	Merged-chr1-167339598-12
NR53250--MA0599.1.KLF5	chr5	135545383	135545392	+	0.000	0.000	Merged-chr5-135545364-67
NR59145--MA0742.1.Klf12	chr7	34912357	34912371	+	0.000	0.000	Merged-chr7-34912506-54
NR68394--MA0599.1.KLF5	chr9	122294587	122294596	-	0.000	0.000	Merged-chr9-122294367-85
NR7263--MA0740.1.KLF14	chr10	75978464	75978477	-	0.000	0.000	Merged-chr10-75978406-17
NR27823--MA0599.1.KLF5	chr16	91011059	91011068	+	0.000	0.000	Merged-chr16-91011174-91
NR21502--MA1107.1.KLF9	chr14	79154091	79154103	-	0.000	0.000	Merged-chr14-79154092-10
NR54513--MA0039.3.KLF4	chr6	24310903	24310913	-	0.000	0.000	Merged-chr6-24310854-8
NR28698--MA0599.1.KLF5	chr17	18004866	18004875	+	0.000	0.000	Merged-chr17-18004943-3
NR11155--MA0599.1.KLF5	chr11	69948287	69948296	+	0.000	0.000	Merged-chr11-69948307-18
NR11494--MA1107.1.KLF9	chr11	78301518	78301530	-	0.000	0.000	Merged-chr11-78301552-46
NR63695--MA0657.1.KLF13	chr8	70797262	70797279	-	0.000	0.000	Merged-chr8-70797334-59
NR3064--MA0741.1.KLF16	chr1	138157153	138157163	-	0.000	0.000	Merged-chr1-138157317-43
NR23374--MA0599.1.KLF5	chr15	38301078	38301087	-	0.000	0.000	Merged-chr15-38301067-73
NR12478--MA0741.1.KLF16	chr11	106788648	106788658	+	0.000	0.000	Merged-chr11-106788603-141
NR14612--MA0493.1.Klf1	chr12	77060212	77060222	+	0.000	0.000	Merged-chr12-77060270-44
NR53488--MA0657.1.KLF13	chr5	138280291	138280308	-	0.000	0.000	Merged-chr5-138280109-50
NR54649--MA0599.1.KLF5	chr6	30391067	30391076	+	0.000	0.000	Merged-chr6-30391012-49
NR35349--MA0741.1.KLF16	chr2	11777592	11777602	+	0.000	0.000	Merged-chr2-11777973-128
NR34042--MA0599.1.KLF5	chr19	8837509	8837518	+	0.000	0.000	Merged-chr19-8837631-55
NR68160--MA1107.1.KLF9	chr9	116114512	116114524	-	0.000	0.000	Merged-chr9-116114550-42
NR39008--MA0599.1.KLF5	chr2	136891526	136891535	+	0.000	0.000	Merged-chr2-136891552-154
NR28125--MA0599.1.KLF5	chr16	97310087	97310096	-	0.000	0.000	Merged-chr16-97310397-57
NR64796--MA0741.1.KLF16	chr8	109868492	109868502	-	0.000	0.000	Merged-chr8-109868700-77
NR25315--MA0740.1.KLF14	chr15	99702383	99702396	-	0.000	0.000	Merged-chr15-99702299-64
NR18873--MA0493.1.Klf1	chr13	106825808	106825818	-	0.000	0.000	Merged-chr13-106825787-11
NR17242--MA0599.1.KLF5	chr13	58402844	58402853	+	0.000	0.000	Merged-chr13-58402711-8
NR50956--MA0493.1.Klf1	chr5	65436007	65436017	-	0.000	0.000	Merged-chr5-65436020-62
NR26966--MA0599.1.KLF5	chr16	57434815	57434824	-	0.000	0.000	Merged-chr16-57434811-45
NR66868--MA0599.1.KLF5	chr9	65586972	65586981	+	0.000	0.000	Merged-chr9-65587090-27
NR20871--MA0742.1.Klf12	chr14	54464112	54464126	-	0.000	0.000	Merged-chr14-54464203-140
NR69578--MA0599.1.KLF5	chrX	162760255	162760264	+	0.000	0.000	Merged-chrX-162760331-82
NR25879--MA0742.1.Klf12	chr16	11134650	11134664	+	0.000	0.000	Merged-chr16-11134662-66
NR34023--MA1107.1.KLF9	chr19	8695518	8695530	-	0.000	0.000	Merged-chr19-8695569-23
NR42979--MA0039.3.KLF4	chr3	103102604	103102614	-	0.000	0.000	Merged-chr3-103102606-96
NR52917--MA0599.1.KLF5	chr5	129020154	129020163	+	0.000	0.000	Merged-chr5-129020147-99
NR17223--MA1107.1.KLF9	chr13	58158314	58158326	-	0.000	0.000	Merged-chr13-58158134-148
NR66849--MA1107.1.KLF9	chr9	65535543	65535555	-	0.000	0.000	Merged-chr9-65535495-68
NR10965--MA0599.1.KLF5	chr11	62648543	62648552	+	0.000	0.000	Merged-chr11-62648702-91
NR26732--MA1107.1.KLF9	chr16	48763323	48763335	-	0.000	0.000	Merged-chr16-48763464-5
NR7207--MA0493.1.Klf1	chr10	75304012	75304022	-	0.000	0.000	Merged-chr10-75303775-85
NR42694--MA0599.1.KLF5	chr3	95142400	95142409	+	0.000	0.000	Merged-chr3-95142553-16
NR24343--MA0599.1.KLF5	chr15	78928232	78928241	+	0.000	0.000	Merged-chr15-78928209-40
NR67846--MA0599.1.KLF5	chr9	106438462	106438471	+	0.000	0.000	Merged-chr9-106438400-53
NR63795--MA0740.1.KLF14	chr8	71665701	71665714	-	0.000	0.000	Merged-chr8-71665590-47
NR58461--MA1107.1.KLF9	chr7	19404126	19404138	+	0.000	0.000	Merged-chr7-19404013-49
NR12064--MA0741.1.KLF16	chr11	97883660	97883670	+	0.000	0.000	Merged-chr11-97883682-8
NR27392--MA1107.1.KLF9	chr16	75856073	75856085	+	0.000	0.000	Merged-chr16-75856186-4
NR5235--MA0740.1.KLF14	chr10	4386768	4386781	+	0.000	0.000	Merged-chr10-4386678-1
NR59879--MA0599.1.KLF5	chr7	64392531	64392540	+	0.000	0.000	Merged-chr7-64392480-85
NR23360--MA0493.1.Klf1	chr15	38078883	38078893	-	0.000	0.000	Merged-chr15-38078784-97
NR14733--MA0493.1.Klf1	chr12	81845220	81845230	-	0.000	0.000	Merged-chr12-81845150-28
NR68218--MA0039.3.KLF4	chr9	118489785	118489795	-	0.000	0.000	Merged-chr9-118489742-49
NR48914--MA0740.1.KLF14	chr4	149166789	149166802	+	0.000	0.000	Merged-chr4-149166901-79
NR56268--MA1107.1.KLF9	chr6	99360158	99360170	+	0.000	0.000	Merged-chr6-99360034-2
NR64653--MA0741.1.KLF16	chr8	105623209	105623219	-	0.000	0.000	Merged-chr8-105622975-103
NR69190--MA0742.1.Klf12	chrX	103695580	103695594	-	0.000	0.000	Merged-chrX-103695530-55
NR66844--MA0039.3.KLF4	chr9	65461183	65461193	-	0.000	0.000	Merged-chr9-65461064-58
NR22950--MA1107.1.KLF9	chr15	25805854	25805866	+	0.000	0.000	Merged-chr15-25805747-73
NR25736--MA0742.1.Klf12	chr16	8671872	8671886	+	0.000	0.000	Merged-chr16-8671994-77
NR65223--MA0599.1.KLF5	chr8	122556779	122556788	-	0.000	0.000	Merged-chr8-122556749-52
NR49230--MA0741.1.KLF16	chr4	155774592	155774602	+	0.000	0.000	Merged-chr4-155774656-37
NR18769--MA0741.1.KLF16	chr13	104109623	104109633	+	0.000	0.000	Merged-chr13-104109580-88
NR8105--MA0599.1.KLF5	chr10	93326907	93326916	+	0.000	0.000	Merged-chr10-93326815-10
NR17569--MA0599.1.KLF5	chr13	69611738	69611747	+	0.000	0.000	Merged-chr13-69611588-99
NR52766--MA0741.1.KLF16	chr5	124079222	124079232	-	0.000	0.000	Merged-chr5-124079181-11
NR34830--MA0599.1.KLF5	chr19	47937642	47937651	-	0.000	0.000	Merged-chr19-47937684-41
NR67678--MA0740.1.KLF14	chr9	99568955	99568968	-	0.000	0.000	Merged-chr9-99568733-85
NR1568--MA0742.1.Klf12	chr1	75213259	75213273	-	0.000	0.000	Merged-chr1-75213327-22
NR65061--MA0740.1.KLF14	chr8	119840580	119840593	+	0.000	0.000	Merged-chr8-119840588-52
NR37540--MA0599.1.KLF5	chr2	85007679	85007688	+	0.000	0.000	Merged-chr2-85007896-35
NR20418--MA0599.1.KLF5	chr14	40966991	40967000	+	0.000	0.000	Merged-chr14-40966984-107
NR59430--MA1107.1.KLF9	chr7	45068180	45068192	-	0.000	0.000	Merged-chr7-45068056-13
NR40052--MA1107.1.KLF9	chr2	169504358	169504370	+	0.000	0.000	Merged-chr2-169504323-1
NR35417--MA0039.3.KLF4	chr2	13575064	13575074	+	0.000	0.000	Merged-chr2-13575035-10
NR13651--MA0039.3.KLF4	chr12	28735503	28735513	-	0.000	0.000	Merged-chr12-28735423-1
NR53553--MA0039.3.KLF4	chr5	139793915	139793925	+	0.000	0.000	Merged-chr5-139793766-12
NR5072--MA0493.1.Klf1	chr1	193153101	193153111	-	0.000	0.000	Merged-chr1-193153117-43
NR10871--MA0599.1.KLF5	chr11	60727259	60727268	+	0.000	0.000	Merged-chr11-60727194-59
NR14809--MA0741.1.KLF16	chr12	84408450	84408460	+	0.000	0.000	Merged-chr12-84408533-142
NR63830--MA1107.1.KLF9	chr8	72277459	72277471	-	0.000	0.000	Merged-chr8-72277394-10
NR49965--MA0599.1.KLF5	chr5	24685916	24685925	-	0.000	0.000	Merged-chr5-24685796-115
NR53483--MA0599.1.KLF5	chr5	138280177	138280186	-	0.000	0.000	Merged-chr5-138280109-50
NR8896--MA0741.1.KLF16	chr10	117063814	117063824	-	0.000	0.000	Merged-chr10-117063673-90
NR57913--MA1107.1.KLF9	chr6	148212164	148212176	-	0.000	0.000	Merged-chr6-148212124-77
NR45904--MA0740.1.KLF14	chr4	43493301	43493314	-	0.000	0.000	Merged-chr4-43493243-98
NR2488--MA0599.1.KLF5	chr1	119457045	119457054	-	0.000	0.000	Merged-chr1-119457268-70
NR27002--MA0742.1.Klf12	chr16	59459634	59459648	-	0.000	0.000	Merged-chr16-59459484-51
NR58234--MA0599.1.KLF5	chr7	15912283	15912292	+	0.000	0.000	Merged-chr7-15912372-18
NR35053--MA0742.1.Klf12	chr2	3284119	3284133	-	0.000	0.000	Merged-chr2-3284320-138
NR61637--MA1107.1.KLF9	chr7	132735389	132735401	-	0.000	0.000	Merged-chr7-132735427-53
NR9628--MA1107.1.KLF9	chr11	3335913	3335925	-	0.000	0.000	Merged-chr11-3336028-55
NR28796--MA0493.1.Klf1	chr17	22867286	22867296	+	0.000	0.000	Merged-chr17-22867283-5
NR6345--MA0741.1.KLF16	chr10	43722543	43722553	+	0.000	0.000	Merged-chr10-43722672-2
NR53409--MA0742.1.Klf12	chr5	137600821	137600835	+	0.000	0.000	Merged-chr5-137600985-67
NR33746--MA0740.1.KLF14	chr19	3325549	3325562	-	0.000	0.000	Merged-chr19-3325405-49
NR11173--MA0599.1.KLF5	chr11	70221161	70221170	-	0.000	0.000	Merged-chr11-70221085-67
NR62634--MA0599.1.KLF5	chr8	26698690	26698699	-	0.000	0.000	Merged-chr8-26698799-12
NR4665--MA0741.1.KLF16	chr1	184013533	184013543	-	0.000	0.000	Merged-chr1-184013369-24
NR59570--MA0599.1.KLF5	chr7	48898567	48898576	+	0.000	0.000	Merged-chr7-48898692-36
NR40192--MA0599.1.KLF5	chr2	172440522	172440531	+	0.000	0.000	Merged-chr2-172440509-70
NR67021--MA0657.1.KLF13	chr9	74953025	74953042	-	0.000	0.000	Merged-chr9-74953040-95
NR35319--MA1107.1.KLF9	chr2	11212110	11212122	+	0.000	0.000	Merged-chr2-11212152-38
NR36110--MA0599.1.KLF5	chr2	32535274	32535283	+	0.000	0.000	Merged-chr2-32535268-83
NR42233--MA0599.1.KLF5	chr3	79194246	79194255	+	0.000	0.000	Merged-chr3-79194432-21
NR157--MA0599.1.KLF5	chr1	9848224	9848233	-	0.000	0.000	Merged-chr1-9848247-58
NR43999--MA0599.1.KLF5	chr3	138264942	138264951	-	0.000	0.000	Merged-chr3-138265020-7
NR14765--MA0599.1.KLF5	chr12	82169642	82169651	+	0.000	0.000	Merged-chr12-82169653-106
NR52348--MA0493.1.Klf1	chr5	114639608	114639618	-	0.000	0.000	Merged-chr5-114639574-38
NR65889--MA1107.1.KLF9	chr9	22155931	22155943	+	0.000	0.000	Merged-chr9-22155812-33
NR29339--MA0741.1.KLF16	chr17	33998963	33998973	-	0.000	0.000	Merged-chr17-33999093-34
NR11840--MA0599.1.KLF5	chr11	94601910	94601919	-	0.000	0.000	Merged-chr11-94601858-52
NR16806--MA0599.1.KLF5	chr13	42051653	42051662	-	0.000	0.000	Merged-chr13-42051680-16
NR5507--MA0599.1.KLF5	chr10	12963982	12963991	+	0.000	0.000	Merged-chr10-12964276-93
NR68122--MA0741.1.KLF16	chr9	114730243	114730253	-	0.000	0.000	Merged-chr9-114730346-23
NR7582--MA0039.3.KLF4	chr10	80622384	80622394	+	0.000	0.000	Merged-chr10-80622471-84
NR37867--MA0599.1.KLF5	chr2	103797078	103797087	-	0.000	0.000	Merged-chr2-103797033-190
NR66171--MA0741.1.KLF16	chr9	37232354	37232364	-	0.000	0.000	Merged-chr9-37232426-6
NR39908--MA0599.1.KLF5	chr2	167349466	167349475	-	0.000	0.000	Merged-chr2-167349371-94
NR48276--MA0740.1.KLF14	chr4	133887412	133887425	-	0.000	0.000	Merged-chr4-133887364-2
NR50955--MA0039.3.KLF4	chr5	65436005	65436015	-	0.000	0.000	Merged-chr5-65436020-62
NR58435--MA0493.1.Klf1	chr7	19282641	19282651	+	0.000	0.000	Merged-chr7-19282647-45
NR52598--MA1107.1.KLF9	chr5	121564879	121564891	-	0.000	0.000	Merged-chr5-121564703-31
NR52935--MA0599.1.KLF5	chr5	129725042	129725051	+	0.000	0.000	Merged-chr5-129725191-86
NR49808--MA0493.1.Klf1	chr5	21187053	21187063	+	0.000	0.000	Merged-chr5-21187049-4
NR24576--MA0599.1.KLF5	chr15	82147232	82147241	+	0.000	0.000	Merged-chr15-82147198-69
NR59612--MA0741.1.KLF16	chr7	51879291	51879301	-	0.000	0.000	Merged-chr7-51879410-58
NR68908--MA1107.1.KLF9	chrX	57326759	57326771	-	0.000	0.000	Merged-chrX-57326687-25
NR69362--MA1107.1.KLF9	chrX	136761501	136761513	-	0.000	0.000	Merged-chrX-136761493-40
NR30000--MA0493.1.Klf1	chr17	56304179	56304189	-	0.000	0.000	Merged-chr17-56304020-73
NR69229--MA0599.1.KLF5	chrX	107816438	107816447	+	0.000	0.000	Merged-chrX-107816203-60
NR21445--MA0740.1.KLF14	chr14	75845211	75845224	+	0.000	0.000	Merged-chr14-75845337-99
NR37181--MA0741.1.KLF16	chr2	71786879	71786889	-	0.000	0.000	Merged-chr2-71787122-109
NR11985--MA0741.1.KLF16	chr11	96916553	96916563	+	0.000	0.000	Merged-chr11-96916500-59
NR59158--MA0742.1.Klf12	chr7	35333915	35333929	-	0.000	0.000	Merged-chr7-35333987-100
NR47454--MA0741.1.KLF16	chr4	109117945	109117955	-	0.000	0.000	Merged-chr4-109118050-62
NR54868--MA0493.1.Klf1	chr6	41662627	41662637	+	0.000	0.000	Merged-chr6-41662525-9
NR22168--MA0599.1.KLF5	chr14	115205899	115205908	+	0.000	0.000	Merged-chr14-115206056-2
NR20874--MA0493.1.Klf1	chr14	54464116	54464126	-	0.000	0.000	Merged-chr14-54464203-140
NR22698--MA0741.1.KLF16	chr15	9071392	9071402	+	0.000	0.000	Merged-chr15-9071380-92
NR37177--MA0493.1.Klf1	chr2	71786880	71786890	-	0.000	0.000	Merged-chr2-71787122-109
NR4201--MA1107.1.KLF9	chr1	171607430	171607442	-	0.000	0.000	Merged-chr1-171607234-71
NR54779--MA0599.1.KLF5	chr6	37442267	37442276	+	0.000	0.000	Merged-chr6-37442138-79
NR12935--MA0740.1.KLF14	chr11	118248639	118248652	+	0.000	0.000	Merged-chr11-118248688-60
NR5752--MA1107.1.KLF9	chr10	18743779	18743791	+	0.000	0.000	Merged-chr10-18743767-30
NR68913--MA0493.1.Klf1	chrX	59134807	59134817	+	0.000	0.000	Merged-chrX-59134766-110
NR10145--MA0741.1.KLF16	chr11	23306493	23306503	-	0.000	0.000	Merged-chr11-23306363-115
NR4994--MA0493.1.Klf1	chr1	191397226	191397236	-	0.000	0.000	Merged-chr1-191397050-148
NR10416--MA0741.1.KLF16	chr11	43426269	43426279	-	0.000	0.000	Merged-chr11-43426226-46
NR66560--MA0742.1.Klf12	chr9	55110575	55110589	+	0.000	0.000	Merged-chr9-55110680-29
NR63804--MA0493.1.Klf1	chr8	71665704	71665714	-	0.000	0.000	Merged-chr8-71665590-47
NR28931--MA0599.1.KLF5	chr17	25222286	25222295	+	0.000	0.000	Merged-chr17-25222539-87
NR60677--MA1107.1.KLF9	chr7	98469233	98469245	+	0.000	0.000	Merged-chr7-98469350-12
NR12263--MA0599.1.KLF5	chr11	101009388	101009397	-	0.000	0.000	Merged-chr11-101009406-46
NR61889--MA0599.1.KLF5	chr7	141215715	141215724	-	0.000	0.000	Merged-chr7-141215830-56
NR26120--MA0741.1.KLF16	chr16	20622574	20622584	-	0.000	0.000	Merged-chr16-20622479-9
NR9684--MA0740.1.KLF14	chr11	4186703	4186716	-	0.000	0.000	Merged-chr11-4186832-60
NR69493--MA0599.1.KLF5	chrX	152016301	152016310	-	0.000	0.000	Merged-chrX-152016475-78
NR12469--MA0599.1.KLF5	chr11	106674719	106674728	-	0.000	0.000	Merged-chr11-106674818-63
NR21129--MA0741.1.KLF16	chr14	61556963	61556973	-	0.000	0.000	Merged-chr14-61556804-76
NR11842--MA0741.1.KLF16	chr11	94601904	94601914	-	0.000	0.000	Merged-chr11-94601858-52
NR43662--MA1107.1.KLF9	chr3	128088205	128088217	+	0.000	0.000	Merged-chr3-128088433-16
NR57437--MA0740.1.KLF14	chr6	137754511	137754524	-	0.000	0.000	Merged-chr6-137754640-54
NR37406--MA0599.1.KLF5	chr2	79180831	79180840	+	0.000	0.000	Merged-chr2-79180935-23
NR2889--MA0741.1.KLF16	chr1	132417544	132417554	-	0.000	0.000	Merged-chr1-132417659-59
NR10611--MA0493.1.Klf1	chr11	53567353	53567363	-	0.000	0.000	Merged-chr11-53567481-45
NR37104--MA0741.1.KLF16	chr2	69723112	69723122	-	0.000	0.000	Merged-chr2-69723038-83
NR52788--MA0742.1.Klf12	chr5	124352286	124352300	-	0.000	0.000	Merged-chr5-124352404-43
NR39697--MA0493.1.Klf1	chr2	160873051	160873061	+	0.000	0.000	Merged-chr2-160872923-80
NR67976--MA0599.1.KLF5	chr9	108783785	108783794	-	0.000	0.000	Merged-chr9-108783844-54
NR53419--MA0039.3.KLF4	chr5	137721049	137721059	+	0.000	0.000	Merged-chr5-137721139-55
NR49964--MA1107.1.KLF9	chr5	24685861	24685873	+	0.000	0.000	Merged-chr5-24685796-115
NR61101--MA0599.1.KLF5	chr7	114276178	114276187	-	0.000	0.000	Merged-chr7-114276213-86
NR16227--MA0039.3.KLF4	chr13	13531063	13531073	-	0.000	0.000	Merged-chr13-13531086-27
NR12348--MA0741.1.KLF16	chr11	102467222	102467232	-	0.000	0.000	Merged-chr11-102467251-44
NR20875--MA0741.1.KLF16	chr14	54464115	54464125	-	0.000	0.000	Merged-chr14-54464203-140
NR41254--MA1107.1.KLF9	chr3	36475724	36475736	+	0.000	0.000	Merged-chr3-36475795-73
NR48385--MA0740.1.KLF14	chr4	135273031	135273044	-	0.000	0.000	Merged-chr4-135272795-85
NR53358--MA0657.1.KLF13	chr5	137032885	137032902	+	0.000	0.000	Merged-chr5-137032758-64
NR64908--MA0599.1.KLF5	chr8	115234221	115234230	-	0.000	0.000	Merged-chr8-115234193-65
NR15930--MA0741.1.KLF16	chr13	6648788	6648798	+	0.000	0.000	Merged-chr13-6648891-51
NR33839--MA0599.1.KLF5	chr19	5024023	5024032	-	0.000	0.000	Merged-chr19-5024003-73
NR47011--MA0599.1.KLF5	chr4	88033143	88033152	+	0.000	0.000	Merged-chr4-88033206-92
NR58929--MA0740.1.KLF14	chr7	29211551	29211564	+	0.000	0.000	Merged-chr7-29211529-84
NR38801--MA0741.1.KLF16	chr2	132511675	132511685	-	0.000	0.000	Merged-chr2-132511544-14
NR28052--MA0741.1.KLF16	chr16	95821066	95821076	-	0.000	0.000	Merged-chr16-95821218-29
NR30013--MA1107.1.KLF9	chr17	56350991	56351003	-	0.000	0.000	Merged-chr17-56350875-30
NR56876--MA0742.1.Klf12	chr6	120916865	120916879	+	0.000	0.000	Merged-chr6-120916830-68
