#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR7425--MA0740.1.KLF14	chr10	84534059	84534072	+	0.000	0.000	Merged-chr10-84533973-56
NR10065--MA0599.1.KLF5	chr11	50785953	50785962	+	0.000	0.000	Merged-chr11-50786141-3
NR19435--MA0740.1.KLF14	chr14	20803632	20803645	+	0.000	0.000	Merged-chr14-20803678-27
NR590--MA0741.1.KLF16	chr1	40400001	40400011	+	0.000	0.000	Merged-chr1-40399864-38
NR46439--MA1107.1.KLF9	chr4	101235216	101235228	+	0.000	0.000	Merged-chr4-101235092-24
NR49835--MA0599.1.KLF5	chr5	30647882	30647891	-	0.000	0.000	Merged-chr5-30648005-55
NR13737--MA0493.1.Klf1	chr12	25266909	25266919	-	0.000	0.000	Merged-chr12-25266933-26
NR17360--MA0741.1.KLF16	chr13	63567789	63567799	-	0.000	0.000	Merged-chr13-63568018-54
NR46224--MA1107.1.KLF9	chr4	87669660	87669672	+	0.000	0.000	Merged-chr4-87669731-33
NR22284--MA0599.1.KLF5	chr15	6624691	6624700	-	0.000	0.000	Merged-chr15-6625020-114
NR12369--MA0741.1.KLF16	chr11	103382152	103382162	+	0.000	0.000	Merged-chr11-103382133-47
NR27589--MA1107.1.KLF9	chr17	8372447	8372459	+	0.000	0.000	Merged-chr17-8372379-108
NR71211--MA0493.1.Klf1	chr9	118196828	118196838	-	0.000	0.000	Merged-chr9-118196833-13
NR41421--MA0741.1.KLF16	chr3	79129232	79129242	-	0.000	0.000	Merged-chr3-79129160-12
NR72196--MA0740.1.KLF14	chrX	73921995	73922008	-	0.000	0.000	Merged-chrX-73921958-51
NR46429--MA0741.1.KLF16	chr4	101235199	101235209	+	0.000	0.000	Merged-chr4-101235092-24
NR5815--MA0493.1.Klf1	chr10	42934813	42934823	-	0.000	0.000	Merged-chr10-42934777-29
NR26393--MA0741.1.KLF16	chr16	59639196	59639206	+	0.000	0.000	Merged-chr16-59639250-60
NR13400--MA0741.1.KLF16	chr12	8496540	8496550	-	0.000	0.000	Merged-chr12-8496481-10
NR51907--MA0493.1.Klf1	chr5	111298867	111298877	-	0.000	0.000	Merged-chr5-111298964-4
NR36276--MA0657.1.KLF13	chr2	58194694	58194711	-	0.000	0.000	Merged-chr2-58194790-46
NR60390--MA0741.1.KLF16	chr7	45341578	45341588	+	0.000	0.000	Merged-chr7-45341468-34
NR22050--MA1107.1.KLF9	chr14	120830492	120830504	-	0.000	0.000	Merged-chr14-120830600-27
NR52134--MA0741.1.KLF16	chr5	114380506	114380516	-	0.000	0.000	Merged-chr5-114380529-85
NR11588--MA1107.1.KLF9	chr11	88162130	88162142	+	0.000	0.000	Merged-chr11-88161947-43
NR23548--MA0493.1.Klf1	chr15	76639949	76639959	+	0.000	0.000	Merged-chr15-76639801-70
NR31220--MA0599.1.KLF5	chr18	34855239	34855248	+	0.000	0.000	Merged-chr18-34855284-104
NR1207--MA0742.1.Klf12	chr1	74601423	74601437	-	0.000	0.000	Merged-chr1-74601351-54
NR57102--MA0039.3.KLF4	chr6	116682494	116682504	-	0.000	0.000	Merged-chr6-116682504-22
NR68469--MA1107.1.KLF9	chr9	44646140	44646152	-	0.000	0.000	Merged-chr9-44646194-52
NR37377--MA0741.1.KLF16	chr2	102850114	102850124	+	0.000	0.000	Merged-chr2-102849968-21
NR909--MA0599.1.KLF5	chr1	60409495	60409504	-	0.000	0.000	Merged-chr1-60409634-93
NR10266--MA0493.1.Klf1	chr11	55097986	55097996	-	0.000	0.000	Merged-chr11-55097968-86
NR52000--MA0742.1.Klf12	chr5	112319581	112319595	+	0.000	0.000	Merged-chr5-112319581-13
NR56917--MA1107.1.KLF9	chr6	112162855	112162867	+	0.000	0.000	Merged-chr6-112162678-1
NR42664--MA0742.1.Klf12	chr3	109407796	109407810	-	0.000	0.000	Merged-chr3-109408017-19
NR47780--MA0493.1.Klf1	chr4	133631555	133631565	-	0.000	0.000	Merged-chr4-133631611-28
NR34812--MA0599.1.KLF5	chr2	9879650	9879659	-	0.000	0.000	Merged-chr2-9879570-49
NR40249--MA1107.1.KLF9	chr2	180251485	180251497	-	0.000	0.000	Merged-chr2-180251419-35
NR1008--MA0493.1.Klf1	chr1	65186644	65186654	-	0.000	0.000	Merged-chr1-65186701-72
NR20753--MA0741.1.KLF16	chr14	66232447	66232457	-	0.000	0.000	Merged-chr14-66232261-58
NR4878--MA0599.1.KLF5	chr1	192138064	192138073	+	0.000	0.000	Merged-chr1-192138254-59
NR10923--MA0039.3.KLF4	chr11	72342369	72342379	-	0.000	0.000	Merged-chr11-72342522-29
NR12012--MA0599.1.KLF5	chr11	98458040	98458049	-	0.000	0.000	Merged-chr11-98457960-97
NR59994--MA0741.1.KLF16	chr7	31127064	31127074	-	0.000	0.000	Merged-chr7-31127148-49
NR64472--MA1107.1.KLF9	chr8	26698688	26698700	-	0.000	0.000	Merged-chr8-26698799-12
NR15943--MA1107.1.KLF9	chr12	115008589	115008601	+	0.000	0.000	Merged-chr12-115008718-17
NR62659--MA0741.1.KLF16	chr7	123369922	123369932	+	0.000	0.000	Merged-chr7-123369750-97
NR28778--MA0493.1.Klf1	chr17	35197378	35197388	+	0.000	0.000	Merged-chr17-35197339-8
NR65406--MA0493.1.Klf1	chr8	71382073	71382083	-	0.000	0.000	Merged-chr8-71381982-56
NR22038--MA0599.1.KLF5	chr14	120520132	120520141	+	0.000	0.000	Merged-chr14-120520145-25
NR55763--MA0741.1.KLF16	chr6	66535291	66535301	-	0.000	0.000	Merged-chr6-66535397-73
NR28698--MA0599.1.KLF5	chr17	34879644	34879653	-	0.000	0.000	Merged-chr17-34879793-28
NR47507--MA0741.1.KLF16	chr4	129742515	129742525	+	0.000	0.000	Merged-chr4-129742411-67
NR59552--MA0599.1.KLF5	chr7	25683637	25683646	-	0.000	0.000	Merged-chr7-25683734-21
NR52523--MA0742.1.Klf12	chr5	122548896	122548910	-	0.000	0.000	Merged-chr5-122548864-15
NR42418--MA0740.1.KLF14	chr3	103102646	103102659	-	0.000	0.000	Merged-chr3-103102606-96
NR44604--MA1107.1.KLF9	chr4	14922363	14922375	-	0.000	0.000	Merged-chr4-14922203-28
NR65111--MA0599.1.KLF5	chr8	64947110	64947119	+	0.000	0.000	Merged-chr8-64947122-116
NR63338--MA0740.1.KLF14	chr7	135598565	135598578	+	0.000	0.000	Merged-chr7-135598633-32
NR43210--MA0741.1.KLF16	chr3	129831343	129831353	+	0.000	0.000	Merged-chr3-129831268-81
NR22705--MA0599.1.KLF5	chr15	38199892	38199901	+	0.000	0.000	Merged-chr15-38199755-22
NR12749--MA0741.1.KLF16	chr11	113787647	113787657	+	0.000	0.000	Merged-chr11-113787671-26
NR28182--MA0741.1.KLF16	chr17	26885319	26885329	-	0.000	0.000	Merged-chr17-26885199-21
NR6441--MA0741.1.KLF16	chr10	68136635	68136645	+	0.000	0.000	Merged-chr10-68136775-17
NR61839--MA0493.1.Klf1	chr7	102315702	102315712	-	0.000	0.000	Merged-chr7-102315597-18
NR46267--MA0741.1.KLF16	chr4	89169051	89169061	-	0.000	0.000	Merged-chr4-89169046-30
NR21036--MA0039.3.KLF4	chr14	74835110	74835120	+	0.000	0.000	Merged-chr14-74835162-39
NR28453--MA0741.1.KLF16	chr17	29500858	29500868	-	0.000	0.000	Merged-chr17-29500871-30
NR69138--MA0741.1.KLF16	chr9	64023084	64023094	+	0.000	0.000	Merged-chr9-64023001-53
NR39132--MA1107.1.KLF9	chr2	156196681	156196693	-	0.000	0.000	Merged-chr2-156196758-68
NR24432--MA0493.1.Klf1	chr15	94255127	94255137	+	0.000	0.000	Merged-chr15-94255177-46
NR6825--MA0599.1.KLF5	chr10	77522617	77522626	-	0.000	0.000	Merged-chr10-77522522-50
NR67034--MA0039.3.KLF4	chr8	119927824	119927834	+	0.000	0.000	Merged-chr8-119927830-10
NR55084--MA1107.1.KLF9	chr6	39259199	39259211	+	0.000	0.000	Merged-chr6-39259095-61
NR56161--MA0493.1.Klf1	chr6	86777972	86777982	+	0.000	0.000	Merged-chr6-86778019-10
NR57300--MA0741.1.KLF16	chr6	120836853	120836863	+	0.000	0.000	Merged-chr6-120836708-1
NR11353--MA0741.1.KLF16	chr11	80089398	80089408	+	0.000	0.000	Merged-chr11-80089472-35
NR39437--MA0741.1.KLF16	chr2	163017191	163017201	-	0.000	0.000	Merged-chr2-163017241-71
NR33185--MA0599.1.KLF5	chr19	7294696	7294705	-	0.000	0.000	Merged-chr19-7294791-1
NR18784--MA0599.1.KLF5	chr13	113031870	113031879	-	0.000	0.000	Merged-chr13-113031920-44
NR24222--MA0741.1.KLF16	chr15	88891198	88891208	+	0.000	0.000	Merged-chr15-88891268-100
NR50260--MA0740.1.KLF14	chr5	44971073	44971086	+	0.000	0.000	Merged-chr5-44970910-1
NR16686--MA0657.1.KLF13	chr13	41373053	41373070	+	0.000	0.000	Merged-chr13-41373067-52
NR40365--MA0039.3.KLF4	chr3	10013167	10013177	-	0.000	0.000	Merged-chr3-10012893-114
NR65876--MA0493.1.Klf1	chr8	84686727	84686737	-	0.000	0.000	Merged-chr8-84686915-1
NR2601--MA0657.1.KLF13	chr1	135105255	135105272	+	0.000	0.000	Merged-chr1-135105235-19
NR51033--MA0039.3.KLF4	chr5	77092011	77092021	-	0.000	0.000	Merged-chr5-77092081-48
NR17992--MA0741.1.KLF16	chr13	94567545	94567555	-	0.000	0.000	Merged-chr13-94567668-9
NR39969--MA0742.1.Klf12	chr2	173036664	173036678	-	0.000	0.000	Merged-chr2-173036738-9
NR18765--MA1107.1.KLF9	chr13	112824335	112824347	+	0.000	0.000	Merged-chr13-112824318-13
NR13317--MA0599.1.KLF5	chr11	121388260	121388269	+	0.000	0.000	Merged-chr11-121388378-24
NR10384--MA0741.1.KLF16	chr11	58994647	58994657	-	0.000	0.000	Merged-chr11-58994584-23
NR5133--MA0742.1.Klf12	chr10	7780925	7780939	-	0.000	0.000	Merged-chr10-7780858-76
NR60472--MA0599.1.KLF5	chr7	46033783	46033792	-	0.000	0.000	Merged-chr7-46033779-50
NR36419--MA0599.1.KLF5	chr2	65104848	65104857	-	0.000	0.000	Merged-chr2-65104683-25
NR11943--MA0599.1.KLF5	chr11	97685761	97685770	-	0.000	0.000	Merged-chr11-97685725-37
NR44716--MA1107.1.KLF9	chr4	21766642	21766654	-	0.000	0.000	Merged-chr4-21766998-60
NR55285--MA0039.3.KLF4	chr6	48706254	48706264	+	0.000	0.000	Merged-chr6-48706289-36
NR11391--MA1107.1.KLF9	chr11	82183397	82183409	+	0.000	0.000	Merged-chr11-82183511-55
NR45928--MA0599.1.KLF5	chr4	65605074	65605083	-	0.000	0.000	Merged-chr4-65605051-78
NR40008--MA0493.1.Klf1	chr2	173377707	173377717	-	0.000	0.000	Merged-chr2-173377859-39
NR21097--MA0741.1.KLF16	chr14	75892275	75892285	-	0.000	0.000	Merged-chr14-75892464-20
NR64719--MA0741.1.KLF16	chr8	40963171	40963181	-	0.000	0.000	Merged-chr8-40963134-88
NR15258--MA0742.1.Klf12	chr12	101018070	101018084	+	0.000	0.000	Merged-chr12-101018139-51
NR45713--MA0599.1.KLF5	chr4	59626167	59626176	+	0.000	0.000	Merged-chr4-59626281-68
NR52766--MA0741.1.KLF16	chr5	125177797	125177807	+	0.000	0.000	Merged-chr5-125177908-37
NR47550--MA0741.1.KLF16	chr4	130017255	130017265	+	0.000	0.000	Merged-chr4-130017376-16
NR44269--MA0493.1.Klf1	chr3	154628323	154628333	+	0.000	0.000	Merged-chr3-154628476-23
NR41334--MA0039.3.KLF4	chr3	68763113	68763123	+	0.000	0.000	Merged-chr3-68763187-8
NR47821--MA0741.1.KLF16	chr4	134117230	134117240	+	0.000	0.000	Merged-chr4-134117148-42
NR70363--MA0493.1.Klf1	chr9	99479260	99479270	-	0.000	0.000	Merged-chr9-99479335-46
NR12245--MA0599.1.KLF5	chr11	101468165	101468174	-	0.000	0.000	Merged-chr11-101468029-46
NR68600--MA0599.1.KLF5	chr9	48795124	48795133	-	0.000	0.000	Merged-chr9-48795268-19
NR42013--MA0657.1.KLF13	chr3	95650860	95650877	-	0.000	0.000	Merged-chr3-95650788-36
NR37138--MA0741.1.KLF16	chr2	93192861	93192871	+	0.000	0.000	Merged-chr2-93192660-66
NR12030--MA0599.1.KLF5	chr11	98587421	98587430	+	0.000	0.000	Merged-chr11-98587314-62
NR594--MA0039.3.KLF4	chr1	40465605	40465615	-	0.000	0.000	Merged-chr1-40465740-44
NR50681--MA0742.1.Klf12	chr5	64864850	64864864	+	0.000	0.000	Merged-chr5-64864889-25
NR28218--MA1107.1.KLF9	chr17	27133988	27134000	+	0.000	0.000	Merged-chr17-27133890-64
NR68861--MA0657.1.KLF13	chr9	56418261	56418278	+	0.000	0.000	Merged-chr9-56418111-4
NR5758--MA0740.1.KLF14	chr10	42018380	42018393	-	0.000	0.000	Merged-chr10-42018378-38
NR12284--MA0740.1.KLF14	chr11	102309137	102309150	-	0.000	0.000	Merged-chr11-102309316-55
NR1613--MA0599.1.KLF5	chr1	88708225	88708234	+	0.000	0.000	Merged-chr1-88708373-21
NR56193--MA0599.1.KLF5	chr6	87590778	87590787	+	0.000	0.000	Merged-chr6-87590737-28
NR39473--MA0493.1.Klf1	chr2	163750236	163750246	+	0.000	0.000	Merged-chr2-163750187-67
NR33112--MA0741.1.KLF16	chr19	6306510	6306520	-	0.000	0.000	Merged-chr19-6306556-54
NR68492--MA0493.1.Klf1	chr9	44799307	44799317	+	0.000	0.000	Merged-chr9-44799443-51
NR36683--MA0599.1.KLF5	chr2	73540605	73540614	-	0.000	0.000	Merged-chr2-73540763-38
NR5198--MA0599.1.KLF5	chr10	11149366	11149375	-	0.000	0.000	Merged-chr10-11149591-75
NR23473--MA0740.1.KLF14	chr15	75894412	75894425	+	0.000	0.000	Merged-chr15-75894455-46
NR11253--MA0493.1.Klf1	chr11	78690774	78690784	+	0.000	0.000	Merged-chr11-78690691-3
NR29000--MA0599.1.KLF5	chr17	44079046	44079055	-	0.000	0.000	Merged-chr17-44078849-42
NR47690--MA1107.1.KLF9	chr4	132783898	132783910	-	0.000	0.000	Merged-chr4-132783946-19
NR54698--MA0741.1.KLF16	chr6	22424212	22424222	+	0.000	0.000	Merged-chr6-22424289-78
NR33503--MA0657.1.KLF13	chr19	22915934	22915951	-	0.000	0.000	Merged-chr19-22916033-24
NR7915--MA0599.1.KLF5	chr10	99107163	99107172	+	0.000	0.000	Merged-chr10-99107143-4
NR70881--MA0741.1.KLF16	chr9	111275333	111275343	+	0.000	0.000	Merged-chr9-111275276-5
NR913--MA0493.1.Klf1	chr1	60566750	60566760	-	0.000	0.000	Merged-chr1-60566654-83
NR1290--MA0493.1.Klf1	chr1	75487846	75487856	+	0.000	0.000	Merged-chr1-75487610-71
NR34275--MA0599.1.KLF5	chr19	53142405	53142414	-	0.000	0.000	Merged-chr19-53142483-91
NR47597--MA0741.1.KLF16	chr4	130913176	130913186	+	0.000	0.000	Merged-chr4-130913209-32
NR7327--MA0741.1.KLF16	chr10	81606092	81606102	+	0.000	0.000	Merged-chr10-81606133-64
NR58000--MA1107.1.KLF9	chr6	135150454	135150466	-	0.000	0.000	Merged-chr6-135150450-14
NR16263--MA1107.1.KLF9	chr13	17993398	17993410	-	0.000	0.000	Merged-chr13-17993273-57
NR61990--MA0039.3.KLF4	chr7	109021671	109021681	-	0.000	0.000	Merged-chr7-109021609-50
NR9--MA0741.1.KLF16	chr1	4496536	4496546	-	0.000	0.000	Merged-chr1-4496602-47
NR14765--MA0599.1.KLF5	chr12	82187388	82187397	+	0.000	0.000	Merged-chr12-82187311-20
NR43784--MA0599.1.KLF5	chr3	144720483	144720492	-	0.000	0.000	Merged-chr3-144720507-6
NR59212--MA0599.1.KLF5	chr7	19149330	19149339	+	0.000	0.000	Merged-chr7-19149446-69
NR25433--MA0599.1.KLF5	chr16	17177860	17177869	+	0.000	0.000	Merged-chr16-17177816-6
NR45251--MA0741.1.KLF16	chr4	45342149	45342159	-	0.000	0.000	Merged-chr4-45342285-81
NR36655--MA1107.1.KLF9	chr2	72997220	72997232	-	0.000	0.000	Merged-chr2-72997142-44
NR14124--MA0741.1.KLF16	chr12	52503832	52503842	-	0.000	0.000	Merged-chr12-52504054-125
NR39026--MA0599.1.KLF5	chr2	153278559	153278568	+	0.000	0.000	Merged-chr2-153278581-35
NR66171--MA0741.1.KLF16	chr8	94447719	94447729	-	0.000	0.000	Merged-chr8-94447653-43
NR21199--MA0599.1.KLF5	chr14	79530367	79530376	-	0.000	0.000	Merged-chr14-79530350-57
NR14758--MA0740.1.KLF14	chr12	82166461	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR16930--MA1107.1.KLF9	chr13	51726391	51726403	-	0.000	0.000	Merged-chr13-51726299-41
NR20495--MA0741.1.KLF16	chr14	57684857	57684867	-	0.000	0.000	Merged-chr14-57684714-16
NR66671--MA0599.1.KLF5	chr8	111094542	111094551	-	0.000	0.000	Merged-chr8-111094698-82
NR43366--MA0741.1.KLF16	chr3	132684249	132684259	-	0.000	0.000	Merged-chr3-132684136-80
NR6843--MA0599.1.KLF5	chr10	77606455	77606464	+	0.000	0.000	Merged-chr10-77606503-166
NR65316--MA1107.1.KLF9	chr8	70594431	70594443	+	0.000	0.000	Merged-chr8-70594498-62
NR851--MA0657.1.KLF13	chr1	58797423	58797440	+	0.000	0.000	Merged-chr1-58797535-46
NR52598--MA1107.1.KLF9	chr5	123512320	123512332	+	0.000	0.000	Merged-chr5-123512374-9
NR10461--MA0740.1.KLF14	chr11	60727258	60727271	+	0.000	0.000	Merged-chr11-60727194-59
NR66508--MA0741.1.KLF16	chr8	106054373	106054383	-	0.000	0.000	Merged-chr8-106054451-60
NR26289--MA1107.1.KLF9	chr16	55526628	55526640	-	0.000	0.000	Merged-chr16-55526472-43
NR49871--MA0599.1.KLF5	chr5	31179976	31179985	+	0.000	0.000	Merged-chr5-31180015-78
NR52720--MA0599.1.KLF5	chr5	124729838	124729847	+	0.000	0.000	Merged-chr5-124729814-15
NR10983--MA0599.1.KLF5	chr11	74649312	74649321	+	0.000	0.000	Merged-chr11-74649428-59
NR26074--MA1107.1.KLF9	chr16	44140732	44140744	-	0.000	0.000	Merged-chr16-44140552-3
NR9161--MA0740.1.KLF14	chr11	4186703	4186716	-	0.000	0.000	Merged-chr11-4186832-60
NR41823--MA0742.1.Klf12	chr3	90514930	90514944	-	0.000	0.000	Merged-chr3-90514906-78
NR50053--MA0741.1.KLF16	chr5	35893448	35893458	+	0.000	0.000	Merged-chr5-35893424-58
NR24378--MA0741.1.KLF16	chr15	93375911	93375921	-	0.000	0.000	Merged-chr15-93375803-4
NR65236--MA0740.1.KLF14	chr8	70072680	70072693	-	0.000	0.000	Merged-chr8-70072773-24
NR24649--MA0741.1.KLF16	chr15	98793346	98793356	+	0.000	0.000	Merged-chr15-98793364-7
NR70704--MA0599.1.KLF5	chr9	107985993	107986002	+	0.000	0.000	Merged-chr9-107985898-91
NR16588--MA0742.1.Klf12	chr13	37562808	37562822	-	0.000	0.000	Merged-chr13-37562796-8
NR7126--MA1107.1.KLF9	chr10	80656766	80656778	-	0.000	0.000	Merged-chr10-80656566-55
NR56071--MA1107.1.KLF9	chr6	85037786	85037798	-	0.000	0.000	Merged-chr6-85037843-26
NR59404--MA0493.1.Klf1	chr7	24413742	24413752	+	0.000	0.000	Merged-chr7-24413787-50
NR20623--MA0741.1.KLF16	chr14	61556774	61556784	-	0.000	0.000	Merged-chr14-61556804-76
NR25545--MA0599.1.KLF5	chr16	20672722	20672731	+	0.000	0.000	Merged-chr16-20672939-74
NR56931--MA0740.1.KLF14	chr6	113326750	113326763	+	0.000	0.000	Merged-chr6-113326896-63
NR16918--MA0599.1.KLF5	chr13	51685365	51685374	-	0.000	0.000	Merged-chr13-51685389-6
NR28255--MA0599.1.KLF5	chr17	27826228	27826237	-	0.000	0.000	Merged-chr17-27826379-77
NR48780--MA1107.1.KLF9	chr4	150138195	150138207	-	0.000	0.000	Merged-chr4-150138254-13
NR46453--MA0740.1.KLF14	chr4	101419686	101419699	-	0.000	0.000	Merged-chr4-101419713-70
NR8329--MA0599.1.KLF5	chr10	117118630	117118639	-	0.000	0.000	Merged-chr10-117118585-40
NR28594--MA1107.1.KLF9	chr17	32993463	32993475	-	0.000	0.000	Merged-chr17-32993236-53
NR40828--MA0599.1.KLF5	chr3	37419838	37419847	+	0.000	0.000	Merged-chr3-37419954-169
NR67379--MA0039.3.KLF4	chr8	124897732	124897742	+	0.000	0.000	Merged-chr8-124897564-132
NR23485--MA1107.1.KLF9	chr15	75929910	75929922	-	0.000	0.000	Merged-chr15-75929724-50
NR61754--MA0493.1.Klf1	chr7	101012085	101012095	-	0.000	0.000	Merged-chr7-101011923-30
NR20560--MA1107.1.KLF9	chr14	59397080	59397092	-	0.000	0.000	Merged-chr14-59397210-50
NR29591--MA0599.1.KLF5	chr17	57080112	57080121	-	0.000	0.000	Merged-chr17-57080070-15
NR54206--MA0599.1.KLF5	chr5	147431252	147431261	-	0.000	0.000	Merged-chr5-147431237-9
NR17014--MA0599.1.KLF5	chr13	54590186	54590195	+	0.000	0.000	Merged-chr13-54590326-80
NR37406--MA0599.1.KLF5	chr2	103703495	103703504	-	0.000	0.000	Merged-chr2-103703560-39
NR52146--MA1107.1.KLF9	chr5	114444268	114444280	+	0.000	0.000	Merged-chr5-114444156-63
NR53223--MA0493.1.Klf1	chr5	134393838	134393848	-	0.000	0.000	Merged-chr5-134393835-14
NR68897--MA0741.1.KLF16	chr9	57633795	57633805	+	0.000	0.000	Merged-chr9-57633729-59
NR7051--MA0599.1.KLF5	chr10	80387691	80387700	+	0.000	0.000	Merged-chr10-80387709-52
NR45155--MA0741.1.KLF16	chr4	43479612	43479622	-	0.000	0.000	Merged-chr4-43479477-7
NR28903--MA1107.1.KLF9	chr17	36020880	36020892	-	0.000	0.000	Merged-chr17-36020745-74
NR62722--MA0039.3.KLF4	chr7	126230480	126230490	-	0.000	0.000	Merged-chr7-126230639-34
NR29778--MA1107.1.KLF9	chr17	65819436	65819448	+	0.000	0.000	Merged-chr17-65819307-6
NR25785--MA0740.1.KLF14	chr16	32608932	32608945	-	0.000	0.000	Merged-chr16-32609068-64
NR29900--MA0599.1.KLF5	chr17	70990567	70990576	-	0.000	0.000	Merged-chr17-70990523-86
NR25746--MA0493.1.Klf1	chr16	31429647	31429657	-	0.000	0.000	Merged-chr16-31429450-123
NR41795--MA0741.1.KLF16	chr3	90052823	90052833	-	0.000	0.000	Merged-chr3-90052542-109
NR64000--MA0741.1.KLF16	chr8	8685654	8685664	-	0.000	0.000	Merged-chr8-8685770-4
NR13571--MA1107.1.KLF9	chr12	16805619	16805631	+	0.000	0.000	Merged-chr12-16805664-28
NR28241--MA0493.1.Klf1	chr17	27564908	27564918	-	0.000	0.000	Merged-chr17-27564806-2,Merged-chr17-27565038-1
NR34005--MA0039.3.KLF4	chr19	43809536	43809546	+	0.000	0.000	Merged-chr19-43809499-23
NR65353--MA0599.1.KLF5	chr8	70700683	70700692	+	0.000	0.000	Merged-chr8-70700782-34
NR36769--MA0740.1.KLF14	chr2	75965079	75965092	+	0.000	0.000	Merged-chr2-75964949-43
NR52151--MA0493.1.Klf1	chr5	114639608	114639618	-	0.000	0.000	Merged-chr5-114639574-38
NR57180--MA0599.1.KLF5	chr6	119199111	119199120	+	0.000	0.000	Merged-chr6-119199024-52
NR59775--MA1107.1.KLF9	chr7	28866203	28866215	-	0.000	0.000	Merged-chr7-28866044-60
NR16707--MA0741.1.KLF16	chr13	42049191	42049201	-	0.000	0.000	Merged-chr13-42049130-34
NR55057--MA0039.3.KLF4	chr6	38789653	38789663	+	0.000	0.000	Merged-chr6-38789563-52
NR55067--MA0493.1.Klf1	chr6	38810071	38810081	+	0.000	0.000	Merged-chr6-38810070-95
NR67080--MA0493.1.Klf1	chr8	120319625	120319635	-	0.000	0.000	Merged-chr8-120319667-36
NR63836--MA0599.1.KLF5	chr7	143549141	143549150	+	0.000	0.000	Merged-chr7-143549269-5
NR3250--MA1107.1.KLF9	chr1	155784555	155784567	-	0.000	0.000	Merged-chr1-155784753-78
NR5137--MA0741.1.KLF16	chr10	7780923	7780933	-	0.000	0.000	Merged-chr10-7780858-76
NR17591--MA0741.1.KLF16	chr13	73328642	73328652	-	0.000	0.000	Merged-chr13-73328542-55
NR9777--MA0599.1.KLF5	chr11	32542890	32542899	-	0.000	0.000	Merged-chr11-32542755-79
NR63960--MA1107.1.KLF9	chr8	4250694	4250706	+	0.000	0.000	Merged-chr8-4250741-13
NR887--MA0741.1.KLF16	chr1	59763503	59763513	-	0.000	0.000	Merged-chr1-59763258-134
NR58818--MA0741.1.KLF16	chr7	4777043	4777053	-	0.000	0.000	Merged-chr7-4777194-35
NR65309--MA0742.1.Klf12	chr8	70594431	70594445	+	0.000	0.000	Merged-chr8-70594498-62
NR68926--MA1107.1.KLF9	chr9	57956931	57956943	-	0.000	0.000	Merged-chr9-57956974-45
NR32891--MA1107.1.KLF9	chr19	4125963	4125975	-	0.000	0.000	Merged-chr19-4125952-62
NR66203--MA0741.1.KLF16	chr8	95349076	95349086	-	0.000	0.000	Merged-chr8-95348986-27
