#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR1612--MA0463.1.Bcl6	chr6	100217062	100217075	-	0.000	0.000	Merged-chr6-100217124-1
NR1939--MA0463.1.Bcl6	chr9	46120161	46120174	-	0.000	0.000	Merged-chr9-46120159-27
NR1630--MA0463.1.Bcl6	chr6	120470859	120470872	+	0.000	0.000	Merged-chr6-120470872-38
NR1863--MA0463.1.Bcl6	chr8	90828934	90828947	+	0.000	0.000	Merged-chr8-90828979-56
NR716--MA0463.1.Bcl6	chr15	79031011	79031024	+	0.000	0.000	Merged-chr15-79030827-43
NR1402--MA0463.1.Bcl6	chr4	136082046	136082059	-	0.000	0.000	Merged-chr4-136081901-45
NR622--MA0463.1.Bcl6	chr14	57571406	57571419	-	0.000	0.000	Merged-chr14-57571249-1
NR1798--MA0731.1.BCL6B	chr7	139068519	139068535	-	0.000	0.000	Merged-chr7-139068338-42
NR1403--MA0731.1.BCL6B	chr4	138319745	138319761	+	0.000	0.000	Merged-chr4-138319664-19
NR1621--MA0731.1.BCL6B	chr6	113661633	113661649	-	0.000	0.000	Merged-chr6-113661383-125
NR34--MA0731.1.BCL6B	chr1	66279479	66279495	+	0.000	0.000	Merged-chr1-66279555-43
NR882--MA0463.1.Bcl6	chr18	12601058	12601071	-	0.000	0.000	Merged-chr18-12601171-14
NR1525--MA0731.1.BCL6B	chr5	138264029	138264045	-	0.000	0.000	Merged-chr5-138263904-55
NR1995--MA0731.1.BCL6B	chr9	89842701	89842717	+	0.000	0.000	Merged-chr9-89842601-13
NR1581--MA0731.1.BCL6B	chr6	54736117	54736133	-	0.000	0.000	Merged-chr6-54736156-4
NR4--MA0463.1.Bcl6	chr1	20740783	20740796	+	0.000	0.000	Merged-chr1-20740658-39
NR1573--MA0463.1.Bcl6	chr6	37564211	37564224	-	0.000	0.000	Merged-chr6-37564158-19
NR999--MA0463.1.Bcl6	chr2	18046848	18046861	+	0.000	0.000	Merged-chr2-18046867-13
NR784--MA0463.1.Bcl6	chr16	64757873	64757886	+	0.000	0.000	Merged-chr16-64757779-2
NR1685--MA0463.1.Bcl6	chr7	24593650	24593663	+	0.000	0.000	Merged-chr7-24593848-34
NR1797--MA0463.1.Bcl6	chr7	139068522	139068535	+	0.000	0.000	Merged-chr7-139068338-42
NR1212--MA0731.1.BCL6B	chr3	96563333	96563349	+	0.000	0.000	Merged-chr3-96563377-23
NR1878--MA0731.1.BCL6B	chr8	106973589	106973605	-	0.000	0.000	Merged-chr8-106973584-40
NR1569--MA0463.1.Bcl6	chr6	34497593	34497606	-	0.000	0.000	Merged-chr6-34497714-15
NR574--MA0463.1.Bcl6	chr13	108045820	108045833	+	0.000	0.000	Merged-chr13-108045887-18
NR1368--MA0731.1.BCL6B	chr4	115102016	115102032	-	0.000	0.000	Merged-chr4-115101833-38
NR346--MA0463.1.Bcl6	chr11	103344789	103344802	+	0.000	0.000	Merged-chr11-103344829-56
NR1063--MA0731.1.BCL6B	chr2	90528282	90528298	+	0.000	0.000	Merged-chr2-90528384-23
NR2010--MA0463.1.Bcl6	chr9	106306858	106306871	+	0.000	0.000	Merged-chr9-106306956-36
NR1359--MA0463.1.Bcl6	chr4	107006366	107006379	-	0.000	0.000	Merged-chr4-107006366-21
NR1820--MA0463.1.Bcl6	chr8	25994109	25994122	-	0.000	0.000	Merged-chr8-25994134-53
NR391--MA0731.1.BCL6B	chr12	29291093	29291109	+	0.000	0.000	Merged-chr12-29291093-42
NR1019--MA0463.1.Bcl6	chr2	38926702	38926715	-	0.000	0.000	Merged-chr2-38926558-133
NR2058--MA0731.1.BCL6B	chrX	105710855	105710871	+	0.000	0.000	Merged-chrX-105710929-18
NR382--MA0463.1.Bcl6	chr12	16569145	16569158	-	0.000	0.000	Merged-chr12-16569127-88
NR1390--MA0731.1.BCL6B	chr4	128884559	128884575	+	0.000	0.000	Merged-chr4-128884596-1
NR1294--MA0731.1.BCL6B	chr3	152430961	152430977	+	0.000	0.000	Merged-chr3-152430886-16
NR172--MA0463.1.Bcl6	chr10	21249005	21249018	-	0.000	0.000	Merged-chr10-21248818-14
NR284--MA0463.1.Bcl6	chr11	45875635	45875648	+	0.000	0.000	Merged-chr11-45875730-14
NR1852--MA0463.1.Bcl6	chr8	75071698	75071711	-	0.000	0.000	Merged-chr8-75071889-52
NR396--MA0463.1.Bcl6	chr12	35799455	35799468	-	0.000	0.000	Merged-chr12-35799508-49
NR705--MA0463.1.Bcl6	chr15	67398241	67398254	-	0.000	0.000	Merged-chr15-67398131-20
NR1448--MA0731.1.BCL6B	chr5	33658005	33658021	+	0.000	0.000	Merged-chr5-33658141-114
NR1624--MA0463.1.Bcl6	chr6	116287138	116287151	-	0.000	0.000	Merged-chr6-116287137-8
NR1000--MA0731.1.BCL6B	chr2	18046845	18046861	-	0.000	0.000	Merged-chr2-18046867-13
NR1318--MA0731.1.BCL6B	chr4	47320138	47320154	-	0.000	0.000	Merged-chr4-47319930-54
NR607--MA0463.1.Bcl6	chr14	31215727	31215740	-	0.000	0.000	Merged-chr14-31215684-29
NR509--MA0463.1.Bcl6	chr13	28419070	28419083	+	0.000	0.000	Merged-chr13-28419217-1
NR415--MA0463.1.Bcl6	chr12	70999554	70999567	+	0.000	0.000	Merged-chr12-70999631-61
NR1082--MA0731.1.BCL6B	chr2	112676831	112676847	+	0.000	0.000	Merged-chr2-112676754-32
NR986--MA0731.1.BCL6B	chr19	58064450	58064466	-	0.000	0.000	Merged-chr19-58064356-1
NR1334--MA0463.1.Bcl6	chr4	63854096	63854109	-	0.000	0.000	Merged-chr4-63853989-30
NR1446--MA0463.1.Bcl6	chr5	33657985	33657998	-	0.000	0.000	Merged-chr5-33658141-114
NR1889--MA0731.1.BCL6B	chr8	115496170	115496186	+	0.000	0.000	Merged-chr8-115496222-29
NR1464--MA0463.1.Bcl6	chr5	72161046	72161059	+	0.000	0.000	Merged-chr5-72161207-53
NR317--MA0463.1.Bcl6	chr11	80142037	80142050	+	0.000	0.000	Merged-chr11-80142193-43
NR1003--MA0463.1.Bcl6	chr2	24748164	24748177	+	0.000	0.000	Merged-chr2-24748146-35
NR694--MA0731.1.BCL6B	chr15	50261745	50261761	-	0.000	0.000	Merged-chr15-50261633-22
NR693--MA0463.1.Bcl6	chr15	50261746	50261759	-	0.000	0.000	Merged-chr15-50261633-22
NR869--MA0731.1.BCL6B	chr17	86301247	86301263	+	0.000	0.000	Merged-chr17-86301226-81
NR660--MA0731.1.BCL6B	chr14	103550684	103550700	+	0.000	0.000	Merged-chr14-103550672-31
NR353--MA0463.1.Bcl6	chr11	108210449	108210462	-	0.000	0.000	Merged-chr11-108210462-2
NR1629--MA0731.1.BCL6B	chr6	120077238	120077254	-	0.000	0.000	Merged-chr6-120077232-23
NR913--MA0463.1.Bcl6	chr18	65272282	65272295	+	0.000	0.000	Merged-chr18-65272227-29
NR1805--MA0463.1.Bcl6	chr7	143707007	143707020	-	0.000	0.000	Merged-chr7-143706917-33
NR143--MA0463.1.Bcl6	chr1	180829885	180829898	+	0.000	0.000	Merged-chr1-180830009-39
NR381--MA0731.1.BCL6B	chr12	15941022	15941038	+	0.000	0.000	Merged-chr12-15940918-8
NR1944--MA0463.1.Bcl6	chr9	50849470	50849483	-	0.000	0.000	Merged-chr9-50849449-29
NR1389--MA0463.1.Bcl6	chr4	128884559	128884572	-	0.000	0.000	Merged-chr4-128884596-1
NR291--MA0463.1.Bcl6	chr11	53519878	53519891	-	0.000	0.000	Merged-chr11-53519837-32
NR5--MA0731.1.BCL6B	chr1	20740780	20740796	-	0.000	0.000	Merged-chr1-20740658-39
NR522--MA0731.1.BCL6B	chr13	49449501	49449517	+	0.000	0.000	Merged-chr13-49449603-25
NR1207--MA0731.1.BCL6B	chr3	95135853	95135869	-	0.000	0.000	Merged-chr3-95135773-59
NR1188--MA0731.1.BCL6B	chr3	78890029	78890045	-	0.000	0.000	Merged-chr3-78890015-28
NR2054--MA0463.1.Bcl6	chrX	101222330	101222343	-	0.000	0.000	Merged-chrX-101222420-75
NR1976--MA0463.1.Bcl6	chr9	80332335	80332348	+	0.000	0.000	Merged-chr9-80332405-28
NR33--MA0463.1.Bcl6	chr1	64302961	64302974	+	0.000	0.000	Merged-chr1-64302994-36
NR520--MA0463.1.Bcl6	chr13	48528494	48528507	+	0.000	0.000	Merged-chr13-48528650-27
NR766--MA0731.1.BCL6B	chr16	44394992	44395008	-	0.000	0.000	Merged-chr16-44394866-28
NR753--MA0463.1.Bcl6	chr16	21412734	21412747	-	0.000	0.000	Merged-chr16-21412806-39
NR198--MA0463.1.Bcl6	chr10	75417577	75417590	-	0.000	0.000	Merged-chr10-75417748-37
NR650--MA0463.1.Bcl6	chr14	79532146	79532159	-	0.000	0.000	Merged-chr14-79532340-39
NR190--MA0731.1.BCL6B	chr10	61276009	61276025	+	0.000	0.000	Merged-chr10-61275935-46
NR365--MA0731.1.BCL6B	chr11	116087139	116087155	-	0.000	0.000	Merged-chr11-116087308-88
NR1211--MA0463.1.Bcl6	chr3	95722519	95722532	-	0.000	0.000	Merged-chr3-95722546-39
NR1417--MA0463.1.Bcl6	chr4	152115981	152115994	-	0.000	0.000	Merged-chr4-152116111-49
NR745--MA0731.1.BCL6B	chr16	11577837	11577853	+	0.000	0.000	Merged-chr16-11577786-44
NR1341--MA0463.1.Bcl6	chr4	88179562	88179575	-	0.000	0.000	Merged-chr4-88179548-21
NR879--MA0463.1.Bcl6	chr18	7703639	7703652	+	0.000	0.000	Merged-chr18-7703691-3
NR453--MA0731.1.BCL6B	chr12	111406845	111406861	-	0.000	0.000	Merged-chr12-111406868-16
NR897--MA0463.1.Bcl6	chr18	42589626	42589639	+	0.000	0.000	Merged-chr18-42589675-37
NR539--MA0463.1.Bcl6	chr13	68570002	68570015	-	0.000	0.000	Merged-chr13-68569883-34
NR324--MA0463.1.Bcl6	chr11	82177865	82177878	+	0.000	0.000	Merged-chr11-82178055-28
NR1691--MA0731.1.BCL6B	chr7	27196245	27196261	+	0.000	0.000	Merged-chr7-27196117-84
NR1373--MA0463.1.Bcl6	chr4	119339289	119339302	-	0.000	0.000	Merged-chr4-119339139-34
NR262--MA0463.1.Bcl6	chr11	5416111	5416124	-	0.000	0.000	Merged-chr11-5415987-23
NR1163--MA0463.1.Bcl6	chr3	27462903	27462916	+	0.000	0.000	Merged-chr3-27462923-28
NR1396--MA0463.1.Bcl6	chr4	134767951	134767964	-	0.000	0.000	Merged-chr4-134767796-55
NR1817--MA0463.1.Bcl6	chr8	22228801	22228814	-	0.000	0.000	Merged-chr8-22228766-14
NR822--MA0463.1.Bcl6	chr17	28518392	28518405	-	0.000	0.000	Merged-chr17-28518412-47
NR2025--MA0463.1.Bcl6	chr9	119068015	119068028	-	0.000	0.000	Merged-chr9-119067852-20
NR1675--MA0731.1.BCL6B	chr7	3645150	3645166	+	0.000	0.000	Merged-chr7-3645035-83
NR182--MA0463.1.Bcl6	chr10	42897936	42897949	-	0.000	0.000	Merged-chr10-42897771-65
NR706--MA0463.1.Bcl6	chr15	67398242	67398255	-	0.000	0.000	Merged-chr15-67398131-20
NR1607--MA0463.1.Bcl6	chr6	97806942	97806955	+	0.000	0.000	Merged-chr6-97807026-80
NR288--MA0731.1.BCL6B	chr11	51638254	51638270	+	0.000	0.000	Merged-chr11-51638186-26
NR397--MA0731.1.BCL6B	chr12	35799455	35799471	+	0.000	0.000	Merged-chr12-35799508-49
NR1240--MA0731.1.BCL6B	chr3	121570746	121570762	-	0.000	0.000	Merged-chr3-121570822-16
NR1643--MA0463.1.Bcl6	chr6	130092588	130092601	-	0.000	0.000	Merged-chr6-130092757-50
NR760--MA0463.1.Bcl6	chr16	33560457	33560470	+	0.000	0.000	Merged-chr16-33560481-14
NR608--MA0463.1.Bcl6	chr14	40917917	40917930	-	0.000	0.000	Merged-chr14-40917995-37
NR1509--MA0463.1.Bcl6	chr5	123508367	123508380	+	0.000	0.000	Merged-chr5-123508424-41
NR1253--MA0731.1.BCL6B	chr3	130810033	130810049	-	0.000	0.000	Merged-chr3-130810133-82
NR1415--MA0463.1.Bcl6	chr4	149724116	149724129	+	0.000	0.000	Merged-chr4-149724108-15
NR1200--MA0463.1.Bcl6	chr3	87960863	87960876	-	0.000	0.000	Merged-chr3-87960988-36
NR1362--MA0731.1.BCL6B	chr4	109079933	109079949	-	0.000	0.000	Merged-chr4-109079913-32
NR859--MA0463.1.Bcl6	chr17	79100012	79100025	-	0.000	0.000	Merged-chr17-79100085-51
NR644--MA0463.1.Bcl6	chr14	74835050	74835063	-	0.000	0.000	Merged-chr14-74835162-39
NR1960--MA0731.1.BCL6B	chr9	69667110	69667126	-	0.000	0.000	Merged-chr9-69667082-4
NR1447--MA0463.1.Bcl6	chr5	33658005	33658018	-	0.000	0.000	Merged-chr5-33658141-114
NR1354--MA0731.1.BCL6B	chr4	101298359	101298375	-	0.000	0.000	Merged-chr4-101298593-40
