#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed
NR26934--MA0493.1.Klf1	chr16	90197546	90197556	-	0.000	0.000	Merged-chr16-90197695-59
NR24113--MA0741.1.KLF16	chr15	85879290	85879300	+	0.000	0.000	Merged-chr15-85879337-71
NR37377--MA0741.1.KLF16	chr2	102850114	102850124	+	0.000	0.000	Merged-chr2-102849968-21
NR909--MA0599.1.KLF5	chr1	60409495	60409504	-	0.000	0.000	Merged-chr1-60409634-93
NR55511--MA0741.1.KLF16	chr6	54092925	54092935	+	0.000	0.000	Merged-chr6-54092801-44
NR35757--MA0039.3.KLF4	chr2	32757204	32757214	-	0.000	0.000	Merged-chr2-32757365-75
NR10266--MA0493.1.Klf1	chr11	55097986	55097996	-	0.000	0.000	Merged-chr11-55097968-86
NR52000--MA0742.1.Klf12	chr5	112319581	112319595	+	0.000	0.000	Merged-chr5-112319581-13
NR68775--MA0741.1.KLF16	chr9	53706255	53706265	-	0.000	0.000	Merged-chr9-53706205-55
NR45033--MA0741.1.KLF16	chr4	41465059	41465069	-	0.000	0.000	Merged-chr4-41464971-72
NR47780--MA0493.1.Klf1	chr4	133631555	133631565	-	0.000	0.000	Merged-chr4-133631611-28
NR71645--MA0741.1.KLF16	chrX	7574343	7574353	-	0.000	0.000	Merged-chrX-7574510-93
NR45699--MA0741.1.KLF16	chr4	59549296	59549306	-	0.000	0.000	Merged-chr4-59549142-105
NR10051--MA0493.1.Klf1	chr11	50225320	50225330	+	0.000	0.000	Merged-chr11-50225207-103
NR32076--MA1107.1.KLF9	chr18	68300425	68300437	-	0.000	0.000	Merged-chr18-68300275-69
NR4878--MA0599.1.KLF5	chr1	192138064	192138073	+	0.000	0.000	Merged-chr1-192138254-59
NR52129--MA0599.1.KLF5	chr5	114246626	114246635	+	0.000	0.000	Merged-chr5-114246791-23
NR10923--MA0039.3.KLF4	chr11	72342369	72342379	-	0.000	0.000	Merged-chr11-72342522-29
NR48805--MA0740.1.KLF14	chr4	150909787	150909800	+	0.000	0.000	Merged-chr4-150909856-55
NR12012--MA0599.1.KLF5	chr11	98458040	98458049	-	0.000	0.000	Merged-chr11-98457960-97
NR3073--MA0742.1.Klf12	chr1	153304278	153304292	+	0.000	0.000	Merged-chr1-153304263-23
NR29894--MA1107.1.KLF9	chr17	70974258	70974270	-	0.000	0.000	Merged-chr17-70974358-18
NR28201--MA0741.1.KLF16	chr17	27056388	27056398	-	0.000	0.000	Merged-chr17-27056351-33
NR59994--MA0741.1.KLF16	chr7	31127064	31127074	-	0.000	0.000	Merged-chr7-31127148-49
NR43885--MA0742.1.Klf12	chr3	146450455	146450469	+	0.000	0.000	Merged-chr3-146450553-52
NR4859--MA1107.1.KLF9	chr1	191999163	191999175	-	0.000	0.000	Merged-chr1-191999183-26
NR55506--MA0599.1.KLF5	chr6	54092929	54092938	+	0.000	0.000	Merged-chr6-54092801-44
NR38163--MA1107.1.KLF9	chr2	128125917	128125929	-	0.000	0.000	Merged-chr2-128126014-53
NR15943--MA1107.1.KLF9	chr12	115008589	115008601	+	0.000	0.000	Merged-chr12-115008718-17
NR62659--MA0741.1.KLF16	chr7	123369922	123369932	+	0.000	0.000	Merged-chr7-123369750-97
NR17895--MA0493.1.Klf1	chr13	91223998	91224008	-	0.000	0.000	Merged-chr13-91224009-83
NR47712--MA0741.1.KLF16	chr4	132843312	132843322	-	0.000	0.000	Merged-chr4-132843203-52
NR60313--MA0741.1.KLF16	chr7	44590868	44590878	+	0.000	0.000	Merged-chr7-44590867-32
NR65406--MA0493.1.Klf1	chr8	71382073	71382083	-	0.000	0.000	Merged-chr8-71381982-56
NR23669--MA0493.1.Klf1	chr15	78597091	78597101	-	0.000	0.000	Merged-chr15-78597127-20
NR61404--MA1107.1.KLF9	chr7	89308414	89308426	-	0.000	0.000	Merged-chr7-89308449-38
NR22038--MA0599.1.KLF5	chr14	120520132	120520141	+	0.000	0.000	Merged-chr14-120520145-25
NR5641--MA0599.1.KLF5	chr10	38156087	38156096	-	0.000	0.000	Merged-chr10-38156035-3
NR47507--MA0741.1.KLF16	chr4	129742515	129742525	+	0.000	0.000	Merged-chr4-129742411-67
NR59552--MA0599.1.KLF5	chr7	25683637	25683646	-	0.000	0.000	Merged-chr7-25683734-21
NR42418--MA0740.1.KLF14	chr3	103102646	103102659	-	0.000	0.000	Merged-chr3-103102606-96
NR71449--MA0599.1.KLF5	chr9	122294567	122294576	-	0.000	0.000	Merged-chr9-122294367-85
NR66681--MA0741.1.KLF16	chr8	111259249	111259259	-	0.000	0.000	Merged-chr8-111259123-96
NR12478--MA0741.1.KLF16	chr11	106193671	106193681	+	0.000	0.000	Merged-chr11-106193514-84
NR3313--MA0493.1.Klf1	chr1	156956591	156956601	-	0.000	0.000	Merged-chr1-156956579-55
NR43210--MA0741.1.KLF16	chr3	129831343	129831353	+	0.000	0.000	Merged-chr3-129831268-81
NR35349--MA0741.1.KLF16	chr2	25983446	25983456	+	0.000	0.000	Merged-chr2-25983366-83
NR49256--MA0039.3.KLF4	chr5	5420286	5420296	+	0.000	0.000	Merged-chr5-5420247-39
NR71492--MA0742.1.Klf12	chr9	123253116	123253130	+	0.000	0.000	Merged-chr9-123252996-28
NR38931--MA0741.1.KLF16	chr2	151543660	151543670	-	0.000	0.000	Merged-chr2-151543630-14
NR64401--MA0741.1.KLF16	chr8	22653190	22653200	-	0.000	0.000	Merged-chr8-22653358-66
NR51803--MA0741.1.KLF16	chr5	108132569	108132579	-	0.000	0.000	Merged-chr5-108132484-96
NR23093--MA0740.1.KLF14	chr15	59648200	59648213	+	0.000	0.000	Merged-chr15-59648235-82
NR21036--MA0039.3.KLF4	chr14	74835110	74835120	+	0.000	0.000	Merged-chr14-74835162-39
NR28453--MA0741.1.KLF16	chr17	29500858	29500868	-	0.000	0.000	Merged-chr17-29500871-30
NR39132--MA1107.1.KLF9	chr2	156196681	156196693	-	0.000	0.000	Merged-chr2-156196758-68
NR58550--MA0039.3.KLF4	chr6	144902775	144902785	-	0.000	0.000	Merged-chr6-144902713-143
NR6825--MA0599.1.KLF5	chr10	77522617	77522626	-	0.000	0.000	Merged-chr10-77522522-50
NR55084--MA1107.1.KLF9	chr6	39259199	39259211	+	0.000	0.000	Merged-chr6-39259095-61
NR11353--MA0741.1.KLF16	chr11	80089398	80089408	+	0.000	0.000	Merged-chr11-80089472-35
NR39437--MA0741.1.KLF16	chr2	163017191	163017201	-	0.000	0.000	Merged-chr2-163017241-71
NR60565--MA0741.1.KLF16	chr7	49616543	49616553	+	0.000	0.000	Merged-chr7-49616493-31
NR12463--MA1107.1.KLF9	chr11	106036721	106036733	-	0.000	0.000	Merged-chr11-106036906-50
NR12800--MA0599.1.KLF5	chr11	115153995	115154004	+	0.000	0.000	Merged-chr11-115153968-54
NR24222--MA0741.1.KLF16	chr15	88891198	88891208	+	0.000	0.000	Merged-chr15-88891268-100
NR1840--MA1107.1.KLF9	chr1	97613886	97613898	+	0.000	0.000	Merged-chr1-97613912-17
NR16686--MA0657.1.KLF13	chr13	41373053	41373070	+	0.000	0.000	Merged-chr13-41373067-52
NR2601--MA0657.1.KLF13	chr1	135105255	135105272	+	0.000	0.000	Merged-chr1-135105235-19
NR39828--MA0657.1.KLF13	chr2	170218549	170218566	+	0.000	0.000	Merged-chr2-170218506-29
NR51033--MA0039.3.KLF4	chr5	77092011	77092021	-	0.000	0.000	Merged-chr5-77092081-48
NR10384--MA0741.1.KLF16	chr11	58994647	58994657	-	0.000	0.000	Merged-chr11-58994584-23
NR18550--MA1107.1.KLF9	chr13	108170124	108170136	+	0.000	0.000	Merged-chr13-108170237-20
NR1589--MA0039.3.KLF4	chr1	88267861	88267871	+	0.000	0.000	Merged-chr1-88267879-42
NR38165--MA0740.1.KLF14	chr2	128190327	128190340	-	0.000	0.000	Merged-chr2-128190126-44
NR56126--MA0741.1.KLF16	chr6	86397185	86397195	+	0.000	0.000	Merged-chr6-86397021-74
NR72771--MA0493.1.Klf1	chrX	157492112	157492122	-	0.000	0.000	Merged-chrX-157492192-4
NR44716--MA1107.1.KLF9	chr4	21766642	21766654	-	0.000	0.000	Merged-chr4-21766998-60
NR11391--MA1107.1.KLF9	chr11	82183397	82183409	+	0.000	0.000	Merged-chr11-82183511-55
NR40008--MA0493.1.Klf1	chr2	173377707	173377717	-	0.000	0.000	Merged-chr2-173377859-39
NR54340--MA0599.1.KLF5	chr5	149526302	149526311	-	0.000	0.000	Merged-chr5-149526152-1
NR49896--MA0741.1.KLF16	chr5	32610841	32610851	+	0.000	0.000	Merged-chr5-32610925-84
NR15258--MA0742.1.Klf12	chr12	101018070	101018084	+	0.000	0.000	Merged-chr12-101018139-51
NR4413--MA0741.1.KLF16	chr1	183345536	183345546	-	0.000	0.000	Merged-chr1-183345406-106
NR52766--MA0741.1.KLF16	chr5	125177797	125177807	+	0.000	0.000	Merged-chr5-125177908-37
NR47550--MA0741.1.KLF16	chr4	130017255	130017265	+	0.000	0.000	Merged-chr4-130017376-16
NR44269--MA0493.1.Klf1	chr3	154628323	154628333	+	0.000	0.000	Merged-chr3-154628476-23
NR39459--MA1107.1.KLF9	chr2	163472701	163472713	-	0.000	0.000	Merged-chr2-163472521-59
NR47821--MA0741.1.KLF16	chr4	134117230	134117240	+	0.000	0.000	Merged-chr4-134117148-42
NR6055--MA0599.1.KLF5	chr10	58497883	58497892	-	0.000	0.000	Merged-chr10-58497927-65
NR15035--MA0493.1.Klf1	chr12	91849228	91849238	+	0.000	0.000	Merged-chr12-91849094-58
NR11033--MA1107.1.KLF9	chr11	75410424	75410436	+	0.000	0.000	Merged-chr11-75410293-22
NR32717--MA0493.1.Klf1	chr18	84685289	84685299	-	0.000	0.000	Merged-chr18-84685222-141
NR12100--MA0039.3.KLF4	chr11	99144112	99144122	-	0.000	0.000	Merged-chr11-99144248-66
NR33171--MA0493.1.Klf1	chr19	6992586	6992596	+	0.000	0.000	Merged-chr19-6992689-50
NR68600--MA0599.1.KLF5	chr9	48795124	48795133	-	0.000	0.000	Merged-chr9-48795268-19
NR64446--MA0493.1.Klf1	chr8	25597211	25597221	+	0.000	0.000	Merged-chr8-25597379-88
NR19800--MA0741.1.KLF16	chr14	31830807	31830817	-	0.000	0.000	Merged-chr14-31830494-112
NR37138--MA0741.1.KLF16	chr2	93192861	93192871	+	0.000	0.000	Merged-chr2-93192660-66
NR12030--MA0599.1.KLF5	chr11	98587421	98587430	+	0.000	0.000	Merged-chr11-98587314-62
NR594--MA0039.3.KLF4	chr1	40465605	40465615	-	0.000	0.000	Merged-chr1-40465740-44
NR32976--MA1107.1.KLF9	chr19	4943108	4943120	+	0.000	0.000	Merged-chr19-4942974-44
NR50681--MA0742.1.Klf12	chr5	64864850	64864864	+	0.000	0.000	Merged-chr5-64864889-25
NR35347--MA0599.1.KLF5	chr2	25983415	25983424	+	0.000	0.000	Merged-chr2-25983366-83
NR19448--MA0740.1.KLF14	chr14	21682998	21683011	-	0.000	0.000	Merged-chr14-21683018-22
NR68861--MA0657.1.KLF13	chr9	56418261	56418278	+	0.000	0.000	Merged-chr9-56418111-4
NR45390--MA0493.1.Klf1	chr4	47251261	47251271	+	0.000	0.000	Merged-chr4-47251279-48
NR36753--MA0039.3.KLF4	chr2	75563649	75563659	+	0.000	0.000	Merged-chr2-75563664-35
NR48056--MA0741.1.KLF16	chr4	136469746	136469756	+	0.000	0.000	Merged-chr4-136469909-78
NR12284--MA0740.1.KLF14	chr11	102309137	102309150	-	0.000	0.000	Merged-chr11-102309316-55
NR48327--MA0741.1.KLF16	chr4	140983708	140983718	-	0.000	0.000	Merged-chr4-140983649-41
NR12555--MA0740.1.KLF14	chr11	109331236	109331249	+	0.000	0.000	Merged-chr11-109331360-60
NR33112--MA0741.1.KLF16	chr19	6306510	6306520	-	0.000	0.000	Merged-chr19-6306556-54
NR68492--MA0493.1.Klf1	chr9	44799307	44799317	+	0.000	0.000	Merged-chr9-44799443-51
NR33019--MA0493.1.Klf1	chr19	5457575	5457585	-	0.000	0.000	Merged-chr19-5457359-63
NR58795--MA0742.1.Klf12	chr7	4460696	4460710	+	0.000	0.000	Merged-chr7-4460679-27
NR44641--MA0599.1.KLF5	chr4	16163661	16163670	+	0.000	0.000	Merged-chr4-16163634-149
NR28786--MA0039.3.KLF4	chr17	35231250	35231260	-	0.000	0.000	Merged-chr17-35231264-33
NR54698--MA0741.1.KLF16	chr6	22424212	22424222	+	0.000	0.000	Merged-chr6-22424289-78
NR23687--MA0493.1.Klf1	chr15	78773514	78773524	+	0.000	0.000	Merged-chr15-78773486-35
NR39599--MA0599.1.KLF5	chr2	166786853	166786862	-	0.000	0.000	Merged-chr2-166786664-60
NR13413--MA0741.1.KLF16	chr12	8521795	8521805	+	0.000	0.000	Merged-chr12-8521654-50
NR913--MA0493.1.Klf1	chr1	60566750	60566760	-	0.000	0.000	Merged-chr1-60566654-83
NR28428--MA0039.3.KLF4	chr17	29393798	29393808	-	0.000	0.000	Merged-chr17-29393996-77
NR66084--MA0493.1.Klf1	chr8	90795487	90795497	+	0.000	0.000	Merged-chr8-90795506-65
NR34275--MA0599.1.KLF5	chr19	53142405	53142414	-	0.000	0.000	Merged-chr19-53142483-91
NR157--MA0599.1.KLF5	chr1	16665202	16665211	-	0.000	0.000	Merged-chr1-16665389-58
NR56502--MA0599.1.KLF5	chr6	95117832	95117841	-	0.000	0.000	Merged-chr6-95117994-75
NR28358--MA0599.1.KLF5	chr17	28516039	28516048	-	0.000	0.000	Merged-chr17-28516201-30
NR19781--MA0741.1.KLF16	chr14	31206078	31206088	-	0.000	0.000	Merged-chr14-31206647-90
NR36316--MA0599.1.KLF5	chr2	59882611	59882620	-	0.000	0.000	Merged-chr2-59882495-61
NR17340--MA0493.1.Klf1	chr13	63189530	63189540	-	0.000	0.000	Merged-chr13-63189715-33
NR68801--MA0493.1.Klf1	chr9	55110575	55110585	+	0.000	0.000	Merged-chr9-55110680-29
NR25433--MA0599.1.KLF5	chr16	17177860	17177869	+	0.000	0.000	Merged-chr16-17177816-6
NR36655--MA1107.1.KLF9	chr2	72997220	72997232	-	0.000	0.000	Merged-chr2-72997142-44
NR52123--MA0039.3.KLF4	chr5	114175813	114175823	-	0.000	0.000	Merged-chr5-114175903-40
NR27085--MA0740.1.KLF14	chr16	93552856	93552869	+	0.000	0.000	Merged-chr16-93552984-42
NR62400--MA1107.1.KLF9	chr7	118740224	118740236	-	0.000	0.000	Merged-chr7-118740082-2
NR66171--MA0741.1.KLF16	chr8	94447719	94447729	-	0.000	0.000	Merged-chr8-94447653-43
NR45317--MA0741.1.KLF16	chr4	46507519	46507529	-	0.000	0.000	Merged-chr4-46507538-69
NR22717--MA0741.1.KLF16	chr15	38452895	38452905	-	0.000	0.000	Merged-chr15-38452892-28
NR16930--MA1107.1.KLF9	chr13	51726391	51726403	-	0.000	0.000	Merged-chr13-51726299-41
NR17896--MA0741.1.KLF16	chr13	91223997	91224007	-	0.000	0.000	Merged-chr13-91224009-83
NR55039--MA0039.3.KLF4	chr6	38345976	38345986	+	0.000	0.000	Merged-chr6-38346040-40
NR58754--MA0740.1.KLF14	chr7	3617321	3617334	-	0.000	0.000	Merged-chr7-3617392-59
NR11821--MA1107.1.KLF9	chr11	95713991	95714003	+	0.000	0.000	Merged-chr11-95714089-14
NR851--MA0657.1.KLF13	chr1	58797423	58797440	+	0.000	0.000	Merged-chr1-58797535-46
NR61148--MA0740.1.KLF14	chr7	80123326	80123339	+	0.000	0.000	Merged-chr7-80123359-34
NR10461--MA0740.1.KLF14	chr11	60727258	60727271	+	0.000	0.000	Merged-chr11-60727194-59
NR49871--MA0599.1.KLF5	chr5	31179976	31179985	+	0.000	0.000	Merged-chr5-31180015-78
NR35706--MA0657.1.KLF13	chr2	32288141	32288158	+	0.000	0.000	Merged-chr2-32288192-62
NR41957--MA0741.1.KLF16	chr3	95160446	95160456	-	0.000	0.000	Merged-chr3-95160363-68
NR10983--MA0599.1.KLF5	chr11	74649312	74649321	+	0.000	0.000	Merged-chr11-74649428-59
NR36865--MA0039.3.KLF4	chr2	78973959	78973969	+	0.000	0.000	Merged-chr2-78973866-41
NR9161--MA0740.1.KLF14	chr11	4186703	4186716	-	0.000	0.000	Merged-chr11-4186832-60
NR25982--MA0039.3.KLF4	chr16	38399686	38399696	+	0.000	0.000	Merged-chr16-38399742-32
NR28680--MA0742.1.Klf12	chr17	34187494	34187508	-	0.000	0.000	Merged-chr17-34187443-76
NR47678--MA0599.1.KLF5	chr4	132749054	132749063	-	0.000	0.000	Merged-chr4-132748989-25
NR23689--MA0742.1.Klf12	chr15	78773534	78773548	-	0.000	0.000	Merged-chr15-78773486-35
NR41823--MA0742.1.Klf12	chr3	90514930	90514944	-	0.000	0.000	Merged-chr3-90514906-78
NR36517--MA0493.1.Klf1	chr2	69802994	69803004	+	0.000	0.000	Merged-chr2-69803068-39
NR24378--MA0741.1.KLF16	chr15	93375911	93375921	-	0.000	0.000	Merged-chr15-93375803-4
NR65236--MA0740.1.KLF14	chr8	70072680	70072693	-	0.000	0.000	Merged-chr8-70072773-24
NR57478--MA0742.1.Klf12	chr6	125067855	125067869	-	0.000	0.000	Merged-chr6-125067765-41
NR19780--MA0599.1.KLF5	chr14	31206081	31206090	-	0.000	0.000	Merged-chr14-31206647-90
NR53361--MA1107.1.KLF9	chr5	135632604	135632616	+	0.000	0.000	Merged-chr5-135632742-49
NR16588--MA0742.1.Klf12	chr13	37562808	37562822	-	0.000	0.000	Merged-chr13-37562796-8
NR12393--MA0740.1.KLF14	chr11	104631542	104631555	-	0.000	0.000	Merged-chr11-104631492-24
NR20623--MA0741.1.KLF16	chr14	61556774	61556784	-	0.000	0.000	Merged-chr14-61556804-76
NR27934--MA1107.1.KLF9	chr17	21488970	21488982	-	0.000	0.000	Merged-chr17-21489154-64
NR6153--MA0493.1.Klf1	chr10	60305570	60305580	+	0.000	0.000	Merged-chr10-60305430-32
NR71354--MA1107.1.KLF9	chr9	120055046	120055058	+	0.000	0.000	Merged-chr9-120055033-46
NR20147--MA0741.1.KLF16	chr14	48446629	48446639	+	0.000	0.000	Merged-chr14-48446535-78
NR10416--MA0741.1.KLF16	chr11	60115376	60115386	+	0.000	0.000	Merged-chr11-60115208-93
NR48780--MA1107.1.KLF9	chr4	150138195	150138207	-	0.000	0.000	Merged-chr4-150138254-13
NR28594--MA1107.1.KLF9	chr17	32993463	32993475	-	0.000	0.000	Merged-chr17-32993236-53
NR40828--MA0599.1.KLF5	chr3	37419838	37419847	+	0.000	0.000	Merged-chr3-37419954-169
NR67379--MA0039.3.KLF4	chr8	124897732	124897742	+	0.000	0.000	Merged-chr8-124897564-132
NR31443--MA1107.1.KLF9	chr18	43687764	43687776	+	0.000	0.000	Merged-chr18-43687697-2
NR20560--MA1107.1.KLF9	chr14	59397080	59397092	-	0.000	0.000	Merged-chr14-59397210-50
NR10011--MA0742.1.Klf12	chr11	49244240	49244254	-	0.000	0.000	Merged-chr11-49244035-93
NR18259--MA0741.1.KLF16	chr13	100744700	100744710	+	0.000	0.000	Merged-chr13-100744526-62
NR34171--MA0741.1.KLF16	chr19	46761359	46761369	+	0.000	0.000	Merged-chr19-46761432-95
NR67174--MA0493.1.Klf1	chr8	121591461	121591471	-	0.000	0.000	Merged-chr8-121591458-17
NR54206--MA0599.1.KLF5	chr5	147431252	147431261	-	0.000	0.000	Merged-chr5-147431237-9
NR52700--MA0740.1.KLF14	chr5	124629054	124629067	-	0.000	0.000	Merged-chr5-124629076-75
NR63715--MA0599.1.KLF5	chr7	141455858	141455867	-	0.000	0.000	Merged-chr7-141455879-2
NR37406--MA0599.1.KLF5	chr2	103703495	103703504	-	0.000	0.000	Merged-chr2-103703560-39
NR52146--MA1107.1.KLF9	chr5	114444268	114444280	+	0.000	0.000	Merged-chr5-114444156-63
NR53223--MA0493.1.Klf1	chr5	134393838	134393848	-	0.000	0.000	Merged-chr5-134393835-14
NR11908--MA0741.1.KLF16	chr11	97362351	97362361	-	0.000	0.000	Merged-chr11-97362524-68
NR68897--MA0741.1.KLF16	chr9	57633795	57633805	+	0.000	0.000	Merged-chr9-57633729-59
NR46915--MA0599.1.KLF5	chr4	116150506	116150515	-	0.000	0.000	Merged-chr4-116150435-60
NR71496--MA0741.1.KLF16	chr9	123253117	123253127	+	0.000	0.000	Merged-chr9-123252996-28
NR28903--MA1107.1.KLF9	chr17	36020880	36020892	-	0.000	0.000	Merged-chr17-36020745-74
NR61101--MA0599.1.KLF5	chr7	79273162	79273171	-	0.000	0.000	Merged-chr7-79273041-64
NR12250--MA0740.1.KLF14	chr11	101984795	101984808	-	0.000	0.000	Merged-chr11-101984579-31
NR29900--MA0599.1.KLF5	chr17	70990567	70990576	-	0.000	0.000	Merged-chr17-70990523-86
NR25746--MA0493.1.Klf1	chr16	31429647	31429657	-	0.000	0.000	Merged-chr16-31429450-123
NR16157--MA0599.1.KLF5	chr13	8870598	8870607	+	0.000	0.000	Merged-chr13-8870736-169
NR48413--MA0657.1.KLF13	chr4	141862226	141862243	+	0.000	0.000	Merged-chr4-141862091-43
NR41795--MA0741.1.KLF16	chr3	90052823	90052833	-	0.000	0.000	Merged-chr3-90052542-109
NR45176--MA0599.1.KLF5	chr4	43937234	43937243	+	0.000	0.000	Merged-chr4-43937152-65
NR42251--MA0599.1.KLF5	chr3	100969700	100969709	+	0.000	0.000	Merged-chr3-100969599-56
NR28241--MA0493.1.Klf1	chr17	27564908	27564918	-	0.000	0.000	Merged-chr17-27564806-2,Merged-chr17-27565038-1
NR34005--MA0039.3.KLF4	chr19	43809536	43809546	+	0.000	0.000	Merged-chr19-43809499-23
NR10788--MA0657.1.KLF13	chr11	69834201	69834218	-	0.000	0.000	Merged-chr11-69834211-15
NR27707--MA0599.1.KLF5	chr17	12205995	12206004	+	0.000	0.000	Merged-chr17-12205812-57
NR67328--MA0741.1.KLF16	chr8	123805951	123805961	+	0.000	0.000	Merged-chr8-123805891-37
NR2680--MA0741.1.KLF16	chr1	136415261	136415271	-	0.000	0.000	Merged-chr1-136415287-72
NR34694--MA0741.1.KLF16	chr2	3475131	3475141	-	0.000	0.000	Merged-chr2-3474992-83
NR57180--MA0599.1.KLF5	chr6	119199111	119199120	+	0.000	0.000	Merged-chr6-119199024-52
NR59775--MA1107.1.KLF9	chr7	28866203	28866215	-	0.000	0.000	Merged-chr7-28866044-60
NR9607--MA0740.1.KLF14	chr11	23257527	23257540	-	0.000	0.000	Merged-chr11-23257441-61
