#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR2420--MA0508.2.PRDM1	chr7	66210154	66210163	-	0.000	0.000	Merged-chr7-66210167-22
NR2672--MA0508.2.PRDM1	chr9	96583236	96583245	-	0.000	0.000	Merged-chr9-96583315-51
NR988--MA0508.2.PRDM1	chr15	74918567	74918576	-	0.000	0.000	Merged-chr15-74918683-40
NR2162--MA0508.2.PRDM1	chr5	112283286	112283295	-	0.000	0.000	Merged-chr5-112283317-2
NR845--MA0508.2.PRDM1	chr14	61556957	61556966	-	0.000	0.000	Merged-chr14-61556804-76
NR1259--MA0508.2.PRDM1	chr18	32560091	32560100	+	0.000	0.000	Merged-chr18-32559945-41
NR683--MA0508.2.PRDM1	chr13	77708751	77708760	-	0.000	0.000	Merged-chr13-77708849-66
NR587--MA0508.2.PRDM1	chr13	3637157	3637166	+	0.000	0.000	Merged-chr13-3636993-50
NR858--MA0508.2.PRDM1	chr14	78307348	78307357	+	0.000	0.000	Merged-chr14-78307471-124
NR186--MA0508.2.PRDM1	chr1	172368889	172368898	+	0.000	0.000	Merged-chr1-172369010-35
NR457--MA0508.2.PRDM1	chr11	110897214	110897223	+	0.000	0.000	Merged-chr11-110897111-25
NR728--MA0508.2.PRDM1	chr13	100616693	100616702	-	0.000	0.000	Merged-chr13-100616743-59
NR314--MA0508.2.PRDM1	chr10	67620233	67620242	+	0.000	0.000	Merged-chr10-67620150-41
NR2425--MA0508.2.PRDM1	chr7	73531100	73531109	+	0.000	0.000	Merged-chr7-73531012-64
NR837--MA0508.2.PRDM1	chr14	51386101	51386110	+	0.000	0.000	Merged-chr14-51385941-36
NR2011--MA0508.2.PRDM1	chr4	150282015	150282024	+	0.000	0.000	Merged-chr4-150281690-77
NR327--MA0508.2.PRDM1	chr10	79417237	79417246	-	0.000	0.000	Merged-chr10-79417442-89
NR2709--MA0508.2.PRDM1	chrX	59586034	59586043	+	0.000	0.000	Merged-chrX-59585920-18
NR165--MA0508.2.PRDM1	chr1	153085200	153085209	+	0.000	0.000	Merged-chr1-153085366-59
NR1770--MA0508.2.PRDM1	chr3	137865680	137865689	-	0.000	0.000	Merged-chr3-137865594-62
NR2404--MA0508.2.PRDM1	chr7	48795341	48795350	+	0.000	0.000	Merged-chr7-48795353-37
NR545--MA0508.2.PRDM1	chr12	80131632	80131641	+	0.000	0.000	Merged-chr12-80131386-94
NR131--MA0508.2.PRDM1	chr1	132341854	132341863	-	0.000	0.000	Merged-chr1-132341932-46
NR1531--MA0508.2.PRDM1	chr2	117352885	117352894	+	0.000	0.000	Merged-chr2-117352784-31
NR178--MA0508.2.PRDM1	chr1	161671161	161671170	-	0.000	0.000	Merged-chr1-161671075-50
NR2289--MA0508.2.PRDM1	chr6	99095795	99095804	-	0.000	0.000	Merged-chr6-99095913-165
NR2146--MA0508.2.PRDM1	chr5	98161461	98161470	+	0.000	0.000	Merged-chr5-98161434-16
NR428--MA0508.2.PRDM1	chr11	46308006	46308015	-	0.000	0.000	Merged-chr11-46308256-89
NR1762--MA0508.2.PRDM1	chr3	134238888	134238897	+	0.000	0.000	Merged-chr3-134238964-2
NR2539--MA0508.2.PRDM1	chr8	68735089	68735098	+	0.000	0.000	Merged-chr8-68735158-122
NR2234--MA0508.2.PRDM1	chr6	54088344	54088353	-	0.000	0.000	Merged-chr6-54088359-21
NR1980--MA0508.2.PRDM1	chr4	133757633	133757642	-	0.000	0.000	Merged-chr4-133757542-4
NR1993--MA0508.2.PRDM1	chr4	145300435	145300444	+	0.000	0.000	Merged-chr4-145300303-61
NR2356--MA0508.2.PRDM1	chr6	142752600	142752609	+	0.000	0.000	Merged-chr6-142752635-30
NR2627--MA0508.2.PRDM1	chr9	57647851	57647860	+	0.000	0.000	Merged-chr9-57647746-26
NR1340--MA0508.2.PRDM1	chr19	8518398	8518407	-	0.000	0.000	Merged-chr19-8518636-102
NR2335--MA0508.2.PRDM1	chr6	131264131	131264140	+	0.000	0.000	Merged-chr6-131264117-18
NR1985--MA0508.2.PRDM1	chr4	138222591	138222600	-	0.000	0.000	Merged-chr4-138222577-29
NR598--MA0508.2.PRDM1	chr13	6515638	6515647	-	0.000	0.000	Merged-chr13-6515620-23
NR1332--MA0508.2.PRDM1	chr19	4114053	4114062	+	0.000	0.000	Merged-chr19-4113915-47
NR468--MA0508.2.PRDM1	chr12	8659992	8660001	-	0.000	0.000	Merged-chr12-8659979-34
NR2165--MA0508.2.PRDM1	chr5	115712214	115712223	+	0.000	0.000	Merged-chr5-115712054-77
NR176--MA0508.2.PRDM1	chr1	160060802	160060811	+	0.000	0.000	Merged-chr1-160060816-2
NR1576--MA0508.2.PRDM1	chr2	151974197	151974206	-	0.000	0.000	Merged-chr2-151974232-5
NR1542--MA0508.2.PRDM1	chr2	130068355	130068364	+	0.000	0.000	Merged-chr2-130068381-27
NR1032--MA0508.2.PRDM1	chr16	20930158	20930167	-	0.000	0.000	Merged-chr16-20930100-26
NR870--MA0508.2.PRDM1	chr14	87079923	87079932	+	0.000	0.000	Merged-chr14-87079950-39
NR1500--MA0508.2.PRDM1	chr2	92205376	92205385	+	0.000	0.000	Merged-chr2-92205451-35
NR1481--MA0508.2.PRDM1	chr2	79180937	79180946	-	0.000	0.000	Merged-chr2-79180935-23
NR1752--MA0508.2.PRDM1	chr3	126650982	126650991	+	0.000	0.000	Merged-chr3-126650760-81
NR1799--MA0508.2.PRDM1	chr3	148360713	148360722	-	0.000	0.000	Merged-chr3-148360668-1
NR1404--MA0508.2.PRDM1	chr2	26739238	26739247	+	0.000	0.000	Merged-chr2-26739075-19
NR1351--MA0508.2.PRDM1	chr19	33081663	33081672	-	0.000	0.000	Merged-chr19-33081699-35
NR1398--MA0508.2.PRDM1	chr2	19734646	19734655	+	0.000	0.000	Merged-chr2-19734692-8
NR1003--MA0508.2.PRDM1	chr15	97373996	97374005	-	0.000	0.000	Merged-chr15-97373973-3
NR1669--MA0508.2.PRDM1	chr3	52791142	52791151	+	0.000	0.000	Merged-chr3-52791161-46
NR1460--MA0508.2.PRDM1	chr2	65337991	65338000	+	0.000	0.000	Merged-chr2-65337948-45
NR1112--MA0508.2.PRDM1	chr16	88212066	88212075	-	0.000	0.000	Merged-chr16-88212138-3
NR1016--MA0508.2.PRDM1	chr16	10732708	10732717	+	0.000	0.000	Merged-chr16-10732689-38
NR1268--MA0508.2.PRDM1	chr18	40308109	40308118	-	0.000	0.000	Merged-chr18-40308184-41
NR440--MA0508.2.PRDM1	chr11	78887160	78887169	-	0.000	0.000	Merged-chr11-78887268-28
NR1648--MA0508.2.PRDM1	chr3	37173564	37173573	-	0.000	0.000	Merged-chr3-37173489-44
NR724--MA0508.2.PRDM1	chr13	97857898	97857907	-	0.000	0.000	Merged-chr13-97858038-42
NR1343--MA0508.2.PRDM1	chr19	16781168	16781177	+	0.000	0.000	Merged-chr19-16781022-84
NR1595--MA0508.2.PRDM1	chr2	173448682	173448691	+	0.000	0.000	Merged-chr2-173448878-59
NR1988--MA0508.2.PRDM1	chr4	140814522	140814531	+	0.000	0.000	Merged-chr4-140814639-31
NR83--MA0508.2.PRDM1	chr1	82902054	82902063	-	0.000	0.000	Merged-chr1-82901993-1
NR1574--MA0508.2.PRDM1	chr2	150667384	150667393	+	0.000	0.000	Merged-chr2-150667676-130
NR1369--MA0508.2.PRDM1	chr19	56685687	56685696	+	0.000	0.000	Merged-chr19-56685748-31
NR650--MA0508.2.PRDM1	chr13	48513373	48513382	+	0.000	0.000	Merged-chr13-48513320-57
NR1173--MA0508.2.PRDM1	chr17	50580594	50580603	-	0.000	0.000	Merged-chr17-50580565-35
NR1030--MA0508.2.PRDM1	chr16	19761874	19761883	-	0.000	0.000	Merged-chr16-19761931-27
NR62--MA0508.2.PRDM1	chr1	60070884	60070893	+	0.000	0.000	Merged-chr1-60070874-17
NR663--MA0508.2.PRDM1	chr13	63701894	63701903	-	0.000	0.000	Merged-chr13-63701998-19
NR2360--MA0508.2.PRDM1	chr6	143462193	143462202	+	0.000	0.000	Merged-chr6-143462218-2
NR1152--MA0508.2.PRDM1	chr17	33358908	33358917	-	0.000	0.000	Merged-chr17-33358776-57
NR785--MA0508.2.PRDM1	chr14	7819461	7819470	-	0.000	0.000	Merged-chr14-7819575-11
NR2482--MA0508.2.PRDM1	chr7	141096796	141096805	+	0.000	0.000	Merged-chr7-141096826-78
NR2610--MA0508.2.PRDM1	chr9	22366938	22366947	+	0.000	0.000	Merged-chr9-22366928-17
NR751--MA0508.2.PRDM1	chr13	108316207	108316216	-	0.000	0.000	Merged-chr13-108316339-65
NR403--MA0508.2.PRDM1	chr11	4289425	4289434	+	0.000	0.000	Merged-chr11-4289401-53
NR384--MA0508.2.PRDM1	chr10	118797439	118797448	-	0.000	0.000	Merged-chr10-118797511-13
NR1069--MA0508.2.PRDM1	chr16	55758467	55758476	+	0.000	0.000	Merged-chr16-55758589-1
NR764--MA0508.2.PRDM1	chr13	113198060	113198069	+	0.000	0.000	Merged-chr13-113198047-76
NR2602--MA0508.2.PRDM1	chr9	13894666	13894675	-	0.000	0.000	Merged-chr9-13894754-54
NR2583--MA0508.2.PRDM1	chr8	126867690	126867699	-	0.000	0.000	Merged-chr8-126867742-65
NR852--MA0508.2.PRDM1	chr14	66260600	66260609	-	0.000	0.000	Merged-chr14-66260585-50
NR1537--MA0508.2.PRDM1	chr2	122180682	122180691	+	0.000	0.000	Merged-chr2-122180612-37
NR2453--MA0508.2.PRDM1	chr7	107707815	107707824	+	0.000	0.000	Merged-chr7-107707960-19
NR2724--MA0508.2.PRDM1	chrX	130772368	130772377	-	0.000	0.000	Merged-chrX-130772470-1
NR180--MA0508.2.PRDM1	chr1	162740472	162740481	+	0.000	0.000	Merged-chr1-162740242-97
NR451--MA0508.2.PRDM1	chr11	100931778	100931787	+	0.000	0.000	Merged-chr11-100931794-39
NR2562--MA0508.2.PRDM1	chr8	94354661	94354670	+	0.000	0.000	Merged-chr8-94354585-34
NR2671--MA0508.2.PRDM1	chr9	96350803	96350812	-	0.000	0.000	Merged-chr9-96350613-81
NR212--MA0508.2.PRDM1	chr1	191111425	191111434	-	0.000	0.000	Merged-chr1-191111364-43
NR193--MA0508.2.PRDM1	chr1	175564520	175564529	-	0.000	0.000	Merged-chr1-175564566-22
NR464--MA0508.2.PRDM1	chr11	121039431	121039440	-	0.000	0.000	Merged-chr11-121039238-62
NR1149--MA0508.2.PRDM1	chr17	29660669	29660678	-	0.000	0.000	Merged-chr17-29660811-69
NR987--MA0508.2.PRDM1	chr15	73629824	73629833	-	0.000	0.000	Merged-chr15-73629813-13
NR2161--MA0508.2.PRDM1	chr5	110639435	110639444	+	0.000	0.000	Merged-chr5-110639613-29
NR2432--MA0508.2.PRDM1	chr7	80647609	80647618	-	0.000	0.000	Merged-chr7-80647614-48
NR573--MA0508.2.PRDM1	chr12	101075286	101075295	-	0.000	0.000	Merged-chr12-101075229-34
NR844--MA0508.2.PRDM1	chr14	60783430	60783439	+	0.000	0.000	Merged-chr14-60783398-4
NR430--MA0508.2.PRDM1	chr11	49085037	49085046	-	0.000	0.000	Merged-chr11-49085061-48
NR1115--MA0508.2.PRDM1	chr16	94402423	94402432	+	0.000	0.000	Merged-chr16-94402317-35
NR748--MA0508.2.PRDM1	chr13	107461261	107461270	+	0.000	0.000	Merged-chr13-107461269-28
NR334--MA0508.2.PRDM1	chr10	84774759	84774768	+	0.000	0.000	Merged-chr10-84774745-16
NR2716--MA0508.2.PRDM1	chrX	94033120	94033129	+	0.000	0.000	Merged-chrX-94033132-22
NR857--MA0508.2.PRDM1	chr14	78307339	78307348	+	0.000	0.000	Merged-chr14-78307471-124
NR2729--MA0508.2.PRDM1	chrX	140457235	140457244	+	0.000	0.000	Merged-chrX-140457424-1
NR1489--MA0508.2.PRDM1	chr2	84678380	84678389	-	0.000	0.000	Merged-chr2-84678253-56
NR661--MA0508.2.PRDM1	chr13	63112792	63112801	+	0.000	0.000	Merged-chr13-63112828-16
NR185--MA0508.2.PRDM1	chr1	171281209	171281218	+	0.000	0.000	Merged-chr1-171281333-62
NR313--MA0508.2.PRDM1	chr10	67620227	67620236	+	0.000	0.000	Merged-chr10-67620150-41
NR2153--MA0508.2.PRDM1	chr5	105053694	105053703	-	0.000	0.000	Merged-chr5-105053656-75
NR2010--MA0508.2.PRDM1	chr4	148998272	148998281	-	0.000	0.000	Merged-chr4-148998288-20
NR469--MA0508.2.PRDM1	chr12	8660050	8660059	-	0.000	0.000	Merged-chr12-8659979-34
NR849--MA0508.2.PRDM1	chr14	64867111	64867120	+	0.000	0.000	Merged-chr14-64867013-43
NR2512--MA0508.2.PRDM1	chr8	36182375	36182384	-	0.000	0.000	Merged-chr8-36182321-59
NR2307--MA0508.2.PRDM1	chr6	115519189	115519198	+	0.000	0.000	Merged-chr6-115519250-24
NR382--MA0508.2.PRDM1	chr10	118407118	118407127	+	0.000	0.000	Merged-chr10-118407091-36
NR252--MA0508.2.PRDM1	chr10	19598284	19598293	-	0.000	0.000	Merged-chr10-19598256-42
NR2634--MA0508.2.PRDM1	chr9	75256336	75256345	-	0.000	0.000	Merged-chr9-75256322-14
NR2015--MA0508.2.PRDM1	chr5	3887111	3887120	-	0.000	0.000	Merged-chr5-3887091-30
NR2267--MA0508.2.PRDM1	chr6	72900502	72900511	+	0.000	0.000	Merged-chr6-72900407-12
NR916--MA0508.2.PRDM1	chr15	6726748	6726757	+	0.000	0.000	Merged-chr15-6726597-28
NR135--MA0508.2.PRDM1	chr1	136685609	136685618	+	0.000	0.000	Merged-chr1-136685597-75
NR406--MA0508.2.PRDM1	chr11	6628130	6628139	+	0.000	0.000	Merged-chr11-6628019-13
NR1501--MA0508.2.PRDM1	chr2	92464857	92464866	+	0.000	0.000	Merged-chr2-92464936-24
NR2007--MA0508.2.PRDM1	chr4	147848475	147848484	-	0.000	0.000	Merged-chr4-147848412-69
NR353--MA0508.2.PRDM1	chr10	94829526	94829535	-	0.000	0.000	Merged-chr10-94829610-38
NR637--MA0508.2.PRDM1	chr13	30933190	30933199	-	0.000	0.000	Merged-chr13-30933157-53
NR1971--MA0508.2.PRDM1	chr4	127021123	127021132	+	0.000	0.000	Merged-chr4-127021266-22
NR2586--MA0508.2.PRDM1	chr8	128363456	128363465	-	0.000	0.000	Merged-chr8-128363423-35
NR2172--MA0508.2.PRDM1	chr5	135118615	135118624	-	0.000	0.000	Merged-chr5-135118769-7
NR2695--MA0508.2.PRDM1	chr9	121718416	121718425	+	0.000	0.000	Merged-chr9-121718412-3
NR2281--MA0508.2.PRDM1	chr6	91125020	91125029	+	0.000	0.000	Merged-chr6-91125010-35
NR1711--MA0508.2.PRDM1	chr3	85127040	85127049	+	0.000	0.000	Merged-chr3-85127158-54
NR358--MA0508.2.PRDM1	chr10	99417107	99417116	+	0.000	0.000	Merged-chr10-99417083-63
NR629--MA0508.2.PRDM1	chr13	22028930	22028939	-	0.000	0.000	Merged-chr13-22029066-52
NR2326--MA0508.2.PRDM1	chr6	129575706	129575715	-	0.000	0.000	Merged-chr6-129575587-29
NR2578--MA0508.2.PRDM1	chr8	120078268	120078277	+	0.000	0.000	Merged-chr8-120078339-32
NR1724--MA0508.2.PRDM1	chr3	102738821	102738830	-	0.000	0.000	Merged-chr3-102738606-70
NR175--MA0508.2.PRDM1	chr1	160053604	160053613	-	0.000	0.000	Merged-chr1-160053620-125
NR446--MA0508.2.PRDM1	chr11	94210257	94210266	+	0.000	0.000	Merged-chr11-94210319-4
NR1684--MA0508.2.PRDM1	chr3	65929709	65929718	-	0.000	0.000	Merged-chr3-65929899-83
NR1270--MA0508.2.PRDM1	chr18	41951239	41951248	+	0.000	0.000	Merged-chr18-41951172-76
NR1812--MA0508.2.PRDM1	chr3	152956344	152956353	+	0.000	0.000	Merged-chr3-152956195-38
NR1716--MA0508.2.PRDM1	chr3	96198425	96198434	+	0.000	0.000	Merged-chr3-96198410-32
NR1262--MA0508.2.PRDM1	chr18	34118175	34118184	-	0.000	0.000	Merged-chr18-34118477-76
NR1533--MA0508.2.PRDM1	chr2	117441210	117441219	-	0.000	0.000	Merged-chr2-117441143-41
NR1371--MA0508.2.PRDM1	chr2	3710545	3710554	+	0.000	0.000	Merged-chr2-3710676-36
NR1480--MA0508.2.PRDM1	chr2	79180858	79180867	-	0.000	0.000	Merged-chr2-79180935-23
NR1403--MA0508.2.PRDM1	chr2	26739164	26739173	-	0.000	0.000	Merged-chr2-26739075-19
NR2114--MA0508.2.PRDM1	chr5	64488158	64488167	+	0.000	0.000	Merged-chr5-64487990-63
NR1384--MA0508.2.PRDM1	chr2	13792513	13792522	-	0.000	0.000	Merged-chr2-13792727-5
NR1350--MA0508.2.PRDM1	chr19	32712447	32712456	+	0.000	0.000	Merged-chr19-32712408-94
NR2074--MA0508.2.PRDM1	chr5	38307966	38307975	-	0.000	0.000	Merged-chr5-38307807-52
NR1647--MA0508.2.PRDM1	chr3	35747329	35747338	-	0.000	0.000	Merged-chr3-35747239-33
NR2196--MA0508.2.PRDM1	chr6	12038555	12038564	+	0.000	0.000	Merged-chr6-12038478-25
NR2066--MA0508.2.PRDM1	chr5	28269839	28269848	-	0.000	0.000	Merged-chr5-28269924-54
NR1987--MA0508.2.PRDM1	chr4	139330790	139330799	+	0.000	0.000	Merged-chr4-139330878-48
NR1573--MA0508.2.PRDM1	chr2	150558809	150558818	-	0.000	0.000	Merged-chr2-150558773-40
NR1844--MA0508.2.PRDM1	chr4	14882162	14882171	+	0.000	0.000	Merged-chr4-14882054-55
NR1368--MA0508.2.PRDM1	chr19	55253871	55253880	+	0.000	0.000	Merged-chr19-55253983-137
NR540--MA0508.2.PRDM1	chr12	76886919	76886928	-	0.000	0.000	Merged-chr12-76886981-34
NR1430--MA0508.2.PRDM1	chr2	46302686	46302695	+	0.000	0.000	Merged-chr2-46302794-23
NR792--MA0508.2.PRDM1	chr14	10368281	10368290	-	0.000	0.000	Merged-chr14-10368196-11
NR920--MA0508.2.PRDM1	chr15	9529675	9529684	+	0.000	0.000	Merged-chr15-9529844-37
NR1334--MA0508.2.PRDM1	chr19	4332933	4332942	+	0.000	0.000	Merged-chr19-4332907-33
NR1300--MA0508.2.PRDM1	chr18	65395858	65395867	-	0.000	0.000	Merged-chr18-65395765-31
NR662--MA0508.2.PRDM1	chr13	63246490	63246499	-	0.000	0.000	Merged-chr13-63246406-68
NR1204--MA0508.2.PRDM1	chr17	78362369	78362378	+	0.000	0.000	Merged-chr17-78362512-60
NR2630--MA0508.2.PRDM1	chr9	62349517	62349526	-	0.000	0.000	Merged-chr9-62349502-36
NR1185--MA0508.2.PRDM1	chr17	63404308	63404317	+	0.000	0.000	Merged-chr17-63404255-16
NR1727--MA0508.2.PRDM1	chr3	106974651	106974660	+	0.000	0.000	Merged-chr3-106974504-27
NR1979--MA0508.2.PRDM1	chr4	133757572	133757581	-	0.000	0.000	Merged-chr4-133757542-4
NR74--MA0508.2.PRDM1	chr1	69350753	69350762	-	0.000	0.000	Merged-chr1-69350557-1
NR1198--MA0508.2.PRDM1	chr17	74753455	74753464	-	0.000	0.000	Merged-chr17-74753393-19
NR1469--MA0508.2.PRDM1	chr2	70933397	70933406	+	0.000	0.000	Merged-chr2-70933304-29
NR40--MA0508.2.PRDM1	chr1	38777796	38777805	-	0.000	0.000	Merged-chr1-38777708-41
NR641--MA0508.2.PRDM1	chr13	36366500	36366509	-	0.000	0.000	Merged-chr13-36366469-31
NR750--MA0508.2.PRDM1	chr13	108044469	108044478	+	0.000	0.000	Merged-chr13-108044472-63
NR53--MA0508.2.PRDM1	chr1	51572857	51572866	-	0.000	0.000	Merged-chr1-51572755-47
NR1544--MA0508.2.PRDM1	chr2	132643448	132643457	+	0.000	0.000	Merged-chr2-132643452-47
NR1068--MA0508.2.PRDM1	chr16	55637018	55637027	+	0.000	0.000	Merged-chr16-55636906-56
NR1339--MA0508.2.PRDM1	chr19	8518392	8518401	-	0.000	0.000	Merged-chr19-8518636-102
NR1828--MA0508.2.PRDM1	chr3	157627581	157627590	-	0.000	0.000	Merged-chr3-157627729-20
NR1143--MA0508.2.PRDM1	chr17	23550902	23550911	+	0.000	0.000	Merged-chr17-23550701-105
NR1666--MA0508.2.PRDM1	chr3	51559774	51559783	-	0.000	0.000	Merged-chr3-51559853-4
NR1156--MA0508.2.PRDM1	chr17	34201879	34201888	-	0.000	0.000	Merged-chr17-34201999-10
NR2582--MA0508.2.PRDM1	chr8	126833020	126833029	+	0.000	0.000	Merged-chr8-126833007-101
NR1679--MA0508.2.PRDM1	chr3	60639264	60639273	-	0.000	0.000	Merged-chr3-60639254-17
NR851--MA0508.2.PRDM1	chr14	66235690	66235699	+	0.000	0.000	Merged-chr14-66235717-23
NR1122--MA0508.2.PRDM1	chr17	7892787	7892796	+	0.000	0.000	Merged-chr17-7892904-34
NR484--MA0508.2.PRDM1	chr12	25256455	25256464	+	0.000	0.000	Merged-chr12-25256439-11
NR2452--MA0508.2.PRDM1	chr7	107664528	107664537	+	0.000	0.000	Merged-chr7-107664561-57
NR2290--MA0508.2.PRDM1	chr6	99429528	99429537	+	0.000	0.000	Merged-chr6-99429692-1
NR1387--MA0508.2.PRDM1	chr2	14879817	14879826	-	0.000	0.000	Merged-chr2-14879911-6
NR877--MA0508.2.PRDM1	chr14	90025274	90025283	-	0.000	0.000	Merged-chr14-90025209-2
NR1101--MA0508.2.PRDM1	chr16	84621546	84621555	-	0.000	0.000	Merged-chr16-84621546-51
NR2322--MA0508.2.PRDM1	chr6	127246038	127246047	+	0.000	0.000	Merged-chr6-127246096-47
NR1353--MA0508.2.PRDM1	chr19	34607771	34607780	+	0.000	0.000	Merged-chr19-34607589-82
NR986--MA0508.2.PRDM1	chr15	73629818	73629827	-	0.000	0.000	Merged-chr15-73629813-13
NR1005--MA0508.2.PRDM1	chr15	98623492	98623501	-	0.000	0.000	Merged-chr15-98623504-45
NR2683--MA0508.2.PRDM1	chr9	106752241	106752250	-	0.000	0.000	Merged-chr9-106752260-31
NR224--MA0508.2.PRDM1	chr10	7470409	7470418	+	0.000	0.000	Merged-chr10-7470291-37
NR952--MA0508.2.PRDM1	chr15	39905283	39905292	-	0.000	0.000	Merged-chr15-39905299-27
NR999--MA0508.2.PRDM1	chr15	94255282	94255291	+	0.000	0.000	Merged-chr15-94255177-46
NR1018--MA0508.2.PRDM1	chr16	10769881	10769890	+	0.000	0.000	Merged-chr16-10769811-36
