#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR7455--MA0501.1.MAF::NFE2	chr2	101678621	101678635	+	0.000	0.000	Merged-chr2-101678794-92
NR2953--MA0089.1.MAFG::NFE2L1	chr12	99796041	99796046	-	0.000	0.000	Merged-chr12-99796151-6
NR6581--MA0089.1.MAFG::NFE2L1	chr18	70053250	70053255	-	0.000	0.000	Merged-chr18-70053424-8
NR4229--MA0117.2.Mafb	chr14	61971194	61971205	+	0.000	0.000	Merged-chr14-61971047-1
NR8557--MA0591.1.Bach1::Mafk	chr3	90587054	90587068	-	0.000	0.000	Merged-chr3-90587051-129
NR5867--MA0089.1.MAFG::NFE2L1	chr17	35121402	35121407	+	0.000	0.000	Merged-chr17-35121514-61
NR8900--MA0591.1.Bach1::Mafk	chr3	144232018	144232032	+	0.000	0.000	Merged-chr3-144232172-58
NR6760--MA0496.2.MAFK	chr19	8997797	8997815	-	0.000	0.000	Merged-chr19-8997882-60
NR5257--MA0501.1.MAF::NFE2	chr16	32972774	32972788	+	0.000	0.000	Merged-chr16-32972762-21
NR12512--MA0495.2.MAFF	chr8	40962896	40962916	+	0.000	0.000	Merged-chr8-40963134-88
NR4910--MA0089.1.MAFG::NFE2L1	chr15	73506517	73506522	+	0.000	0.000	Merged-chr15-73506445-5
NR2218--MA0591.1.Bach1::Mafk	chr11	43748004	43748018	-	0.000	0.000	Merged-chr11-43747947-60
NR7248--MA0501.1.MAF::NFE2	chr2	58107023	58107037	+	0.000	0.000	Merged-chr2-58107175-53
NR1546--MA0089.1.MAFG::NFE2L1	chr10	61715406	61715411	+	0.000	0.000	Merged-chr10-61715305-29
NR3201--MA0089.1.MAFG::NFE2L1	chr13	23556211	23556216	-	0.000	0.000	Merged-chr13-23556170-26
NR6649--MA0495.2.MAFF	chr18	80612045	80612065	-	0.000	0.000	Merged-chr18-80611991-79
NR6970--MA0089.1.MAFG::NFE2L1	chr2	14998105	14998110	-	0.000	0.000	Merged-chr2-14998000-10
NR5934--MA0501.1.MAF::NFE2	chr17	52168419	52168433	-	0.000	0.000	Merged-chr17-52168646-44
NR9706--MA0591.1.Bach1::Mafk	chr4	127060912	127060926	-	0.000	0.000	Merged-chr4-127061069-56
NR11924--MA0501.1.MAF::NFE2	chr7	66661725	66661739	+	0.000	0.000	Merged-chr7-66661793-46
NR7819--MA0496.2.MAFK	chr2	157131379	157131397	+	0.000	0.000	Merged-chr2-157131278-25
NR12254--MA0089.1.MAFG::NFE2L1	chr7	125507477	125507482	-	0.000	0.000	Merged-chr7-125507552-10
NR2864--MA0591.1.Bach1::Mafk	chr12	85705547	85705561	-	0.000	0.000	Merged-chr12-85705502-111
NR6340--MA0495.2.MAFF	chr18	33060132	33060152	-	0.000	0.000	Merged-chr18-33060171-12
NR13190--MA0495.2.MAFF	chr9	71874477	71874497	-	0.000	0.000	Merged-chr9-71874475-35
NR12187--MA0117.2.Mafb	chr7	110630430	110630441	-	0.000	0.000	Merged-chr7-110630391-39
NR12494--MA0501.1.MAF::NFE2	chr8	35250897	35250911	-	0.000	0.000	Merged-chr8-35250826-10
NR13156--MA0117.2.Mafb	chr9	57278474	57278485	+	0.000	0.000	Merged-chr9-57278495-40
NR11627--MA0089.1.MAFG::NFE2L1	chr6	144726015	144726020	-	0.000	0.000	Merged-chr6-144725993-9
NR674--MA0089.1.MAFG::NFE2L1	chr1	120293792	120293797	+	0.000	0.000	Merged-chr1-120293929-5
NR13611--MA0495.2.MAFF	chrX	71468813	71468833	+	0.000	0.000	Merged-chrX-71468864-48
NR2350--MA0591.1.Bach1::Mafk	chr11	87240404	87240418	+	0.000	0.000	Merged-chr11-87240422-3
NR8853--MA0089.1.MAFG::NFE2L1	chr3	138008297	138008302	+	0.000	0.000	Merged-chr3-138008366-30
NR10988--MA0089.1.MAFG::NFE2L1	chr6	52306248	52306253	+	0.000	0.000	Merged-chr6-52306168-25
NR1659--MA0089.1.MAFG::NFE2L1	chr10	76542916	76542921	+	0.000	0.000	Merged-chr10-76543066-52
NR3314--MA0089.1.MAFG::NFE2L1	chr13	55022904	55022909	+	0.000	0.000	Merged-chr13-55022808-47
NR5287--MA0089.1.MAFG::NFE2L1	chr16	44546969	44546974	+	0.000	0.000	Merged-chr16-44546974-36
NR5841--MA0591.1.Bach1::Mafk	chr17	32634940	32634954	-	0.000	0.000	Merged-chr17-32635115-43
NR4218--MA0591.1.Bach1::Mafk	chr14	57665053	57665067	+	0.000	0.000	Merged-chr14-57665003-92
NR11445--MA0501.1.MAF::NFE2	chr6	125237468	125237482	+	0.000	0.000	Merged-chr6-125237216-70
NR5326--MA0496.2.MAFK	chr16	50737728	50737746	-	0.000	0.000	Merged-chr16-50737708-13
NR8537--MA0591.1.Bach1::Mafk	chr3	88503280	88503294	+	0.000	0.000	Merged-chr3-88503323-39
NR9587--MA0496.2.MAFK	chr4	95765629	95765647	-	0.000	0.000	Merged-chr4-95765748-2
NR5109--MA0117.2.Mafb	chr16	6935048	6935059	+	0.000	0.000	Merged-chr16-6934984-1
NR9493--MA0089.1.MAFG::NFE2L1	chr4	84091793	84091798	+	0.000	0.000	Merged-chr4-84091835-3
NR7709--MA0591.1.Bach1::Mafk	chr2	143839408	143839422	-	0.000	0.000	Merged-chr2-143839351-69
NR8664--MA0089.1.MAFG::NFE2L1	chr3	107559402	107559407	+	0.000	0.000	Merged-chr3-107559278-21
NR7620--MA0089.1.MAFG::NFE2L1	chr2	132110874	132110879	-	0.000	0.000	Merged-chr2-132110934-3
NR7752--MA0496.2.MAFK	chr2	148408352	148408370	+	0.000	0.000	Merged-chr2-148408263-26
NR6895--MA0496.2.MAFK	chr2	4864668	4864686	+	0.000	0.000	Merged-chr2-4864669-14
NR11928--MA0591.1.Bach1::Mafk	chr7	67951790	67951804	-	0.000	0.000	Merged-chr7-67951675-118
NR13470--MA0089.1.MAFG::NFE2L1	chr9	115481405	115481410	+	0.000	0.000	Merged-chr9-115481366-14
NR9840--MA0117.2.Mafb	chr4	149104134	149104145	+	0.000	0.000	Merged-chr4-149104249-48
NR12756--MA0089.1.MAFG::NFE2L1	chr8	84689264	84689269	-	0.000	0.000	Merged-chr8-84689283-39
NR874--MA0089.1.MAFG::NFE2L1	chr1	161734765	161734770	+	0.000	0.000	Merged-chr1-161734917-117
NR5272--MA0089.1.MAFG::NFE2L1	chr16	38902507	38902512	+	0.000	0.000	Merged-chr16-38902351-60
NR3993--MA0089.1.MAFG::NFE2L1	chr14	22553920	22553925	+	0.000	0.000	Merged-chr14-22553829-1
NR1109--MA0501.1.MAF::NFE2	chr1	194600273	194600287	+	0.000	0.000	Merged-chr1-194600218-2
NR10629--MA0591.1.Bach1::Mafk	chr5	146655358	146655372	+	0.000	0.000	Merged-chr5-146655552-37
NR2983--MA0501.1.MAF::NFE2	chr12	105069094	105069108	-	0.000	0.000	Merged-chr12-105069151-33
NR10357--MA0117.2.Mafb	chr5	90595192	90595203	-	0.000	0.000	Merged-chr5-90595203-46
NR4994--MA0591.1.Bach1::Mafk	chr15	91172432	91172446	-	0.000	0.000	Merged-chr15-91172371-1
NR8186--MA0089.1.MAFG::NFE2L1	chr3	28969065	28969070	-	0.000	0.000	Merged-chr3-28968988-13
NR673--MA0501.1.MAF::NFE2	chr1	120197405	120197419	+	0.000	0.000	Merged-chr1-120197360-57
NR2581--MA0495.2.MAFF	chr12	25256485	25256505	-	0.000	0.000	Merged-chr12-25256439-11
NR5285--MA0501.1.MAF::NFE2	chr16	44140578	44140592	+	0.000	0.000	Merged-chr16-44140552-3
NR3619--MA0117.2.Mafb	chr13	97789942	97789953	+	0.000	0.000	Merged-chr13-97790032-25
NR10469--MA0117.2.Mafb	chr5	106982741	106982752	+	0.000	0.000	Merged-chr5-106982609-23
NR181--MA0089.1.MAFG::NFE2L1	chr1	40268725	40268730	+	0.000	0.000	Merged-chr1-40268723-25
NR2113--MA0659.1.MAFG	chr11	11766210	11766230	-	0.000	0.000	Merged-chr11-11766225-56
NR887--MA0089.1.MAFG::NFE2L1	chr1	164405703	164405708	-	0.000	0.000	Merged-chr1-164405623-22
NR8995--MA0495.2.MAFF	chr3	154372398	154372418	-	0.000	0.000	Merged-chr3-154372398-2
NR10305--MA0089.1.MAFG::NFE2L1	chr5	75808763	75808768	-	0.000	0.000	Merged-chr5-75808701-3
NR10482--MA0591.1.Bach1::Mafk	chr5	112083159	112083173	-	0.000	0.000	Merged-chr5-112083278-3
NR11823--MA0591.1.Bach1::Mafk	chr7	44527955	44527969	-	0.000	0.000	Merged-chr7-44527953-37
NR6902--MA0117.2.Mafb	chr2	5404114	5404125	+	0.000	0.000	Merged-chr2-5404009-10
