#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR84--MA0508.2.PRDM1	chr1	132759124	132759133	-	0.000	0.000	Merged-chr1-132758911-30
NR956--MA0508.2.PRDM1	chr17	45703389	45703398	-	0.000	0.000	Merged-chr17-45703436-19
NR1575--MA0508.2.PRDM1	chr4	147848475	147848484	-	0.000	0.000	Merged-chr4-147848412-69
NR1099--MA0508.2.PRDM1	chr19	53566026	53566035	+	0.000	0.000	Merged-chr19-53566161-15
NR271--MA0508.2.PRDM1	chr10	94021281	94021290	+	0.000	0.000	Merged-chr10-94021256-59
NR813--MA0508.2.PRDM1	chr15	80192230	80192239	+	0.000	0.000	Merged-chr15-80192413-58
NR380--MA0508.2.PRDM1	chr11	71230842	71230851	-	0.000	0.000	Merged-chr11-71230864-28
NR717--MA0508.2.PRDM1	chr14	66260600	66260609	-	0.000	0.000	Merged-chr14-66260585-50
NR303--MA0508.2.PRDM1	chr10	115331040	115331049	+	0.000	0.000	Merged-chr10-115330938-3
NR969--MA0508.2.PRDM1	chr17	65741428	65741437	+	0.000	0.000	Merged-chr17-65741371-24
NR284--MA0508.2.PRDM1	chr10	99459789	99459798	+	0.000	0.000	Merged-chr10-99459996-60
NR1174--MA0508.2.PRDM1	chr2	65104805	65104814	-	0.000	0.000	Merged-chr2-65104683-25
NR664--MA0508.2.PRDM1	chr13	112551592	112551601	+	0.000	0.000	Merged-chr13-112551755-26
NR935--MA0508.2.PRDM1	chr17	22424139	22424148	-	0.000	0.000	Merged-chr17-22424161-65
NR1078--MA0508.2.PRDM1	chr19	21785917	21785926	-	0.000	0.000	Merged-chr19-21785964-7
NR1349--MA0508.2.PRDM1	chr3	96848320	96848329	+	0.000	0.000	Merged-chr3-96848254-3
NR521--MA0508.2.PRDM1	chr12	104062022	104062031	+	0.000	0.000	Merged-chr12-104062030-43
NR1187--MA0508.2.PRDM1	chr2	82589045	82589054	-	0.000	0.000	Merged-chr2-82589054-1
NR1729--MA0508.2.PRDM1	chr6	38342440	38342449	+	0.000	0.000	Merged-chr6-38342518-71
NR154--MA0508.2.PRDM1	chr1	176862417	176862426	-	0.000	0.000	Merged-chr1-176862345-25
NR948--MA0508.2.PRDM1	chr17	35861165	35861174	+	0.000	0.000	Merged-chr17-35861437-48
NR1567--MA0508.2.PRDM1	chr4	145263865	145263874	-	0.000	0.000	Merged-chr4-145263821-10
NR2122--MA0508.2.PRDM1	chr9	32745286	32745295	-	0.000	0.000	Merged-chr9-32745254-38
NR805--MA0508.2.PRDM1	chr15	73629818	73629827	-	0.000	0.000	Merged-chr15-73629813-13
NR914--MA0508.2.PRDM1	chr16	93839202	93839211	+	0.000	0.000	Merged-chr16-93839317-9
NR709--MA0508.2.PRDM1	chr14	61339788	61339797	-	0.000	0.000	Merged-chr14-61339598-17
NR1057--MA0508.2.PRDM1	chr18	89126526	89126535	-	0.000	0.000	Merged-chr18-89126622-17
NR89--MA0508.2.PRDM1	chr1	138559838	138559847	-	0.000	0.000	Merged-chr1-138559796-44
NR481--MA0508.2.PRDM1	chr12	73565612	73565621	-	0.000	0.000	Merged-chr12-73565340-29
NR404--MA0508.2.PRDM1	chr11	96925045	96925054	+	0.000	0.000	Merged-chr11-96925082-7
NR1023--MA0508.2.PRDM1	chr18	60625548	60625557	-	0.000	0.000	Merged-chr18-60625535-13
NR55--MA0508.2.PRDM1	chr1	91086381	91086390	-	0.000	0.000	Merged-chr1-91086368-53
NR242--MA0508.2.PRDM1	chr10	67620227	67620236	+	0.000	0.000	Merged-chr10-67620150-41
NR513--MA0508.2.PRDM1	chr12	98601099	98601108	+	0.000	0.000	Merged-chr12-98601119-23
NR1179--MA0508.2.PRDM1	chr2	69862637	69862646	-	0.000	0.000	Merged-chr2-69862499-13
NR351--MA0508.2.PRDM1	chr11	21549844	21549853	-	0.000	0.000	Merged-chr11-21549629-38
NR1036--MA0508.2.PRDM1	chr18	73703040	73703049	-	0.000	0.000	Merged-chr18-73702883-6
NR1307--MA0508.2.PRDM1	chr3	32417918	32417927	-	0.000	0.000	Merged-chr3-32417870-35
NR9--MA0508.2.PRDM1	chr1	36296806	36296815	-	0.000	0.000	Merged-chr1-36296864-54
NR255--MA0508.2.PRDM1	chr10	77609845	77609854	-	0.000	0.000	Merged-chr10-77609801-14
NR1145--MA0508.2.PRDM1	chr2	34904947	34904956	+	0.000	0.000	Merged-chr2-34905139-61
NR364--MA0508.2.PRDM1	chr11	48935117	48935126	+	0.000	0.000	Merged-chr11-48935044-1
NR906--MA0508.2.PRDM1	chr16	84621546	84621555	-	0.000	0.000	Merged-chr16-84621546-51
NR2061--MA0508.2.PRDM1	chr8	83741256	83741265	-	0.000	0.000	Merged-chr8-83741278-35
NR473--MA0508.2.PRDM1	chr12	69102090	69102099	-	0.000	0.000	Merged-chr12-69102156-32
NR2170--MA0508.2.PRDM1	chr9	69940916	69940925	+	0.000	0.000	Merged-chr9-69941031-50
NR47--MA0508.2.PRDM1	chr1	82869940	82869949	+	0.000	0.000	Merged-chr1-82869741-41
NR234--MA0508.2.PRDM1	chr10	59707794	59707803	-	0.000	0.000	Merged-chr10-59707523-19
NR486--MA0508.2.PRDM1	chr12	79437059	79437068	+	0.000	0.000	Merged-chr12-79437240-16
NR409--MA0508.2.PRDM1	chr11	100574826	100574835	+	0.000	0.000	Merged-chr11-100574858-115
NR595--MA0508.2.PRDM1	chr13	56507216	56507225	+	0.000	0.000	Merged-chr13-56507278-42
NR200--MA0508.2.PRDM1	chr10	19598284	19598293	-	0.000	0.000	Merged-chr10-19598256-42
NR452--MA0508.2.PRDM1	chr12	25256455	25256464	+	0.000	0.000	Merged-chr12-25256439-11
NR518--MA0508.2.PRDM1	chr12	100928450	100928459	-	0.000	0.000	Merged-chr12-100928517-22
NR499--MA0508.2.PRDM1	chr12	84243242	84243251	+	0.000	0.000	Merged-chr12-84243337-52
NR561--MA0508.2.PRDM1	chr13	8831758	8831767	-	0.000	0.000	Merged-chr13-8831757-38
NR356--MA0508.2.PRDM1	chr11	26586728	26586737	+	0.000	0.000	Merged-chr11-26586855-34
NR2053--MA0508.2.PRDM1	chr8	71988694	71988703	+	0.000	0.000	Merged-chr8-71988666-16
NR845--MA0508.2.PRDM1	chr16	20930158	20930167	-	0.000	0.000	Merged-chr16-20930100-26
NR431--MA0508.2.PRDM1	chr12	3284357	3284366	+	0.000	0.000	Merged-chr12-3284182-20
NR587--MA0508.2.PRDM1	chr13	43436074	43436083	+	0.000	0.000	Merged-chr13-43436258-16
NR715--MA0508.2.PRDM1	chr14	64884950	64884959	+	0.000	0.000	Merged-chr14-64885056-34
NR301--MA0508.2.PRDM1	chr10	112002629	112002638	-	0.000	0.000	Merged-chr10-112002529-89
NR1701--MA0508.2.PRDM1	chr5	141241561	141241570	+	0.000	0.000	Merged-chr5-141241462-54
NR282--MA0508.2.PRDM1	chr10	98776467	98776476	+	0.000	0.000	Merged-chr10-98776574-38
NR348--MA0508.2.PRDM1	chr11	20445975	20445984	+	0.000	0.000	Merged-chr11-20446064-36
NR619--MA0508.2.PRDM1	chr13	95891033	95891042	+	0.000	0.000	Merged-chr13-95891213-14
NR2045--MA0508.2.PRDM1	chr8	57417000	57417009	-	0.000	0.000	Merged-chr8-57416909-32
NR314--MA0508.2.PRDM1	chr10	120556122	120556131	+	0.000	0.000	Merged-chr10-120556279-62
NR109--MA0508.2.PRDM1	chr1	152053499	152053508	-	0.000	0.000	Merged-chr1-152053412-31
NR2154--MA0508.2.PRDM1	chr9	58266597	58266606	-	0.000	0.000	Merged-chr9-58266728-3
NR566--MA0508.2.PRDM1	chr13	19272861	19272870	+	0.000	0.000	Merged-chr13-19272899-14
NR2011--MA0508.2.PRDM1	chr7	140999490	140999499	-	0.000	0.000	Merged-chr7-140999347-54
NR423--MA0508.2.PRDM1	chr11	116398139	116398148	+	0.000	0.000	Merged-chr11-116398180-34
NR218--MA0508.2.PRDM1	chr10	42862542	42862551	+	0.000	0.000	Merged-chr10-42862533-53
NR675--MA0508.2.PRDM1	chr14	15770067	15770076	+	0.000	0.000	Merged-chr14-15770075-60
NR199--MA0508.2.PRDM1	chr10	17565429	17565438	+	0.000	0.000	Merged-chr10-17565414-37
NR2120--MA0508.2.PRDM1	chr9	31130434	31130443	+	0.000	0.000	Merged-chr9-31130629-119
NR261--MA0508.2.PRDM1	chr10	85038367	85038376	-	0.000	0.000	Merged-chr10-85038353-15
NR1661--MA0508.2.PRDM1	chr5	105053694	105053703	-	0.000	0.000	Merged-chr5-105053656-75
NR2167--MA0508.2.PRDM1	chr9	65004178	65004187	-	0.000	0.000	Merged-chr9-65004115-12
NR436--MA0508.2.PRDM1	chr12	8659992	8660001	-	0.000	0.000	Merged-chr12-8659979-34
NR707--MA0508.2.PRDM1	chr14	59297645	59297654	-	0.000	0.000	Merged-chr14-59297580-39
NR959--MA0508.2.PRDM1	chr17	47150678	47150687	-	0.000	0.000	Merged-chr17-47150762-7
NR545--MA0508.2.PRDM1	chr12	115848086	115848095	-	0.000	0.000	Merged-chr12-115847969-36
NR816--MA0508.2.PRDM1	chr15	86007864	86007873	+	0.000	0.000	Merged-chr15-86007897-35
NR2242--MA0508.2.PRDM1	chrX	36989492	36989501	-	0.000	0.000	Merged-chrX-36989513-70
NR383--MA0508.2.PRDM1	chr11	72954003	72954012	-	0.000	0.000	Merged-chr11-72953852-64
NR1640--MA0508.2.PRDM1	chr5	92467531	92467540	+	0.000	0.000	Merged-chr5-92467651-16
NR1911--MA0508.2.PRDM1	chr7	39650917	39650926	+	0.000	0.000	Merged-chr7-39650740-5
NR2080--MA0508.2.PRDM1	chr8	96851955	96851964	-	0.000	0.000	Merged-chr8-96851957-10
NR829--MA0508.2.PRDM1	chr15	100461265	100461274	+	0.000	0.000	Merged-chr15-100461368-57
NR396--MA0508.2.PRDM1	chr11	84252631	84252640	+	0.000	0.000	Merged-chr11-84252620-21
NR2112--MA0508.2.PRDM1	chr9	14995770	14995779	-	0.000	0.000	Merged-chr9-14995745-32
NR2159--MA0508.2.PRDM1	chr9	61187255	61187264	+	0.000	0.000	Merged-chr9-61187199-16
NR157--MA0508.2.PRDM1	chr1	178182371	178182380	-	0.000	0.000	Merged-chr1-178182458-49
NR428--MA0508.2.PRDM1	chr11	121027497	121027506	+	0.000	0.000	Merged-chr11-121027485-17
NR1871--MA0508.2.PRDM1	chr6	145616540	145616549	-	0.000	0.000	Merged-chr6-145616643-48
NR2029--MA0508.2.PRDM1	chr8	35375740	35375749	-	0.000	0.000	Merged-chr8-35375700-12
NR1361--MA0508.2.PRDM1	chr3	103857576	103857585	+	0.000	0.000	Merged-chr3-103857591-40
NR1632--MA0508.2.PRDM1	chr5	77367902	77367911	+	0.000	0.000	Merged-chr5-77367800-15
NR1903--MA0508.2.PRDM1	chr7	31028776	31028785	+	0.000	0.000	Merged-chr7-31028766-21
NR2138--MA0508.2.PRDM1	chr9	44041244	44041253	-	0.000	0.000	Merged-chr9-44041219-29
NR388--MA0508.2.PRDM1	chr11	79132194	79132203	-	0.000	0.000	Merged-chr11-79132078-52
NR245--MA0508.2.PRDM1	chr10	68356277	68356286	+	0.000	0.000	Merged-chr10-68356186-29
NR1916--MA0508.2.PRDM1	chr7	44344854	44344863	+	0.000	0.000	Merged-chr7-44344765-20
NR768--MA0508.2.PRDM1	chr14	122002460	122002469	-	0.000	0.000	Merged-chr14-122002332-19
NR2117--MA0508.2.PRDM1	chr9	25230348	25230357	-	0.000	0.000	Merged-chr9-25230368-52
NR258--MA0508.2.PRDM1	chr10	81382495	81382504	+	0.000	0.000	Merged-chr10-81382450-15
NR529--MA0508.2.PRDM1	chr12	112130380	112130389	+	0.000	0.000	Merged-chr12-112130474-63
NR2098--MA0508.2.PRDM1	chr8	122304203	122304212	+	0.000	0.000	Merged-chr8-122304236-12
NR2064--MA0508.2.PRDM1	chr8	84759395	84759404	-	0.000	0.000	Merged-chr8-84759322-6
NR476--MA0508.2.PRDM1	chr12	69537945	69537954	-	0.000	0.000	Merged-chr12-69537994-76
NR1462--MA0508.2.PRDM1	chr4	14882162	14882171	+	0.000	0.000	Merged-chr4-14882054-55
NR489--MA0508.2.PRDM1	chr12	79540464	79540473	+	0.000	0.000	Merged-chr12-79540426-22
NR1746--MA0508.2.PRDM1	chr6	65564421	65564430	-	0.000	0.000	Merged-chr6-65564422-101
NR1441--MA0508.2.PRDM1	chr3	155235619	155235628	-	0.000	0.000	Merged-chr3-155235663-12
NR216--MA0508.2.PRDM1	chr10	41984246	41984255	+	0.000	0.000	Merged-chr10-41984389-13
NR1550--MA0508.2.PRDM1	chr4	133379953	133379962	-	0.000	0.000	Merged-chr4-133380080-6
NR468--MA0508.2.PRDM1	chr12	52830983	52830992	-	0.000	0.000	Merged-chr12-52830906-26
NR2165--MA0508.2.PRDM1	chr9	63711960	63711969	+	0.000	0.000	Merged-chr9-63712041-20
NR1977--MA0508.2.PRDM1	chr7	110824188	110824197	+	0.000	0.000	Merged-chr7-110824322-44
NR1834--MA0508.2.PRDM1	chr6	127265147	127265156	-	0.000	0.000	Merged-chr6-127265230-18
NR2069--MA0508.2.PRDM1	chr8	90829902	90829911	+	0.000	0.000	Merged-chr8-90829739-1
NR1420--MA0508.2.PRDM1	chr3	142283147	142283156	-	0.000	0.000	Merged-chr3-142282975-41
NR1324--MA0508.2.PRDM1	chr3	75939672	75939681	-	0.000	0.000	Merged-chr3-75939658-25
NR1781--MA0508.2.PRDM1	chr6	94646499	94646508	-	0.000	0.000	Merged-chr6-94646597-32
NR1704--MA0508.2.PRDM1	chr5	145631391	145631400	+	0.000	0.000	Merged-chr5-145631455-2
NR1271--MA0508.2.PRDM1	chr2	158160064	158160073	+	0.000	0.000	Merged-chr2-158160127-37
NR1380--MA0508.2.PRDM1	chr3	121201280	121201289	-	0.000	0.000	Merged-chr3-121201249-12
NR1922--MA0508.2.PRDM1	chr7	58475299	58475308	-	0.000	0.000	Merged-chr7-58475361-44
NR1446--MA0508.2.PRDM1	chr3	157627581	157627590	-	0.000	0.000	Merged-chr3-157627729-20
NR1303--MA0508.2.PRDM1	chr3	21953034	21953043	+	0.000	0.000	Merged-chr3-21953185-77
NR1969--MA0508.2.PRDM1	chr7	107609828	107609837	-	0.000	0.000	Merged-chr7-107609877-33
NR1284--MA0508.2.PRDM1	chr2	173448682	173448691	+	0.000	0.000	Merged-chr2-173448878-59
NR1826--MA0508.2.PRDM1	chr6	121241891	121241900	+	0.000	0.000	Merged-chr6-121242053-23
NR1568--MA0508.2.PRDM1	chr4	145319390	145319399	-	0.000	0.000	Merged-chr4-145319470-38
NR1839--MA0508.2.PRDM1	chr6	129366092	129366101	+	0.000	0.000	Merged-chr6-129366136-25
NR1630--MA0508.2.PRDM1	chr5	77166259	77166268	-	0.000	0.000	Merged-chr5-77166256-29
NR2136--MA0508.2.PRDM1	chr9	42995496	42995505	+	0.000	0.000	Merged-chr9-42995452-17
NR1011--MA0508.2.PRDM1	chr18	40308109	40308118	-	0.000	0.000	Merged-chr18-40308184-41
NR1677--MA0508.2.PRDM1	chr5	115712214	115712223	+	0.000	0.000	Merged-chr5-115712054-77
NR1263--MA0508.2.PRDM1	chr2	150558809	150558818	-	0.000	0.000	Merged-chr2-150558773-40
NR1534--MA0508.2.PRDM1	chr4	117835401	117835410	+	0.000	0.000	Merged-chr4-117835233-2
NR2149--MA0508.2.PRDM1	chr9	55242133	55242142	+	0.000	0.000	Merged-chr9-55242240-47
NR610--MA0508.2.PRDM1	chr13	89965964	89965973	-	0.000	0.000	Merged-chr13-89965778-3
NR1308--MA0508.2.PRDM1	chr3	32420042	32420051	+	0.000	0.000	Merged-chr3-32420097-47
NR1765--MA0508.2.PRDM1	chr6	82775583	82775592	+	0.000	0.000	Merged-chr6-82775550-35
NR732--MA0508.2.PRDM1	chr14	75516412	75516421	-	0.000	0.000	Merged-chr14-75516404-45
NR1622--MA0508.2.PRDM1	chr5	64488158	64488167	+	0.000	0.000	Merged-chr5-64487990-63
NR1146--MA0508.2.PRDM1	chr2	34945668	34945677	-	0.000	0.000	Merged-chr2-34945759-18
NR2128--MA0508.2.PRDM1	chr9	35498116	35498125	+	0.000	0.000	Merged-chr9-35498014-17
NR1460--MA0508.2.PRDM1	chr4	11077714	11077723	+	0.000	0.000	Merged-chr4-11077783-17
NR950--MA0508.2.PRDM1	chr17	36229373	36229382	-	0.000	0.000	Merged-chr17-36229276-20
NR1364--MA0508.2.PRDM1	chr3	105900414	105900423	+	0.000	0.000	Merged-chr3-105900628-63
NR1887--MA0508.2.PRDM1	chr7	16201347	16201356	+	0.000	0.000	Merged-chr7-16201318-27
NR1744--MA0508.2.PRDM1	chr6	61066113	61066122	+	0.000	0.000	Merged-chr6-61066166-46
NR1268--MA0508.2.PRDM1	chr2	153345647	153345656	-	0.000	0.000	Merged-chr2-153345751-112
NR711--MA0508.2.PRDM1	chr14	62761108	62761117	+	0.000	0.000	Merged-chr14-62761015-141
NR1996--MA0508.2.PRDM1	chr7	125511557	125511566	-	0.000	0.000	Merged-chr7-125511628-40
NR1919--MA0508.2.PRDM1	chr7	49462669	49462678	+	0.000	0.000	Merged-chr7-49462687-57
NR1072--MA0508.2.PRDM1	chr19	14305900	14305909	+	0.000	0.000	Merged-chr19-14305924-12
NR27--MA0508.2.PRDM1	chr1	52607900	52607909	+	0.000	0.000	Merged-chr1-52607825-19
NR562--MA0508.2.PRDM1	chr13	9776287	9776296	-	0.000	0.000	Merged-chr13-9776180-30
NR1181--MA0508.2.PRDM1	chr2	73070696	73070705	-	0.000	0.000	Merged-chr2-73070867-8
NR1104--MA0508.2.PRDM1	chr19	55688810	55688819	+	0.000	0.000	Merged-chr19-55688769-29
NR1085--MA0508.2.PRDM1	chr19	32172665	32172674	+	0.000	0.000	Merged-chr19-32172725-56
NR1356--MA0508.2.PRDM1	chr3	101245490	101245499	-	0.000	0.000	Merged-chr3-101245474-18
NR1736--MA0508.2.PRDM1	chr6	51060200	51060209	+	0.000	0.000	Merged-chr6-51060161-45
NR432--MA0508.2.PRDM1	chr12	3871067	3871076	-	0.000	0.000	Merged-chr12-3871224-57
NR1051--MA0508.2.PRDM1	chr18	82514963	82514972	-	0.000	0.000	Merged-chr18-82515128-8
NR1322--MA0508.2.PRDM1	chr3	69223750	69223759	+	0.000	0.000	Merged-chr3-69223977-21
NR270--MA0508.2.PRDM1	chr10	93938811	93938820	+	0.000	0.000	Merged-chr10-93938916-38
NR1160--MA0508.2.PRDM1	chr2	51148577	51148586	+	0.000	0.000	Merged-chr2-51148397-1
NR1226--MA0508.2.PRDM1	chr2	117089713	117089722	-	0.000	0.000	Merged-chr2-117089625-28
NR1683--MA0508.2.PRDM1	chr5	120777721	120777730	+	0.000	0.000	Merged-chr5-120777652-8
NR1749--MA0508.2.PRDM1	chr6	66472924	66472933	+	0.000	0.000	Merged-chr6-66473070-26
NR650--MA0508.2.PRDM1	chr13	108044469	108044478	+	0.000	0.000	Merged-chr13-108044472-63
NR1064--MA0508.2.PRDM1	chr19	6869651	6869660	+	0.000	0.000	Merged-chr19-6869528-29
NR1335--MA0508.2.PRDM1	chr3	86206658	86206667	-	0.000	0.000	Merged-chr3-86206725-10
NR1606--MA0508.2.PRDM1	chr5	38307966	38307975	-	0.000	0.000	Merged-chr5-38307807-52
NR1587--MA0508.2.PRDM1	chr5	8801500	8801509	-	0.000	0.000	Merged-chr5-8801410-8
NR19--MA0508.2.PRDM1	chr1	40393373	40393382	+	0.000	0.000	Merged-chr1-40393516-44
NR1239--MA0508.2.PRDM1	chr2	129174625	129174634	+	0.000	0.000	Merged-chr2-129174665-20
NR411--MA0508.2.PRDM1	chr11	104667628	104667637	-	0.000	0.000	Merged-chr11-104667644-45
NR663--MA0508.2.PRDM1	chr13	112424799	112424808	-	0.000	0.000	Merged-chr13-112424975-114
NR934--MA0508.2.PRDM1	chr17	18558898	18558907	+	0.000	0.000	Merged-chr17-18558777-104
NR1348--MA0508.2.PRDM1	chr3	96764775	96764784	+	0.000	0.000	Merged-chr3-96764776-19
NR1619--MA0508.2.PRDM1	chr5	53995403	53995412	+	0.000	0.000	Merged-chr5-53995231-101
NR1205--MA0508.2.PRDM1	chr2	101819592	101819601	+	0.000	0.000	Merged-chr2-101819569-26
NR1457--MA0508.2.PRDM1	chr4	8928580	8928589	+	0.000	0.000	Merged-chr4-8928787-42
NR424--MA0508.2.PRDM1	chr11	117965735	117965744	+	0.000	0.000	Merged-chr11-117965771-41
NR1043--MA0508.2.PRDM1	chr18	77746903	77746912	-	0.000	0.000	Merged-chr18-77747090-44
NR881--MA0508.2.PRDM1	chr16	49772880	49772889	-	0.000	0.000	Merged-chr16-49772867-33
NR676--MA0508.2.PRDM1	chr14	18271189	18271198	-	0.000	0.000	Merged-chr14-18271014-66
NR1295--MA0508.2.PRDM1	chr2	181581085	181581094	+	0.000	0.000	Merged-chr2-181581172-2
NR371--MA0508.2.PRDM1	chr11	59398102	59398111	+	0.000	0.000	Merged-chr11-59397887-30
NR913--MA0508.2.PRDM1	chr16	93576738	93576747	-	0.000	0.000	Merged-chr16-93576839-6
NR1327--MA0508.2.PRDM1	chr3	79177284	79177293	+	0.000	0.000	Merged-chr3-79177375-21
NR88--MA0508.2.PRDM1	chr1	138157197	138157206	-	0.000	0.000	Merged-chr1-138157317-43
NR1579--MA0508.2.PRDM1	chr4	155095399	155095408	+	0.000	0.000	Merged-chr4-155095407-34
NR751--MA0508.2.PRDM1	chr14	103850768	103850777	-	0.000	0.000	Merged-chr14-103850623-36
NR1707--MA0508.2.PRDM1	chr5	149647746	149647755	-	0.000	0.000	Merged-chr5-149647772-15
NR1688--MA0508.2.PRDM1	chr5	124497027	124497036	+	0.000	0.000	Merged-chr5-124497096-41
NR1545--MA0508.2.PRDM1	chr4	128993193	128993202	-	0.000	0.000	Merged-chr4-128993353-48
NR241--MA0508.2.PRDM1	chr10	67189185	67189194	+	0.000	0.000	Merged-chr10-67189227-25
NR493--MA0508.2.PRDM1	chr12	80131632	80131641	+	0.000	0.000	Merged-chr12-80131386-94
NR1383--MA0508.2.PRDM1	chr3	121494320	121494329	+	0.000	0.000	Merged-chr3-121494135-61
NR1035--MA0508.2.PRDM1	chr18	73613608	73613617	-	0.000	0.000	Merged-chr18-73613587-25
NR2190--MA0508.2.PRDM1	chr9	90104899	90104908	+	0.000	0.000	Merged-chr9-90104933-13
NR1829--MA0508.2.PRDM1	chr6	122804546	122804555	-	0.000	0.000	Merged-chr6-122804652-39
NR525--MA0508.2.PRDM1	chr12	107497182	107497191	-	0.000	0.000	Merged-chr12-107497155-16
NR982--MA0508.2.PRDM1	chr17	75005136	75005145	+	0.000	0.000	Merged-chr17-75005381-52
NR1253--MA0508.2.PRDM1	chr2	144343268	144343277	-	0.000	0.000	Merged-chr2-144343268-23
NR1319--MA0508.2.PRDM1	chr3	64205380	64205389	+	0.000	0.000	Merged-chr3-64205377-25
NR581--MA0508.2.PRDM1	chr13	37633208	37633217	-	0.000	0.000	Merged-chr13-37633223-3
NR852--MA0508.2.PRDM1	chr16	24834993	24835002	+	0.000	0.000	Merged-chr16-24834930-16
NR647--MA0508.2.PRDM1	chr13	106691942	106691951	-	0.000	0.000	Merged-chr13-106691961-50
NR233--MA0508.2.PRDM1	chr10	58675637	58675646	+	0.000	0.000	Merged-chr10-58675736-25
NR899--MA0508.2.PRDM1	chr16	77099344	77099353	+	0.000	0.000	Merged-chr16-77099308-12
NR1123--MA0508.2.PRDM1	chr2	16568482	16568491	-	0.000	0.000	Merged-chr2-16568402-24
NR1027--MA0508.2.PRDM1	chr18	65481389	65481398	+	0.000	0.000	Merged-chr18-65481395-37
NR865--MA0508.2.PRDM1	chr16	36057762	36057771	-	0.000	0.000	Merged-chr16-36057640-19
NR1407--MA0508.2.PRDM1	chr3	137194066	137194075	+	0.000	0.000	Merged-chr3-137194185-7
NR974--MA0508.2.PRDM1	chr17	69422886	69422895	-	0.000	0.000	Merged-chr17-69422874-19
NR769--MA0508.2.PRDM1	chr14	122029104	122029113	+	0.000	0.000	Merged-chr14-122029195-41
NR1388--MA0508.2.PRDM1	chr3	123385939	123385948	+	0.000	0.000	Merged-chr3-123385920-64
NR1659--MA0508.2.PRDM1	chr5	103412565	103412574	-	0.000	0.000	Merged-chr5-103412550-11
NR831--MA0508.2.PRDM1	chr15	102234150	102234159	+	0.000	0.000	Merged-chr15-102234091-17
NR735--MA0508.2.PRDM1	chr14	78685463	78685472	-	0.000	0.000	Merged-chr14-78685455-11
NR1083--MA0508.2.PRDM1	chr19	30924247	30924256	-	0.000	0.000	Merged-chr19-30924347-34
NR1115--MA0508.2.PRDM1	chr2	5642776	5642785	-	0.000	0.000	Merged-chr2-5642867-48
NR334--MA0508.2.PRDM1	chr10	130324423	130324432	+	0.000	0.000	Merged-chr10-130324467-31
NR605--MA0508.2.PRDM1	chr13	81675480	81675489	-	0.000	0.000	Merged-chr13-81675595-44
NR1019--MA0508.2.PRDM1	chr18	56714480	56714489	+	0.000	0.000	Merged-chr18-56714625-64
NR857--MA0508.2.PRDM1	chr16	27349519	27349528	-	0.000	0.000	Merged-chr16-27349554-54
