#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR3687--MA1104.1.GATA6	chr19	31321986	31321998	+	0.000	0.000	Merged-chr19-31321995-11
NR2740--MA0035.3.Gata1	chr15	103258539	103258549	+	0.000	0.000	Merged-chr15-103258343-65
NR5019--MA1104.1.GATA6	chr4	33227288	33227300	+	0.000	0.000	Merged-chr4-33227166-36
NR1388--MA1104.1.GATA6	chr11	116265610	116265622	-	0.000	0.000	Merged-chr11-116265626-27
NR5106--MA0766.1.GATA5	chr4	71291542	71291549	-	0.000	0.000	Merged-chr4-71291736-94
NR6532--MA0766.1.GATA5	chr7	100449172	100449179	-	0.000	0.000	Merged-chr7-100449076-60
NR2030--MA0766.1.GATA5	chr13	95697072	95697079	-	0.000	0.000	Merged-chr13-95697036-46
NR3177--MA1104.1.GATA6	chr17	44893784	44893796	+	0.000	0.000	Merged-chr17-44893726-24
NR4695--MA0482.1.Gata4	chr3	108788164	108788174	-	0.000	0.000	Merged-chr3-108788342-25
NR4300--MA0482.1.Gata4	chr2	136988017	136988027	-	0.000	0.000	Merged-chr2-136988057-20
NR4781--MA0035.3.Gata1	chr3	132886774	132886784	+	0.000	0.000	Merged-chr3-132886809-16
NR3059--MA0766.1.GATA5	chr17	6659043	6659050	-	0.000	0.000	Merged-chr17-6658937-44
NR5114--MA0140.2.GATA1::TAL1	chr4	71291862	71291879	-	0.000	0.000	Merged-chr4-71291736-94
NR5677--MA0482.1.Gata4	chr5	110711538	110711548	+	0.000	0.000	Merged-chr5-110711531-4
NR6779--MA0035.3.Gata1	chr7	140207132	140207142	+	0.000	0.000	Merged-chr7-140207191-19
NR4845--MA0140.2.GATA1::TAL1	chr3	137969352	137969369	-	0.000	0.000	Merged-chr3-137969157-49
NR4433--MA0035.3.Gata1	chr2	166719517	166719527	+	0.000	0.000	Merged-chr2-166719426-29
NR1670--MA0036.3.GATA2	chr12	108646504	108646514	+	0.000	0.000	Merged-chr12-108646363-75
NR6960--MA0482.1.Gata4	chr8	94240436	94240446	+	0.000	0.000	Merged-chr8-94240399-13
NR4998--MA0036.3.GATA2	chr4	11961004	11961014	-	0.000	0.000	Merged-chr4-11960864-24
NR2662--MA0766.1.GATA5	chr15	88730899	88730906	+	0.000	0.000	Merged-chr15-88731051-1
NR1718--MA0140.2.GATA1::TAL1	chr12	116011117	116011134	+	0.000	0.000	Merged-chr12-116011021-26
NR7347--MA0035.3.Gata1	chr9	80318149	80318159	+	0.000	0.000	Merged-chr9-80318250-48
NR3368--MA0035.3.Gata1	chr18	34783895	34783905	-	0.000	0.000	Merged-chr18-34783714-45
NR3992--MA0766.1.GATA5	chr2	67131862	67131869	+	0.000	0.000	Merged-chr2-67131784-2
NR774--MA0482.1.Gata4	chr10	80700850	80700860	+	0.000	0.000	Merged-chr10-80700904-35
NR682--MA1104.1.GATA6	chr10	39488317	39488329	+	0.000	0.000	Merged-chr10-39488240-32
NR2413--MA0036.3.GATA2	chr14	101477377	101477387	-	0.000	0.000	Merged-chr14-101477413-70
NR5726--MA1104.1.GATA6	chr5	123132810	123132822	-	0.000	0.000	Merged-chr5-123132654-50
NR4616--MA0036.3.GATA2	chr3	79248516	79248526	-	0.000	0.000	Merged-chr3-79248582-102
NR4422--MA0482.1.Gata4	chr2	163131100	163131110	+	0.000	0.000	Merged-chr2-163131105-39
NR5133--MA0482.1.Gata4	chr4	89400517	89400527	-	0.000	0.000	Merged-chr4-89400416-12
NR3156--MA1104.1.GATA6	chr17	31224053	31224065	+	0.000	0.000	Merged-chr17-31224074-61
NR4202--MA0036.3.GATA2	chr2	118759911	118759921	+	0.000	0.000	Merged-chr2-118759977-35
NR2522--MA0036.3.GATA2	chr15	27725075	27725085	-	0.000	0.000	Merged-chr15-27725053-111
NR2763--MA0140.2.GATA1::TAL1	chr16	18344050	18344067	-	0.000	0.000	Merged-chr16-18343895-61
NR7244--MA1104.1.GATA6	chr9	51015924	51015936	-	0.000	0.000	Merged-chr9-51015891-3
NR791--MA0037.3.GATA3	chr10	83733969	83733976	-	0.000	0.000	Merged-chr10-83733897-13
NR2375--MA0482.1.Gata4	chr14	78687948	78687958	+	0.000	0.000	Merged-chr14-78687892-42
NR2646--MA0482.1.Gata4	chr15	85828865	85828875	+	0.000	0.000	Merged-chr15-85828905-13
NR2732--MA0035.3.Gata1	chr15	100750371	100750381	+	0.000	0.000	Merged-chr15-100750259-57
NR3357--MA0482.1.Gata4	chr18	23913297	23913307	+	0.000	0.000	Merged-chr18-23913382-65
NR4783--MA0482.1.Gata4	chr3	133332579	133332589	+	0.000	0.000	Merged-chr3-133332565-72
NR4691--MA1104.1.GATA6	chr3	106544878	106544890	+	0.000	0.000	Merged-chr3-106544962-40
NR5783--MA0140.2.GATA1::TAL1	chr5	145069785	145069802	-	0.000	0.000	Merged-chr5-145069917-27
NR3884--MA0037.3.GATA3	chr2	26753538	26753545	+	0.000	0.000	Merged-chr2-26753671-30
NR577--MA0766.1.GATA5	chr1	191432316	191432323	+	0.000	0.000	Merged-chr1-191432445-73
NR7148--MA1104.1.GATA6	chr9	20492727	20492739	+	0.000	0.000	Merged-chr9-20492841-60
NR1333--MA0037.3.GATA3	chr11	108910990	108910997	-	0.000	0.000	Merged-chr11-108910906-74
NR2779--MA0035.3.Gata1	chr16	20930012	20930022	+	0.000	0.000	Merged-chr16-20930100-26
NR4435--MA0482.1.Gata4	chr2	167081042	167081052	-	0.000	0.000	Merged-chr2-167081117-10
NR1078--MA0140.2.GATA1::TAL1	chr11	34064283	34064300	-	0.000	0.000	Merged-chr11-34064073-70
NR2816--MA0766.1.GATA5	chr16	33073043	33073050	+	0.000	0.000	Merged-chr16-33073178-28
NR753--MA0482.1.Gata4	chr10	70319000	70319010	+	0.000	0.000	Merged-chr10-70318807-18
NR6036--MA0037.3.GATA3	chr6	100011908	100011915	+	0.000	0.000	Merged-chr6-100011850-11
NR5117--MA0140.2.GATA1::TAL1	chr4	75278964	75278981	-	0.000	0.000	Merged-chr4-75279089-1
NR502--MA0140.2.GATA1::TAL1	chr1	177670700	177670717	+	0.000	0.000	Merged-chr1-177670807-27
NR2168--MA0036.3.GATA2	chr13	113580115	113580125	-	0.000	0.000	Merged-chr13-113580257-62
NR5577--MA0037.3.GATA3	chr5	92375117	92375124	-	0.000	0.000	Merged-chr5-92374946-3
NR2245--MA0482.1.Gata4	chr14	30675115	30675125	-	0.000	0.000	Merged-chr14-30675172-26
NR932--MA0037.3.GATA3	chr10	117970047	117970054	-	0.000	0.000	Merged-chr10-117970017-9
NR1346--MA0037.3.GATA3	chr11	109694158	109694165	+	0.000	0.000	Merged-chr11-109694201-12
NR2227--MA0140.2.GATA1::TAL1	chr14	18426026	18426043	-	0.000	0.000	Merged-chr14-18426065-14
NR3227--MA0482.1.Gata4	chr17	56291310	56291320	+	0.000	0.000	Merged-chr17-56291357-21
NR6591--MA0140.2.GATA1::TAL1	chr7	111184633	111184650	+	0.000	0.000	Merged-chr7-111184684-6
NR6123--MA0766.1.GATA5	chr6	122742624	122742631	-	0.000	0.000	Merged-chr6-122742614-91
NR675--MA0140.2.GATA1::TAL1	chr10	32333665	32333682	-	0.000	0.000	Merged-chr10-32333612-1
NR2649--MA0035.3.Gata1	chr15	85828864	85828874	+	0.000	0.000	Merged-chr15-85828905-13
NR422--MA1104.1.GATA6	chr1	164366709	164366721	-	0.000	0.000	Merged-chr1-164366862-30
NR7637--MA0037.3.GATA3	chrX	107088384	107088391	-	0.000	0.000	Merged-chrX-107088422-23
NR6195--MA0035.3.Gata1	chr6	131367423	131367433	-	0.000	0.000	Merged-chr6-131367323-31
NR5957--MA0037.3.GATA3	chr6	86364842	86364849	-	0.000	0.000	Merged-chr6-86364672-4
NR304--MA0766.1.GATA5	chr1	143232080	143232087	-	0.000	0.000	Merged-chr1-143231887-6
NR3065--MA0482.1.Gata4	chr17	12165548	12165558	+	0.000	0.000	Merged-chr17-12165459-54
NR6636--MA0036.3.GATA2	chr7	114616934	114616944	-	0.000	0.000	Merged-chr7-114616980-17
NR4966--MA0766.1.GATA5	chr4	3209834	3209841	+	0.000	0.000	Merged-chr4-3209817-19
NR4670--MA1104.1.GATA6	chr3	101296677	101296689	+	0.000	0.000	Merged-chr3-101296807-2
NR6989--MA0035.3.Gata1	chr8	111595992	111596002	+	0.000	0.000	Merged-chr8-111595874-65
NR3863--MA0037.3.GATA3	chr2	22787295	22787302	+	0.000	0.000	Merged-chr2-22787273-9
NR275--MA0036.3.GATA2	chr1	136601136	136601146	+	0.000	0.000	Merged-chr1-136600909-41
NR1041--MA0037.3.GATA3	chr11	21105545	21105552	-	0.000	0.000	Merged-chr11-21105658-1
NR6503--MA0766.1.GATA5	chr7	90007381	90007388	+	0.000	0.000	Merged-chr7-90007418-46
NR7475--MA0037.3.GATA3	chr9	110461309	110461316	-	0.000	0.000	Merged-chr9-110461339-53
NR4322--MA1104.1.GATA6	chr2	146498564	146498576	-	0.000	0.000	Merged-chr2-146498425-8
NR69--MA0482.1.Gata4	chr1	60990423	60990433	+	0.000	0.000	Merged-chr1-60990456-63
NR2642--MA1104.1.GATA6	chr15	85469059	85469071	+	0.000	0.000	Merged-chr15-85469002-5
NR2830--MA0140.2.GATA1::TAL1	chr16	38653601	38653618	+	0.000	0.000	Merged-chr16-38653657-58
NR5901--MA0766.1.GATA5	chr6	58832867	58832874	-	0.000	0.000	Merged-chr6-58832889-39
NR6331--MA0036.3.GATA2	chr7	27933592	27933602	-	0.000	0.000	Merged-chr7-27933719-74
NR1069--MA0036.3.GATA2	chr11	30166378	30166388	-	0.000	0.000	Merged-chr11-30166468-16
NR2110--MA0766.1.GATA5	chr13	105049051	105049058	+	0.000	0.000	Merged-chr13-105048907-4
NR6869--MA0482.1.Gata4	chr8	35628399	35628409	+	0.000	0.000	Merged-chr8-35628375-52
NR4252--MA0482.1.Gata4	chr2	128366015	128366025	-	0.000	0.000	Merged-chr2-128365920-27
NR1380--MA0766.1.GATA5	chr11	115629850	115629857	+	0.000	0.000	Merged-chr11-115630006-24
NR6388--MA0766.1.GATA5	chr7	47008427	47008434	+	0.000	0.000	Merged-chr7-47008275-77
NR1641--MA0036.3.GATA2	chr12	102612900	102612910	-	0.000	0.000	Merged-chr12-102612647-51
NR2248--MA0035.3.Gata1	chr14	30675116	30675126	-	0.000	0.000	Merged-chr14-30675172-26
NR1922--MA0766.1.GATA5	chr13	64315647	64315654	+	0.000	0.000	Merged-chr13-64315696-19
NR6378--MA0036.3.GATA2	chr7	45374772	45374782	+	0.000	0.000	Merged-chr7-45374832-5
NR4979--MA0766.1.GATA5	chr4	10770164	10770171	+	0.000	0.000	Merged-chr4-10770192-53
NR5761--MA0037.3.GATA3	chr5	137787618	137787625	+	0.000	0.000	Merged-chr5-137787536-7
NR7166--MA0482.1.Gata4	chr9	32701415	32701425	+	0.000	0.000	Merged-chr9-32701343-20
NR139--MA0140.2.GATA1::TAL1	chr1	82836491	82836508	-	0.000	0.000	Merged-chr1-82836652-59
NR3711--MA0766.1.GATA5	chr19	34640607	34640614	+	0.000	0.000	Merged-chr19-34640764-45
NR7247--MA0140.2.GATA1::TAL1	chr9	52074128	52074145	+	0.000	0.000	Merged-chr9-52073999-13
NR7597--MA0037.3.GATA3	chrX	17365319	17365326	-	0.000	0.000	Merged-chrX-17365333-21
NR401--MA0037.3.GATA3	chr1	162615723	162615730	+	0.000	0.000	Merged-chr1-162615694-15
NR4696--MA1104.1.GATA6	chr3	108788164	108788176	+	0.000	0.000	Merged-chr3-108788342-25
NR2442--MA0482.1.Gata4	chr14	103088679	103088689	+	0.000	0.000	Merged-chr14-103088795-24
NR2350--MA1104.1.GATA6	chr14	66218978	66218990	-	0.000	0.000	Merged-chr14-66218968-32
NR4398--MA0035.3.Gata1	chr2	156882621	156882631	-	0.000	0.000	Merged-chr2-156882642-42
NR4003--MA0035.3.Gata1	chr2	72282907	72282917	-	0.000	0.000	Merged-chr2-72282934-17
NR259--MA0035.3.Gata1	chr1	131638414	131638424	-	0.000	0.000	Merged-chr1-131638408-68
NR4255--MA0035.3.Gata1	chr2	128366016	128366026	-	0.000	0.000	Merged-chr2-128365920-27
NR7307--MA0482.1.Gata4	chr9	66295134	66295144	+	0.000	0.000	Merged-chr9-66295082-25
NR2846--MA0035.3.Gata1	chr16	45025478	45025488	-	0.000	0.000	Merged-chr16-45025536-40
NR5590--MA0766.1.GATA5	chr5	93133509	93133516	+	0.000	0.000	Merged-chr5-93133564-50
NR6187--MA0035.3.Gata1	chr6	130312044	130312054	+	0.000	0.000	Merged-chr6-130312055-26
NR2617--MA0482.1.Gata4	chr15	78835266	78835276	-	0.000	0.000	Merged-chr15-78835387-37
NR639--MA0035.3.Gata1	chr10	21964642	21964652	+	0.000	0.000	Merged-chr10-21964511-16
NR3855--MA0037.3.GATA3	chr2	19628498	19628505	-	0.000	0.000	Merged-chr2-19628399-27
NR5960--MA0036.3.GATA2	chr6	86364841	86364851	+	0.000	0.000	Merged-chr6-86364672-4
NR2270--MA0035.3.Gata1	chr14	45155708	45155718	-	0.000	0.000	Merged-chr14-45155731-26
NR405--MA0766.1.GATA5	chr1	162615723	162615730	+	0.000	0.000	Merged-chr1-162615694-15
NR872--MA0140.2.GATA1::TAL1	chr10	108167988	108168005	-	0.000	0.000	Merged-chr10-108168166-48
NR7324--MA0037.3.GATA3	chr9	69156195	69156202	-	0.000	0.000	Merged-chr9-69156335-38
NR1413--MA0037.3.GATA3	chr12	25270024	25270031	+	0.000	0.000	Merged-chr12-25270049-10
NR4199--MA0037.3.GATA3	chr2	118759912	118759919	-	0.000	0.000	Merged-chr2-118759977-35
NR4177--MA0766.1.GATA5	chr2	115846630	115846637	+	0.000	0.000	Merged-chr2-115846585-1
NR1769--MA0140.2.GATA1::TAL1	chr12	118439063	118439080	-	0.000	0.000	Merged-chr12-118439012-3
NR4244--MA0482.1.Gata4	chr2	127923473	127923483	+	0.000	0.000	Merged-chr2-127923410-36
NR6533--MA0035.3.Gata1	chr7	100449171	100449181	+	0.000	0.000	Merged-chr7-100449076-60
NR5450--MA0036.3.GATA2	chr5	33304163	33304173	-	0.000	0.000	Merged-chr5-33304235-9
NR7158--MA0482.1.Gata4	chr9	31254824	31254834	-	0.000	0.000	Merged-chr9-31254853-49
NR2031--MA0035.3.Gata1	chr13	95697071	95697081	+	0.000	0.000	Merged-chr13-95697036-46
NR6508--MA0766.1.GATA5	chr7	90218187	90218194	-	0.000	0.000	Merged-chr7-90218311-11
NR2376--MA1104.1.GATA6	chr14	78687946	78687958	-	0.000	0.000	Merged-chr14-78687892-42
NR2647--MA1104.1.GATA6	chr15	85828863	85828875	-	0.000	0.000	Merged-chr15-85828905-13
NR1471--MA0036.3.GATA2	chr12	55051397	55051407	+	0.000	0.000	Merged-chr12-55051446-14
NR3358--MA1104.1.GATA6	chr18	23913295	23913307	-	0.000	0.000	Merged-chr18-23913382-65
NR7542--MA0037.3.GATA3	chr9	120493245	120493252	-	0.000	0.000	Merged-chr9-120493281-1
NR6371--MA0035.3.Gata1	chr7	44496629	44496639	+	0.000	0.000	Merged-chr7-44496496-71
NR4784--MA1104.1.GATA6	chr3	133332577	133332589	-	0.000	0.000	Merged-chr3-133332565-72
NR5906--MA0766.1.GATA5	chr6	61225494	61225501	-	0.000	0.000	Merged-chr6-61225621-10
NR3684--MA0766.1.GATA5	chr19	31210684	31210691	-	0.000	0.000	Merged-chr19-31210653-54
NR6346--MA0766.1.GATA5	chr7	30099623	30099630	+	0.000	0.000	Merged-chr7-30099514-26
NR1426--MA0037.3.GATA3	chr12	26460152	26460159	-	0.000	0.000	Merged-chr12-26460097-25
NR4424--MA0140.2.GATA1::TAL1	chr2	163131101	163131118	+	0.000	0.000	Merged-chr2-163131105-39
NR737--MA0482.1.Gata4	chr10	62327712	62327722	-	0.000	0.000	Merged-chr10-62327638-49
NR4641--MA1104.1.GATA6	chr3	89906212	89906224	-	0.000	0.000	Merged-chr3-89906356-37
NR4436--MA1104.1.GATA6	chr2	167081042	167081054	+	0.000	0.000	Merged-chr2-167081117-10
NR3834--MA0037.3.GATA3	chr2	13760574	13760581	+	0.000	0.000	Merged-chr2-13760550-51
NR204--MA0035.3.Gata1	chr1	95268073	95268083	-	0.000	0.000	Merged-chr1-95268129-85
NR2638--MA0766.1.GATA5	chr15	82906893	82906900	+	0.000	0.000	Merged-chr15-82906941-10
NR3793--MA0766.1.GATA5	chr2	3727762	3727769	-	0.000	0.000	Merged-chr2-3727720-19
NR2534--MA0140.2.GATA1::TAL1	chr15	38101223	38101240	-	0.000	0.000	Merged-chr15-38101336-28
NR6129--MA0037.3.GATA3	chr6	125231717	125231724	-	0.000	0.000	Merged-chr6-125231768-97
NR1755--MA0036.3.GATA2	chr12	118255860	118255870	-	0.000	0.000	Merged-chr12-118255780-45
NR4639--MA0140.2.GATA1::TAL1	chr3	89231608	89231625	+	0.000	0.000	Merged-chr3-89231593-29
NR2246--MA1104.1.GATA6	chr14	30675115	30675127	+	0.000	0.000	Merged-chr14-30675172-26
NR1694--MA0035.3.Gata1	chr12	112743308	112743318	+	0.000	0.000	Merged-chr12-112743369-41
NR1235--MA0140.2.GATA1::TAL1	chr11	88204227	88204244	+	0.000	0.000	Merged-chr11-88204255-77
NR1794--MA0140.2.GATA1::TAL1	chr13	13559105	13559122	+	0.000	0.000	Merged-chr13-13559096-31
NR1896--MA0037.3.GATA3	chr13	52922198	52922205	+	0.000	0.000	Merged-chr13-52922066-27
NR1874--MA0766.1.GATA5	chr13	42101817	42101824	-	0.000	0.000	Merged-chr13-42101708-35
NR6678--MA0482.1.Gata4	chr7	117383394	117383404	+	0.000	0.000	Merged-chr7-117383303-11
NR7297--MA1104.1.GATA6	chr9	63785708	63785720	-	0.000	0.000	Merged-chr9-63785726-16
NR2328--MA0035.3.Gata1	chr14	61589873	61589883	-	0.000	0.000	Merged-chr14-61589696-23
NR6729--MA0036.3.GATA2	chr7	126780374	126780384	-	0.000	0.000	Merged-chr7-126780255-24
NR3066--MA1104.1.GATA6	chr17	12165546	12165558	-	0.000	0.000	Merged-chr17-12165459-54
NR4112--MA0036.3.GATA2	chr2	102812792	102812802	-	0.000	0.000	Merged-chr2-102812992-26
NR4364--MA0036.3.GATA2	chr2	151967813	151967823	-	0.000	0.000	Merged-chr2-151967993-15
NR1386--MA0037.3.GATA3	chr11	116265612	116265619	-	0.000	0.000	Merged-chr11-116265626-27
NR1625--MA0036.3.GATA2	chr12	98247086	98247096	+	0.000	0.000	Merged-chr12-98247130-40
NR578--MA0035.3.Gata1	chr1	191432314	191432324	-	0.000	0.000	Merged-chr1-191432445-73
NR1221--MA0766.1.GATA5	chr11	83550291	83550298	-	0.000	0.000	Merged-chr11-83550444-44
NR1954--MA0482.1.Gata4	chr13	75035307	75035317	-	0.000	0.000	Merged-chr13-75035178-8
NR4253--MA1104.1.GATA6	chr2	128366015	128366027	+	0.000	0.000	Merged-chr2-128365920-27
NR3175--MA0037.3.GATA3	chr17	44893787	44893794	+	0.000	0.000	Merged-chr17-44893726-24
NR7231--MA0036.3.GATA2	chr9	48795324	48795334	-	0.000	0.000	Merged-chr9-48795268-19
NR1421--MA0035.3.Gata1	chr12	25394412	25394422	+	0.000	0.000	Merged-chr12-25394494-23
NR3881--MA0766.1.GATA5	chr2	26154177	26154184	+	0.000	0.000	Merged-chr2-26154226-16
NR4813--MA0140.2.GATA1::TAL1	chr3	136531894	136531911	+	0.000	0.000	Merged-chr3-136531691-41
NR3000--MA0036.3.GATA2	chr16	92764918	92764928	-	0.000	0.000	Merged-chr16-92765010-8
NR2881--MA0140.2.GATA1::TAL1	chr16	55754440	55754457	-	0.000	0.000	Merged-chr16-55754578-52
NR4919--MA0036.3.GATA2	chr3	148807224	148807234	-	0.000	0.000	Merged-chr3-148807140-19
NR6918--MA0140.2.GATA1::TAL1	chr8	71709933	71709950	+	0.000	0.000	Merged-chr8-71709943-22
NR6176--MA0766.1.GATA5	chr6	130102978	130102985	-	0.000	0.000	Merged-chr6-130103023-31
NR2216--MA0766.1.GATA5	chr14	14019694	14019701	+	0.000	0.000	Merged-chr14-14019640-26
NR6124--MA0035.3.Gata1	chr6	122742623	122742633	+	0.000	0.000	Merged-chr6-122742614-91
NR5988--MA0766.1.GATA5	chr6	91172603	91172610	+	0.000	0.000	Merged-chr6-91172590-9
NR2739--MA0766.1.GATA5	chr15	103154445	103154452	-	0.000	0.000	Merged-chr15-103154383-18
NR2729--MA0036.3.GATA2	chr15	100312583	100312593	-	0.000	0.000	Merged-chr15-100312549-27
