#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR12514--MA0496.2.MAFK	chr8	40962897	40962915	+	0.000	0.000	Merged-chr8-40963134-88
NR1000--MA0496.2.MAFK	chr1	180268832	180268850	+	0.000	0.000	Merged-chr1-180268774-35
NR8661--MA0495.2.MAFF	chr3	107278812	107278832	+	0.000	0.000	Merged-chr3-107279033-49
NR2106--MA0659.1.MAFG	chr11	11573642	11573662	+	0.000	0.000	Merged-chr11-11573827-37
NR9651--MA0089.1.MAFG::NFE2L1	chr4	114947349	114947354	-	0.000	0.000	Merged-chr4-114947588-34
NR5766--MA0591.1.Bach1::Mafk	chr17	21909598	21909612	-	0.000	0.000	Merged-chr17-21909627-78
NR3303--MA0117.2.Mafb	chr13	51651721	51651732	+	0.000	0.000	Merged-chr13-51651703-54
NR9599--MA0501.1.MAF::NFE2	chr4	98035568	98035582	-	0.000	0.000	Merged-chr4-98035513-10
NR783--MA0501.1.MAF::NFE2	chr1	144086345	144086359	-	0.000	0.000	Merged-chr1-144086303-34
NR13152--MA0089.1.MAFG::NFE2L1	chr9	54642838	54642843	+	0.000	0.000	Merged-chr9-54642751-52
NR7334--MA0501.1.MAF::NFE2	chr2	70875326	70875340	+	0.000	0.000	Merged-chr2-70875354-33
NR7461--MA0117.2.Mafb	chr2	101993240	101993251	+	0.000	0.000	Merged-chr2-101993125-49
NR7604--MA0089.1.MAFG::NFE2L1	chr2	129180153	129180158	+	0.000	0.000	Merged-chr2-129180074-1
NR8533--MA0089.1.MAFG::NFE2L1	chr3	87846942	87846947	+	0.000	0.000	Merged-chr3-87846918-77
NR3753--MA0496.2.MAFK	chr13	111807869	111807887	-	0.000	0.000	Merged-chr13-111808090-12
NR13228--MA0501.1.MAF::NFE2	chr9	78074144	78074158	+	0.000	0.000	Merged-chr9-78074095-46
NR2896--MA0496.2.MAFK	chr12	91765692	91765710	-	0.000	0.000	Merged-chr12-91765630-19
NR8639--MA0495.2.MAFF	chr3	105892539	105892559	+	0.000	0.000	Merged-chr3-105892493-111
NR12124--MA0591.1.Bach1::Mafk	chr7	101504749	101504763	-	0.000	0.000	Merged-chr7-101504709-13
NR12678--MA0659.1.MAFG	chr8	75084001	75084021	+	0.000	0.000	Merged-chr8-75083999-30
NR8545--MA0495.2.MAFF	chr3	89872363	89872383	-	0.000	0.000	Merged-chr3-89872416-43
NR4212--MA0089.1.MAFG::NFE2L1	chr14	54361015	54361020	+	0.000	0.000	Merged-chr14-54361034-73
NR13756--MA0089.1.MAFG::NFE2L1	chrX	167231321	167231326	+	0.000	0.000	Merged-chrX-167231316-28
NR3778--MA0501.1.MAF::NFE2	chr13	117284154	117284168	+	0.000	0.000	Merged-chr13-117284235-48
NR8431--MA0089.1.MAFG::NFE2L1	chr3	75499333	75499338	+	0.000	0.000	Merged-chr3-75499335-90
NR1145--MA0501.1.MAF::NFE2	chr10	7470135	7470149	+	0.000	0.000	Merged-chr10-7470291-37
NR10768--MA0089.1.MAFG::NFE2L1	chr6	13871523	13871528	-	0.000	0.000	Merged-chr6-13871403-58
NR2859--MA0089.1.MAFG::NFE2L1	chr12	84177283	84177288	+	0.000	0.000	Merged-chr12-84177406-21
NR1182--MA0659.1.MAFG	chr10	12823922	12823942	-	0.000	0.000	Merged-chr10-12823956-45
NR9077--MA0117.2.Mafb	chr4	8712299	8712310	-	0.000	0.000	Merged-chr4-8712432-5
NR8142--MA0089.1.MAFG::NFE2L1	chr3	22138113	22138118	-	0.000	0.000	Merged-chr3-22138280-48
NR145--MA0495.2.MAFF	chr1	31616474	31616494	-	0.000	0.000	Merged-chr1-31616471-4
NR12638--MA0089.1.MAFG::NFE2L1	chr8	69329030	69329035	-	0.000	0.000	Merged-chr8-69328899-30
NR7804--MA0089.1.MAFG::NFE2L1	chr2	155382161	155382166	+	0.000	0.000	Merged-chr2-155382008-76
NR4973--MA0496.2.MAFK	chr15	83149652	83149670	-	0.000	0.000	Merged-chr15-83149470-115
NR13672--MA0495.2.MAFF	chrX	103981222	103981242	+	0.000	0.000	Merged-chrX-103981115-84
NR8100--MA0501.1.MAF::NFE2	chr3	18623967	18623981	-	0.000	0.000	Merged-chr3-18624063-31
NR7800--MA0495.2.MAFF	chr2	155082571	155082591	-	0.000	0.000	Merged-chr2-155082625-23
NR13491--MA0591.1.Bach1::Mafk	chr9	120960867	120960881	+	0.000	0.000	Merged-chr9-120960803-26
NR7337--MA0591.1.Bach1::Mafk	chr2	70933191	70933205	+	0.000	0.000	Merged-chr2-70933304-29
NR1825--MA0495.2.MAFF	chr10	99459977	99459997	-	0.000	0.000	Merged-chr10-99459996-60
NR12586--MA0501.1.MAF::NFE2	chr8	57427711	57427725	-	0.000	0.000	Merged-chr8-57427831-53
NR2542--MA0089.1.MAFG::NFE2L1	chr12	17511194	17511199	-	0.000	0.000	Merged-chr12-17511273-48
NR11405--MA0089.1.MAFG::NFE2L1	chr6	119522086	119522091	+	0.000	0.000	Merged-chr6-119522115-45
NR8471--MA0659.1.MAFG	chr3	79100354	79100374	-	0.000	0.000	Merged-chr3-79100420-9
NR8885--MA0496.2.MAFK	chr3	142560505	142560523	+	0.000	0.000	Merged-chr3-142560586-84
NR2468--MA0089.1.MAFG::NFE2L1	chr11	118260066	118260071	+	0.000	0.000	Merged-chr11-118260262-42
NR1990--MA0089.1.MAFG::NFE2L1	chr10	122800518	122800523	+	0.000	0.000	Merged-chr10-122800507-74
NR4544--MA0501.1.MAF::NFE2	chr14	121965188	121965202	+	0.000	0.000	Merged-chr14-121965362-59
NR4272--MA0501.1.MAF::NFE2	chr14	77861021	77861035	+	0.000	0.000	Merged-chr14-77861310-50
NR11600--MA0591.1.Bach1::Mafk	chr6	142925437	142925451	+	0.000	0.000	Merged-chr6-142925598-18
NR10967--MA0495.2.MAFF	chr6	49128468	49128488	+	0.000	0.000	Merged-chr6-49128471-29
NR10536--MA0591.1.Bach1::Mafk	chr5	124943798	124943812	+	0.000	0.000	Merged-chr5-124943788-2
NR5945--MA0089.1.MAFG::NFE2L1	chr17	56162384	56162389	-	0.000	0.000	Merged-chr17-56162461-54
NR7600--MA0089.1.MAFG::NFE2L1	chr2	127923518	127923523	-	0.000	0.000	Merged-chr2-127923410-36
NR7790--MA0089.1.MAFG::NFE2L1	chr2	152788881	152788886	+	0.000	0.000	Merged-chr2-152788714-7,Merged-chr2-152789002-1
NR5541--MA0089.1.MAFG::NFE2L1	chr16	78199485	78199490	+	0.000	0.000	Merged-chr16-78199529-2
NR2109--MA0496.2.MAFK	chr11	11573643	11573661	+	0.000	0.000	Merged-chr11-11573827-37
NR6106--MA0089.1.MAFG::NFE2L1	chr17	83846446	83846451	-	0.000	0.000	Merged-chr17-83846499-25
NR10627--MA0495.2.MAFF	chr5	146655355	146655375	+	0.000	0.000	Merged-chr5-146655552-37
NR2373--MA0496.2.MAFK	chr11	95834502	95834520	+	0.000	0.000	Merged-chr11-95834511-50
NR13227--MA0659.1.MAFG	chr9	78074138	78074158	-	0.000	0.000	Merged-chr9-78074095-46
NR11403--MA0089.1.MAFG::NFE2L1	chr6	119346338	119346343	-	0.000	0.000	Merged-chr6-119346471-8
NR12257--MA0591.1.Bach1::Mafk	chr7	126369619	126369633	-	0.000	0.000	Merged-chr7-126369585-49
NR4879--MA0591.1.Bach1::Mafk	chr15	66824942	66824956	-	0.000	0.000	Merged-chr15-66824845-11
NR5885--MA0495.2.MAFF	chr17	36042869	36042889	-	0.000	0.000	Merged-chr17-36042760-57
NR3193--MA0089.1.MAFG::NFE2L1	chr13	21735093	21735098	-	0.000	0.000	Merged-chr13-21734996-112
NR3018--MA0659.1.MAFG	chr12	114615864	114615884	-	0.000	0.000	Merged-chr12-114615725-85
NR1010--MA0501.1.MAF::NFE2	chr1	185193695	185193709	-	0.000	0.000	Merged-chr1-185193700-43
NR12536--MA0591.1.Bach1::Mafk	chr8	47991102	47991116	-	0.000	0.000	Merged-chr8-47991152-4
NR13678--MA0089.1.MAFG::NFE2L1	chrX	106136059	106136064	+	0.000	0.000	Merged-chrX-106135909-80
NR10979--MA0089.1.MAFG::NFE2L1	chr6	50601913	50601918	+	0.000	0.000	Merged-chr6-50601872-31
NR3986--MA0089.1.MAFG::NFE2L1	chr14	20674182	20674187	+	0.000	0.000	Merged-chr14-20674407-80
NR8099--MA0501.1.MAF::NFE2	chr3	18623973	18623987	+	0.000	0.000	Merged-chr3-18624063-31
NR3001--MA0501.1.MAF::NFE2	chr12	107996272	107996286	+	0.000	0.000	Merged-chr12-107996436-13
NR10517--MA0117.2.Mafb	chr5	121335516	121335527	+	0.000	0.000	Merged-chr5-121335584-25
NR8015--MA0117.2.Mafb	chr2	180456471	180456482	+	0.000	0.000	Merged-chr2-180456418-79
NR2162--MA0089.1.MAFG::NFE2L1	chr11	22782950	22782955	-	0.000	0.000	Merged-chr11-22782908-24
NR7149--MA0117.2.Mafb	chr2	49482494	49482505	+	0.000	0.000	Merged-chr2-49482478-20
NR2377--MA0089.1.MAFG::NFE2L1	chr11	97684305	97684310	-	0.000	0.000	Merged-chr11-97684318-65
NR8559--MA0496.2.MAFK	chr3	90587052	90587070	+	0.000	0.000	Merged-chr3-90587051-129
NR4520--MA0501.1.MAF::NFE2	chr14	120275574	120275588	-	0.000	0.000	Merged-chr14-120275634-49
NR3009--MA0117.2.Mafb	chr12	111713117	111713128	-	0.000	0.000	Merged-chr12-111713191-55
NR6557--MA0591.1.Bach1::Mafk	chr18	65430699	65430713	-	0.000	0.000	Merged-chr18-65430843-87
NR3203--MA0089.1.MAFG::NFE2L1	chr13	23752647	23752652	-	0.000	0.000	Merged-chr13-23752435-52
NR179--MA0117.2.Mafb	chr1	38884008	38884019	+	0.000	0.000	Merged-chr1-38884000-31
NR3023--MA0591.1.Bach1::Mafk	chr12	114991125	114991139	-	0.000	0.000	Merged-chr12-114991248-55
NR1259--MA0089.1.MAFG::NFE2L1	chr10	19597194	19597199	+	0.000	0.000	Merged-chr10-19597137-35
NR3129--MA0089.1.MAFG::NFE2L1	chr13	8831748	8831753	+	0.000	0.000	Merged-chr13-8831757-38
NR952--MA0089.1.MAFG::NFE2L1	chr1	172000863	172000868	+	0.000	0.000	Merged-chr1-172000780-26
NR1653--MA0117.2.Mafb	chr10	75415018	75415029	+	0.000	0.000	Merged-chr10-75415162-28
NR2046--MA0591.1.Bach1::Mafk	chr10	130311781	130311795	-	0.000	0.000	Merged-chr10-130311798-35
NR9260--MA0495.2.MAFF	chr4	48039926	48039946	+	0.000	0.000	Merged-chr4-48039854-22
NR3291--MA0117.2.Mafb	chr13	45455795	45455806	+	0.000	0.000	Merged-chr13-45455779-40
NR11522--MA0117.2.Mafb	chr6	135436457	135436468	+	0.000	0.000	Merged-chr6-135436569-8
NR9452--MA0496.2.MAFK	chr4	75279033	75279051	+	0.000	0.000	Merged-chr4-75279089-1
NR13474--MA0089.1.MAFG::NFE2L1	chr9	115526462	115526467	-	0.000	0.000	Merged-chr9-115526484-32
NR13592--MA0496.2.MAFK	chrX	59568330	59568348	+	0.000	0.000	Merged-chrX-59568240-6
NR12646--MA0591.1.Bach1::Mafk	chr8	70549976	70549990	+	0.000	0.000	Merged-chr8-70549860-20
NR8297--MA0501.1.MAF::NFE2	chr3	52555202	52555216	+	0.000	0.000	Merged-chr3-52555195-52
NR9771--MA0089.1.MAFG::NFE2L1	chr4	145263661	145263666	-	0.000	0.000	Merged-chr4-145263821-10
NR8351--MA0089.1.MAFG::NFE2L1	chr3	60639296	60639301	-	0.000	0.000	Merged-chr3-60639254-17
NR2328--MA0501.1.MAF::NFE2	chr11	79130172	79130186	+	0.000	0.000	Merged-chr11-79129992-68
NR4938--MA0089.1.MAFG::NFE2L1	chr15	78597115	78597120	+	0.000	0.000	Merged-chr15-78597127-20
NR8557--MA0591.1.Bach1::Mafk	chr3	90587054	90587068	-	0.000	0.000	Merged-chr3-90587051-129
NR8134--MA0496.2.MAFK	chr3	21917648	21917666	+	0.000	0.000	Merged-chr3-21917648-70
NR10082--MA0089.1.MAFG::NFE2L1	chr5	33039547	33039552	-	0.000	0.000	Merged-chr5-33039465-62
NR12512--MA0495.2.MAFF	chr8	40962896	40962916	+	0.000	0.000	Merged-chr8-40963134-88
NR4910--MA0089.1.MAFG::NFE2L1	chr15	73506517	73506522	+	0.000	0.000	Merged-chr15-73506445-5
NR7248--MA0501.1.MAF::NFE2	chr2	58107023	58107037	+	0.000	0.000	Merged-chr2-58107175-53
NR7824--MA0089.1.MAFG::NFE2L1	chr2	158160167	158160172	-	0.000	0.000	Merged-chr2-158160127-37
NR1898--MA0495.2.MAFF	chr10	107858904	107858924	+	0.000	0.000	Merged-chr10-107858878-12
NR344--MA0591.1.Bach1::Mafk	chr1	69291466	69291480	-	0.000	0.000	Merged-chr1-69291557-40
NR2475--MA0089.1.MAFG::NFE2L1	chr11	120458142	120458147	-	0.000	0.000	Merged-chr11-120458072-48
NR5934--MA0501.1.MAF::NFE2	chr17	52168419	52168433	-	0.000	0.000	Merged-chr17-52168646-44
NR9706--MA0591.1.Bach1::Mafk	chr4	127060912	127060926	-	0.000	0.000	Merged-chr4-127061069-56
NR11924--MA0501.1.MAF::NFE2	chr7	66661725	66661739	+	0.000	0.000	Merged-chr7-66661793-46
NR11325--MA0089.1.MAFG::NFE2L1	chr6	108466214	108466219	-	0.000	0.000	Merged-chr6-108466218-26
NR5695--MA0117.2.Mafb	chr17	10425564	10425575	-	0.000	0.000	Merged-chr17-10425505-16
NR8840--MA0089.1.MAFG::NFE2L1	chr3	136688184	136688189	-	0.000	0.000	Merged-chr3-136688298-63
NR1629--MA0496.2.MAFK	chr10	70903744	70903762	+	0.000	0.000	Merged-chr10-70903939-1
NR5852--MA0089.1.MAFG::NFE2L1	chr17	33940346	33940351	+	0.000	0.000	Merged-chr17-33940486-52
NR13156--MA0117.2.Mafb	chr9	57278474	57278485	+	0.000	0.000	Merged-chr9-57278495-40
NR9851--MA0501.1.MAF::NFE2	chr4	152186854	152186868	-	0.000	0.000	Merged-chr4-152186778-42
NR2350--MA0591.1.Bach1::Mafk	chr11	87240404	87240418	+	0.000	0.000	Merged-chr11-87240422-3
NR5778--MA0089.1.MAFG::NFE2L1	chr17	22866544	22866549	-	0.000	0.000	Merged-chr17-22866822-95
NR1659--MA0089.1.MAFG::NFE2L1	chr10	76542916	76542921	+	0.000	0.000	Merged-chr10-76543066-52
NR5287--MA0089.1.MAFG::NFE2L1	chr16	44546969	44546974	+	0.000	0.000	Merged-chr16-44546974-36
NR5841--MA0591.1.Bach1::Mafk	chr17	32634940	32634954	-	0.000	0.000	Merged-chr17-32635115-43
NR6719--MA0089.1.MAFG::NFE2L1	chr18	89126581	89126586	-	0.000	0.000	Merged-chr18-89126622-17
NR11929--MA0089.1.MAFG::NFE2L1	chr7	68070809	68070814	-	0.000	0.000	Merged-chr7-68070882-29
NR9587--MA0496.2.MAFK	chr4	95765629	95765647	-	0.000	0.000	Merged-chr4-95765748-2
NR11438--MA0089.1.MAFG::NFE2L1	chr6	124903770	124903775	-	0.000	0.000	Merged-chr6-124903872-48
NR426--MA0117.2.Mafb	chr1	80728462	80728473	+	0.000	0.000	Merged-chr1-80728475-49
NR2578--MA0501.1.MAF::NFE2	chr12	25240223	25240237	+	0.000	0.000	Merged-chr12-25240283-42
NR3949--MA0591.1.Bach1::Mafk	chr14	15747084	15747098	+	0.000	0.000	Merged-chr14-15746987-40
NR7709--MA0591.1.Bach1::Mafk	chr2	143839408	143839422	-	0.000	0.000	Merged-chr2-143839351-69
NR12945--MA0089.1.MAFG::NFE2L1	chr8	124573690	124573695	+	0.000	0.000	Merged-chr8-124573741-33
NR2305--MA0117.2.Mafb	chr11	72961928	72961939	+	0.000	0.000	Merged-chr11-72961970-1
NR2319--MA0501.1.MAF::NFE2	chr11	75170581	75170595	-	0.000	0.000	Merged-chr11-75170495-55
NR10671--MA0089.1.MAFG::NFE2L1	chr5	150522599	150522604	+	0.000	0.000	Merged-chr5-150522629-58
NR11410--MA0089.1.MAFG::NFE2L1	chr6	119918737	119918742	+	0.000	0.000	Merged-chr6-119918835-40
NR7752--MA0496.2.MAFK	chr2	148408352	148408370	+	0.000	0.000	Merged-chr2-148408263-26
NR2417--MA0117.2.Mafb	chr11	109611822	109611833	+	0.000	0.000	Merged-chr11-109611660-96
NR1974--MA0591.1.Bach1::Mafk	chr10	118722058	118722072	+	0.000	0.000	Merged-chr10-118722050-7
NR8643--MA0659.1.MAFG	chr3	105892539	105892559	-	0.000	0.000	Merged-chr3-105892493-111
NR9840--MA0117.2.Mafb	chr4	149104134	149104145	+	0.000	0.000	Merged-chr4-149104249-48
NR2179--MA0591.1.Bach1::Mafk	chr11	26640671	26640685	-	0.000	0.000	Merged-chr11-26640535-47
NR12756--MA0089.1.MAFG::NFE2L1	chr8	84689264	84689269	-	0.000	0.000	Merged-chr8-84689283-39
NR874--MA0089.1.MAFG::NFE2L1	chr1	161734765	161734770	+	0.000	0.000	Merged-chr1-161734917-117
NR5763--MA0089.1.MAFG::NFE2L1	chr17	21536859	21536864	-	0.000	0.000	Merged-chr17-21536922-38
NR1109--MA0501.1.MAF::NFE2	chr1	194600273	194600287	+	0.000	0.000	Merged-chr1-194600218-2
NR10629--MA0591.1.Bach1::Mafk	chr5	146655358	146655372	+	0.000	0.000	Merged-chr5-146655552-37
NR1980--MA0501.1.MAF::NFE2	chr10	121334826	121334840	-	0.000	0.000	Merged-chr10-121334819-22
NR13206--MA0089.1.MAFG::NFE2L1	chr9	75541761	75541766	-	0.000	0.000	Merged-chr9-75541698-38
NR3630--MA0496.2.MAFK	chr13	99385148	99385166	+	0.000	0.000	Merged-chr13-99385105-49
NR1240--MA0089.1.MAFG::NFE2L1	chr10	16930232	16930237	+	0.000	0.000	Merged-chr10-16930100-2
NR2581--MA0495.2.MAFF	chr12	25256485	25256505	-	0.000	0.000	Merged-chr12-25256439-11
NR262--MA0591.1.Bach1::Mafk	chr1	58304611	58304625	-	0.000	0.000	Merged-chr1-58304515-8
NR8883--MA0495.2.MAFF	chr3	142560504	142560524	+	0.000	0.000	Merged-chr3-142560586-84
NR10218--MA0089.1.MAFG::NFE2L1	chr5	64371445	64371450	-	0.000	0.000	Merged-chr5-64371502-26
NR2180--MA0501.1.MAF::NFE2	chr11	26640674	26640688	+	0.000	0.000	Merged-chr11-26640535-47
NR181--MA0089.1.MAFG::NFE2L1	chr1	40268725	40268730	+	0.000	0.000	Merged-chr1-40268723-25
NR5950--MA0089.1.MAFG::NFE2L1	chr17	56819798	56819803	+	0.000	0.000	Merged-chr17-56819789-51
NR6667--MA0496.2.MAFK	chr18	82826228	82826246	+	0.000	0.000	Merged-chr18-82826025-87
NR2113--MA0659.1.MAFG	chr11	11766210	11766230	-	0.000	0.000	Merged-chr11-11766225-56
NR3742--MA0496.2.MAFK	chr13	109822601	109822619	-	0.000	0.000	Merged-chr13-109822486-79
NR7559--MA0089.1.MAFG::NFE2L1	chr2	121271577	121271582	+	0.000	0.000	Merged-chr2-121271299-80
NR10592--MA0496.2.MAFK	chr5	135134346	135134364	-	0.000	0.000	Merged-chr5-135134293-53
NR10482--MA0591.1.Bach1::Mafk	chr5	112083159	112083173	-	0.000	0.000	Merged-chr5-112083278-3
NR6902--MA0117.2.Mafb	chr2	5404114	5404125	+	0.000	0.000	Merged-chr2-5404009-10
NR11610--MA0089.1.MAFG::NFE2L1	chr6	143690392	143690397	+	0.000	0.000	Merged-chr6-143690441-8
NR6779--MA0496.2.MAFK	chr19	14352215	14352233	-	0.000	0.000	Merged-chr19-14352313-109
NR8534--MA0495.2.MAFF	chr3	87919441	87919461	-	0.000	0.000	Merged-chr3-87919615-56
NR5349--MA0496.2.MAFK	chr16	52468521	52468539	+	0.000	0.000	Merged-chr16-52468577-24
NR6817--MA0089.1.MAFG::NFE2L1	chr19	32409821	32409826	+	0.000	0.000	Merged-chr19-32409832-17
NR11250--MA0117.2.Mafb	chr6	97294129	97294140	-	0.000	0.000	Merged-chr6-97294114-106
NR13506--MA0117.2.Mafb	chr9	123723235	123723246	+	0.000	0.000	Merged-chr9-123723255-25
NR4167--MA0089.1.MAFG::NFE2L1	chr14	47518828	47518833	+	0.000	0.000	Merged-chr14-47518812-18
NR4607--MA0591.1.Bach1::Mafk	chr15	12667948	12667962	-	0.000	0.000	Merged-chr15-12668076-24
NR13168--MA0496.2.MAFK	chr9	61708040	61708058	-	0.000	0.000	Merged-chr9-61708026-57
NR7069--MA0501.1.MAF::NFE2	chr2	27693889	27693903	+	0.000	0.000	Merged-chr2-27693880-30
NR1802--MA0117.2.Mafb	chr10	96274309	96274320	-	0.000	0.000	Merged-chr10-96274144-52
NR7002--MA0501.1.MAF::NFE2	chr2	16568275	16568289	-	0.000	0.000	Merged-chr2-16568402-24
NR10393--MA0089.1.MAFG::NFE2L1	chr5	93136944	93136949	+	0.000	0.000	Merged-chr5-93137054-42
NR12908--MA0591.1.Bach1::Mafk	chr8	115844180	115844194	-	0.000	0.000	Merged-chr8-115844208-1
NR1279--MA0089.1.MAFG::NFE2L1	chr10	21186863	21186868	+	0.000	0.000	Merged-chr10-21186963-29
NR4412--MA0495.2.MAFF	chr14	105177467	105177487	+	0.000	0.000	Merged-chr14-105177397-2
NR10389--MA0659.1.MAFG	chr5	92353778	92353798	-	0.000	0.000	Merged-chr5-92353751-46
NR10382--MA0496.2.MAFK	chr5	92348951	92348969	+	0.000	0.000	Merged-chr5-92348973-52
NR13581--MA0089.1.MAFG::NFE2L1	chrX	52988221	52988226	-	0.000	0.000	Merged-chrX-52988248-53
NR4252--MA0089.1.MAFG::NFE2L1	chr14	69733564	69733569	+	0.000	0.000	Merged-chr14-69733649-8
NR1283--MA0117.2.Mafb	chr10	21976504	21976515	-	0.000	0.000	Merged-chr10-21976372-39
NR6613--MA0089.1.MAFG::NFE2L1	chr18	73816679	73816684	-	0.000	0.000	Merged-chr18-73816843-39
NR6360--MA0501.1.MAF::NFE2	chr18	39035430	39035444	+	0.000	0.000	Merged-chr18-39035384-28
NR9626--MA0117.2.Mafb	chr4	106935350	106935361	-	0.000	0.000	Merged-chr4-106935357-64
NR2467--MA0117.2.Mafb	chr11	118245198	118245209	+	0.000	0.000	Merged-chr11-118245259-33
NR180--MA0591.1.Bach1::Mafk	chr1	38884011	38884025	-	0.000	0.000	Merged-chr1-38884000-31
NR6828--MA0089.1.MAFG::NFE2L1	chr19	36533188	36533193	-	0.000	0.000	Merged-chr19-36533224-11
NR4162--MA0501.1.MAF::NFE2	chr14	46578293	46578307	-	0.000	0.000	Merged-chr14-46578431-37
NR4178--MA0089.1.MAFG::NFE2L1	chr14	48199269	48199274	+	0.000	0.000	Merged-chr14-48199252-26
NR7051--MA0591.1.Bach1::Mafk	chr2	24745476	24745490	+	0.000	0.000	Merged-chr2-24745465-17
NR4554--MA0089.1.MAFG::NFE2L1	chr14	123163261	123163266	-	0.000	0.000	Merged-chr14-123163033-38
NR2395--MA0089.1.MAFG::NFE2L1	chr11	100320433	100320438	-	0.000	0.000	Merged-chr11-100320194-102
NR618--MA0501.1.MAF::NFE2	chr1	108038596	108038610	+	0.000	0.000	Merged-chr1-108038539-17
NR13392--MA0089.1.MAFG::NFE2L1	chr9	101182255	101182260	+	0.000	0.000	Merged-chr9-101182194-26
NR13404--MA0089.1.MAFG::NFE2L1	chr9	107771162	107771167	+	0.000	0.000	Merged-chr9-107771032-67
NR3123--MA0659.1.MAFG	chr13	8385605	8385625	+	0.000	0.000	Merged-chr13-8385507-1
NR4265--MA0089.1.MAFG::NFE2L1	chr14	76152692	76152697	-	0.000	0.000	Merged-chr14-76152800-92
NR3011--MA0591.1.Bach1::Mafk	chr12	112860878	112860892	+	0.000	0.000	Merged-chr12-112860925-89
NR8646--MA0496.2.MAFK	chr3	105892540	105892558	-	0.000	0.000	Merged-chr3-105892493-111
NR10416--MA0089.1.MAFG::NFE2L1	chr5	96948964	96948969	+	0.000	0.000	Merged-chr5-96949155-39
NR2269--MA0591.1.Bach1::Mafk	chr11	61642333	61642347	-	0.000	0.000	Merged-chr11-61642233-10
NR10491--MA0089.1.MAFG::NFE2L1	chr5	114942155	114942160	-	0.000	0.000	Merged-chr5-114942302-45
NR9916--MA0089.1.MAFG::NFE2L1	chr5	8723117	8723122	+	0.000	0.000	Merged-chr5-8722882-18
NR7001--MA0496.2.MAFK	chr2	16568169	16568187	-	0.000	0.000	Merged-chr2-16568402-24
NR8899--MA0117.2.Mafb	chr3	143936478	143936489	-	0.000	0.000	Merged-chr3-143936594-7
