#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR1895--MA0463.1.Bcl6	chr4	101261210	101261223	+	0.000	0.000	Merged-chr4-101261063-33
NR542--MA0463.1.Bcl6	chr12	55438927	55438940	+	0.000	0.000	Merged-chr12-55438958-24
NR672--MA0463.1.Bcl6	chr13	55432381	55432394	-	0.000	0.000	Merged-chr13-55432438-56
NR426--MA0463.1.Bcl6	chr11	34010313	34010326	-	0.000	0.000	Merged-chr11-34010377-133
NR1685--MA0463.1.Bcl6	chr3	108085486	108085499	-	0.000	0.000	Merged-chr3-108085471-67
NR2663--MA0463.1.Bcl6	chr9	106215647	106215660	+	0.000	0.000	Merged-chr9-106215485-26
NR2119--MA0731.1.BCL6B	chr5	136186820	136186836	-	0.000	0.000	Merged-chr5-136186956-28
NR2099--MA0463.1.Bcl6	chr5	113828686	113828699	-	0.000	0.000	Merged-chr5-113828538-48
NR431--MA0731.1.BCL6B	chr11	51638254	51638270	+	0.000	0.000	Merged-chr11-51638186-26
NR954--MA0731.1.BCL6B	chr15	36938034	36938050	+	0.000	0.000	Merged-chr15-36937970-1
NR1639--MA0731.1.BCL6B	chr3	67573297	67573313	+	0.000	0.000	Merged-chr3-67573176-41
NR96--MA0463.1.Bcl6	chr1	82787570	82787583	+	0.000	0.000	Merged-chr1-82787603-20
NR540--MA0731.1.BCL6B	chr12	55015516	55015532	+	0.000	0.000	Merged-chr12-55015619-6
NR1682--MA0731.1.BCL6B	chr3	103466059	103466075	-	0.000	0.000	Merged-chr3-103466121-19
NR61--MA0731.1.BCL6B	chr1	59608673	59608689	+	0.000	0.000	Merged-chr1-59608730-64
NR1162--MA0463.1.Bcl6	chr17	17845415	17845428	+	0.000	0.000	Merged-chr17-17845619-46
NR136--MA0463.1.Bcl6	chr1	121608287	121608300	+	0.000	0.000	Merged-chr1-121608228-8
NR1919--MA0463.1.Bcl6	chr4	120381111	120381124	+	0.000	0.000	Merged-chr4-120381159-28
NR821--MA0463.1.Bcl6	chr14	40894784	40894797	+	0.000	0.000	Merged-chr14-40894851-34
NR1674--MA0731.1.BCL6B	chr3	98027543	98027559	+	0.000	0.000	Merged-chr3-98027437-43
NR2136--MA0463.1.Bcl6	chr5	150840181	150840194	+	0.000	0.000	Merged-chr5-150840006-2
NR1279--MA0463.1.Bcl6	chr18	53177273	53177286	-	0.000	0.000	Merged-chr18-53177390-15
NR1435--MA0731.1.BCL6B	chr2	66114547	66114563	+	0.000	0.000	Merged-chr2-66114486-5
NR808--MA0463.1.Bcl6	chr14	25162015	25162028	-	0.000	0.000	Merged-chr14-25161984-35
NR2154--MA0463.1.Bcl6	chr6	24310928	24310941	+	0.000	0.000	Merged-chr6-24310854-8
NR1339--MA0731.1.BCL6B	chr19	34290519	34290535	-	0.000	0.000	Merged-chr19-34290594-61
NR763--MA0731.1.BCL6B	chr13	117241310	117241326	+	0.000	0.000	Merged-chr13-117241409-28
NR1414--MA0731.1.BCL6B	chr2	53088802	53088818	-	0.000	0.000	Merged-chr2-53088913-36
NR956--MA0463.1.Bcl6	chr15	38284095	38284108	+	0.000	0.000	Merged-chr15-38283996-39
NR981--MA0731.1.BCL6B	chr15	64031801	64031817	-	0.000	0.000	Merged-chr15-64031961-34
NR1666--MA0731.1.BCL6B	chr3	95135853	95135869	-	0.000	0.000	Merged-chr3-95135773-59
NR2611--MA0463.1.Bcl6	chr9	64824823	64824836	+	0.000	0.000	Merged-chr9-64824731-59
NR1087--MA0463.1.Bcl6	chr16	52468700	52468713	+	0.000	0.000	Merged-chr16-52468577-24
NR298--MA0463.1.Bcl6	chr10	42220590	42220603	-	0.000	0.000	Merged-chr10-42220589-14
NR1508--MA0463.1.Bcl6	chr2	126499986	126499999	+	0.000	0.000	Merged-chr2-126499929-54
NR871--MA0463.1.Bcl6	chr14	75845845	75845858	-	0.000	0.000	Merged-chr14-75845908-1
NR1759--MA0463.1.Bcl6	chr3	152886882	152886895	+	0.000	0.000	Merged-chr3-152886887-20
NR2522--MA0463.1.Bcl6	chr8	88294090	88294103	+	0.000	0.000	Merged-chr8-88293881-56
NR1334--MA0463.1.Bcl6	chr19	25062768	25062781	-	0.000	0.000	Merged-chr19-25062644-33
NR451--MA0463.1.Bcl6	chr11	71996080	71996093	-	0.000	0.000	Merged-chr11-71996185-51
NR856--MA0731.1.BCL6B	chr14	55604120	55604136	+	0.000	0.000	Merged-chr14-55604128-61
NR1576--MA0463.1.Bcl6	chr2	168904459	168904472	-	0.000	0.000	Merged-chr2-168904404-53
NR1003--MA0463.1.Bcl6	chr15	97374078	97374091	-	0.000	0.000	Merged-chr15-97373973-3
NR2554--MA0463.1.Bcl6	chr8	120702038	120702051	+	0.000	0.000	Merged-chr8-120702084-56
NR429--MA0463.1.Bcl6	chr11	51638256	51638269	+	0.000	0.000	Merged-chr11-51638186-26
NR822--MA0731.1.BCL6B	chr14	40955957	40955973	-	0.000	0.000	Merged-chr14-40955925-7
NR447--MA0463.1.Bcl6	chr11	68451467	68451480	+	0.000	0.000	Merged-chr11-68451501-45
NR1074--MA0731.1.BCL6B	chr16	44321828	44321844	-	0.000	0.000	Merged-chr16-44321913-9
NR1348--MA0463.1.Bcl6	chr19	44283179	44283192	+	0.000	0.000	Merged-chr19-44283330-35
NR1597--MA0731.1.BCL6B	chr3	9786798	9786814	-	0.000	0.000	Merged-chr3-9786855-28
NR1366--MA0463.1.Bcl6	chr2	11118763	11118776	+	0.000	0.000	Merged-chr2-11118835-29
NR2456--MA0463.1.Bcl6	chr8	25256217	25256230	+	0.000	0.000	Merged-chr8-25256219-29
NR2241--MA0463.1.Bcl6	chr6	108839648	108839661	-	0.000	0.000	Merged-chr6-108839644-6
NR1384--MA0463.1.Bcl6	chr2	35982164	35982177	-	0.000	0.000	Merged-chr2-35982030-31
NR163--MA0731.1.BCL6B	chr1	156408130	156408146	-	0.000	0.000	Merged-chr1-156408256-35
NR272--MA0731.1.BCL6B	chr10	21159882	21159898	+	0.000	0.000	Merged-chr10-21160014-11
NR1944--MA0463.1.Bcl6	chr4	135963648	135963661	-	0.000	0.000	Merged-chr4-135963723-59
NR488--MA0463.1.Bcl6	chr12	4817611	4817624	-	0.000	0.000	Merged-chr12-4817506-66
NR2358--MA0463.1.Bcl6	chr7	66197354	66197367	-	0.000	0.000	Merged-chr7-66197224-72
NR1962--MA0463.1.Bcl6	chr4	152186802	152186815	+	0.000	0.000	Merged-chr4-152186778-42
NR600--MA0463.1.Bcl6	chr12	114469202	114469215	-	0.000	0.000	Merged-chr12-114469182-47
NR522--MA0731.1.BCL6B	chr12	35831526	35831542	-	0.000	0.000	Merged-chr12-35831478-13
NR2376--MA0463.1.Bcl6	chr7	80647583	80647596	+	0.000	0.000	Merged-chr7-80647614-48
NR317--MA0731.1.BCL6B	chr10	58282344	58282360	+	0.000	0.000	Merged-chr10-58282409-26
NR851--MA0463.1.Bcl6	chr14	52257854	52257867	-	0.000	0.000	Merged-chr14-52257717-61
NR2646--MA0731.1.BCL6B	chr9	94668742	94668758	-	0.000	0.000	Merged-chr9-94668774-42
NR2166--MA0463.1.Bcl6	chr6	30509646	30509659	-	0.000	0.000	Merged-chr6-30509699-52
NR15--MA0463.1.Bcl6	chr1	13560219	13560232	+	0.000	0.000	Merged-chr1-13560165-1
NR2516--MA0731.1.BCL6B	chr8	84011582	84011598	-	0.000	0.000	Merged-chr8-84011629-75
NR1654--MA0463.1.Bcl6	chr3	84314662	84314675	-	0.000	0.000	Merged-chr3-84314739-19
NR2529--MA0731.1.BCL6B	chr8	94434330	94434346	-	0.000	0.000	Merged-chr8-94434227-54
NR2096--MA0731.1.BCL6B	chr5	105732326	105732342	-	0.000	0.000	Merged-chr5-105732037-124
NR2367--MA0731.1.BCL6B	chr7	74357249	74357265	-	0.000	0.000	Merged-chr7-74357288-11
NR977--MA0463.1.Bcl6	chr15	61541268	61541281	+	0.000	0.000	Merged-chr15-61541070-57
NR1878--MA0463.1.Bcl6	chr4	93497599	93497612	-	0.000	0.000	Merged-chr4-93497619-1
NR2086--MA0463.1.Bcl6	chr5	96919191	96919204	-	0.000	0.000	Merged-chr5-96919308-24
NR422--MA0463.1.Bcl6	chr11	29526252	29526265	+	0.000	0.000	Merged-chr11-29526463-59
NR543--MA0463.1.Bcl6	chr12	55438940	55438953	-	0.000	0.000	Merged-chr12-55438958-24
NR2489--MA0731.1.BCL6B	chr8	57592869	57592885	-	0.000	0.000	Merged-chr8-57592904-21
NR1668--MA0463.1.Bcl6	chr3	95722632	95722645	-	0.000	0.000	Merged-chr3-95722546-39
NR344--MA0731.1.BCL6B	chr10	91032634	91032650	+	0.000	0.000	Merged-chr10-91032614-23
NR673--MA0463.1.Bcl6	chr13	58472069	58472082	+	0.000	0.000	Merged-chr13-58471878-37
NR1574--MA0463.1.Bcl6	chr2	167313926	167313939	+	0.000	0.000	Merged-chr2-167313855-44
NR570--MA0463.1.Bcl6	chr12	85123320	85123333	+	0.000	0.000	Merged-chr12-85123310-39
NR427--MA0463.1.Bcl6	chr11	40718341	40718354	+	0.000	0.000	Merged-chr11-40718408-12
NR2564--MA0731.1.BCL6B	chr8	125557520	125557536	+	0.000	0.000	Merged-chr8-125557520-11
NR445--MA0463.1.Bcl6	chr11	64187012	64187025	+	0.000	0.000	Merged-chr11-64187104-15
NR214--MA0731.1.BCL6B	chr1	182163153	182163169	+	0.000	0.000	Merged-chr1-182163114-26
NR2686--MA0731.1.BCL6B	chrX	20364486	20364502	+	0.000	0.000	Merged-chrX-20364570-48
NR1561--MA0731.1.BCL6B	chr2	157131153	157131169	-	0.000	0.000	Merged-chr2-157131278-25
NR2543--MA0731.1.BCL6B	chr8	109917559	109917575	+	0.000	0.000	Merged-chr8-109917447-24
NR226--MA0463.1.Bcl6	chr1	191599406	191599419	-	0.000	0.000	Merged-chr1-191599385-45
NR2463--MA0463.1.Bcl6	chr8	34817845	34817858	+	0.000	0.000	Merged-chr8-34817852-8
NR2699--MA0731.1.BCL6B	chrX	77586167	77586183	+	0.000	0.000	Merged-chrX-77586206-37
NR2696--MA0463.1.Bcl6	chrX	52760348	52760361	+	0.000	0.000	Merged-chrX-52760494-47
NR2123--MA0463.1.Bcl6	chr5	139364756	139364769	-	0.000	0.000	Merged-chr5-139364927-1
NR1933--MA0463.1.Bcl6	chr4	129570169	129570182	-	0.000	0.000	Merged-chr4-129570214-45
NR477--MA0463.1.Bcl6	chr11	106536328	106536341	+	0.000	0.000	Merged-chr11-106536245-61
NR2155--MA0731.1.BCL6B	chr6	24310925	24310941	-	0.000	0.000	Merged-chr6-24310854-8
NR296--MA0731.1.BCL6B	chr10	39039685	39039701	+	0.000	0.000	Merged-chr10-39039718-5
NR2253--MA0463.1.Bcl6	chr6	117917776	117917789	+	0.000	0.000	Merged-chr6-117917768-1
NR804--MA0463.1.Bcl6	chr14	17414438	17414451	+	0.000	0.000	Merged-chr14-17414498-32
NR2365--MA0463.1.Bcl6	chr7	73531189	73531202	+	0.000	0.000	Merged-chr7-73531012-64
NR1168--MA0463.1.Bcl6	chr17	28257113	28257126	-	0.000	0.000	Merged-chr17-28256965-58
NR164--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR169--MA0463.1.Bcl6	chr1	160044884	160044897	-	0.000	0.000	Merged-chr1-160044750-78
NR2039--MA0463.1.Bcl6	chr5	53995259	53995272	-	0.000	0.000	Merged-chr5-53995231-101
NR2612--MA0463.1.Bcl6	chr9	65579123	65579136	-	0.000	0.000	Merged-chr9-65579109-6
NR299--MA0463.1.Bcl6	chr10	42843275	42843288	+	0.000	0.000	Merged-chr10-42843414-7
NR2630--MA0463.1.Bcl6	chr9	82964143	82964156	-	0.000	0.000	Merged-chr9-82964235-29
NR1580--MA0731.1.BCL6B	chr2	170205723	170205739	+	0.000	0.000	Merged-chr2-170205615-94
NR1657--MA0463.1.Bcl6	chr3	84657193	84657206	-	0.000	0.000	Merged-chr3-84657299-19
NR1581--MA0463.1.Bcl6	chr2	170355027	170355040	-	0.000	0.000	Merged-chr2-170355131-22
NR1559--MA0463.1.Bcl6	chr2	153336213	153336226	-	0.000	0.000	Merged-chr2-153336329-40
NR2322--MA0463.1.Bcl6	chr7	28780269	28780282	-	0.000	0.000	Merged-chr7-28780400-13
NR797--MA0463.1.Bcl6	chr14	13080302	13080315	-	0.000	0.000	Merged-chr14-13080160-1
NR60--MA0731.1.BCL6B	chr1	58761717	58761733	+	0.000	0.000	Merged-chr1-58761595-25
NR466--MA0463.1.Bcl6	chr11	98682471	98682484	+	0.000	0.000	Merged-chr11-98682471-63
NR1009--MA0463.1.Bcl6	chr15	102526799	102526812	+	0.000	0.000	Merged-chr15-102526608-8
NR1479--MA0463.1.Bcl6	chr2	103638728	103638741	+	0.000	0.000	Merged-chr2-103638879-10
NR1170--MA0463.1.Bcl6	chr17	32424202	32424215	-	0.000	0.000	Merged-chr17-32424197-48
NR1027--MA0463.1.Bcl6	chr16	8870026	8870039	+	0.000	0.000	Merged-chr16-8869938-27
NR2569--MA0463.1.Bcl6	chr8	127655655	127655668	-	0.000	0.000	Merged-chr8-127655779-25
NR596--MA0463.1.Bcl6	chr12	107992791	107992804	-	0.000	0.000	Merged-chr12-107992676-1
NR1291--MA0463.1.Bcl6	chr18	65272282	65272295	+	0.000	0.000	Merged-chr18-65272227-29
NR2260--MA0463.1.Bcl6	chr6	127582688	127582701	+	0.000	0.000	Merged-chr6-127582626-90
NR1045--MA0463.1.Bcl6	chr16	18127358	18127371	-	0.000	0.000	Merged-chr16-18127553-42
NR1712--MA0463.1.Bcl6	chr3	131170339	131170352	-	0.000	0.000	Merged-chr3-131170434-2
NR1325--MA0731.1.BCL6B	chr19	9991434	9991450	-	0.000	0.000	Merged-chr19-9991497-15
NR162--MA0463.1.Bcl6	chr1	155281795	155281808	+	0.000	0.000	Merged-chr1-155281669-27
NR1175--MA0463.1.Bcl6	chr17	35673883	35673896	+	0.000	0.000	Merged-chr17-35673774-49
NR1381--MA0731.1.BCL6B	chr2	35233016	35233032	+	0.000	0.000	Merged-chr2-35233017-25
NR2377--MA0463.1.Bcl6	chr7	80857356	80857369	-	0.000	0.000	Merged-chr7-80857503-23
NR2162--MA0463.1.Bcl6	chr6	29271104	29271117	+	0.000	0.000	Merged-chr6-29271103-44
NR1614--MA0463.1.Bcl6	chr3	37605793	37605806	-	0.000	0.000	Merged-chr3-37605967-27
NR2395--MA0463.1.Bcl6	chr7	99468976	99468989	+	0.000	0.000	Merged-chr7-99468692-92
NR1394--MA0731.1.BCL6B	chr2	46082295	46082311	+	0.000	0.000	Merged-chr2-46082259-1
NR1189--MA0463.1.Bcl6	chr17	51762828	51762841	+	0.000	0.000	Merged-chr17-51762690-29
NR1865--MA0463.1.Bcl6	chr4	86739316	86739329	-	0.000	0.000	Merged-chr4-86739424-15
NR1426--MA0731.1.BCL6B	chr2	60204337	60204353	+	0.000	0.000	Merged-chr2-60204421-25
NR1310--MA0463.1.Bcl6	chr18	83934315	83934328	-	0.000	0.000	Merged-chr18-83934444-16
NR1896--MA0731.1.BCL6B	chr4	101298359	101298375	-	0.000	0.000	Merged-chr4-101298593-40
NR57--MA0731.1.BCL6B	chr1	53843227	53843243	+	0.000	0.000	Merged-chr1-53843171-20
NR43--MA0463.1.Bcl6	chr1	36252998	36253011	+	0.000	0.000	Merged-chr1-36253004-32
NR1440--MA0463.1.Bcl6	chr2	69862573	69862586	-	0.000	0.000	Merged-chr2-69862499-13
