#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR6657--MA0035.3.Gata1	chr4	9185020	9185030	-	0.000	0.000	Merged-chr4-9185047-5
NR5207--MA0482.1.Gata4	chr2	22796696	22796706	-	0.000	0.000	Merged-chr2-22796662-28
NR7047--MA0140.2.GATA1::TAL1	chr4	101254799	101254816	-	0.000	0.000	Merged-chr4-101254668-139
NR272--MA0482.1.Gata4	chr1	69331722	69331732	-	0.000	0.000	Merged-chr1-69331775-34
NR1783--MA0140.2.GATA1::TAL1	chr11	116782937	116782954	+	0.000	0.000	Merged-chr11-116782885-34
NR8446--MA0035.3.Gata1	chr6	136491385	136491395	-	0.000	0.000	Merged-chr6-136491563-93
NR9157--MA0035.3.Gata1	chr8	34164659	34164669	+	0.000	0.000	Merged-chr8-34164566-26
NR3544--MA1104.1.GATA6	chr15	36440112	36440124	+	0.000	0.000	Merged-chr15-36440213-15
NR6352--MA0035.3.Gata1	chr3	121343372	121343382	+	0.000	0.000	Merged-chr3-121343370-11
NR2301--MA0766.1.GATA5	chr12	107362207	107362214	+	0.000	0.000	Merged-chr12-107362270-34
NR6774--MA0036.3.GATA2	chr4	33110181	33110191	+	0.000	0.000	Merged-chr4-33110299-20
NR2915--MA0035.3.Gata1	chr13	113639070	113639080	+	0.000	0.000	Merged-chr13-113639155-24
NR7650--MA0140.2.GATA1::TAL1	chr5	96908630	96908647	-	0.000	0.000	Merged-chr5-96908541-4
NR2272--MA0036.3.GATA2	chr12	99544690	99544700	-	0.000	0.000	Merged-chr12-99544732-47
NR2553--MA0766.1.GATA5	chr13	41948368	41948375	+	0.000	0.000	Merged-chr13-41948463-1
NR6360--MA0036.3.GATA2	chr3	121444111	121444121	+	0.000	0.000	Merged-chr3-121444097-11
NR1721--MA0037.3.GATA3	chr11	97994753	97994760	+	0.000	0.000	Merged-chr11-97994878-44
NR4731--MA1104.1.GATA6	chr18	39091410	39091422	+	0.000	0.000	Merged-chr18-39091619-9
NR8573--MA0766.1.GATA5	chr7	6127302	6127309	-	0.000	0.000	Merged-chr7-6127268-44
NR617--MA0766.1.GATA5	chr1	143202926	143202933	+	0.000	0.000	Merged-chr1-143203062-8
NR8639--MA0766.1.GATA5	chr7	24451980	24451987	+	0.000	0.000	Merged-chr7-24452185-33
NR4390--MA0482.1.Gata4	chr17	35993989	35993999	+	0.000	0.000	Merged-chr17-35993975-42
NR8219--MA0140.2.GATA1::TAL1	chr6	99309688	99309705	-	0.000	0.000	Merged-chr6-99309583-50
NR4802--MA0140.2.GATA1::TAL1	chr18	53937578	53937595	+	0.000	0.000	Merged-chr18-53937531-41
NR2314--MA0766.1.GATA5	chr12	110689851	110689858	+	0.000	0.000	Merged-chr12-110689902-59
NR6121--MA0036.3.GATA2	chr3	60954283	60954293	-	0.000	0.000	Merged-chr3-60954370-10
NR1877--MA0037.3.GATA3	chr12	25013045	25013052	-	0.000	0.000	Merged-chr12-25013214-16
NR9705--MA1104.1.GATA6	chr9	86579813	86579825	-	0.000	0.000	Merged-chr9-86579809-9
NR968--MA0036.3.GATA2	chr10	26325438	26325448	+	0.000	0.000	Merged-chr10-26325461-56
NR2152--MA0766.1.GATA5	chr12	86795966	86795973	+	0.000	0.000	Merged-chr12-86795851-62
NR3940--MA0035.3.Gata1	chr16	44692060	44692070	+	0.000	0.000	Merged-chr16-44691948-13
NR9434--MA0037.3.GATA3	chr8	127589470	127589477	-	0.000	0.000	Merged-chr8-127589399-43
NR1185--MA0140.2.GATA1::TAL1	chr10	77021625	77021642	+	0.000	0.000	Merged-chr10-77021563-39
NR9814--MA0037.3.GATA3	chrX	7566383	7566390	-	0.000	0.000	Merged-chrX-7566514-6
NR4412--MA0035.3.Gata1	chr17	42782411	42782421	-	0.000	0.000	Merged-chr17-42782364-40
NR931--MA0140.2.GATA1::TAL1	chr10	19122283	19122300	+	0.000	0.000	Merged-chr10-19122454-26
NR8818--MA0035.3.Gata1	chr7	78865892	78865902	+	0.000	0.000	Merged-chr7-78865782-5
NR6201--MA0035.3.Gata1	chr3	81102400	81102410	+	0.000	0.000	Merged-chr3-81102418-9
NR4435--MA0482.1.Gata4	chr17	52348687	52348697	+	0.000	0.000	Merged-chr17-52348820-8
NR8907--MA0140.2.GATA1::TAL1	chr7	109218345	109218362	-	0.000	0.000	Merged-chr7-109218313-44
NR153--MA0036.3.GATA2	chr1	37544481	37544491	+	0.000	0.000	Merged-chr1-37544454-25
NR8160--MA1104.1.GATA6	chr6	82922014	82922026	+	0.000	0.000	Merged-chr6-82922037-57
NR4866--MA1104.1.GATA6	chr18	62072965	62072977	-	0.000	0.000	Merged-chr18-62072861-2
NR6081--MA0036.3.GATA2	chr3	58622619	58622629	+	0.000	0.000	Merged-chr3-58622670-34
NR390--MA1104.1.GATA6	chr1	94035511	94035523	-	0.000	0.000	Merged-chr1-94035484-87
NR3645--MA0037.3.GATA3	chr15	59010878	59010885	-	0.000	0.000	Merged-chr15-59010782-34
NR8361--MA0482.1.Gata4	chr6	129533343	129533353	-	0.000	0.000	Merged-chr6-129533355-94
NR979--MA1104.1.GATA6	chr10	28674110	28674122	+	0.000	0.000	Merged-chr10-28674060-27
NR4975--MA1104.1.GATA6	chr18	82847054	82847066	-	0.000	0.000	Merged-chr18-82847210-15
NR928--MA0482.1.Gata4	chr10	19122265	19122275	+	0.000	0.000	Merged-chr10-19122454-26
NR1276--MA0482.1.Gata4	chr10	96201431	96201441	-	0.000	0.000	Merged-chr10-96201472-66
NR1184--MA1104.1.GATA6	chr10	77021622	77021634	-	0.000	0.000	Merged-chr10-77021563-39
NR8935--MA0036.3.GATA2	chr7	113419585	113419595	-	0.000	0.000	Merged-chr7-113419557-35
NR2854--MA0035.3.Gata1	chr13	106836444	106836454	+	0.000	0.000	Merged-chr13-106836459-51
NR4228--MA0036.3.GATA2	chr17	3209753	3209763	+	0.000	0.000	Merged-chr17-3209784-17
NR7567--MA0482.1.Gata4	chr5	71903684	71903694	+	0.000	0.000	Merged-chr5-71903621-28
NR6365--MA0036.3.GATA2	chr3	122419824	122419834	-	0.000	0.000	Merged-chr3-122419865-81
NR8993--MA0482.1.Gata4	chr7	127288039	127288049	-	0.000	0.000	Merged-chr7-127288112-51
NR6350--MA1104.1.GATA6	chr3	121343371	121343383	-	0.000	0.000	Merged-chr3-121343370-11
NR4643--MA0035.3.Gata1	chr18	11913377	11913387	-	0.000	0.000	Merged-chr18-11913705-37
NR1880--MA0036.3.GATA2	chr12	25013044	25013054	+	0.000	0.000	Merged-chr12-25013214-16
NR4893--MA0140.2.GATA1::TAL1	chr18	67270258	67270275	-	0.000	0.000	Merged-chr18-67270168-25
NR73--MA0037.3.GATA3	chr1	14514553	14514560	+	0.000	0.000	Merged-chr1-14514684-1
NR2371--MA1104.1.GATA6	chr13	5757295	5757307	+	0.000	0.000	Merged-chr13-5757363-53
NR4000--MA0482.1.Gata4	chr16	57319937	57319947	-	0.000	0.000	Merged-chr16-57319907-20
NR4481--MA0035.3.Gata1	chr17	64208601	64208611	-	0.000	0.000	Merged-chr17-64208497-3
NR5901--MA0766.1.GATA5	chr3	19319341	19319348	+	0.000	0.000	Merged-chr3-19319228-45
NR5556--MA1104.1.GATA6	chr2	121457051	121457063	-	0.000	0.000	Merged-chr2-121457132-54
NR8662--MA1104.1.GATA6	chr7	30280499	30280511	+	0.000	0.000	Merged-chr7-30280528-94
NR6203--MA0482.1.Gata4	chr3	81201468	81201478	+	0.000	0.000	Merged-chr3-81201582-6
NR4523--MA0482.1.Gata4	chr17	71491184	71491194	+	0.000	0.000	Merged-chr17-71491103-50
NR8611--MA0482.1.Gata4	chr7	19332941	19332951	+	0.000	0.000	Merged-chr7-19332998-44
NR5208--MA1104.1.GATA6	chr2	22796696	22796708	+	0.000	0.000	Merged-chr2-22796662-28
NR2623--MA0036.3.GATA2	chr13	66991737	66991747	-	0.000	0.000	Merged-chr13-66991703-16
NR6541--MA0035.3.Gata1	chr3	146127389	146127399	+	0.000	0.000	Merged-chr3-146127552-12
NR273--MA1104.1.GATA6	chr1	69331722	69331734	+	0.000	0.000	Merged-chr1-69331775-34
NR7693--MA0037.3.GATA3	chr5	118069585	118069592	+	0.000	0.000	Merged-chr5-118069472-39
NR6041--MA0482.1.Gata4	chr3	51744642	51744652	+	0.000	0.000	Merged-chr3-51744632-10
NR9369--MA0482.1.Gata4	chr8	111566113	111566123	+	0.000	0.000	Merged-chr8-111566005-2
NR2562--MA0035.3.Gata1	chr13	49188129	49188139	-	0.000	0.000	Merged-chr13-49188113-1
NR1848--MA0037.3.GATA3	chr12	16185623	16185630	-	0.000	0.000	Merged-chr12-16185844-40
NR8996--MA0035.3.Gata1	chr7	127288040	127288050	-	0.000	0.000	Merged-chr7-127288112-51
NR2808--MA0766.1.GATA5	chr13	95524827	95524834	-	0.000	0.000	Merged-chr13-95524749-120
NR4013--MA0482.1.Gata4	chr16	58670210	58670220	+	0.000	0.000	Merged-chr16-58670422-58
NR4536--MA0482.1.Gata4	chr17	73169831	73169841	+	0.000	0.000	Merged-chr17-73169752-13
NR5500--MA0766.1.GATA5	chr2	109608257	109608264	+	0.000	0.000	Merged-chr2-109608122-1
NR99--MA1104.1.GATA6	chr1	21314420	21314432	-	0.000	0.000	Merged-chr1-21314472-2
NR9931--MA0035.3.Gata1	chrX	153375287	153375297	+	0.000	0.000	Merged-chrX-153375365-26
NR6054--MA0482.1.Gata4	chr3	52650275	52650285	+	0.000	0.000	Merged-chr3-52650302-1
NR4374--MA0482.1.Gata4	chr17	34198067	34198077	-	0.000	0.000	Merged-chr17-34197913-92
NR168--MA0766.1.GATA5	chr1	44101608	44101615	+	0.000	0.000	Merged-chr1-44101717-6
NR4164--MA0766.1.GATA5	chr16	89595948	89595955	+	0.000	0.000	Merged-chr16-89595892-3
NR1630--MA0766.1.GATA5	chr11	53141385	53141392	+	0.000	0.000	Merged-chr11-53141237-14
NR4391--MA1104.1.GATA6	chr17	35993987	35993999	-	0.000	0.000	Merged-chr17-35993975-42
NR1699--MA0037.3.GATA3	chr11	86257582	86257589	+	0.000	0.000	Merged-chr11-86257585-49
NR8816--MA1104.1.GATA6	chr7	78865891	78865903	-	0.000	0.000	Merged-chr7-78865782-5
NR8351--MA0036.3.GATA2	chr6	128972764	128972774	-	0.000	0.000	Merged-chr6-128972909-46
NR8427--MA0766.1.GATA5	chr6	134189986	134189993	+	0.000	0.000	Merged-chr6-134189868-22
NR9853--MA0766.1.GATA5	chrX	42343745	42343752	-	0.000	0.000	Merged-chrX-42343636-58
NR6180--MA1104.1.GATA6	chr3	75240890	75240902	-	0.000	0.000	Merged-chr3-75240815-11
NR6424--MA0035.3.Gata1	chr3	133411810	133411820	+	0.000	0.000	Merged-chr3-133411903-38
NR3661--MA0036.3.GATA2	chr15	62730608	62730618	-	0.000	0.000	Merged-chr15-62730717-24
NR8003--MA0036.3.GATA2	chr6	54118991	54119001	+	0.000	0.000	Merged-chr6-54119085-6
NR8669--MA0036.3.GATA2	chr7	30373720	30373730	-	0.000	0.000	Merged-chr7-30373731-40
NR6575--MA0036.3.GATA2	chr3	152919362	152919372	+	0.000	0.000	Merged-chr3-152919231-7
NR8998--MA0482.1.Gata4	chr7	130774089	130774099	-	0.000	0.000	Merged-chr7-130774226-12
NR1904--MA0036.3.GATA2	chr12	28735553	28735563	-	0.000	0.000	Merged-chr12-28735423-1
NR4305--MA0766.1.GATA5	chr17	13654775	13654782	+	0.000	0.000	Merged-chr17-13654932-70
NR6718--MA0482.1.Gata4	chr4	19923449	19923459	-	0.000	0.000	Merged-chr4-19923492-7
NR4101--MA0482.1.Gata4	chr16	78265278	78265288	+	0.000	0.000	Merged-chr16-78265078-57
NR6057--MA0035.3.Gata1	chr3	52650274	52650284	+	0.000	0.000	Merged-chr3-52650302-1
NR7429--MA0482.1.Gata4	chr5	38580781	38580791	+	0.000	0.000	Merged-chr5-38580877-38
NR6237--MA0766.1.GATA5	chr3	84461171	84461178	+	0.000	0.000	Merged-chr3-84461060-54
NR1962--MA0482.1.Gata4	chr12	40427688	40427698	-	0.000	0.000	Merged-chr12-40427719-34
NR2554--MA0035.3.Gata1	chr13	41948366	41948376	-	0.000	0.000	Merged-chr13-41948463-1
NR8988--MA0035.3.Gata1	chr7	126822098	126822108	-	0.000	0.000	Merged-chr7-126822065-16
NR2519--MA0036.3.GATA2	chr13	30742668	30742678	-	0.000	0.000	Merged-chr13-30742638-44
NR4757--MA0035.3.Gata1	chr18	46013366	46013376	-	0.000	0.000	Merged-chr18-46013388-48
NR8574--MA0035.3.Gata1	chr7	6127301	6127311	+	0.000	0.000	Merged-chr7-6127268-44
NR4641--MA1104.1.GATA6	chr18	11913376	11913388	+	0.000	0.000	Merged-chr18-11913705-37
NR8483--MA0766.1.GATA5	chr6	140308227	140308234	-	0.000	0.000	Merged-chr6-140308190-9
NR4436--MA1104.1.GATA6	chr17	52348685	52348697	-	0.000	0.000	Merged-chr17-52348820-8
NR3087--MA0037.3.GATA3	chr14	40927279	40927286	+	0.000	0.000	Merged-chr14-40927194-29
NR8539--MA0036.3.GATA2	chr6	144329732	144329742	+	0.000	0.000	Merged-chr6-144329601-7
NR1851--MA0036.3.GATA2	chr12	16185622	16185632	+	0.000	0.000	Merged-chr12-16185844-40
NR7900--MA0766.1.GATA5	chr6	24031953	24031960	-	0.000	0.000	Merged-chr6-24031822-2
NR2315--MA0035.3.Gata1	chr12	110689849	110689859	-	0.000	0.000	Merged-chr12-110689902-59
NR4908--MA0482.1.Gata4	chr18	69084779	69084789	+	0.000	0.000	Merged-chr18-69084701-84
NR2957--MA0482.1.Gata4	chr14	8255426	8255436	+	0.000	0.000	Merged-chr14-8255378-13
NR9880--MA0482.1.Gata4	chrX	104015321	104015331	-	0.000	0.000	Merged-chrX-104015448-5
NR5572--MA0036.3.GATA2	chr2	122668168	122668178	-	0.000	0.000	Merged-chr2-122668057-9
NR2153--MA0035.3.Gata1	chr12	86795964	86795974	-	0.000	0.000	Merged-chr12-86795851-62
NR3404--MA0140.2.GATA1::TAL1	chr14	121702666	121702683	+	0.000	0.000	Merged-chr14-121702650-15
NR9941--MA0766.1.GATA5	chrX	166329313	166329320	-	0.000	0.000	Merged-chrX-166329162-24
NR4398--MA0036.3.GATA2	chr17	36020626	36020636	-	0.000	0.000	Merged-chr17-36020745-74
NR929--MA1104.1.GATA6	chr10	19122263	19122275	-	0.000	0.000	Merged-chr10-19122454-26
NR6426--MA0482.1.Gata4	chr3	133623448	133623458	+	0.000	0.000	Merged-chr3-133623556-36
NR4383--MA1104.1.GATA6	chr17	35727167	35727179	+	0.000	0.000	Merged-chr17-35727200-6
NR2585--MA0766.1.GATA5	chr13	59585438	59585445	-	0.000	0.000	Merged-chr13-59585318-80
NR6288--MA0035.3.Gata1	chr3	100558467	100558477	+	0.000	0.000	Merged-chr3-100558458-49
NR3653--MA0036.3.GATA2	chr15	60112101	60112111	+	0.000	0.000	Merged-chr15-60111990-62
NR7571--MA0035.3.Gata1	chr5	71903683	71903693	+	0.000	0.000	Merged-chr5-71903621-28
NR9431--MA0766.1.GATA5	chr8	125351842	125351849	+	0.000	0.000	Merged-chr8-125351679-18
NR3542--MA0037.3.GATA3	chr15	36440115	36440122	+	0.000	0.000	Merged-chr15-36440213-15
NR5452--MA0766.1.GATA5	chr2	92192029	92192036	+	0.000	0.000	Merged-chr2-92192158-30
NR4001--MA1104.1.GATA6	chr16	57319937	57319949	+	0.000	0.000	Merged-chr16-57319907-20
NR2142--MA0482.1.Gata4	chr12	83929661	83929671	-	0.000	0.000	Merged-chr12-83929616-29
NR4574--MA0035.3.Gata1	chr17	86038314	86038324	+	0.000	0.000	Merged-chr17-86038391-20
NR3772--MA0766.1.GATA5	chr15	103339526	103339533	-	0.000	0.000	Merged-chr15-103339534-3
NR9631--MA0035.3.Gata1	chr9	77496871	77496881	+	0.000	0.000	Merged-chr9-77496982-2
NR283--MA0482.1.Gata4	chr1	74239438	74239448	-	0.000	0.000	Merged-chr1-74239577-59
NR6204--MA1104.1.GATA6	chr3	81201466	81201478	-	0.000	0.000	Merged-chr3-81201582-6
NR4524--MA1104.1.GATA6	chr17	71491182	71491194	-	0.000	0.000	Merged-chr17-71491103-50
NR8612--MA1104.1.GATA6	chr7	19332939	19332951	-	0.000	0.000	Merged-chr7-19332998-44
NR8213--MA0036.3.GATA2	chr6	99220740	99220750	+	0.000	0.000	Merged-chr6-99220619-12
NR7791--MA0140.2.GATA1::TAL1	chr5	149392270	149392287	-	0.000	0.000	Merged-chr5-149392157-30
NR6042--MA1104.1.GATA6	chr3	51744640	51744652	-	0.000	0.000	Merged-chr3-51744632-10
NR4014--MA1104.1.GATA6	chr16	58670208	58670220	-	0.000	0.000	Merged-chr16-58670422-58
NR7964--MA0035.3.Gata1	chr6	43337637	43337647	+	0.000	0.000	Merged-chr6-43337585-2
NR567--MA0482.1.Gata4	chr1	133163853	133163863	+	0.000	0.000	Merged-chr1-133164049-18
NR3090--MA0036.3.GATA2	chr14	40927277	40927287	-	0.000	0.000	Merged-chr14-40927194-29
NR7684--MA0140.2.GATA1::TAL1	chr5	107061821	107061838	-	0.000	0.000	Merged-chr5-107061883-14
NR2145--MA0035.3.Gata1	chr12	83929662	83929672	-	0.000	0.000	Merged-chr12-83929616-29
NR6275--MA0036.3.GATA2	chr3	96580268	96580278	+	0.000	0.000	Merged-chr3-96580278-43
NR6055--MA1104.1.GATA6	chr3	52650273	52650285	-	0.000	0.000	Merged-chr3-52650302-1
NR2787--MA0482.1.Gata4	chr13	91033461	91033471	+	0.000	0.000	Merged-chr13-91033672-15
NR2300--MA1104.1.GATA6	chr12	107362204	107362216	+	0.000	0.000	Merged-chr12-107362270-34
NR262--MA0482.1.Gata4	chr1	66987717	66987727	+	0.000	0.000	Merged-chr1-66987794-41
NR8734--MA1104.1.GATA6	chr7	58844113	58844125	+	0.000	0.000	Merged-chr7-58844347-15
NR1543--MA0035.3.Gata1	chr11	11711883	11711893	+	0.000	0.000	Merged-chr11-11711824-34
NR3058--MA1104.1.GATA6	chr14	27562726	27562738	+	0.000	0.000	Merged-chr14-27562668-44
NR5902--MA0035.3.Gata1	chr3	19319339	19319349	-	0.000	0.000	Merged-chr3-19319228-45
NR1795--MA0035.3.Gata1	chr12	3441669	3441679	+	0.000	0.000	Merged-chr12-3441534-29
NR2896--MA0482.1.Gata4	chr13	112427868	112427878	+	0.000	0.000	Merged-chr13-112427724-41
NR4095--MA0766.1.GATA5	chr16	77095208	77095215	-	0.000	0.000	Merged-chr16-77095315-45
NR1110--MA0140.2.GATA1::TAL1	chr10	62500310	62500327	-	0.000	0.000	Merged-chr10-62500351-23
NR708--MA0482.1.Gata4	chr1	164184714	164184724	+	0.000	0.000	Merged-chr1-164184631-39
NR8638--MA1104.1.GATA6	chr7	24451977	24451989	+	0.000	0.000	Merged-chr7-24452185-33
NR4162--MA0482.1.Gata4	chr16	89595945	89595955	-	0.000	0.000	Merged-chr16-89595892-3
NR3998--MA0035.3.Gata1	chr16	56800671	56800681	+	0.000	0.000	Merged-chr16-56800625-33
NR8183--MA0766.1.GATA5	chr6	86922089	86922096	-	0.000	0.000	Merged-chr6-86921974-19
NR4043--MA0035.3.Gata1	chr16	64766974	64766984	+	0.000	0.000	Merged-chr16-64766994-6
NR1561--MA0766.1.GATA5	chr11	21103248	21103255	-	0.000	0.000	Merged-chr11-21103382-12
NR8316--MA0482.1.Gata4	chr6	124750611	124750621	-	0.000	0.000	Merged-chr6-124750623-14
NR8476--MA1104.1.GATA6	chr6	140308145	140308157	+	0.000	0.000	Merged-chr6-140308190-9
NR4337--MA0482.1.Gata4	chr17	21579873	21579883	-	0.000	0.000	Merged-chr17-21579709-31
NR4452--MA0140.2.GATA1::TAL1	chr17	57031707	57031724	-	0.000	0.000	Merged-chr17-57031784-94
NR1670--MA0766.1.GATA5	chr11	70239914	70239921	+	0.000	0.000	Merged-chr11-70239985-43
NR2809--MA0035.3.Gata1	chr13	95524826	95524836	+	0.000	0.000	Merged-chr13-95524749-120
NR8425--MA0482.1.Gata4	chr6	134189983	134189993	-	0.000	0.000	Merged-chr6-134189868-22
NR9784--MA0766.1.GATA5	chr9	116138613	116138620	-	0.000	0.000	Merged-chr9-116138726-20
NR4864--MA0037.3.GATA3	chr18	62072967	62072974	-	0.000	0.000	Merged-chr18-62072861-2
NR8999--MA1104.1.GATA6	chr7	130774089	130774101	+	0.000	0.000	Merged-chr7-130774226-12
NR6719--MA1104.1.GATA6	chr4	19923449	19923461	+	0.000	0.000	Merged-chr4-19923492-7
NR4102--MA1104.1.GATA6	chr16	78265276	78265288	-	0.000	0.000	Merged-chr16-78265078-57
NR2309--MA0482.1.Gata4	chr12	110689779	110689789	+	0.000	0.000	Merged-chr12-110689902-59
NR5501--MA0035.3.Gata1	chr2	109608255	109608265	-	0.000	0.000	Merged-chr2-109608122-1
NR1784--MA0482.1.Gata4	chr11	117308108	117308118	+	0.000	0.000	Merged-chr11-117308232-42
NR4388--MA0140.2.GATA1::TAL1	chr17	35993948	35993965	-	0.000	0.000	Merged-chr17-35993975-42
NR7150--MA0140.2.GATA1::TAL1	chr4	136836252	136836269	-	0.000	0.000	Merged-chr4-136836082-29
NR4056--MA0035.3.Gata1	chr16	65448998	65449008	-	0.000	0.000	Merged-chr16-65448972-5
NR4327--MA0035.3.Gata1	chr17	17838230	17838240	+	0.000	0.000	Merged-chr17-17838305-60
NR6235--MA0482.1.Gata4	chr3	84461168	84461178	-	0.000	0.000	Merged-chr3-84461060-54
NR169--MA0035.3.Gata1	chr1	44101606	44101616	-	0.000	0.000	Merged-chr1-44101717-6
NR1631--MA0035.3.Gata1	chr11	53141383	53141393	-	0.000	0.000	Merged-chr11-53141237-14
NR2307--MA0036.3.GATA2	chr12	108763691	108763701	-	0.000	0.000	Merged-chr12-108763648-15
NR1883--MA0035.3.Gata1	chr12	25117995	25118005	+	0.000	0.000	Merged-chr12-25118118-8
NR7770--MA0482.1.Gata4	chr5	147063478	147063488	+	0.000	0.000	Merged-chr5-147063758-85
NR8199--MA0036.3.GATA2	chr6	97311128	97311138	-	0.000	0.000	Merged-chr6-97311024-32
NR2958--MA1104.1.GATA6	chr14	8255424	8255436	-	0.000	0.000	Merged-chr14-8255378-13
NR8547--MA0482.1.Gata4	chr6	144987412	144987422	-	0.000	0.000	Merged-chr6-144987357-14
NR8428--MA0035.3.Gata1	chr6	134189984	134189994	-	0.000	0.000	Merged-chr6-134189868-22
NR5665--MA0036.3.GATA2	chr2	140051794	140051804	-	0.000	0.000	Merged-chr2-140051762-17
NR9854--MA0035.3.Gata1	chrX	42343744	42343754	+	0.000	0.000	Merged-chrX-42343636-58
NR2907--MA0482.1.Gata4	chr13	113639035	113639045	+	0.000	0.000	Merged-chr13-113639155-24
NR8327--MA0036.3.GATA2	chr6	126849235	126849245	-	0.000	0.000	Merged-chr6-126849069-62
NR1240--MA0482.1.Gata4	chr10	89326992	89327002	-	0.000	0.000	Merged-chr10-89327162-49
NR6427--MA1104.1.GATA6	chr3	133623446	133623458	-	0.000	0.000	Merged-chr3-133623556-36
NR8660--MA0037.3.GATA3	chr7	30280502	30280509	+	0.000	0.000	Merged-chr7-30280528-94
