#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed
NR11555--MA0501.1.MAF::NFE2	chr6	15738694	15738708	+	0.000	0.000	Merged-chr6-15738644-7
NR5726--MA0501.1.MAF::NFE2	chr16	44140578	44140592	+	0.000	0.000	Merged-chr16-44140552-3
NR12238--MA0089.1.MAFG::NFE2L1	chr6	124903770	124903775	-	0.000	0.000	Merged-chr6-124903872-48
NR7665--MA0495.2.MAFF	chr2	44953119	44953139	-	0.000	0.000	Merged-chr2-44953031-31
NR6586--MA0659.1.MAFG	chr17	86063692	86063712	+	0.000	0.000	Merged-chr17-86063661-27
NR5258--MA0089.1.MAFG::NFE2L1	chr15	65727211	65727216	-	0.000	0.000	Merged-chr15-65727192-50
NR2922--MA0089.1.MAFG::NFE2L1	chr12	28829700	28829705	-	0.000	0.000	Merged-chr12-28829718-31
NR225--MA0495.2.MAFF	chr1	55430720	55430740	+	0.000	0.000	Merged-chr1-55430665-40
NR2621--MA0501.1.MAF::NFE2	chr11	90576723	90576737	+	0.000	0.000	Merged-chr11-90576690-20
NR1699--MA0495.2.MAFF	chr10	77607298	77607318	-	0.000	0.000	Merged-chr10-77607197-3
NR311--MA0501.1.MAF::NFE2	chr1	72449904	72449918	-	0.000	0.000	Merged-chr1-72450027-13
NR8559--MA0501.1.MAF::NFE2	chr2	161343121	161343135	+	0.000	0.000	Merged-chr2-161342936-1
NR8816--MA0501.1.MAF::NFE2	chr3	18623967	18623981	-	0.000	0.000	Merged-chr3-18624063-31
NR5778--MA0501.1.MAF::NFE2	chr16	51878449	51878463	+	0.000	0.000	Merged-chr16-51878445-21
NR1083--MA0591.1.Bach1::Mafk	chr1	180410494	180410508	+	0.000	0.000	Merged-chr1-180410391-12
NR12608--MA0496.2.MAFK	chr7	19872431	19872449	+	0.000	0.000	Merged-chr7-19872321-3
NR10931--MA0089.1.MAFG::NFE2L1	chr5	64336882	64336887	-	0.000	0.000	Merged-chr5-64336866-17
NR2645--MA0496.2.MAFK	chr11	96435095	96435113	+	0.000	0.000	Merged-chr11-96435210-8
NR13651--MA0659.1.MAFG	chr8	75084001	75084021	+	0.000	0.000	Merged-chr8-75083999-30
NR9679--MA0089.1.MAFG::NFE2L1	chr3	153764910	153764915	+	0.000	0.000	Merged-chr3-153764846-117
NR9939--MA0495.2.MAFF	chr4	57295321	57295341	+	0.000	0.000	Merged-chr4-57295265-18
NR11005--MA0089.1.MAFG::NFE2L1	chr5	86673094	86673099	-	0.000	0.000	Merged-chr5-86673072-6
NR9851--MA0117.2.Mafb	chr4	35224175	35224186	-	0.000	0.000	Merged-chr4-35224278-27
NR8544--MA0501.1.MAF::NFE2	chr2	158771238	158771252	-	0.000	0.000	Merged-chr2-158771297-12
NR13937--MA0591.1.Bach1::Mafk	chr8	115826708	115826722	-	0.000	0.000	Merged-chr8-115826691-38
NR3758--MA0495.2.MAFF	chr13	45623915	45623935	-	0.000	0.000	Merged-chr13-45624002-39
NR7613--MA0591.1.Bach1::Mafk	chr2	33154872	33154886	+	0.000	0.000	Merged-chr2-33154986-19
NR8448--MA0501.1.MAF::NFE2	chr2	147744114	147744128	+	0.000	0.000	Merged-chr2-147744071-13
NR1411--MA0501.1.MAF::NFE2	chr10	25140546	25140560	-	0.000	0.000	Merged-chr10-25140477-16
NR8346--MA0089.1.MAFG::NFE2L1	chr2	135999721	135999726	-	0.000	0.000	Merged-chr2-135999681-5
NR1125--MA0591.1.Bach1::Mafk	chr1	183442403	183442417	+	0.000	0.000	Merged-chr1-183442329-21
NR12136--MA0089.1.MAFG::NFE2L1	chr6	116287127	116287132	-	0.000	0.000	Merged-chr6-116287137-8
NR8722--MA0089.1.MAFG::NFE2L1	chr2	177398305	177398310	+	0.000	0.000	Merged-chr2-177398378-54
NR13932--MA0089.1.MAFG::NFE2L1	chr8	115568588	115568593	+	0.000	0.000	Merged-chr8-115568627-19
NR486--MA0591.1.Bach1::Mafk	chr1	91909100	91909114	+	0.000	0.000	Merged-chr1-91909100-9
NR12021--MA0089.1.MAFG::NFE2L1	chr6	99350717	99350722	+	0.000	0.000	Merged-chr6-99350715-17
NR10370--MA0496.2.MAFK	chr4	129608823	129608841	-	0.000	0.000	Merged-chr4-129608854-40
NR5588--MA0496.2.MAFK	chr16	24391326	24391344	+	0.000	0.000	Merged-chr16-24391314-24
NR2370--MA0659.1.MAFG	chr11	51264658	51264678	-	0.000	0.000	Merged-chr11-51264498-29
NR11307--MA0089.1.MAFG::NFE2L1	chr5	123344690	123344695	-	0.000	0.000	Merged-chr5-123344591-87
NR13152--MA0089.1.MAFG::NFE2L1	chr7	120934778	120934783	-	0.000	0.000	Merged-chr7-120934804-24
NR5243--MA0089.1.MAFG::NFE2L1	chr15	62726735	62726740	+	0.000	0.000	Merged-chr15-62726785-12
NR10453--MA0089.1.MAFG::NFE2L1	chr4	141405006	141405011	+	0.000	0.000	Merged-chr4-141404988-27
NR2639--MA0591.1.Bach1::Mafk	chr11	94521297	94521311	+	0.000	0.000	Merged-chr11-94521402-11
NR11962--MA0591.1.Bach1::Mafk	chr6	91713042	91713056	-	0.000	0.000	Merged-chr6-91712946-25
NR14381--MA0591.1.Bach1::Mafk	chr9	69125460	69125474	-	0.000	0.000	Merged-chr9-69125560-59
NR121--MA0591.1.Bach1::Mafk	chr1	33883565	33883579	+	0.000	0.000	Merged-chr1-33883578-48
NR14193--MA0495.2.MAFF	chr9	34996151	34996171	+	0.000	0.000	Merged-chr9-34996088-18
NR680--MA0591.1.Bach1::Mafk	chr1	127345063	127345077	+	0.000	0.000	Merged-chr1-127345077-51
NR12445--MA0659.1.MAFG	chr6	143132507	143132527	-	0.000	0.000	Merged-chr6-143132490-15
NR5949--MA0089.1.MAFG::NFE2L1	chr16	78236975	78236980	+	0.000	0.000	Merged-chr16-78236959-38
NR9720--MA0591.1.Bach1::Mafk	chr3	157884231	157884245	-	0.000	0.000	Merged-chr3-157884103-23
NR109--MA0495.2.MAFF	chr1	33454541	33454561	-	0.000	0.000	Merged-chr1-33454547-11
NR932--MA0089.1.MAFG::NFE2L1	chr1	161734763	161734768	-	0.000	0.000	Merged-chr1-161734917-117
NR9953--MA0089.1.MAFG::NFE2L1	chr4	57928013	57928018	-	0.000	0.000	Merged-chr4-57928066-27
NR7794--MA0089.1.MAFG::NFE2L1	chr2	62526370	62526375	+	0.000	0.000	Merged-chr2-62526559-11
NR8786--MA0591.1.Bach1::Mafk	chr3	9566978	9566992	-	0.000	0.000	Merged-chr3-9567055-14
NR3894--MA0117.2.Mafb	chr13	67683322	67683333	-	0.000	0.000	Merged-chr13-67683532-62
NR11093--MA0089.1.MAFG::NFE2L1	chr5	97702730	97702735	-	0.000	0.000	Merged-chr5-97702819-2
NR10720--MA0495.2.MAFF	chr5	21658704	21658724	+	0.000	0.000	Merged-chr5-21658802-28
NR4988--MA0501.1.MAF::NFE2	chr14	121345390	121345404	-	0.000	0.000	Merged-chr14-121345189-15
NR5015--MA0591.1.Bach1::Mafk	chr14	123001625	123001639	-	0.000	0.000	Merged-chr14-123001594-21
NR1577--MA0591.1.Bach1::Mafk	chr10	58383473	58383487	-	0.000	0.000	Merged-chr10-58383440-43
NR13078--MA0089.1.MAFG::NFE2L1	chr7	113197602	113197607	+	0.000	0.000	Merged-chr7-113197463-17
NR2098--MA0501.1.MAF::NFE2	chr10	127114588	127114602	-	0.000	0.000	Merged-chr10-127114470-4
NR10379--MA0089.1.MAFG::NFE2L1	chr4	129827884	129827889	+	0.000	0.000	Merged-chr4-129827894-38
NR6098--MA0089.1.MAFG::NFE2L1	chr16	97402597	97402602	-	0.000	0.000	Merged-chr16-97402543-6
NR14871--MA0659.1.MAFG	chrX	53607939	53607959	-	0.000	0.000	Merged-chrX-53607978-28
NR2458--MA0495.2.MAFF	chr11	62185075	62185095	+	0.000	0.000	Merged-chr11-62185170-13
NR11211--MA0591.1.Bach1::Mafk	chr5	107988152	107988166	-	0.000	0.000	Merged-chr5-107988008-32
NR14719--MA0659.1.MAFG	chr9	116319684	116319704	-	0.000	0.000	Merged-chr9-116319642-35
NR5976--MA0501.1.MAF::NFE2	chr16	87725009	87725023	-	0.000	0.000	Merged-chr16-87725101-16
NR6561--MA0089.1.MAFG::NFE2L1	chr17	80772610	80772615	+	0.000	0.000	Merged-chr17-80772766-52
NR11771--MA0089.1.MAFG::NFE2L1	chr6	59422501	59422506	+	0.000	0.000	Merged-chr6-59422426-23
NR10071--MA0495.2.MAFF	chr4	88110178	88110198	+	0.000	0.000	Merged-chr4-88110065-14
NR1578--MA0496.2.MAFK	chr10	58383471	58383489	+	0.000	0.000	Merged-chr10-58383440-43
NR10277--MA0495.2.MAFF	chr4	116018506	116018526	+	0.000	0.000	Merged-chr4-116018460-3
NR13756--MA0089.1.MAFG::NFE2L1	chr8	88244522	88244527	+	0.000	0.000	Merged-chr8-88244347-35
NR3684--MA0591.1.Bach1::Mafk	chr13	36203202	36203216	-	0.000	0.000	Merged-chr13-36203222-10
NR7502--MA0089.1.MAFG::NFE2L1	chr2	13265007	13265012	-	0.000	0.000	Merged-chr2-13265108-24
NR10867--MA0501.1.MAF::NFE2	chr5	52908397	52908411	+	0.000	0.000	Merged-chr5-52908402-27
NR14895--MA0501.1.MAF::NFE2	chrX	71468813	71468827	-	0.000	0.000	Merged-chrX-71468864-48
NR1772--MA0501.1.MAF::NFE2	chr10	84896037	84896051	+	0.000	0.000	Merged-chr10-84895953-22
NR8431--MA0089.1.MAFG::NFE2L1	chr2	146606407	146606412	-	0.000	0.000	Merged-chr2-146606447-27
NR496--MA0659.1.MAFG	chr1	92119341	92119361	+	0.000	0.000	Merged-chr1-92119439-48
NR3082--MA0089.1.MAFG::NFE2L1	chr12	69501882	69501887	+	0.000	0.000	Merged-chr12-69501974-43
NR1601--MA0495.2.MAFF	chr10	60162722	60162742	+	0.000	0.000	Merged-chr10-60162645-38
NR6487--MA0089.1.MAFG::NFE2L1	chr17	70746962	70746967	+	0.000	0.000	Merged-chr17-70746811-20
NR1815--MA0089.1.MAFG::NFE2L1	chr10	88406050	88406055	-	0.000	0.000	Merged-chr10-88405928-47
NR13957--MA0501.1.MAF::NFE2	chr8	117780884	117780898	+	0.000	0.000	Merged-chr8-117780914-2
NR5865--MA0501.1.MAF::NFE2	chr16	65351168	65351182	+	0.000	0.000	Merged-chr16-65351191-13
NR13352--MA0089.1.MAFG::NFE2L1	chr7	143625360	143625365	+	0.000	0.000	Merged-chr7-143625204-46
NR5443--MA0089.1.MAFG::NFE2L1	chr15	100060731	100060736	+	0.000	0.000	Merged-chr15-100060928-68
NR3963--MA0591.1.Bach1::Mafk	chr13	81351670	81351684	-	0.000	0.000	Merged-chr13-81351650-43
NR6008--MA0089.1.MAFG::NFE2L1	chr16	90331121	90331126	-	0.000	0.000	Merged-chr16-90331129-56
NR469--MA0117.2.Mafb	chr1	91024084	91024095	+	0.000	0.000	Merged-chr1-91024136-16
NR10971--MA0495.2.MAFF	chr5	72250363	72250383	+	0.000	0.000	Merged-chr5-72250347-10
NR3499--MA0089.1.MAFG::NFE2L1	chr12	117712719	117712724	-	0.000	0.000	Merged-chr12-117712681-21
NR8733--MA0089.1.MAFG::NFE2L1	chr2	178078439	178078444	+	0.000	0.000	Merged-chr2-178078540-79
NR8698--MA0501.1.MAF::NFE2	chr2	174566021	174566035	-	0.000	0.000	Merged-chr2-174566072-46
NR9865--MA0117.2.Mafb	chr4	41314273	41314284	+	0.000	0.000	Merged-chr4-41314225-1
NR10740--MA0089.1.MAFG::NFE2L1	chr5	25092782	25092787	-	0.000	0.000	Merged-chr5-25092896-11
NR13254--MA0591.1.Bach1::Mafk	chr7	133740765	133740779	+	0.000	0.000	Merged-chr7-133740776-40
NR13685--MA0501.1.MAF::NFE2	chr8	79150699	79150713	+	0.000	0.000	Merged-chr8-79150775-36
NR11597--MA0117.2.Mafb	chr6	28622655	28622666	+	0.000	0.000	Merged-chr6-28622467-8
NR1726--MA0501.1.MAF::NFE2	chr10	79937280	79937294	-	0.000	0.000	Merged-chr10-79937148-47
NR11599--MA0591.1.Bach1::Mafk	chr6	28928145	28928159	+	0.000	0.000	Merged-chr6-28928131-16
NR5083--MA0591.1.Bach1::Mafk	chr15	28081379	28081393	+	0.000	0.000	Merged-chr15-28081319-36
NR9373--MA0089.1.MAFG::NFE2L1	chr3	116332015	116332020	+	0.000	0.000	Merged-chr3-116332074-27
NR14583--MA0089.1.MAFG::NFE2L1	chr9	101249721	101249726	+	0.000	0.000	Merged-chr9-101249791-43
NR7590--MA0089.1.MAFG::NFE2L1	chr2	31043062	31043067	-	0.000	0.000	Merged-chr2-31043017-22
NR1724--MA0659.1.MAFG	chr10	79937280	79937300	+	0.000	0.000	Merged-chr10-79937148-47
NR3652--MA0501.1.MAF::NFE2	chr13	29805496	29805510	-	0.000	0.000	Merged-chr13-29805422-4
NR12449--MA0089.1.MAFG::NFE2L1	chr6	143366044	143366049	+	0.000	0.000	Merged-chr6-143366035-15
NR14104--MA0089.1.MAFG::NFE2L1	chr9	11347509	11347514	-	0.000	0.000	Merged-chr9-11347539-5
NR8587--MA0501.1.MAF::NFE2	chr2	163132451	163132465	-	0.000	0.000	Merged-chr2-163132473-10
NR10175--MA0089.1.MAFG::NFE2L1	chr4	102981887	102981892	-	0.000	0.000	Merged-chr4-102981884-20
NR14670--MA0089.1.MAFG::NFE2L1	chr9	112207982	112207987	+	0.000	0.000	Merged-chr9-112208055-25
NR1388--MA0117.2.Mafb	chr10	21366096	21366107	+	0.000	0.000	Merged-chr10-21366079-21
NR13250--MA0089.1.MAFG::NFE2L1	chr7	133159670	133159675	+	0.000	0.000	Merged-chr7-133159703-12
NR7853--MA0591.1.Bach1::Mafk	chr2	72170816	72170830	+	0.000	0.000	Merged-chr2-72170854-84
NR3717--MA0501.1.MAF::NFE2	chr13	41671422	41671436	-	0.000	0.000	Merged-chr13-41671517-12
NR8748--MA0501.1.MAF::NFE2	chr2	179966558	179966572	-	0.000	0.000	Merged-chr2-179966777-32
NR10073--MA0117.2.Mafb	chr4	88110187	88110198	-	0.000	0.000	Merged-chr4-88110065-14
NR1365--MA0591.1.Bach1::Mafk	chr10	18993155	18993169	-	0.000	0.000	Merged-chr10-18993192-15
NR2618--MA0501.1.MAF::NFE2	chr11	90512646	90512660	-	0.000	0.000	Merged-chr11-90512841-45
NR163--MA0089.1.MAFG::NFE2L1	chr1	40268725	40268730	+	0.000	0.000	Merged-chr1-40268723-25
NR6119--MA0496.2.MAFK	chr17	5126120	5126138	-	0.000	0.000	Merged-chr17-5126157-22
NR12471--MA0591.1.Bach1::Mafk	chr6	144689272	144689286	-	0.000	0.000	Merged-chr6-144689209-25
NR9575--MA0501.1.MAF::NFE2	chr3	142217320	142217334	+	0.000	0.000	Merged-chr3-142217381-4
NR8808--MA0591.1.Bach1::Mafk	chr3	18243870	18243884	+	0.000	0.000	Merged-chr3-18243680-52
NR6232--MA0591.1.Bach1::Mafk	chr17	26572482	26572496	-	0.000	0.000	Merged-chr17-26572396-49
NR12132--MA0089.1.MAFG::NFE2L1	chr6	115838465	115838470	+	0.000	0.000	Merged-chr6-115838478-31
NR361--MA0591.1.Bach1::Mafk	chr1	78644144	78644158	-	0.000	0.000	Merged-chr1-78644356-22
NR3349--MA0501.1.MAF::NFE2	chr12	106056084	106056098	-	0.000	0.000	Merged-chr12-106055907-30
NR6398--MA0089.1.MAFG::NFE2L1	chr17	51408573	51408578	+	0.000	0.000	Merged-chr17-51408616-68
NR6278--MA0501.1.MAF::NFE2	chr17	32023267	32023281	-	0.000	0.000	Merged-chr17-32023327-13
NR5354--MA0089.1.MAFG::NFE2L1	chr15	82112181	82112186	-	0.000	0.000	Merged-chr15-82112003-17
NR11824--MA0495.2.MAFF	chr6	67014762	67014782	+	0.000	0.000	Merged-chr6-67014748-19
NR9895--MA0495.2.MAFF	chr4	46560560	46560580	+	0.000	0.000	Merged-chr4-46560470-31
NR5620--MA0496.2.MAFK	chr16	30676265	30676283	-	0.000	0.000	Merged-chr16-30676152-12
NR5403--MA0117.2.Mafb	chr15	93245665	93245676	+	0.000	0.000	Merged-chr15-93245731-28
NR8458--MA0659.1.MAFG	chr2	148409916	148409936	-	0.000	0.000	Merged-chr2-148410092-7
NR3212--MA0496.2.MAFK	chr12	91604328	91604346	+	0.000	0.000	Merged-chr12-91604206-14,Merged-chr12-91604478-1
NR9252--MA0591.1.Bach1::Mafk	chr3	100415300	100415314	+	0.000	0.000	Merged-chr3-100415276-1
NR7473--MA0496.2.MAFK	chr2	9536068	9536086	+	0.000	0.000	Merged-chr2-9536121-12
NR8268--MA0089.1.MAFG::NFE2L1	chr2	126310180	126310185	+	0.000	0.000	Merged-chr2-126310308-39
NR12318--MA0496.2.MAFK	chr6	130429678	130429696	+	0.000	0.000	Merged-chr6-130429681-16
NR1395--MA0501.1.MAF::NFE2	chr10	21659615	21659629	+	0.000	0.000	Merged-chr10-21659696-16
NR2331--MA0501.1.MAF::NFE2	chr11	43748001	43748015	-	0.000	0.000	Merged-chr11-43747947-60
NR13654--MA0496.2.MAFK	chr8	75084002	75084020	+	0.000	0.000	Merged-chr8-75083999-30
NR3105--MA0089.1.MAFG::NFE2L1	chr12	72748632	72748637	-	0.000	0.000	Merged-chr12-72748579-13
NR10954--MA0501.1.MAF::NFE2	chr5	67300127	67300141	-	0.000	0.000	Merged-chr5-67300252-37
NR13363--MA0089.1.MAFG::NFE2L1	chr8	3467455	3467460	-	0.000	0.000	Merged-chr8-3467584-41
NR7790--MA0089.1.MAFG::NFE2L1	chr2	61474866	61474871	+	0.000	0.000	Merged-chr2-61474781-19
NR9443--MA0495.2.MAFF	chr3	126570830	126570850	+	0.000	0.000	Merged-chr3-126570904-20
NR832--MA0117.2.Mafb	chr1	151465705	151465716	-	0.000	0.000	Merged-chr1-151465762-7
NR4325--MA0495.2.MAFF	chr14	8099810	8099830	+	0.000	0.000	Merged-chr14-8099733-53
NR6710--MA0496.2.MAFK	chr18	23754630	23754648	-	0.000	0.000	Merged-chr18-23754514-42
NR14200--MA0117.2.Mafb	chr9	35007258	35007269	-	0.000	0.000	Merged-chr9-35007274-11
NR1066--MA0117.2.Mafb	chr1	179169976	179169987	-	0.000	0.000	Merged-chr1-179169843-56
NR1774--MA0591.1.Bach1::Mafk	chr10	85050870	85050884	+	0.000	0.000	Merged-chr10-85050856-11
NR11795--MA0089.1.MAFG::NFE2L1	chr6	65538420	65538425	+	0.000	0.000	Merged-chr6-65538516-95
NR10978--MA0659.1.MAFG	chr5	73199743	73199763	-	0.000	0.000	Merged-chr5-73199876-43
NR7012--MA0496.2.MAFK	chr18	75304850	75304868	+	0.000	0.000	Merged-chr18-75304696-39
NR11367--MA0496.2.MAFK	chr5	136550857	136550875	+	0.000	0.000	Merged-chr5-136550897-14
NR11293--MA0117.2.Mafb	chr5	121032268	121032279	+	0.000	0.000	Merged-chr5-121032341-9
NR11152--MA0496.2.MAFK	chr5	103367069	103367087	-	0.000	0.000	Merged-chr5-103367276-46
NR898--MA0591.1.Bach1::Mafk	chr1	156615782	156615796	+	0.000	0.000	Merged-chr1-156615670-66
NR13319--MA0591.1.Bach1::Mafk	chr7	139914326	139914340	-	0.000	0.000	Merged-chr7-139914511-29
NR4231--MA0495.2.MAFF	chr13	113322203	113322223	-	0.000	0.000	Merged-chr13-113322180-25
NR478--MA0089.1.MAFG::NFE2L1	chr1	91626322	91626327	+	0.000	0.000	Merged-chr1-91626193-21
NR3407--MA0089.1.MAFG::NFE2L1	chr12	112113807	112113812	-	0.000	0.000	Merged-chr12-112113914-27
NR854--MA0089.1.MAFG::NFE2L1	chr1	153709620	153709625	-	0.000	0.000	Merged-chr1-153709572-22
NR2373--MA0496.2.MAFK	chr11	51264659	51264677	+	0.000	0.000	Merged-chr11-51264498-29
NR5252--MA0089.1.MAFG::NFE2L1	chr15	64191474	64191479	+	0.000	0.000	Merged-chr15-64191593-19
NR9445--MA0659.1.MAFG	chr3	126570830	126570850	+	0.000	0.000	Merged-chr3-126570904-20
NR6751--MA0495.2.MAFF	chr18	32941393	32941413	+	0.000	0.000	Merged-chr18-32941218-63
NR13867--MA0089.1.MAFG::NFE2L1	chr8	106136763	106136768	-	0.000	0.000	Merged-chr8-106136896-51
NR7059--MA0501.1.MAF::NFE2	chr18	80554959	80554973	+	0.000	0.000	Merged-chr18-80555147-42
NR3118--MA0089.1.MAFG::NFE2L1	chr12	75494801	75494806	+	0.000	0.000	Merged-chr12-75494766-18
NR855--MA0591.1.Bach1::Mafk	chr1	153847744	153847758	+	0.000	0.000	Merged-chr1-153847735-8
NR8791--MA0591.1.Bach1::Mafk	chr3	9833533	9833547	-	0.000	0.000	Merged-chr3-9833444-80
NR1966--MA0117.2.Mafb	chr10	111782701	111782712	-	0.000	0.000	Merged-chr10-111782527-33
NR450--MA0089.1.MAFG::NFE2L1	chr1	89092903	89092908	-	0.000	0.000	Merged-chr1-89092949-17
NR506--MA0501.1.MAF::NFE2	chr1	92799877	92799891	-	0.000	0.000	Merged-chr1-92799887-22
NR1390--MA0591.1.Bach1::Mafk	chr10	21553352	21553366	+	0.000	0.000	Merged-chr10-21553167-27
NR2731--MA0591.1.Bach1::Mafk	chr11	106994507	106994521	+	0.000	0.000	Merged-chr11-106994404-9
NR9107--MA0089.1.MAFG::NFE2L1	chr3	84667382	84667387	-	0.000	0.000	Merged-chr3-84667466-30
NR10431--MA0591.1.Bach1::Mafk	chr4	136031451	136031465	+	0.000	0.000	Merged-chr4-136031447-41
NR3119--MA0495.2.MAFF	chr12	76052065	76052085	+	0.000	0.000	Merged-chr12-76052186-4
NR289--MA0089.1.MAFG::NFE2L1	chr1	69683215	69683220	-	0.000	0.000	Merged-chr1-69683222-14
NR3899--MA0089.1.MAFG::NFE2L1	chr13	67814191	67814196	-	0.000	0.000	Merged-chr13-67814064-68
NR5554--MA0089.1.MAFG::NFE2L1	chr16	22607185	22607190	-	0.000	0.000	Merged-chr16-22607261-13
NR3031--MA0117.2.Mafb	chr12	54313288	54313299	-	0.000	0.000	Merged-chr12-54313214-97
NR9897--MA0117.2.Mafb	chr4	46560569	46560580	-	0.000	0.000	Merged-chr4-46560470-31
NR7255--MA0591.1.Bach1::Mafk	chr19	21787354	21787368	+	0.000	0.000	Merged-chr19-21787247-22
NR13332--MA0496.2.MAFK	chr7	141167989	141168007	+	0.000	0.000	Merged-chr7-141167957-1
NR3708--MA0501.1.MAF::NFE2	chr13	38038016	38038030	-	0.000	0.000	Merged-chr13-38038059-24
NR942--MA0496.2.MAFK	chr1	162773893	162773911	-	0.000	0.000	Merged-chr1-162773825-31
NR14874--MA0496.2.MAFK	chrX	53607940	53607958	-	0.000	0.000	Merged-chrX-53607978-28
NR11623--MA0591.1.Bach1::Mafk	chr6	30132172	30132186	+	0.000	0.000	Merged-chr6-30131999-11
NR13912--MA0659.1.MAFG	chr8	111624157	111624177	-	0.000	0.000	Merged-chr8-111624206-14
NR5150--MA0089.1.MAFG::NFE2L1	chr15	42438446	42438451	+	0.000	0.000	Merged-chr15-42438303-11
NR426--MA0591.1.Bach1::Mafk	chr1	85250860	85250874	-	0.000	0.000	Merged-chr1-85250842-29
NR12723--MA0501.1.MAF::NFE2	chr7	51964855	51964869	+	0.000	0.000	Merged-chr7-51964767-12
NR14128--MA0089.1.MAFG::NFE2L1	chr9	15037803	15037808	+	0.000	0.000	Merged-chr9-15037808-4
NR7176--MA0659.1.MAFG	chr19	8997796	8997816	+	0.000	0.000	Merged-chr19-8997882-60
NR8447--MA0591.1.Bach1::Mafk	chr2	147744121	147744135	+	0.000	0.000	Merged-chr2-147744071-13
NR4327--MA0117.2.Mafb	chr14	8099810	8099821	+	0.000	0.000	Merged-chr14-8099733-53
NR8032--MA0501.1.MAF::NFE2	chr2	101886120	101886134	-	0.000	0.000	Merged-chr2-101886244-51
NR172--MA0496.2.MAFK	chr1	43139747	43139765	+	0.000	0.000	Merged-chr1-43139813-33
NR11624--MA0501.1.MAF::NFE2	chr6	30132169	30132183	-	0.000	0.000	Merged-chr6-30131999-11
