#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR1579--MA0463.1.Bcl6	chr7	80269634	80269647	-	0.000	0.000	Merged-chr7-80269676-53
NR1118--MA0463.1.Bcl6	chr3	96576887	96576900	+	0.000	0.000	Merged-chr3-96576802-53
NR83--MA0731.1.BCL6B	chr1	151613380	151613396	-	0.000	0.000	Merged-chr1-151613371-29
NR1024--MA0463.1.Bcl6	chr2	143839379	143839392	-	0.000	0.000	Merged-chr2-143839351-69
NR1136--MA0463.1.Bcl6	chr3	108085486	108085499	-	0.000	0.000	Merged-chr3-108085471-67
NR1478--MA0731.1.BCL6B	chr6	108875991	108876007	-	0.000	0.000	Merged-chr6-108876104-51
NR1369--MA0463.1.Bcl6	chr5	110653365	110653378	+	0.000	0.000	Merged-chr5-110653386-72
NR486--MA0463.1.Bcl6	chr13	51781592	51781605	-	0.000	0.000	Merged-chr13-51781746-17
NR271--MA0463.1.Bcl6	chr11	6267797	6267810	+	0.000	0.000	Merged-chr11-6267788-45
NR1499--MA0463.1.Bcl6	chr6	124493057	124493070	-	0.000	0.000	Merged-chr6-124493051-20
NR838--MA0731.1.BCL6B	chr18	65395665	65395681	-	0.000	0.000	Merged-chr18-65395765-31
NR75--MA0731.1.BCL6B	chr1	134518770	134518786	+	0.000	0.000	Merged-chr1-134518815-24
NR533--MA0731.1.BCL6B	chr13	111269787	111269803	-	0.000	0.000	Merged-chr13-111269948-21
NR990--MA0731.1.BCL6B	chr2	113494651	113494667	+	0.000	0.000	Merged-chr2-113494702-50
NR88--MA0731.1.BCL6B	chr1	156408130	156408146	-	0.000	0.000	Merged-chr1-156408256-35
NR173--MA0463.1.Bcl6	chr10	17566167	17566180	-	0.000	0.000	Merged-chr10-17566277-15
NR1750--MA0463.1.Bcl6	chr9	63124234	63124247	+	0.000	0.000	Merged-chr9-63124202-41
NR13--MA0463.1.Bcl6	chr1	40085978	40085991	-	0.000	0.000	Merged-chr1-40085963-65
NR1522--MA0463.1.Bcl6	chr6	146516297	146516310	-	0.000	0.000	Merged-chr6-146516138-30
NR31--MA0463.1.Bcl6	chr1	74808094	74808107	-	0.000	0.000	Merged-chr1-74808255-37
NR668--MA0731.1.BCL6B	chr16	11034623	11034639	+	0.000	0.000	Merged-chr16-11034584-21
NR730--MA0731.1.BCL6B	chr16	93816572	93816588	-	0.000	0.000	Merged-chr16-93816419-67
NR538--MA0731.1.BCL6B	chr13	117241310	117241326	+	0.000	0.000	Merged-chr13-117241409-28
NR881--MA0463.1.Bcl6	chr19	30113586	30113599	+	0.000	0.000	Merged-chr19-30113626-34
NR523--MA0463.1.Bcl6	chr13	108045820	108045833	+	0.000	0.000	Merged-chr13-108045887-18
NR45--MA0463.1.Bcl6	chr1	85961120	85961133	+	0.000	0.000	Merged-chr1-85961052-28
NR747--MA0463.1.Bcl6	chr17	12039333	12039346	+	0.000	0.000	Merged-chr17-12039403-15
NR408--MA0731.1.BCL6B	chr12	80643868	80643884	-	0.000	0.000	Merged-chr12-80643898-100
NR1027--MA0731.1.BCL6B	chr2	144173833	144173849	-	0.000	0.000	Merged-chr2-144174021-12
NR1769--MA0463.1.Bcl6	chr9	95350906	95350919	+	0.000	0.000	Merged-chr9-95350781-49
NR59--MA0731.1.BCL6B	chr1	106601003	106601019	-	0.000	0.000	Merged-chr1-106601056-67
NR765--MA0463.1.Bcl6	chr17	34603939	34603952	+	0.000	0.000	Merged-chr17-34603959-87
NR1666--MA0463.1.Bcl6	chr8	70549870	70549883	-	0.000	0.000	Merged-chr8-70549860-20
NR1308--MA0463.1.Bcl6	chr4	155352741	155352754	+	0.000	0.000	Merged-chr4-155352722-24
NR671--MA0463.1.Bcl6	chr16	11475694	11475707	-	0.000	0.000	Merged-chr16-11475731-38
NR425--MA0463.1.Bcl6	chr12	102350886	102350899	+	0.000	0.000	Merged-chr12-102350976-38
NR210--MA0463.1.Bcl6	chr10	77283098	77283111	+	0.000	0.000	Merged-chr10-77282922-22
NR331--MA0463.1.Bcl6	chr11	83657697	83657710	+	0.000	0.000	Merged-chr11-83657668-22
NR1344--MA0463.1.Bcl6	chr5	72167799	72167812	-	0.000	0.000	Merged-chr5-72167906-73
NR667--MA0463.1.Bcl6	chr16	10844226	10844239	-	0.000	0.000	Merged-chr16-10844299-63
NR573--MA0463.1.Bcl6	chr14	66260468	66260481	-	0.000	0.000	Merged-chr14-66260585-50
NR215--MA0463.1.Bcl6	chr10	80677236	80677249	+	0.000	0.000	Merged-chr10-80677293-45
NR1689--MA0463.1.Bcl6	chr8	94408772	94408785	-	0.000	0.000	Merged-chr8-94408756-20
NR1474--MA0463.1.Bcl6	chr6	108549786	108549799	-	0.000	0.000	Merged-chr6-108549628-58
NR347--MA0731.1.BCL6B	chr11	98918361	98918377	-	0.000	0.000	Merged-chr11-98918377-19
NR578--MA0463.1.Bcl6	chr14	75845845	75845858	-	0.000	0.000	Merged-chr14-75845908-1
NR363--MA0463.1.Bcl6	chr11	110897178	110897191	-	0.000	0.000	Merged-chr11-110897111-25
NR217--MA0731.1.BCL6B	chr10	80755261	80755277	-	0.000	0.000	Merged-chr10-80755197-57
NR326--MA0731.1.BCL6B	chr11	81996268	81996284	-	0.000	0.000	Merged-chr11-81996367-24
NR820--MA0463.1.Bcl6	chr18	36512477	36512490	-	0.000	0.000	Merged-chr18-36512403-20
NR1721--MA0463.1.Bcl6	chr8	126758037	126758050	+	0.000	0.000	Merged-chr8-126758131-44
NR401--MA0731.1.BCL6B	chr12	73708941	73708957	+	0.000	0.000	Merged-chr12-73708938-21
NR382--MA0731.1.BCL6B	chr12	16170327	16170343	+	0.000	0.000	Merged-chr12-16170449-47
NR1511--MA0463.1.Bcl6	chr6	135011564	135011577	-	0.000	0.000	Merged-chr6-135011680-51
NR937--MA0463.1.Bcl6	chr2	33853628	33853641	+	0.000	0.000	Merged-chr2-33853667-12
NR167--MA0463.1.Bcl6	chr10	5603692	5603705	-	0.000	0.000	Merged-chr10-5603707-32
NR427--MA0731.1.BCL6B	chr12	102622400	102622416	-	0.000	0.000	Merged-chr12-102622545-47
NR185--MA0463.1.Bcl6	chr10	39183088	39183101	+	0.000	0.000	Merged-chr10-39183071-8
NR870--MA0463.1.Bcl6	chr19	10948767	10948780	-	0.000	0.000	Merged-chr19-10948684-1
NR727--MA0463.1.Bcl6	chr16	91424185	91424198	-	0.000	0.000	Merged-chr16-91424269-6
NR1431--MA0463.1.Bcl6	chr6	40898535	40898548	-	0.000	0.000	Merged-chr6-40898625-5
NR642--MA0463.1.Bcl6	chr15	78528473	78528486	+	0.000	0.000	Merged-chr15-78528404-62
NR763--MA0463.1.Bcl6	chr17	32492596	32492609	+	0.000	0.000	Merged-chr17-32492576-17
NR1753--MA0731.1.BCL6B	chr9	65536215	65536231	-	0.000	0.000	Merged-chr9-65536265-16
NR199--MA0463.1.Bcl6	chr10	66951614	66951627	-	0.000	0.000	Merged-chr10-66951483-7
NR875--MA0463.1.Bcl6	chr19	21646652	21646665	-	0.000	0.000	Merged-chr19-21646506-24
NR1409--MA0463.1.Bcl6	chr5	149068369	149068382	-	0.000	0.000	Merged-chr5-149067982-61
NR1673--MA0463.1.Bcl6	chr8	75071788	75071801	-	0.000	0.000	Merged-chr8-75071889-52
NR1221--MA0463.1.Bcl6	chr4	59438283	59438296	+	0.000	0.000	Merged-chr4-59438300-38
NR1333--MA0463.1.Bcl6	chr5	31527054	31527067	-	0.000	0.000	Merged-chr5-31527001-59
NR57--MA0463.1.Bcl6	chr1	104986399	104986412	+	0.000	0.000	Merged-chr1-104986299-37
NR759--MA0463.1.Bcl6	chr17	28512336	28512349	+	0.000	0.000	Merged-chr17-28512509-7
NR544--MA0463.1.Bcl6	chr14	14098861	14098874	-	0.000	0.000	Merged-chr14-14098740-35
NR777--MA0463.1.Bcl6	chr17	44121610	44121623	-	0.000	0.000	Merged-chr17-44121634-62
NR1678--MA0463.1.Bcl6	chr8	83748760	83748773	-	0.000	0.000	Merged-chr8-83748656-80
NR1696--MA0463.1.Bcl6	chr8	105291098	105291111	-	0.000	0.000	Merged-chr8-105291093-16
NR106--MA0731.1.BCL6B	chr1	164966186	164966202	+	0.000	0.000	Merged-chr1-164966286-53
NR334--MA0463.1.Bcl6	chr11	86624492	86624505	+	0.000	0.000	Merged-chr11-86624418-56
NR1593--MA0463.1.Bcl6	chr7	100591176	100591189	-	0.000	0.000	Merged-chr7-100591140-72
NR629--MA0731.1.BCL6B	chr15	58870051	58870067	-	0.000	0.000	Merged-chr15-58870112-33
NR1820--MA0731.1.BCL6B	chrX	20364486	20364502	+	0.000	0.000	Merged-chrX-20364570-48
NR1253--MA0463.1.Bcl6	chr4	119127468	119127481	-	0.000	0.000	Merged-chr4-119127359-48
NR119--MA0731.1.BCL6B	chr1	173437390	173437406	-	0.000	0.000	Merged-chr1-173437499-84
NR679--MA0463.1.Bcl6	chr16	23300303	23300316	+	0.000	0.000	Merged-chr16-23300229-19
NR1486--MA0463.1.Bcl6	chr6	115774289	115774302	-	0.000	0.000	Merged-chr6-115774096-4
NR228--MA0731.1.BCL6B	chr10	88783179	88783195	-	0.000	0.000	Merged-chr10-88783253-12
NR375--MA0463.1.Bcl6	chr11	119524904	119524917	-	0.000	0.000	Merged-chr11-119524712-24
NR1270--MA0731.1.BCL6B	chr4	132775157	132775173	+	0.000	0.000	Merged-chr4-132775105-24
NR1812--MA0731.1.BCL6B	chr9	122150686	122150702	-	0.000	0.000	Merged-chr9-122150542-33
NR1554--MA0731.1.BCL6B	chr7	30194095	30194111	-	0.000	0.000	Merged-chr7-30194047-25
NR1825--MA0731.1.BCL6B	chrX	47993037	47993053	+	0.000	0.000	Merged-chrX-47992906-34
NR832--MA0463.1.Bcl6	chr18	60462365	60462378	-	0.000	0.000	Merged-chr18-60462470-32
NR1057--MA0463.1.Bcl6	chr2	162998608	162998621	-	0.000	0.000	Merged-chr2-162998735-32
NR962--MA0463.1.Bcl6	chr2	69712420	69712433	-	0.000	0.000	Merged-chr2-69712301-22
NR1785--MA0731.1.BCL6B	chr9	106429407	106429423	+	0.000	0.000	Merged-chr9-106429526-66
NR1480--MA0731.1.BCL6B	chr6	113661633	113661649	-	0.000	0.000	Merged-chr6-113661383-125
NR1653--MA0463.1.Bcl6	chr8	33184841	33184854	-	0.000	0.000	Merged-chr8-33184833-17
NR1764--MA0731.1.BCL6B	chr9	86393757	86393773	+	0.000	0.000	Merged-chr9-86393704-34
NR1550--MA0463.1.Bcl6	chr7	28437060	28437073	-	0.000	0.000	Merged-chr7-28437122-2
NR46--MA0463.1.Bcl6	chr1	86394525	86394538	+	0.000	0.000	Merged-chr1-86394473-34
NR748--MA0463.1.Bcl6	chr17	17845415	17845428	+	0.000	0.000	Merged-chr17-17845619-46
NR869--MA0463.1.Bcl6	chr19	8984677	8984690	-	0.000	0.000	Merged-chr19-8984601-50
NR1206--MA0463.1.Bcl6	chr4	41652171	41652184	+	0.000	0.000	Merged-chr4-41652015-1
NR1690--MA0731.1.BCL6B	chr8	94434330	94434346	-	0.000	0.000	Merged-chr8-94434227-54
NR999--MA0463.1.Bcl6	chr2	125673432	125673445	+	0.000	0.000	Merged-chr2-125673245-74
NR784--MA0463.1.Bcl6	chr17	51855369	51855382	-	0.000	0.000	Merged-chr17-51855418-25
NR1408--MA0731.1.BCL6B	chr5	147323704	147323720	-	0.000	0.000	Merged-chr5-147323630-31
NR1180--MA0731.1.BCL6B	chr3	146328183	146328199	-	0.000	0.000	Merged-chr3-146328201-68
NR1130--MA0463.1.Bcl6	chr3	105114429	105114442	-	0.000	0.000	Merged-chr3-105114484-19
NR69--MA0463.1.Bcl6	chr1	131010627	131010640	-	0.000	0.000	Merged-chr1-131010715-50
NR1242--MA0463.1.Bcl6	chr4	108454817	108454830	-	0.000	0.000	Merged-chr4-108454883-7
NR78--MA0463.1.Bcl6	chr1	143640940	143640953	+	0.000	0.000	Merged-chr1-143640837-18
NR574--MA0463.1.Bcl6	chr14	67939143	67939156	+	0.000	0.000	Merged-chr14-67939054-1
NR480--MA0463.1.Bcl6	chr13	37854415	37854428	-	0.000	0.000	Merged-chr13-37854234-4
NR113--MA0463.1.Bcl6	chr1	170632632	170632645	+	0.000	0.000	Merged-chr1-170632592-34
NR1493--MA0463.1.Bcl6	chr6	120324584	120324597	-	0.000	0.000	Merged-chr6-120324569-14
NR1126--MA0463.1.Bcl6	chr3	103383259	103383272	+	0.000	0.000	Merged-chr3-103383396-36
NR346--MA0463.1.Bcl6	chr11	98918364	98918377	+	0.000	0.000	Merged-chr11-98918377-19
NR1050--MA0463.1.Bcl6	chr2	158556065	158556078	-	0.000	0.000	Merged-chr2-158555943-1
NR476--MA0463.1.Bcl6	chr13	34187735	34187748	+	0.000	0.000	Merged-chr13-34187711-22
NR118--MA0463.1.Bcl6	chr1	173437393	173437406	+	0.000	0.000	Merged-chr1-173437499-84
NR1618--MA0731.1.BCL6B	chr7	121059631	121059647	+	0.000	0.000	Merged-chr7-121059708-48
NR915--MA0463.1.Bcl6	chr2	18046848	18046861	+	0.000	0.000	Merged-chr2-18046867-13
NR1674--MA0731.1.BCL6B	chr8	75084049	75084065	-	0.000	0.000	Merged-chr8-75083999-30
NR1167--MA0463.1.Bcl6	chr3	142545704	142545717	-	0.000	0.000	Merged-chr3-142545607-21
NR1834--MA0463.1.Bcl6	chrX	77801689	77801702	-	0.000	0.000	Merged-chrX-77801758-16
NR1279--MA0463.1.Bcl6	chr4	137641724	137641737	-	0.000	0.000	Merged-chr4-137641838-36
NR1740--MA0463.1.Bcl6	chr9	44873982	44873995	-	0.000	0.000	Merged-chr9-44873882-32
NR1435--MA0731.1.BCL6B	chr6	41541645	41541661	-	0.000	0.000	Merged-chr6-41541875-48
NR1706--MA0731.1.BCL6B	chr8	115726362	115726378	-	0.000	0.000	Merged-chr8-115726310-1
NR611--MA0463.1.Bcl6	chr15	12371406	12371419	+	0.000	0.000	Merged-chr15-12371387-24
NR1512--MA0463.1.Bcl6	chr6	135550911	135550924	-	0.000	0.000	Merged-chr6-135550893-2
NR1718--MA0463.1.Bcl6	chr8	124266025	124266038	+	0.000	0.000	Merged-chr8-124265993-45
NR1839--MA0463.1.Bcl6	chrX	101222330	101222343	-	0.000	0.000	Merged-chrX-101222420-75
NR938--MA0731.1.BCL6B	chr2	35233016	35233032	+	0.000	0.000	Merged-chr2-35233017-25
NR1642--MA0463.1.Bcl6	chr8	3670525	3670538	-	0.000	0.000	Merged-chr8-3670499-7
NR1087--MA0463.1.Bcl6	chr3	38497052	38497065	-	0.000	0.000	Merged-chr3-38497155-35
NR298--MA0463.1.Bcl6	chr11	55023253	55023266	-	0.000	0.000	Merged-chr11-55023207-51
NR1299--MA0731.1.BCL6B	chr4	147848496	147848512	-	0.000	0.000	Merged-chr4-147848412-69
NR808--MA0731.1.BCL6B	chr17	86832839	86832855	-	0.000	0.000	Merged-chr17-86833009-31
NR1508--MA0463.1.Bcl6	chr6	134045665	134045678	+	0.000	0.000	Merged-chr6-134045527-34
NR1536--MA0731.1.BCL6B	chr7	3645150	3645166	+	0.000	0.000	Merged-chr7-3645035-83
NR625--MA0463.1.Bcl6	chr15	55854765	55854778	+	0.000	0.000	Merged-chr15-55854766-48
NR1544--MA0463.1.Bcl6	chr7	19816518	19816531	-	0.000	0.000	Merged-chr7-19816339-50
NR755--MA0463.1.Bcl6	chr17	27189895	27189908	+	0.000	0.000	Merged-chr17-27190008-22
NR303--MA0463.1.Bcl6	chr11	57951648	57951661	+	0.000	0.000	Merged-chr11-57951726-64
NR1204--MA0463.1.Bcl6	chr4	15306857	15306870	-	0.000	0.000	Merged-chr4-15307094-14
NR527--MA0463.1.Bcl6	chr13	109232250	109232263	+	0.000	0.000	Merged-chr13-109232171-58
NR192--MA0731.1.BCL6B	chr10	59608392	59608408	-	0.000	0.000	Merged-chr10-59608424-25
NR433--MA0463.1.Bcl6	chr12	112623989	112624002	-	0.000	0.000	Merged-chr12-112623897-8
NR1005--MA0731.1.BCL6B	chr2	128698283	128698299	-	0.000	0.000	Merged-chr2-128698451-42
NR1334--MA0463.1.Bcl6	chr5	32104359	32104372	-	0.000	0.000	Merged-chr5-32104376-51
NR952--MA0731.1.BCL6B	chr2	53102298	53102314	+	0.000	0.000	Merged-chr2-53102302-39
NR1352--MA0463.1.Bcl6	chr5	89051303	89051316	-	0.000	0.000	Merged-chr5-89051554-45
NR1679--MA0463.1.Bcl6	chr8	83767761	83767774	+	0.000	0.000	Merged-chr8-83767708-6
NR317--MA0463.1.Bcl6	chr11	71996080	71996093	-	0.000	0.000	Merged-chr11-71996185-51
NR796--MA0463.1.Bcl6	chr17	72949324	72949337	+	0.000	0.000	Merged-chr17-72949450-92
NR965--MA0731.1.BCL6B	chr2	69862572	69862588	-	0.000	0.000	Merged-chr2-69862499-13
NR16--MA0731.1.BCL6B	chr1	54854494	54854510	-	0.000	0.000	Merged-chr1-54854501-39
NR335--MA0463.1.Bcl6	chr11	87578496	87578509	-	0.000	0.000	Merged-chr11-87578522-34
NR726--MA0731.1.BCL6B	chr16	89986292	89986308	-	0.000	0.000	Merged-chr16-89986478-112
NR353--MA0463.1.Bcl6	chr11	101087270	101087283	+	0.000	0.000	Merged-chr11-101087263-56
NR371--MA0463.1.Bcl6	chr11	116377272	116377285	-	0.000	0.000	Merged-chr11-116377399-54
NR739--MA0731.1.BCL6B	chr16	97948928	97948944	-	0.000	0.000	Merged-chr16-97949035-17
NR219--MA0463.1.Bcl6	chr10	81305007	81305020	+	0.000	0.000	Merged-chr10-81305014-12
NR483--MA0463.1.Bcl6	chr13	45850823	45850836	+	0.000	0.000	Merged-chr13-45850664-56
NR1026--MA0463.1.Bcl6	chr2	144173836	144173849	+	0.000	0.000	Merged-chr2-144174021-12
NR1496--MA0463.1.Bcl6	chr6	120470859	120470872	+	0.000	0.000	Merged-chr6-120470872-38
NR1805--MA0463.1.Bcl6	chr9	117896449	117896462	+	0.000	0.000	Merged-chr9-117896590-25
NR143--MA0463.1.Bcl6	chr1	182540360	182540373	+	0.000	0.000	Merged-chr1-182540440-3
NR795--MA0731.1.BCL6B	chr17	71334349	71334365	+	0.000	0.000	Merged-chr17-71334455-18
NR400--MA0731.1.BCL6B	chr12	73162857	73162873	-	0.000	0.000	Merged-chr12-73162812-38
NR1841--MA0463.1.Bcl6	chrX	107151002	107151015	+	0.000	0.000	Merged-chrX-107151069-54
NR927--MA0463.1.Bcl6	chr2	27730792	27730805	+	0.000	0.000	Merged-chr2-27730636-19
NR712--MA0463.1.Bcl6	chr16	64824085	64824098	-	0.000	0.000	Merged-chr16-64824096-19
NR569--MA0731.1.BCL6B	chr14	62879606	62879622	-	0.000	0.000	Merged-chr14-62879632-33
NR833--MA0463.1.Bcl6	chr18	60803610	60803623	+	0.000	0.000	Merged-chr18-60803637-35
NR278--MA0463.1.Bcl6	chr11	19977881	19977894	+	0.000	0.000	Merged-chr11-19977912-19
NR963--MA0463.1.Bcl6	chr2	69862573	69862586	-	0.000	0.000	Merged-chr2-69862499-13
NR439--MA0731.1.BCL6B	chr12	114917071	114917087	+	0.000	0.000	Merged-chr12-114916975-5
NR15--MA0463.1.Bcl6	chr1	54854497	54854510	+	0.000	0.000	Merged-chr1-54854501-39
NR482--MA0731.1.BCL6B	chr13	43444152	43444168	-	0.000	0.000	Merged-chr13-43444281-15
NR1761--MA0463.1.Bcl6	chr9	80067562	80067575	+	0.000	0.000	Merged-chr9-80067411-128
NR981--MA0463.1.Bcl6	chr2	93823660	93823673	+	0.000	0.000	Merged-chr2-93823719-41
NR614--MA0463.1.Bcl6	chr15	36303849	36303862	+	0.000	0.000	Merged-chr15-36303922-78
NR100--MA0731.1.BCL6B	chr1	162550286	162550302	-	0.000	0.000	Merged-chr1-162550142-17
NR198--MA0463.1.Bcl6	chr10	66864663	66864676	-	0.000	0.000	Merged-chr10-66864707-69
NR190--MA0731.1.BCL6B	chr10	59570337	59570353	+	0.000	0.000	Merged-chr10-59570235-1
NR1551--MA0463.1.Bcl6	chr7	28816460	28816473	+	0.000	0.000	Merged-chr7-28816395-5
NR771--MA0463.1.Bcl6	chr17	36942673	36942686	-	0.000	0.000	Merged-chr17-36942723-44
NR977--MA0463.1.Bcl6	chr2	92213674	92213687	+	0.000	0.000	Merged-chr2-92213581-10
NR1784--MA0463.1.Bcl6	chr9	105643038	105643051	+	0.000	0.000	Merged-chr9-105643016-54
NR1681--MA0463.1.Bcl6	chr8	84876968	84876981	-	0.000	0.000	Merged-chr8-84876953-6
NR378--MA0731.1.BCL6B	chr12	4436420	4436436	+	0.000	0.000	Merged-chr12-4436328-23
NR1556--MA0463.1.Bcl6	chr7	31041771	31041784	+	0.000	0.000	Merged-chr7-31041758-77
NR615--MA0731.1.BCL6B	chr15	36303846	36303862	-	0.000	0.000	Merged-chr15-36303922-78
NR879--MA0463.1.Bcl6	chr19	29391272	29391285	-	0.000	0.000	Merged-chr19-29391437-12
NR1001--MA0463.1.Bcl6	chr2	125859091	125859104	-	0.000	0.000	Merged-chr2-125858986-61
NR324--MA0463.1.Bcl6	chr11	78780383	78780396	+	0.000	0.000	Merged-chr11-78780322-31
NR1225--MA0463.1.Bcl6	chr4	85670085	85670098	-	0.000	0.000	Merged-chr4-85670020-5
NR214--MA0731.1.BCL6B	chr10	80602901	80602917	+	0.000	0.000	Merged-chr10-80603037-66
NR360--MA0463.1.Bcl6	chr11	106536328	106536341	+	0.000	0.000	Merged-chr11-106536245-61
NR1476--MA0463.1.Bcl6	chr6	108686172	108686185	+	0.000	0.000	Merged-chr6-108686198-23
NR1561--MA0731.1.BCL6B	chr7	45589407	45589423	+	0.000	0.000	Merged-chr7-45589347-36
NR1832--MA0731.1.BCL6B	chrX	74429738	74429754	+	0.000	0.000	Merged-chrX-74429698-2
NR97--MA0463.1.Bcl6	chr1	160307338	160307351	-	0.000	0.000	Merged-chr1-160307254-61
NR1670--MA0731.1.BCL6B	chr8	72285481	72285497	-	0.000	0.000	Merged-chr8-72285397-19
NR365--MA0463.1.Bcl6	chr11	113802611	113802624	+	0.000	0.000	Merged-chr11-113802652-27
NR315--MA0731.1.BCL6B	chr11	69921667	69921683	+	0.000	0.000	Merged-chr11-69921533-99
NR383--MA0463.1.Bcl6	chr12	17348213	17348226	+	0.000	0.000	Merged-chr12-17348366-60
NR1715--MA0731.1.BCL6B	chr8	122285191	122285207	-	0.000	0.000	Merged-chr8-122285200-46
NR1047--MA0463.1.Bcl6	chr2	155082493	155082506	-	0.000	0.000	Merged-chr2-155082625-23
NR267--MA0463.1.Bcl6	chr10	128645848	128645861	-	0.000	0.000	Merged-chr10-128645990-43
NR934--MA0463.1.Bcl6	chr2	32553757	32553770	+	0.000	0.000	Merged-chr2-32553962-47
NR689--MA0731.1.BCL6B	chr16	32430855	32430871	+	0.000	0.000	Merged-chr16-32431022-65
NR1741--MA0463.1.Bcl6	chr9	46273043	46273056	-	0.000	0.000	Merged-chr9-46273034-67
NR397--MA0463.1.Bcl6	chr12	70999554	70999567	+	0.000	0.000	Merged-chr12-70999631-61
NR1545--MA0731.1.BCL6B	chr7	24531741	24531757	-	0.000	0.000	Merged-chr7-24531790-14
