#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR2562--MA0508.2.PRDM1	chr8	94354661	94354670	+	0.000	0.000	Merged-chr8-94354585-34
NR103--MA0508.2.PRDM1	chr1	98589784	98589793	-	0.000	0.000	Merged-chr1-98589738-39
NR831--MA0508.2.PRDM1	chr14	47223081	47223090	-	0.000	0.000	Merged-chr14-47223224-6
NR2671--MA0508.2.PRDM1	chr9	96350803	96350812	-	0.000	0.000	Merged-chr9-96350613-81
NR212--MA0508.2.PRDM1	chr1	191111425	191111434	-	0.000	0.000	Merged-chr1-191111364-43
NR1497--MA0508.2.PRDM1	chr2	91078435	91078444	+	0.000	0.000	Merged-chr2-91078502-21
NR464--MA0508.2.PRDM1	chr11	121039431	121039440	-	0.000	0.000	Merged-chr11-121039238-62
NR1149--MA0508.2.PRDM1	chr17	29660669	29660678	-	0.000	0.000	Merged-chr17-29660811-69
NR38--MA0508.2.PRDM1	chr1	34867428	34867437	+	0.000	0.000	Merged-chr1-34867367-25
NR1096--MA0508.2.PRDM1	chr16	78532151	78532160	-	0.000	0.000	Merged-chr16-78532286-51
NR2445--MA0508.2.PRDM1	chr7	104507849	104507858	-	0.000	0.000	Merged-chr7-104507900-57
NR791--MA0508.2.PRDM1	chr14	10146639	10146648	-	0.000	0.000	Merged-chr14-10146570-14
NR443--MA0508.2.PRDM1	chr11	88187859	88187868	+	0.000	0.000	Merged-chr11-88187909-35
NR281--MA0508.2.PRDM1	chr10	44529602	44529611	+	0.000	0.000	Merged-chr10-44529535-56
NR2729--MA0508.2.PRDM1	chrX	140457235	140457244	+	0.000	0.000	Merged-chrX-140457424-1
NR1489--MA0508.2.PRDM1	chr2	84678380	84678389	-	0.000	0.000	Merged-chr2-84678253-56
NR313--MA0508.2.PRDM1	chr10	67620227	67620236	+	0.000	0.000	Merged-chr10-67620150-41
NR565--MA0508.2.PRDM1	chr12	93670525	93670534	-	0.000	0.000	Merged-chr12-93670515-1
NR2676--MA0508.2.PRDM1	chr9	99243124	99243133	+	0.000	0.000	Merged-chr9-99243262-100
NR422--MA0508.2.PRDM1	chr11	34762809	34762818	-	0.000	0.000	Merged-chr11-34762658-71
NR469--MA0508.2.PRDM1	chr12	8660050	8660059	-	0.000	0.000	Merged-chr12-8659979-34
NR326--MA0508.2.PRDM1	chr10	77537462	77537471	+	0.000	0.000	Merged-chr10-77537383-119
NR849--MA0508.2.PRDM1	chr14	64867111	64867120	+	0.000	0.000	Merged-chr14-64867013-43
NR2023--MA0508.2.PRDM1	chr5	8426141	8426150	-	0.000	0.000	Merged-chr5-8426095-8
NR2689--MA0508.2.PRDM1	chr9	114452507	114452516	+	0.000	0.000	Merged-chr9-114452652-12
NR544--MA0508.2.PRDM1	chr12	79751787	79751796	+	0.000	0.000	Merged-chr12-79751930-19
NR2307--MA0508.2.PRDM1	chr6	115519189	115519198	+	0.000	0.000	Merged-chr6-115519250-24
NR177--MA0508.2.PRDM1	chr1	161660862	161660871	+	0.000	0.000	Merged-chr1-161660991-11
NR491--MA0508.2.PRDM1	chr12	33034563	33034572	-	0.000	0.000	Merged-chr12-33034658-14
NR2397--MA0508.2.PRDM1	chr7	39642546	39642555	+	0.000	0.000	Merged-chr7-39642605-22
NR252--MA0508.2.PRDM1	chr10	19598284	19598293	-	0.000	0.000	Merged-chr10-19598256-42
NR2429--MA0508.2.PRDM1	chr7	78724766	78724775	+	0.000	0.000	Merged-chr7-78724772-25
NR2015--MA0508.2.PRDM1	chr5	3887111	3887120	-	0.000	0.000	Merged-chr5-3887091-30
NR2472--MA0508.2.PRDM1	chr7	132335501	132335510	-	0.000	0.000	Merged-chr7-132335509-39
NR2647--MA0508.2.PRDM1	chr9	83023896	83023905	-	0.000	0.000	Merged-chr9-83023833-29
NR2071--MA0508.2.PRDM1	chr5	34565992	34566001	+	0.000	0.000	Merged-chr5-34565807-6
NR2613--MA0508.2.PRDM1	chr9	32938979	32938988	+	0.000	0.000	Merged-chr9-32939001-13
NR135--MA0508.2.PRDM1	chr1	136685609	136685618	+	0.000	0.000	Merged-chr1-136685597-75
NR2180--MA0508.2.PRDM1	chr5	148388087	148388096	-	0.000	0.000	Merged-chr5-148388208-26
NR908--MA0508.2.PRDM1	chr14	121355630	121355639	+	0.000	0.000	Merged-chr14-121355632-5
NR1971--MA0508.2.PRDM1	chr4	127021123	127021132	+	0.000	0.000	Merged-chr4-127021266-22
NR2063--MA0508.2.PRDM1	chr5	22747530	22747539	+	0.000	0.000	Merged-chr5-22747535-33
NR2172--MA0508.2.PRDM1	chr5	135118615	135118624	-	0.000	0.000	Merged-chr5-135118769-7
NR488--MA0508.2.PRDM1	chr12	32006713	32006722	+	0.000	0.000	Merged-chr12-32006631-21
NR597--MA0508.2.PRDM1	chr13	6342836	6342845	-	0.000	0.000	Merged-chr13-6342930-1
NR249--MA0508.2.PRDM1	chr10	19168055	19168064	-	0.000	0.000	Merged-chr10-19167953-53
NR1711--MA0508.2.PRDM1	chr3	85127040	85127049	+	0.000	0.000	Merged-chr3-85127158-54
NR629--MA0508.2.PRDM1	chr13	22028930	22028939	-	0.000	0.000	Merged-chr13-22029066-52
NR2469--MA0508.2.PRDM1	chr7	125423224	125423233	-	0.000	0.000	Merged-chr7-125423125-27
NR2326--MA0508.2.PRDM1	chr6	129575706	129575715	-	0.000	0.000	Merged-chr6-129575587-29
NR1671--MA0508.2.PRDM1	chr3	55517379	55517388	-	0.000	0.000	Merged-chr3-55517605-60
NR2177--MA0508.2.PRDM1	chr5	140915557	140915566	+	0.000	0.000	Merged-chr5-140915429-24
NR175--MA0508.2.PRDM1	chr1	160053604	160053613	-	0.000	0.000	Merged-chr1-160053620-125
NR1684--MA0508.2.PRDM1	chr3	65929709	65929718	-	0.000	0.000	Merged-chr3-65929899-83
NR1812--MA0508.2.PRDM1	chr3	152956344	152956353	+	0.000	0.000	Merged-chr3-152956195-38
NR316--MA0508.2.PRDM1	chr10	71285097	71285106	+	0.000	0.000	Merged-chr10-71285103-74
NR1716--MA0508.2.PRDM1	chr3	96198425	96198434	+	0.000	0.000	Merged-chr3-96198410-32
NR2265--MA0508.2.PRDM1	chr6	72375320	72375329	+	0.000	0.000	Merged-chr6-72375215-35
NR1411--MA0508.2.PRDM1	chr2	34790478	34790487	-	0.000	0.000	Merged-chr2-34790571-52
NR167--MA0508.2.PRDM1	chr1	155041093	155041102	-	0.000	0.000	Merged-chr1-155041204-32
NR42--MA0508.2.PRDM1	chr1	39102315	39102324	-	0.000	0.000	Merged-chr1-39102412-8
NR1990--MA0508.2.PRDM1	chr4	143190833	143190842	+	0.000	0.000	Merged-chr4-143190909-19
NR308--MA0508.2.PRDM1	chr10	62187122	62187131	+	0.000	0.000	Merged-chr10-62187045-24
NR1371--MA0508.2.PRDM1	chr2	3710545	3710554	+	0.000	0.000	Merged-chr2-3710676-36
NR1708--MA0508.2.PRDM1	chr3	84542474	84542483	-	0.000	0.000	Merged-chr3-84542691-12
NR1751--MA0508.2.PRDM1	chr3	126630883	126630892	-	0.000	0.000	Merged-chr3-126630748-8
NR1798--MA0508.2.PRDM1	chr3	148336316	148336325	+	0.000	0.000	Merged-chr3-148336244-12
NR1384--MA0508.2.PRDM1	chr2	13792513	13792522	-	0.000	0.000	Merged-chr2-13792727-5
NR1668--MA0508.2.PRDM1	chr3	52523068	52523077	-	0.000	0.000	Merged-chr3-52523173-17
NR1982--MA0508.2.PRDM1	chr4	135895473	135895482	-	0.000	0.000	Merged-chr4-135895375-12
NR2106--MA0508.2.PRDM1	chr5	57387329	57387338	+	0.000	0.000	Merged-chr5-57387295-1
NR2358--MA0508.2.PRDM1	chr6	143067038	143067047	-	0.000	0.000	Merged-chr6-143067094-13
NR2196--MA0508.2.PRDM1	chr6	12038555	12038564	+	0.000	0.000	Merged-chr6-12038478-25
NR1342--MA0508.2.PRDM1	chr19	12477074	12477083	+	0.000	0.000	Merged-chr19-12477129-16
NR1974--MA0508.2.PRDM1	chr4	129496812	129496821	+	0.000	0.000	Merged-chr4-129496759-24
NR1498--MA0508.2.PRDM1	chr2	91202788	91202797	+	0.000	0.000	Merged-chr2-91202810-54
NR1103--MA0508.2.PRDM1	chr16	84995478	84995487	+	0.000	0.000	Merged-chr16-84995665-26
NR1626--MA0508.2.PRDM1	chr3	19945912	19945921	+	0.000	0.000	Merged-chr3-19945919-7
NR1050--MA0508.2.PRDM1	chr16	37094561	37094570	-	0.000	0.000	Merged-chr16-37094405-73
NR1116--MA0508.2.PRDM1	chr16	94593689	94593698	+	0.000	0.000	Merged-chr16-94593743-20
NR1573--MA0508.2.PRDM1	chr2	150558809	150558818	-	0.000	0.000	Merged-chr2-150558773-40
NR540--MA0508.2.PRDM1	chr12	76886919	76886928	-	0.000	0.000	Merged-chr12-76886981-34
NR1430--MA0508.2.PRDM1	chr2	46302686	46302695	+	0.000	0.000	Merged-chr2-46302794-23
NR920--MA0508.2.PRDM1	chr15	9529675	9529684	+	0.000	0.000	Merged-chr15-9529844-37
NR1334--MA0508.2.PRDM1	chr19	4332933	4332942	+	0.000	0.000	Merged-chr19-4332907-33
NR1605--MA0508.2.PRDM1	chr2	179966863	179966872	-	0.000	0.000	Merged-chr2-179966777-32
NR1172--MA0508.2.PRDM1	chr17	50185975	50185984	-	0.000	0.000	Merged-chr17-50185897-34
NR410--MA0508.2.PRDM1	chr11	11498233	11498242	+	0.000	0.000	Merged-chr11-11498094-24
NR662--MA0508.2.PRDM1	chr13	63246490	63246499	-	0.000	0.000	Merged-chr13-63246406-68
NR1204--MA0508.2.PRDM1	chr17	78362369	78362378	+	0.000	0.000	Merged-chr17-78362512-60
NR1185--MA0508.2.PRDM1	chr17	63404308	63404317	+	0.000	0.000	Merged-chr17-63404255-16
NR1727--MA0508.2.PRDM1	chr3	106974651	106974660	+	0.000	0.000	Merged-chr3-106974504-27
NR1979--MA0508.2.PRDM1	chr4	133757572	133757581	-	0.000	0.000	Merged-chr4-133757542-4
NR1151--MA0508.2.PRDM1	chr17	32528916	32528925	+	0.000	0.000	Merged-chr17-32528790-45
NR1198--MA0508.2.PRDM1	chr17	74753455	74753464	-	0.000	0.000	Merged-chr17-74753393-19
NR1260--MA0508.2.PRDM1	chr18	32955104	32955113	+	0.000	0.000	Merged-chr18-32955256-11
NR1164--MA0508.2.PRDM1	chr17	42887604	42887613	+	0.000	0.000	Merged-chr17-42887503-23
NR1706--MA0508.2.PRDM1	chr3	83987959	83987968	-	0.000	0.000	Merged-chr3-83987942-35
NR53--MA0508.2.PRDM1	chr1	51572857	51572866	-	0.000	0.000	Merged-chr1-51572755-47
NR1796--MA0508.2.PRDM1	chr3	146156435	146156444	-	0.000	0.000	Merged-chr3-146156447-31
NR1382--MA0508.2.PRDM1	chr2	13271433	13271442	-	0.000	0.000	Merged-chr2-13271415-60
NR1034--MA0508.2.PRDM1	chr16	22493578	22493587	+	0.000	0.000	Merged-chr16-22493542-26
