#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR1562--MA0463.1.Bcl6	chr2	158794586	158794599	+	0.000	0.000	Merged-chr2-158794730-73
NR1244--MA0731.1.BCL6B	chr18	5945021	5945037	+	0.000	0.000	Merged-chr18-5945225-8
NR1889--MA0463.1.Bcl6	chr4	97777191	97777204	+	0.000	0.000	Merged-chr4-97777223-4
NR2431--MA0731.1.BCL6B	chr7	127895917	127895933	+	0.000	0.000	Merged-chr7-127895657-49
NR2518--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR1114--MA0731.1.BCL6B	chr16	76866285	76866301	-	0.000	0.000	Merged-chr16-76866196-31
NR1370--MA0463.1.Bcl6	chr2	15055493	15055506	-	0.000	0.000	Merged-chr2-15055346-111
NR94--MA0463.1.Bcl6	chr1	80758532	80758545	-	0.000	0.000	Merged-chr1-80758556-27
NR2666--MA0463.1.Bcl6	chr9	107338458	107338471	+	0.000	0.000	Merged-chr9-107338409-31
NR564--MA0731.1.BCL6B	chr12	76923262	76923278	-	0.000	0.000	Merged-chr12-76923289-32
NR2223--MA0463.1.Bcl6	chr6	94690438	94690451	+	0.000	0.000	Merged-chr6-94690537-14
NR1160--MA0463.1.Bcl6	chr17	17405037	17405050	+	0.000	0.000	Merged-chr17-17405112-12
NR1478--MA0463.1.Bcl6	chr2	103583433	103583446	-	0.000	0.000	Merged-chr2-103583427-9
NR2707--MA0731.1.BCL6B	chrX	159708859	159708875	+	0.000	0.000	Merged-chrX-159708599-75
NR2131--MA0731.1.BCL6B	chr5	148325408	148325424	+	0.000	0.000	Merged-chr5-148325520-37
NR176--MA0731.1.BCL6B	chr1	165682669	165682685	+	0.000	0.000	Merged-chr1-165682736-19
NR1337--MA0731.1.BCL6B	chr19	32292666	32292682	-	0.000	0.000	Merged-chr19-32292783-63
NR940--MA0463.1.Bcl6	chr15	25441369	25441382	+	0.000	0.000	Merged-chr15-25441217-22
NR1841--MA0463.1.Bcl6	chr4	59334501	59334514	-	0.000	0.000	Merged-chr4-59334483-11
NR1890--MA0731.1.BCL6B	chr4	97777188	97777204	-	0.000	0.000	Merged-chr4-97777223-4
NR2667--MA0731.1.BCL6B	chr9	107675869	107675885	+	0.000	0.000	Merged-chr9-107676090-54
NR909--MA0463.1.Bcl6	chr14	120572382	120572395	-	0.000	0.000	Merged-chr14-120572441-59
NR1192--MA0463.1.Bcl6	chr17	52461996	52462009	-	0.000	0.000	Merged-chr17-52461953-32
NR2110--MA0731.1.BCL6B	chr5	124050169	124050185	+	0.000	0.000	Merged-chr5-124050362-25
NR1501--MA0463.1.Bcl6	chr2	121511698	121511711	-	0.000	0.000	Merged-chr2-121511602-35
NR2362--MA0731.1.BCL6B	chr7	68286116	68286132	-	0.000	0.000	Merged-chr7-68286059-41
NR230--MA0731.1.BCL6B	chr1	193303728	193303744	+	0.000	0.000	Merged-chr1-193303652-18
NR2245--MA0731.1.BCL6B	chr6	112852610	112852626	+	0.000	0.000	Merged-chr6-112852567-47
NR514--MA0731.1.BCL6B	chr12	29291093	29291109	+	0.000	0.000	Merged-chr12-29291093-42
NR753--MA0463.1.Bcl6	chr13	109685729	109685742	+	0.000	0.000	Merged-chr13-109685834-42
NR875--MA0731.1.BCL6B	chr14	79295838	79295854	+	0.000	0.000	Merged-chr14-79295795-2
NR2604--MA0731.1.BCL6B	chr9	56995099	56995115	+	0.000	0.000	Merged-chr9-56995243-79
NR474--MA0731.1.BCL6B	chr11	102881279	102881295	-	0.000	0.000	Merged-chr11-102881162-74
NR1681--MA0463.1.Bcl6	chr3	103374143	103374156	+	0.000	0.000	Merged-chr3-103374270-26
NR997--MA0731.1.BCL6B	chr15	78596960	78596976	+	0.000	0.000	Merged-chr15-78597127-20
NR2551--MA0731.1.BCL6B	chr8	117498771	117498787	+	0.000	0.000	Merged-chr8-117498576-60
NR767--MA0463.1.Bcl6	chr13	119283788	119283801	-	0.000	0.000	Merged-chr13-119283624-33
NR2312--MA0731.1.BCL6B	chr7	16012876	16012892	+	0.000	0.000	Merged-chr7-16013066-32
NR212--MA0463.1.Bcl6	chr1	182108765	182108778	-	0.000	0.000	Merged-chr1-182108715-18
NR1686--MA0463.1.Bcl6	chr3	109025804	109025817	-	0.000	0.000	Merged-chr3-109025792-30
NR1225--MA0463.1.Bcl6	chr17	83850592	83850605	+	0.000	0.000	Merged-chr17-83850809-47
NR2427--MA0463.1.Bcl6	chr7	125551776	125551789	-	0.000	0.000	Merged-chr7-125551601-1
NR2163--MA0731.1.BCL6B	chr6	29272518	29272534	+	0.000	0.000	Merged-chr6-29272695-53
NR1261--MA0463.1.Bcl6	chr18	36670359	36670372	+	0.000	0.000	Merged-chr18-36670239-51
NR687--MA0463.1.Bcl6	chr13	67844440	67844453	-	0.000	0.000	Merged-chr13-67844387-42
NR329--MA0463.1.Bcl6	chr10	75415058	75415071	-	0.000	0.000	Merged-chr10-75415162-28
NR2176--MA0731.1.BCL6B	chr6	38789669	38789685	-	0.000	0.000	Merged-chr6-38789563-52
NR1127--MA0463.1.Bcl6	chr16	91076424	91076437	-	0.000	0.000	Merged-chr16-91076341-10
NR2678--MA0463.1.Bcl6	chr9	124068594	124068607	-	0.000	0.000	Merged-chr9-124068612-53
NR2329--MA0463.1.Bcl6	chr7	39544308	39544321	+	0.000	0.000	Merged-chr7-39544508-62
NR2046--MA0731.1.BCL6B	chr5	58736592	58736608	+	0.000	0.000	Merged-chr5-58736772-10
NR2426--MA0731.1.BCL6B	chr7	125472257	125472273	-	0.000	0.000	Merged-chr7-125472313-74
NR1181--MA0463.1.Bcl6	chr17	43233050	43233063	+	0.000	0.000	Merged-chr17-43233095-49
NR1705--MA0463.1.Bcl6	chr3	126596843	126596856	+	0.000	0.000	Merged-chr3-126597082-207
NR2007--MA0463.1.Bcl6	chr5	20845318	20845331	+	0.000	0.000	Merged-chr5-20845245-18
NR1293--MA0463.1.Bcl6	chr18	68059323	68059336	+	0.000	0.000	Merged-chr18-68059360-81
NR2486--MA0463.1.Bcl6	chr8	53630672	53630685	+	0.000	0.000	Merged-chr8-53630787-29
NR1047--MA0463.1.Bcl6	chr16	21412734	21412747	-	0.000	0.000	Merged-chr16-21412806-39
NR2243--MA0731.1.BCL6B	chr6	112207462	112207478	-	0.000	0.000	Merged-chr6-112207426-39
NR2173--MA0463.1.Bcl6	chr6	34955545	34955558	-	0.000	0.000	Merged-chr6-34955632-40
NR2500--MA0463.1.Bcl6	chr8	69832490	69832503	+	0.000	0.000	Merged-chr8-69832557-54
NR872--MA0463.1.Bcl6	chr14	75899662	75899675	+	0.000	0.000	Merged-chr14-75899694-30
NR1885--MA0463.1.Bcl6	chr4	96591234	96591247	-	0.000	0.000	Merged-chr4-96591096-6
NR859--MA0463.1.Bcl6	chr14	57910807	57910820	+	0.000	0.000	Merged-chr14-57910674-41
NR1471--MA0731.1.BCL6B	chr2	91986429	91986445	+	0.000	0.000	Merged-chr2-91986276-9
NR644--MA0463.1.Bcl6	chr13	20502948	20502961	-	0.000	0.000	Merged-chr13-20502802-9
NR2519--MA0731.1.BCL6B	chr8	85060065	85060081	+	0.000	0.000	Merged-chr8-85060180-46
NR877--MA0463.1.Bcl6	chr14	79390423	79390436	+	0.000	0.000	Merged-chr14-79390621-66
NR1960--MA0731.1.BCL6B	chr4	148998192	148998208	-	0.000	0.000	Merged-chr4-148998288-20
NR1675--MA0463.1.Bcl6	chr3	98281002	98281015	-	0.000	0.000	Merged-chr3-98281152-46
NR322--MA0463.1.Bcl6	chr10	60351997	60352010	-	0.000	0.000	Merged-chr10-60352057-41
NR1864--MA0731.1.BCL6B	chr4	86683518	86683534	+	0.000	0.000	Merged-chr4-86683553-15
NR2098--MA0463.1.Bcl6	chr5	111200319	111200332	-	0.000	0.000	Merged-chr5-111200479-33
NR649--MA0463.1.Bcl6	chr13	23581784	23581797	+	0.000	0.000	Merged-chr13-23581680-55
NR1335--MA0463.1.Bcl6	chr19	31199619	31199632	+	0.000	0.000	Merged-chr19-31199719-19
NR340--MA0463.1.Bcl6	chr10	89295031	89295044	+	0.000	0.000	Merged-chr10-89294916-1
NR1211--MA0731.1.BCL6B	chr17	70755478	70755494	+	0.000	0.000	Merged-chr17-70755266-44
NR77--MA0463.1.Bcl6	chr1	66714310	66714323	+	0.000	0.000	Merged-chr1-66714205-8
NR1004--MA0463.1.Bcl6	chr15	100598719	100598732	-	0.000	0.000	Merged-chr15-100598688-62
NR694--MA0463.1.Bcl6	chr13	73714215	73714228	+	0.000	0.000	Merged-chr13-73714224-16
NR1022--MA0463.1.Bcl6	chr16	7234459	7234472	+	0.000	0.000	Merged-chr16-7234365-2
NR2112--MA0463.1.Bcl6	chr5	124496988	124497001	-	0.000	0.000	Merged-chr5-124497096-41
NR2439--MA0463.1.Bcl6	chr7	141064305	141064318	+	0.000	0.000	Merged-chr7-141064290-23
