#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR865--MA0731.1.BCL6B	chr14	70076773	70076789	+	0.000	0.000	Merged-chr14-70076912-39
NR722--MA0731.1.BCL6B	chr13	92671666	92671682	+	0.000	0.000	Merged-chr13-92671922-24
NR1388--MA0731.1.BCL6B	chr2	37803106	37803122	+	0.000	0.000	Merged-chr2-37802977-26
NR1572--MA0463.1.Bcl6	chr2	165889049	165889062	-	0.000	0.000	Merged-chr2-165889031-9
NR331--MA0463.1.Bcl6	chr10	77984599	77984612	+	0.000	0.000	Merged-chr10-77984793-34
NR735--MA0731.1.BCL6B	chr13	102097597	102097613	-	0.000	0.000	Merged-chr13-102097534-1
NR2703--MA0731.1.BCL6B	chrX	100494214	100494230	-	0.000	0.000	Merged-chrX-100494288-61
NR2680--MA0463.1.Bcl6	chrX	8132522	8132535	+	0.000	0.000	Merged-chrX-8132452-84
NR573--MA0731.1.BCL6B	chr12	86891613	86891629	+	0.000	0.000	Merged-chr12-86891663-3
NR368--MA0731.1.BCL6B	chr10	105292902	105292918	-	0.000	0.000	Merged-chr10-105293001-1
NR2528--MA0463.1.Bcl6	chr8	94330997	94331010	-	0.000	0.000	Merged-chr8-94330995-25
NR1529--MA0731.1.BCL6B	chr2	135737800	135737816	-	0.000	0.000	Merged-chr2-135737673-31
NR225--MA0731.1.BCL6B	chr1	189936882	189936898	+	0.000	0.000	Merged-chr1-189936861-20
NR172--MA0731.1.BCL6B	chr1	161660902	161660918	+	0.000	0.000	Merged-chr1-161660991-11
NR2461--MA0463.1.Bcl6	chr8	34047020	34047033	+	0.000	0.000	Merged-chr8-34046985-6
NR1161--MA0463.1.Bcl6	chr17	17567233	17567246	+	0.000	0.000	Merged-chr17-17567389-12
NR493--MA0463.1.Bcl6	chr12	8326926	8326939	+	0.000	0.000	Merged-chr12-8326967-30
NR2437--MA0731.1.BCL6B	chr7	139068519	139068535	-	0.000	0.000	Merged-chr7-139068338-42
NR2578--MA0463.1.Bcl6	chr9	14966931	14966944	-	0.000	0.000	Merged-chr9-14967167-10
NR359--MA0463.1.Bcl6	chr10	99199137	99199150	-	0.000	0.000	Merged-chr10-99199242-8
NR1054--MA0463.1.Bcl6	chr16	23988588	23988601	+	0.000	0.000	Merged-chr16-23988801-56
NR2381--MA0463.1.Bcl6	chr7	83564940	83564953	-	0.000	0.000	Merged-chr7-83565043-35
NR401--MA0731.1.BCL6B	chr11	4704383	4704399	+	0.000	0.000	Merged-chr11-4704501-78
NR1166--MA0463.1.Bcl6	chr17	24251628	24251641	+	0.000	0.000	Merged-chr17-24251490-51
NR1511--MA0463.1.Bcl6	chr2	126676219	126676232	-	0.000	0.000	Merged-chr2-126676063-4
NR2429--MA0731.1.BCL6B	chr7	126230773	126230789	-	0.000	0.000	Merged-chr7-126230639-34
NR1838--MA0463.1.Bcl6	chr4	58081258	58081271	+	0.000	0.000	Merged-chr4-58081365-7
NR167--MA0463.1.Bcl6	chr1	159390151	159390164	-	0.000	0.000	Merged-chr1-159390218-34
NR2601--MA0463.1.Bcl6	chr9	48538503	48538516	-	0.000	0.000	Merged-chr9-48538454-59
NR1068--MA0463.1.Bcl6	chr16	42172789	42172802	+	0.000	0.000	Merged-chr16-42172689-43
NR400--MA0463.1.Bcl6	chr11	3931994	3932007	+	0.000	0.000	Merged-chr11-3931934-36
NR727--MA0463.1.Bcl6	chr13	94381827	94381840	+	0.000	0.000	Merged-chr13-94381981-20
NR1655--MA0463.1.Bcl6	chr3	84581905	84581918	+	0.000	0.000	Merged-chr3-84581913-3
NR660--MA0463.1.Bcl6	chr13	34114729	34114742	+	0.000	0.000	Merged-chr13-34114809-14
NR2321--MA0731.1.BCL6B	chr7	28372749	28372765	-	0.000	0.000	Merged-chr7-28372841-69
NR70--MA0463.1.Bcl6	chr1	62877030	62877043	-	0.000	0.000	Merged-chr1-62876956-19
NR2651--MA0463.1.Bcl6	chr9	96515933	96515946	-	0.000	0.000	Merged-chr9-96515884-18
NR1427--MA0463.1.Bcl6	chr2	60880863	60880876	+	0.000	0.000	Merged-chr2-60880763-2
NR507--MA0731.1.BCL6B	chr12	24565591	24565607	-	0.000	0.000	Merged-chr12-24565518-17
NR1745--MA0731.1.BCL6B	chr3	146783896	146783912	-	0.000	0.000	Merged-chr3-146783871-10
NR1329--MA0463.1.Bcl6	chr19	14598236	14598249	-	0.000	0.000	Merged-chr19-14598034-110
NR1201--MA0731.1.BCL6B	chr17	62413615	62413631	-	0.000	0.000	Merged-chr17-62413697-2
NR1920--MA0463.1.Bcl6	chr4	120381174	120381187	+	0.000	0.000	Merged-chr4-120381159-28
NR482--MA0463.1.Bcl6	chr11	114873360	114873373	-	0.000	0.000	Merged-chr11-114873395-35
NR2567--MA0463.1.Bcl6	chr8	127447272	127447285	-	0.000	0.000	Merged-chr8-127447217-34
NR2473--MA0463.1.Bcl6	chr8	41443766	41443779	-	0.000	0.000	Merged-chr8-41443750-12
NR1710--MA0463.1.Bcl6	chr3	129602473	129602486	-	0.000	0.000	Merged-chr3-129602465-51
NR930--MA0463.1.Bcl6	chr15	10486030	10486043	-	0.000	0.000	Merged-chr15-10486107-67
NR1173--MA0463.1.Bcl6	chr17	33865564	33865577	-	0.000	0.000	Merged-chr17-33865585-36
NR702--MA0463.1.Bcl6	chr13	81351846	81351859	-	0.000	0.000	Merged-chr13-81351650-43
NR1031--MA0731.1.BCL6B	chr16	10384151	10384167	+	0.000	0.000	Merged-chr16-10384220-18
NR1968--MA0731.1.BCL6B	chr5	3508574	3508590	+	0.000	0.000	Merged-chr5-3508647-19
NR1500--MA0463.1.Bcl6	chr2	118730720	118730733	-	0.000	0.000	Merged-chr2-118730761-5
NR2375--MA0463.1.Bcl6	chr7	80636405	80636418	+	0.000	0.000	Merged-chr7-80636547-14
NR926--MA0463.1.Bcl6	chr15	6622717	6622730	-	0.000	0.000	Merged-chr15-6622657-10
NR1612--MA0463.1.Bcl6	chr3	31145965	31145978	+	0.000	0.000	Merged-chr3-31145985-42
NR1934--MA0731.1.BCL6B	chr4	129570169	129570185	+	0.000	0.000	Merged-chr4-129570214-45
NR295--MA0463.1.Bcl6	chr10	39039685	39039698	-	0.000	0.000	Merged-chr10-39039718-5
NR2165--MA0463.1.Bcl6	chr6	30351368	30351381	-	0.000	0.000	Merged-chr6-30351409-35
NR1093--MA0463.1.Bcl6	chr16	57465557	57465570	+	0.000	0.000	Merged-chr16-57465471-22
NR2398--MA0463.1.Bcl6	chr7	101377953	101377966	+	0.000	0.000	Merged-chr7-101378062-62
NR734--MA0463.1.Bcl6	chr13	102097600	102097613	+	0.000	0.000	Merged-chr13-102097534-1
NR2609--MA0463.1.Bcl6	chr9	63698479	63698492	+	0.000	0.000	Merged-chr9-63698652-22
NR1905--MA0731.1.BCL6B	chr4	108459769	108459785	+	0.000	0.000	Merged-chr4-108459700-11
NR542--MA0463.1.Bcl6	chr12	55438927	55438940	+	0.000	0.000	Merged-chr12-55438958-24
NR1220--MA0731.1.BCL6B	chr17	80772627	80772643	-	0.000	0.000	Merged-chr17-80772766-52
NR1886--MA0731.1.BCL6B	chr4	96591234	96591250	+	0.000	0.000	Merged-chr4-96591096-6
NR672--MA0463.1.Bcl6	chr13	55432381	55432394	-	0.000	0.000	Merged-chr13-55432438-56
NR999--MA0463.1.Bcl6	chr15	80149805	80149818	+	0.000	0.000	Merged-chr15-80149719-49
NR1613--MA0731.1.BCL6B	chr3	31145962	31145978	-	0.000	0.000	Merged-chr3-31145985-42
NR2119--MA0731.1.BCL6B	chr5	136186820	136186836	-	0.000	0.000	Merged-chr5-136186956-28
NR444--MA0463.1.Bcl6	chr11	62675924	62675937	+	0.000	0.000	Merged-chr11-62675914-24
NR69--MA0463.1.Bcl6	chr1	62877032	62877045	+	0.000	0.000	Merged-chr1-62876956-19
NR1193--MA0731.1.BCL6B	chr17	52461996	52462012	+	0.000	0.000	Merged-chr17-52461953-32
NR1260--MA0463.1.Bcl6	chr18	36530114	36530127	-	0.000	0.000	Merged-chr18-36530023-27
NR686--MA0463.1.Bcl6	chr13	67399791	67399804	+	0.000	0.000	Merged-chr13-67399691-60
NR1639--MA0731.1.BCL6B	chr3	67573297	67573313	+	0.000	0.000	Merged-chr3-67573176-41
NR96--MA0463.1.Bcl6	chr1	82787570	82787583	+	0.000	0.000	Merged-chr1-82787603-20
NR1682--MA0731.1.BCL6B	chr3	103466059	103466075	-	0.000	0.000	Merged-chr3-103466121-19
NR1748--MA0731.1.BCL6B	chr3	148730239	148730255	-	0.000	0.000	Merged-chr3-148730095-3
NR1390--MA0463.1.Bcl6	chr2	38926702	38926715	-	0.000	0.000	Merged-chr2-38926558-133
NR1914--MA0463.1.Bcl6	chr4	117146378	117146391	-	0.000	0.000	Merged-chr4-117146401-30
NR1820--MA0463.1.Bcl6	chr4	44106510	44106523	+	0.000	0.000	Merged-chr4-44106569-17
NR1509--MA0731.1.BCL6B	chr2	126593899	126593915	+	0.000	0.000	Merged-chr2-126594082-30
NR476--MA0463.1.Bcl6	chr11	103344789	103344802	+	0.000	0.000	Merged-chr11-103344829-56
NR662--MA0731.1.BCL6B	chr13	37963717	37963733	-	0.000	0.000	Merged-chr13-37963615-35
NR136--MA0463.1.Bcl6	chr1	121608287	121608300	+	0.000	0.000	Merged-chr1-121608228-8
NR1919--MA0463.1.Bcl6	chr4	120381111	120381124	+	0.000	0.000	Merged-chr4-120381159-28
NR1294--MA0731.1.BCL6B	chr18	68059320	68059336	-	0.000	0.000	Merged-chr18-68059360-81
NR1610--MA0463.1.Bcl6	chr3	31145932	31145945	+	0.000	0.000	Merged-chr3-31145985-42
NR1055--MA0731.1.BCL6B	chr16	25423965	25423981	+	0.000	0.000	Merged-chr16-25423952-5
NR87--MA0731.1.BCL6B	chr1	74661790	74661806	+	0.000	0.000	Merged-chr1-74661827-58
NR2136--MA0463.1.Bcl6	chr5	150840181	150840194	+	0.000	0.000	Merged-chr5-150840006-2
NR1279--MA0463.1.Bcl6	chr18	53177273	53177286	-	0.000	0.000	Merged-chr18-53177390-15
NR402--MA0731.1.BCL6B	chr11	6018449	6018465	-	0.000	0.000	Merged-chr11-6018281-55
NR2154--MA0463.1.Bcl6	chr6	24310928	24310941	+	0.000	0.000	Merged-chr6-24310854-8
NR817--MA0463.1.Bcl6	chr14	34674449	34674462	-	0.000	0.000	Merged-chr14-34674583-4
NR2172--MA0463.1.Bcl6	chr6	34955547	34955560	+	0.000	0.000	Merged-chr6-34955632-40
NR723--MA0463.1.Bcl6	chr13	92671874	92671887	+	0.000	0.000	Merged-chr13-92671922-24
NR620--MA0731.1.BCL6B	chr13	9638041	9638057	-	0.000	0.000	Merged-chr13-9637949-5
NR2038--MA0463.1.Bcl6	chr5	53490928	53490941	-	0.000	0.000	Merged-chr5-53490901-53
NR2611--MA0463.1.Bcl6	chr9	64824823	64824836	+	0.000	0.000	Merged-chr9-64824731-59
NR853--MA0463.1.Bcl6	chr14	53991442	53991455	-	0.000	0.000	Merged-chr14-53991550-13
NR2177--MA0463.1.Bcl6	chr6	38911332	38911345	+	0.000	0.000	Merged-chr6-38911348-28
NR871--MA0463.1.Bcl6	chr14	75845845	75845858	-	0.000	0.000	Merged-chr14-75845908-1
NR53--MA0463.1.Bcl6	chr1	43389146	43389159	+	0.000	0.000	Merged-chr1-43389283-10
NR450--MA0731.1.BCL6B	chr11	71004529	71004545	-	0.000	0.000	Merged-chr11-71004359-68
NR1656--MA0463.1.Bcl6	chr3	84595233	84595246	+	0.000	0.000	Merged-chr3-84595329-34
NR1244--MA0731.1.BCL6B	chr18	5945021	5945037	+	0.000	0.000	Merged-chr18-5945225-8
NR1889--MA0463.1.Bcl6	chr4	97777191	97777204	+	0.000	0.000	Merged-chr4-97777223-4
NR1334--MA0463.1.Bcl6	chr19	25062768	25062781	-	0.000	0.000	Merged-chr19-25062644-33
NR2431--MA0731.1.BCL6B	chr7	127895917	127895933	+	0.000	0.000	Merged-chr7-127895657-49
NR1114--MA0731.1.BCL6B	chr16	76866285	76866301	-	0.000	0.000	Merged-chr16-76866196-31
NR856--MA0731.1.BCL6B	chr14	55604120	55604136	+	0.000	0.000	Merged-chr14-55604128-61
NR1370--MA0463.1.Bcl6	chr2	15055493	15055506	-	0.000	0.000	Merged-chr2-15055346-111
NR2666--MA0463.1.Bcl6	chr9	107338458	107338471	+	0.000	0.000	Merged-chr9-107338409-31
NR822--MA0731.1.BCL6B	chr14	40955957	40955973	-	0.000	0.000	Merged-chr14-40955925-7
NR564--MA0731.1.BCL6B	chr12	76923262	76923278	-	0.000	0.000	Merged-chr12-76923289-32
NR2223--MA0463.1.Bcl6	chr6	94690438	94690451	+	0.000	0.000	Merged-chr6-94690537-14
NR1160--MA0463.1.Bcl6	chr17	17405037	17405050	+	0.000	0.000	Merged-chr17-17405112-12
NR2456--MA0463.1.Bcl6	chr8	25256217	25256230	+	0.000	0.000	Merged-chr8-25256219-29
NR2241--MA0463.1.Bcl6	chr6	108839648	108839661	-	0.000	0.000	Merged-chr6-108839644-6
NR1337--MA0731.1.BCL6B	chr19	32292666	32292682	-	0.000	0.000	Merged-chr19-32292783-63
NR1944--MA0463.1.Bcl6	chr4	135963648	135963661	-	0.000	0.000	Merged-chr4-135963723-59
NR940--MA0463.1.Bcl6	chr15	25441369	25441382	+	0.000	0.000	Merged-chr15-25441217-22
NR1841--MA0463.1.Bcl6	chr4	59334501	59334514	-	0.000	0.000	Merged-chr4-59334483-11
NR1890--MA0731.1.BCL6B	chr4	97777188	97777204	-	0.000	0.000	Merged-chr4-97777223-4
NR909--MA0463.1.Bcl6	chr14	120572382	120572395	-	0.000	0.000	Merged-chr14-120572441-59
NR1192--MA0463.1.Bcl6	chr17	52461996	52462009	-	0.000	0.000	Merged-chr17-52461953-32
NR1501--MA0463.1.Bcl6	chr2	121511698	121511711	-	0.000	0.000	Merged-chr2-121511602-35
NR522--MA0731.1.BCL6B	chr12	35831526	35831542	-	0.000	0.000	Merged-chr12-35831478-13
NR317--MA0731.1.BCL6B	chr10	58282344	58282360	+	0.000	0.000	Merged-chr10-58282409-26
NR2362--MA0731.1.BCL6B	chr7	68286116	68286132	-	0.000	0.000	Merged-chr7-68286059-41
NR2166--MA0463.1.Bcl6	chr6	30509646	30509659	-	0.000	0.000	Merged-chr6-30509699-52
NR2245--MA0731.1.BCL6B	chr6	112852610	112852626	+	0.000	0.000	Merged-chr6-112852567-47
NR514--MA0731.1.BCL6B	chr12	29291093	29291109	+	0.000	0.000	Merged-chr12-29291093-42
NR753--MA0463.1.Bcl6	chr13	109685729	109685742	+	0.000	0.000	Merged-chr13-109685834-42
NR1654--MA0463.1.Bcl6	chr3	84314662	84314675	-	0.000	0.000	Merged-chr3-84314739-19
NR2529--MA0731.1.BCL6B	chr8	94434330	94434346	-	0.000	0.000	Merged-chr8-94434227-54
NR875--MA0731.1.BCL6B	chr14	79295838	79295854	+	0.000	0.000	Merged-chr14-79295795-2
NR2367--MA0731.1.BCL6B	chr7	74357249	74357265	-	0.000	0.000	Merged-chr7-74357288-11
NR977--MA0463.1.Bcl6	chr15	61541268	61541281	+	0.000	0.000	Merged-chr15-61541070-57
NR1878--MA0463.1.Bcl6	chr4	93497599	93497612	-	0.000	0.000	Merged-chr4-93497619-1
NR2604--MA0731.1.BCL6B	chr9	56995099	56995115	+	0.000	0.000	Merged-chr9-56995243-79
NR474--MA0731.1.BCL6B	chr11	102881279	102881295	-	0.000	0.000	Merged-chr11-102881162-74
NR1681--MA0463.1.Bcl6	chr3	103374143	103374156	+	0.000	0.000	Merged-chr3-103374270-26
NR543--MA0463.1.Bcl6	chr12	55438940	55438953	-	0.000	0.000	Merged-chr12-55438958-24
NR767--MA0463.1.Bcl6	chr13	119283788	119283801	-	0.000	0.000	Merged-chr13-119283624-33
NR344--MA0731.1.BCL6B	chr10	91032634	91032650	+	0.000	0.000	Merged-chr10-91032614-23
NR427--MA0463.1.Bcl6	chr11	40718341	40718354	+	0.000	0.000	Merged-chr11-40718408-12
NR1686--MA0463.1.Bcl6	chr3	109025804	109025817	-	0.000	0.000	Merged-chr3-109025792-30
NR2564--MA0731.1.BCL6B	chr8	125557520	125557536	+	0.000	0.000	Merged-chr8-125557520-11
NR1225--MA0463.1.Bcl6	chr17	83850592	83850605	+	0.000	0.000	Merged-chr17-83850809-47
NR2427--MA0463.1.Bcl6	chr7	125551776	125551789	-	0.000	0.000	Merged-chr7-125551601-1
NR2163--MA0731.1.BCL6B	chr6	29272518	29272534	+	0.000	0.000	Merged-chr6-29272695-53
NR1261--MA0463.1.Bcl6	chr18	36670359	36670372	+	0.000	0.000	Merged-chr18-36670239-51
NR1561--MA0731.1.BCL6B	chr2	157131153	157131169	-	0.000	0.000	Merged-chr2-157131278-25
NR2176--MA0731.1.BCL6B	chr6	38789669	38789685	-	0.000	0.000	Merged-chr6-38789563-52
NR226--MA0463.1.Bcl6	chr1	191599406	191599419	-	0.000	0.000	Merged-chr1-191599385-45
NR2463--MA0463.1.Bcl6	chr8	34817845	34817858	+	0.000	0.000	Merged-chr8-34817852-8
NR1933--MA0463.1.Bcl6	chr4	129570169	129570182	-	0.000	0.000	Merged-chr4-129570214-45
NR2046--MA0731.1.BCL6B	chr5	58736592	58736608	+	0.000	0.000	Merged-chr5-58736772-10
NR2155--MA0731.1.BCL6B	chr6	24310925	24310941	-	0.000	0.000	Merged-chr6-24310854-8
NR2426--MA0731.1.BCL6B	chr7	125472257	125472273	-	0.000	0.000	Merged-chr7-125472313-74
NR296--MA0731.1.BCL6B	chr10	39039685	39039701	+	0.000	0.000	Merged-chr10-39039718-5
NR804--MA0463.1.Bcl6	chr14	17414438	17414451	+	0.000	0.000	Merged-chr14-17414498-32
NR1181--MA0463.1.Bcl6	chr17	43233050	43233063	+	0.000	0.000	Merged-chr17-43233095-49
NR1293--MA0463.1.Bcl6	chr18	68059323	68059336	+	0.000	0.000	Merged-chr18-68059360-81
NR2486--MA0463.1.Bcl6	chr8	53630672	53630685	+	0.000	0.000	Merged-chr8-53630787-29
NR1168--MA0463.1.Bcl6	chr17	28257113	28257126	-	0.000	0.000	Merged-chr17-28256965-58
NR2243--MA0731.1.BCL6B	chr6	112207462	112207478	-	0.000	0.000	Merged-chr6-112207426-39
NR2173--MA0463.1.Bcl6	chr6	34955545	34955558	-	0.000	0.000	Merged-chr6-34955632-40
NR2500--MA0463.1.Bcl6	chr8	69832490	69832503	+	0.000	0.000	Merged-chr8-69832557-54
NR299--MA0463.1.Bcl6	chr10	42843275	42843288	+	0.000	0.000	Merged-chr10-42843414-7
NR872--MA0463.1.Bcl6	chr14	75899662	75899675	+	0.000	0.000	Merged-chr14-75899694-30
NR1885--MA0463.1.Bcl6	chr4	96591234	96591247	-	0.000	0.000	Merged-chr4-96591096-6
NR859--MA0463.1.Bcl6	chr14	57910807	57910820	+	0.000	0.000	Merged-chr14-57910674-41
NR1657--MA0463.1.Bcl6	chr3	84657193	84657206	-	0.000	0.000	Merged-chr3-84657299-19
NR1675--MA0463.1.Bcl6	chr3	98281002	98281015	-	0.000	0.000	Merged-chr3-98281152-46
NR1864--MA0731.1.BCL6B	chr4	86683518	86683534	+	0.000	0.000	Merged-chr4-86683553-15
NR1211--MA0731.1.BCL6B	chr17	70755478	70755494	+	0.000	0.000	Merged-chr17-70755266-44
NR77--MA0463.1.Bcl6	chr1	66714310	66714323	+	0.000	0.000	Merged-chr1-66714205-8
NR2322--MA0463.1.Bcl6	chr7	28780269	28780282	-	0.000	0.000	Merged-chr7-28780400-13
NR797--MA0463.1.Bcl6	chr14	13080302	13080315	-	0.000	0.000	Merged-chr14-13080160-1
NR1022--MA0463.1.Bcl6	chr16	7234459	7234472	+	0.000	0.000	Merged-chr16-7234365-2
NR2439--MA0463.1.Bcl6	chr7	141064305	141064318	+	0.000	0.000	Merged-chr7-141064290-23
NR60--MA0731.1.BCL6B	chr1	58761717	58761733	+	0.000	0.000	Merged-chr1-58761595-25
NR661--MA0731.1.BCL6B	chr13	37312532	37312548	+	0.000	0.000	Merged-chr13-37312646-27
NR1009--MA0463.1.Bcl6	chr15	102526799	102526812	+	0.000	0.000	Merged-chr15-102526608-8
NR1479--MA0463.1.Bcl6	chr2	103638728	103638741	+	0.000	0.000	Merged-chr2-103638879-10
NR2457--MA0463.1.Bcl6	chr8	25994109	25994122	-	0.000	0.000	Merged-chr8-25994134-53
NR1027--MA0463.1.Bcl6	chr16	8870026	8870039	+	0.000	0.000	Merged-chr16-8869938-27
NR2569--MA0463.1.Bcl6	chr8	127655655	127655668	-	0.000	0.000	Merged-chr8-127655779-25
NR1291--MA0463.1.Bcl6	chr18	65272282	65272295	+	0.000	0.000	Merged-chr18-65272227-29
NR1712--MA0463.1.Bcl6	chr3	131170339	131170352	-	0.000	0.000	Merged-chr3-131170434-2
NR1673--MA0731.1.BCL6B	chr3	97297574	97297590	-	0.000	0.000	Merged-chr3-97297834-52
NR892--MA0731.1.BCL6B	chr14	103550684	103550700	+	0.000	0.000	Merged-chr14-103550672-31
