#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR1729--MA0508.2.PRDM1	chr4	137861612	137861621	-	0.000	0.000	Merged-chr4-137861569-3
NR425--MA0508.2.PRDM1	chr11	97905575	97905584	+	0.000	0.000	Merged-chr11-97905718-19
NR1044--MA0508.2.PRDM1	chr17	65740403	65740412	-	0.000	0.000	Merged-chr17-65740416-17
NR1219--MA0508.2.PRDM1	chr2	13271433	13271442	-	0.000	0.000	Merged-chr2-13271415-60
NR2231--MA0508.2.PRDM1	chr7	143822986	143822995	+	0.000	0.000	Merged-chr7-143822961-65
NR481--MA0508.2.PRDM1	chr12	52615855	52615864	-	0.000	0.000	Merged-chr12-52615986-19
NR547--MA0508.2.PRDM1	chr12	110381461	110381470	-	0.000	0.000	Merged-chr12-110381552-59
NR1166--MA0508.2.PRDM1	chr19	16172897	16172906	-	0.000	0.000	Merged-chr19-16172957-13
NR1437--MA0508.2.PRDM1	chr3	52523068	52523077	-	0.000	0.000	Merged-chr3-52523173-17
NR55--MA0508.2.PRDM1	chr1	75487493	75487502	-	0.000	0.000	Merged-chr1-75487610-71
NR385--MA0508.2.PRDM1	chr11	69838281	69838290	-	0.000	0.000	Merged-chr11-69838250-77
NR927--MA0508.2.PRDM1	chr16	25250333	25250342	+	0.000	0.000	Merged-chr16-25250353-21
NR242--MA0508.2.PRDM1	chr10	44529602	44529611	+	0.000	0.000	Merged-chr10-44529535-56
NR494--MA0508.2.PRDM1	chr12	69357234	69357243	-	0.000	0.000	Merged-chr12-69357106-39
NR1179--MA0508.2.PRDM1	chr19	29372000	29372009	-	0.000	0.000	Merged-chr19-29372024-45
NR351--MA0508.2.PRDM1	chr11	4319158	4319167	+	0.000	0.000	Merged-chr11-4319029-17
NR255--MA0508.2.PRDM1	chr10	60000174	60000183	+	0.000	0.000	Merged-chr10-60000232-10
NR2223--MA0508.2.PRDM1	chr7	139389124	139389133	+	0.000	0.000	Merged-chr7-139388959-78
NR635--MA0508.2.PRDM1	chr13	61788299	61788308	+	0.000	0.000	Merged-chr13-61788395-14
NR2332--MA0508.2.PRDM1	chr8	122772822	122772831	-	0.000	0.000	Merged-chr8-122772813-21
NR473--MA0508.2.PRDM1	chr12	33389132	33389141	-	0.000	0.000	Merged-chr12-33389022-18
NR1158--MA0508.2.PRDM1	chr19	11055829	11055838	+	0.000	0.000	Merged-chr19-11055893-27
NR1267--MA0508.2.PRDM1	chr2	65182903	65182912	+	0.000	0.000	Merged-chr2-65182800-62
NR486--MA0508.2.PRDM1	chr12	53032943	53032952	-	0.000	0.000	Merged-chr12-53032976-31
NR2202--MA0508.2.PRDM1	chr7	126467317	126467326	+	0.000	0.000	Merged-chr7-126467247-1,Merged-chr7-126467456-1
NR409--MA0508.2.PRDM1	chr11	86544930	86544939	-	0.000	0.000	Merged-chr11-86544801-80
NR2040--MA0508.2.PRDM1	chr6	122486257	122486266	+	0.000	0.000	Merged-chr6-122486268-46
NR2420--MA0508.2.PRDM1	chr9	80869992	80870001	-	0.000	0.000	Merged-chr9-80870053-3
NR26--MA0508.2.PRDM1	chr1	37310048	37310057	+	0.000	0.000	Merged-chr1-37310125-13
NR2215--MA0508.2.PRDM1	chr7	135631979	135631988	+	0.000	0.000	Merged-chr7-135632078-25
NR290--MA0508.2.PRDM1	chr10	86794991	86795000	+	0.000	0.000	Merged-chr10-86794881-42
NR627--MA0508.2.PRDM1	chr13	52617344	52617353	-	0.000	0.000	Merged-chr13-52617361-10
NR2467--MA0508.2.PRDM1	chrX	12151831	12151840	+	0.000	0.000	Merged-chrX-12151801-24
NR213--MA0508.2.PRDM1	chr10	4334366	4334375	+	0.000	0.000	Merged-chr10-4334373-40
NR845--MA0508.2.PRDM1	chr15	28159183	28159192	-	0.000	0.000	Merged-chr15-28159214-52
NR2271--MA0508.2.PRDM1	chr8	53630825	53630834	-	0.000	0.000	Merged-chr8-53630787-29
NR1940--MA0508.2.PRDM1	chr6	52991365	52991374	+	0.000	0.000	Merged-chr6-52991289-8
NR2032--MA0508.2.PRDM1	chr6	119159780	119159789	-	0.000	0.000	Merged-chr6-119159656-11
NR2303--MA0508.2.PRDM1	chr8	90877381	90877390	-	0.000	0.000	Merged-chr8-90877142-94
NR1129--MA0508.2.PRDM1	chr18	70522417	70522426	+	0.000	0.000	Merged-chr18-70522488-53
NR2250--MA0508.2.PRDM1	chr8	25132731	25132740	+	0.000	0.000	Merged-chr8-25132757-32
NR728--MA0508.2.PRDM1	chr14	12307795	12307804	-	0.000	0.000	Merged-chr14-12307905-40
NR152--MA0508.2.PRDM1	chr1	165705877	165705886	+	0.000	0.000	Merged-chr1-165706080-46
NR675--MA0508.2.PRDM1	chr13	90929901	90929910	-	0.000	0.000	Merged-chr13-90930019-46
NR261--MA0508.2.PRDM1	chr10	62508046	62508055	+	0.000	0.000	Merged-chr10-62508148-1
NR327--MA0508.2.PRDM1	chr10	118507646	118507655	+	0.000	0.000	Merged-chr10-118507756-30
NR959--MA0508.2.PRDM1	chr16	55526568	55526577	-	0.000	0.000	Merged-chr16-55526472-43
NR131--MA0508.2.PRDM1	chr1	155040530	155040539	-	0.000	0.000	Merged-chr1-155040391-76
NR2308--MA0508.2.PRDM1	chr8	101687071	101687080	-	0.000	0.000	Merged-chr8-101687261-3
NR449--MA0508.2.PRDM1	chr12	3983944	3983953	+	0.000	0.000	Merged-chr12-3983883-10
NR1783--MA0508.2.PRDM1	chr5	34822677	34822686	-	0.000	0.000	Merged-chr5-34822830-22
NR2494--MA0508.2.PRDM1	chrX	106135400	106135409	-	0.000	0.000	Merged-chrX-106135223-1
NR2080--MA0508.2.PRDM1	chr6	146072170	146072179	+	0.000	0.000	Merged-chr6-146072064-12
NR2112--MA0508.2.PRDM1	chr7	49601649	49601658	-	0.000	0.000	Merged-chr7-49601650-79
NR2364--MA0508.2.PRDM1	chr9	30480775	30480784	-	0.000	0.000	Merged-chr9-30480669-44
NR2221--MA0508.2.PRDM1	chr7	138848443	138848452	+	0.000	0.000	Merged-chr7-138848569-2
NR157--MA0508.2.PRDM1	chr1	169919420	169919429	+	0.000	0.000	Merged-chr1-169919458-18
NR2473--MA0508.2.PRDM1	chrX	42365997	42366006	-	0.000	0.000	Merged-chrX-42366064-18
NR1871--MA0508.2.PRDM1	chr5	113994108	113994117	-	0.000	0.000	Merged-chr5-113994160-2
NR2505--MA0508.2.PRDM1	chrX	159199720	159199729	+	0.000	0.000	Merged-chrX-159199808-53
NR1903--MA0508.2.PRDM1	chr5	149017746	149017755	+	0.000	0.000	Merged-chr5-149017827-20
NR2181--MA0508.2.PRDM1	chr7	114817537	114817546	+	0.000	0.000	Merged-chr7-114817676-52
NR388--MA0508.2.PRDM1	chr11	72843226	72843235	+	0.000	0.000	Merged-chr11-72843194-9
NR1231--MA0508.2.PRDM1	chr2	27540337	27540346	-	0.000	0.000	Merged-chr2-27540208-76
NR2008--MA0508.2.PRDM1	chr6	100357291	100357300	-	0.000	0.000	Merged-chr6-100357185-33
NR258--MA0508.2.PRDM1	chr10	61658069	61658078	+	0.000	0.000	Merged-chr10-61658061-29
NR2478--MA0508.2.PRDM1	chrX	70385620	70385629	+	0.000	0.000	Merged-chrX-70385731-95
NR2335--MA0508.2.PRDM1	chr8	126699471	126699480	+	0.000	0.000	Merged-chr8-126699390-72
NR476--MA0508.2.PRDM1	chr12	41770112	41770121	+	0.000	0.000	Merged-chr12-41770163-15
NR237--MA0508.2.PRDM1	chr10	40479336	40479345	-	0.000	0.000	Merged-chr10-40479489-48
NR508--MA0508.2.PRDM1	chr12	82171162	82171171	+	0.000	0.000	Merged-chr12-82171094-10
NR1571--MA0508.2.PRDM1	chr3	148336316	148336325	+	0.000	0.000	Merged-chr3-148336244-12
NR2348--MA0508.2.PRDM1	chr9	7576796	7576805	-	0.000	0.000	Merged-chr9-7576753-19
NR1951--MA0508.2.PRDM1	chr6	59363440	59363449	+	0.000	0.000	Merged-chr6-59363496-31
NR2186--MA0508.2.PRDM1	chr7	115661830	115661839	-	0.000	0.000	Merged-chr7-115661856-1
NR1998--MA0508.2.PRDM1	chr6	94986366	94986375	+	0.000	0.000	Merged-chr6-94986542-29
NR2043--MA0508.2.PRDM1	chr6	125131892	125131901	+	0.000	0.000	Merged-chr6-125131800-57
NR2109--MA0508.2.PRDM1	chr7	49451000	49451009	+	0.000	0.000	Merged-chr7-49451105-18
NR1584--MA0508.2.PRDM1	chr3	154571102	154571111	+	0.000	0.000	Merged-chr3-154571116-11
NR2295--MA0508.2.PRDM1	chr8	83131904	83131913	-	0.000	0.000	Merged-chr8-83131891-13
NR2056--MA0508.2.PRDM1	chr6	135011572	135011581	-	0.000	0.000	Merged-chr6-135011680-51
NR2327--MA0508.2.PRDM1	chr8	119787197	119787206	+	0.000	0.000	Merged-chr8-119787219-34
NR197--MA0508.2.PRDM1	chr1	189703530	189703539	-	0.000	0.000	Merged-chr1-189703506-56
NR1202--MA0508.2.PRDM1	chr19	54015198	54015207	+	0.000	0.000	Merged-chr19-54015154-21
NR1454--MA0508.2.PRDM1	chr3	68056599	68056608	-	0.000	0.000	Merged-chr3-68056784-48
NR1311--MA0508.2.PRDM1	chr2	104561576	104561585	-	0.000	0.000	Merged-chr2-104561694-40
NR1672--MA0508.2.PRDM1	chr4	88544152	88544161	-	0.000	0.000	Merged-chr4-88544037-33
NR2306--MA0508.2.PRDM1	chr8	95679322	95679331	-	0.000	0.000	Merged-chr8-95679341-1
NR1433--MA0508.2.PRDM1	chr3	51234499	51234508	+	0.000	0.000	Merged-chr3-51234583-28
NR1704--MA0508.2.PRDM1	chr4	120984713	120984722	-	0.000	0.000	Merged-chr4-120984598-23
NR2144--MA0508.2.PRDM1	chr7	89499827	89499836	-	0.000	0.000	Merged-chr7-89500080-22
NR1608--MA0508.2.PRDM1	chr4	15300070	15300079	+	0.000	0.000	Merged-chr4-15300125-32
NR1446--MA0508.2.PRDM1	chr3	60496548	60496557	+	0.000	0.000	Merged-chr3-60496424-34
NR1717--MA0508.2.PRDM1	chr4	132040423	132040432	+	0.000	0.000	Merged-chr4-132040319-80
NR2157--MA0508.2.PRDM1	chr7	101970733	101970742	+	0.000	0.000	Merged-chr7-101970646-136
NR1555--MA0508.2.PRDM1	chr3	138841436	138841445	+	0.000	0.000	Merged-chr3-138841387-35
NR1826--MA0508.2.PRDM1	chr5	72658518	72658527	-	0.000	0.000	Merged-chr5-72658444-8
NR30--MA0508.2.PRDM1	chr1	39102315	39102324	-	0.000	0.000	Merged-chr1-39102412-8
NR1568--MA0508.2.PRDM1	chr3	146039567	146039576	-	0.000	0.000	Merged-chr3-146039588-29
NR740--MA0508.2.PRDM1	chr14	27376198	27376207	-	0.000	0.000	Merged-chr14-27376322-41
NR1154--MA0508.2.PRDM1	chr19	6980057	6980066	+	0.000	0.000	Merged-chr19-6980205-101
NR2136--MA0508.2.PRDM1	chr7	80232607	80232616	+	0.000	0.000	Merged-chr7-80232686-63
NR2388--MA0508.2.PRDM1	chr9	60243971	60243980	+	0.000	0.000	Merged-chr9-60243855-4
NR1534--MA0508.2.PRDM1	chr3	130749379	130749388	+	0.000	0.000	Merged-chr3-130749369-18
NR1805--MA0508.2.PRDM1	chr5	51853657	51853666	-	0.000	0.000	Merged-chr5-51853758-22
NR862--MA0508.2.PRDM1	chr15	62780929	62780938	-	0.000	0.000	Merged-chr15-62781008-8
NR1799--MA0508.2.PRDM1	chr5	44258263	44258272	+	0.000	0.000	Merged-chr5-44258351-9
NR22--MA0508.2.PRDM1	chr1	34867428	34867437	+	0.000	0.000	Merged-chr1-34867367-25
NR732--MA0508.2.PRDM1	chr14	16270106	16270115	+	0.000	0.000	Merged-chr14-16270059-31
NR1080--MA0508.2.PRDM1	chr18	13787153	13787162	+	0.000	0.000	Merged-chr18-13787099-71
NR1874--MA0508.2.PRDM1	chr5	117924833	117924842	+	0.000	0.000	Merged-chr5-117924808-8
NR1398--MA0508.2.PRDM1	chr2	173660538	173660547	+	0.000	0.000	Merged-chr2-173660540-10
NR1003--MA0508.2.PRDM1	chr17	22817919	22817928	+	0.000	0.000	Merged-chr17-22817720-41
NR1669--MA0508.2.PRDM1	chr4	86748582	86748591	-	0.000	0.000	Merged-chr4-86748710-108
NR1526--MA0508.2.PRDM1	chr3	126628682	126628691	-	0.000	0.000	Merged-chr3-126628752-25
NR1221--MA0508.2.PRDM1	chr2	13672643	13672652	-	0.000	0.000	Merged-chr2-13672808-37
NR1125--MA0508.2.PRDM1	chr18	68195042	68195051	+	0.000	0.000	Merged-chr18-68195286-23
NR1234--MA0508.2.PRDM1	chr2	31108417	31108426	-	0.000	0.000	Merged-chr2-31108373-37
NR724--MA0508.2.PRDM1	chr14	7833637	7833646	-	0.000	0.000	Merged-chr14-7833590-5
NR1409--MA0508.2.PRDM1	chr3	8718383	8718392	+	0.000	0.000	Merged-chr3-8718167-60
NR27--MA0508.2.PRDM1	chr1	37496185	37496194	+	0.000	0.000	Merged-chr1-37496227-52
NR562--MA0508.2.PRDM1	chr12	115171922	115171931	-	0.000	0.000	Merged-chr12-115171864-49
NR833--MA0508.2.PRDM1	chr15	9574876	9574885	-	0.000	0.000	Merged-chr15-9575046-48
NR1499--MA0508.2.PRDM1	chr3	101238891	101238900	+	0.000	0.000	Merged-chr3-101238930-30
NR671--MA0508.2.PRDM1	chr13	89528783	89528792	-	0.000	0.000	Merged-chr13-89528887-11
NR942--MA0508.2.PRDM1	chr16	37094286	37094295	-	0.000	0.000	Merged-chr16-37094405-73
NR1213--MA0508.2.PRDM1	chr2	5714496	5714505	+	0.000	0.000	Merged-chr2-5714351-135
NR1879--MA0508.2.PRDM1	chr5	122951586	122951595	-	0.000	0.000	Merged-chr5-122951683-61
NR432--MA0508.2.PRDM1	chr11	104609537	104609546	+	0.000	0.000	Merged-chr11-104609685-47
NR684--MA0508.2.PRDM1	chr13	97938101	97938110	-	0.000	0.000	Merged-chr13-97938111-12
NR2400--MA0508.2.PRDM1	chr9	65021884	65021893	-	0.000	0.000	Merged-chr9-65021825-98
NR1160--MA0508.2.PRDM1	chr19	11464977	11464986	-	0.000	0.000	Merged-chr19-11464953-24
NR650--MA0508.2.PRDM1	chr13	74861745	74861754	-	0.000	0.000	Merged-chr13-74861692-20
NR1064--MA0508.2.PRDM1	chr17	86034443	86034452	+	0.000	0.000	Merged-chr17-86034509-12
NR1335--MA0508.2.PRDM1	chr2	121511679	121511688	+	0.000	0.000	Merged-chr2-121511602-35
NR302--MA0508.2.PRDM1	chr10	95842894	95842903	-	0.000	0.000	Merged-chr10-95843057-27
NR1173--MA0508.2.PRDM1	chr19	21547622	21547631	-	0.000	0.000	Merged-chr19-21547622-17
NR1715--MA0508.2.PRDM1	chr4	128728608	128728617	-	0.000	0.000	Merged-chr4-128728655-13
NR1282--MA0508.2.PRDM1	chr2	79087414	79087423	-	0.000	0.000	Merged-chr2-79087442-58
NR1077--MA0508.2.PRDM1	chr18	6281386	6281395	+	0.000	0.000	Merged-chr18-6281338-48
NR1205--MA0508.2.PRDM1	chr19	55260918	55260927	+	0.000	0.000	Merged-chr19-55260920-21
NR900--MA0508.2.PRDM1	chr15	97842536	97842545	-	0.000	0.000	Merged-chr15-97842393-22
NR1109--MA0508.2.PRDM1	chr18	60375874	60375883	+	0.000	0.000	Merged-chr18-60375896-42
NR676--MA0508.2.PRDM1	chr13	91033695	91033704	+	0.000	0.000	Merged-chr13-91033672-15
NR1295--MA0508.2.PRDM1	chr2	91202788	91202797	+	0.000	0.000	Merged-chr2-91202810-54
NR1566--MA0508.2.PRDM1	chr3	144533329	144533338	-	0.000	0.000	Merged-chr3-144533268-10
NR533--MA0508.2.PRDM1	chr12	100871976	100871985	+	0.000	0.000	Merged-chr12-100871796-44
NR1423--MA0508.2.PRDM1	chr3	28405502	28405511	-	0.000	0.000	Merged-chr3-28405628-27
NR2482--MA0508.2.PRDM1	chrX	77509282	77509291	+	0.000	0.000	Merged-chrX-77509424-59
NR1797--MA0508.2.PRDM1	chr5	43948376	43948385	-	0.000	0.000	Merged-chr5-43948402-119
NR621--MA0508.2.PRDM1	chr13	41774073	41774082	-	0.000	0.000	Merged-chr13-41774048-23
NR2461--MA0508.2.PRDM1	chr9	122399008	122399017	+	0.000	0.000	Merged-chr9-122399009-31
NR873--MA0508.2.PRDM1	chr15	79690497	79690506	-	0.000	0.000	Merged-chr15-79690621-57
NR939--MA0508.2.PRDM1	chr16	36598480	36598489	+	0.000	0.000	Merged-chr16-36598490-46
NR1829--MA0508.2.PRDM1	chr5	74348732	74348741	+	0.000	0.000	Merged-chr5-74348625-55
NR254--MA0508.2.PRDM1	chr10	58282343	58282352	+	0.000	0.000	Merged-chr10-58282409-26
NR1014--MA0508.2.PRDM1	chr17	30046822	30046831	+	0.000	0.000	Merged-chr17-30046882-17
NR852--MA0508.2.PRDM1	chr15	42676325	42676334	-	0.000	0.000	Merged-chr15-42676388-81
NR1537--MA0508.2.PRDM1	chr3	133412032	133412041	-	0.000	0.000	Merged-chr3-133411903-38
NR504--MA0508.2.PRDM1	chr12	79628789	79628798	-	0.000	0.000	Merged-chr12-79628685-20
NR485--MA0508.2.PRDM1	chr12	53024790	53024799	+	0.000	0.000	Merged-chr12-53024873-19
NR613--MA0508.2.PRDM1	chr13	30166640	30166649	-	0.000	0.000	Merged-chr13-30166672-75
NR2453--MA0508.2.PRDM1	chr9	118196801	118196810	+	0.000	0.000	Merged-chr9-118196833-13
NR1279--MA0508.2.PRDM1	chr2	75892195	75892204	-	0.000	0.000	Merged-chr2-75892268-38
NR180--MA0508.2.PRDM1	chr1	179578866	179578875	+	0.000	0.000	Merged-chr1-179578897-31
NR1407--MA0508.2.PRDM1	chr2	180589440	180589449	+	0.000	0.000	Merged-chr2-180589507-64
NR974--MA0508.2.PRDM1	chr16	87507938	87507947	+	0.000	0.000	Merged-chr16-87507775-34
NR626--MA0508.2.PRDM1	chr13	51100449	51100458	-	0.000	0.000	Merged-chr13-51100412-9
NR1006--MA0508.2.PRDM1	chr17	24895523	24895532	+	0.000	0.000	Merged-chr17-24895385-66
NR791--MA0508.2.PRDM1	chr14	77581075	77581084	+	0.000	0.000	Merged-chr14-77581248-1
NR586--MA0508.2.PRDM1	chr13	10244529	10244538	+	0.000	0.000	Merged-chr13-10244552-9
NR2031--MA0508.2.PRDM1	chr6	118621981	118621990	+	0.000	0.000	Merged-chr6-118621968-6
NR17--MA0508.2.PRDM1	chr1	21960481	21960490	+	0.000	0.000	Merged-chr1-21960580-1
NR618--MA0508.2.PRDM1	chr13	34163153	34163162	+	0.000	0.000	Merged-chr13-34163217-77
NR2153--MA0508.2.PRDM1	chr7	97878157	97878166	+	0.000	0.000	Merged-chr7-97878127-12
NR217--MA0508.2.PRDM1	chr10	7992672	7992681	+	0.000	0.000	Merged-chr10-7992796-25
NR260--MA0508.2.PRDM1	chr10	62449943	62449952	-	0.000	0.000	Merged-chr10-62449839-90
NR2132--MA0508.2.PRDM1	chr7	75914211	75914220	+	0.000	0.000	Merged-chr7-75914112-33
NR273--MA0508.2.PRDM1	chr10	77515728	77515737	+	0.000	0.000	Merged-chr10-77515813-50
NR339--MA0508.2.PRDM1	chr10	126630231	126630240	+	0.000	0.000	Merged-chr10-126630142-1
NR130--MA0508.2.PRDM1	chr1	154786475	154786484	+	0.000	0.000	Merged-chr1-154786384-57
NR401--MA0508.2.PRDM1	chr11	80498173	80498182	-	0.000	0.000	Merged-chr11-80498094-2
NR1067--MA0508.2.PRDM1	chr17	86873023	86873032	+	0.000	0.000	Merged-chr17-86872864-48
NR2493--MA0508.2.PRDM1	chrX	103622468	103622477	+	0.000	0.000	Merged-chrX-103622282-68
NR2145--MA0508.2.PRDM1	chr7	90081810	90081819	-	0.000	0.000	Merged-chr7-90081975-11
NR2416--MA0508.2.PRDM1	chr9	77806872	77806881	+	0.000	0.000	Merged-chr9-77806830-39
NR491--MA0508.2.PRDM1	chr12	61994528	61994537	-	0.000	0.000	Merged-chr12-61994556-31
NR286--MA0508.2.PRDM1	chr10	84917552	84917561	-	0.000	0.000	Merged-chr10-84917565-76
NR828--MA0508.2.PRDM1	chr15	6523811	6523820	-	0.000	0.000	Merged-chr15-6523761-2
NR1891--MA0508.2.PRDM1	chr5	139368037	139368046	+	0.000	0.000	Merged-chr5-139368071-16
NR414--MA0508.2.PRDM1	chr11	88455569	88455578	+	0.000	0.000	Merged-chr11-88455545-42
NR2254--MA0508.2.PRDM1	chr8	34686660	34686669	-	0.000	0.000	Merged-chr8-34686570-26
NR395--MA0508.2.PRDM1	chr11	76599182	76599191	+	0.000	0.000	Merged-chr11-76599172-10
NR252--MA0508.2.PRDM1	chr10	57753280	57753289	+	0.000	0.000	Merged-chr10-57753371-62
NR775--MA0508.2.PRDM1	chr14	64688869	64688878	+	0.000	0.000	Merged-chr14-64688922-18
NR156--MA0508.2.PRDM1	chr1	169919348	169919357	+	0.000	0.000	Merged-chr1-169919458-18
NR427--MA0508.2.PRDM1	chr11	98588212	98588221	+	0.000	0.000	Merged-chr11-98588289-18
NR1761--MA0508.2.PRDM1	chr4	156203111	156203120	+	0.000	0.000	Merged-chr4-156203414-81
NR2472--MA0508.2.PRDM1	chrX	42366006	42366015	+	0.000	0.000	Merged-chrX-42366064-18
NR536--MA0508.2.PRDM1	chr12	102704090	102704099	+	0.000	0.000	Merged-chr12-102704154-17
NR122--MA0508.2.PRDM1	chr1	143749793	143749802	-	0.000	0.000	Merged-chr1-143749938-18
NR1902--MA0508.2.PRDM1	chr5	148708242	148708251	-	0.000	0.000	Merged-chr5-148708348-12
NR2342--MA0508.2.PRDM1	chr8	128165794	128165803	+	0.000	0.000	Merged-chr8-128165876-22
NR2408--MA0508.2.PRDM1	chr9	72389737	72389746	-	0.000	0.000	Merged-chr9-72389636-26
NR1740--MA0508.2.PRDM1	chr4	145201414	145201423	+	0.000	0.000	Merged-chr4-145201623-9
NR387--MA0508.2.PRDM1	chr11	72718439	72718448	-	0.000	0.000	Merged-chr11-72718326-14
NR2498--MA0508.2.PRDM1	chrX	130602372	130602381	+	0.000	0.000	Merged-chrX-130602171-7
NR2103--MA0508.2.PRDM1	chr7	39642552	39642561	+	0.000	0.000	Merged-chr7-39642605-22
NR496--MA0508.2.PRDM1	chr12	72533804	72533813	+	0.000	0.000	Merged-chr12-72533880-3
NR148--MA0508.2.PRDM1	chr1	161765936	161765945	-	0.000	0.000	Merged-chr1-161766108-8
NR1862--MA0508.2.PRDM1	chr5	103698385	103698394	+	0.000	0.000	Merged-chr5-103698415-15
NR2097--MA0508.2.PRDM1	chr7	30321742	30321751	-	0.000	0.000	Merged-chr7-30321790-4
NR2368--MA0508.2.PRDM1	chr9	37255598	37255607	+	0.000	0.000	Merged-chr9-37255654-90
NR2334--MA0508.2.PRDM1	chr8	124046022	124046031	+	0.000	0.000	Merged-chr8-124045987-6
NR2129--MA0508.2.PRDM1	chr7	74486365	74486374	-	0.000	0.000	Merged-chr7-74486188-34
NR475--MA0508.2.PRDM1	chr12	41340479	41340488	-	0.000	0.000	Merged-chr12-41340383-18
NR2238--MA0508.2.PRDM1	chr8	8440886	8440895	+	0.000	0.000	Merged-chr8-8440827-49
NR236--MA0508.2.PRDM1	chr10	40462436	40462445	+	0.000	0.000	Merged-chr10-40462347-27
NR1570--MA0508.2.PRDM1	chr3	146699285	146699294	+	0.000	0.000	Merged-chr3-146699153-10
NR2076--MA0508.2.PRDM1	chr6	145285860	145285869	+	0.000	0.000	Merged-chr6-145285757-35
NR2347--MA0508.2.PRDM1	chr9	7509854	7509863	-	0.000	0.000	Merged-chr9-7510063-49
NR1602--MA0508.2.PRDM1	chr4	9631243	9631252	-	0.000	0.000	Merged-chr4-9631004-95
