#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR3191--MA0511.2.RUNX2	chr13	98803826	98803834	+	0.000	0.000	Merged-chr13-98803850-12
NR1226--MA0002.2.RUNX1	chr10	80271338	80271348	+	0.000	0.000	Merged-chr10-80271512-28
NR9545--MA0002.2.RUNX1	chr7	44839664	44839674	+	0.000	0.000	Merged-chr7-44839649-46
NR3429--MA0002.2.RUNX1	chr14	50870659	50870669	-	0.000	0.000	Merged-chr14-50870513-68
NR9819--MA0511.2.RUNX2	chr7	105559273	105559281	+	0.000	0.000	Merged-chr7-105559290-12
NR9531--MA0684.1.RUNX3	chr7	38189539	38189548	-	0.000	0.000	Merged-chr7-38189634-49
NR11145--MA0511.2.RUNX2	chr9	105499568	105499576	-	0.000	0.000	Merged-chr9-105499679-15
NR5076--MA0684.1.RUNX3	chr17	65541199	65541208	+	0.000	0.000	Merged-chr17-65540988-64
NR431--MA0684.1.RUNX3	chr1	125441363	125441372	-	0.000	0.000	Merged-chr1-125441635-68
NR5199--MA0002.2.RUNX1	chr17	86779459	86779469	-	0.000	0.000	Merged-chr17-86779381-46
NR6329--MA0684.1.RUNX3	chr2	114145438	114145447	+	0.000	0.000	Merged-chr2-114145226-70
NR6501--MA0002.2.RUNX1	chr2	144646569	144646579	+	0.000	0.000	Merged-chr2-144646502-21
NR1400--MA0511.2.RUNX2	chr10	111719833	111719841	+	0.000	0.000	Merged-chr10-111719810-23
NR7007--MA0002.2.RUNX1	chr3	101800520	101800530	-	0.000	0.000	Merged-chr3-101800601-48
NR7834--MA0511.2.RUNX2	chr4	132040469	132040477	+	0.000	0.000	Merged-chr4-132040319-80
NR1368--MA0684.1.RUNX3	chr10	98786239	98786248	+	0.000	0.000	Merged-chr10-98786079-74
NR10715--MA0002.2.RUNX1	chr9	22366849	22366859	-	0.000	0.000	Merged-chr9-22366928-17
NR10239--MA0002.2.RUNX1	chr8	36016439	36016449	+	0.000	0.000	Merged-chr8-36016456-26
NR1381--MA0511.2.RUNX2	chr10	107948271	107948279	-	0.000	0.000	Merged-chr10-107948089-22
NR3028--MA0002.2.RUNX1	chr13	63112800	63112810	-	0.000	0.000	Merged-chr13-63112828-16
NR9544--MA0684.1.RUNX3	chr7	44528088	44528097	-	0.000	0.000	Merged-chr7-44527953-37
NR3855--MA0511.2.RUNX2	chr15	34467875	34467883	-	0.000	0.000	Merged-chr15-34468001-12
NR6961--MA0511.2.RUNX2	chr3	95697805	95697813	+	0.000	0.000	Merged-chr3-95697809-14
NR10701--MA0684.1.RUNX3	chr9	15045569	15045578	-	0.000	0.000	Merged-chr9-15045417-72
NR11429--MA0511.2.RUNX2	chrX	77795899	77795907	+	0.000	0.000	Merged-chrX-77795992-119
NR8813--MA0002.2.RUNX1	chr6	38848073	38848083	+	0.000	0.000	Merged-chr6-38848269-41
NR6591--MA0002.2.RUNX1	chr2	160578939	160578949	-	0.000	0.000	Merged-chr2-160578868-32
NR5787--MA0511.2.RUNX2	chr19	34500982	34500990	+	0.000	0.000	Merged-chr19-34500926-32
NR9048--MA0002.2.RUNX1	chr6	97531278	97531288	-	0.000	0.000	Merged-chr6-97531148-12
NR10699--MA0511.2.RUNX2	chr9	15045570	15045578	-	0.000	0.000	Merged-chr9-15045417-72
NR5688--MA0002.2.RUNX1	chr19	16029381	16029391	+	0.000	0.000	Merged-chr19-16029300-45
NR1605--MA0684.1.RUNX3	chr11	17159325	17159334	-	0.000	0.000	Merged-chr11-17159248-29
NR3964--MA0511.2.RUNX2	chr15	64102608	64102616	+	0.000	0.000	Merged-chr15-64102610-48
NR8750--MA0511.2.RUNX2	chr6	16221197	16221205	-	0.000	0.000	Merged-chr6-16221366-31
NR1413--MA0511.2.RUNX2	chr10	116914010	116914018	+	0.000	0.000	Merged-chr10-116914032-56
NR1208--MA0511.2.RUNX2	chr10	77627624	77627632	-	0.000	0.000	Merged-chr10-77627731-24
NR11267--MA0511.2.RUNX2	chr9	118751013	118751021	-	0.000	0.000	Merged-chr9-118750873-69
NR10391--MA0002.2.RUNX1	chr8	84876997	84877007	+	0.000	0.000	Merged-chr8-84876953-6
NR7083--MA0684.1.RUNX3	chr3	116200194	116200203	-	0.000	0.000	Merged-chr3-116200281-40
NR9157--MA0002.2.RUNX1	chr6	120251272	120251282	-	0.000	0.000	Merged-chr6-120251204-14
NR1665--MA0511.2.RUNX2	chr11	43358961	43358969	-	0.000	0.000	Merged-chr11-43358857-56
NR4771--MA0511.2.RUNX2	chr17	6835226	6835234	-	0.000	0.000	Merged-chr17-6835385-15
NR676--MA0002.2.RUNX1	chr1	165837746	165837756	-	0.000	0.000	Merged-chr1-165837829-51
NR3517--MA0002.2.RUNX1	chr14	64666912	64666922	-	0.000	0.000	Merged-chr14-64666873-42
NR947--MA0002.2.RUNX1	chr10	13967574	13967584	-	0.000	0.000	Merged-chr10-13967586-131
NR9094--MA0511.2.RUNX2	chr6	108630934	108630942	-	0.000	0.000	Merged-chr6-108631007-44
NR9636--MA0511.2.RUNX2	chr7	66183652	66183660	+	0.000	0.000	Merged-chr7-66183642-11
NR9907--MA0511.2.RUNX2	chr7	117433803	117433811	+	0.000	0.000	Merged-chr7-117433722-72
NR3498--MA0002.2.RUNX1	chr14	61518777	61518787	-	0.000	0.000	Merged-chr14-61518892-20
NR10295--MA0002.2.RUNX1	chr8	65443498	65443508	-	0.000	0.000	Merged-chr8-65443536-30
NR10509--MA0684.1.RUNX3	chr8	114815564	114815573	+	0.000	0.000	Merged-chr8-114815485-46
NR6831--MA0511.2.RUNX2	chr3	52369415	52369423	+	0.000	0.000	Merged-chr3-52369347-12
NR391--MA0684.1.RUNX3	chr1	95674258	95674267	-	0.000	0.000	Merged-chr1-95674241-20
NR4880--MA0511.2.RUNX2	chr17	27075467	27075475	-	0.000	0.000	Merged-chr17-27075408-16
NR10300--MA0684.1.RUNX3	chr8	66497233	66497242	+	0.000	0.000	Merged-chr8-66497339-52
NR1618--MA0684.1.RUNX3	chr11	21314723	21314732	-	0.000	0.000	Merged-chr11-21314524-33
NR2896--MA0002.2.RUNX1	chr13	29974480	29974490	+	0.000	0.000	Merged-chr13-29974387-22
NR7238--MA0002.2.RUNX1	chr3	138877038	138877048	-	0.000	0.000	Merged-chr3-138877299-79
NR371--MA0002.2.RUNX1	chr1	92080334	92080344	-	0.000	0.000	Merged-chr1-92080187-57
NR9252--MA0684.1.RUNX3	chr6	129586973	129586982	-	0.000	0.000	Merged-chr6-129586992-7
NR10675--MA0002.2.RUNX1	chr9	11514044	11514054	+	0.000	0.000	Merged-chr9-11513974-36
NR9318--MA0684.1.RUNX3	chr6	140314110	140314119	+	0.000	0.000	Merged-chr6-140314075-23
NR11329--MA0684.1.RUNX3	chr9	123498109	123498118	-	0.000	0.000	Merged-chr9-123498117-30
NR5144--MA0002.2.RUNX1	chr17	80621288	80621298	+	0.000	0.000	Merged-chr17-80621176-31
NR5415--MA0002.2.RUNX1	chr18	65312498	65312508	-	0.000	0.000	Merged-chr18-65312505-49
NR10327--MA0002.2.RUNX1	chr8	71286320	71286330	+	0.000	0.000	Merged-chr8-71286337-41
NR4685--MA0002.2.RUNX1	chr16	92867430	92867440	+	0.000	0.000	Merged-chr16-92867582-45
NR10678--MA0511.2.RUNX2	chr9	13518644	13518652	+	0.000	0.000	Merged-chr9-13518732-12
NR7618--MA0002.2.RUNX1	chr4	84977492	84977502	+	0.000	0.000	Merged-chr4-84977391-25
NR275--MA0002.2.RUNX1	chr1	75533616	75533626	-	0.000	0.000	Merged-chr1-75533497-24
NR9279--MA0002.2.RUNX1	chr6	135216761	135216771	-	0.000	0.000	Merged-chr6-135216770-8
NR10042--MA0684.1.RUNX3	chr7	136255793	136255802	-	0.000	0.000	Merged-chr7-136255803-24
NR8901--MA0002.2.RUNX1	chr6	54810082	54810092	-	0.000	0.000	Merged-chr6-54809972-75
NR403--MA0002.2.RUNX1	chr1	98130231	98130241	+	0.000	0.000	Merged-chr1-98130284-39
NR9013--MA0684.1.RUNX3	chr6	86849016	86849025	+	0.000	0.000	Merged-chr6-86849148-101
NR1688--MA0002.2.RUNX1	chr11	48935110	48935120	-	0.000	0.000	Merged-chr11-48935044-1
NR9265--MA0684.1.RUNX3	chr6	130430748	130430757	-	0.000	0.000	Merged-chr6-130430787-10
NR6331--MA0002.2.RUNX1	chr2	114654892	114654902	-	0.000	0.000	Merged-chr2-114654748-80
NR10959--MA0002.2.RUNX1	chr9	72448295	72448305	+	0.000	0.000	Merged-chr9-72448248-17
NR6997--MA0002.2.RUNX1	chr3	101236383	101236393	+	0.000	0.000	Merged-chr3-101236423-33
NR2495--MA0002.2.RUNX1	chr12	85629689	85629699	-	0.000	0.000	Merged-chr12-85629839-48
NR9615--MA0511.2.RUNX2	chr7	63897394	63897402	+	0.000	0.000	Merged-chr7-63897284-74
NR7664--MA0511.2.RUNX2	chr4	99829122	99829130	+	0.000	0.000	Merged-chr4-99829355-64
NR3748--MA0002.2.RUNX1	chr14	121422875	121422885	+	0.000	0.000	Merged-chr14-121422910-45
NR9516--MA0002.2.RUNX1	chr7	30402557	30402567	-	0.000	0.000	Merged-chr7-30402572-19
NR9374--MA0684.1.RUNX3	chr6	145135134	145135143	+	0.000	0.000	Merged-chr6-145134971-3
NR4703--MA0684.1.RUNX3	chr16	93788060	93788069	+	0.000	0.000	Merged-chr16-93787829-41
NR10548--MA0511.2.RUNX2	chr8	119605005	119605013	+	0.000	0.000	Merged-chr8-119605101-59
NR3258--MA0684.1.RUNX3	chr13	109190439	109190448	-	0.000	0.000	Merged-chr13-109190361-18
NR11259--MA0511.2.RUNX2	chr9	117967893	117967901	+	0.000	0.000	Merged-chr9-117967761-11
NR1035--MA0002.2.RUNX1	chr10	37207190	37207200	-	0.000	0.000	Merged-chr10-37207171-14
NR8580--MA0511.2.RUNX2	chr5	136199098	136199106	-	0.000	0.000	Merged-chr5-136198958-58
NR2861--MA0684.1.RUNX3	chr13	21735149	21735158	+	0.000	0.000	Merged-chr13-21734996-112
NR4393--MA0002.2.RUNX1	chr16	32430850	32430860	+	0.000	0.000	Merged-chr16-32431022-65
NR10591--MA0511.2.RUNX2	chr8	124242430	124242438	-	0.000	0.000	Merged-chr8-124242348-54
NR4664--MA0002.2.RUNX1	chr16	91789929	91789939	-	0.000	0.000	Merged-chr16-91789935-50
NR7869--MA0684.1.RUNX3	chr4	135045247	135045256	-	0.000	0.000	Merged-chr4-135045078-6
NR4935--MA0002.2.RUNX1	chr17	34210811	34210821	+	0.000	0.000	Merged-chr17-34210763-36
NR10386--MA0511.2.RUNX2	chr8	84601582	84601590	+	0.000	0.000	Merged-chr8-84601669-24
NR2984--MA0002.2.RUNX1	chr13	49298749	49298759	-	0.000	0.000	Merged-chr13-49298668-48
NR5047--MA0684.1.RUNX3	chr17	56717937	56717946	-	0.000	0.000	Merged-chr17-56717989-1
NR2113--MA0002.2.RUNX1	chr11	108068735	108068745	-	0.000	0.000	Merged-chr11-108068595-28
NR7184--MA0684.1.RUNX3	chr3	133506492	133506501	+	0.000	0.000	Merged-chr3-133506515-24
NR5775--MA0684.1.RUNX3	chr19	33223078	33223087	-	0.000	0.000	Merged-chr19-33223001-63
NR2841--MA0002.2.RUNX1	chr13	19518143	19518153	-	0.000	0.000	Merged-chr13-19518295-27
NR4872--MA0511.2.RUNX2	chr17	26503464	26503472	+	0.000	0.000	Merged-chr17-26503617-1
NR111--MA0002.2.RUNX1	chr1	40514486	40514496	+	0.000	0.000	Merged-chr1-40514352-9
NR1068--MA0684.1.RUNX3	chr10	42068768	42068777	+	0.000	0.000	Merged-chr10-42068766-23
NR3303--MA0511.2.RUNX2	chr13	113466609	113466617	+	0.000	0.000	Merged-chr13-113466791-29
NR7164--MA0002.2.RUNX1	chr3	130788180	130788190	+	0.000	0.000	Merged-chr3-130788036-10
NR7435--MA0002.2.RUNX1	chr4	21842815	21842825	-	0.000	0.000	Merged-chr4-21842691-16
NR2222--MA0002.2.RUNX1	chr11	119076033	119076043	-	0.000	0.000	Merged-chr11-119075997-48
NR6853--MA0684.1.RUNX3	chr3	59101838	59101847	-	0.000	0.000	Merged-chr3-59101725-81
NR10001--MA0002.2.RUNX1	chr7	131469511	131469521	-	0.000	0.000	Merged-chr7-131469591-22
NR6976--MA0002.2.RUNX1	chr3	97227816	97227826	-	0.000	0.000	Merged-chr3-97227659-93
NR9638--MA0002.2.RUNX1	chr7	66183700	66183710	-	0.000	0.000	Merged-chr7-66183642-11
NR2745--MA0002.2.RUNX1	chr12	115790572	115790582	+	0.000	0.000	Merged-chr12-115790731-44
NR220--MA0002.2.RUNX1	chr1	62834665	62834675	-	0.000	0.000	Merged-chr1-62834522-10
NR7643--MA0511.2.RUNX2	chr4	89524893	89524901	-	0.000	0.000	Merged-chr4-89524865-47
NR6291--MA0002.2.RUNX1	chr2	102874128	102874138	+	0.000	0.000	Merged-chr2-102874098-65
NR5758--MA0511.2.RUNX2	chr19	32172913	32172921	-	0.000	0.000	Merged-chr19-32172725-56
NR2060--MA0002.2.RUNX1	chr11	104582887	104582897	+	0.000	0.000	Merged-chr11-104582835-39
NR2331--MA0002.2.RUNX1	chr12	31997052	31997062	-	0.000	0.000	Merged-chr12-31997107-37
NR1305--MA0684.1.RUNX3	chr10	91167021	91167030	+	0.000	0.000	Merged-chr10-91167120-36
NR2953--MA0511.2.RUNX2	chr13	41302822	41302830	+	0.000	0.000	Merged-chr13-41302926-20
NR3108--MA0002.2.RUNX1	chr13	86046840	86046850	+	0.000	0.000	Merged-chr13-86046681-54
NR5344--MA0511.2.RUNX2	chr18	54970185	54970193	+	0.000	0.000	Merged-chr18-54970177-21
NR809--MA0002.2.RUNX1	chr1	183933979	183933989	+	0.000	0.000	Merged-chr1-183934010-20
NR1157--MA0002.2.RUNX1	chr10	67643708	67643718	+	0.000	0.000	Merged-chr10-67643830-49
NR9476--MA0002.2.RUNX1	chr7	17009744	17009754	+	0.000	0.000	Merged-chr7-17009648-32
NR4263--MA0002.2.RUNX1	chr16	11455903	11455913	+	0.000	0.000	Merged-chr16-11455887-1
NR6770--MA0511.2.RUNX2	chr3	21911281	21911289	-	0.000	0.000	Merged-chr3-21911228-38
NR10527--MA0511.2.RUNX2	chr8	116636191	116636199	-	0.000	0.000	Merged-chr8-116636119-54
NR6942--MA0002.2.RUNX1	chr3	93562573	93562583	-	0.000	0.000	Merged-chr3-93562558-40
NR2983--MA0684.1.RUNX3	chr13	49247424	49247433	-	0.000	0.000	Merged-chr13-49247553-2
NR5374--MA0684.1.RUNX3	chr18	56871869	56871878	+	0.000	0.000	Merged-chr18-56871976-16
NR7448--MA0002.2.RUNX1	chr4	24569310	24569320	+	0.000	0.000	Merged-chr4-24569297-30
NR8480--MA0684.1.RUNX3	chr5	115538822	115538831	-	0.000	0.000	Merged-chr5-115538781-31
NR9479--MA0511.2.RUNX2	chr7	19320173	19320181	-	0.000	0.000	Merged-chr7-19320017-68
NR11440--MA0002.2.RUNX1	chrX	96019842	96019852	-	0.000	0.000	Merged-chrX-96019802-20
NR1222--MA0511.2.RUNX2	chr10	80270198	80270206	-	0.000	0.000	Merged-chr10-80270188-4
NR10143--MA0684.1.RUNX3	chr8	9811411	9811420	+	0.000	0.000	Merged-chr8-9811294-16
NR3469--MA0002.2.RUNX1	chr14	55764672	55764682	+	0.000	0.000	Merged-chr14-55764891-26
NR10209--MA0684.1.RUNX3	chr8	25423430	25423439	+	0.000	0.000	Merged-chr8-25423506-11
NR3326--MA0002.2.RUNX1	chr13	119657277	119657287	+	0.000	0.000	Merged-chr13-119657260-10
NR7020--MA0684.1.RUNX3	chr3	104784375	104784384	-	0.000	0.000	Merged-chr3-104784379-10
NR4481--MA0002.2.RUNX1	chr16	50381232	50381242	-	0.000	0.000	Merged-chr16-50381174-26
NR6684--MA0002.2.RUNX1	chr2	174069772	174069782	+	0.000	0.000	Merged-chr2-174069813-20
NR5115--MA0002.2.RUNX1	chr17	73893461	73893471	+	0.000	0.000	Merged-chr17-73893477-27
NR594--MA0002.2.RUNX1	chr1	155507012	155507022	+	0.000	0.000	Merged-chr1-155506901-12
NR8221--MA0002.2.RUNX1	chr5	65910519	65910529	+	0.000	0.000	Merged-chr5-65910646-31
NR550--MA0511.2.RUNX2	chr1	144355778	144355786	-	0.000	0.000	Merged-chr1-144355940-45
NR6892--MA0511.2.RUNX2	chr3	84679038	84679046	+	0.000	0.000	Merged-chr3-84679070-45
NR994--MA0684.1.RUNX3	chr10	21204900	21204909	+	0.000	0.000	Merged-chr10-21204743-52
NR11089--MA0511.2.RUNX2	chr9	94993741	94993749	+	0.000	0.000	Merged-chr9-94993790-30
NR8473--MA0002.2.RUNX1	chr5	115235863	115235873	+	0.000	0.000	Merged-chr5-115235706-91
NR6793--MA0002.2.RUNX1	chr3	31061400	31061410	+	0.000	0.000	Merged-chr3-31061473-66
NR1136--MA0002.2.RUNX1	chr10	60305254	60305264	-	0.000	0.000	Merged-chr10-60305430-32
NR3372--MA0511.2.RUNX2	chr14	25534438	25534446	-	0.000	0.000	Merged-chr14-25534315-15
NR2291--MA0002.2.RUNX1	chr12	16584080	16584090	-	0.000	0.000	Merged-chr12-16584018-49
NR974--MA0002.2.RUNX1	chr10	19718826	19718836	-	0.000	0.000	Merged-chr10-19718932-45
NR8996--MA0002.2.RUNX1	chr6	83066176	83066186	-	0.000	0.000	Merged-chr6-83066192-22
NR10407--MA0002.2.RUNX1	chr8	88293771	88293781	+	0.000	0.000	Merged-chr8-88293881-56
NR7033--MA0684.1.RUNX3	chr3	107846367	107846376	+	0.000	0.000	Merged-chr3-107846367-77
NR11291--MA0002.2.RUNX1	chr9	119894834	119894844	-	0.000	0.000	Merged-chr9-119894778-5
NR25--MA0002.2.RUNX1	chr1	13382671	13382681	-	0.000	0.000	Merged-chr1-13382643-29
NR4721--MA0511.2.RUNX2	chr16	95827481	95827489	-	0.000	0.000	Merged-chr16-95827524-61
NR626--MA0002.2.RUNX1	chr1	160800030	160800040	+	0.000	0.000	Merged-chr1-160800185-22
NR2836--MA0511.2.RUNX2	chr13	17627285	17627293	+	0.000	0.000	Merged-chr13-17627310-18
NR4080--MA0002.2.RUNX1	chr15	80897004	80897014	-	0.000	0.000	Merged-chr15-80896921-31
NR7679--MA0002.2.RUNX1	chr4	101349790	101349800	-	0.000	0.000	Merged-chr4-101349658-19
NR960--MA0684.1.RUNX3	chr10	17565507	17565516	-	0.000	0.000	Merged-chr10-17565414-37
NR8710--MA0002.2.RUNX1	chr5	151252478	151252488	-	0.000	0.000	Merged-chr5-151252284-65
NR6392--MA0002.2.RUNX1	chr2	127086416	127086426	+	0.000	0.000	Merged-chr2-127086449-24
NR5859--MA0511.2.RUNX2	chr19	55263227	55263235	+	0.000	0.000	Merged-chr19-55263325-12
NR2161--MA0002.2.RUNX1	chr11	113194938	113194948	-	0.000	0.000	Merged-chr11-113194847-27
NR8472--MA0684.1.RUNX3	chr5	115085108	115085117	+	0.000	0.000	Merged-chr5-115085067-14
NR639--MA0002.2.RUNX1	chr1	162586524	162586534	+	0.000	0.000	Merged-chr1-162586427-19
NR6520--MA0002.2.RUNX1	chr2	148689696	148689706	+	0.000	0.000	Merged-chr2-148689712-32
NR10006--MA0002.2.RUNX1	chr7	132226872	132226882	-	0.000	0.000	Merged-chr7-132226896-31
NR4093--MA0002.2.RUNX1	chr15	84178915	84178925	-	0.000	0.000	Merged-chr15-84178956-9
NR324--MA0511.2.RUNX2	chr1	85861611	85861619	+	0.000	0.000	Merged-chr1-85861606-9
NR4635--MA0002.2.RUNX1	chr16	90331260	90331270	-	0.000	0.000	Merged-chr16-90331129-56
NR4906--MA0002.2.RUNX1	chr17	31207400	31207410	+	0.000	0.000	Merged-chr17-31207385-5
NR5075--MA0002.2.RUNX1	chr17	65541199	65541209	-	0.000	0.000	Merged-chr17-65540988-64
NR3609--MA0684.1.RUNX3	chr14	73290033	73290042	-	0.000	0.000	Merged-chr14-73290096-39
NR430--MA0002.2.RUNX1	chr1	125441362	125441372	+	0.000	0.000	Merged-chr1-125441635-68
NR2640--MA0511.2.RUNX2	chr12	107731129	107731137	+	0.000	0.000	Merged-chr12-107731071-10
NR7648--MA0511.2.RUNX2	chr4	95778035	95778043	+	0.000	0.000	Merged-chr4-95778146-34
NR9106--MA0684.1.RUNX3	chr6	113681491	113681500	-	0.000	0.000	Merged-chr6-113681431-40
NR6838--MA0002.2.RUNX1	chr3	52840356	52840366	+	0.000	0.000	Merged-chr3-52840378-53
NR8581--MA0684.1.RUNX3	chr5	136199097	136199106	-	0.000	0.000	Merged-chr5-136198958-58
NR2336--MA0002.2.RUNX1	chr12	32292954	32292964	-	0.000	0.000	Merged-chr12-32292976-7
NR10387--MA0684.1.RUNX3	chr8	84601582	84601591	+	0.000	0.000	Merged-chr8-84601669-24
NR7234--MA0511.2.RUNX2	chr3	138753297	138753305	-	0.000	0.000	Merged-chr3-138753245-27
NR748--MA0002.2.RUNX1	chr1	177257423	177257433	-	0.000	0.000	Merged-chr1-177257476-7
NR2859--MA0002.2.RUNX1	chr13	21579853	21579863	+	0.000	0.000	Merged-chr13-21579773-26
NR877--MA0684.1.RUNX3	chr1	191599442	191599451	-	0.000	0.000	Merged-chr1-191599385-45
NR334--MA0002.2.RUNX1	chr1	87607792	87607802	-	0.000	0.000	Merged-chr1-87607643-76
NR2815--MA0511.2.RUNX2	chr13	9760321	9760329	-	0.000	0.000	Merged-chr13-9760247-44
NR6676--MA0002.2.RUNX1	chr2	172440378	172440388	-	0.000	0.000	Merged-chr2-172440509-70
NR7387--MA0002.2.RUNX1	chr4	6817533	6817543	-	0.000	0.000	Merged-chr4-6817535-45
NR7343--MA0511.2.RUNX2	chr3	153764809	153764817	+	0.000	0.000	Merged-chr3-153764846-117
NR586--MA0002.2.RUNX1	chr1	153617529	153617539	-	0.000	0.000	Merged-chr1-153617501-53
NR8879--MA0002.2.RUNX1	chr6	51073693	51073703	-	0.000	0.000	Merged-chr6-51073558-17
NR7409--MA0511.2.RUNX2	chr4	11494798	11494806	-	0.000	0.000	Merged-chr4-11494764-12
NR4919--MA0002.2.RUNX1	chr17	31835849	31835859	-	0.000	0.000	Merged-chr17-31835834-15
NR3556--MA0684.1.RUNX3	chr14	67887047	67887056	+	0.000	0.000	Merged-chr14-67887091-21
NR10353--MA0684.1.RUNX3	chr8	77461472	77461481	+	0.000	0.000	Merged-chr8-77461517-9
NR5931--MA0002.2.RUNX1	chr2	6379922	6379932	-	0.000	0.000	Merged-chr2-6380083-49
NR10479--MA0511.2.RUNX2	chr8	110813284	110813292	+	0.000	0.000	Merged-chr8-110813191-16
NR4171--MA0511.2.RUNX2	chr15	97836699	97836707	-	0.000	0.000	Merged-chr15-97837039-84
NR4072--MA0002.2.RUNX1	chr15	79774383	79774393	-	0.000	0.000	Merged-chr15-79774475-53
NR8530--MA0511.2.RUNX2	chr5	124446589	124446597	-	0.000	0.000	Merged-chr5-124446724-12
