#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR60--MA0463.1.Bcl6	chr1	86394525	86394538	+	0.000	0.000	Merged-chr1-86394473-34
NR1080--MA0731.1.BCL6B	chr19	46014589	46014605	+	0.000	0.000	Merged-chr19-46014734-21
NR1887--MA0463.1.Bcl6	chr6	120483384	120483397	+	0.000	0.000	Merged-chr6-120483394-54
NR1669--MA0731.1.BCL6B	chr5	65867462	65867478	-	0.000	0.000	Merged-chr5-65867573-52
NR1793--MA0463.1.Bcl6	chr6	31088367	31088380	-	0.000	0.000	Merged-chr6-31088452-52
NR1547--MA0463.1.Bcl6	chr4	107006366	107006379	-	0.000	0.000	Merged-chr4-107006366-21
NR1565--MA0463.1.Bcl6	chr4	121002613	121002626	+	0.000	0.000	Merged-chr4-121002570-50
NR1104--MA0463.1.Bcl6	chr2	18765846	18765859	+	0.000	0.000	Merged-chr2-18765910-35
NR1583--MA0463.1.Bcl6	chr4	135155554	135155567	-	0.000	0.000	Merged-chr4-135155615-17
NR1757--MA0731.1.BCL6B	chr5	138264029	138264045	-	0.000	0.000	Merged-chr5-138263904-55
NR291--MA0731.1.BCL6B	chr10	93985650	93985666	+	0.000	0.000	Merged-chr10-93985650-27
NR1181--MA0731.1.BCL6B	chr2	79005093	79005109	-	0.000	0.000	Merged-chr2-79004997-23
NR566--MA0463.1.Bcl6	chr13	55018513	55018526	-	0.000	0.000	Merged-chr13-55018443-69
NR1364--MA0463.1.Bcl6	chr3	100422753	100422766	-	0.000	0.000	Merged-chr3-100422621-27
NR1117--MA0731.1.BCL6B	chr2	26647169	26647185	+	0.000	0.000	Merged-chr2-26647037-34
NR968--MA0731.1.BCL6B	chr17	86323625	86323641	-	0.000	0.000	Merged-chr17-86323453-65
NR374--MA0463.1.Bcl6	chr11	71996080	71996093	-	0.000	0.000	Merged-chr11-71996185-51
NR411--MA0731.1.BCL6B	chr11	114068629	114068645	-	0.000	0.000	Merged-chr11-114068502-5
NR392--MA0463.1.Bcl6	chr11	95666808	95666821	+	0.000	0.000	Merged-chr11-95666991-65
NR1190--MA0463.1.Bcl6	chr2	93199062	93199075	+	0.000	0.000	Merged-chr2-93199242-68
NR676--MA0731.1.BCL6B	chr14	57680130	57680146	-	0.000	0.000	Merged-chr14-57680165-28
NR1056--MA0463.1.Bcl6	chr19	10980044	10980057	+	0.000	0.000	Merged-chr19-10979908-59
NR1844--MA0463.1.Bcl6	chr6	88939542	88939555	+	0.000	0.000	Merged-chr6-88939617-36
NR894--MA0731.1.BCL6B	chr16	91035980	91035996	+	0.000	0.000	Merged-chr16-91036080-23
NR2146--MA0463.1.Bcl6	chr8	72285484	72285497	+	0.000	0.000	Merged-chr8-72285397-19
NR173--MA0463.1.Bcl6	chr1	170853712	170853725	+	0.000	0.000	Merged-chr1-170853758-47
NR1289--MA0463.1.Bcl6	chr2	179975347	179975360	+	0.000	0.000	Merged-chr2-179975451-14
NR1069--MA0731.1.BCL6B	chr19	34290519	34290535	-	0.000	0.000	Merged-chr19-34290594-61
NR8--MA0731.1.BCL6B	chr1	20740780	20740796	-	0.000	0.000	Merged-chr1-20740658-39
NR729--MA0463.1.Bcl6	chr14	103850544	103850557	+	0.000	0.000	Merged-chr14-103850623-36
NR1894--MA0463.1.Bcl6	chr6	127103099	127103112	+	0.000	0.000	Merged-chr6-127103000-20
NR504--MA0731.1.BCL6B	chr12	105476722	105476738	-	0.000	0.000	Merged-chr12-105476621-32
NR2344--MA0731.1.BCL6B	chrX	159257257	159257273	-	0.000	0.000	Merged-chrX-159257265-34
NR1442--MA0463.1.Bcl6	chr3	152886882	152886895	+	0.000	0.000	Merged-chr3-152886887-20
NR1648--MA0463.1.Bcl6	chr5	32714042	32714055	+	0.000	0.000	Merged-chr5-32713886-83
NR868--MA0463.1.Bcl6	chr16	52468700	52468713	+	0.000	0.000	Merged-chr16-52468577-24
NR2182--MA0731.1.BCL6B	chr8	109917559	109917575	+	0.000	0.000	Merged-chr8-109917447-24
NR865--MA0731.1.BCL6B	chr16	51878441	51878457	+	0.000	0.000	Merged-chr16-51878445-21
NR2310--MA0731.1.BCL6B	chr9	118361240	118361256	+	0.000	0.000	Merged-chr9-118361138-26
NR407--MA0463.1.Bcl6	chr11	109758841	109758854	+	0.000	0.000	Merged-chr11-109758787-36
NR783--MA0463.1.Bcl6	chr15	58685161	58685174	-	0.000	0.000	Merged-chr15-58685209-108
NR878--MA0731.1.BCL6B	chr16	64770965	64770981	-	0.000	0.000	Merged-chr16-64770922-80
NR331--MA0463.1.Bcl6	chr11	4497614	4497627	-	0.000	0.000	Merged-chr11-4497649-38
NR987--MA0731.1.BCL6B	chr18	36525746	36525762	+	0.000	0.000	Merged-chr18-36525718-16
NR1241--MA0463.1.Bcl6	chr2	144198942	144198955	+	0.000	0.000	Merged-chr2-144198804-26
NR667--MA0463.1.Bcl6	chr14	54165193	54165206	+	0.000	0.000	Merged-chr14-54165125-24
NR1362--MA0463.1.Bcl6	chr3	96576887	96576900	+	0.000	0.000	Merged-chr3-96576802-53
NR2331--MA0463.1.Bcl6	chrX	59999515	59999528	-	0.000	0.000	Merged-chrX-59999627-14
NR1116--MA0463.1.Bcl6	chr2	26647171	26647184	+	0.000	0.000	Merged-chr2-26647037-34
NR1586--MA0463.1.Bcl6	chr4	136031602	136031615	+	0.000	0.000	Merged-chr4-136031447-41
NR591--MA0463.1.Bcl6	chr13	81685149	81685162	+	0.000	0.000	Merged-chr13-81685096-36
NR1492--MA0463.1.Bcl6	chr4	55442460	55442473	+	0.000	0.000	Merged-chr4-55442539-69
NR1801--MA0463.1.Bcl6	chr6	38360235	38360248	-	0.000	0.000	Merged-chr6-38360325-47
NR2318--MA0463.1.Bcl6	chr9	124068594	124068607	-	0.000	0.000	Merged-chr9-124068612-53
NR2215--MA0463.1.Bcl6	chr9	14244617	14244630	-	0.000	0.000	Merged-chr9-14244719-42
NR185--MA0731.1.BCL6B	chr1	178187462	178187478	+	0.000	0.000	Merged-chr1-178187385-1
NR1088--MA0731.1.BCL6B	chr2	3753874	3753890	-	0.000	0.000	Merged-chr2-3753899-45
NR1197--MA0731.1.BCL6B	chr2	103485213	103485229	-	0.000	0.000	Merged-chr2-103485172-63
NR2023--MA0731.1.BCL6B	chr7	101310836	101310852	-	0.000	0.000	Merged-chr7-101310709-58
NR706--MA0731.1.BCL6B	chr14	73290157	73290173	+	0.000	0.000	Merged-chr14-73290096-39
NR914--MA0463.1.Bcl6	chr17	12165427	12165440	+	0.000	0.000	Merged-chr17-12165459-54
NR359--MA0463.1.Bcl6	chr11	58171728	58171741	+	0.000	0.000	Merged-chr11-58171716-43
NR1054--MA0463.1.Bcl6	chr19	10880822	10880835	+	0.000	0.000	Merged-chr19-10881047-16
NR2241--MA0731.1.BCL6B	chr9	50603792	50603808	+	0.000	0.000	Merged-chr9-50603911-60
NR950--MA0463.1.Bcl6	chr17	57126000	57126013	-	0.000	0.000	Merged-chr17-57126152-41
NR1184--MA0463.1.Bcl6	chr2	84827737	84827750	-	0.000	0.000	Merged-chr2-84827743-5
NR1963--MA0463.1.Bcl6	chr7	28381221	28381234	+	0.000	0.000	Merged-chr7-28381197-44
NR149--MA0463.1.Bcl6	chr1	160054533	160054546	+	0.000	0.000	Merged-chr1-160054348-51
NR1068--MA0463.1.Bcl6	chr19	34290522	34290535	+	0.000	0.000	Merged-chr19-34290594-61
NR1968--MA0463.1.Bcl6	chr7	38090191	38090204	-	0.000	0.000	Merged-chr7-38090413-30
NR2055--MA0463.1.Bcl6	chr7	116484374	116484387	-	0.000	0.000	Merged-chr7-116484434-42
NR400--MA0463.1.Bcl6	chr11	102430374	102430387	-	0.000	0.000	Merged-chr11-102430460-50
NR1874--MA0463.1.Bcl6	chr6	115946797	115946810	+	0.000	0.000	Merged-chr6-115946621-13
NR2180--MA0731.1.BCL6B	chr8	107503458	107503474	-	0.000	0.000	Merged-chr8-107503641-5
NR2246--MA0731.1.BCL6B	chr9	57762915	57762931	+	0.000	0.000	Merged-chr9-57762825-14
NR2116--MA0731.1.BCL6B	chr8	25264248	25264264	-	0.000	0.000	Merged-chr8-25264436-22
NR70--MA0463.1.Bcl6	chr1	91062562	91062575	+	0.000	0.000	Merged-chr1-91062639-48
NR414--MA0463.1.Bcl6	chr11	116623505	116623518	+	0.000	0.000	Merged-chr11-116623453-11
NR893--MA0463.1.Bcl6	chr16	90998098	90998111	+	0.000	0.000	Merged-chr16-90997948-16
NR320--MA0463.1.Bcl6	chr10	122652352	122652365	-	0.000	0.000	Merged-chr10-122652152-42
NR2096--MA0463.1.Bcl6	chr7	140193006	140193019	-	0.000	0.000	Merged-chr7-140193008-50
NR1333--MA0463.1.Bcl6	chr3	79210354	79210367	+	0.000	0.000	Merged-chr3-79210417-27
NR683--MA0463.1.Bcl6	chr14	65393682	65393695	-	0.000	0.000	Merged-chr14-65393664-9
NR1997--MA0731.1.BCL6B	chr7	74697100	74697116	+	0.000	0.000	Merged-chr7-74696900-78
NR2313--MA0731.1.BCL6B	chr9	122150686	122150702	-	0.000	0.000	Merged-chr9-122150542-33
NR437--MA0463.1.Bcl6	chr12	33235889	33235902	+	0.000	0.000	Merged-chr12-33235849-22
NR2108--MA0731.1.BCL6B	chr8	13686698	13686714	+	0.000	0.000	Merged-chr8-13686705-81
NR1854--MA0731.1.BCL6B	chr6	97148714	97148730	-	0.000	0.000	Merged-chr6-97148793-82
NR2213--MA0463.1.Bcl6	chr9	13323629	13323642	+	0.000	0.000	Merged-chr9-13323532-71
NR2326--MA0731.1.BCL6B	chrX	20364486	20364502	+	0.000	0.000	Merged-chrX-20364570-48
NR2343--MA0463.1.Bcl6	chrX	159257260	159257273	+	0.000	0.000	Merged-chrX-159257265-34
NR1291--MA0731.1.BCL6B	chr2	181375967	181375983	+	0.000	0.000	Merged-chr2-181375912-7
NR1383--MA0463.1.Bcl6	chr3	115888037	115888050	+	0.000	0.000	Merged-chr3-115888038-82
NR236--MA0463.1.Bcl6	chr10	42897825	42897838	+	0.000	0.000	Merged-chr10-42897771-65
NR1813--MA0463.1.Bcl6	chr6	54925914	54925927	+	0.000	0.000	Merged-chr6-54926058-40
NR142--MA0463.1.Bcl6	chr1	155050360	155050373	-	0.000	0.000	Merged-chr1-155050378-11
NR2227--MA0463.1.Bcl6	chr9	32915849	32915862	+	0.000	0.000	Merged-chr9-32915809-45
NR375--MA0463.1.Bcl6	chr11	72961951	72961964	+	0.000	0.000	Merged-chr11-72961970-1
NR1270--MA0731.1.BCL6B	chr2	167975579	167975595	+	0.000	0.000	Merged-chr2-167975780-28
NR1943--MA0463.1.Bcl6	chr6	148436699	148436712	+	0.000	0.000	Merged-chr6-148436541-68
NR2047--MA0731.1.BCL6B	chr7	112210214	112210230	+	0.000	0.000	Merged-chr7-112210103-38
NR1809--MA0463.1.Bcl6	chr6	49128445	49128458	-	0.000	0.000	Merged-chr6-49128471-29
NR167--MA0731.1.BCL6B	chr1	167871994	167872010	-	0.000	0.000	Merged-chr1-167872060-3
NR1262--MA0731.1.BCL6B	chr2	163401537	163401553	+	0.000	0.000	Merged-chr2-163401452-24
NR308--MA0731.1.BCL6B	chr10	111478964	111478980	-	0.000	0.000	Merged-chr10-111478939-8
NR2005--MA0731.1.BCL6B	chr7	84164954	84164970	+	0.000	0.000	Merged-chr7-84165071-54
NR524--MA0463.1.Bcl6	chr12	117553514	117553527	-	0.000	0.000	Merged-chr12-117553468-60
NR1537--MA0463.1.Bcl6	chr4	101261210	101261223	+	0.000	0.000	Merged-chr4-101261063-33
NR2197--MA0463.1.Bcl6	chr8	122556837	122556850	-	0.000	0.000	Merged-chr8-122556749-52
NR560--MA0463.1.Bcl6	chr13	44469934	44469947	-	0.000	0.000	Merged-chr13-44469890-10
NR1309--MA0463.1.Bcl6	chr3	38497052	38497065	-	0.000	0.000	Merged-chr3-38497155-35
NR1594--MA0731.1.BCL6B	chr4	145246637	145246653	+	0.000	0.000	Merged-chr4-145246720-73
NR2202--MA0463.1.Bcl6	chr8	126848548	126848561	-	0.000	0.000	Merged-chr8-126848736-3
NR69--MA0463.1.Bcl6	chr1	91024162	91024175	-	0.000	0.000	Merged-chr1-91024136-16
NR668--MA0463.1.Bcl6	chr14	55025778	55025791	+	0.000	0.000	Merged-chr14-55025661-27
NR574--MA0463.1.Bcl6	chr13	63223659	63223672	-	0.000	0.000	Merged-chr13-63223423-77
NR1229--MA0463.1.Bcl6	chr2	129873720	129873733	+	0.000	0.000	Merged-chr2-129873690-22
NR1014--MA0463.1.Bcl6	chr18	67290582	67290595	+	0.000	0.000	Merged-chr18-67290612-3
NR1225--MA0731.1.BCL6B	chr2	125735759	125735775	-	0.000	0.000	Merged-chr2-125735684-57
NR1682--MA0731.1.BCL6B	chr5	77285928	77285944	+	0.000	0.000	Merged-chr5-77285904-24
NR1605--MA0731.1.BCL6B	chr4	147848496	147848512	-	0.000	0.000	Merged-chr4-147848412-69
NR2216--MA0463.1.Bcl6	chr9	20581378	20581391	-	0.000	0.000	Merged-chr9-20581482-47
NR1932--MA0463.1.Bcl6	chr6	145104353	145104366	-	0.000	0.000	Merged-chr6-145104452-21
NR1377--MA0463.1.Bcl6	chr3	108718084	108718097	+	0.000	0.000	Merged-chr3-108718262-42
NR2252--MA0463.1.Bcl6	chr9	63749249	63749262	+	0.000	0.000	Merged-chr9-63749415-13
NR1395--MA0463.1.Bcl6	chr3	126596843	126596856	+	0.000	0.000	Merged-chr3-126597082-207
NR1180--MA0463.1.Bcl6	chr2	79005096	79005109	+	0.000	0.000	Merged-chr2-79004997-23
NR1294--MA0731.1.BCL6B	chr3	9786798	9786814	-	0.000	0.000	Merged-chr3-9786855-28
NR1610--MA0463.1.Bcl6	chr4	150799032	150799045	-	0.000	0.000	Merged-chr4-150799073-80
NR154--MA0463.1.Bcl6	chr1	162565200	162565213	-	0.000	0.000	Merged-chr1-162565187-22
NR784--MA0731.1.BCL6B	chr15	58685161	58685177	+	0.000	0.000	Merged-chr15-58685209-108
NR1722--MA0463.1.Bcl6	chr5	105145863	105145876	+	0.000	0.000	Merged-chr5-105145750-96
NR370--MA0731.1.BCL6B	chr11	69921667	69921683	+	0.000	0.000	Merged-chr11-69921533-99
NR1055--MA0731.1.BCL6B	chr19	10880819	10880835	+	0.000	0.000	Merged-chr19-10881047-16
NR1946--MA0463.1.Bcl6	chr6	149193847	149193860	+	0.000	0.000	Merged-chr6-149193776-50
NR1164--MA0731.1.BCL6B	chr2	59441660	59441676	-	0.000	0.000	Merged-chr2-59441702-10
NR402--MA0731.1.BCL6B	chr11	105124229	105124245	-	0.000	0.000	Merged-chr11-105124264-12
NR2060--MA0463.1.Bcl6	chr7	120727725	120727738	-	0.000	0.000	Merged-chr7-120727783-30
NR492--MA0731.1.BCL6B	chr12	94115005	94115021	-	0.000	0.000	Merged-chr12-94114920-18
NR1828--MA0731.1.BCL6B	chr6	67127941	67127957	+	0.000	0.000	Merged-chr6-67128007-16
NR835--MA0463.1.Bcl6	chr16	21412734	21412747	-	0.000	0.000	Merged-chr16-21412806-39
NR1969--MA0463.1.Bcl6	chr7	39544308	39544321	+	0.000	0.000	Merged-chr7-39544508-62
NR885--MA0731.1.BCL6B	chr16	76323590	76323606	-	0.000	0.000	Merged-chr16-76323771-64
NR401--MA0463.1.Bcl6	chr11	104630448	104630461	-	0.000	0.000	Merged-chr11-104630373-60
NR871--MA0463.1.Bcl6	chr16	55822246	55822259	-	0.000	0.000	Merged-chr16-55822144-53
NR513--MA0463.1.Bcl6	chr12	112623989	112624002	-	0.000	0.000	Merged-chr12-112623897-8
NR1013--MA0731.1.BCL6B	chr18	65395665	65395681	-	0.000	0.000	Merged-chr18-65395765-31
NR509--MA0463.1.Bcl6	chr12	108765905	108765918	+	0.000	0.000	Merged-chr12-108765872-68
NR830--MA0731.1.BCL6B	chr16	15637536	15637552	+	0.000	0.000	Merged-chr16-15637448-97
NR415--MA0463.1.Bcl6	chr11	117349650	117349663	-	0.000	0.000	Merged-chr11-117349622-30
NR1580--MA0463.1.Bcl6	chr4	133162326	133162339	-	0.000	0.000	Merged-chr4-133162474-29
NR2097--MA0463.1.Bcl6	chr7	141302903	141302916	-	0.000	0.000	Merged-chr7-141303065-41
NR791--MA0463.1.Bcl6	chr15	66998608	66998621	-	0.000	0.000	Merged-chr15-66998486-48
NR986--MA0731.1.BCL6B	chr18	32880671	32880687	+	0.000	0.000	Merged-chr18-32880667-46
NR1692--MA0463.1.Bcl6	chr5	92624742	92624755	+	0.000	0.000	Merged-chr5-92624653-16
NR666--MA0463.1.Bcl6	chr14	54060008	54060021	+	0.000	0.000	Merged-chr14-54060057-10
NR476--MA0731.1.BCL6B	chr12	83632169	83632185	+	0.000	0.000	Merged-chr12-83632308-58
NR1366--MA0731.1.BCL6B	chr3	101661684	101661700	+	0.000	0.000	Merged-chr3-101661770-28
NR1679--MA0463.1.Bcl6	chr5	77130534	77130547	-	0.000	0.000	Merged-chr5-77130540-43
NR223--MA0463.1.Bcl6	chr10	20954198	20954211	-	0.000	0.000	Merged-chr10-20954386-18
NR1903--MA0463.1.Bcl6	chr6	133986387	133986400	+	0.000	0.000	Merged-chr6-133986314-22
NR184--MA0731.1.BCL6B	chr1	178182416	178182432	+	0.000	0.000	Merged-chr1-178182458-49
NR1074--MA0731.1.BCL6B	chr19	40300154	40300170	+	0.000	0.000	Merged-chr19-40300210-18
NR2261--MA0731.1.BCL6B	chr9	78553225	78553241	-	0.000	0.000	Merged-chr9-78553202-20
NR371--MA0463.1.Bcl6	chr11	70473508	70473521	+	0.000	0.000	Merged-chr11-70473545-6
NR1272--MA0463.1.Bcl6	chr2	168904459	168904472	-	0.000	0.000	Merged-chr2-168904404-53
NR143--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR2131--MA0731.1.BCL6B	chr8	46210877	46210893	+	0.000	0.000	Merged-chr8-46210944-80
NR1228--MA0731.1.BCL6B	chr2	128698283	128698299	-	0.000	0.000	Merged-chr2-128698451-42
NR931--MA0463.1.Bcl6	chr17	31512348	31512361	-	0.000	0.000	Merged-chr17-31512269-60
NR2306--MA0731.1.BCL6B	chr9	114794599	114794615	+	0.000	0.000	Merged-chr9-114794637-24
NR2264--MA0463.1.Bcl6	chr9	80067562	80067575	+	0.000	0.000	Merged-chr9-80067411-128
NR394--MA0731.1.BCL6B	chr11	97404287	97404303	-	0.000	0.000	Merged-chr11-97404114-1
NR1192--MA0463.1.Bcl6	chr2	93471206	93471219	+	0.000	0.000	Merged-chr2-93471266-47
NR251--MA0731.1.BCL6B	chr10	68054566	68054582	-	0.000	0.000	Merged-chr10-68054504-48
NR2161--MA0463.1.Bcl6	chr8	88294090	88294103	+	0.000	0.000	Merged-chr8-88293881-56
NR10--MA0463.1.Bcl6	chr1	23321543	23321556	+	0.000	0.000	Merged-chr1-23321414-28
NR833--MA0463.1.Bcl6	chr16	18127358	18127371	-	0.000	0.000	Merged-chr16-18127553-42
NR2036--MA0463.1.Bcl6	chr7	105563652	105563665	+	0.000	0.000	Merged-chr7-105563676-13
NR1846--MA0463.1.Bcl6	chr6	90653236	90653249	+	0.000	0.000	Merged-chr6-90653255-2
NR1761--MA0463.1.Bcl6	chr5	144040910	144040923	-	0.000	0.000	Merged-chr5-144040932-23
NR1882--MA0463.1.Bcl6	chr6	117917776	117917789	+	0.000	0.000	Merged-chr6-117917768-1
NR520--MA0463.1.Bcl6	chr12	116049825	116049838	+	0.000	0.000	Merged-chr12-116049840-17
NR514--MA0731.1.BCL6B	chr12	112674818	112674834	+	0.000	0.000	Merged-chr12-112674699-146
NR404--MA0463.1.Bcl6	chr11	106536328	106536341	+	0.000	0.000	Merged-chr11-106536245-61
NR2224--MA0731.1.BCL6B	chr9	32594531	32594547	+	0.000	0.000	Merged-chr9-32594541-47
NR1970--MA0731.1.BCL6B	chr7	39544305	39544321	-	0.000	0.000	Merged-chr7-39544508-62
NR222--MA0731.1.BCL6B	chr10	19185108	19185124	+	0.000	0.000	Merged-chr10-19185061-36
NR1211--MA0463.1.Bcl6	chr2	117374347	117374360	-	0.000	0.000	Merged-chr2-117374468-47
NR474--MA0731.1.BCL6B	chr12	82470805	82470821	+	0.000	0.000	Merged-chr12-82470743-2
NR269--MA0731.1.BCL6B	chr10	79926615	79926631	-	0.000	0.000	Merged-chr10-79926758-91
NR1681--MA0463.1.Bcl6	chr5	77285748	77285761	-	0.000	0.000	Merged-chr5-77285904-24
NR1159--MA0731.1.BCL6B	chr2	55091612	55091628	-	0.000	0.000	Merged-chr2-55091620-19
NR767--MA0463.1.Bcl6	chr15	38284095	38284108	+	0.000	0.000	Merged-chr15-38283996-39
NR1668--MA0463.1.Bcl6	chr5	65867465	65867478	+	0.000	0.000	Merged-chr5-65867573-52
NR615--MA0731.1.BCL6B	chr13	106998766	106998782	-	0.000	0.000	Merged-chr13-106998870-40
NR2041--MA0731.1.BCL6B	chr7	109781530	109781546	-	0.000	0.000	Merged-chr7-109781592-85
NR1686--MA0463.1.Bcl6	chr5	89051303	89051316	-	0.000	0.000	Merged-chr5-89051554-45
NR1113--MA0463.1.Bcl6	chr2	25241268	25241281	-	0.000	0.000	Merged-chr2-25241119-44
NR897--MA0463.1.Bcl6	chr16	92697330	92697343	+	0.000	0.000	Merged-chr16-92697129-7
NR1723--MA0731.1.BCL6B	chr5	105145860	105145876	-	0.000	0.000	Merged-chr5-105145750-96
NR1261--MA0463.1.Bcl6	chr2	162998608	162998621	-	0.000	0.000	Merged-chr2-162998735-32
NR799--MA0463.1.Bcl6	chr15	81859149	81859162	-	0.000	0.000	Merged-chr15-81858977-32
NR174--MA0731.1.BCL6B	chr1	171123105	171123121	-	0.000	0.000	Merged-chr1-171123131-24
NR1431--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR2251--MA0731.1.BCL6B	chr9	63740650	63740666	-	0.000	0.000	Merged-chr9-63740717-42
NR383--MA0463.1.Bcl6	chr11	79698485	79698498	+	0.000	0.000	Merged-chr11-79698290-25
NR1275--MA0463.1.Bcl6	chr2	170355027	170355040	-	0.000	0.000	Merged-chr2-170355131-22
NR1410--MA0731.1.BCL6B	chr3	135665917	135665933	+	0.000	0.000	Merged-chr3-135665884-70
NR934--MA0463.1.Bcl6	chr17	32424202	32424215	-	0.000	0.000	Merged-chr17-32424197-48
NR1835--MA0463.1.Bcl6	chr6	72615496	72615509	+	0.000	0.000	Merged-chr6-72615630-38
NR1607--MA0463.1.Bcl6	chr4	148998327	148998340	+	0.000	0.000	Merged-chr4-148998288-20
NR2147--MA0731.1.BCL6B	chr8	75084049	75084065	-	0.000	0.000	Merged-chr8-75083999-30
NR612--MA0463.1.Bcl6	chr13	104287242	104287255	-	0.000	0.000	Merged-chr13-104287389-4
NR2113--MA0731.1.BCL6B	chr8	22405971	22405987	-	0.000	0.000	Merged-chr8-22405869-37
NR2191--MA0463.1.Bcl6	chr8	120702038	120702051	+	0.000	0.000	Merged-chr8-120702084-56
NR1755--MA0463.1.Bcl6	chr5	138116873	138116886	+	0.000	0.000	Merged-chr5-138117022-54
NR1867--MA0463.1.Bcl6	chr6	108318376	108318389	-	0.000	0.000	Merged-chr6-108318445-25
NR2178--MA0463.1.Bcl6	chr8	107056890	107056903	-	0.000	0.000	Merged-chr8-107056733-66
NR1091--MA0731.1.BCL6B	chr2	5704949	5704965	-	0.000	0.000	Merged-chr2-5704821-18
NR1312--MA0463.1.Bcl6	chr3	52732081	52732094	-	0.000	0.000	Merged-chr3-52732187-17
NR1791--MA0463.1.Bcl6	chr6	29916869	29916882	+	0.000	0.000	Merged-chr6-29917052-59
NR1639--MA0463.1.Bcl6	chr5	20845318	20845331	+	0.000	0.000	Merged-chr5-20845245-18
NR1545--MA0463.1.Bcl6	chr4	106281644	106281657	-	0.000	0.000	Merged-chr4-106281606-32
NR416--MA0463.1.Bcl6	chr11	118035409	118035422	+	0.000	0.000	Merged-chr11-118035350-21
NR2098--MA0463.1.Bcl6	chr7	142435488	142435501	+	0.000	0.000	Merged-chr7-142435660-33
NR1232--MA0463.1.Bcl6	chr2	132022887	132022900	+	0.000	0.000	Merged-chr2-132022814-33
NR2210--MA0463.1.Bcl6	chr9	5623462	5623475	-	0.000	0.000	Merged-chr9-5623590-21
NR1559--MA0463.1.Bcl6	chr4	119127468	119127481	-	0.000	0.000	Merged-chr4-119127359-48
NR1320--MA0731.1.BCL6B	chr3	63609872	63609888	-	0.000	0.000	Merged-chr3-63609909-22
NR1572--MA0731.1.BCL6B	chr4	123577646	123577662	+	0.000	0.000	Merged-chr4-123577716-54
NR810--MA0731.1.BCL6B	chr15	100443703	100443719	-	0.000	0.000	Merged-chr15-100443625-43
NR2309--MA0463.1.Bcl6	chr9	117910900	117910913	-	0.000	0.000	Merged-chr9-117910970-21
NR1062--MA0731.1.BCL6B	chr19	21852997	21853013	+	0.000	0.000	Merged-chr19-21852993-8
NR1904--MA0463.1.Bcl6	chr6	134035717	134035730	-	0.000	0.000	Merged-chr6-134035696-155
NR1349--MA0463.1.Bcl6	chr3	86248060	86248073	+	0.000	0.000	Merged-chr3-86247740-69
NR1810--MA0463.1.Bcl6	chr6	51545480	51545493	-	0.000	0.000	Merged-chr6-51545421-58
NR1255--MA0463.1.Bcl6	chr2	158794586	158794599	+	0.000	0.000	Merged-chr2-158794730-73
