#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR5652--MA0511.2.RUNX2	chr3	9924874	9924882	-	0.000	0.000	Merged-chr3-9924809-24
NR7776--MA0684.1.RUNX3	chr6	121226241	121226250	+	0.000	0.000	Merged-chr6-121226378-36
NR9740--MA0511.2.RUNX2	chrX	113868016	113868024	+	0.000	0.000	Merged-chrX-113868253-73
NR7028--MA0002.2.RUNX1	chr5	72761424	72761434	-	0.000	0.000	Merged-chr5-72761381-14
NR3545--MA0684.1.RUNX3	chr16	10844391	10844400	+	0.000	0.000	Merged-chr16-10844299-63
NR161--MA0002.2.RUNX1	chr1	60569466	60569476	-	0.000	0.000	Merged-chr1-60569405-18
NR3939--MA0002.2.RUNX1	chr17	7164083	7164093	+	0.000	0.000	Merged-chr17-7164154-31
NR1944--MA0511.2.RUNX2	chr12	70219231	70219239	+	0.000	0.000	Merged-chr12-70219283-39
NR7756--MA0002.2.RUNX1	chr6	119749394	119749404	+	0.000	0.000	Merged-chr6-119749325-22
NR832--MA0684.1.RUNX3	chr10	21504626	21504635	+	0.000	0.000	Merged-chr10-21504659-28
NR3254--MA0002.2.RUNX1	chr15	38234728	38234738	-	0.000	0.000	Merged-chr15-38234634-20
NR5490--MA0511.2.RUNX2	chr2	156918687	156918695	-	0.000	0.000	Merged-chr2-156918803-29
NR5761--MA0511.2.RUNX2	chr3	59203995	59204003	-	0.000	0.000	Merged-chr3-59204061-45
NR3210--MA0511.2.RUNX2	chr15	27668288	27668296	-	0.000	0.000	Merged-chr15-27668249-55
NR4951--MA0002.2.RUNX1	chr2	9801548	9801558	+	0.000	0.000	Merged-chr2-9801686-39
NR7137--MA0002.2.RUNX1	chr5	104982661	104982671	+	0.000	0.000	Merged-chr5-104982699-45
NR5186--MA0002.2.RUNX1	chr2	75832990	75833000	+	0.000	0.000	Merged-chr2-75833051-1
NR6760--MA0684.1.RUNX3	chr4	150545078	150545087	-	0.000	0.000	Merged-chr4-150545055-50
NR8834--MA0002.2.RUNX1	chr8	95390433	95390443	-	0.000	0.000	Merged-chr8-95390466-31
NR9422--MA0684.1.RUNX3	chr9	94441585	94441594	+	0.000	0.000	Merged-chr9-94441414-62
NR3462--MA0511.2.RUNX2	chr15	94478962	94478970	+	0.000	0.000	Merged-chr15-94478905-44
NR941--MA0684.1.RUNX3	chr10	60290309	60290318	-	0.000	0.000	Merged-chr10-60290356-31
NR793--MA0002.2.RUNX1	chr10	13967574	13967584	-	0.000	0.000	Merged-chr10-13967586-131
NR9402--MA0002.2.RUNX1	chr9	88718284	88718294	-	0.000	0.000	Merged-chr9-88718244-37
NR1705--MA0511.2.RUNX2	chr11	107668373	107668381	-	0.000	0.000	Merged-chr11-107668374-46
NR5295--MA0002.2.RUNX1	chr2	113829676	113829686	+	0.000	0.000	Merged-chr2-113829688-60
NR7202--MA0511.2.RUNX2	chr5	112385016	112385024	+	0.000	0.000	Merged-chr5-112385056-37
NR7868--MA0511.2.RUNX2	chr6	134058473	134058481	+	0.000	0.000	Merged-chr6-134058621-9
NR9531--MA0684.1.RUNX3	chr9	115214733	115214742	-	0.000	0.000	Merged-chr9-115214840-19
NR1606--MA0002.2.RUNX1	chr11	83079953	83079963	-	0.000	0.000	Merged-chr11-83079974-51
NR9654--MA0002.2.RUNX1	chrX	48424762	48424772	+	0.000	0.000	Merged-chrX-48424908-65
NR9178--MA0002.2.RUNX1	chr9	44515670	44515680	-	0.000	0.000	Merged-chr9-44515753-69
NR3267--MA0002.2.RUNX1	chr15	42479700	42479710	+	0.000	0.000	Merged-chr15-42479661-25
NR968--MA0002.2.RUNX1	chr10	67872007	67872017	+	0.000	0.000	Merged-chr10-67872043-23
NR1587--MA0002.2.RUNX1	chr11	80075891	80075901	-	0.000	0.000	Merged-chr11-80075792-15
NR1858--MA0002.2.RUNX1	chr12	24565554	24565564	-	0.000	0.000	Merged-chr12-24565518-17
NR8880--MA0511.2.RUNX2	chr8	111595925	111595933	+	0.000	0.000	Merged-chr8-111595874-65
NR702--MA0684.1.RUNX3	chr1	187348590	187348599	-	0.000	0.000	Merged-chr1-187348669-52
NR8781--MA0002.2.RUNX1	chr8	77534646	77534656	-	0.000	0.000	Merged-chr8-77534912-51
NR1444--MA0002.2.RUNX1	chr11	53852083	53852093	-	0.000	0.000	Merged-chr11-53851984-46
NR9492--MA0002.2.RUNX1	chr9	108083384	108083394	+	0.000	0.000	Merged-chr9-108083224-47
NR7755--MA0684.1.RUNX3	chr6	119509053	119509062	-	0.000	0.000	Merged-chr6-119509030-36
NR3746--MA0511.2.RUNX2	chr16	50555226	50555234	-	0.000	0.000	Merged-chr16-50555141-20
NR2870--MA0002.2.RUNX1	chr14	47395862	47395872	+	0.000	0.000	Merged-chr14-47395869-114
NR7212--MA0002.2.RUNX1	chr5	114865081	114865091	+	0.000	0.000	Merged-chr5-114865029-25
NR9243--MA0511.2.RUNX2	chr9	61187185	61187193	+	0.000	0.000	Merged-chr9-61187199-16
NR1573--MA0684.1.RUNX3	chr11	77468094	77468103	+	0.000	0.000	Merged-chr11-77467994-17
NR140--MA0002.2.RUNX1	chr1	55448336	55448346	+	0.000	0.000	Merged-chr1-55448277-23
NR5661--MA0684.1.RUNX3	chr3	13336361	13336370	-	0.000	0.000	Merged-chr3-13336302-6
NR5727--MA0684.1.RUNX3	chr3	41077545	41077554	-	0.000	0.000	Merged-chr3-41077638-22
NR4930--MA0002.2.RUNX1	chr19	59926328	59926338	+	0.000	0.000	Merged-chr19-59926305-20
NR5787--MA0511.2.RUNX2	chr3	65650569	65650577	-	0.000	0.000	Merged-chr3-65650597-39
NR8178--MA0511.2.RUNX2	chr7	75600614	75600622	+	0.000	0.000	Merged-chr7-75600674-52
NR567--MA0002.2.RUNX1	chr1	164413781	164413791	-	0.000	0.000	Merged-chr1-164413844-41
NR1457--MA0002.2.RUNX1	chr11	54627046	54627056	-	0.000	0.000	Merged-chr11-54627034-23
NR9448--MA0684.1.RUNX3	chr9	96953705	96953714	-	0.000	0.000	Merged-chr9-96953731-26
NR1728--MA0002.2.RUNX1	chr11	109445750	109445760	+	0.000	0.000	Merged-chr11-109445792-26
NR9110--MA0002.2.RUNX1	chr9	21196287	21196297	+	0.000	0.000	Merged-chr9-21196368-25
NR7497--MA0684.1.RUNX3	chr6	41048127	41048136	+	0.000	0.000	Merged-chr6-41048174-22
NR8750--MA0511.2.RUNX2	chr8	66860268	66860276	-	0.000	0.000	Merged-chr8-66860248-21
NR1142--MA0511.2.RUNX2	chr10	98776540	98776548	+	0.000	0.000	Merged-chr10-98776574-38
NR5274--MA0002.2.RUNX1	chr2	104177442	104177452	-	0.000	0.000	Merged-chr2-104177493-61
NR5069--MA0002.2.RUNX1	chr2	45017346	45017356	-	0.000	0.000	Merged-chr2-45017480-33
NR8651--MA0002.2.RUNX1	chr8	22706637	22706647	-	0.000	0.000	Merged-chr8-22706462-69
NR1109--MA0002.2.RUNX1	chr10	94116388	94116398	+	0.000	0.000	Merged-chr10-94116374-33
NR7162--MA0511.2.RUNX2	chr5	106677005	106677013	+	0.000	0.000	Merged-chr5-106676986-37
NR1714--MA0684.1.RUNX3	chr11	107693481	107693490	-	0.000	0.000	Merged-chr11-107693539-25
NR7006--MA0684.1.RUNX3	chr5	65951668	65951677	-	0.000	0.000	Merged-chr5-65951579-1
NR5326--MA0684.1.RUNX3	chr2	117447070	117447079	-	0.000	0.000	Merged-chr2-117447085-57
NR3646--MA0684.1.RUNX3	chr16	25426503	25426512	-	0.000	0.000	Merged-chr16-25426499-60
NR1300--MA0684.1.RUNX3	chr11	3387160	3387169	-	0.000	0.000	Merged-chr11-3387260-37
NR2028--MA0511.2.RUNX2	chr12	85956302	85956310	-	0.000	0.000	Merged-chr12-85956127-16
NR3183--MA0511.2.RUNX2	chr15	9529866	9529874	+	0.000	0.000	Merged-chr15-9529844-37
NR1298--MA0511.2.RUNX2	chr11	3387161	3387169	-	0.000	0.000	Merged-chr11-3387260-37
NR3084--MA0002.2.RUNX1	chr14	103088717	103088727	+	0.000	0.000	Merged-chr14-103088795-24
NR7066--MA0511.2.RUNX2	chr5	91264451	91264459	-	0.000	0.000	Merged-chr5-91264360-12
NR1199--MA0002.2.RUNX1	chr10	116914010	116914020	-	0.000	0.000	Merged-chr10-116914032-56
NR3040--MA0511.2.RUNX2	chr14	78914394	78914402	-	0.000	0.000	Merged-chr14-78914359-46
NR7115--MA0684.1.RUNX3	chr5	100466876	100466885	+	0.000	0.000	Merged-chr5-100466890-43
NR6097--MA0511.2.RUNX2	chr3	141690927	141690935	+	0.000	0.000	Merged-chr3-141690828-16
NR4847--MA0002.2.RUNX1	chr19	53461507	53461517	-	0.000	0.000	Merged-chr19-53461472-73
NR3279--MA0684.1.RUNX3	chr15	50667820	50667829	+	0.000	0.000	Merged-chr15-50667671-62
NR9252--MA0684.1.RUNX3	chr9	64832018	64832027	-	0.000	0.000	Merged-chr9-64831906-29
NR894--MA0002.2.RUNX1	chr10	40462463	40462473	+	0.000	0.000	Merged-chr10-40462347-27
NR1456--MA0684.1.RUNX3	chr11	54621988	54621997	-	0.000	0.000	Merged-chr11-54622068-14
NR1579--MA0002.2.RUNX1	chr11	78984907	78984917	-	0.000	0.000	Merged-chr11-78984832-47
NR5815--MA0684.1.RUNX3	chr3	79227567	79227576	+	0.000	0.000	Merged-chr3-79227479-60
NR8650--MA0684.1.RUNX3	chr8	22124401	22124410	+	0.000	0.000	Merged-chr8-22124259-2
NR423--MA0684.1.RUNX3	chr1	131200183	131200192	-	0.000	0.000	Merged-chr1-131199978-81
NR1313--MA0684.1.RUNX3	chr11	5177224	5177233	-	0.000	0.000	Merged-chr11-5177232-57
NR275--MA0002.2.RUNX1	chr1	85953486	85953496	-	0.000	0.000	Merged-chr1-85953523-25
NR9279--MA0002.2.RUNX1	chr9	69068846	69068856	-	0.000	0.000	Merged-chr9-69068633-33
NR7599--MA0002.2.RUNX1	chr6	82922026	82922036	+	0.000	0.000	Merged-chr6-82922037-57
NR7555--MA0511.2.RUNX2	chr6	59411859	59411867	+	0.000	0.000	Merged-chr6-59411943-3
NR655--MA0002.2.RUNX1	chr1	177702893	177702903	-	0.000	0.000	Merged-chr1-177702906-70
NR1217--MA0684.1.RUNX3	chr10	118090064	118090073	+	0.000	0.000	Merged-chr10-118090052-13
NR5256--MA0511.2.RUNX2	chr2	98662610	98662618	-	0.000	0.000	Merged-chr2-98662597-69
NR2495--MA0002.2.RUNX1	chr13	63411078	63411088	+	0.000	0.000	Merged-chr13-63411317-71
NR4969--MA0002.2.RUNX1	chr2	14712031	14712041	+	0.000	0.000	Merged-chr2-14711970-14
NR6440--MA0002.2.RUNX1	chr4	88031642	88031652	+	0.000	0.000	Merged-chr4-88031691-64
NR6711--MA0002.2.RUNX1	chr4	144916711	144916721	+	0.000	0.000	Merged-chr4-144916675-7
NR4703--MA0684.1.RUNX3	chr19	8519019	8519028	+	0.000	0.000	Merged-chr19-8519085-2
NR9497--MA0002.2.RUNX1	chr9	108617515	108617525	+	0.000	0.000	Merged-chr9-108617434-16
NR4555--MA0002.2.RUNX1	chr18	70544482	70544492	-	0.000	0.000	Merged-chr18-70544560-36
NR5209--MA0684.1.RUNX3	chr2	80684883	80684892	+	0.000	0.000	Merged-chr2-80684823-58
NR9724--MA0511.2.RUNX2	chrX	101767452	101767460	-	0.000	0.000	Merged-chrX-101767433-48
NR350--MA0002.2.RUNX1	chr1	106268547	106268557	+	0.000	0.000	Merged-chr1-106268464-31
NR416--MA0002.2.RUNX1	chr1	130797340	130797350	-	0.000	0.000	Merged-chr1-130797241-17
NR6963--MA0002.2.RUNX1	chr5	43924202	43924212	-	0.000	0.000	Merged-chr5-43924057-20
NR2190--MA0002.2.RUNX1	chr12	114909990	114910000	+	0.000	0.000	Merged-chr12-114910080-44
NR5000--MA0684.1.RUNX3	chr2	24748060	24748069	+	0.000	0.000	Merged-chr2-24748146-35
NR1386--MA0511.2.RUNX2	chr11	32715225	32715233	-	0.000	0.000	Merged-chr11-32715413-66
NR3115--MA0684.1.RUNX3	chr14	119236410	119236419	-	0.000	0.000	Merged-chr14-119236354-10
NR1435--MA0684.1.RUNX3	chr11	52224161	52224170	+	0.000	0.000	Merged-chr11-52224357-50
NR3589--MA0511.2.RUNX2	chr16	18377258	18377266	-	0.000	0.000	Merged-chr16-18377300-20
NR7055--MA0002.2.RUNX1	chr5	88499874	88499884	-	0.000	0.000	Merged-chr5-88499946-26
NR9291--MA0511.2.RUNX2	chr9	69987761	69987769	+	0.000	0.000	Merged-chr9-69987848-24
NR8--MA0002.2.RUNX1	chr1	7095993	7096003	+	0.000	0.000	Merged-chr1-7096130-35
NR2113--MA0002.2.RUNX1	chr12	102451593	102451603	+	0.000	0.000	Merged-chr12-102451586-20
NR1021--MA0684.1.RUNX3	chr10	78232777	78232786	-	0.000	0.000	Merged-chr10-78232802-30
NR6867--MA0002.2.RUNX1	chr5	21044124	21044134	-	0.000	0.000	Merged-chr5-21044166-51
NR210--MA0511.2.RUNX2	chr1	71594393	71594401	+	0.000	0.000	Merged-chr1-71594444-22
NR4521--MA0002.2.RUNX1	chr18	65416390	65416400	-	0.000	0.000	Merged-chr18-65416225-67
NR8881--MA0684.1.RUNX3	chr8	111595925	111595934	+	0.000	0.000	Merged-chr8-111595874-65
NR5027--MA0002.2.RUNX1	chr2	30796700	30796710	-	0.000	0.000	Merged-chr2-30796578-35
NR8404--MA0002.2.RUNX1	chr7	117433803	117433813	-	0.000	0.000	Merged-chr7-117433722-72
NR1396--MA0002.2.RUNX1	chr11	35023953	35023963	+	0.000	0.000	Merged-chr11-35024082-11
NR5649--MA0511.2.RUNX2	chr3	9867587	9867595	+	0.000	0.000	Merged-chr3-9867662-24
NR1352--MA0511.2.RUNX2	chr11	21690734	21690742	-	0.000	0.000	Merged-chr11-21690668-23
NR2888--MA0002.2.RUNX1	chr14	53795398	53795408	-	0.000	0.000	Merged-chr14-53795361-42
NR8927--MA0002.2.RUNX1	chr8	117776355	117776365	+	0.000	0.000	Merged-chr8-117776265-26
NR3826--MA0511.2.RUNX2	chr16	87597737	87597745	-	0.000	0.000	Merged-chr16-87597793-27
NR3333--MA0684.1.RUNX3	chr15	65727290	65727299	-	0.000	0.000	Merged-chr15-65727192-50
NR4981--MA0511.2.RUNX2	chr2	18767099	18767107	+	0.000	0.000	Merged-chr2-18767117-54
NR2430--MA0511.2.RUNX2	chr13	47105883	47105891	+	0.000	0.000	Merged-chr13-47106094-91
NR6291--MA0002.2.RUNX1	chr4	41741302	41741312	+	0.000	0.000	Merged-chr4-41741113-91
NR4882--MA0002.2.RUNX1	chr19	56685711	56685721	+	0.000	0.000	Merged-chr19-56685748-31
NR8765--MA0002.2.RUNX1	chr8	70160137	70160147	+	0.000	0.000	Merged-chr8-70160118-32
NR9624--MA0684.1.RUNX3	chr9	123761003	123761012	-	0.000	0.000	Merged-chr9-123761041-31
NR3237--MA0684.1.RUNX3	chr15	36214900	36214909	-	0.000	0.000	Merged-chr15-36214970-54
NR6942--MA0002.2.RUNX1	chr5	36680252	36680262	+	0.000	0.000	Merged-chr5-36680264-35
NR5374--MA0684.1.RUNX3	chr2	129180168	129180177	-	0.000	0.000	Merged-chr2-129180074-1
NR1094--MA0511.2.RUNX2	chr10	93171415	93171423	+	0.000	0.000	Merged-chr10-93171456-51
NR6323--MA0002.2.RUNX1	chr4	47799367	47799377	-	0.000	0.000	Merged-chr4-47799329-53
NR2840--MA0684.1.RUNX3	chr14	36932188	36932197	+	0.000	0.000	Merged-chr14-36932132-23
NR7848--MA0684.1.RUNX3	chr6	129575601	129575610	+	0.000	0.000	Merged-chr6-129575587-29
NR9065--MA0511.2.RUNX2	chr9	11513965	11513973	-	0.000	0.000	Merged-chr9-11513974-36
NR4994--MA0511.2.RUNX2	chr2	24745582	24745590	+	0.000	0.000	Merged-chr2-24745465-17
NR3617--MA0684.1.RUNX3	chr16	22526577	22526586	-	0.000	0.000	Merged-chr16-22526487-34
NR9607--MA0511.2.RUNX2	chr9	122233122	122233130	-	0.000	0.000	Merged-chr9-122233247-97
NR584--MA0511.2.RUNX2	chr1	165691743	165691751	+	0.000	0.000	Merged-chr1-165691684-32
NR7229--MA0684.1.RUNX3	chr5	117938522	117938531	-	0.000	0.000	Merged-chr5-117938550-41
NR6975--MA0684.1.RUNX3	chr5	53605683	53605692	-	0.000	0.000	Merged-chr5-53605625-25
NR7308--MA0511.2.RUNX2	chr5	134237016	134237024	+	0.000	0.000	Merged-chr5-134237023-52
NR170--MA0511.2.RUNX2	chr1	61030754	61030762	+	0.000	0.000	Merged-chr1-61030719-23
NR4547--MA0002.2.RUNX1	chr18	69592455	69592465	+	0.000	0.000	Merged-chr18-69592561-6
NR4818--MA0002.2.RUNX1	chr19	41597724	41597734	+	0.000	0.000	Merged-chr19-41597921-2
NR2201--MA0002.2.RUNX1	chr12	115293853	115293863	-	0.000	0.000	Merged-chr12-115293953-33
NR7209--MA0002.2.RUNX1	chr5	114378368	114378378	+	0.000	0.000	Merged-chr5-114378322-36
NR5529--MA0002.2.RUNX1	chr2	164084159	164084169	-	0.000	0.000	Merged-chr2-164084194-102
NR92--MA0511.2.RUNX2	chr1	43070880	43070888	+	0.000	0.000	Merged-chr1-43070918-20
NR8840--MA0002.2.RUNX1	chr8	103979264	103979274	+	0.000	0.000	Merged-chr8-103979175-27
NR342--MA0002.2.RUNX1	chr1	105292073	105292083	-	0.000	0.000	Merged-chr1-105291975-13
NR5009--MA0511.2.RUNX2	chr2	25913387	25913395	-	0.000	0.000	Merged-chr2-25913406-29
NR7338--MA0684.1.RUNX3	chr5	139161165	139161174	-	0.000	0.000	Merged-chr5-139161216-37
NR1378--MA0511.2.RUNX2	chr11	31824841	31824849	-	0.000	0.000	Merged-chr11-31824780-24
NR1427--MA0684.1.RUNX3	chr11	50433261	50433270	-	0.000	0.000	Merged-chr11-50433184-24
NR2976--MA0002.2.RUNX1	chr14	67993312	67993322	-	0.000	0.000	Merged-chr14-67993349-29
NR1136--MA0002.2.RUNX1	chr10	96274204	96274214	+	0.000	0.000	Merged-chr10-96274144-52
NR4593--MA0511.2.RUNX2	chr18	77121745	77121753	+	0.000	0.000	Merged-chr18-77121790-35
NR646--MA0684.1.RUNX3	chr1	175669154	175669163	+	0.000	0.000	Merged-chr1-175669210-35
NR5019--MA0002.2.RUNX1	chr2	29055043	29055053	-	0.000	0.000	Merged-chr2-29055181-36
NR6650--MA0002.2.RUNX1	chr4	133666470	133666480	-	0.000	0.000	Merged-chr4-133666445-25
NR6921--MA0002.2.RUNX1	chr5	31831715	31831725	-	0.000	0.000	Merged-chr5-31831785-25
NR5846--MA0511.2.RUNX2	chr3	87274421	87274429	-	0.000	0.000	Merged-chr3-87274512-10
NR1788--MA0684.1.RUNX3	chr11	118232513	118232522	+	0.000	0.000	Merged-chr11-118232579-51
NR6302--MA0002.2.RUNX1	chr4	45280316	45280326	+	0.000	0.000	Merged-chr4-45280353-18
NR5005--MA0684.1.RUNX3	chr2	25255608	25255617	-	0.000	0.000	Merged-chr2-25255514-68
NR7093--MA0511.2.RUNX2	chr5	96164277	96164285	-	0.000	0.000	Merged-chr5-96164099-57
NR1374--MA0684.1.RUNX3	chr11	30166353	30166362	+	0.000	0.000	Merged-chr11-30166468-16
NR7635--MA0511.2.RUNX2	chr6	87447421	87447429	+	0.000	0.000	Merged-chr6-87447444-55
NR3799--MA0511.2.RUNX2	chr16	76249601	76249609	+	0.000	0.000	Merged-chr16-76249767-78
NR1182--MA0511.2.RUNX2	chr10	111562798	111562806	+	0.000	0.000	Merged-chr10-111562842-26
NR5257--MA0684.1.RUNX3	chr2	98662609	98662618	-	0.000	0.000	Merged-chr2-98662597-69
NR7221--MA0511.2.RUNX2	chr5	115516845	115516853	+	0.000	0.000	Merged-chr5-115516638-85
NR735--MA0002.2.RUNX1	chr1	192136801	192136811	+	0.000	0.000	Merged-chr1-192136916-34
NR4460--MA0002.2.RUNX1	chr18	54970185	54970195	-	0.000	0.000	Merged-chr18-54970177-21
NR7473--MA0511.2.RUNX2	chr6	34495211	34495219	-	0.000	0.000	Merged-chr6-34495216-31
NR2260--MA0511.2.RUNX2	chr12	117586386	117586394	-	0.000	0.000	Merged-chr12-117586270-30
NR8343--MA0002.2.RUNX1	chr7	107703416	107703426	-	0.000	0.000	Merged-chr7-107703296-29
NR6663--MA0002.2.RUNX1	chr4	134642024	134642034	-	0.000	0.000	Merged-chr4-134642170-32
NR4778--MA0002.2.RUNX1	chr19	32172610	32172620	-	0.000	0.000	Merged-chr19-32172725-56
NR2703--MA0002.2.RUNX1	chr13	111656050	111656060	+	0.000	0.000	Merged-chr13-111655949-74
NR9010--MA0511.2.RUNX2	chr8	126832837	126832845	+	0.000	0.000	Merged-chr8-126833007-101
NR1258--MA0002.2.RUNX1	chr10	121587571	121587581	-	0.000	0.000	Merged-chr10-121587592-1
NR6315--MA0002.2.RUNX1	chr4	46618589	46618599	-	0.000	0.000	Merged-chr4-46618486-40
NR4364--MA0002.2.RUNX1	chr18	32149482	32149492	+	0.000	0.000	Merged-chr18-32149405-13
NR7026--MA0002.2.RUNX1	chr5	69557009	69557019	+	0.000	0.000	Merged-chr5-69557217-100
NR4320--MA0511.2.RUNX2	chr18	11883355	11883363	-	0.000	0.000	Merged-chr18-11883419-27
NR3609--MA0684.1.RUNX3	chr16	22266150	22266159	-	0.000	0.000	Merged-chr16-22266085-1
NR8452--MA0002.2.RUNX1	chr7	126470333	126470343	+	0.000	0.000	Merged-chr7-126470347-45
NR5031--MA0511.2.RUNX2	chr2	31062383	31062391	-	0.000	0.000	Merged-chr2-31062467-40
NR9229--MA0002.2.RUNX1	chr9	57998047	57998057	+	0.000	0.000	Merged-chr9-57998251-45
NR1195--MA0511.2.RUNX2	chr10	116746693	116746701	-	0.000	0.000	Merged-chr10-116746686-40
NR2336--MA0002.2.RUNX1	chr13	21579853	21579863	+	0.000	0.000	Merged-chr13-21579773-26
NR3669--MA0511.2.RUNX2	chr16	32520610	32520618	-	0.000	0.000	Merged-chr16-32520584-37
NR2588--MA0002.2.RUNX1	chr13	94144819	94144829	+	0.000	0.000	Merged-chr13-94144726-31
NR3718--MA0684.1.RUNX3	chr16	44339360	44339369	-	0.000	0.000	Merged-chr16-44339420-21
NR9215--MA0684.1.RUNX3	chr9	54612826	54612835	-	0.000	0.000	Merged-chr9-54612864-43
NR4601--MA0002.2.RUNX1	chr18	78014888	78014898	+	0.000	0.000	Merged-chr18-78014896-40
NR2650--MA0002.2.RUNX1	chr13	102645049	102645059	+	0.000	0.000	Merged-chr13-102645059-45
NR4952--MA0511.2.RUNX2	chr2	9872965	9872973	+	0.000	0.000	Merged-chr2-9872839-11
NR7343--MA0511.2.RUNX2	chr5	140321662	140321670	+	0.000	0.000	Merged-chr5-140321692-59
NR4730--MA0684.1.RUNX3	chr19	12833793	12833802	-	0.000	0.000	Merged-chr19-12833671-54
NR6262--MA0002.2.RUNX1	chr4	32615268	32615278	-	0.000	0.000	Merged-chr4-32615355-52
NR9467--MA0684.1.RUNX3	chr9	102577635	102577644	-	0.000	0.000	Merged-chr9-102577518-37
NR5187--MA0511.2.RUNX2	chr2	75991053	75991061	-	0.000	0.000	Merged-chr2-75991050-38
NR271--MA0511.2.RUNX2	chr1	85763516	85763524	+	0.000	0.000	Merged-chr1-85763508-29
NR4982--MA0684.1.RUNX3	chr2	18767099	18767108	+	0.000	0.000	Merged-chr2-18767117-54
NR509--MA0002.2.RUNX1	chr1	153379961	153379971	-	0.000	0.000	Merged-chr1-153380015-29
NR1128--MA0002.2.RUNX1	chr10	95180459	95180469	+	0.000	0.000	Merged-chr10-95180406-32
NR2431--MA0684.1.RUNX3	chr13	47105883	47105892	+	0.000	0.000	Merged-chr13-47106094-91
NR4234--MA0002.2.RUNX1	chr17	80762564	80762574	+	0.000	0.000	Merged-chr17-80762560-27
NR5759--MA0684.1.RUNX3	chr3	59101876	59101885	-	0.000	0.000	Merged-chr3-59101725-81
NR4790--MA0511.2.RUNX2	chr19	34306958	34306966	-	0.000	0.000	Merged-chr19-34306924-50
NR2825--MA0002.2.RUNX1	chr14	31415153	31415163	-	0.000	0.000	Merged-chr14-31414970-54
NR8865--MA0684.1.RUNX3	chr8	109750811	109750820	+	0.000	0.000	Merged-chr8-109750822-50
NR3208--MA0684.1.RUNX3	chr15	27596892	27596901	-	0.000	0.000	Merged-chr15-27596992-56
NR6708--MA0002.2.RUNX1	chr4	143219584	143219594	-	0.000	0.000	Merged-chr4-143219574-43
NR5345--MA0684.1.RUNX3	chr2	126920547	126920556	-	0.000	0.000	Merged-chr2-126920604-39
NR2411--MA0002.2.RUNX1	chr13	41302822	41302832	-	0.000	0.000	Merged-chr13-41302926-20
NR7148--MA0002.2.RUNX1	chr5	105443608	105443618	+	0.000	0.000	Merged-chr5-105443564-46
NR17--MA0002.2.RUNX1	chr1	13267691	13267701	-	0.000	0.000	Merged-chr1-13267455-62
NR5153--MA0511.2.RUNX2	chr2	69136056	69136064	-	0.000	0.000	Merged-chr2-69135944-40
NR969--MA0511.2.RUNX2	chr10	67891369	67891377	+	0.000	0.000	Merged-chr10-67891340-18
NR7005--MA0002.2.RUNX1	chr5	65951667	65951677	+	0.000	0.000	Merged-chr5-65951579-1
