#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR5096--MA1104.1.GATA6	chr19	53424926	53424938	+	0.000	0.000	Merged-chr19-53424819-25
NR5221--MA0140.2.GATA1::TAL1	chr2	27730151	27730168	-	0.000	0.000	Merged-chr2-27730230-3
NR8446--MA0035.3.Gata1	chr6	136491385	136491395	-	0.000	0.000	Merged-chr6-136491563-93
NR6766--MA0035.3.Gata1	chr4	32291745	32291755	-	0.000	0.000	Merged-chr4-32291576-26
NR9157--MA0035.3.Gata1	chr8	34164659	34164669	+	0.000	0.000	Merged-chr8-34164566-26
NR5045--MA0482.1.Gata4	chr19	29367423	29367433	-	0.000	0.000	Merged-chr19-29367376-49
NR4581--MA0766.1.GATA5	chr17	86880653	86880660	-	0.000	0.000	Merged-chr17-86880662-37
NR4443--MA0482.1.Gata4	chr17	56291310	56291320	+	0.000	0.000	Merged-chr17-56291357-21
NR2915--MA0035.3.Gata1	chr13	113639070	113639080	+	0.000	0.000	Merged-chr13-113639155-24
NR9890--MA0766.1.GATA5	chrX	107088384	107088391	-	0.000	0.000	Merged-chrX-107088422-23
NR7650--MA0140.2.GATA1::TAL1	chr5	96908630	96908647	-	0.000	0.000	Merged-chr5-96908541-4
NR1721--MA0037.3.GATA3	chr11	97994753	97994760	+	0.000	0.000	Merged-chr11-97994878-44
NR1516--MA0037.3.GATA3	chr11	6528676	6528683	+	0.000	0.000	Merged-chr11-6528717-51
NR9433--MA0140.2.GATA1::TAL1	chr8	126847923	126847940	-	0.000	0.000	Merged-chr8-126848146-108
NR9755--MA0140.2.GATA1::TAL1	chr9	107950907	107950924	+	0.000	0.000	Merged-chr9-107950952-46
NR4823--MA0482.1.Gata4	chr18	56733836	56733846	-	0.000	0.000	Merged-chr18-56734019-60
NR4731--MA1104.1.GATA6	chr18	39091410	39091422	+	0.000	0.000	Merged-chr18-39091619-9
NR8573--MA0766.1.GATA5	chr7	6127302	6127309	-	0.000	0.000	Merged-chr7-6127268-44
NR4390--MA0482.1.Gata4	chr17	35993989	35993999	+	0.000	0.000	Merged-chr17-35993975-42
NR2304--MA0036.3.GATA2	chr12	107729451	107729461	+	0.000	0.000	Merged-chr12-107729406-18
NR445--MA0036.3.GATA2	chr1	105803093	105803103	-	0.000	0.000	Merged-chr1-105803155-19
NR968--MA0036.3.GATA2	chr10	26325438	26325448	+	0.000	0.000	Merged-chr10-26325461-56
NR2152--MA0766.1.GATA5	chr12	86795966	86795973	+	0.000	0.000	Merged-chr12-86795851-62
NR3940--MA0035.3.Gata1	chr16	44692060	44692070	+	0.000	0.000	Merged-chr16-44691948-13
NR6481--MA0140.2.GATA1::TAL1	chr3	137969352	137969369	-	0.000	0.000	Merged-chr3-137969157-49
NR3000--MA0037.3.GATA3	chr14	14019694	14019701	+	0.000	0.000	Merged-chr14-14019640-26
NR9434--MA0037.3.GATA3	chr8	127589470	127589477	-	0.000	0.000	Merged-chr8-127589399-43
NR7007--MA0036.3.GATA2	chr4	95197264	95197274	-	0.000	0.000	Merged-chr4-95197383-10
NR9609--MA1104.1.GATA6	chr9	61707987	61707999	-	0.000	0.000	Merged-chr9-61708026-57
NR1185--MA0140.2.GATA1::TAL1	chr10	77021625	77021642	+	0.000	0.000	Merged-chr10-77021563-39
NR8300--MA0766.1.GATA5	chr6	122742624	122742631	-	0.000	0.000	Merged-chr6-122742614-91
NR9814--MA0037.3.GATA3	chrX	7566383	7566390	-	0.000	0.000	Merged-chrX-7566514-6
NR1062--MA1104.1.GATA6	chr10	53889743	53889755	-	0.000	0.000	Merged-chr10-53889619-14
NR5312--MA0037.3.GATA3	chr2	58137935	58137942	+	0.000	0.000	Merged-chr2-58137903-53
NR7419--MA1104.1.GATA6	chr5	36722516	36722528	+	0.000	0.000	Merged-chr5-36722614-37
NR4435--MA0482.1.Gata4	chr17	52348687	52348697	+	0.000	0.000	Merged-chr17-52348820-8
NR153--MA0036.3.GATA2	chr1	37544481	37544491	+	0.000	0.000	Merged-chr1-37544454-25
NR8252--MA0482.1.Gata4	chr6	108168405	108168415	-	0.000	0.000	Merged-chr6-108168461-115
NR8160--MA1104.1.GATA6	chr6	82922014	82922026	+	0.000	0.000	Merged-chr6-82922037-57
NR5027--MA0035.3.Gata1	chr19	12026836	12026846	-	0.000	0.000	Merged-chr19-12026851-22
NR1980--MA0140.2.GATA1::TAL1	chr12	41844189	41844206	+	0.000	0.000	Merged-chr12-41844052-32
NR6081--MA0036.3.GATA2	chr3	58622619	58622629	+	0.000	0.000	Merged-chr3-58622670-34
NR2888--MA0035.3.Gata1	chr13	110790484	110790494	-	0.000	0.000	Merged-chr13-110790449-2
NR6904--MA0766.1.GATA5	chr4	71291542	71291549	-	0.000	0.000	Merged-chr4-71291736-94
NR4181--MA1104.1.GATA6	chr16	93918464	93918476	-	0.000	0.000	Merged-chr16-93918388-61
NR6105--MA0035.3.Gata1	chr3	60601837	60601847	+	0.000	0.000	Merged-chr3-60601878-18
NR4334--MA0766.1.GATA5	chr17	18718469	18718476	+	0.000	0.000	Merged-chr17-18718477-13
NR4975--MA1104.1.GATA6	chr18	82847054	82847066	-	0.000	0.000	Merged-chr18-82847210-15
NR2900--MA1104.1.GATA6	chr13	113023932	113023944	-	0.000	0.000	Merged-chr13-113023939-34
NR2126--MA0035.3.Gata1	chr12	78686010	78686020	-	0.000	0.000	Merged-chr12-78685977-17
NR1184--MA1104.1.GATA6	chr10	77021622	77021634	-	0.000	0.000	Merged-chr10-77021563-39
NR2854--MA0035.3.Gata1	chr13	106836444	106836454	+	0.000	0.000	Merged-chr13-106836459-51
NR4228--MA0036.3.GATA2	chr17	3209753	3209763	+	0.000	0.000	Merged-chr17-3209784-17
NR8993--MA0482.1.Gata4	chr7	127288039	127288049	-	0.000	0.000	Merged-chr7-127288112-51
NR4893--MA0140.2.GATA1::TAL1	chr18	67270258	67270275	-	0.000	0.000	Merged-chr18-67270168-25
NR8186--MA0037.3.GATA3	chr6	91125080	91125087	+	0.000	0.000	Merged-chr6-91125010-35
NR4481--MA0035.3.Gata1	chr17	64208601	64208611	-	0.000	0.000	Merged-chr17-64208497-3
NR5901--MA0766.1.GATA5	chr3	19319341	19319348	+	0.000	0.000	Merged-chr3-19319228-45
NR8662--MA1104.1.GATA6	chr7	30280499	30280511	+	0.000	0.000	Merged-chr7-30280528-94
NR1739--MA0037.3.GATA3	chr11	101627409	101627416	-	0.000	0.000	Merged-chr11-101627512-104
NR8611--MA0482.1.Gata4	chr7	19332941	19332951	+	0.000	0.000	Merged-chr7-19332998-44
NR5208--MA1104.1.GATA6	chr2	22796696	22796708	+	0.000	0.000	Merged-chr2-22796662-28
NR6270--MA0035.3.Gata1	chr3	93607807	93607817	-	0.000	0.000	Merged-chr3-93607971-30
NR2623--MA0036.3.GATA2	chr13	66991737	66991747	-	0.000	0.000	Merged-chr13-66991703-16
NR3854--MA0766.1.GATA5	chr16	20930013	20930020	-	0.000	0.000	Merged-chr16-20930100-26
NR6292--MA0140.2.GATA1::TAL1	chr3	105910836	105910853	+	0.000	0.000	Merged-chr3-105910679-41
NR7693--MA0037.3.GATA3	chr5	118069585	118069592	+	0.000	0.000	Merged-chr5-118069472-39
NR6041--MA0482.1.Gata4	chr3	51744642	51744652	+	0.000	0.000	Merged-chr3-51744632-10
NR4090--MA0482.1.Gata4	chr16	76225742	76225752	-	0.000	0.000	Merged-chr16-76225808-94
NR2562--MA0035.3.Gata1	chr13	49188129	49188139	-	0.000	0.000	Merged-chr13-49188113-1
NR5046--MA1104.1.GATA6	chr19	29367423	29367435	+	0.000	0.000	Merged-chr19-29367376-49
NR3187--MA0482.1.Gata4	chr14	66241477	66241487	+	0.000	0.000	Merged-chr14-66241484-22
NR6293--MA0482.1.Gata4	chr3	106788697	106788707	-	0.000	0.000	Merged-chr3-106788511-97
NR8996--MA0035.3.Gata1	chr7	127288040	127288050	-	0.000	0.000	Merged-chr7-127288112-51
NR4828--MA0140.2.GATA1::TAL1	chr18	56733828	56733845	-	0.000	0.000	Merged-chr18-56734019-60
NR2808--MA0766.1.GATA5	chr13	95524827	95524834	-	0.000	0.000	Merged-chr13-95524749-120
NR9478--MA0482.1.Gata4	chr9	13466581	13466591	-	0.000	0.000	Merged-chr9-13466686-68
NR99--MA1104.1.GATA6	chr1	21314420	21314432	-	0.000	0.000	Merged-chr1-21314472-2
NR7980--MA0035.3.Gata1	chr6	48701703	48701713	+	0.000	0.000	Merged-chr6-48701654-3
NR9032--MA0140.2.GATA1::TAL1	chr7	142354004	142354021	-	0.000	0.000	Merged-chr7-142354183-49
NR4374--MA0482.1.Gata4	chr17	34198067	34198077	-	0.000	0.000	Merged-chr17-34197913-92
NR4824--MA1104.1.GATA6	chr18	56733836	56733848	+	0.000	0.000	Merged-chr18-56734019-60
NR2575--MA0035.3.Gata1	chr13	52922196	52922206	-	0.000	0.000	Merged-chr13-52922066-27
NR4164--MA0766.1.GATA5	chr16	89595948	89595955	+	0.000	0.000	Merged-chr16-89595892-3
NR1630--MA0766.1.GATA5	chr11	53141385	53141392	+	0.000	0.000	Merged-chr11-53141237-14
NR4391--MA1104.1.GATA6	chr17	35993987	35993999	-	0.000	0.000	Merged-chr17-35993975-42
NR3823--MA0036.3.GATA2	chr16	10732545	10732555	+	0.000	0.000	Merged-chr16-10732689-38
NR4329--MA0036.3.GATA2	chr17	18558831	18558841	-	0.000	0.000	Merged-chr17-18558777-104
NR6296--MA0035.3.Gata1	chr3	106788698	106788708	-	0.000	0.000	Merged-chr3-106788511-97
NR8351--MA0036.3.GATA2	chr6	128972764	128972774	-	0.000	0.000	Merged-chr6-128972909-46
NR9853--MA0766.1.GATA5	chrX	42343745	42343752	-	0.000	0.000	Merged-chrX-42343636-58
NR3661--MA0036.3.GATA2	chr15	62730608	62730618	-	0.000	0.000	Merged-chr15-62730717-24
NR9801--MA0035.3.Gata1	chr9	123087720	123087730	-	0.000	0.000	Merged-chr9-123087769-13
NR8669--MA0036.3.GATA2	chr7	30373720	30373730	-	0.000	0.000	Merged-chr7-30373731-40
NR4305--MA0766.1.GATA5	chr17	13654775	13654782	+	0.000	0.000	Merged-chr17-13654932-70
NR5548--MA0037.3.GATA3	chr2	119742117	119742124	+	0.000	0.000	Merged-chr2-119742331-93
NR9891--MA0035.3.Gata1	chrX	107088383	107088393	+	0.000	0.000	Merged-chrX-107088422-23
NR8374--MA0766.1.GATA5	chr6	130078306	130078313	-	0.000	0.000	Merged-chr6-130078295-22
NR1742--MA0036.3.GATA2	chr11	101627408	101627418	+	0.000	0.000	Merged-chr11-101627512-104
NR7542--MA0037.3.GATA3	chr5	65867408	65867415	-	0.000	0.000	Merged-chr5-65867573-52
NR8988--MA0035.3.Gata1	chr7	126822098	126822108	-	0.000	0.000	Merged-chr7-126822065-16
NR2519--MA0036.3.GATA2	chr13	30742668	30742678	-	0.000	0.000	Merged-chr13-30742638-44
NR4757--MA0035.3.Gata1	chr18	46013366	46013376	-	0.000	0.000	Merged-chr18-46013388-48
NR8574--MA0035.3.Gata1	chr7	6127301	6127311	+	0.000	0.000	Merged-chr7-6127268-44
NR4370--MA1104.1.GATA6	chr17	32350599	32350611	-	0.000	0.000	Merged-chr17-32350599-47
NR4436--MA1104.1.GATA6	chr17	52348685	52348697	-	0.000	0.000	Merged-chr17-52348820-8
NR3087--MA0037.3.GATA3	chr14	40927279	40927286	+	0.000	0.000	Merged-chr14-40927194-29
NR8253--MA1104.1.GATA6	chr6	108168405	108168417	+	0.000	0.000	Merged-chr6-108168461-115
NR7900--MA0766.1.GATA5	chr6	24031953	24031960	-	0.000	0.000	Merged-chr6-24031822-2
NR8110--MA1104.1.GATA6	chr6	66252373	66252385	-	0.000	0.000	Merged-chr6-66252273-1,Merged-chr6-66252474-1
NR5572--MA0036.3.GATA2	chr2	122668168	122668178	-	0.000	0.000	Merged-chr2-122668057-9
NR9761--MA0035.3.Gata1	chr9	107986401	107986411	+	0.000	0.000	Merged-chr9-107986494-4
NR2153--MA0035.3.Gata1	chr12	86795964	86795974	-	0.000	0.000	Merged-chr12-86795851-62
NR4398--MA0036.3.GATA2	chr17	36020626	36020636	-	0.000	0.000	Merged-chr17-36020745-74
NR6426--MA0482.1.Gata4	chr3	133623448	133623458	+	0.000	0.000	Merged-chr3-133623556-36
NR5782--MA0035.3.Gata1	chr2	163229299	163229309	-	0.000	0.000	Merged-chr2-163229277-53
NR1450--MA0036.3.GATA2	chr10	122578485	122578495	+	0.000	0.000	Merged-chr10-122578660-68
NR4788--MA0766.1.GATA5	chr18	50028363	50028370	+	0.000	0.000	Merged-chr18-50028414-49
NR9845--MA0766.1.GATA5	chrX	23673359	23673366	-	0.000	0.000	Merged-chrX-23673581-22
NR8301--MA0035.3.Gata1	chr6	122742623	122742633	+	0.000	0.000	Merged-chr6-122742614-91
NR3653--MA0036.3.GATA2	chr15	60112101	60112111	+	0.000	0.000	Merged-chr15-60111990-62
NR8672--MA0482.1.Gata4	chr7	30535312	30535322	-	0.000	0.000	Merged-chr7-30535126-64
NR2346--MA0766.1.GATA5	chr12	118255862	118255869	+	0.000	0.000	Merged-chr12-118255780-45
NR4488--MA0482.1.Gata4	chr17	65954138	65954148	+	0.000	0.000	Merged-chr17-65954196-36
NR3772--MA0766.1.GATA5	chr15	103339526	103339533	-	0.000	0.000	Merged-chr15-103339534-3
NR283--MA0482.1.Gata4	chr1	74239438	74239448	-	0.000	0.000	Merged-chr1-74239577-59
NR8356--MA0036.3.GATA2	chr6	129210607	129210617	-	0.000	0.000	Merged-chr6-129210550-50
NR8612--MA1104.1.GATA6	chr7	19332939	19332951	-	0.000	0.000	Merged-chr7-19332998-44
NR5551--MA0036.3.GATA2	chr2	119742115	119742125	-	0.000	0.000	Merged-chr2-119742331-93
NR4776--MA1104.1.GATA6	chr18	49982266	49982278	-	0.000	0.000	Merged-chr18-49982392-61
NR8295--MA0035.3.Gata1	chr6	122557163	122557173	+	0.000	0.000	Merged-chr6-122557216-31
NR6042--MA1104.1.GATA6	chr3	51744640	51744652	-	0.000	0.000	Merged-chr3-51744632-10
NR7754--MA0036.3.GATA2	chr5	137787616	137787626	-	0.000	0.000	Merged-chr5-137787536-7
NR3188--MA1104.1.GATA6	chr14	66241475	66241487	-	0.000	0.000	Merged-chr14-66241484-22
NR8337--MA0482.1.Gata4	chr6	127474041	127474051	-	0.000	0.000	Merged-chr6-127474146-19
NR6294--MA1104.1.GATA6	chr3	106788697	106788709	+	0.000	0.000	Merged-chr3-106788511-97
NR7863--MA0036.3.GATA2	chr6	12785361	12785371	+	0.000	0.000	Merged-chr6-12785179-11
NR9479--MA1104.1.GATA6	chr9	13466581	13466593	+	0.000	0.000	Merged-chr9-13466686-68
NR3090--MA0036.3.GATA2	chr14	40927277	40927287	-	0.000	0.000	Merged-chr14-40927194-29
NR1681--MA0036.3.GATA2	chr11	75282788	75282798	+	0.000	0.000	Merged-chr11-75282753-54
NR2130--MA0140.2.GATA1::TAL1	chr12	79296606	79296623	-	0.000	0.000	Merged-chr12-79296800-36
NR5596--MA0037.3.GATA3	chr2	127923473	127923480	-	0.000	0.000	Merged-chr2-127923410-36
NR8969--MA0482.1.Gata4	chr7	119894978	119894988	-	0.000	0.000	Merged-chr7-119895039-1
NR4580--MA1104.1.GATA6	chr17	86880651	86880663	-	0.000	0.000	Merged-chr17-86880662-37
NR262--MA0482.1.Gata4	chr1	66987717	66987727	+	0.000	0.000	Merged-chr1-66987794-41
NR8734--MA1104.1.GATA6	chr7	58844113	58844125	+	0.000	0.000	Merged-chr7-58844347-15
NR9607--MA0037.3.GATA3	chr9	61707989	61707996	-	0.000	0.000	Merged-chr9-61708026-57
NR1543--MA0035.3.Gata1	chr11	11711883	11711893	+	0.000	0.000	Merged-chr11-11711824-34
NR5902--MA0035.3.Gata1	chr3	19319339	19319349	-	0.000	0.000	Merged-chr3-19319228-45
NR1795--MA0035.3.Gata1	chr12	3441669	3441679	+	0.000	0.000	Merged-chr12-3441534-29
NR2896--MA0482.1.Gata4	chr13	112427868	112427878	+	0.000	0.000	Merged-chr13-112427724-41
NR4728--MA0035.3.Gata1	chr18	38350148	38350158	+	0.000	0.000	Merged-chr18-38350190-47
NR4095--MA0766.1.GATA5	chr16	77095208	77095215	-	0.000	0.000	Merged-chr16-77095315-45
NR4366--MA0766.1.GATA5	chr17	31210486	31210493	-	0.000	0.000	Merged-chr17-31210494-9
NR708--MA0482.1.Gata4	chr1	164184714	164184724	+	0.000	0.000	Merged-chr1-164184631-39
NR4162--MA0482.1.Gata4	chr16	89595945	89595955	-	0.000	0.000	Merged-chr16-89595892-3
NR3998--MA0035.3.Gata1	chr16	56800671	56800681	+	0.000	0.000	Merged-chr16-56800625-33
NR8183--MA0766.1.GATA5	chr6	86922089	86922096	-	0.000	0.000	Merged-chr6-86921974-19
NR1561--MA0766.1.GATA5	chr11	21103248	21103255	-	0.000	0.000	Merged-chr11-21103382-12
NR689--MA0482.1.Gata4	chr1	160044870	160044880	-	0.000	0.000	Merged-chr1-160044750-78
NR3855--MA0035.3.Gata1	chr16	20930012	20930022	+	0.000	0.000	Merged-chr16-20930100-26
NR7417--MA0037.3.GATA3	chr5	36722519	36722526	+	0.000	0.000	Merged-chr5-36722614-37
NR8696--MA0036.3.GATA2	chr7	45083050	45083060	+	0.000	0.000	Merged-chr7-45083107-80
NR8773--MA0482.1.Gata4	chr7	72308183	72308193	+	0.000	0.000	Merged-chr7-72308227-31
NR8297--MA0482.1.Gata4	chr6	122742624	122742634	+	0.000	0.000	Merged-chr6-122742614-91
NR4452--MA0140.2.GATA1::TAL1	chr17	57031707	57031724	-	0.000	0.000	Merged-chr17-57031784-94
NR1487--MA0037.3.GATA3	chr10	127135640	127135647	-	0.000	0.000	Merged-chr10-127135675-65
NR2809--MA0035.3.Gata1	chr13	95524826	95524836	+	0.000	0.000	Merged-chr13-95524749-120
NR1784--MA0482.1.Gata4	chr11	117308108	117308118	+	0.000	0.000	Merged-chr11-117308232-42
NR2699--MA0766.1.GATA5	chr13	81659056	81659063	+	0.000	0.000	Merged-chr13-81658891-4
NR4388--MA0140.2.GATA1::TAL1	chr17	35993948	35993965	-	0.000	0.000	Merged-chr17-35993975-42
NR1631--MA0035.3.Gata1	chr11	53141383	53141393	-	0.000	0.000	Merged-chr11-53141237-14
NR1883--MA0035.3.Gata1	chr12	25117995	25118005	+	0.000	0.000	Merged-chr12-25118118-8
NR8199--MA0036.3.GATA2	chr6	97311128	97311138	-	0.000	0.000	Merged-chr6-97311024-32
NR5665--MA0036.3.GATA2	chr2	140051794	140051804	-	0.000	0.000	Merged-chr2-140051762-17
NR9854--MA0035.3.Gata1	chrX	42343744	42343754	+	0.000	0.000	Merged-chrX-42343636-58
NR2907--MA0482.1.Gata4	chr13	113639035	113639045	+	0.000	0.000	Merged-chr13-113639155-24
NR8327--MA0036.3.GATA2	chr6	126849235	126849245	-	0.000	0.000	Merged-chr6-126849069-62
NR6182--MA0482.1.Gata4	chr3	75696298	75696308	-	0.000	0.000	Merged-chr3-75696372-7
NR9763--MA0766.1.GATA5	chr9	110461309	110461316	-	0.000	0.000	Merged-chr9-110461339-53
NR6427--MA1104.1.GATA6	chr3	133623446	133623458	-	0.000	0.000	Merged-chr3-133623556-36
NR8660--MA0037.3.GATA3	chr7	30280502	30280509	+	0.000	0.000	Merged-chr7-30280528-94
NR9610--MA0036.3.GATA2	chr9	61707988	61707998	+	0.000	0.000	Merged-chr9-61708026-57
NR4358--MA0766.1.GATA5	chr17	27323303	27323310	-	0.000	0.000	Merged-chr17-27323176-36
NR6976--MA0482.1.Gata4	chr4	88015483	88015493	+	0.000	0.000	Merged-chr4-88015608-45
NR7757--MA0037.3.GATA3	chr5	139483517	139483524	-	0.000	0.000	Merged-chr5-139483495-36
NR4333--MA1104.1.GATA6	chr17	18718466	18718478	+	0.000	0.000	Merged-chr17-18718477-13
NR5206--MA0037.3.GATA3	chr2	22796699	22796706	+	0.000	0.000	Merged-chr2-22796662-28
NR3899--MA0766.1.GATA5	chr16	29856393	29856400	-	0.000	0.000	Merged-chr16-29856280-19
NR5732--MA0035.3.Gata1	chr2	148528051	148528061	-	0.000	0.000	Merged-chr2-148527989-4
NR4091--MA0140.2.GATA1::TAL1	chr16	76225784	76225801	+	0.000	0.000	Merged-chr16-76225808-94
NR8375--MA0035.3.Gata1	chr6	130078305	130078315	+	0.000	0.000	Merged-chr6-130078295-22
NR5044--MA0037.3.GATA3	chr19	29367426	29367433	+	0.000	0.000	Merged-chr19-29367376-49
NR9798--MA0037.3.GATA3	chr9	123087722	123087729	+	0.000	0.000	Merged-chr9-123087769-13
NR7420--MA0036.3.GATA2	chr5	36722517	36722527	-	0.000	0.000	Merged-chr5-36722614-37
NR4786--MA0482.1.Gata4	chr18	50028360	50028370	-	0.000	0.000	Merged-chr18-50028414-49
NR4489--MA1104.1.GATA6	chr17	65954136	65954148	-	0.000	0.000	Merged-chr17-65954196-36
NR3865--MA0766.1.GATA5	chr16	24826503	24826510	-	0.000	0.000	Merged-chr16-24826564-20
NR1314--MA0766.1.GATA5	chr10	99393614	99393621	+	0.000	0.000	Merged-chr10-99393384-65
NR5222--MA0035.3.Gata1	chr2	29632324	29632334	-	0.000	0.000	Merged-chr2-29632325-58
NR367--MA0140.2.GATA1::TAL1	chr1	91065254	91065271	-	0.000	0.000	Merged-chr1-91065226-49
NR2267--MA0036.3.GATA2	chr12	98247086	98247096	+	0.000	0.000	Merged-chr12-98247130-40
NR1514--MA0035.3.Gata1	chr11	4804254	4804264	+	0.000	0.000	Merged-chr11-4804243-58
NR2318--MA1104.1.GATA6	chr12	112606009	112606021	-	0.000	0.000	Merged-chr12-112605824-36
NR8778--MA0482.1.Gata4	chr7	73600105	73600115	-	0.000	0.000	Merged-chr7-73600199-6
NR4822--MA0037.3.GATA3	chr18	56733839	56733846	+	0.000	0.000	Merged-chr18-56734019-60
NR1936--MA0036.3.GATA2	chr12	36057887	36057897	+	0.000	0.000	Merged-chr12-36057875-8
NR8159--MA0482.1.Gata4	chr6	82922014	82922024	-	0.000	0.000	Merged-chr6-82922037-57
NR8338--MA1104.1.GATA6	chr6	127474041	127474053	+	0.000	0.000	Merged-chr6-127474146-19
NR8989--MA0140.2.GATA1::TAL1	chr7	126822089	126822106	-	0.000	0.000	Merged-chr7-126822065-16
NR6269--MA0766.1.GATA5	chr3	93607809	93607816	+	0.000	0.000	Merged-chr3-93607971-30
NR4385--MA0482.1.Gata4	chr17	35910100	35910110	+	0.000	0.000	Merged-chr17-35910117-56
NR3183--MA0036.3.GATA2	chr14	66218979	66218989	+	0.000	0.000	Merged-chr14-66218968-32
NR9222--MA0036.3.GATA2	chr8	54436802	54436812	+	0.000	0.000	Merged-chr8-54436651-1
