#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR1251--MA0511.2.RUNX2	chr10	92791369	92791377	+	0.000	0.000	Merged-chr10-92791286-37
NR1046--MA0511.2.RUNX2	chr10	56115381	56115389	+	0.000	0.000	Merged-chr10-56115476-67
NR5449--MA0002.2.RUNX1	chr2	75055026	75055036	+	0.000	0.000	Merged-chr2-75055098-51
NR1695--MA0684.1.RUNX3	chr11	75541179	75541188	-	0.000	0.000	Merged-chr11-75541431-19
NR8760--MA0002.2.RUNX1	chr7	84740070	84740080	+	0.000	0.000	Merged-chr7-84740151-41
NR3498--MA0002.2.RUNX1	chr15	52928624	52928634	-	0.000	0.000	Merged-chr15-52928656-21
NR5578--MA0684.1.RUNX3	chr2	114145438	114145447	+	0.000	0.000	Merged-chr2-114145226-70
NR3084--MA0002.2.RUNX1	chr14	54494380	54494390	-	0.000	0.000	Merged-chr14-54494420-14
NR10152--MA0002.2.RUNX1	chrX	77509329	77509339	-	0.000	0.000	Merged-chrX-77509424-59
NR6190--MA0002.2.RUNX1	chr3	94377283	94377293	+	0.000	0.000	Merged-chr3-94377332-17
NR5928--MA0511.2.RUNX2	chr3	13336362	13336370	-	0.000	0.000	Merged-chr3-13336302-6
NR4781--MA0002.2.RUNX1	chr18	71008380	71008390	-	0.000	0.000	Merged-chr18-71008333-1
NR2773--MA0684.1.RUNX3	chr13	93175820	93175829	+	0.000	0.000	Merged-chr13-93175751-12
NR9123--MA0002.2.RUNX1	chr8	9811314	9811324	-	0.000	0.000	Merged-chr8-9811294-16
NR7843--MA0684.1.RUNX3	chr6	5997677	5997686	+	0.000	0.000	Merged-chr6-5997718-16
NR3563--MA0511.2.RUNX2	chr15	75884331	75884339	+	0.000	0.000	Merged-chr15-75884248-28
NR4433--MA0002.2.RUNX1	chr17	79394208	79394218	+	0.000	0.000	Merged-chr17-79394145-31
NR7651--MA0511.2.RUNX2	chr5	118331615	118331623	+	0.000	0.000	Merged-chr5-118331615-2
NR6570--MA0002.2.RUNX1	chr3	154778979	154778989	-	0.000	0.000	Merged-chr3-154778992-62
NR9898--MA0002.2.RUNX1	chr9	100400552	100400562	+	0.000	0.000	Merged-chr9-100400570-38
NR1535--MA0511.2.RUNX2	chr11	21253563	21253571	+	0.000	0.000	Merged-chr11-21253599-7
NR8650--MA0684.1.RUNX3	chr7	58181740	58181749	+	0.000	0.000	Merged-chr7-58181650-26
NR480--MA0002.2.RUNX1	chr1	133801879	133801889	-	0.000	0.000	Merged-chr1-133801920-3
NR9649--MA0511.2.RUNX2	chr9	52287479	52287487	+	0.000	0.000	Merged-chr9-52287500-36
NR2961--MA0511.2.RUNX2	chr14	15011570	15011578	-	0.000	0.000	Merged-chr14-15011517-9
NR275--MA0002.2.RUNX1	chr1	80855239	80855249	+	0.000	0.000	Merged-chr1-80855392-26
NR7698--MA0511.2.RUNX2	chr5	124241815	124241823	+	0.000	0.000	Merged-chr5-124241668-15
NR9156--MA0684.1.RUNX3	chr8	14970877	14970886	-	0.000	0.000	Merged-chr8-14970919-21
NR9484--MA0002.2.RUNX1	chr8	125871031	125871041	-	0.000	0.000	Merged-chr8-125871015-13
NR2591--MA0002.2.RUNX1	chr13	51726394	51726404	+	0.000	0.000	Merged-chr13-51726299-41
NR3368--MA0002.2.RUNX1	chr15	11489305	11489315	+	0.000	0.000	Merged-chr15-11489207-4
NR4671--MA0684.1.RUNX3	chr18	54986777	54986786	+	0.000	0.000	Merged-chr18-54986948-23
NR7333--MA0684.1.RUNX3	chr5	36538884	36538893	-	0.000	0.000	Merged-chr5-36538864-43
NR3053--MA0511.2.RUNX2	chr14	48246461	48246469	-	0.000	0.000	Merged-chr14-48246381-22
NR3225--MA0002.2.RUNX1	chr14	87452281	87452291	+	0.000	0.000	Merged-chr14-87452152-30
NR926--MA0002.2.RUNX1	chr10	20119533	20119543	-	0.000	0.000	Merged-chr10-20119637-31
NR340--MA0511.2.RUNX2	chr1	94092014	94092022	-	0.000	0.000	Merged-chr1-94091974-43
NR9388--MA0002.2.RUNX1	chr8	111577953	111577963	+	0.000	0.000	Merged-chr8-111578108-20
NR2971--MA0002.2.RUNX1	chr14	18665825	18665835	-	0.000	0.000	Merged-chr14-18665788-60
NR1896--MA0511.2.RUNX2	chr11	119076033	119076041	+	0.000	0.000	Merged-chr11-119075997-48
NR3083--MA0684.1.RUNX3	chr14	54426841	54426850	+	0.000	0.000	Merged-chr14-54426956-48
NR7442--MA0684.1.RUNX3	chr5	77125217	77125226	-	0.000	0.000	Merged-chr5-77125140-56
NR2081--MA0002.2.RUNX1	chr12	69539513	69539523	-	0.000	0.000	Merged-chr12-69539558-45
NR2352--MA0002.2.RUNX1	chr12	114914578	114914588	+	0.000	0.000	Merged-chr12-114914678-38
NR1277--MA0511.2.RUNX2	chr10	94334101	94334109	-	0.000	0.000	Merged-chr10-94333972-2
NR10025--MA0511.2.RUNX2	chr9	120866895	120866903	-	0.000	0.000	Merged-chr9-120866868-24
NR7089--MA0002.2.RUNX1	chr4	137900264	137900274	-	0.000	0.000	Merged-chr4-137900401-9
NR1055--MA0684.1.RUNX3	chr10	58480391	58480400	+	0.000	0.000	Merged-chr10-58480234-23
NR6711--MA0002.2.RUNX1	chr4	43000568	43000578	+	0.000	0.000	Merged-chr4-43000576-6
NR5266--MA0002.2.RUNX1	chr2	30124537	30124547	+	0.000	0.000	Merged-chr2-30124519-66
NR10055--MA0684.1.RUNX3	chrX	7422998	7423007	+	0.000	0.000	Merged-chrX-7422992-35
NR9083--MA0002.2.RUNX1	chr7	142393439	142393449	+	0.000	0.000	Merged-chr7-142393362-24
NR939--MA0002.2.RUNX1	chr10	21535820	21535830	+	0.000	0.000	Merged-chr10-21535730-30
NR4812--MA0684.1.RUNX3	chr18	77121745	77121754	+	0.000	0.000	Merged-chr18-77121790-35
NR8580--MA0511.2.RUNX2	chr7	34313587	34313595	-	0.000	0.000	Merged-chr7-34313409-64
NR1038--MA0511.2.RUNX2	chr10	53528047	53528055	-	0.000	0.000	Merged-chr10-53528225-64
NR254--MA0002.2.RUNX1	chr1	78538556	78538566	+	0.000	0.000	Merged-chr1-78538536-20
NR525--MA0002.2.RUNX1	chr1	143731099	143731109	+	0.000	0.000	Merged-chr1-143731119-20
NR10021--MA0684.1.RUNX3	chr9	119823990	119823999	+	0.000	0.000	Merged-chr9-119823942-29
NR7041--MA0684.1.RUNX3	chr4	132732479	132732488	+	0.000	0.000	Merged-chr4-132732449-43
NR2844--MA0511.2.RUNX2	chr13	103985184	103985192	+	0.000	0.000	Merged-chr13-103985203-6
NR8927--MA0002.2.RUNX1	chr7	118232820	118232830	-	0.000	0.000	Merged-chr7-118232958-8
NR492--MA0684.1.RUNX3	chr1	136609090	136609099	-	0.000	0.000	Merged-chr1-136609076-3
NR6710--MA0684.1.RUNX3	chr4	42945477	42945486	-	0.000	0.000	Merged-chr4-42945382-5
NR6291--MA0002.2.RUNX1	chr3	108562545	108562555	+	0.000	0.000	Merged-chr3-108562830-113
NR5487--MA0511.2.RUNX2	chr2	85725975	85725983	+	0.000	0.000	Merged-chr2-85725914-24
NR3412--MA0511.2.RUNX2	chr15	31649793	31649801	-	0.000	0.000	Merged-chr15-31649789-27
NR5122--MA0684.1.RUNX3	chr19	57411968	57411977	-	0.000	0.000	Merged-chr19-57412064-43
NR3508--MA0684.1.RUNX3	chr15	55327442	55327451	-	0.000	0.000	Merged-chr15-55327422-12
NR8351--MA0002.2.RUNX1	chr6	129312584	129312594	-	0.000	0.000	Merged-chr6-129312714-15
NR6671--MA0002.2.RUNX1	chr4	32388921	32388931	-	0.000	0.000	Merged-chr4-32388738-7
NR1014--MA0002.2.RUNX1	chr10	40212512	40212522	+	0.000	0.000	Merged-chr10-40212600-39
NR951--MA0511.2.RUNX2	chr10	23812342	23812350	+	0.000	0.000	Merged-chr10-23812313-29
NR7325--MA0684.1.RUNX3	chr5	34822909	34822918	-	0.000	0.000	Merged-chr5-34822830-22
NR7--MA0684.1.RUNX3	chr1	6519342	6519351	+	0.000	0.000	Merged-chr1-6519375-11
NR5645--MA0684.1.RUNX3	chr2	129816122	129816131	-	0.000	0.000	Merged-chr2-129816219-15
NR9684--MA0511.2.RUNX2	chr9	59959390	59959398	-	0.000	0.000	Merged-chr9-59959525-42
NR253--MA0684.1.RUNX3	chr1	78537715	78537724	+	0.000	0.000	Merged-chr1-78537773-101
NR1414--MA0684.1.RUNX3	chr10	120895928	120895937	+	0.000	0.000	Merged-chr10-120895921-55
NR918--MA0002.2.RUNX1	chr10	18743891	18743901	+	0.000	0.000	Merged-chr10-18743767-30
NR9528--MA0684.1.RUNX3	chr9	11513921	11513930	-	0.000	0.000	Merged-chr9-11513974-36
NR4372--MA0002.2.RUNX1	chr17	65541199	65541209	-	0.000	0.000	Merged-chr17-65540988-64
NR3297--MA0511.2.RUNX2	chr14	116210532	116210540	+	0.000	0.000	Merged-chr14-116210530-30
NR9270--MA0511.2.RUNX2	chr8	69749745	69749753	+	0.000	0.000	Merged-chr8-69749904-57
NR5083--MA0002.2.RUNX1	chr19	55261679	55261689	+	0.000	0.000	Merged-chr19-55261616-5
NR3469--MA0002.2.RUNX1	chr15	42371848	42371858	+	0.000	0.000	Merged-chr15-42371722-1
NR7163--MA0684.1.RUNX3	chr4	148509654	148509663	+	0.000	0.000	Merged-chr4-148509676-49
NR2344--MA0002.2.RUNX1	chr12	114583548	114583558	+	0.000	0.000	Merged-chr12-114583620-27
NR3869--MA0684.1.RUNX3	chr16	43376987	43376996	-	0.000	0.000	Merged-chr16-43376977-35
NR7037--MA0511.2.RUNX2	chr4	131861157	131861165	-	0.000	0.000	Merged-chr4-131861030-31
NR4900--MA0684.1.RUNX3	chr19	5257355	5257364	-	0.000	0.000	Merged-chr19-5257394-33
NR3726--MA0684.1.RUNX3	chr15	102376956	102376965	+	0.000	0.000	Merged-chr15-102377119-58
NR9889--MA0684.1.RUNX3	chr9	98616576	98616585	-	0.000	0.000	Merged-chr9-98616546-17
NR6955--MA0002.2.RUNX1	chr4	109471172	109471182	-	0.000	0.000	Merged-chr4-109471151-19
NR2453--MA0002.2.RUNX1	chr13	13517052	13517062	-	0.000	0.000	Merged-chr13-13516959-38
NR471--MA0684.1.RUNX3	chr1	131613518	131613527	+	0.000	0.000	Merged-chr1-131613618-28
NR59--MA0002.2.RUNX1	chr1	23272301	23272311	-	0.000	0.000	Merged-chr1-23272204-17
NR821--MA0511.2.RUNX2	chr1	191480308	191480316	-	0.000	0.000	Merged-chr1-191480137-17
NR5244--MA0684.1.RUNX3	chr2	26389341	26389350	+	0.000	0.000	Merged-chr2-26389230-66
NR4927--MA0002.2.RUNX1	chr19	11611826	11611836	+	0.000	0.000	Merged-chr19-11611733-15
NR5096--MA0002.2.RUNX1	chr19	56687200	56687210	-	0.000	0.000	Merged-chr19-56687212-16
NR5367--MA0002.2.RUNX1	chr2	59534595	59534605	+	0.000	0.000	Merged-chr2-59534510-22
NR451--MA0002.2.RUNX1	chr1	128614921	128614931	+	0.000	0.000	Merged-chr1-128615083-92
NR7003--MA0511.2.RUNX2	chr4	123416434	123416442	-	0.000	0.000	Merged-chr4-123416422-1
NR3438--MA0511.2.RUNX2	chr15	36650167	36650175	-	0.000	0.000	Merged-chr15-36650116-39
NR3339--MA0002.2.RUNX1	chr14	122908300	122908310	-	0.000	0.000	Merged-chr14-122908322-32
NR1615--MA0511.2.RUNX2	chr11	54153015	54153023	-	0.000	0.000	Merged-chr11-54152969-5
NR9392--MA0511.2.RUNX2	chr8	114264135	114264143	-	0.000	0.000	Merged-chr8-114264109-12
NR1122--MA0684.1.RUNX3	chr10	71226072	71226081	-	0.000	0.000	Merged-chr10-71226142-30
NR9236--MA0684.1.RUNX3	chr8	56476307	56476316	-	0.000	0.000	Merged-chr8-56476391-12
NR9507--MA0684.1.RUNX3	chr8	128223320	128223329	-	0.000	0.000	Merged-chr8-128223372-20
NR4080--MA0002.2.RUNX1	chr16	95820194	95820204	+	0.000	0.000	Merged-chr16-95820235-13
NR7679--MA0002.2.RUNX1	chr5	121564595	121564605	+	0.000	0.000	Merged-chr5-121564703-31
NR2737--MA0002.2.RUNX1	chr13	86046847	86046857	+	0.000	0.000	Merged-chr13-86046681-54
NR755--MA0684.1.RUNX3	chr1	182363906	182363915	+	0.000	0.000	Merged-chr1-182363988-37
NR8234--MA0002.2.RUNX1	chr6	115560178	115560188	+	0.000	0.000	Merged-chr6-115560075-18
NR7906--MA0511.2.RUNX2	chr6	38581836	38581844	-	0.000	0.000	Merged-chr6-38581914-20
NR7159--MA0511.2.RUNX2	chr4	148509654	148509662	+	0.000	0.000	Merged-chr4-148509676-49
NR4874--MA0002.2.RUNX1	chr18	84739719	84739729	+	0.000	0.000	Merged-chr18-84739701-13
NR5065--MA0511.2.RUNX2	chr19	46199108	46199116	-	0.000	0.000	Merged-chr19-46199074-12
NR7665--MA0684.1.RUNX3	chr5	118710116	118710125	-	0.000	0.000	Merged-chr5-118710096-15
NR3656--MA0511.2.RUNX2	chr15	93438922	93438930	-	0.000	0.000	Merged-chr15-93438886-30
NR9468--MA0002.2.RUNX1	chr8	124617348	124617358	-	0.000	0.000	Merged-chr8-124617386-28
NR4255--MA0002.2.RUNX1	chr17	37203822	37203832	+	0.000	0.000	Merged-chr17-37203831-32
NR9597--MA0684.1.RUNX3	chr9	42249428	42249437	+	0.000	0.000	Merged-chr9-42249420-32
NR6663--MA0002.2.RUNX1	chr4	26338756	26338766	-	0.000	0.000	Merged-chr4-26338850-16
NR2161--MA0002.2.RUNX1	chr12	85707195	85707205	+	0.000	0.000	Merged-chr12-85707188-3
NR639--MA0002.2.RUNX1	chr1	164413781	164413791	-	0.000	0.000	Merged-chr1-164413844-41
NR5889--MA0684.1.RUNX3	chr2	181411075	181411084	-	0.000	0.000	Merged-chr2-181411095-55
NR2955--MA0002.2.RUNX1	chr14	12307729	12307739	+	0.000	0.000	Merged-chr14-12307905-40
NR5018--MA0684.1.RUNX3	chr19	37419712	37419721	-	0.000	0.000	Merged-chr19-37419795-20
NR1009--MA0511.2.RUNX2	chr10	39793436	39793444	-	0.000	0.000	Merged-chr10-39793457-38
NR4986--MA0511.2.RUNX2	chr19	32112560	32112568	+	0.000	0.000	Merged-chr19-32112588-4
NR8181--MA0002.2.RUNX1	chr6	100390382	100390392	-	0.000	0.000	Merged-chr6-100390476-26
NR7278--MA0002.2.RUNX1	chr5	22740148	22740158	-	0.000	0.000	Merged-chr5-22740212-9
NR8581--MA0684.1.RUNX3	chr7	34313586	34313595	-	0.000	0.000	Merged-chr7-34313409-64
NR2336--MA0002.2.RUNX1	chr12	112976384	112976394	-	0.000	0.000	Merged-chr12-112976486-72
NR3047--MA0002.2.RUNX1	chr14	45080380	45080390	-	0.000	0.000	Merged-chr14-45080367-24
NR8104--MA0002.2.RUNX1	chr6	89632086	89632096	+	0.000	0.000	Merged-chr6-89632208-46
NR6775--MA0511.2.RUNX2	chr4	59275681	59275689	+	0.000	0.000	Merged-chr4-59275689-14
NR2588--MA0002.2.RUNX1	chr13	49298749	49298759	-	0.000	0.000	Merged-chr13-49298668-48
NR10096--MA0002.2.RUNX1	chrX	48429663	48429673	+	0.000	0.000	Merged-chrX-48429732-34
NR8627--MA0002.2.RUNX1	chr7	49828163	49828173	+	0.000	0.000	Merged-chr7-49828088-29
NR9067--MA0002.2.RUNX1	chr7	141059124	141059134	+	0.000	0.000	Merged-chr7-141058987-66
NR4996--MA0002.2.RUNX1	chr19	32496627	32496637	+	0.000	0.000	Merged-chr19-32496642-11
NR9609--MA0002.2.RUNX1	chr9	44515670	44515680	-	0.000	0.000	Merged-chr9-44515753-69
NR7387--MA0002.2.RUNX1	chr5	57719063	57719073	+	0.000	0.000	Merged-chr5-57718956-1
NR8879--MA0002.2.RUNX1	chr7	112918188	112918198	-	0.000	0.000	Merged-chr7-112918016-3
NR4730--MA0684.1.RUNX3	chr18	65312498	65312507	+	0.000	0.000	Merged-chr18-65312505-49
NR6804--MA0002.2.RUNX1	chr4	63861393	63861403	-	0.000	0.000	Merged-chr4-63861232-54
NR10019--MA0002.2.RUNX1	chr9	119823990	119824000	-	0.000	0.000	Merged-chr9-119823942-29
NR3112--MA0511.2.RUNX2	chr14	63104030	63104038	+	0.000	0.000	Merged-chr14-63104126-25
NR8835--MA0511.2.RUNX2	chr7	105554416	105554424	+	0.000	0.000	Merged-chr7-105554530-56
NR320--MA0684.1.RUNX3	chr1	91755271	91755280	-	0.000	0.000	Merged-chr1-91755348-8
NR2653--MA0511.2.RUNX2	chr13	63411080	63411088	-	0.000	0.000	Merged-chr13-63411317-71
NR8465--MA0002.2.RUNX1	chr6	145002345	145002355	+	0.000	0.000	Merged-chr6-145002461-23
NR8736--MA0002.2.RUNX1	chr7	80680394	80680404	+	0.000	0.000	Merged-chr7-80680474-47
NR3364--MA0511.2.RUNX2	chr15	9575030	9575038	-	0.000	0.000	Merged-chr15-9575046-48
NR5488--MA0684.1.RUNX3	chr2	85725975	85725984	+	0.000	0.000	Merged-chr2-85725914-24
NR3980--MA0002.2.RUNX1	chr16	72350540	72350550	-	0.000	0.000	Merged-chr16-72350554-25
NR8988--MA0002.2.RUNX1	chr7	128180662	128180672	+	0.000	0.000	Merged-chr7-128180557-37
NR5838--MA0511.2.RUNX2	chr2	169360519	169360527	+	0.000	0.000	Merged-chr2-169360551-6
NR4962--MA0002.2.RUNX1	chr19	21199928	21199938	+	0.000	0.000	Merged-chr19-21199898-12
NR6708--MA0002.2.RUNX1	chr4	41741302	41741312	+	0.000	0.000	Merged-chr4-41741113-91
NR1607--MA0511.2.RUNX2	chr11	52224161	52224169	+	0.000	0.000	Merged-chr11-52224357-50
NR281--MA0002.2.RUNX1	chr1	82900760	82900770	+	0.000	0.000	Merged-chr1-82900738-32
NR9162--MA0684.1.RUNX3	chr8	19161780	19161789	+	0.000	0.000	Merged-chr8-19161757-88
NR969--MA0511.2.RUNX2	chr10	26919701	26919709	-	0.000	0.000	Merged-chr10-26919627-16
NR2729--MA0002.2.RUNX1	chr13	84236725	84236735	+	0.000	0.000	Merged-chr13-84236811-14
NR4965--MA0511.2.RUNX2	chr19	21510326	21510334	-	0.000	0.000	Merged-chr19-21510334-13
NR3298--MA0684.1.RUNX3	chr14	116210532	116210541	+	0.000	0.000	Merged-chr14-116210530-30
NR3026--MA0002.2.RUNX1	chr14	32716930	32716940	-	0.000	0.000	Merged-chr14-32716978-71
NR2000--MA0511.2.RUNX2	chr12	26401906	26401914	+	0.000	0.000	Merged-chr12-26401651-77
NR7008--MA0511.2.RUNX2	chr4	124695933	124695941	-	0.000	0.000	Merged-chr4-124696004-25
NR4600--MA0684.1.RUNX3	chr18	35383457	35383466	+	0.000	0.000	Merged-chr18-35383519-5
NR3377--MA0511.2.RUNX2	chr15	18951819	18951827	-	0.000	0.000	Merged-chr15-18951851-25
