#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR330--MA0508.2.PRDM1	chr11	4289425	4289434	+	0.000	0.000	Merged-chr11-4289401-53
NR1015--MA0508.2.PRDM1	chr18	61479915	61479924	+	0.000	0.000	Merged-chr18-61480035-15
NR377--MA0508.2.PRDM1	chr11	71230780	71230789	+	0.000	0.000	Merged-chr11-71230864-28
NR1267--MA0508.2.PRDM1	chr2	166719507	166719516	-	0.000	0.000	Merged-chr2-166719426-29
NR200--MA0508.2.PRDM1	chr10	12607463	12607472	+	0.000	0.000	Merged-chr10-12607451-15
NR723--MA0508.2.PRDM1	chr14	73244295	73244304	-	0.000	0.000	Merged-chr14-73244258-38
NR247--MA0508.2.PRDM1	chr10	67620227	67620236	+	0.000	0.000	Merged-chr10-67620150-41
NR1137--MA0508.2.PRDM1	chr2	21223067	21223076	+	0.000	0.000	Merged-chr2-21222970-39
NR627--MA0508.2.PRDM1	chr13	96510935	96510944	+	0.000	0.000	Merged-chr13-96510915-80
NR2053--MA0508.2.PRDM1	chr9	7509854	7509863	-	0.000	0.000	Merged-chr9-7510063-49
NR194--MA0508.2.PRDM1	chr10	4357669	4357678	-	0.000	0.000	Merged-chr10-4357640-28
NR465--MA0508.2.PRDM1	chr12	69357234	69357243	-	0.000	0.000	Merged-chr12-69357106-39
NR988--MA0508.2.PRDM1	chr18	13787159	13787168	+	0.000	0.000	Merged-chr18-13787099-71
NR574--MA0508.2.PRDM1	chr13	30972270	30972279	-	0.000	0.000	Merged-chr13-30972253-49
NR1259--MA0508.2.PRDM1	chr2	158136068	158136077	-	0.000	0.000	Merged-chr2-158136037-2
NR683--MA0508.2.PRDM1	chr14	25839889	25839898	-	0.000	0.000	Merged-chr14-25839841-13
NR587--MA0508.2.PRDM1	chr13	51418622	51418631	+	0.000	0.000	Merged-chr13-51418745-22
NR444--MA0508.2.PRDM1	chr12	12172580	12172589	-	0.000	0.000	Merged-chr12-12172464-29
NR301--MA0508.2.PRDM1	chr10	115331040	115331049	+	0.000	0.000	Merged-chr10-115330938-3
NR2141--MA0508.2.PRDM1	chr9	111047460	111047469	-	0.000	0.000	Merged-chr9-111047494-21
NR2207--MA0508.2.PRDM1	chrX	159626349	159626358	-	0.000	0.000	Merged-chrX-159626513-14
NR2045--MA0508.2.PRDM1	chr8	128433663	128433672	-	0.000	0.000	Merged-chr8-128433570-8
NR314--MA0508.2.PRDM1	chr10	122054961	122054970	+	0.000	0.000	Merged-chr10-122054760-22
NR109--MA0508.2.PRDM1	chr1	152084876	152084885	-	0.000	0.000	Merged-chr1-152084822-56
NR566--MA0508.2.PRDM1	chr13	24419835	24419844	+	0.000	0.000	Merged-chr13-24419838-27
NR152--MA0508.2.PRDM1	chr1	179578866	179578875	+	0.000	0.000	Merged-chr1-179578897-31
NR423--MA0508.2.PRDM1	chr11	106556714	106556723	-	0.000	0.000	Merged-chr11-106556790-19
NR218--MA0508.2.PRDM1	chr10	30655970	30655979	+	0.000	0.000	Merged-chr10-30655945-56
NR327--MA0508.2.PRDM1	chr10	130324423	130324432	+	0.000	0.000	Merged-chr10-130324467-31
NR1932--MA0508.2.PRDM1	chr7	115430369	115430378	-	0.000	0.000	Merged-chr7-115430253-20
NR2167--MA0508.2.PRDM1	chrX	12151831	12151840	+	0.000	0.000	Merged-chrX-12151801-24
NR436--MA0508.2.PRDM1	chr11	118731816	118731825	-	0.000	0.000	Merged-chr11-118731916-25
NR797--MA0508.2.PRDM1	chr15	76251890	76251899	-	0.000	0.000	Merged-chr15-76251941-7
NR383--MA0508.2.PRDM1	chr11	74973510	74973519	+	0.000	0.000	Merged-chr11-74973432-13
NR449--MA0508.2.PRDM1	chr12	26460267	26460276	-	0.000	0.000	Merged-chr12-26460097-25
NR1640--MA0508.2.PRDM1	chr5	115347840	115347849	-	0.000	0.000	Merged-chr5-115347790-23
NR1911--MA0508.2.PRDM1	chr7	97749001	97749010	-	0.000	0.000	Merged-chr7-97749220-165
NR2146--MA0508.2.PRDM1	chr9	114794612	114794621	+	0.000	0.000	Merged-chr9-114794637-24
NR287--MA0508.2.PRDM1	chr10	96516043	96516052	-	0.000	0.000	Merged-chr10-96516077-12
NR829--MA0508.2.PRDM1	chr16	10769881	10769890	+	0.000	0.000	Merged-chr16-10769811-36
NR2003--MA0508.2.PRDM1	chr8	71988694	71988703	+	0.000	0.000	Merged-chr8-71988666-16
NR144--MA0508.2.PRDM1	chr1	173624273	173624282	+	0.000	0.000	Merged-chr1-173624382-21
NR396--MA0508.2.PRDM1	chr11	84252631	84252640	+	0.000	0.000	Merged-chr11-84252620-21
NR938--MA0508.2.PRDM1	chr17	44675234	44675243	+	0.000	0.000	Merged-chr17-44675111-13
NR2093--MA0508.2.PRDM1	chr9	61332385	61332394	+	0.000	0.000	Merged-chr9-61332388-31
NR157--MA0508.2.PRDM1	chr1	182100571	182100580	+	0.000	0.000	Merged-chr1-182100503-13
NR1491--MA0508.2.PRDM1	chr4	118449834	118449843	-	0.000	0.000	Merged-chr4-118449765-23
NR1762--MA0508.2.PRDM1	chr6	120124993	120125002	+	0.000	0.000	Merged-chr6-120124865-39
NR1632--MA0508.2.PRDM1	chr5	108349919	108349928	-	0.000	0.000	Merged-chr5-108349848-29
NR2138--MA0508.2.PRDM1	chr9	108163910	108163919	+	0.000	0.000	Merged-chr9-108163865-26
NR388--MA0508.2.PRDM1	chr11	79132194	79132203	-	0.000	0.000	Merged-chr11-79132078-52
NR2104--MA0508.2.PRDM1	chr9	69458161	69458170	-	0.000	0.000	Merged-chr9-69458326-40
NR1850--MA0508.2.PRDM1	chr7	25774503	25774512	+	0.000	0.000	Merged-chr7-25774614-28
NR497--MA0508.2.PRDM1	chr12	100928450	100928459	-	0.000	0.000	Merged-chr12-100928517-22
NR2008--MA0508.2.PRDM1	chr8	84106799	84106808	-	0.000	0.000	Merged-chr8-84106629-28
NR149--MA0508.2.PRDM1	chr1	177667227	177667236	-	0.000	0.000	Merged-chr1-177667213-17
NR2194--MA0508.2.PRDM1	chrX	105721306	105721315	+	0.000	0.000	Merged-chrX-105721364-12
NR529--MA0508.2.PRDM1	chr12	116620104	116620113	+	0.000	0.000	Merged-chr12-116620074-47
NR1592--MA0508.2.PRDM1	chr5	72711043	72711052	+	0.000	0.000	Merged-chr5-72711065-15
NR1863--MA0508.2.PRDM1	chr7	44344860	44344869	+	0.000	0.000	Merged-chr7-44344765-20
NR2098--MA0508.2.PRDM1	chr9	64179231	64179240	-	0.000	0.000	Merged-chr9-64179300-60
NR115--MA0508.2.PRDM1	chr1	160006268	160006277	+	0.000	0.000	Merged-chr1-160006258-20
NR1720--MA0508.2.PRDM1	chr6	72900502	72900511	+	0.000	0.000	Merged-chr6-72900407-12
NR1972--MA0508.2.PRDM1	chr8	8334599	8334608	-	0.000	0.000	Merged-chr8-8334812-71
NR2064--MA0508.2.PRDM1	chr9	31090840	31090849	+	0.000	0.000	Merged-chr9-31090729-18
NR1210--MA0508.2.PRDM1	chr2	117352885	117352894	+	0.000	0.000	Merged-chr2-117352784-31
NR2173--MA0508.2.PRDM1	chrX	42366006	42366015	+	0.000	0.000	Merged-chrX-42366064-18
NR237--MA0508.2.PRDM1	chr10	57448192	57448201	+	0.000	0.000	Merged-chr10-57448269-42
NR2077--MA0508.2.PRDM1	chr9	44772236	44772245	+	0.000	0.000	Merged-chr9-44772185-16
NR2205--MA0508.2.PRDM1	chrX	159199720	159199729	+	0.000	0.000	Merged-chrX-159199808-53
NR2109--MA0508.2.PRDM1	chr9	73039628	73039637	+	0.000	0.000	Merged-chr9-73039544-65
NR1584--MA0508.2.PRDM1	chr5	64488158	64488167	+	0.000	0.000	Merged-chr5-64487990-63
NR1855--MA0508.2.PRDM1	chr7	34918665	34918674	+	0.000	0.000	Merged-chr7-34918703-8
NR1441--MA0508.2.PRDM1	chr4	35004666	35004675	+	0.000	0.000	Merged-chr4-35004721-11
NR1712--MA0508.2.PRDM1	chr6	65516947	65516956	-	0.000	0.000	Merged-chr6-65516920-38
NR1693--MA0508.2.PRDM1	chr6	35462700	35462709	+	0.000	0.000	Merged-chr6-35462751-23
NR1821--MA0508.2.PRDM1	chr6	145276475	145276484	+	0.000	0.000	Merged-chr6-145276388-70
NR468--MA0508.2.PRDM1	chr12	71979071	71979080	+	0.000	0.000	Merged-chr12-71979054-1
NR1868--MA0508.2.PRDM1	chr7	48795341	48795350	+	0.000	0.000	Merged-chr7-48795353-37
NR1725--MA0508.2.PRDM1	chr6	83312557	83312566	-	0.000	0.000	Merged-chr6-83312550-87
NR1563--MA0508.2.PRDM1	chr5	24039748	24039757	+	0.000	0.000	Merged-chr5-24039695-21
NR1834--MA0508.2.PRDM1	chr6	147672795	147672804	+	0.000	0.000	Merged-chr6-147672675-1
NR338--MA0508.2.PRDM1	chr11	19977900	19977909	+	0.000	0.000	Merged-chr11-19977912-19
NR1781--MA0508.2.PRDM1	chr6	129049201	129049210	+	0.000	0.000	Merged-chr6-129049251-27
NR1576--MA0508.2.PRDM1	chr5	53509711	53509720	-	0.000	0.000	Merged-chr5-53509705-20
NR1433--MA0508.2.PRDM1	chr4	15958522	15958531	-	0.000	0.000	Merged-chr4-15958337-98
NR2144--MA0508.2.PRDM1	chr9	113917083	113917092	+	0.000	0.000	Merged-chr9-113917131-18
NR1890--MA0508.2.PRDM1	chr7	75914211	75914220	+	0.000	0.000	Merged-chr7-75914112-33
NR1685--MA0508.2.PRDM1	chr6	17629954	17629963	-	0.000	0.000	Merged-chr6-17630018-29
NR189--MA0508.2.PRDM1	chr1	193146655	193146664	-	0.000	0.000	Merged-chr1-193146532-29
NR1794--MA0508.2.PRDM1	chr6	135011572	135011581	-	0.000	0.000	Merged-chr6-135011680-51
NR1446--MA0508.2.PRDM1	chr4	48012445	48012454	+	0.000	0.000	Merged-chr4-48012358-52
NR1969--MA0508.2.PRDM1	chr7	144392381	144392390	+	0.000	0.000	Merged-chr7-144392257-11
NR2014--MA0508.2.PRDM1	chr8	90877381	90877390	-	0.000	0.000	Merged-chr8-90877142-94
NR870--MA0508.2.PRDM1	chr16	52147413	52147422	+	0.000	0.000	Merged-chr16-52147489-52
NR1760--MA0508.2.PRDM1	chr6	115021351	115021360	-	0.000	0.000	Merged-chr6-115021349-12
NR1826--MA0508.2.PRDM1	chr6	145616546	145616555	-	0.000	0.000	Merged-chr6-145616643-48
NR1141--MA0508.2.PRDM1	chr2	24385135	24385144	+	0.000	0.000	Merged-chr2-24385282-51
NR1393--MA0508.2.PRDM1	chr3	142243504	142243513	+	0.000	0.000	Merged-chr3-142243538-27
NR1664--MA0508.2.PRDM1	chr5	140871436	140871445	+	0.000	0.000	Merged-chr5-140871418-38
NR902--MA0508.2.PRDM1	chr17	5747919	5747928	+	0.000	0.000	Merged-chr17-5748141-46
NR1250--MA0508.2.PRDM1	chr2	150915342	150915351	-	0.000	0.000	Merged-chr2-150915256-26
NR1316--MA0508.2.PRDM1	chr3	68692366	68692375	-	0.000	0.000	Merged-chr3-68692376-11
NR1839--MA0508.2.PRDM1	chr7	6343580	6343589	+	0.000	0.000	Merged-chr7-6343741-28
NR740--MA0508.2.PRDM1	chr14	99265969	99265978	+	0.000	0.000	Merged-chr14-99266048-28
NR1630--MA0508.2.PRDM1	chr5	107966411	107966420	+	0.000	0.000	Merged-chr5-107966354-1
NR1154--MA0508.2.PRDM1	chr2	48328422	48328431	+	0.000	0.000	Merged-chr2-48328415-44
NR1882--MA0508.2.PRDM1	chr7	66661999	66662008	+	0.000	0.000	Merged-chr7-66661793-46
NR1011--MA0508.2.PRDM1	chr18	60375874	60375883	+	0.000	0.000	Merged-chr18-60375896-42
NR1948--MA0508.2.PRDM1	chr7	127296335	127296344	-	0.000	0.000	Merged-chr7-127296371-62
NR1805--MA0508.2.PRDM1	chr6	140441031	140441040	-	0.000	0.000	Merged-chr6-140440916-30
NR1709--MA0508.2.PRDM1	chr6	61263634	61263643	+	0.000	0.000	Merged-chr6-61263601-18
NR1895--MA0508.2.PRDM1	chr7	80918284	80918293	+	0.000	0.000	Merged-chr7-80918248-31
NR862--MA0508.2.PRDM1	chr16	44735854	44735863	-	0.000	0.000	Merged-chr16-44735956-40
NR1752--MA0508.2.PRDM1	chr6	108214719	108214728	-	0.000	0.000	Merged-chr6-108214534-39
NR1276--MA0508.2.PRDM1	chr2	173660538	173660547	+	0.000	0.000	Merged-chr2-173660540-10
NR1547--MA0508.2.PRDM1	chr4	155208111	155208120	+	0.000	0.000	Merged-chr4-155208089-31
NR1385--MA0508.2.PRDM1	chr3	136905485	136905494	-	0.000	0.000	Merged-chr3-136905694-23
NR1656--MA0508.2.PRDM1	chr5	135703036	135703045	-	0.000	0.000	Merged-chr5-135702928-61
NR1080--MA0508.2.PRDM1	chr19	30924247	30924256	-	0.000	0.000	Merged-chr19-30924347-34
NR1622--MA0508.2.PRDM1	chr5	105495369	105495378	+	0.000	0.000	Merged-chr5-105495544-71
NR1146--MA0508.2.PRDM1	chr2	29820433	29820442	+	0.000	0.000	Merged-chr2-29820454-25
NR984--MA0508.2.PRDM1	chr18	12305534	12305543	-	0.000	0.000	Merged-chr18-12305591-61
NR1874--MA0508.2.PRDM1	chr7	58750043	58750052	-	0.000	0.000	Merged-chr7-58750204-53
NR1003--MA0508.2.PRDM1	chr18	41979577	41979586	-	0.000	0.000	Merged-chr18-41979653-39
NR1669--MA0508.2.PRDM1	chr5	147056575	147056584	+	0.000	0.000	Merged-chr5-147056747-2
NR570--MA0508.2.PRDM1	chr13	30166640	30166649	-	0.000	0.000	Merged-chr13-30166672-75
NR841--MA0508.2.PRDM1	chr16	24527382	24527391	+	0.000	0.000	Merged-chr16-24527284-22
NR1016--MA0508.2.PRDM1	chr18	61614597	61614606	+	0.000	0.000	Merged-chr18-61614590-32
NR1744--MA0508.2.PRDM1	chr6	97352996	97353005	-	0.000	0.000	Merged-chr6-97352887-53
NR1268--MA0508.2.PRDM1	chr2	167589433	167589442	-	0.000	0.000	Merged-chr2-167589263-66
NR711--MA0508.2.PRDM1	chr14	62347383	62347392	-	0.000	0.000	Merged-chr14-62347330-30
NR1996--MA0508.2.PRDM1	chr8	70477076	70477085	-	0.000	0.000	Merged-chr8-70476979-59
NR91--MA0508.2.PRDM1	chr1	138559977	138559986	+	0.000	0.000	Merged-chr1-138559796-44
NR692--MA0508.2.PRDM1	chr14	36932209	36932218	+	0.000	0.000	Merged-chr14-36932132-23
NR1377--MA0508.2.PRDM1	chr3	130079943	130079952	-	0.000	0.000	Merged-chr3-130079963-23
NR820--MA0508.2.PRDM1	chr15	99715098	99715107	-	0.000	0.000	Merged-chr15-99715119-21
NR1486--MA0508.2.PRDM1	chr4	108318626	108318635	-	0.000	0.000	Merged-chr4-108318608-15
NR1614--MA0508.2.PRDM1	chr5	96825041	96825050	+	0.000	0.000	Merged-chr5-96825060-50
NR1723--MA0508.2.PRDM1	chr6	82775583	82775592	+	0.000	0.000	Merged-chr6-82775550-35
NR70--MA0508.2.PRDM1	chr1	106866849	106866858	-	0.000	0.000	Merged-chr1-106866899-32
NR1356--MA0508.2.PRDM1	chr3	108124505	108124514	-	0.000	0.000	Merged-chr3-108124378-33
NR1213--MA0508.2.PRDM1	chr2	119742213	119742222	-	0.000	0.000	Merged-chr2-119742331-93
NR1879--MA0508.2.PRDM1	chr7	64090106	64090115	+	0.000	0.000	Merged-chr7-64090173-26
NR1465--MA0508.2.PRDM1	chr4	63853965	63853974	+	0.000	0.000	Merged-chr4-63853989-30
NR432--MA0508.2.PRDM1	chr11	113009617	113009626	+	0.000	0.000	Merged-chr11-113009621-13
NR703--MA0508.2.PRDM1	chr14	53132677	53132686	+	0.000	0.000	Merged-chr14-53132661-29
NR1988--MA0508.2.PRDM1	chr8	46196986	46196995	+	0.000	0.000	Merged-chr8-46197044-15
NR83--MA0508.2.PRDM1	chr1	136398254	136398263	+	0.000	0.000	Merged-chr1-136398256-13
NR955--MA0508.2.PRDM1	chr17	65741428	65741437	+	0.000	0.000	Merged-chr17-65741371-24
NR1845--MA0508.2.PRDM1	chr7	16201347	16201356	+	0.000	0.000	Merged-chr7-16201318-27
NR793--MA0508.2.PRDM1	chr15	73629824	73629833	-	0.000	0.000	Merged-chr15-73629813-13
NR650--MA0508.2.PRDM1	chr13	112424799	112424808	-	0.000	0.000	Merged-chr13-112424975-114
NR302--MA0508.2.PRDM1	chr10	116487223	116487232	+	0.000	0.000	Merged-chr10-116487356-53
NR1858--MA0508.2.PRDM1	chr7	39642546	39642555	+	0.000	0.000	Merged-chr7-39642605-22
NR19--MA0508.2.PRDM1	chr1	40847760	40847769	+	0.000	0.000	Merged-chr1-40847809-27
NR1444--MA0508.2.PRDM1	chr4	44065641	44065650	+	0.000	0.000	Merged-chr4-44065712-54
NR1239--MA0508.2.PRDM1	chr2	146606417	146606426	+	0.000	0.000	Merged-chr2-146606447-27
NR140--MA0508.2.PRDM1	chr1	171840909	171840918	+	0.000	0.000	Merged-chr1-171840729-47
NR411--MA0508.2.PRDM1	chr11	99117046	99117055	-	0.000	0.000	Merged-chr11-99116882-2
NR1696--MA0508.2.PRDM1	chr6	38789506	38789515	+	0.000	0.000	Merged-chr6-38789563-52
NR934--MA0508.2.PRDM1	chr17	35861165	35861174	+	0.000	0.000	Merged-chr17-35861437-48
NR1077--MA0508.2.PRDM1	chr19	23141120	23141129	-	0.000	0.000	Merged-chr19-23141154-104
NR1619--MA0508.2.PRDM1	chr5	103412565	103412574	-	0.000	0.000	Merged-chr5-103412550-11
NR520--MA0508.2.PRDM1	chr12	115298215	115298224	-	0.000	0.000	Merged-chr12-115298159-31
NR1186--MA0508.2.PRDM1	chr2	90890289	90890298	+	0.000	0.000	Merged-chr2-90890259-1
NR1457--MA0508.2.PRDM1	chr4	59295300	59295309	-	0.000	0.000	Merged-chr4-59295271-36
NR1728--MA0508.2.PRDM1	chr6	85131880	85131889	-	0.000	0.000	Merged-chr6-85131905-22
NR1043--MA0508.2.PRDM1	chr18	84085842	84085851	+	0.000	0.000	Merged-chr18-84086022-5
NR1314--MA0508.2.PRDM1	chr3	65929709	65929718	-	0.000	0.000	Merged-chr3-65929899-83
NR1295--MA0508.2.PRDM1	chr3	35721792	35721801	+	0.000	0.000	Merged-chr3-35722000-30
NR1566--MA0508.2.PRDM1	chr5	28269860	28269869	-	0.000	0.000	Merged-chr5-28269924-54
NR371--MA0508.2.PRDM1	chr11	67085426	67085435	+	0.000	0.000	Merged-chr11-67085604-35
NR913--MA0508.2.PRDM1	chr17	18558993	18559002	+	0.000	0.000	Merged-chr17-18558777-104
NR894--MA0508.2.PRDM1	chr16	93839202	93839211	+	0.000	0.000	Merged-chr16-93839317-9
NR1579--MA0508.2.PRDM1	chr5	62610141	62610150	+	0.000	0.000	Merged-chr5-62610074-16
NR751--MA0508.2.PRDM1	chr14	118658125	118658134	-	0.000	0.000	Merged-chr14-118658326-68
NR817--MA0508.2.PRDM1	chr15	97373996	97374005	-	0.000	0.000	Merged-chr15-97373973-3
NR860--MA0508.2.PRDM1	chr16	37094555	37094564	-	0.000	0.000	Merged-chr16-37094405-73
NR926--MA0508.2.PRDM1	chr17	33092501	33092510	-	0.000	0.000	Merged-chr17-33092643-43
NR1069--MA0508.2.PRDM1	chr19	16956031	16956040	+	0.000	0.000	Merged-chr19-16955982-11
NR2100--MA0508.2.PRDM1	chr9	66142400	66142409	-	0.000	0.000	Merged-chr9-66142492-15
NR241--MA0508.2.PRDM1	chr10	59707794	59707803	-	0.000	0.000	Merged-chr10-59707523-19
