#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR997--MA0731.1.BCL6B	chr15	78596960	78596976	+	0.000	0.000	Merged-chr15-78597127-20
NR1668--MA0463.1.Bcl6	chr3	95722632	95722645	-	0.000	0.000	Merged-chr3-95722546-39
NR344--MA0731.1.BCL6B	chr10	91032634	91032650	+	0.000	0.000	Merged-chr10-91032614-23
NR673--MA0463.1.Bcl6	chr13	58472069	58472082	+	0.000	0.000	Merged-chr13-58471878-37
NR1574--MA0463.1.Bcl6	chr2	167313926	167313939	+	0.000	0.000	Merged-chr2-167313855-44
NR570--MA0463.1.Bcl6	chr12	85123320	85123333	+	0.000	0.000	Merged-chr12-85123310-39
NR212--MA0463.1.Bcl6	chr1	182108765	182108778	-	0.000	0.000	Merged-chr1-182108715-18
NR2564--MA0731.1.BCL6B	chr8	125557520	125557536	+	0.000	0.000	Merged-chr8-125557520-11
NR1225--MA0463.1.Bcl6	chr17	83850592	83850605	+	0.000	0.000	Merged-chr17-83850809-47
NR2163--MA0731.1.BCL6B	chr6	29272518	29272534	+	0.000	0.000	Merged-chr6-29272695-53
NR1561--MA0731.1.BCL6B	chr2	157131153	157131169	-	0.000	0.000	Merged-chr2-157131278-25
NR687--MA0463.1.Bcl6	chr13	67844440	67844453	-	0.000	0.000	Merged-chr13-67844387-42
NR226--MA0463.1.Bcl6	chr1	191599406	191599419	-	0.000	0.000	Merged-chr1-191599385-45
NR1127--MA0463.1.Bcl6	chr16	91076424	91076437	-	0.000	0.000	Merged-chr16-91076341-10
NR2696--MA0463.1.Bcl6	chrX	52760348	52760361	+	0.000	0.000	Merged-chrX-52760494-47
NR2123--MA0463.1.Bcl6	chr5	139364756	139364769	-	0.000	0.000	Merged-chr5-139364927-1
NR2329--MA0463.1.Bcl6	chr7	39544308	39544321	+	0.000	0.000	Merged-chr7-39544508-62
NR1933--MA0463.1.Bcl6	chr4	129570169	129570182	-	0.000	0.000	Merged-chr4-129570214-45
NR2046--MA0731.1.BCL6B	chr5	58736592	58736608	+	0.000	0.000	Merged-chr5-58736772-10
NR2155--MA0731.1.BCL6B	chr6	24310925	24310941	-	0.000	0.000	Merged-chr6-24310854-8
NR296--MA0731.1.BCL6B	chr10	39039685	39039701	+	0.000	0.000	Merged-chr10-39039718-5
NR1181--MA0463.1.Bcl6	chr17	43233050	43233063	+	0.000	0.000	Merged-chr17-43233095-49
NR1705--MA0463.1.Bcl6	chr3	126596843	126596856	+	0.000	0.000	Merged-chr3-126597082-207
NR1293--MA0463.1.Bcl6	chr18	68059323	68059336	+	0.000	0.000	Merged-chr18-68059360-81
NR2486--MA0463.1.Bcl6	chr8	53630672	53630685	+	0.000	0.000	Merged-chr8-53630787-29
NR1047--MA0463.1.Bcl6	chr16	21412734	21412747	-	0.000	0.000	Merged-chr16-21412806-39
NR2243--MA0731.1.BCL6B	chr6	112207462	112207478	-	0.000	0.000	Merged-chr6-112207426-39
NR2500--MA0463.1.Bcl6	chr8	69832490	69832503	+	0.000	0.000	Merged-chr8-69832557-54
NR299--MA0463.1.Bcl6	chr10	42843275	42843288	+	0.000	0.000	Merged-chr10-42843414-7
NR872--MA0463.1.Bcl6	chr14	75899662	75899675	+	0.000	0.000	Merged-chr14-75899694-30
NR1885--MA0463.1.Bcl6	chr4	96591234	96591247	-	0.000	0.000	Merged-chr4-96591096-6
NR859--MA0463.1.Bcl6	chr14	57910807	57910820	+	0.000	0.000	Merged-chr14-57910674-41
NR1471--MA0731.1.BCL6B	chr2	91986429	91986445	+	0.000	0.000	Merged-chr2-91986276-9
NR644--MA0463.1.Bcl6	chr13	20502948	20502961	-	0.000	0.000	Merged-chr13-20502802-9
NR2519--MA0731.1.BCL6B	chr8	85060065	85060081	+	0.000	0.000	Merged-chr8-85060180-46
NR877--MA0463.1.Bcl6	chr14	79390423	79390436	+	0.000	0.000	Merged-chr14-79390621-66
NR1675--MA0463.1.Bcl6	chr3	98281002	98281015	-	0.000	0.000	Merged-chr3-98281152-46
NR322--MA0463.1.Bcl6	chr10	60351997	60352010	-	0.000	0.000	Merged-chr10-60352057-41
NR649--MA0463.1.Bcl6	chr13	23581784	23581797	+	0.000	0.000	Merged-chr13-23581680-55
NR340--MA0463.1.Bcl6	chr10	89295031	89295044	+	0.000	0.000	Merged-chr10-89294916-1
NR77--MA0463.1.Bcl6	chr1	66714310	66714323	+	0.000	0.000	Merged-chr1-66714205-8
NR2322--MA0463.1.Bcl6	chr7	28780269	28780282	-	0.000	0.000	Merged-chr7-28780400-13
NR797--MA0463.1.Bcl6	chr14	13080302	13080315	-	0.000	0.000	Merged-chr14-13080160-1
NR1022--MA0463.1.Bcl6	chr16	7234459	7234472	+	0.000	0.000	Merged-chr16-7234365-2
NR2112--MA0463.1.Bcl6	chr5	124496988	124497001	-	0.000	0.000	Merged-chr5-124497096-41
NR2439--MA0463.1.Bcl6	chr7	141064305	141064318	+	0.000	0.000	Merged-chr7-141064290-23
NR466--MA0463.1.Bcl6	chr11	98682471	98682484	+	0.000	0.000	Merged-chr11-98682471-63
NR661--MA0731.1.BCL6B	chr13	37312532	37312548	+	0.000	0.000	Merged-chr13-37312646-27
NR1009--MA0463.1.Bcl6	chr15	102526799	102526812	+	0.000	0.000	Merged-chr15-102526608-8
NR1479--MA0463.1.Bcl6	chr2	103638728	103638741	+	0.000	0.000	Merged-chr2-103638879-10
NR2457--MA0463.1.Bcl6	chr8	25994109	25994122	-	0.000	0.000	Merged-chr8-25994134-53
NR1170--MA0463.1.Bcl6	chr17	32424202	32424215	-	0.000	0.000	Merged-chr17-32424197-48
NR1027--MA0463.1.Bcl6	chr16	8870026	8870039	+	0.000	0.000	Merged-chr16-8869938-27
NR2260--MA0463.1.Bcl6	chr6	127582688	127582701	+	0.000	0.000	Merged-chr6-127582626-90
NR162--MA0463.1.Bcl6	chr1	155281795	155281808	+	0.000	0.000	Merged-chr1-155281669-27
NR892--MA0731.1.BCL6B	chr14	103550684	103550700	+	0.000	0.000	Merged-chr14-103550672-31
NR1269--MA0463.1.Bcl6	chr18	42589626	42589639	+	0.000	0.000	Merged-chr18-42589675-37
NR1163--MA0731.1.BCL6B	chr17	21501098	21501114	-	0.000	0.000	Merged-chr17-21500914-14
NR274--MA0463.1.Bcl6	chr10	21553115	21553128	-	0.000	0.000	Merged-chr10-21553167-27
NR1176--MA0731.1.BCL6B	chr17	35823017	35823033	+	0.000	0.000	Merged-chr17-35823208-57
NR1189--MA0463.1.Bcl6	chr17	51762828	51762841	+	0.000	0.000	Merged-chr17-51762690-29
NR2167--MA0463.1.Bcl6	chr6	32314436	32314449	-	0.000	0.000	Merged-chr6-32314262-1
NR1426--MA0731.1.BCL6B	chr2	60204337	60204353	+	0.000	0.000	Merged-chr2-60204421-25
NR1780--MA0463.1.Bcl6	chr4	9630905	9630918	+	0.000	0.000	Merged-chr4-9631004-95
NR2606--MA0463.1.Bcl6	chr9	61385976	61385989	+	0.000	0.000	Merged-chr9-61385921-10
NR1896--MA0731.1.BCL6B	chr4	101298359	101298375	-	0.000	0.000	Merged-chr4-101298593-40
NR1440--MA0463.1.Bcl6	chr2	69862573	69862586	-	0.000	0.000	Merged-chr2-69862499-13
NR508--MA0463.1.Bcl6	chr12	25864290	25864303	+	0.000	0.000	Merged-chr12-25864437-46
NR191--MA0731.1.BCL6B	chr1	172277328	172277344	+	0.000	0.000	Merged-chr1-172277440-42
NR571--MA0731.1.BCL6B	chr12	85123318	85123334	+	0.000	0.000	Merged-chr12-85123310-39
NR332--MA0731.1.BCL6B	chr10	77984605	77984621	-	0.000	0.000	Merged-chr10-77984793-34
NR998--MA0731.1.BCL6B	chr15	78903365	78903381	-	0.000	0.000	Merged-chr15-78903471-19
NR1669--MA0463.1.Bcl6	chr3	96273720	96273733	-	0.000	0.000	Merged-chr3-96273916-38
NR101--MA0463.1.Bcl6	chr1	85894504	85894517	+	0.000	0.000	Merged-chr1-85894541-45
NR1360--MA0463.1.Bcl6	chr2	5845145	5845158	-	0.000	0.000	Merged-chr2-5845147-67
NR1472--MA0463.1.Bcl6	chr2	92055638	92055651	-	0.000	0.000	Merged-chr2-92055769-38
NR325--MA0463.1.Bcl6	chr10	66864663	66864676	-	0.000	0.000	Merged-chr10-66864707-69
NR2562--MA0463.1.Bcl6	chr8	124266025	124266038	+	0.000	0.000	Merged-chr8-124265993-45
NR1073--MA0731.1.BCL6B	chr16	44321829	44321845	+	0.000	0.000	Merged-chr16-44321913-9
NR558--MA0463.1.Bcl6	chr12	71932985	71932998	-	0.000	0.000	Merged-chr12-71933079-55
NR1911--MA0463.1.Bcl6	chr4	116651704	116651717	-	0.000	0.000	Merged-chr4-116651530-57
NR361--MA0463.1.Bcl6	chr10	99592154	99592167	-	0.000	0.000	Merged-chr10-99592304-27
NR209--MA0463.1.Bcl6	chr1	180829885	180829898	+	0.000	0.000	Merged-chr1-180830009-39
NR324--MA0731.1.BCL6B	chr10	63176747	63176763	+	0.000	0.000	Merged-chr10-63176806-32
