#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR25303--MA0599.1.KLF5	chr16	91464980	91464989	-	0.000	0.000	Merged-chr16-91465021-54
NR52487--MA0599.1.KLF5	chr6	66535292	66535301	-	0.000	0.000	Merged-chr6-66535397-73
NR26178--MA0599.1.KLF5	chr17	15704876	15704885	+	0.000	0.000	Merged-chr17-15704757-20
NR56917--MA1107.1.KLF9	chr7	64012074	64012086	-	0.000	0.000	Merged-chr7-64011985-78
NR38477--MA0493.1.Klf1	chr3	10013169	10013179	-	0.000	0.000	Merged-chr3-10012893-114
NR22433--MA0741.1.KLF16	chr15	80930410	80930420	-	0.000	0.000	Merged-chr15-80930587-88
NR16323--MA0742.1.Klf12	chr13	49147864	49147878	-	0.000	0.000	Merged-chr13-49147793-21
NR55873--MA0599.1.KLF5	chr7	25689485	25689494	-	0.000	0.000	Merged-chr7-25689415-98
NR52468--MA1107.1.KLF9	chr6	65662241	65662253	+	0.000	0.000	Merged-chr6-65662238-38
NR6919--MA0599.1.KLF5	chr10	84440818	84440827	-	0.000	0.000	Merged-chr10-84440807-71
NR12012--MA0599.1.KLF5	chr11	102393631	102393640	-	0.000	0.000	Merged-chr11-102393451-21
NR9629--MA0599.1.KLF5	chr11	50225259	50225268	+	0.000	0.000	Merged-chr11-50225207-103
NR63812--MA1107.1.KLF9	chr9	37236226	37236238	-	0.000	0.000	Merged-chr9-37236124-32
NR31195--MA0741.1.KLF16	chr19	5273128	5273138	-	0.000	0.000	Merged-chr19-5273188-67
NR62092--MA0599.1.KLF5	chr8	105413578	105413587	-	0.000	0.000	Merged-chr8-105413638-3
NR35668--MA1107.1.KLF9	chr2	112240497	112240509	+	0.000	0.000	Merged-chr2-112240570-1
NR49992--MA0741.1.KLF16	chr5	125475824	125475834	-	0.000	0.000	Merged-chr5-125475935-61
NR16559--MA0493.1.Klf1	chr13	54503744	54503754	-	0.000	0.000	Merged-chr13-54503961-93
NR42582--MA0599.1.KLF5	chr4	34882313	34882322	-	0.000	0.000	Merged-chr4-34882306-3
NR21860--MA1107.1.KLF9	chr15	67145608	67145620	-	0.000	0.000	Merged-chr15-67145484-28
NR50540--MA0599.1.KLF5	chr5	137294490	137294499	-	0.000	0.000	Merged-chr5-137294401-73
NR18389--MA0741.1.KLF16	chr13	117203133	117203143	+	0.000	0.000	Merged-chr13-117203167-67
NR15604--MA0599.1.KLF5	chr13	6648788	6648797	+	0.000	0.000	Merged-chr13-6648891-51
NR9517--MA0741.1.KLF16	chr11	46275395	46275405	-	0.000	0.000	Merged-chr11-46275497-31
NR62974--MA0599.1.KLF5	chr8	123949302	123949311	-	0.000	0.000	Merged-chr8-123949484-73
NR67182--MA1107.1.KLF9	chrX	20775830	20775842	+	0.000	0.000	Merged-chrX-20775787-26
NR41012--MA1107.1.KLF9	chr3	130894553	130894565	-	0.000	0.000	Merged-chr3-130894407-22
NR19730--MA0493.1.Klf1	chr14	63940982	63940992	-	0.000	0.000	Merged-chr14-63940977-13
NR64329--MA1107.1.KLF9	chr9	58271296	58271308	+	0.000	0.000	Merged-chr9-58271289-37
NR68090--MA0741.1.KLF16	chrX	157491357	157491367	+	0.000	0.000	Merged-chrX-157491710-129
NR25988--MA0599.1.KLF5	chr17	10840204	10840213	+	0.000	0.000	Merged-chr17-10840429-74
NR9908--MA0657.1.KLF13	chr11	55386464	55386481	+	0.000	0.000	Merged-chr11-55386598-21
NR12786--MA0493.1.Klf1	chr11	118015600	118015610	-	0.000	0.000	Merged-chr11-118015532-21
NR1487--MA0493.1.Klf1	chr1	89070318	89070328	+	0.000	0.000	Merged-chr1-89070221-114
NR55398--MA0493.1.Klf1	chr7	16018657	16018667	-	0.000	0.000	Merged-chr7-16018621-23
NR51733--MA0599.1.KLF5	chr6	30304584	30304593	-	0.000	0.000	Merged-chr6-30304390-54
NR5481--MA0742.1.Klf12	chr10	43706476	43706490	-	0.000	0.000	Merged-chr10-43706280-54
NR65111--MA0599.1.KLF5	chr9	79793458	79793467	-	0.000	0.000	Merged-chr9-79793241-102
NR35251--MA0740.1.KLF14	chr2	92458643	92458656	+	0.000	0.000	Merged-chr2-92458693-6
NR40094--MA0742.1.Klf12	chr3	101284227	101284241	+	0.000	0.000	Merged-chr3-101284134-38
NR43876--MA0741.1.KLF16	chr4	101217266	101217276	-	0.000	0.000	Merged-chr4-101217167-64
NR33927--MA1107.1.KLF9	chr2	34802257	34802269	-	0.000	0.000	Merged-chr2-34802496-68
NR34042--MA0599.1.KLF5	chr2	39009187	39009196	+	0.000	0.000	Merged-chr2-39009126-39
NR63609--MA0740.1.KLF14	chr9	31030818	31030831	+	0.000	0.000	Merged-chr9-31031019-7
NR8787--MA0741.1.KLF16	chr11	3202607	3202617	-	0.000	0.000	Merged-chr11-3202714-92
NR43766--MA0599.1.KLF5	chr4	94614512	94614521	-	0.000	0.000	Merged-chr4-94614502-53
NR17457--MA0599.1.KLF5	chr13	95524227	95524236	+	0.000	0.000	Merged-chr13-95524264-2
NR6158--MA0599.1.KLF5	chr10	74967331	74967340	+	0.000	0.000	Merged-chr10-74967177-57
NR28679--MA1107.1.KLF9	chr17	84860065	84860077	+	0.000	0.000	Merged-chr17-84860120-51
NR56745--MA0741.1.KLF16	chr7	49494957	49494967	+	0.000	0.000	Merged-chr7-49494921-17
NR48311--MA0599.1.KLF5	chr5	88676306	88676315	-	0.000	0.000	Merged-chr5-88676360-5
NR3303--MA0740.1.KLF14	chr1	165812999	165813012	+	0.000	0.000	Merged-chr1-165812825-36
NR43551--MA0599.1.KLF5	chr4	83568303	83568312	-	0.000	0.000	Merged-chr4-83568276-50
NR45807--MA0599.1.KLF5	chr4	141537804	141537813	+	0.000	0.000	Merged-chr4-141537892-19
NR28453--MA0741.1.KLF16	chr17	80418992	80419002	+	0.000	0.000	Merged-chr17-80418993-27
NR64549--MA0493.1.Klf1	chr9	64960813	64960823	+	0.000	0.000	Merged-chr9-64960866-47
NR4490--MA0741.1.KLF16	chr1	191445881	191445891	-	0.000	0.000	Merged-chr1-191445969-55
NR39132--MA1107.1.KLF9	chr3	65650795	65650807	-	0.000	0.000	Merged-chr3-65650597-39
NR9615--MA0493.1.Klf1	chr11	50174827	50174837	-	0.000	0.000	Merged-chr11-50174775-60
NR60332--MA1107.1.KLF9	chr8	25578423	25578435	+	0.000	0.000	Merged-chr8-25578502-39
NR4506--MA0493.1.Klf1	chr1	191498428	191498438	-	0.000	0.000	Merged-chr1-191498446-41
NR29461--MA0599.1.KLF5	chr18	36734991	36735000	+	0.000	0.000	Merged-chr18-36735138-69
NR24628--MA0039.3.KLF4	chr16	55421972	55421982	+	0.000	0.000	Merged-chr16-55421971-12
NR21831--MA0741.1.KLF16	chr15	64382594	64382604	+	0.000	0.000	Merged-chr15-64382690-41
NR12678--MA1107.1.KLF9	chr11	116464004	116464016	+	0.000	0.000	Merged-chr11-116463971-10
NR41358--MA0599.1.KLF5	chr3	138163030	138163039	-	0.000	0.000	Merged-chr3-138162869-22
NR31584--MA0742.1.Klf12	chr19	17268912	17268926	+	0.000	0.000	Merged-chr19-17268849-24
NR12800--MA0599.1.KLF5	chr11	118349035	118349044	+	0.000	0.000	Merged-chr11-118348908-46
NR1164--MA1107.1.KLF9	chr1	75487846	75487858	+	0.000	0.000	Merged-chr1-75487610-71
NR27123--MA0039.3.KLF4	chr17	35065263	35065273	+	0.000	0.000	Merged-chr17-35065202-25
NR2376--MA0599.1.KLF5	chr1	136131315	136131324	-	0.000	0.000	Merged-chr1-136131353-55
NR29442--MA1107.1.KLF9	chr18	35938117	35938129	-	0.000	0.000	Merged-chr18-35937944-54
NR63281--MA0657.1.KLF13	chr9	3403989	3404006	+	0.000	0.000	Merged-chr9-3403921-79
NR3782--MA0039.3.KLF4	chr1	177441991	177442001	+	0.000	0.000	Merged-chr1-177442185-139
NR29696--MA0742.1.Klf12	chr18	50030873	50030887	+	0.000	0.000	Merged-chr18-50031058-57
NR33166--MA1107.1.KLF9	chr2	14074078	14074090	+	0.000	0.000	Merged-chr2-14074039-78
NR18765--MA1107.1.KLF9	chr14	21831248	21831260	+	0.000	0.000	Merged-chr14-21831414-105
NR19489--MA0742.1.Klf12	chr14	55900293	55900307	+	0.000	0.000	Merged-chr14-55900148-63
NR41800--MA1107.1.KLF9	chr3	149158088	149158100	+	0.000	0.000	Merged-chr3-149158064-1
NR5133--MA0742.1.Klf12	chr10	22345712	22345726	+	0.000	0.000	Merged-chr10-22345907-34
NR39272--MA0599.1.KLF5	chr3	75557052	75557061	-	0.000	0.000	Merged-chr3-75556873-176
NR31453--MA0599.1.KLF5	chr19	10525392	10525401	-	0.000	0.000	Merged-chr19-10525471-98
NR42675--MA1107.1.KLF9	chr4	41255754	41255766	+	0.000	0.000	Merged-chr4-41255920-18
NR10--MA0599.1.KLF5	chr1	4785773	4785782	+	0.000	0.000	Merged-chr1-4785759-53
NR22826--MA0599.1.KLF5	chr15	89149601	89149610	-	0.000	0.000	Merged-chr15-89149704-89
NR56126--MA0741.1.KLF16	chr7	30216973	30216983	-	0.000	0.000	Merged-chr7-30216934-21
NR43701--MA0740.1.KLF14	chr4	88641321	88641334	-	0.000	0.000	Merged-chr4-88641244-84
NR51845--MA0599.1.KLF5	chr6	37564039	37564048	+	0.000	0.000	Merged-chr6-37564158-19
NR36204--MA0599.1.KLF5	chr2	128818264	128818273	-	0.000	0.000	Merged-chr2-128818111-117
NR54446--MA0741.1.KLF16	chr6	137541353	137541363	-	0.000	0.000	Merged-chr6-137541549-52
NR66098--MA0599.1.KLF5	chr9	108991855	108991864	-	0.000	0.000	Merged-chr9-108991792-53
NR60114--MA0599.1.KLF5	chr8	13907883	13907892	-	0.000	0.000	Merged-chr8-13907776-51
NR21065--MA0740.1.KLF14	chr15	6708315	6708328	-	0.000	0.000	Merged-chr15-6708471-133
NR67678--MA0740.1.KLF14	chrX	99042583	99042596	-	0.000	0.000	Merged-chrX-99042663-22
NR26425--MA0741.1.KLF16	chr17	24632585	24632595	+	0.000	0.000	Merged-chr17-24632635-40
NR29868--MA0493.1.Klf1	chr18	58677039	58677049	+	0.000	0.000	Merged-chr18-58676991-24
NR46927--MA0742.1.Klf12	chr5	21645774	21645788	-	0.000	0.000	Merged-chr5-21645848-87
NR52463--MA0740.1.KLF14	chr6	65662241	65662254	+	0.000	0.000	Merged-chr6-65662238-38
NR37072--MA0741.1.KLF16	chr2	154570005	154570015	-	0.000	0.000	Merged-chr2-154570093-4
NR52903--MA0493.1.Klf1	chr6	86365634	86365644	-	0.000	0.000	Merged-chr6-86365536-92
NR57932--MA0599.1.KLF5	chr7	102347595	102347604	+	0.000	0.000	Merged-chr7-102347477-20
NR20203--MA0599.1.KLF5	chr14	78732832	78732841	+	0.000	0.000	Merged-chr14-78732883-76
NR49083--MA0599.1.KLF5	chr5	110176867	110176876	+	0.000	0.000	Merged-chr5-110176742-78
NR10951--MA0493.1.Klf1	chr11	79790363	79790373	+	0.000	0.000	Merged-chr11-79790505-24
NR26863--MA0599.1.KLF5	chr17	31855835	31855844	+	0.000	0.000	Merged-chr17-31855795-60
NR64446--MA0493.1.Klf1	chr9	61754104	61754114	-	0.000	0.000	Merged-chr9-61753912-30
NR42527--MA0740.1.KLF14	chr4	32615247	32615260	+	0.000	0.000	Merged-chr4-32615355-52
NR12030--MA0599.1.KLF5	chr11	102467273	102467282	-	0.000	0.000	Merged-chr11-102467251-44
NR51817--MA1107.1.KLF9	chr6	34955728	34955740	+	0.000	0.000	Merged-chr6-34955632-40
NR50773--MA0599.1.KLF5	chr5	140638199	140638208	-	0.000	0.000	Merged-chr5-140638213-26
NR16609--MA0657.1.KLF13	chr13	55464698	55464715	+	0.000	0.000	Merged-chr13-55464767-2
NR13581--MA0599.1.KLF5	chr12	52503833	52503842	-	0.000	0.000	Merged-chr12-52504054-125
NR55739--MA0599.1.KLF5	chr7	24482004	24482013	-	0.000	0.000	Merged-chr7-24481860-36
NR8501--MA0741.1.KLF16	chr10	126901391	126901401	-	0.000	0.000	Merged-chr10-126901254-64
NR47566--MA0599.1.KLF5	chr5	43948370	43948379	-	0.000	0.000	Merged-chr5-43948402-119
NR28590--MA0493.1.Klf1	chr17	83862737	83862747	+	0.000	0.000	Merged-chr17-83862747-3
NR56551--MA0740.1.KLF14	chr7	45239136	45239149	+	0.000	0.000	Merged-chr7-45239039-65
NR12826--MA0740.1.KLF14	chr11	119238575	119238588	+	0.000	0.000	Merged-chr11-119238341-66
NR45802--MA0742.1.Klf12	chr4	141419545	141419559	+	0.000	0.000	Merged-chr4-141419764-31
NR22126--MA0039.3.KLF4	chr15	76617044	76617054	+	0.000	0.000	Merged-chr15-76616972-96
NR56649--MA0741.1.KLF16	chr7	46033782	46033792	-	0.000	0.000	Merged-chr7-46033779-50
NR28796--MA0493.1.Klf1	chr17	87282208	87282218	+	0.000	0.000	Merged-chr17-87282284-1
NR64305--MA0741.1.KLF16	chr9	57941316	57941326	+	0.000	0.000	Merged-chr9-57941237-10
NR67743--MA0599.1.KLF5	chrX	103695429	103695438	+	0.000	0.000	Merged-chrX-103695530-55
NR11191--MA0741.1.KLF16	chr11	86484614	86484624	-	0.000	0.000	Merged-chr11-86484609-66
NR44622--MA1107.1.KLF9	chr4	123564660	123564672	+	0.000	0.000	Merged-chr4-123564491-92
NR13214--MA0599.1.KLF5	chr12	17372874	17372883	+	0.000	0.000	Merged-chr12-17372970-11
NR39106--MA0493.1.Klf1	chr3	62338941	62338951	-	0.000	0.000	Merged-chr3-62339060-22
NR22651--MA0741.1.KLF16	chr15	85036990	85037000	+	0.000	0.000	Merged-chr15-85036968-63
NR37722--MA0039.3.KLF4	chr2	167485911	167485921	-	0.000	0.000	Merged-chr2-167485904-9
NR56708--MA0599.1.KLF5	chr7	48137407	48137416	+	0.000	0.000	Merged-chr7-48137318-1
NR34942--MA0599.1.KLF5	chr2	77277806	77277815	-	0.000	0.000	Merged-chr2-77277826-6
NR16336--MA0742.1.Klf12	chr13	49307666	49307680	+	0.000	0.000	Merged-chr13-49307635-74
NR42948--MA0742.1.Klf12	chr4	45972292	45972306	-	0.000	0.000	Merged-chr4-45972471-79
NR53844--MA0741.1.KLF16	chr6	120464179	120464189	+	0.000	0.000	Merged-chr6-120464092-4
NR33061--MA0740.1.KLF14	chr2	10080531	10080544	+	0.000	0.000	Merged-chr2-10080401-75
NR41686--MA0741.1.KLF16	chr3	146352207	146352217	-	0.000	0.000	Merged-chr3-146352378-36
NR44086--MA0599.1.KLF5	chr4	108301121	108301130	+	0.000	0.000	Merged-chr4-108301084-77
NR61768--MA0599.1.KLF5	chr8	88668753	88668762	+	0.000	0.000	Merged-chr8-88668862-52
NR48516--MA1107.1.KLF9	chr5	93092478	93092490	-	0.000	0.000	Merged-chr5-93092425-6
NR1182--MA1107.1.KLF9	chr1	78204072	78204084	+	0.000	0.000	Merged-chr1-78203981-36
NR48445--MA0742.1.Klf12	chr5	92485038	92485052	+	0.000	0.000	Merged-chr5-92485089-31
NR45492--MA0039.3.KLF4	chr4	135946420	135946430	+	0.000	0.000	Merged-chr4-135946528-48
NR27141--MA0039.3.KLF4	chr17	35194409	35194419	-	0.000	0.000	Merged-chr17-35194472-47
NR10013--MA0657.1.KLF13	chr11	59787714	59787731	+	0.000	0.000	Merged-chr11-59787548-18
NR15734--MA0599.1.KLF5	chr13	21181084	21181093	+	0.000	0.000	Merged-chr13-21181031-3
NR2366--MA0741.1.KLF16	chr1	135818771	135818781	+	0.000	0.000	Merged-chr1-135818684-27
NR60570--MA0493.1.Klf1	chr8	45333172	45333182	+	0.000	0.000	Merged-chr8-45333167-99
NR14376--MA0741.1.KLF16	chr12	87130510	87130520	+	0.000	0.000	Merged-chr12-87130424-26
NR50312--MA0599.1.KLF5	chr5	134688824	134688833	+	0.000	0.000	Merged-chr5-134688853-79
NR7033--MA0657.1.KLF13	chr10	86021902	86021919	-	0.000	0.000	Merged-chr10-86022093-75
NR56972--MA0599.1.KLF5	chr7	65644819	65644828	+	0.000	0.000	Merged-chr7-65644925-69
NR57363--MA0493.1.Klf1	chr7	81454606	81454616	+	0.000	0.000	Merged-chr7-81454544-19
NR63556--MA0740.1.KLF14	chr9	22225619	22225632	+	0.000	0.000	Merged-chr9-22225682-83
NR26284--MA0039.3.KLF4	chr17	21679883	21679893	-	0.000	0.000	Merged-chr17-21679790-78
NR20794--MA0599.1.KLF5	chr14	120407058	120407067	-	0.000	0.000	Merged-chr14-120407035-22
NR57283--MA0599.1.KLF5	chr7	80294381	80294390	-	0.000	0.000	Merged-chr7-80294519-58
NR42329--MA0742.1.Klf12	chr4	8774984	8774998	-	0.000	0.000	Merged-chr4-8775093-51
NR67836--MA1107.1.KLF9	chrX	123103449	123103461	+	0.000	0.000	Merged-chrX-123103543-67
NR28255--MA0599.1.KLF5	chr17	73246954	73246963	-	0.000	0.000	Merged-chr17-73247076-30
NR39814--MA0599.1.KLF5	chr3	94786555	94786564	+	0.000	0.000	Merged-chr3-94786570-53
NR7694--MA0039.3.KLF4	chr10	110920130	110920140	+	0.000	0.000	Merged-chr10-110920143-70
NR58895--MA0039.3.KLF4	chr7	126928757	126928767	+	0.000	0.000	Merged-chr7-126928885-54
NR34029--MA0599.1.KLF5	chr2	38369023	38369032	+	0.000	0.000	Merged-chr2-38368926-23
NR53209--MA1107.1.KLF9	chr6	97526338	97526350	-	0.000	0.000	Merged-chr6-97526268-25
NR11809--MA0599.1.KLF5	chr11	99163371	99163380	-	0.000	0.000	Merged-chr11-99163230-42
NR20884--MA0742.1.Klf12	chr14	121379317	121379331	+	0.000	0.000	Merged-chr14-121379142-144
NR52020--MA0039.3.KLF4	chr6	47740089	47740099	+	0.000	0.000	Merged-chr6-47740033-80
NR13251--MA0741.1.KLF16	chr12	20990399	20990409	+	0.000	0.000	Merged-chr12-20990440-63
NR20221--MA0599.1.KLF5	chr14	79331401	79331410	-	0.000	0.000	Merged-chr14-79331457-66
NR15259--MA0493.1.Klf1	chr12	112629101	112629111	-	0.000	0.000	Merged-chr12-112629266-49
NR14304--MA0599.1.KLF5	chr12	84851601	84851610	+	0.000	0.000	Merged-chr12-84851532-12
NR52527--MA0741.1.KLF16	chr6	70103427	70103437	+	0.000	0.000	Merged-chr6-70103466-27
NR26738--MA0599.1.KLF5	chr17	29172214	29172223	-	0.000	0.000	Merged-chr17-29172068-56
NR39352--MA0740.1.KLF14	chr3	81932600	81932613	-	0.000	0.000	Merged-chr3-81932722-80
NR67094--MA0599.1.KLF5	chrX	12136812	12136821	-	0.000	0.000	Merged-chrX-12137054-22
NR21978--MA0599.1.KLF5	chr15	74667462	74667471	-	0.000	0.000	Merged-chr15-74667710-27
NR24235--MA0741.1.KLF16	chr16	32868337	32868347	+	0.000	0.000	Merged-chr16-32868243-54
NR29233--MA0599.1.KLF5	chr18	24653821	24653830	-	0.000	0.000	Merged-chr18-24653766-102
NR10817--MA0493.1.Klf1	chr11	78165631	78165641	+	0.000	0.000	Merged-chr11-78165557-54
NR14596--MA0740.1.KLF14	chr12	99883547	99883560	-	0.000	0.000	Merged-chr12-99883517-13
NR2291--MA0599.1.KLF5	chr1	134344790	134344799	+	0.000	0.000	Merged-chr1-134344743-32
NR5724--MA0740.1.KLF14	chr10	60350998	60351011	-	0.000	0.000	Merged-chr10-60350950-91
NR24669--MA1107.1.KLF9	chr16	56037619	56037631	+	0.000	0.000	Merged-chr16-56037763-63
NR35219--MA0741.1.KLF16	chr2	91950486	91950496	-	0.000	0.000	Merged-chr2-91950520-49
NR33268--MA0741.1.KLF16	chr2	21205620	21205630	+	0.000	0.000	Merged-chr2-21205632-118
NR33441--MA0740.1.KLF14	chr2	26483447	26483460	-	0.000	0.000	Merged-chr2-26483579-52
NR5197--MA1107.1.KLF9	chr10	26375426	26375438	+	0.000	0.000	Merged-chr10-26375400-153
NR56139--MA0741.1.KLF16	chr7	30353580	30353590	-	0.000	0.000	Merged-chr7-30353555-8
NR56312--MA0740.1.KLF14	chr7	35555128	35555141	-	0.000	0.000	Merged-chr7-35555432-106
NR64666--MA0741.1.KLF16	chr9	66834924	66834934	-	0.000	0.000	Merged-chr9-66834917-64
NR15725--MA0741.1.KLF16	chr13	20093614	20093624	-	0.000	0.000	Merged-chr13-20093624-50
NR3466--MA0742.1.Klf12	chr1	170147759	170147773	+	0.000	0.000	Merged-chr1-170147878-39
NR11109--MA0039.3.KLF4	chr11	83753657	83753667	+	0.000	0.000	Merged-chr11-83753820-53
NR14783--MA0599.1.KLF5	chr12	103532245	103532254	-	0.000	0.000	Merged-chr12-103532380-77
NR54685--MA0599.1.KLF5	chr6	142345908	142345917	+	0.000	0.000	Merged-chr6-142345915-71
NR28376--MA0599.1.KLF5	chr17	79020835	79020844	-	0.000	0.000	Merged-chr17-79020706-82
NR47556--MA1107.1.KLF9	chr5	43771793	43771805	+	0.000	0.000	Merged-chr5-43771739-34
NR26372--MA0741.1.KLF16	chr17	24073301	24073311	+	0.000	0.000	Merged-chr17-24073395-52
NR25451--MA0599.1.KLF5	chr16	93973732	93973741	-	0.000	0.000	Merged-chr16-93973640-19
NR33659--MA0657.1.KLF13	chr2	30178511	30178528	-	0.000	0.000	Merged-chr2-30178500-45
NR10805--MA0742.1.Klf12	chr11	78115561	78115575	-	0.000	0.000	Merged-chr11-78115538-52
NR26492--MA0657.1.KLF13	chr17	25579070	25579087	-	0.000	0.000	Merged-chr17-25579223-53
NR60164--MA0741.1.KLF16	chr8	18846428	18846438	-	0.000	0.000	Merged-chr8-18846559-82
NR156--MA1107.1.KLF9	chr1	20912781	20912793	-	0.000	0.000	Merged-chr1-20912686-65
NR2475--MA0741.1.KLF16	chr1	138963631	138963641	+	0.000	0.000	Merged-chr1-138963604-135
NR51741--MA1107.1.KLF9	chr6	30509822	30509834	-	0.000	0.000	Merged-chr6-30509699-52
NR25432--MA1107.1.KLF9	chr16	93883850	93883862	+	0.000	0.000	Merged-chr16-93884002-62
NR52953--MA0599.1.KLF5	chr6	87590778	87590787	+	0.000	0.000	Merged-chr6-87590737-28
NR13781--MA0039.3.KLF4	chr12	69361570	69361580	+	0.000	0.000	Merged-chr12-69361444-60
NR53693--MA0493.1.Klf1	chr6	116682496	116682506	-	0.000	0.000	Merged-chr6-116682504-22
NR20461--MA0741.1.KLF16	chr14	101640483	101640493	+	0.000	0.000	Merged-chr14-101640435-68
NR58720--MA0740.1.KLF14	chr7	123189953	123189966	+	0.000	0.000	Merged-chr7-123189982-13
