#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR6105--MA0035.3.Gata1	chr3	60601837	60601847	+	0.000	0.000	Merged-chr3-60601878-18
NR3645--MA0037.3.GATA3	chr15	59010878	59010885	-	0.000	0.000	Merged-chr15-59010782-34
NR979--MA1104.1.GATA6	chr10	28674110	28674122	+	0.000	0.000	Merged-chr10-28674060-27
NR4975--MA1104.1.GATA6	chr18	82847054	82847066	-	0.000	0.000	Merged-chr18-82847210-15
NR2900--MA1104.1.GATA6	chr13	113023932	113023944	-	0.000	0.000	Merged-chr13-113023939-34
NR928--MA0482.1.Gata4	chr10	19122265	19122275	+	0.000	0.000	Merged-chr10-19122454-26
NR1276--MA0482.1.Gata4	chr10	96201431	96201441	-	0.000	0.000	Merged-chr10-96201472-66
NR1184--MA1104.1.GATA6	chr10	77021622	77021634	-	0.000	0.000	Merged-chr10-77021563-39
NR3483--MA0037.3.GATA3	chr15	19857647	19857654	-	0.000	0.000	Merged-chr15-19857574-17
NR4172--MA0766.1.GATA5	chr16	91448309	91448316	+	0.000	0.000	Merged-chr16-91448282-13
NR4228--MA0036.3.GATA2	chr17	3209753	3209763	+	0.000	0.000	Merged-chr17-3209784-17
NR7567--MA0482.1.Gata4	chr5	71903684	71903694	+	0.000	0.000	Merged-chr5-71903621-28
NR6365--MA0036.3.GATA2	chr3	122419824	122419834	-	0.000	0.000	Merged-chr3-122419865-81
NR8993--MA0482.1.Gata4	chr7	127288039	127288049	-	0.000	0.000	Merged-chr7-127288112-51
NR6350--MA1104.1.GATA6	chr3	121343371	121343383	-	0.000	0.000	Merged-chr3-121343370-11
NR4643--MA0035.3.Gata1	chr18	11913377	11913387	-	0.000	0.000	Merged-chr18-11913705-37
NR8916--MA0482.1.Gata4	chr7	110432411	110432421	+	0.000	0.000	Merged-chr7-110432490-32
NR6162--MA0140.2.GATA1::TAL1	chr3	68967463	68967480	-	0.000	0.000	Merged-chr3-68967303-47
NR8186--MA0037.3.GATA3	chr6	91125080	91125087	+	0.000	0.000	Merged-chr6-91125010-35
NR2371--MA1104.1.GATA6	chr13	5757295	5757307	+	0.000	0.000	Merged-chr13-5757363-53
NR6161--MA0035.3.Gata1	chr3	68967472	68967482	-	0.000	0.000	Merged-chr3-68967303-47
NR4000--MA0482.1.Gata4	chr16	57319937	57319947	-	0.000	0.000	Merged-chr16-57319907-20
NR5901--MA0766.1.GATA5	chr3	19319341	19319348	+	0.000	0.000	Merged-chr3-19319228-45
NR8662--MA1104.1.GATA6	chr7	30280499	30280511	+	0.000	0.000	Merged-chr7-30280528-94
NR6270--MA0035.3.Gata1	chr3	93607807	93607817	-	0.000	0.000	Merged-chr3-93607971-30
NR2623--MA0036.3.GATA2	chr13	66991737	66991747	-	0.000	0.000	Merged-chr13-66991703-16
NR8120--MA0036.3.GATA2	chr6	67184854	67184864	-	0.000	0.000	Merged-chr6-67184785-39
NR6292--MA0140.2.GATA1::TAL1	chr3	105910836	105910853	+	0.000	0.000	Merged-chr3-105910679-41
NR273--MA1104.1.GATA6	chr1	69331722	69331734	+	0.000	0.000	Merged-chr1-69331775-34
NR7693--MA0037.3.GATA3	chr5	118069585	118069592	+	0.000	0.000	Merged-chr5-118069472-39
NR4090--MA0482.1.Gata4	chr16	76225742	76225752	-	0.000	0.000	Merged-chr16-76225808-94
NR9369--MA0482.1.Gata4	chr8	111566113	111566123	+	0.000	0.000	Merged-chr8-111566005-2
NR2562--MA0035.3.Gata1	chr13	49188129	49188139	-	0.000	0.000	Merged-chr13-49188113-1
NR5046--MA1104.1.GATA6	chr19	29367423	29367435	+	0.000	0.000	Merged-chr19-29367376-49
NR888--MA0482.1.Gata4	chr10	13993679	13993689	+	0.000	0.000	Merged-chr10-13993632-56
NR6293--MA0482.1.Gata4	chr3	106788697	106788707	-	0.000	0.000	Merged-chr3-106788511-97
NR8996--MA0035.3.Gata1	chr7	127288040	127288050	-	0.000	0.000	Merged-chr7-127288112-51
NR2808--MA0766.1.GATA5	chr13	95524827	95524834	-	0.000	0.000	Merged-chr13-95524749-120
NR4013--MA0482.1.Gata4	chr16	58670210	58670220	+	0.000	0.000	Merged-chr16-58670422-58
NR6421--MA0482.1.Gata4	chr3	133332579	133332589	+	0.000	0.000	Merged-chr3-133332565-72
NR8919--MA0035.3.Gata1	chr7	110432410	110432420	+	0.000	0.000	Merged-chr7-110432490-32
NR5500--MA0766.1.GATA5	chr2	109608257	109608264	+	0.000	0.000	Merged-chr2-109608122-1
NR99--MA1104.1.GATA6	chr1	21314420	21314432	-	0.000	0.000	Merged-chr1-21314472-2
NR2188--MA0140.2.GATA1::TAL1	chr12	91065612	91065629	+	0.000	0.000	Merged-chr12-91065547-31
NR9931--MA0035.3.Gata1	chrX	153375287	153375297	+	0.000	0.000	Merged-chrX-153375365-26
NR1272--MA0037.3.GATA3	chr10	95971102	95971109	-	0.000	0.000	Merged-chr10-95971075-85
NR7980--MA0035.3.Gata1	chr6	48701703	48701713	+	0.000	0.000	Merged-chr6-48701654-3
NR4374--MA0482.1.Gata4	chr17	34198067	34198077	-	0.000	0.000	Merged-chr17-34197913-92
NR168--MA0766.1.GATA5	chr1	44101608	44101615	+	0.000	0.000	Merged-chr1-44101717-6
NR2575--MA0035.3.Gata1	chr13	52922196	52922206	-	0.000	0.000	Merged-chr13-52922066-27
NR1630--MA0766.1.GATA5	chr11	53141385	53141392	+	0.000	0.000	Merged-chr11-53141237-14
NR666--MA1104.1.GATA6	chr1	153141156	153141168	-	0.000	0.000	Merged-chr1-153140977-54
NR3823--MA0036.3.GATA2	chr16	10732545	10732555	+	0.000	0.000	Merged-chr16-10732689-38
NR8816--MA1104.1.GATA6	chr7	78865891	78865903	-	0.000	0.000	Merged-chr7-78865782-5
NR4329--MA0036.3.GATA2	chr17	18558831	18558841	-	0.000	0.000	Merged-chr17-18558777-104
NR6296--MA0035.3.Gata1	chr3	106788698	106788708	-	0.000	0.000	Merged-chr3-106788511-97
NR2184--MA0482.1.Gata4	chr12	91065611	91065621	+	0.000	0.000	Merged-chr12-91065547-31
NR9853--MA0766.1.GATA5	chrX	42343745	42343752	-	0.000	0.000	Merged-chrX-42343636-58
NR6180--MA1104.1.GATA6	chr3	75240890	75240902	-	0.000	0.000	Merged-chr3-75240815-11
NR2516--MA0766.1.GATA5	chr13	29756231	29756238	+	0.000	0.000	Merged-chr13-29756237-14
NR6424--MA0035.3.Gata1	chr3	133411810	133411820	+	0.000	0.000	Merged-chr3-133411903-38
NR8669--MA0036.3.GATA2	chr7	30373720	30373730	-	0.000	0.000	Merged-chr7-30373731-40
NR8998--MA0482.1.Gata4	chr7	130774089	130774099	-	0.000	0.000	Merged-chr7-130774226-12
NR5548--MA0037.3.GATA3	chr2	119742117	119742124	+	0.000	0.000	Merged-chr2-119742331-93
NR7429--MA0482.1.Gata4	chr5	38580781	38580791	+	0.000	0.000	Merged-chr5-38580877-38
NR6237--MA0766.1.GATA5	chr3	84461171	84461178	+	0.000	0.000	Merged-chr3-84461060-54
NR9891--MA0035.3.Gata1	chrX	107088383	107088393	+	0.000	0.000	Merged-chrX-107088422-23
NR2519--MA0036.3.GATA2	chr13	30742668	30742678	-	0.000	0.000	Merged-chr13-30742638-44
NR8759--MA0482.1.Gata4	chr7	67672915	67672925	-	0.000	0.000	Merged-chr7-67672812-28
NR8574--MA0035.3.Gata1	chr7	6127301	6127311	+	0.000	0.000	Merged-chr7-6127268-44
NR4641--MA1104.1.GATA6	chr18	11913376	11913388	+	0.000	0.000	Merged-chr18-11913705-37
NR8483--MA0766.1.GATA5	chr6	140308227	140308234	-	0.000	0.000	Merged-chr6-140308190-9
NR4436--MA1104.1.GATA6	chr17	52348685	52348697	-	0.000	0.000	Merged-chr17-52348820-8
NR3087--MA0037.3.GATA3	chr14	40927279	40927286	+	0.000	0.000	Merged-chr14-40927194-29
NR8539--MA0036.3.GATA2	chr6	144329732	144329742	+	0.000	0.000	Merged-chr6-144329601-7
NR2187--MA0035.3.Gata1	chr12	91065610	91065620	+	0.000	0.000	Merged-chr12-91065547-31
NR8253--MA1104.1.GATA6	chr6	108168405	108168417	+	0.000	0.000	Merged-chr6-108168461-115
NR6665--MA0482.1.Gata4	chr4	10770161	10770171	-	0.000	0.000	Merged-chr4-10770192-53
NR2315--MA0035.3.Gata1	chr12	110689849	110689859	-	0.000	0.000	Merged-chr12-110689902-59
NR8110--MA1104.1.GATA6	chr6	66252373	66252385	-	0.000	0.000	Merged-chr6-66252474-1
NR4908--MA0482.1.Gata4	chr18	69084779	69084789	+	0.000	0.000	Merged-chr18-69084701-84
NR3993--MA0035.3.Gata1	chr16	55907204	55907214	-	0.000	0.000	Merged-chr16-55907118-61
NR5572--MA0036.3.GATA2	chr2	122668168	122668178	-	0.000	0.000	Merged-chr2-122668057-9
NR3404--MA0140.2.GATA1::TAL1	chr14	121702666	121702683	+	0.000	0.000	Merged-chr14-121702650-15
NR9941--MA0766.1.GATA5	chrX	166329313	166329320	-	0.000	0.000	Merged-chrX-166329162-24
NR4398--MA0036.3.GATA2	chr17	36020626	36020636	-	0.000	0.000	Merged-chr17-36020745-74
NR929--MA1104.1.GATA6	chr10	19122263	19122275	-	0.000	0.000	Merged-chr10-19122454-26
NR5190--MA0037.3.GATA3	chr2	20969349	20969356	+	0.000	0.000	Merged-chr2-20969092-180
NR6426--MA0482.1.Gata4	chr3	133623448	133623458	+	0.000	0.000	Merged-chr3-133623556-36
NR6288--MA0035.3.Gata1	chr3	100558467	100558477	+	0.000	0.000	Merged-chr3-100558458-49
NR4127--MA0482.1.Gata4	chr16	85172249	85172259	+	0.000	0.000	Merged-chr16-85172081-1
NR1450--MA0036.3.GATA2	chr10	122578485	122578495	+	0.000	0.000	Merged-chr10-122578660-68
NR4788--MA0766.1.GATA5	chr18	50028363	50028370	+	0.000	0.000	Merged-chr18-50028414-49
NR9845--MA0766.1.GATA5	chrX	23673359	23673366	-	0.000	0.000	Merged-chrX-23673581-22
NR3653--MA0036.3.GATA2	chr15	60112101	60112111	+	0.000	0.000	Merged-chr15-60111990-62
NR7571--MA0035.3.Gata1	chr5	71903683	71903693	+	0.000	0.000	Merged-chr5-71903621-28
NR8672--MA0482.1.Gata4	chr7	30535312	30535322	-	0.000	0.000	Merged-chr7-30535126-64
NR8917--MA1104.1.GATA6	chr7	110432409	110432421	-	0.000	0.000	Merged-chr7-110432490-32
NR4170--MA0482.1.Gata4	chr16	91448306	91448316	-	0.000	0.000	Merged-chr16-91448282-13
NR2346--MA0766.1.GATA5	chr12	118255862	118255869	+	0.000	0.000	Merged-chr12-118255780-45
NR4001--MA1104.1.GATA6	chr16	57319937	57319949	+	0.000	0.000	Merged-chr16-57319907-20
NR4574--MA0035.3.Gata1	chr17	86038314	86038324	+	0.000	0.000	Merged-chr17-86038391-20
NR3772--MA0766.1.GATA5	chr15	103339526	103339533	-	0.000	0.000	Merged-chr15-103339534-3
NR8484--MA1104.1.GATA6	chr6	140817123	140817135	+	0.000	0.000	Merged-chr6-140817043-66
NR8356--MA0036.3.GATA2	chr6	129210607	129210617	-	0.000	0.000	Merged-chr6-129210550-50
NR7603--MA0035.3.Gata1	chr5	89036398	89036408	-	0.000	0.000	Merged-chr5-89036442-30
NR5551--MA0036.3.GATA2	chr2	119742115	119742125	-	0.000	0.000	Merged-chr2-119742331-93
NR4776--MA1104.1.GATA6	chr18	49982266	49982278	-	0.000	0.000	Merged-chr18-49982392-61
NR8213--MA0036.3.GATA2	chr6	99220740	99220750	+	0.000	0.000	Merged-chr6-99220619-12
NR7791--MA0140.2.GATA1::TAL1	chr5	149392270	149392287	-	0.000	0.000	Merged-chr5-149392157-30
NR8295--MA0035.3.Gata1	chr6	122557163	122557173	+	0.000	0.000	Merged-chr6-122557216-31
NR7754--MA0036.3.GATA2	chr5	137787616	137787626	-	0.000	0.000	Merged-chr5-137787536-7
NR8337--MA0482.1.Gata4	chr6	127474041	127474051	-	0.000	0.000	Merged-chr6-127474146-19
NR6294--MA1104.1.GATA6	chr3	106788697	106788709	+	0.000	0.000	Merged-chr3-106788511-97
NR4014--MA1104.1.GATA6	chr16	58670208	58670220	-	0.000	0.000	Merged-chr16-58670422-58
NR7964--MA0035.3.Gata1	chr6	43337637	43337647	+	0.000	0.000	Merged-chr6-43337585-2
NR7863--MA0036.3.GATA2	chr6	12785361	12785371	+	0.000	0.000	Merged-chr6-12785179-11
NR3090--MA0036.3.GATA2	chr14	40927277	40927287	-	0.000	0.000	Merged-chr14-40927194-29
NR1681--MA0036.3.GATA2	chr11	75282788	75282798	+	0.000	0.000	Merged-chr11-75282753-54
NR7684--MA0140.2.GATA1::TAL1	chr5	107061821	107061838	-	0.000	0.000	Merged-chr5-107061883-14
NR5596--MA0037.3.GATA3	chr2	127923473	127923480	-	0.000	0.000	Merged-chr2-127923410-36
NR1604--MA0036.3.GATA2	chr11	33932388	33932398	-	0.000	0.000	Merged-chr11-33932389-100
NR8969--MA0482.1.Gata4	chr7	119894978	119894988	-	0.000	0.000	Merged-chr7-119895039-1
NR4580--MA1104.1.GATA6	chr17	86880651	86880663	-	0.000	0.000	Merged-chr17-86880662-37
NR2300--MA1104.1.GATA6	chr12	107362204	107362216	+	0.000	0.000	Merged-chr12-107362270-34
NR3122--MA0036.3.GATA2	chr14	46578325	46578335	-	0.000	0.000	Merged-chr14-46578431-37
NR3058--MA1104.1.GATA6	chr14	27562726	27562738	+	0.000	0.000	Merged-chr14-27562668-44
NR5902--MA0035.3.Gata1	chr3	19319339	19319349	-	0.000	0.000	Merged-chr3-19319228-45
NR1795--MA0035.3.Gata1	chr12	3441669	3441679	+	0.000	0.000	Merged-chr12-3441534-29
NR2896--MA0482.1.Gata4	chr13	112427868	112427878	+	0.000	0.000	Merged-chr13-112427724-41
NR4366--MA0766.1.GATA5	chr17	31210486	31210493	-	0.000	0.000	Merged-chr17-31210494-9
NR708--MA0482.1.Gata4	chr1	164184714	164184724	+	0.000	0.000	Merged-chr1-164184631-39
NR8638--MA1104.1.GATA6	chr7	24451977	24451989	+	0.000	0.000	Merged-chr7-24452185-33
NR3998--MA0035.3.Gata1	chr16	56800671	56800681	+	0.000	0.000	Merged-chr16-56800625-33
NR2185--MA1104.1.GATA6	chr12	91065609	91065621	-	0.000	0.000	Merged-chr12-91065547-31
NR1561--MA0766.1.GATA5	chr11	21103248	21103255	-	0.000	0.000	Merged-chr11-21103382-12
NR689--MA0482.1.Gata4	chr1	160044870	160044880	-	0.000	0.000	Merged-chr1-160044750-78
NR7417--MA0037.3.GATA3	chr5	36722519	36722526	+	0.000	0.000	Merged-chr5-36722614-37
NR8696--MA0036.3.GATA2	chr7	45083050	45083060	+	0.000	0.000	Merged-chr7-45083107-80
NR8773--MA0482.1.Gata4	chr7	72308183	72308193	+	0.000	0.000	Merged-chr7-72308227-31
NR8476--MA1104.1.GATA6	chr6	140308145	140308157	+	0.000	0.000	Merged-chr6-140308190-9
NR4452--MA0140.2.GATA1::TAL1	chr17	57031707	57031724	-	0.000	0.000	Merged-chr17-57031784-94
NR1487--MA0037.3.GATA3	chr10	127135640	127135647	-	0.000	0.000	Merged-chr10-127135675-65
NR2809--MA0035.3.Gata1	chr13	95524826	95524836	+	0.000	0.000	Merged-chr13-95524749-120
NR8999--MA1104.1.GATA6	chr7	130774089	130774101	+	0.000	0.000	Merged-chr7-130774226-12
NR2309--MA0482.1.Gata4	chr12	110689779	110689789	+	0.000	0.000	Merged-chr12-110689902-59
NR5501--MA0035.3.Gata1	chr2	109608255	109608265	-	0.000	0.000	Merged-chr2-109608122-1
NR6235--MA0482.1.Gata4	chr3	84461168	84461178	-	0.000	0.000	Merged-chr3-84461060-54
NR169--MA0035.3.Gata1	chr1	44101606	44101616	-	0.000	0.000	Merged-chr1-44101717-6
NR6666--MA1104.1.GATA6	chr4	10770161	10770173	+	0.000	0.000	Merged-chr4-10770192-53
NR1631--MA0035.3.Gata1	chr11	53141383	53141393	-	0.000	0.000	Merged-chr11-53141237-14
NR7770--MA0482.1.Gata4	chr5	147063478	147063488	+	0.000	0.000	Merged-chr5-147063758-85
NR8199--MA0036.3.GATA2	chr6	97311128	97311138	-	0.000	0.000	Merged-chr6-97311024-32
NR5665--MA0036.3.GATA2	chr2	140051794	140051804	-	0.000	0.000	Merged-chr2-140051762-17
NR9854--MA0035.3.Gata1	chrX	42343744	42343754	+	0.000	0.000	Merged-chrX-42343636-58
NR2907--MA0482.1.Gata4	chr13	113639035	113639045	+	0.000	0.000	Merged-chr13-113639155-24
NR8327--MA0036.3.GATA2	chr6	126849235	126849245	-	0.000	0.000	Merged-chr6-126849069-62
NR2517--MA0035.3.Gata1	chr13	29756229	29756239	-	0.000	0.000	Merged-chr13-29756237-14
NR9763--MA0766.1.GATA5	chr9	110461309	110461316	-	0.000	0.000	Merged-chr9-110461339-53
NR1240--MA0482.1.Gata4	chr10	89326992	89327002	-	0.000	0.000	Merged-chr10-89327162-49
NR6427--MA1104.1.GATA6	chr3	133623446	133623458	-	0.000	0.000	Merged-chr3-133623556-36
NR8660--MA0037.3.GATA3	chr7	30280502	30280509	+	0.000	0.000	Merged-chr7-30280528-94
NR3647--MA0766.1.GATA5	chr15	59010878	59010885	-	0.000	0.000	Merged-chr15-59010782-34
NR4358--MA0766.1.GATA5	chr17	27323303	27323310	-	0.000	0.000	Merged-chr17-27323176-36
