#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR45923--MA0741.1.KLF16	chr4	43656491	43656501	-	0.000	0.000	Merged-chr4-43656546-52
NR22576--MA0741.1.KLF16	chr14	122983250	122983260	-	0.000	0.000	Merged-chr14-122983276-115
NR65678--MA0742.1.Klf12	chr9	15357834	15357848	+	0.000	0.000	Merged-chr9-15357727-65
NR53353--MA0599.1.KLF5	chr5	137025263	137025272	+	0.000	0.000	Merged-chr5-137025344-26
NR29335--MA0742.1.Klf12	chr17	33998960	33998974	-	0.000	0.000	Merged-chr17-33999093-34
NR16437--MA0039.3.KLF4	chr13	23453845	23453855	+	0.000	0.000	Merged-chr13-23453663-42
NR12271--MA0740.1.KLF14	chr11	101226464	101226477	+	0.000	0.000	Merged-chr11-101226407-43
NR20230--MA0741.1.KLF16	chr14	32492708	32492718	+	0.000	0.000	Merged-chr14-32492758-31
NR20990--MA0493.1.Klf1	chr14	57769261	57769271	-	0.000	0.000	Merged-chr14-57769251-39
NR927--MA0741.1.KLF16	chr1	44101586	44101596	+	0.000	0.000	Merged-chr1-44101717-6
NR40256--MA0742.1.Klf12	chr2	173659684	173659698	+	0.000	0.000	Merged-chr2-173659827-104
NR66638--MA0741.1.KLF16	chr9	57708567	57708577	-	0.000	0.000	Merged-chr9-57708660-35
NR47221--MA0599.1.KLF5	chr4	98436895	98436904	-	0.000	0.000	Merged-chr4-98436733-103
NR11113--MA0039.3.KLF4	chr11	69401436	69401446	+	0.000	0.000	Merged-chr11-69401473-44
NR33834--MA0599.1.KLF5	chr19	4928290	4928299	+	0.000	0.000	Merged-chr19-4928305-60
NR44380--MA0740.1.KLF14	chr3	146812929	146812942	+	0.000	0.000	Merged-chr3-146812896-87
NR34215--MA0039.3.KLF4	chr19	21747506	21747516	+	0.000	0.000	Merged-chr19-21747536-25
NR57791--MA0741.1.KLF16	chr6	144922866	144922876	-	0.000	0.000	Merged-chr6-144923057-24
NR68273--MA0599.1.KLF5	chr9	119579109	119579118	+	0.000	0.000	Merged-chr9-119579003-30
NR31009--MA0741.1.KLF16	chr17	86963020	86963030	+	0.000	0.000	Merged-chr17-86962989-104
NR65398--MA0741.1.KLF16	chr8	125725408	125725418	-	0.000	0.000	Merged-chr8-125725496-61
NR40268--MA0599.1.KLF5	chr2	173679404	173679413	+	0.000	0.000	Merged-chr2-173679251-44
NR21292--MA0493.1.Klf1	chr14	70520270	70520280	+	0.000	0.000	Merged-chr14-70520372-68
NR29894--MA0740.1.KLF14	chr17	51876640	51876653	+	0.000	0.000	Merged-chr17-51876629-40
NR65205--MA0599.1.KLF5	chr8	122432956	122432965	+	0.000	0.000	Merged-chr8-122432955-76
NR11639--MA0740.1.KLF14	chr11	84513563	84513576	-	0.000	0.000	Merged-chr11-84513596-65
NR68775--MA0741.1.KLF16	chrX	38635144	38635154	-	0.000	0.000	Merged-chrX-38635204-84
NR37648--MA0741.1.KLF16	chr2	91921923	91921933	+	0.000	0.000	Merged-chr2-91921982-40
NR58663--MA0493.1.Klf1	chr7	24934917	24934927	+	0.000	0.000	Merged-chr7-24934785-2
NR53560--MA0741.1.KLF16	chr5	139826570	139826580	+	0.000	0.000	Merged-chr5-139826788-34
NR69466--MA0599.1.KLF5	chrX	150812966	150812975	+	0.000	0.000	Merged-chrX-150813149-62
NR61512--MA0493.1.Klf1	chr7	127708351	127708361	-	0.000	0.000	Merged-chr7-127708553-93
NR32186--MA0742.1.Klf12	chr18	39031323	39031337	+	0.000	0.000	Merged-chr18-39031215-33
NR43082--MA0741.1.KLF16	chr3	104992828	104992838	+	0.000	0.000	Merged-chr3-104992904-39
NR17883--MA0741.1.KLF16	chr13	80885659	80885669	-	0.000	0.000	Merged-chr13-80885729-117
NR65806--MA0742.1.Klf12	chr9	21320730	21320744	-	0.000	0.000	Merged-chr9-21320762-47
NR66700--MA0741.1.KLF16	chr9	60995329	60995339	-	0.000	0.000	Merged-chr9-60995190-9
NR5895--MA0742.1.Klf12	chr10	25576338	25576352	-	0.000	0.000	Merged-chr10-25576456-2
NR12551--MA0657.1.KLF13	chr11	109671935	109671952	-	0.000	0.000	Merged-chr11-109672054-52
NR35422--MA0657.1.KLF13	chr2	13760533	13760550	+	0.000	0.000	Merged-chr2-13760550-51
NR9629--MA0599.1.KLF5	chr11	3371487	3371496	-	0.000	0.000	Merged-chr11-3371528-30
NR24446--MA0599.1.KLF5	chr15	80264287	80264296	+	0.000	0.000	Merged-chr15-80264351-45
NR13381--MA0741.1.KLF16	chr12	17737292	17737302	+	0.000	0.000	Merged-chr12-17737331-11
NR69232--MA1107.1.KLF9	chrX	108834384	108834396	-	0.000	0.000	Merged-chrX-108834442-59
NR4033--MA0741.1.KLF16	chr1	167339598	167339608	-	0.000	0.000	Merged-chr1-167339598-12
NR53250--MA0599.1.KLF5	chr5	135545383	135545392	+	0.000	0.000	Merged-chr5-135545364-67
NR21432--MA0740.1.KLF14	chr14	75754080	75754093	+	0.000	0.000	Merged-chr14-75754322-81
NR68394--MA0599.1.KLF5	chr9	122294587	122294596	-	0.000	0.000	Merged-chr9-122294367-85
NR27823--MA0599.1.KLF5	chr16	91011059	91011068	+	0.000	0.000	Merged-chr16-91011174-91
NR53446--MA1107.1.KLF9	chr5	137770770	137770782	+	0.000	0.000	Merged-chr5-137770863-20
NR65406--MA0493.1.Klf1	chr8	125734219	125734229	-	0.000	0.000	Merged-chr8-125734356-90
NR45761--MA0741.1.KLF16	chr4	41348061	41348071	+	0.000	0.000	Merged-chr4-41348000-22
NR25087--MA1107.1.KLF9	chr15	93275403	93275415	+	0.000	0.000	Merged-chr15-93275409-98
NR9091--MA0493.1.Klf1	chr10	121033846	121033856	-	0.000	0.000	Merged-chr10-121033809-97
NR63543--MA0740.1.KLF14	chr8	69176605	69176618	-	0.000	0.000	Merged-chr8-69176623-23
NR30070--MA0741.1.KLF16	chr17	56758320	56758330	-	0.000	0.000	Merged-chr17-56758329-12
NR35554--MA0741.1.KLF16	chr2	17703232	17703242	+	0.000	0.000	Merged-chr2-17703026-82
NR15271--MA0039.3.KLF4	chr12	100856454	100856464	+	0.000	0.000	Merged-chr12-100856491-28
NR3064--MA0741.1.KLF16	chr1	138157153	138157163	-	0.000	0.000	Merged-chr1-138157317-43
NR14612--MA0493.1.Klf1	chr12	77060212	77060222	+	0.000	0.000	Merged-chr12-77060270-44
NR37100--MA0742.1.Klf12	chr2	69713289	69713303	+	0.000	0.000	Merged-chr2-69713363-57
NR53488--MA0657.1.KLF13	chr5	138280291	138280308	-	0.000	0.000	Merged-chr5-138280109-50
NR54649--MA0599.1.KLF5	chr6	30391067	30391076	+	0.000	0.000	Merged-chr6-30391012-49
NR30017--MA0657.1.KLF13	chr17	56357744	56357761	+	0.000	0.000	Merged-chr17-56357646-33
NR33003--MA0741.1.KLF16	chr18	67768649	67768659	-	0.000	0.000	Merged-chr18-67768535-29
NR25315--MA0740.1.KLF14	chr15	99702383	99702396	-	0.000	0.000	Merged-chr15-99702299-64
NR50956--MA0493.1.Klf1	chr5	65436007	65436017	-	0.000	0.000	Merged-chr5-65436020-62
NR69578--MA0599.1.KLF5	chrX	162760255	162760264	+	0.000	0.000	Merged-chrX-162760331-82
NR48479--MA0742.1.Klf12	chr4	136206248	136206262	-	0.000	0.000	Merged-chr4-136206356-47
NR34023--MA1107.1.KLF9	chr19	8695518	8695530	-	0.000	0.000	Merged-chr19-8695569-23
NR44824--MA0493.1.Klf1	chr3	156410317	156410327	-	0.000	0.000	Merged-chr3-156410327-15
NR9535--MA0599.1.KLF5	chr10	128526136	128526145	+	0.000	0.000	Merged-chr10-128526022-11
NR52917--MA0599.1.KLF5	chr5	129020154	129020163	+	0.000	0.000	Merged-chr5-129020147-99
NR17223--MA1107.1.KLF9	chr13	58158314	58158326	-	0.000	0.000	Merged-chr13-58158134-148
NR66849--MA1107.1.KLF9	chr9	65535543	65535555	-	0.000	0.000	Merged-chr9-65535495-68
NR39610--MA0740.1.KLF14	chr2	158794735	158794748	-	0.000	0.000	Merged-chr2-158794730-73
NR66634--MA1107.1.KLF9	chr9	57647828	57647840	-	0.000	0.000	Merged-chr9-57647746-26
NR7207--MA0493.1.Klf1	chr10	75304012	75304022	-	0.000	0.000	Merged-chr10-75303775-85
NR24343--MA0599.1.KLF5	chr15	78928232	78928241	+	0.000	0.000	Merged-chr15-78928209-40
NR67846--MA0599.1.KLF5	chr9	106438462	106438471	+	0.000	0.000	Merged-chr9-106438400-53
NR58461--MA1107.1.KLF9	chr7	19404126	19404138	+	0.000	0.000	Merged-chr7-19404013-49
NR13460--MA0599.1.KLF5	chr12	21543471	21543480	-	0.000	0.000	Merged-chr12-21543416-58
NR12064--MA0741.1.KLF16	chr11	97883660	97883670	+	0.000	0.000	Merged-chr11-97883682-8
NR5235--MA0740.1.KLF14	chr10	4386768	4386781	+	0.000	0.000	Merged-chr10-4386678-1
NR61310--MA1107.1.KLF9	chr7	121734715	121734727	-	0.000	0.000	Merged-chr7-121734819-1
NR58645--MA0740.1.KLF14	chr7	24638376	24638389	+	0.000	0.000	Merged-chr7-24638466-38
NR59879--MA0599.1.KLF5	chr7	64392531	64392540	+	0.000	0.000	Merged-chr7-64392480-85
NR23360--MA0493.1.Klf1	chr15	38078883	38078893	-	0.000	0.000	Merged-chr15-38078784-97
NR43430--MA0740.1.KLF14	chr3	121370595	121370608	-	0.000	0.000	Merged-chr3-121370505-2
NR5799--MA0742.1.Klf12	chr10	22058713	22058727	-	0.000	0.000	Merged-chr10-22058743-34
NR14733--MA0493.1.Klf1	chr12	81845220	81845230	-	0.000	0.000	Merged-chr12-81845150-28
NR68218--MA0039.3.KLF4	chr9	118489785	118489795	-	0.000	0.000	Merged-chr9-118489742-49
NR48914--MA0740.1.KLF14	chr4	149166789	149166802	+	0.000	0.000	Merged-chr4-149166901-79
NR64653--MA0741.1.KLF16	chr8	105623209	105623219	-	0.000	0.000	Merged-chr8-105622975-103
NR66844--MA0039.3.KLF4	chr9	65461183	65461193	-	0.000	0.000	Merged-chr9-65461064-58
NR68487--MA1107.1.KLF9	chrX	7375918	7375930	-	0.000	0.000	Merged-chrX-7375915-61
NR25736--MA0742.1.Klf12	chr16	8671872	8671886	+	0.000	0.000	Merged-chr16-8671994-77
NR65223--MA0599.1.KLF5	chr8	122556779	122556788	-	0.000	0.000	Merged-chr8-122556749-52
NR59356--MA0740.1.KLF14	chr7	44305094	44305107	-	0.000	0.000	Merged-chr7-44305170-86
NR48638--MA0599.1.KLF5	chr4	140868569	140868578	+	0.000	0.000	Merged-chr4-140868739-15
NR14859--MA0599.1.KLF5	chr12	85746480	85746489	-	0.000	0.000	Merged-chr12-85746223-36
NR18769--MA0741.1.KLF16	chr13	104109623	104109633	+	0.000	0.000	Merged-chr13-104109580-88
NR66098--MA0599.1.KLF5	chr9	32728397	32728406	-	0.000	0.000	Merged-chr9-32728530-9
NR34830--MA0599.1.KLF5	chr19	47937642	47937651	-	0.000	0.000	Merged-chr19-47937684-41
NR69484--MA0599.1.KLF5	chrX	151344083	151344092	+	0.000	0.000	Merged-chrX-151344027-1
NR65061--MA0740.1.KLF14	chr8	119840580	119840593	+	0.000	0.000	Merged-chr8-119840588-52
NR11210--MA0741.1.KLF16	chr11	70983022	70983032	+	0.000	0.000	Merged-chr11-70982951-40
NR20418--MA0599.1.KLF5	chr14	40966991	40967000	+	0.000	0.000	Merged-chr14-40966984-107
NR52220--MA0657.1.KLF13	chr5	112326293	112326310	+	0.000	0.000	Merged-chr5-112326460-40
NR40052--MA1107.1.KLF9	chr2	169504358	169504370	+	0.000	0.000	Merged-chr2-169504323-1
NR49083--MA0599.1.KLF5	chr4	152130692	152130701	-	0.000	0.000	Merged-chr4-152130617-6
NR53553--MA0039.3.KLF4	chr5	139793915	139793925	+	0.000	0.000	Merged-chr5-139793766-12
NR68265--MA0741.1.KLF16	chr9	119402187	119402197	+	0.000	0.000	Merged-chr9-119402239-40
NR37311--MA0740.1.KLF14	chr2	76648050	76648063	+	0.000	0.000	Merged-chr2-76648077-91
NR14711--MA0740.1.KLF14	chr12	80885787	80885800	-	0.000	0.000	Merged-chr12-80885869-36
NR5072--MA0493.1.Klf1	chr1	193153101	193153111	-	0.000	0.000	Merged-chr1-193153117-43
NR37409--MA0741.1.KLF16	chr2	79227982	79227992	-	0.000	0.000	Merged-chr2-79227897-44
NR14809--MA0741.1.KLF16	chr12	84408450	84408460	+	0.000	0.000	Merged-chr12-84408533-142
NR63830--MA1107.1.KLF9	chr8	72277459	72277471	-	0.000	0.000	Merged-chr8-72277394-10
NR35686--MA1107.1.KLF9	chr2	21223026	21223038	-	0.000	0.000	Merged-chr2-21222970-39
NR53483--MA0599.1.KLF5	chr5	138280177	138280186	-	0.000	0.000	Merged-chr5-138280109-50
NR57913--MA1107.1.KLF9	chr6	148212164	148212176	-	0.000	0.000	Merged-chr6-148212124-77
NR56193--MA0599.1.KLF5	chr6	97300924	97300933	-	0.000	0.000	Merged-chr6-97300820-20
NR669--MA0741.1.KLF16	chr1	36024916	36024926	+	0.000	0.000	Merged-chr1-36024851-1
NR2488--MA0599.1.KLF5	chr1	119457045	119457054	-	0.000	0.000	Merged-chr1-119457268-70
NR27002--MA0742.1.Klf12	chr16	59459634	59459648	-	0.000	0.000	Merged-chr16-59459484-51
NR58234--MA0599.1.KLF5	chr7	15912283	15912292	+	0.000	0.000	Merged-chr7-15912372-18
NR48972--MA0039.3.KLF4	chr4	150029911	150029921	-	0.000	0.000	Merged-chr4-150029862-9
NR9628--MA1107.1.KLF9	chr11	3335913	3335925	-	0.000	0.000	Merged-chr11-3336028-55
NR1559--MA0741.1.KLF16	chr1	74854898	74854908	-	0.000	0.000	Merged-chr1-74854969-34
NR10307--MA0741.1.KLF16	chr11	30986477	30986487	+	0.000	0.000	Merged-chr11-30986417-66
NR38724--MA0599.1.KLF5	chr2	131204780	131204789	-	0.000	0.000	Merged-chr2-131204704-19
NR52081--MA0741.1.KLF16	chr5	110176524	110176534	-	0.000	0.000	Merged-chr5-110176742-78
NR4665--MA0741.1.KLF16	chr1	184013533	184013543	-	0.000	0.000	Merged-chr1-184013369-24
NR45914--MA0493.1.Klf1	chr4	43499672	43499682	-	0.000	0.000	Merged-chr4-43499565-45
NR40192--MA0599.1.KLF5	chr2	172440522	172440531	+	0.000	0.000	Merged-chr2-172440509-70
NR67021--MA0657.1.KLF13	chr9	74953025	74953042	-	0.000	0.000	Merged-chr9-74953040-95
NR35319--MA1107.1.KLF9	chr2	11212110	11212122	+	0.000	0.000	Merged-chr2-11212152-38
NR52481--MA0039.3.KLF4	chr5	118465215	118465225	-	0.000	0.000	Merged-chr5-118465239-56
NR16478--MA1107.1.KLF9	chr13	24786311	24786323	+	0.000	0.000	Merged-chr13-24786227-53
NR13553--MA1107.1.KLF9	chr12	25247230	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR65889--MA1107.1.KLF9	chr9	22155931	22155943	+	0.000	0.000	Merged-chr9-22155812-33
NR29339--MA0741.1.KLF16	chr17	33998963	33998973	-	0.000	0.000	Merged-chr17-33999093-34
NR11840--MA0599.1.KLF5	chr11	94601910	94601919	-	0.000	0.000	Merged-chr11-94601858-52
NR16806--MA0599.1.KLF5	chr13	42051653	42051662	-	0.000	0.000	Merged-chr13-42051680-16
NR5507--MA0599.1.KLF5	chr10	12963982	12963991	+	0.000	0.000	Merged-chr10-12964276-93
NR29307--MA0740.1.KLF14	chr17	33817658	33817671	+	0.000	0.000	Merged-chr17-33817699-57
NR66171--MA0741.1.KLF16	chr9	37232354	37232364	-	0.000	0.000	Merged-chr9-37232426-6
NR39908--MA0599.1.KLF5	chr2	167349466	167349475	-	0.000	0.000	Merged-chr2-167349371-94
NR60011--MA0599.1.KLF5	chr7	72308189	72308198	+	0.000	0.000	Merged-chr7-72308227-31
NR43842--MA0741.1.KLF16	chr3	133509187	133509197	-	0.000	0.000	Merged-chr3-133509042-15
NR33364--MA0741.1.KLF16	chr18	77743803	77743813	-	0.000	0.000	Merged-chr18-77743762-23
NR48276--MA0740.1.KLF14	chr4	133887412	133887425	-	0.000	0.000	Merged-chr4-133887364-2
NR10038--MA0493.1.Klf1	chr11	20561490	20561500	-	0.000	0.000	Merged-chr11-20561447-13
NR50955--MA0039.3.KLF4	chr5	65436005	65436015	-	0.000	0.000	Merged-chr5-65436020-62
NR43211--MA0599.1.KLF5	chr3	109025789	109025798	-	0.000	0.000	Merged-chr3-109025792-30
NR52598--MA1107.1.KLF9	chr5	121564879	121564891	-	0.000	0.000	Merged-chr5-121564703-31
NR65101--MA1107.1.KLF9	chr8	120276576	120276588	-	0.000	0.000	Merged-chr8-120276586-37
NR66313--MA0599.1.KLF5	chr9	44396952	44396961	+	0.000	0.000	Merged-chr9-44397016-62
NR24576--MA0599.1.KLF5	chr15	82147232	82147241	+	0.000	0.000	Merged-chr15-82147198-69
NR59612--MA0741.1.KLF16	chr7	51879291	51879301	-	0.000	0.000	Merged-chr7-51879410-58
NR41281--MA0742.1.Klf12	chr3	36613427	36613441	+	0.000	0.000	Merged-chr3-36613405-48
NR69362--MA1107.1.KLF9	chrX	136761501	136761513	-	0.000	0.000	Merged-chrX-136761493-40
NR30000--MA0493.1.Klf1	chr17	56304179	56304189	-	0.000	0.000	Merged-chr17-56304020-73
NR30135--MA0599.1.KLF5	chr17	62246830	62246839	-	0.000	0.000	Merged-chr17-62246918-5
NR21445--MA0740.1.KLF14	chr14	75845211	75845224	+	0.000	0.000	Merged-chr14-75845337-99
NR55975--MA1107.1.KLF9	chr6	89286769	89286781	+	0.000	0.000	Merged-chr6-89286978-37
NR59158--MA0742.1.Klf12	chr7	35333915	35333929	-	0.000	0.000	Merged-chr7-35333987-100
NR67685--MA0742.1.Klf12	chr9	100462340	100462354	-	0.000	0.000	Merged-chr9-100462229-47
NR60802--MA0741.1.KLF16	chr7	101934072	101934082	-	0.000	0.000	Merged-chr7-101933899-55
NR47454--MA0741.1.KLF16	chr4	109117945	109117955	-	0.000	0.000	Merged-chr4-109118050-62
NR60560--MA0039.3.KLF4	chr7	92420557	92420567	-	0.000	0.000	Merged-chr7-92420666-38
NR55110--MA0741.1.KLF16	chr6	50110138	50110148	-	0.000	0.000	Merged-chr6-50110247-81
NR45064--MA0599.1.KLF5	chr4	8812664	8812673	-	0.000	0.000	Merged-chr4-8812564-41
NR21409--MA0742.1.Klf12	chr14	75131075	75131089	+	0.000	0.000	Merged-chr14-75131133-67
NR22698--MA0741.1.KLF16	chr15	9071392	9071402	+	0.000	0.000	Merged-chr15-9071380-92
NR65795--MA1107.1.KLF9	chr9	21265259	21265271	-	0.000	0.000	Merged-chr9-21265250-55
NR2703--MA0599.1.KLF5	chr1	126817823	126817832	+	0.000	0.000	Merged-chr1-126817924-65
NR778--MA0741.1.KLF16	chr1	39478751	39478761	+	0.000	0.000	Merged-chr1-39478588-52
NR27111--MA0742.1.Klf12	chr16	64873905	64873919	+	0.000	0.000	Merged-chr16-64873763-80
NR12935--MA0740.1.KLF14	chr11	118248639	118248652	+	0.000	0.000	Merged-chr11-118248688-60
NR68903--MA0039.3.KLF4	chrX	57189588	57189598	-	0.000	0.000	Merged-chrX-57189507-26
NR5752--MA1107.1.KLF9	chr10	18743779	18743791	+	0.000	0.000	Merged-chr10-18743767-30
NR38602--MA1107.1.KLF9	chr2	128061286	128061298	+	0.000	0.000	Merged-chr2-128061246-44
NR61005--MA0740.1.KLF14	chr7	110221679	110221692	-	0.000	0.000	Merged-chr7-110221778-96
NR10416--MA0741.1.KLF16	chr11	43426269	43426279	-	0.000	0.000	Merged-chr11-43426226-46
NR66560--MA0742.1.Klf12	chr9	55110575	55110589	+	0.000	0.000	Merged-chr9-55110680-29
NR61569--MA0742.1.Klf12	chr7	128688427	128688441	-	0.000	0.000	Merged-chr7-128688304-46
NR12263--MA0599.1.KLF5	chr11	101009388	101009397	-	0.000	0.000	Merged-chr11-101009406-46
NR26120--MA0741.1.KLF16	chr16	20622574	20622584	-	0.000	0.000	Merged-chr16-20622479-9
NR41282--MA0599.1.KLF5	chr3	36613428	36613437	+	0.000	0.000	Merged-chr3-36613405-48
NR12469--MA0599.1.KLF5	chr11	106674719	106674728	-	0.000	0.000	Merged-chr11-106674818-63
NR49830--MA0740.1.KLF14	chr5	21701493	21701506	-	0.000	0.000	Merged-chr5-21701542-81
NR1058--MA0742.1.Klf12	chr1	52630917	52630931	+	0.000	0.000	Merged-chr1-52631121-87
NR11842--MA0741.1.KLF16	chr11	94601904	94601914	-	0.000	0.000	Merged-chr11-94601858-52
NR43662--MA1107.1.KLF9	chr3	128088205	128088217	+	0.000	0.000	Merged-chr3-128088433-16
NR57437--MA0740.1.KLF14	chr6	137754511	137754524	-	0.000	0.000	Merged-chr6-137754640-54
NR37406--MA0599.1.KLF5	chr2	79180831	79180840	+	0.000	0.000	Merged-chr2-79180935-23
NR40098--MA0741.1.KLF16	chr2	170206048	170206058	-	0.000	0.000	Merged-chr2-170206161-1
NR29233--MA0599.1.KLF5	chr17	31277407	31277416	-	0.000	0.000	Merged-chr17-31277371-45
NR25079--MA0493.1.Klf1	chr15	93275328	93275338	+	0.000	0.000	Merged-chr15-93275409-98
NR22284--MA0741.1.KLF16	chr14	118682883	118682893	-	0.000	0.000	Merged-chr14-118682781-56
NR52788--MA0742.1.Klf12	chr5	124352286	124352300	-	0.000	0.000	Merged-chr5-124352404-43
NR67976--MA0599.1.KLF5	chr9	108783785	108783794	-	0.000	0.000	Merged-chr9-108783844-54
NR34578--MA0039.3.KLF4	chr19	41027749	41027759	+	0.000	0.000	Merged-chr19-41027802-5
NR8862--MA0741.1.KLF16	chr10	116397673	116397683	-	0.000	0.000	Merged-chr10-116397793-21
NR53358--MA0657.1.KLF13	chr5	137032885	137032902	+	0.000	0.000	Merged-chr5-137032758-64
NR51093--MA0599.1.KLF5	chr5	71658021	71658030	+	0.000	0.000	Merged-chr5-71657956-24
NR38801--MA0741.1.KLF16	chr2	132511675	132511685	-	0.000	0.000	Merged-chr2-132511544-14
NR53134--MA0599.1.KLF5	chr5	134437538	134437547	+	0.000	0.000	Merged-chr5-134437601-35
NR28052--MA0741.1.KLF16	chr16	95821066	95821076	-	0.000	0.000	Merged-chr16-95821218-29
NR65353--MA0599.1.KLF5	chr8	124434605	124434614	+	0.000	0.000	Merged-chr8-124434522-47
NR40191--MA1107.1.KLF9	chr2	172440457	172440469	+	0.000	0.000	Merged-chr2-172440509-70
NR3206--MA0493.1.Klf1	chr1	144004216	144004226	+	0.000	0.000	Merged-chr1-144004210-81
NR51219--MA0742.1.Klf12	chr5	74092964	74092978	+	0.000	0.000	Merged-chr5-74093137-75
NR34694--MA0741.1.KLF16	chr19	45805272	45805282	+	0.000	0.000	Merged-chr19-45805178-27
NR40397--MA1107.1.KLF9	chr2	178593190	178593202	+	0.000	0.000	Merged-chr2-178593347-6
NR39926--MA0599.1.KLF5	chr2	167621618	167621627	-	0.000	0.000	Merged-chr2-167621504-22
NR34099--MA0657.1.KLF13	chr19	10577353	10577370	+	0.000	0.000	Merged-chr19-10577280-70
NR1832--MA0493.1.Klf1	chr1	85250744	85250754	-	0.000	0.000	Merged-chr1-85250842-29
NR54666--MA1107.1.KLF9	chr6	31114861	31114873	+	0.000	0.000	Merged-chr6-31114957-72
NR24758--MA0741.1.KLF16	chr15	86034253	86034263	+	0.000	0.000	Merged-chr15-86034188-82
NR56707--MA1107.1.KLF9	chr6	115762206	115762218	+	0.000	0.000	Merged-chr6-115762298-33
NR11960--MA0742.1.Klf12	chr11	96777439	96777453	+	0.000	0.000	Merged-chr11-96777630-53
NR60911--MA0599.1.KLF5	chr7	105581306	105581315	-	0.000	0.000	Merged-chr7-105581404-62
NR32767--MA0599.1.KLF5	chr18	61459486	61459495	+	0.000	0.000	Merged-chr18-61459524-23
NR53693--MA0493.1.Klf1	chr5	142909256	142909266	-	0.000	0.000	Merged-chr5-142909413-47
NR40039--MA1107.1.KLF9	chr2	169504318	169504330	+	0.000	0.000	Merged-chr2-169504323-1
NR37518--MA0599.1.KLF5	chr2	84727432	84727441	-	0.000	0.000	Merged-chr2-84727435-53
NR12671--MA0742.1.Klf12	chr11	115276976	115276990	+	0.000	0.000	Merged-chr11-115277112-67
NR25166--MA0740.1.KLF14	chr15	96684759	96684772	+	0.000	0.000	Merged-chr15-96684531-29
NR44771--MA0599.1.KLF5	chr3	155093415	155093424	+	0.000	0.000	Merged-chr3-155093462-79
NR51925--MA0741.1.KLF16	chr5	103692353	103692363	-	0.000	0.000	Merged-chr5-103692321-99
NR7163--MA0599.1.KLF5	chr10	71239714	71239723	+	0.000	0.000	Merged-chr10-71239715-44
NR1474--MA0740.1.KLF14	chr1	71557128	71557141	-	0.000	0.000	Merged-chr1-71557349-80
NR69586--MA1107.1.KLF9	chrX	162868475	162868487	+	0.000	0.000	Merged-chrX-162868446-21
NR47418--MA0493.1.Klf1	chr4	107923618	107923628	+	0.000	0.000	Merged-chr4-107923581-50
NR54884--MA0740.1.KLF14	chr6	42373230	42373243	+	0.000	0.000	Merged-chr6-42373286-40
NR56990--MA0599.1.KLF5	chr6	124965311	124965320	+	0.000	0.000	Merged-chr6-124965445-57
NR1724--MA1107.1.KLF9	chr1	80757986	80757998	+	0.000	0.000	Merged-chr1-80757990-114
