#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR4880--MA0089.1.MAFG::NFE2L1	chr16	65815333	65815338	-	0.000	0.000	Merged-chr16-65815445-39
NR8337--MA0501.1.MAF::NFE2	chr4	88079194	88079208	+	0.000	0.000	Merged-chr4-88079193-33
NR1146--MA0659.1.MAFG	chr10	39412352	39412372	+	0.000	0.000	Merged-chr10-39412218-22
NR5485--MA0496.2.MAFK	chr17	86206503	86206521	+	0.000	0.000	Merged-chr17-86206449-38
NR2211--MA0496.2.MAFK	chr11	94370907	94370925	-	0.000	0.000	Merged-chr11-94371007-27
NR4905--MA0089.1.MAFG::NFE2L1	chr16	78236975	78236980	+	0.000	0.000	Merged-chr16-78236959-38
NR848--MA0501.1.MAF::NFE2	chr1	182224053	182224067	-	0.000	0.000	Merged-chr1-182224037-19
NR1108--MA0501.1.MAF::NFE2	chr10	26325616	26325630	-	0.000	0.000	Merged-chr10-26325461-56
NR5391--MA0496.2.MAFK	chr17	73810262	73810280	-	0.000	0.000	Merged-chr17-73810198-2
NR5047--MA0495.2.MAFF	chr16	97442080	97442100	+	0.000	0.000	Merged-chr16-97442198-19
NR5169--MA0089.1.MAFG::NFE2L1	chr17	26638754	26638759	+	0.000	0.000	Merged-chr17-26638804-8
NR5337--MA0591.1.Bach1::Mafk	chr17	63362391	63362405	-	0.000	0.000	Merged-chr17-63362357-31
NR8244--MA0089.1.MAFG::NFE2L1	chr4	48267945	48267950	-	0.000	0.000	Merged-chr4-48268039-50
NR2031--MA0501.1.MAF::NFE2	chr11	69411743	69411757	+	0.000	0.000	Merged-chr11-69411912-30
NR6098--MA0089.1.MAFG::NFE2L1	chr19	33053369	33053374	+	0.000	0.000	Merged-chr19-33053321-32
NR1466--MA0496.2.MAFK	chr10	93567013	93567031	-	0.000	0.000	Merged-chr10-93567136-2
NR10815--MA0501.1.MAF::NFE2	chr7	101673563	101673577	-	0.000	0.000	Merged-chr7-101673634-22
NR9879--MA0089.1.MAFG::NFE2L1	chr6	89422838	89422843	-	0.000	0.000	Merged-chr6-89422834-19
NR8459--MA0089.1.MAFG::NFE2L1	chr4	109122948	109122953	+	0.000	0.000	Merged-chr4-109123040-18
NR1025--MA0117.2.Mafb	chr10	8505979	8505990	+	0.000	0.000	Merged-chr10-8506114-87
NR6207--MA0591.1.Bach1::Mafk	chr19	55364450	55364464	+	0.000	0.000	Merged-chr19-55364335-1
NR5188--MA0591.1.Bach1::Mafk	chr17	31075526	31075540	-	0.000	0.000	Merged-chr17-31075672-30
NR2576--MA0117.2.Mafb	chr12	32144742	32144753	+	0.000	0.000	Merged-chr12-32144696-20
NR5632--MA0089.1.MAFG::NFE2L1	chr18	36492718	36492723	-	0.000	0.000	Merged-chr18-36492692-14
NR1948--MA0501.1.MAF::NFE2	chr11	55197807	55197821	+	0.000	0.000	Merged-chr11-55197770-39
NR10620--MA0591.1.Bach1::Mafk	chr7	63999460	63999474	+	0.000	0.000	Merged-chr7-63999373-46
NR10351--MA0089.1.MAFG::NFE2L1	chr6	145616745	145616750	-	0.000	0.000	Merged-chr6-145616643-48
NR4978--MA0495.2.MAFF	chr16	92904125	92904145	-	0.000	0.000	Merged-chr16-92904166-16
NR3086--MA0501.1.MAF::NFE2	chr13	18757546	18757560	-	0.000	0.000	Merged-chr13-18757680-4
NR4918--MA0089.1.MAFG::NFE2L1	chr16	84627234	84627239	+	0.000	0.000	Merged-chr16-84627265-6
NR11700--MA0659.1.MAFG	chr8	125344032	125344052	+	0.000	0.000	Merged-chr8-125344095-45
NR3007--MA0089.1.MAFG::NFE2L1	chr12	117820657	117820662	-	0.000	0.000	Merged-chr12-117820691-48
NR5065--MA0495.2.MAFF	chr17	4980173	4980193	+	0.000	0.000	Merged-chr17-4980372-31
NR8679--MA0591.1.Bach1::Mafk	chr4	140948239	140948253	-	0.000	0.000	Merged-chr4-140948211-54
NR3778--MA0501.1.MAF::NFE2	chr14	46578214	46578228	-	0.000	0.000	Merged-chr14-46578431-37
NR1224--MA0089.1.MAFG::NFE2L1	chr10	54117987	54117992	-	0.000	0.000	Merged-chr10-54118025-47
NR5257--MA0496.2.MAFK	chr17	36315548	36315566	+	0.000	0.000	Merged-chr17-36315514-41
NR2771--MA0591.1.Bach1::Mafk	chr12	91774863	91774877	+	0.000	0.000	Merged-chr12-91774838-26
NR7112--MA0501.1.MAF::NFE2	chr2	148443349	148443363	+	0.000	0.000	Merged-chr2-148443470-36
NR1933--MA0501.1.MAF::NFE2	chr11	53657079	53657093	+	0.000	0.000	Merged-chr11-53657053-47
NR10608--MA0501.1.MAF::NFE2	chr7	58730386	58730400	-	0.000	0.000	Merged-chr7-58730426-6
NR9612--MA0496.2.MAFK	chr6	22314619	22314637	-	0.000	0.000	Merged-chr6-22314730-22
NR2063--MA0591.1.Bach1::Mafk	chr11	73137757	73137771	+	0.000	0.000	Merged-chr11-73137945-101
NR3431--MA0496.2.MAFK	chr13	96697953	96697971	-	0.000	0.000	Merged-chr13-96698036-39
NR7804--MA0089.1.MAFG::NFE2L1	chr3	106785304	106785309	+	0.000	0.000	Merged-chr3-106785320-62
NR3924--MA0501.1.MAF::NFE2	chr14	72887089	72887103	+	0.000	0.000	Merged-chr14-72887240-48
NR10364--MA0089.1.MAFG::NFE2L1	chr6	146271409	146271414	-	0.000	0.000	Merged-chr6-146271470-40
NR1035--MA0089.1.MAFG::NFE2L1	chr10	12875016	12875021	+	0.000	0.000	Merged-chr10-12875013-52
NR9007--MA0501.1.MAF::NFE2	chr5	35884565	35884579	+	0.000	0.000	Merged-chr5-35884735-14
NR7252--MA0591.1.Bach1::Mafk	chr2	163253450	163253464	-	0.000	0.000	Merged-chr2-163253576-63
NR375--MA0117.2.Mafb	chr1	94042315	94042326	-	0.000	0.000	Merged-chr1-94042518-47
NR234--MA0496.2.MAFK	chr1	69350805	69350823	+	0.000	0.000	Merged-chr1-69350970-27
NR6789--MA0089.1.MAFG::NFE2L1	chr2	114058588	114058593	-	0.000	0.000	Merged-chr2-114058557-29
NR10579--MA0089.1.MAFG::NFE2L1	chr7	48919743	48919748	-	0.000	0.000	Merged-chr7-48919531-17
NR10042--MA0591.1.Bach1::Mafk	chr6	115480476	115480490	-	0.000	0.000	Merged-chr6-115480536-31
NR4751--MA0501.1.MAF::NFE2	chr16	38619201	38619215	+	0.000	0.000	Merged-chr16-38619268-31
NR3962--MA0089.1.MAFG::NFE2L1	chr14	77783776	77783781	-	0.000	0.000	Merged-chr14-77783619-20
NR8207--MA0659.1.MAFG	chr4	43010414	43010434	+	0.000	0.000	Merged-chr4-43010376-54
NR2051--MA0089.1.MAFG::NFE2L1	chr11	72491341	72491346	-	0.000	0.000	Merged-chr11-72491322-16
NR4447--MA0591.1.Bach1::Mafk	chr15	83474198	83474212	+	0.000	0.000	Merged-chr15-83474258-63
NR8200--MA0496.2.MAFK	chr4	41295741	41295759	+	0.000	0.000	Merged-chr4-41295781-15
NR7188--MA0591.1.Bach1::Mafk	chr2	154603809	154603823	-	0.000	0.000	Merged-chr2-154603925-61
NR6385--MA0089.1.MAFG::NFE2L1	chr2	22784439	22784444	+	0.000	0.000	Merged-chr2-22784309-53
NR2391--MA0495.2.MAFF	chr11	115172976	115172996	-	0.000	0.000	Merged-chr11-115173098-6
NR9460--MA0089.1.MAFG::NFE2L1	chr5	140871434	140871439	+	0.000	0.000	Merged-chr5-140871418-38
NR12546--MA0496.2.MAFK	chrX	139610653	139610671	+	0.000	0.000	Merged-chrX-139610581-86
NR275--MA0495.2.MAFF	chr1	80321300	80321320	+	0.000	0.000	Merged-chr1-80321528-19
NR6600--MA0117.2.Mafb	chr2	69428413	69428424	-	0.000	0.000	Merged-chr2-69428323-9
NR9109--MA0089.1.MAFG::NFE2L1	chr5	75791987	75791992	+	0.000	0.000	Merged-chr5-75792010-32
NR9299--MA0089.1.MAFG::NFE2L1	chr5	107649020	107649025	+	0.000	0.000	Merged-chr5-107649073-49
NR10521--MA0659.1.MAFG	chr7	30184212	30184232	+	0.000	0.000	Merged-chr7-30184154-42
NR654--MA0089.1.MAFG::NFE2L1	chr1	160251549	160251554	+	0.000	0.000	Merged-chr1-160251414-1
NR1615--MA0501.1.MAF::NFE2	chr10	118458841	118458855	+	0.000	0.000	Merged-chr10-118459008-40
NR9675--MA0089.1.MAFG::NFE2L1	chr6	38581881	38581886	-	0.000	0.000	Merged-chr6-38581914-20
NR9681--MA0591.1.Bach1::Mafk	chr6	40891144	40891158	-	0.000	0.000	Merged-chr6-40891354-82
NR2138--MA0659.1.MAFG	chr11	83828747	83828767	-	0.000	0.000	Merged-chr11-83828814-21
NR12379--MA0501.1.MAF::NFE2	chr9	120960861	120960875	+	0.000	0.000	Merged-chr9-120960803-26
NR7467--MA0591.1.Bach1::Mafk	chr3	8845795	8845809	+	0.000	0.000	Merged-chr3-8845963-11
NR8808--MA0591.1.Bach1::Mafk	chr4	149628572	149628586	-	0.000	0.000	Merged-chr4-149628547-11
NR7917--MA0089.1.MAFG::NFE2L1	chr3	133614202	133614207	-	0.000	0.000	Merged-chr3-133614378-37
NR4448--MA0501.1.MAF::NFE2	chr15	83474201	83474215	+	0.000	0.000	Merged-chr15-83474258-63
NR9736--MA0501.1.MAF::NFE2	chr6	53709845	53709859	-	0.000	0.000	Merged-chr6-53709881-31
NR9271--MA0089.1.MAFG::NFE2L1	chr5	105515540	105515545	+	0.000	0.000	Merged-chr5-105515630-23
NR7375--MA0495.2.MAFF	chr2	172392428	172392448	-	0.000	0.000	Merged-chr2-172392373-19
NR2603--MA0501.1.MAF::NFE2	chr12	40010143	40010157	-	0.000	0.000	Merged-chr12-40010101-23
NR6374--MA0501.1.MAF::NFE2	chr2	18928472	18928486	+	0.000	0.000	Merged-chr2-18928432-59
NR5371--MA0501.1.MAF::NFE2	chr17	71192185	71192199	-	0.000	0.000	Merged-chr17-71192022-46
NR9960--MA0591.1.Bach1::Mafk	chr6	100601864	100601878	+	0.000	0.000	Merged-chr6-100601796-17
NR2086--MA0591.1.Bach1::Mafk	chr11	75530552	75530566	-	0.000	0.000	Merged-chr11-75530665-33
NR2384--MA0117.2.Mafb	chr11	114965569	114965580	-	0.000	0.000	Merged-chr11-114965534-1
NR5354--MA0089.1.MAFG::NFE2L1	chr17	66074078	66074083	+	0.000	0.000	Merged-chr17-66074199-45
NR602--MA0495.2.MAFF	chr1	152038375	152038395	-	0.000	0.000	Merged-chr1-152038311-34
NR1173--MA0591.1.Bach1::Mafk	chr10	41984538	41984552	-	0.000	0.000	Merged-chr10-41984389-13
NR6283--MA0089.1.MAFG::NFE2L1	chr19	61084458	61084463	-	0.000	0.000	Merged-chr19-61084505-65
NR1861--MA0495.2.MAFF	chr11	43729108	43729128	-	0.000	0.000	Merged-chr11-43729040-41
NR5403--MA0117.2.Mafb	chr17	74354552	74354563	+	0.000	0.000	Merged-chr17-74354475-5
NR2170--MA0501.1.MAF::NFE2	chr11	87724912	87724926	+	0.000	0.000	Merged-chr11-87724985-4
NR11723--MA0659.1.MAFG	chr8	126686967	126686987	+	0.000	0.000	Merged-chr8-126687126-29
NR9015--MA0591.1.Bach1::Mafk	chr5	36996672	36996686	+	0.000	0.000	Merged-chr5-36996710-15
NR640--MA0591.1.Bach1::Mafk	chr1	156674420	156674434	+	0.000	0.000	Merged-chr1-156674616-3
NR4342--MA0591.1.Bach1::Mafk	chr15	64156007	64156021	+	0.000	0.000	Merged-chr15-64155964-10
NR9368--MA0501.1.MAF::NFE2	chr5	118459263	118459277	+	0.000	0.000	Merged-chr5-118459323-25
NR7224--MA0089.1.MAFG::NFE2L1	chr2	158160167	158160172	-	0.000	0.000	Merged-chr2-158160127-37
NR8465--MA0495.2.MAFF	chr4	109665333	109665353	+	0.000	0.000	Merged-chr4-109665283-1
NR4664--MA0591.1.Bach1::Mafk	chr16	22794958	22794972	+	0.000	0.000	Merged-chr16-22794765-7
NR552--MA0089.1.MAFG::NFE2L1	chr1	138596496	138596501	-	0.000	0.000	Merged-chr1-138596413-38
NR11246--MA0496.2.MAFK	chr8	22537098	22537116	+	0.000	0.000	Merged-chr8-22537059-19
NR165--MA0117.2.Mafb	chr1	52631153	52631164	+	0.000	0.000	Merged-chr1-52631121-87
NR2284--MA0495.2.MAFF	chr11	104639165	104639185	+	0.000	0.000	Merged-chr11-104639154-13
NR5212--MA0591.1.Bach1::Mafk	chr17	33865654	33865668	-	0.000	0.000	Merged-chr17-33865585-36
NR9767--MA0117.2.Mafb	chr6	59417891	59417902	-	0.000	0.000	Merged-chr6-59417759-25
NR9660--MA0089.1.MAFG::NFE2L1	chr6	34346746	34346751	-	0.000	0.000	Merged-chr6-34346731-18
NR4278--MA0591.1.Bach1::Mafk	chr15	58750245	58750259	-	0.000	0.000	Merged-chr15-58750240-28
NR7526--MA0089.1.MAFG::NFE2L1	chr3	28969065	28969070	-	0.000	0.000	Merged-chr3-28968988-13
NR9257--MA0501.1.MAF::NFE2	chr5	103519351	103519365	-	0.000	0.000	Merged-chr5-103519211-48
NR1248--MA0089.1.MAFG::NFE2L1	chr10	59861934	59861939	+	0.000	0.000	Merged-chr10-59861851-9
NR7697--MA0496.2.MAFK	chr3	89872364	89872382	+	0.000	0.000	Merged-chr3-89872416-43
NR2588--MA0496.2.MAFK	chr12	35192261	35192279	-	0.000	0.000	Merged-chr12-35192398-29
NR11963--MA0495.2.MAFF	chr9	61187130	61187150	-	0.000	0.000	Merged-chr9-61187199-16
NR4694--MA0659.1.MAFG	chr16	24854663	24854683	+	0.000	0.000	Merged-chr16-24854563-13
NR1121--MA0501.1.MAF::NFE2	chr10	28696614	28696628	+	0.000	0.000	Merged-chr10-28696715-18
NR10429--MA0591.1.Bach1::Mafk	chr7	12955037	12955051	+	0.000	0.000	Merged-chr7-12955055-4
NR11391--MA0089.1.MAFG::NFE2L1	chr8	77482225	77482230	+	0.000	0.000	Merged-chr8-77482121-16
NR533--MA0591.1.Bach1::Mafk	chr1	136255312	136255326	-	0.000	0.000	Merged-chr1-136255292-47
NR11403--MA0089.1.MAFG::NFE2L1	chr8	78738752	78738757	-	0.000	0.000	Merged-chr8-78738869-6
NR941--MA0089.1.MAFG::NFE2L1	chr1	189085413	189085418	-	0.000	0.000	Merged-chr1-189085418-26
NR2611--MA0495.2.MAFF	chr12	40244074	40244094	-	0.000	0.000	Merged-chr12-40244001-31
NR3709--MA0089.1.MAFG::NFE2L1	chr14	20938759	20938764	-	0.000	0.000	Merged-chr14-20938813-17
NR8494--MA0659.1.MAFG	chr4	116018506	116018526	+	0.000	0.000	Merged-chr4-116018460-3
NR10764--MA0089.1.MAFG::NFE2L1	chr7	90345173	90345178	-	0.000	0.000	Merged-chr7-90345081-52
NR3173--MA0591.1.Bach1::Mafk	chr13	37759945	37759959	+	0.000	0.000	Merged-chr13-37760092-14
NR1010--MA0501.1.MAF::NFE2	chr10	3238612	3238626	-	0.000	0.000	Merged-chr10-3238463-21
NR1865--MA0501.1.MAF::NFE2	chr11	43729114	43729128	+	0.000	0.000	Merged-chr11-43729040-41
NR965--MA0495.2.MAFF	chr1	191420990	191421010	+	0.000	0.000	Merged-chr1-191421132-37
NR3923--MA0591.1.Bach1::Mafk	chr14	72887086	72887100	+	0.000	0.000	Merged-chr14-72887240-48
NR11139--MA0496.2.MAFK	chr7	140908644	140908662	+	0.000	0.000	Merged-chr7-140908830-38
NR5551--MA0117.2.Mafb	chr18	4296111	4296122	-	0.000	0.000	Merged-chr18-4296046-21
NR3305--MA0089.1.MAFG::NFE2L1	chr13	62785874	62785879	+	0.000	0.000	Merged-chr13-62785718-57
NR7277--MA0495.2.MAFF	chr2	166607151	166607171	-	0.000	0.000	Merged-chr2-166607083-27
NR3495--MA0089.1.MAFG::NFE2L1	chr13	102873652	102873657	+	0.000	0.000	Merged-chr13-102873625-24
NR104--MA0591.1.Bach1::Mafk	chr1	37585878	37585892	-	0.000	0.000	Merged-chr1-37586082-40
NR2168--MA0495.2.MAFF	chr11	87724906	87724926	-	0.000	0.000	Merged-chr11-87724985-4
NR6570--MA0089.1.MAFG::NFE2L1	chr2	59393329	59393334	-	0.000	0.000	Merged-chr2-59393267-21
NR10460--MA0501.1.MAF::NFE2	chr7	16343741	16343755	+	0.000	0.000	Merged-chr7-16343810-22
NR8983--MA0501.1.MAF::NFE2	chr5	30961665	30961679	+	0.000	0.000	Merged-chr5-30961774-17
NR5545--MA0495.2.MAFF	chr18	4292134	4292154	+	0.000	0.000	Merged-chr18-4292169-11
NR2286--MA0117.2.Mafb	chr11	104639174	104639185	-	0.000	0.000	Merged-chr11-104639154-13
NR3599--MA0501.1.MAF::NFE2	chr13	113087728	113087742	-	0.000	0.000	Merged-chr13-113087664-28
NR11624--MA0501.1.MAF::NFE2	chr8	119784284	119784298	-	0.000	0.000	Merged-chr8-119784383-58
NR8887--MA0501.1.MAF::NFE2	chr5	8911721	8911735	-	0.000	0.000	Merged-chr5-8911732-25
NR1850--MA0501.1.MAF::NFE2	chr11	34049137	34049151	-	0.000	0.000	Merged-chr11-34049016-54
NR7771--MA0591.1.Bach1::Mafk	chr3	101245334	101245348	+	0.000	0.000	Merged-chr3-101245474-18
NR5365--MA0089.1.MAFG::NFE2L1	chr17	70746962	70746967	+	0.000	0.000	Merged-chr17-70746811-20
NR2302--MA0591.1.Bach1::Mafk	chr11	106612869	106612883	-	0.000	0.000	Merged-chr11-106612974-112
NR5305--MA0117.2.Mafb	chr17	51408639	51408650	-	0.000	0.000	Merged-chr17-51408616-68
NR967--MA0659.1.MAFG	chr1	191420990	191421010	+	0.000	0.000	Merged-chr1-191421132-37
NR2624--MA0591.1.Bach1::Mafk	chr12	41949891	41949905	-	0.000	0.000	Merged-chr12-41949951-37
NR447--MA0501.1.MAF::NFE2	chr1	120197405	120197419	+	0.000	0.000	Merged-chr1-120197360-57
NR6306--MA0089.1.MAFG::NFE2L1	chr2	4559625	4559630	+	0.000	0.000	Merged-chr2-4559721-92
NR11516--MA0089.1.MAFG::NFE2L1	chr8	105518862	105518867	-	0.000	0.000	Merged-chr8-105519049-62
NR9639--MA0591.1.Bach1::Mafk	chr6	30227526	30227540	-	0.000	0.000	Merged-chr6-30227395-32
NR10629--MA0117.2.Mafb	chr7	65705190	65705201	+	0.000	0.000	Merged-chr7-65705151-59
NR7825--MA0117.2.Mafb	chr3	110250667	110250678	+	0.000	0.000	Merged-chr3-110250588-142
NR2377--MA0089.1.MAFG::NFE2L1	chr11	114151041	114151046	+	0.000	0.000	Merged-chr11-114150915-1
NR3925--MA0495.2.MAFF	chr14	73057945	73057965	+	0.000	0.000	Merged-chr14-73058003-24
NR5775--MA0117.2.Mafb	chr18	64516559	64516570	-	0.000	0.000	Merged-chr18-64516532-71
NR7281--MA0496.2.MAFK	chr2	166607152	166607170	+	0.000	0.000	Merged-chr2-166607083-27
NR3816--MA0591.1.Bach1::Mafk	chr14	54705811	54705825	+	0.000	0.000	Merged-chr14-54705800-11
NR2853--MA0495.2.MAFF	chr12	104025300	104025320	-	0.000	0.000	Merged-chr12-104025183-1
NR11227--MA0089.1.MAFG::NFE2L1	chr8	15014319	15014324	+	0.000	0.000	Merged-chr8-15014301-41
NR271--MA0501.1.MAF::NFE2	chr1	79581570	79581584	+	0.000	0.000	Merged-chr1-79581562-59
NR1774--MA0659.1.MAFG	chr11	11766210	11766230	-	0.000	0.000	Merged-chr11-11766225-56
NR5667--MA0089.1.MAFG::NFE2L1	chr18	39801296	39801301	+	0.000	0.000	Merged-chr18-39801283-11
NR855--MA0117.2.Mafb	chr1	182657754	182657765	-	0.000	0.000	Merged-chr1-182657860-43
NR4683--MA0496.2.MAFK	chr16	24391326	24391344	-	0.000	0.000	Merged-chr16-24391314-24
NR2089--MA0591.1.Bach1::Mafk	chr11	75878755	75878769	+	0.000	0.000	Merged-chr11-75878686-10
NR1635--MA0089.1.MAFG::NFE2L1	chr10	121398916	121398921	-	0.000	0.000	Merged-chr10-121398884-14
NR9382--MA0089.1.MAFG::NFE2L1	chr5	121843014	121843019	-	0.000	0.000	Merged-chr5-121843055-34
NR4710--MA0089.1.MAFG::NFE2L1	chr16	30678489	30678494	+	0.000	0.000	Merged-chr16-30678432-4
NR11983--MA0117.2.Mafb	chr9	62020524	62020535	+	0.000	0.000	Merged-chr9-62020503-14
NR5220--MA0117.2.Mafb	chr17	34398757	34398768	+	0.000	0.000	Merged-chr17-34398614-61
NR11540--MA0659.1.MAFG	chr8	110939139	110939159	+	0.000	0.000	Merged-chr8-110939286-87
