#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR8732--MA0496.2.MAFK	chr6	17629865	17629883	-	0.000	0.000	Merged-chr6-17630018-29
NR7896--MA0089.1.MAFG::NFE2L1	chr4	147904931	147904936	-	0.000	0.000	Merged-chr4-147904845-69
NR11250--MA0495.2.MAFF	chrX	102187270	102187290	-	0.000	0.000	Merged-chrX-102187389-30
NR4718--MA0089.1.MAFG::NFE2L1	chr17	17766518	17766523	+	0.000	0.000	Merged-chr17-17766663-23
NR1362--MA0591.1.Bach1::Mafk	chr10	93946124	93946138	-	0.000	0.000	Merged-chr10-93946109-39
NR8231--MA0089.1.MAFG::NFE2L1	chr5	77367926	77367931	+	0.000	0.000	Merged-chr5-77367800-15
NR2820--MA0089.1.MAFG::NFE2L1	chr13	21716253	21716258	-	0.000	0.000	Merged-chr13-21716316-67
NR1400--MA0089.1.MAFG::NFE2L1	chr10	96725018	96725023	+	0.000	0.000	Merged-chr10-96724956-66
NR2659--MA0089.1.MAFG::NFE2L1	chr12	112699369	112699374	+	0.000	0.000	Merged-chr12-112699364-12
NR7121--MA0659.1.MAFG	chr3	135604825	135604845	+	0.000	0.000	Merged-chr3-135604723-37
NR8891--MA0117.2.Mafb	chr6	70714417	70714428	-	0.000	0.000	Merged-chr6-70714490-34
NR5734--MA0089.1.MAFG::NFE2L1	chr2	11801452	11801457	-	0.000	0.000	Merged-chr2-11801641-32
NR4314--MA0089.1.MAFG::NFE2L1	chr16	30067035	30067040	+	0.000	0.000	Merged-chr16-30066931-47
NR2592--MA0495.2.MAFF	chr12	104210043	104210063	-	0.000	0.000	Merged-chr12-104209958-42
NR4848--MA0495.2.MAFF	chr17	47189996	47190016	-	0.000	0.000	Merged-chr17-47189896-43
NR5243--MA0089.1.MAFG::NFE2L1	chr18	61830932	61830937	+	0.000	0.000	Merged-chr18-61830902-25
NR4309--MA0501.1.MAF::NFE2	chr16	25248961	25248975	-	0.000	0.000	Merged-chr16-25249109-39
NR8885--MA0495.2.MAFF	chr6	70709472	70709492	+	0.000	0.000	Merged-chr6-70709572-48
NR7113--MA0089.1.MAFG::NFE2L1	chr3	135212533	135212538	-	0.000	0.000	Merged-chr3-135212470-74
NR6750--MA0089.1.MAFG::NFE2L1	chr3	51553028	51553033	+	0.000	0.000	Merged-chr3-51553157-56
NR441--MA0089.1.MAFG::NFE2L1	chr1	136625573	136625578	+	0.000	0.000	Merged-chr1-136625526-2
NR7455--MA0495.2.MAFF	chr4	57295321	57295341	+	0.000	0.000	Merged-chr4-57295265-18
NR1345--MA0496.2.MAFK	chr10	93069518	93069536	+	0.000	0.000	Merged-chr10-93069523-27
NR2194--MA0501.1.MAF::NFE2	chr11	119991489	119991503	+	0.000	0.000	Merged-chr11-119991452-27
NR1255--MA0591.1.Bach1::Mafk	chr10	80917804	80917818	+	0.000	0.000	Merged-chr10-80917926-53
NR3130--MA0501.1.MAF::NFE2	chr13	96697952	96697966	-	0.000	0.000	Merged-chr13-96698036-39
NR6589--MA0089.1.MAFG::NFE2L1	chr2	172831763	172831768	-	0.000	0.000	Merged-chr2-172831574-71
NR2594--MA0659.1.MAFG	chr12	104210043	104210063	-	0.000	0.000	Merged-chr12-104209958-42
NR5545--MA0089.1.MAFG::NFE2L1	chr19	32935826	32935831	-	0.000	0.000	Merged-chr19-32935830-20
NR4424--MA0591.1.Bach1::Mafk	chr16	52418696	52418710	+	0.000	0.000	Merged-chr16-52418568-49
NR11355--MA0117.2.Mafb	chrX	166661500	166661511	-	0.000	0.000	Merged-chrX-166661565-108
NR8896--MA0659.1.MAFG	chr6	70714455	70714475	+	0.000	0.000	Merged-chr6-70714490-34
NR6287--MA0501.1.MAF::NFE2	chr2	131423041	131423055	+	0.000	0.000	Merged-chr2-131423252-71
NR9879--MA0089.1.MAFG::NFE2L1	chr7	113250936	113250941	-	0.000	0.000	Merged-chr7-113250807-31
NR4185--MA0501.1.MAF::NFE2	chr15	96520618	96520632	-	0.000	0.000	Merged-chr15-96520737-46
NR5121--MA0501.1.MAF::NFE2	chr18	32902607	32902621	-	0.000	0.000	Merged-chr18-32902700-12
NR9260--MA0089.1.MAFG::NFE2L1	chr6	134148219	134148224	+	0.000	0.000	Merged-chr6-134148194-39
NR1856--MA0591.1.Bach1::Mafk	chr11	70792597	70792611	-	0.000	0.000	Merged-chr11-70792597-17
NR3040--MA0591.1.Bach1::Mafk	chr13	80963022	80963036	+	0.000	0.000	Merged-chr13-80963053-30
NR11109--MA0117.2.Mafb	chr9	123021076	123021087	-	0.000	0.000	Merged-chr9-123021299-81
NR454--MA0089.1.MAFG::NFE2L1	chr1	138596496	138596501	-	0.000	0.000	Merged-chr1-138596413-38
NR10867--MA0501.1.MAF::NFE2	chr9	80891107	80891121	+	0.000	0.000	Merged-chr9-80890959-1
NR2775--MA0501.1.MAF::NFE2	chr13	6515827	6515841	-	0.000	0.000	Merged-chr13-6515620-23
NR8431--MA0089.1.MAFG::NFE2L1	chr5	118332389	118332394	+	0.000	0.000	Merged-chr5-118332202-59
NR3883--MA0496.2.MAFK	chr15	8073388	8073406	+	0.000	0.000	Merged-chr15-8073323-37
NR10704--MA0117.2.Mafb	chr9	37236064	37236075	-	0.000	0.000	Merged-chr9-37236124-32
NR2115--MA0117.2.Mafb	chr11	109611822	109611833	+	0.000	0.000	Merged-chr11-109611660-96
NR6235--MA0496.2.MAFK	chr2	122754012	122754030	+	0.000	0.000	Merged-chr2-122753909-23
NR1601--MA0495.2.MAFF	chr11	3151526	3151546	+	0.000	0.000	Merged-chr11-3151424-21
NR10277--MA0089.1.MAFG::NFE2L1	chr8	81497809	81497814	-	0.000	0.000	Merged-chr8-81497739-56
NR10691--MA0501.1.MAF::NFE2	chr9	32901451	32901465	+	0.000	0.000	Merged-chr9-32901528-39
NR5443--MA0089.1.MAFG::NFE2L1	chr19	9939074	9939079	-	0.000	0.000	Merged-chr19-9938920-69
NR8958--MA0591.1.Bach1::Mafk	chr6	91489112	91489126	+	0.000	0.000	Merged-chr6-91488939-35
NR8100--MA0501.1.MAF::NFE2	chr5	31576931	31576945	-	0.000	0.000	Merged-chr5-31576784-60
NR7596--MA0659.1.MAFG	chr4	103203368	103203388	-	0.000	0.000	Merged-chr4-103203272-1
NR5850--MA0501.1.MAF::NFE2	chr2	45019236	45019250	-	0.000	0.000	Merged-chr2-45019275-14
NR10709--MA0659.1.MAFG	chr9	37242669	37242689	-	0.000	0.000	Merged-chr9-37242651-16
NR7024--MA0089.1.MAFG::NFE2L1	chr3	116332015	116332020	+	0.000	0.000	Merged-chr3-116332074-27
NR10580--MA0501.1.MAF::NFE2	chr8	126539878	126539892	-	0.000	0.000	Merged-chr8-126539798-23
NR5083--MA0591.1.Bach1::Mafk	chr18	10744230	10744244	+	0.000	0.000	Merged-chr18-10744169-16
NR9771--MA0117.2.Mafb	chr7	90218195	90218206	+	0.000	0.000	Merged-chr7-90218311-11
NR3471--MA0089.1.MAFG::NFE2L1	chr14	48199269	48199274	+	0.000	0.000	Merged-chr14-48199252-26
NR4425--MA0659.1.MAFG	chr16	52418693	52418713	+	0.000	0.000	Merged-chr16-52418568-49
NR5705--MA0496.2.MAFK	chr2	9574294	9574312	-	0.000	0.000	Merged-chr2-9574386-32
NR4559--MA0501.1.MAF::NFE2	chr16	87725009	87725023	-	0.000	0.000	Merged-chr16-87725101-16
NR2193--MA0591.1.Bach1::Mafk	chr11	119991486	119991500	+	0.000	0.000	Merged-chr11-119991452-27
NR9084--MA0089.1.MAFG::NFE2L1	chr6	108709565	108709570	+	0.000	0.000	Merged-chr6-108709432-1
NR5832--MA0089.1.MAFG::NFE2L1	chr2	36091345	36091350	-	0.000	0.000	Merged-chr2-36091401-36
NR1182--MA0117.2.Mafb	chr10	70173569	70173580	+	0.000	0.000	Merged-chr10-70173455-28
NR4098--MA0117.2.Mafb	chr15	78476441	78476452	-	0.000	0.000	Merged-chr15-78476367-1
NR3619--MA0591.1.Bach1::Mafk	chr14	73170121	73170135	+	0.000	0.000	Merged-chr14-73170198-47
NR4633--MA0496.2.MAFK	chr16	95893657	95893675	+	0.000	0.000	Merged-chr16-95893684-47
NR8748--MA0501.1.MAF::NFE2	chr6	28583596	28583610	-	0.000	0.000	Merged-chr6-28583541-9
NR9109--MA0089.1.MAFG::NFE2L1	chr6	114790344	114790349	-	0.000	0.000	Merged-chr6-114790345-26
NR2706--MA0591.1.Bach1::Mafk	chr12	115158849	115158863	-	0.000	0.000	Merged-chr12-115158919-2
NR4627--MA0089.1.MAFG::NFE2L1	chr16	95827629	95827634	+	0.000	0.000	Merged-chr16-95827524-61
NR2618--MA0501.1.MAF::NFE2	chr12	107148540	107148554	-	0.000	0.000	Merged-chr12-107148670-11
NR935--MA0501.1.MAF::NFE2	chr10	9880538	9880552	+	0.000	0.000	Merged-chr10-9880520-21
NR1961--MA0117.2.Mafb	chr11	88011840	88011851	-	0.000	0.000	Merged-chr11-88011784-26
NR1603--MA0117.2.Mafb	chr11	3151535	3151546	-	0.000	0.000	Merged-chr11-3151424-21
NR2337--MA0496.2.MAFK	chr12	41044929	41044947	-	0.000	0.000	Merged-chr12-41044922-24
NR6598--MA0496.2.MAFK	chr2	174566022	174566040	-	0.000	0.000	Merged-chr2-174566072-46
NR5714--MA0496.2.MAFK	chr2	9946991	9947009	+	0.000	0.000	Merged-chr2-9946908-17
NR1644--MA0591.1.Bach1::Mafk	chr11	5762415	5762429	-	0.000	0.000	Merged-chr11-5762236-58
NR10579--MA0591.1.Bach1::Mafk	chr8	126539881	126539895	-	0.000	0.000	Merged-chr8-126539798-23
NR6500--MA0495.2.MAFF	chr2	163401423	163401443	-	0.000	0.000	Merged-chr2-163401452-24
NR5421--MA0659.1.MAFG	chr19	5510526	5510546	+	0.000	0.000	Merged-chr19-5510623-50
NR3606--MA0501.1.MAF::NFE2	chr14	71104103	71104117	+	0.000	0.000	Merged-chr14-71104246-27
NR5643--MA0495.2.MAFF	chr19	57093468	57093488	+	0.000	0.000	Merged-chr19-57093567-48
NR6278--MA0501.1.MAF::NFE2	chr2	131191215	131191229	-	0.000	0.000	Merged-chr2-131191019-12
NR7513--MA0089.1.MAFG::NFE2L1	chr4	83485784	83485789	-	0.000	0.000	Merged-chr4-83485831-3
NR10940--MA0089.1.MAFG::NFE2L1	chr9	96714303	96714308	-	0.000	0.000	Merged-chr9-96714307-38
NR1299--MA0659.1.MAFG	chr10	86794890	86794910	-	0.000	0.000	Merged-chr10-86794881-42
NR4342--MA0591.1.Bach1::Mafk	chr16	36071614	36071628	+	0.000	0.000	Merged-chr16-36071679-92
NR8644--MA0089.1.MAFG::NFE2L1	chr5	149604957	149604962	+	0.000	0.000	Merged-chr5-149605038-10
NR3786--MA0089.1.MAFG::NFE2L1	chr14	121102790	121102795	+	0.000	0.000	Merged-chr14-121102815-35
NR876--MA0501.1.MAF::NFE2	chr1	191498408	191498422	+	0.000	0.000	Merged-chr1-191498446-41
NR5300--MA0117.2.Mafb	chr18	70640276	70640287	+	0.000	0.000	Merged-chr18-70640400-9
NR11101--MA0089.1.MAFG::NFE2L1	chr9	121985254	121985259	+	0.000	0.000	Merged-chr9-121985208-26
NR4788--MA0659.1.MAFG	chr17	32891390	32891410	+	0.000	0.000	Merged-chr17-32891413-48
NR9616--MA0591.1.Bach1::Mafk	chr7	49093861	49093875	+	0.000	0.000	Merged-chr7-49093959-29
NR7820--MA0117.2.Mafb	chr4	139579225	139579236	+	0.000	0.000	Merged-chr4-139579133-70
NR7902--MA0089.1.MAFG::NFE2L1	chr4	148742849	148742854	-	0.000	0.000	Merged-chr4-148742861-33
NR1713--MA0496.2.MAFK	chr11	43748047	43748065	-	0.000	0.000	Merged-chr11-43747947-60
NR2080--MA0659.1.MAFG	chr11	106994504	106994524	+	0.000	0.000	Merged-chr11-106994404-9
NR3118--MA0089.1.MAFG::NFE2L1	chr13	95765285	95765290	+	0.000	0.000	Merged-chr13-95765232-46
NR8166--MA0089.1.MAFG::NFE2L1	chr5	57964487	57964492	+	0.000	0.000	Merged-chr5-57964492-18
NR10677--MA0089.1.MAFG::NFE2L1	chr9	25186821	25186826	-	0.000	0.000	Merged-chr9-25186654-66
NR2264--MA0089.1.MAFG::NFE2L1	chr12	17881646	17881651	-	0.000	0.000	Merged-chr12-17881825-74
NR7030--MA0496.2.MAFK	chr3	116656392	116656410	-	0.000	0.000	Merged-chr3-116656324-16
NR7828--MA0089.1.MAFG::NFE2L1	chr4	141419643	141419648	-	0.000	0.000	Merged-chr4-141419764-31
NR8429--MA0496.2.MAFK	chr5	118269184	118269202	-	0.000	0.000	Merged-chr5-118269215-26
NR8757--MA0089.1.MAFG::NFE2L1	chr6	30617181	30617186	-	0.000	0.000	Merged-chr6-30617295-15
NR2855--MA0089.1.MAFG::NFE2L1	chr13	32866658	32866663	+	0.000	0.000	Merged-chr13-32866696-30
NR7832--MA0495.2.MAFF	chr4	142153734	142153754	-	0.000	0.000	Merged-chr4-142153700-30
NR11090--MA0495.2.MAFF	chr9	120415586	120415606	+	0.000	0.000	Merged-chr9-120415677-25
NR3804--MA0501.1.MAF::NFE2	chr14	121711579	121711593	-	0.000	0.000	Merged-chr14-121711337-42
NR8899--MA0496.2.MAFK	chr6	70714456	70714474	-	0.000	0.000	Merged-chr6-70714490-34
NR10045--MA0591.1.Bach1::Mafk	chr7	139914326	139914340	-	0.000	0.000	Merged-chr7-139914511-29
NR1146--MA0089.1.MAFG::NFE2L1	chr10	61715406	61715411	+	0.000	0.000	Merged-chr10-61715305-29
NR8353--MA0089.1.MAFG::NFE2L1	chr5	105718245	105718250	+	0.000	0.000	Merged-chr5-105718341-55
NR6619--MA0591.1.Bach1::Mafk	chr2	177464748	177464762	+	0.000	0.000	Merged-chr2-177464769-67
NR4553--MA0496.2.MAFK	chr16	87642409	87642427	-	0.000	0.000	Merged-chr16-87642367-32
NR10784--MA0501.1.MAF::NFE2	chr9	61056516	61056530	+	0.000	0.000	Merged-chr9-61056676-44
NR1617--MA0117.2.Mafb	chr11	3932071	3932082	-	0.000	0.000	Merged-chr11-3931934-36
NR382--MA0501.1.MAF::NFE2	chr1	125390344	125390358	+	0.000	0.000	Merged-chr1-125390190-80
NR2162--MA0089.1.MAFG::NFE2L1	chr11	117092971	117092976	-	0.000	0.000	Merged-chr11-117092893-43
NR9342--MA0117.2.Mafb	chr6	143176979	143176990	-	0.000	0.000	Merged-chr6-143176847-16
NR3066--MA0591.1.Bach1::Mafk	chr13	85356565	85356579	-	0.000	0.000	Merged-chr13-85356477-8
NR5452--MA0089.1.MAFG::NFE2L1	chr19	10729961	10729966	+	0.000	0.000	Merged-chr19-10730011-6
NR11088--MA0591.1.Bach1::Mafk	chr9	120073303	120073317	-	0.000	0.000	Merged-chr9-120073346-13
NR5417--MA0117.2.Mafb	chr19	4169565	4169576	+	0.000	0.000	Merged-chr19-4169695-50
NR9712--MA0501.1.MAF::NFE2	chr7	78583770	78583784	-	0.000	0.000	Merged-chr7-78583930-15
NR2088--MA0089.1.MAFG::NFE2L1	chr11	107668452	107668457	+	0.000	0.000	Merged-chr11-107668374-46
NR10535--MA0117.2.Mafb	chr8	122530683	122530694	+	0.000	0.000	Merged-chr8-122530722-16
NR5896--MA0117.2.Mafb	chr2	62619135	62619146	+	0.000	0.000	Merged-chr2-62619105-22
NR3884--MA0089.1.MAFG::NFE2L1	chr15	8109317	8109322	+	0.000	0.000	Merged-chr15-8109261-61
NR2646--MA0501.1.MAF::NFE2	chr12	111516980	111516994	+	0.000	0.000	Merged-chr12-111516948-28
NR2840--MA0089.1.MAFG::NFE2L1	chr13	24962227	24962232	-	0.000	0.000	Merged-chr13-24962371-30
NR10887--MA0495.2.MAFF	chr9	83564270	83564290	+	0.000	0.000	Merged-chr9-83564254-44
NR3132--MA0496.2.MAFK	chr13	96697953	96697971	-	0.000	0.000	Merged-chr13-96698036-39
NR4133--MA0495.2.MAFF	chr15	83455765	83455785	-	0.000	0.000	Merged-chr15-83455870-33
NR3276--MA0495.2.MAFF	chr13	110892452	110892472	+	0.000	0.000	Merged-chr13-110892635-1
NR9217--MA0117.2.Mafb	chr6	128345849	128345860	-	0.000	0.000	Merged-chr6-128345779-18
NR6514--MA0591.1.Bach1::Mafk	chr2	164938922	164938936	+	0.000	0.000	Merged-chr2-164938958-38
NR8909--MA0495.2.MAFF	chr6	72881452	72881472	-	0.000	0.000	Merged-chr6-72881581-61
NR1841--MA0591.1.Bach1::Mafk	chr11	69332066	69332080	+	0.000	0.000	Merged-chr11-69332186-23
NR9492--MA0591.1.Bach1::Mafk	chr7	16314090	16314104	-	0.000	0.000	Merged-chr7-16314036-50
NR3253--MA0496.2.MAFK	chr13	109822601	109822619	-	0.000	0.000	Merged-chr13-109822486-79
NR2060--MA0089.1.MAFG::NFE2L1	chr11	104639092	104639097	-	0.000	0.000	Merged-chr11-104639154-13
NR1604--MA0591.1.Bach1::Mafk	chr11	3151529	3151543	+	0.000	0.000	Merged-chr11-3151424-21
NR2725--MA0117.2.Mafb	chr12	116467139	116467150	+	0.000	0.000	Merged-chr12-116467208-51
NR880--MA0591.1.Bach1::Mafk	chr1	191739580	191739594	+	0.000	0.000	Merged-chr1-191739403-4
NR10466--MA0501.1.MAF::NFE2	chr8	119437043	119437057	-	0.000	0.000	Merged-chr8-119437136-21
NR8342--MA0591.1.Bach1::Mafk	chr5	105291092	105291106	+	0.000	0.000	Merged-chr5-105291153-16
NR9920--MA0591.1.Bach1::Mafk	chr7	118104823	118104837	-	0.000	0.000	Merged-chr7-118104738-1,Merged-chr7-118105003-9
NR6394--MA0089.1.MAFG::NFE2L1	chr2	150910463	150910468	-	0.000	0.000	Merged-chr2-150910563-2
NR3695--MA0089.1.MAFG::NFE2L1	chr14	102811527	102811532	-	0.000	0.000	Merged-chr14-102811644-20
NR9114--MA0117.2.Mafb	chr6	115544578	115544589	-	0.000	0.000	Merged-chr6-115544664-53
NR10618--MA0496.2.MAFK	chr8	128333588	128333606	-	0.000	0.000	Merged-chr8-128333532-18
NR5560--MA0501.1.MAF::NFE2	chr19	34501031	34501045	-	0.000	0.000	Merged-chr19-34500926-32
NR4135--MA0659.1.MAFG	chr15	83455765	83455785	-	0.000	0.000	Merged-chr15-83455870-33
NR3150--MA0496.2.MAFK	chr13	99412995	99413013	-	0.000	0.000	Merged-chr13-99412830-24
NR11293--MA0501.1.MAF::NFE2	chrX	113075046	113075060	-	0.000	0.000	Merged-chrX-113075086-29
NR300--MA0117.2.Mafb	chr1	97650196	97650207	-	0.000	0.000	Merged-chr1-97650227-42
NR10194--MA0501.1.MAF::NFE2	chr8	57576373	57576387	+	0.000	0.000	Merged-chr8-57576457-48
NR11130--MA0501.1.MAF::NFE2	chrX	11839718	11839732	-	0.000	0.000	Merged-chrX-11839890-20
NR6671--MA0495.2.MAFF	chr3	9466071	9466091	+	0.000	0.000	Merged-chr3-9466321-50
NR985--MA0117.2.Mafb	chr10	21245267	21245278	-	0.000	0.000	Merged-chr10-21245318-22
NR2325--MA0591.1.Bach1::Mafk	chr12	40009994	40010008	+	0.000	0.000	Merged-chr12-40010101-23
NR4723--MA0089.1.MAFG::NFE2L1	chr17	21616743	21616748	-	0.000	0.000	Merged-chr17-21616723-9
NR2577--MA0089.1.MAFG::NFE2L1	chr12	103544537	103544542	-	0.000	0.000	Merged-chr12-103544377-28
NR1533--MA0089.1.MAFG::NFE2L1	chr10	122758461	122758466	+	0.000	0.000	Merged-chr10-122758293-88
NR2955--MA0501.1.MAF::NFE2	chr13	55636649	55636663	-	0.000	0.000	Merged-chr13-55636712-28
NR1313--MA0117.2.Mafb	chr10	89415701	89415712	+	0.000	0.000	Merged-chr10-89415714-14
NR3518--MA0089.1.MAFG::NFE2L1	chr14	59397162	59397167	+	0.000	0.000	Merged-chr14-59397210-50
NR3562--MA0591.1.Bach1::Mafk	chr14	64666772	64666786	-	0.000	0.000	Merged-chr14-64666873-42
NR5424--MA0496.2.MAFK	chr19	5510527	5510545	+	0.000	0.000	Merged-chr19-5510623-50
NR4903--MA0591.1.Bach1::Mafk	chr17	65826437	65826451	+	0.000	0.000	Merged-chr17-65826425-32
NR6975--MA0496.2.MAFK	chr3	108537561	108537579	-	0.000	0.000	Merged-chr3-108537509-16
NR10573--MA0089.1.MAFG::NFE2L1	chr8	125950507	125950512	+	0.000	0.000	Merged-chr8-125950444-55
NR3157--MA0117.2.Mafb	chr13	99932661	99932672	+	0.000	0.000	Merged-chr13-99932700-36
NR3251--MA0501.1.MAF::NFE2	chr13	109822600	109822614	-	0.000	0.000	Merged-chr13-109822486-79
NR6292--MA0089.1.MAFG::NFE2L1	chr2	131820290	131820295	-	0.000	0.000	Merged-chr2-131820410-33
NR1585--MA0591.1.Bach1::Mafk	chr10	128821810	128821824	-	0.000	0.000	Merged-chr10-128821761-47
NR8186--MA0501.1.MAF::NFE2	chr5	65435961	65435975	-	0.000	0.000	Merged-chr5-65436020-62
NR5578--MA0089.1.MAFG::NFE2L1	chr19	40873459	40873464	+	0.000	0.000	Merged-chr19-40873464-21
NR8653--MA0089.1.MAFG::NFE2L1	chr5	150522597	150522602	-	0.000	0.000	Merged-chr5-150522629-58
NR7233--MA0089.1.MAFG::NFE2L1	chr3	149467346	149467351	-	0.000	0.000	Merged-chr3-149467177-29
NR11023--MA0089.1.MAFG::NFE2L1	chr9	109933316	109933321	-	0.000	0.000	Merged-chr9-109933179-5
NR4517--MA0591.1.Bach1::Mafk	chr16	78264943	78264957	-	0.000	0.000	Merged-chr16-78265078-57
NR5463--MA0089.1.MAFG::NFE2L1	chr19	11965707	11965712	+	0.000	0.000	Merged-chr19-11965731-84
NR9914--MA0495.2.MAFF	chr7	118104820	118104840	+	0.000	0.000	Merged-chr7-118104738-1,Merged-chr7-118105003-9
NR4679--MA0496.2.MAFK	chr17	7931731	7931749	-	0.000	0.000	Merged-chr17-7931540-55
NR9999--MA0089.1.MAFG::NFE2L1	chr7	131112505	131112510	+	0.000	0.000	Merged-chr7-131112700-22
NR11325--MA0089.1.MAFG::NFE2L1	chrX	142737404	142737409	-	0.000	0.000	Merged-chrX-142737448-59
NR1781--MA0496.2.MAFK	chr11	57791380	57791398	-	0.000	0.000	Merged-chr11-57791276-17
NR4697--MA0496.2.MAFK	chr17	10840175	10840193	+	0.000	0.000	Merged-chr17-10840429-74
NR5698--MA0495.2.MAFF	chr2	9574293	9574313	+	0.000	0.000	Merged-chr2-9574386-32
NR9242--MA0496.2.MAFK	chr6	129533739	129533757	+	0.000	0.000	Merged-chr6-129533929-3
NR9405--MA0089.1.MAFG::NFE2L1	chr6	146185786	146185791	-	0.000	0.000	Merged-chr6-146185680-43
NR2083--MA0496.2.MAFK	chr11	106994505	106994523	+	0.000	0.000	Merged-chr11-106994404-9
NR327--MA0501.1.MAF::NFE2	chr1	106268523	106268537	+	0.000	0.000	Merged-chr1-106268464-31
NR1357--MA0089.1.MAFG::NFE2L1	chr10	93343465	93343470	+	0.000	0.000	Merged-chr10-93343616-39
NR8729--MA0591.1.Bach1::Mafk	chr6	17629867	17629881	+	0.000	0.000	Merged-chr6-17630018-29
NR4053--MA0495.2.MAFF	chr15	66755320	66755340	-	0.000	0.000	Merged-chr15-66755443-30
NR9755--MA0501.1.MAF::NFE2	chr7	88277949	88277963	-	0.000	0.000	Merged-chr7-88277726-133
NR7837--MA0496.2.MAFK	chr4	142153735	142153753	-	0.000	0.000	Merged-chr4-142153700-30
NR7763--MA0117.2.Mafb	chr4	132040253	132040264	-	0.000	0.000	Merged-chr4-132040319-80
NR1444--MA0089.1.MAFG::NFE2L1	chr10	111446408	111446413	-	0.000	0.000	Merged-chr10-111446386-39
NR8497--MA0496.2.MAFK	chr5	130196621	130196639	-	0.000	0.000	Merged-chr5-130196551-48
NR8913--MA0501.1.MAF::NFE2	chr6	72881458	72881472	+	0.000	0.000	Merged-chr6-72881581-61
NR2430--MA0117.2.Mafb	chr12	77131553	77131564	-	0.000	0.000	Merged-chr12-77131463-19
NR2639--MA0495.2.MAFF	chr12	111516974	111516994	+	0.000	0.000	Merged-chr12-111516948-28
NR270--MA0089.1.MAFG::NFE2L1	chr1	88685075	88685080	-	0.000	0.000	Merged-chr1-88684968-21
NR4055--MA0659.1.MAFG	chr15	66755320	66755340	-	0.000	0.000	Merged-chr15-66755443-30
NR4218--MA0591.1.Bach1::Mafk	chr15	100687228	100687242	+	0.000	0.000	Merged-chr15-100687236-65
NR8983--MA0659.1.MAFG	chr6	97447130	97447150	+	0.000	0.000	Merged-chr6-97447180-22
NR11349--MA0501.1.MAF::NFE2	chrX	163848710	163848724	-	0.000	0.000	Merged-chrX-163848776-29
