#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR2933--MA0482.1.Gata4	chr17	18597364	18597374	+	0.000	0.000	Merged-chr17-18597509-40
NR955--MA0035.3.Gata1	chr11	16844375	16844385	+	0.000	0.000	Merged-chr11-16844385-25
NR6360--MA0035.3.Gata1	chr8	36130498	36130508	-	0.000	0.000	Merged-chr8-36130475-35
NR48--MA0036.3.GATA2	chr1	36684298	36684308	-	0.000	0.000	Merged-chr1-36684318-20
NR3695--MA0037.3.GATA3	chr2	60845543	60845550	+	0.000	0.000	Merged-chr2-60845573-40
NR854--MA0036.3.GATA2	chr10	111583205	111583215	-	0.000	0.000	Merged-chr10-111583294-13
NR4677--MA0037.3.GATA3	chr4	63405247	63405254	-	0.000	0.000	Merged-chr4-63405214-23
NR2126--MA0037.3.GATA3	chr14	45329862	45329869	+	0.000	0.000	Merged-chr14-45329780-80
NR3158--MA0035.3.Gata1	chr18	39020566	39020576	+	0.000	0.000	Merged-chr18-39020827-46
NR1776--MA1104.1.GATA6	chr13	52801099	52801111	+	0.000	0.000	Merged-chr13-52800951-49
NR1091--MA1104.1.GATA6	chr11	73267088	73267100	-	0.000	0.000	Merged-chr11-73267242-14
NR5218--MA0035.3.Gata1	chr5	105198219	105198229	+	0.000	0.000	Merged-chr5-105198197-37
NR3089--MA1104.1.GATA6	chr17	74841825	74841837	-	0.000	0.000	Merged-chr17-74841892-5
NR1052--MA0140.2.GATA1::TAL1	chr11	63148511	63148528	+	0.000	0.000	Merged-chr11-63148506-21
NR6272--MA0036.3.GATA2	chr7	143649722	143649732	+	0.000	0.000	Merged-chr7-143649559-54
NR4939--MA0766.1.GATA5	chr5	3512857	3512864	+	0.000	0.000	Merged-chr5-3512789-22
NR1537--MA1104.1.GATA6	chr12	108646503	108646515	-	0.000	0.000	Merged-chr12-108646363-75
NR2936--MA0035.3.Gata1	chr17	18597363	18597373	+	0.000	0.000	Merged-chr17-18597509-40
NR5698--MA0482.1.Gata4	chr6	122557164	122557174	+	0.000	0.000	Merged-chr6-122557216-31
NR392--MA0035.3.Gata1	chr1	156956632	156956642	+	0.000	0.000	Merged-chr1-156956579-55
NR2160--MA0766.1.GATA5	chr14	54227579	54227586	+	0.000	0.000	Merged-chr14-54227788-83
NR3028--MA0035.3.Gata1	chr17	52150039	52150049	+	0.000	0.000	Merged-chr17-52149947-112
NR2893--MA0482.1.Gata4	chr17	12165548	12165558	+	0.000	0.000	Merged-chr17-12165459-54
NR6955--MA1104.1.GATA6	chrX	7308386	7308398	-	0.000	0.000	Merged-chrX-7308441-13
NR4701--MA0482.1.Gata4	chr4	89044206	89044216	+	0.000	0.000	Merged-chr4-89044155-38
NR2739--MA0036.3.GATA2	chr16	45025478	45025488	-	0.000	0.000	Merged-chr16-45025536-40
NR737--MA0036.3.GATA2	chr10	77021477	77021487	+	0.000	0.000	Merged-chr10-77021563-39
NR3849--MA0037.3.GATA3	chr2	115855978	115855985	-	0.000	0.000	Merged-chr2-115856078-28
NR4472--MA0766.1.GATA5	chr3	139024692	139024699	-	0.000	0.000	Merged-chr3-139024771-15
NR2587--MA0766.1.GATA5	chr15	97790278	97790285	+	0.000	0.000	Merged-chr15-97790248-21
NR118--MA0036.3.GATA2	chr1	64956881	64956891	+	0.000	0.000	Merged-chr1-64956845-95
NR4630--MA0140.2.GATA1::TAL1	chr4	45106453	45106470	-	0.000	0.000	Merged-chr4-45106473-7
NR2173--MA0766.1.GATA5	chr14	57713188	57713195	+	0.000	0.000	Merged-chr14-57713043-44
NR3870--MA0766.1.GATA5	chr2	119251033	119251040	-	0.000	0.000	Merged-chr2-119251076-33
NR5568--MA0482.1.Gata4	chr6	88189799	88189809	-	0.000	0.000	Merged-chr6-88189765-31
NR4852--MA0766.1.GATA5	chr4	145361256	145361263	+	0.000	0.000	Merged-chr4-145361226-45
NR2696--MA0766.1.GATA5	chr16	29856393	29856400	-	0.000	0.000	Merged-chr16-29856280-19
NR804--MA0035.3.Gata1	chr10	96015953	96015963	-	0.000	0.000	Merged-chr10-96015913-48
NR3177--MA1104.1.GATA6	chr18	46448738	46448750	+	0.000	0.000	Merged-chr18-46448750-18
NR5952--MA0037.3.GATA3	chr7	47015782	47015789	-	0.000	0.000	Merged-chr7-47015889-36
NR3796--MA0037.3.GATA3	chr2	104763430	104763437	+	0.000	0.000	Merged-chr2-104763396-33
NR2415--MA0482.1.Gata4	chr15	31440061	31440071	+	0.000	0.000	Merged-chr15-31440136-19
NR4847--MA0035.3.Gata1	chr4	145312626	145312636	-	0.000	0.000	Merged-chr4-145312696-44
NR3126--MA0482.1.Gata4	chr17	86038430	86038440	-	0.000	0.000	Merged-chr17-86038391-20
NR142--MA0482.1.Gata4	chr1	71576670	71576680	-	0.000	0.000	Merged-chr1-71576890-29
NR3378--MA0482.1.Gata4	chr19	8019665	8019675	+	0.000	0.000	Merged-chr19-8019847-106
NR6351--MA0140.2.GATA1::TAL1	chr8	34164661	34164678	+	0.000	0.000	Merged-chr8-34164566-26
NR598--MA0766.1.GATA5	chr10	7630596	7630603	-	0.000	0.000	Merged-chr10-7630837-45
NR6535--MA0036.3.GATA2	chr8	117801964	117801974	-	0.000	0.000	Merged-chr8-117802067-74
NR3116--MA0035.3.Gata1	chr17	83307283	83307293	+	0.000	0.000	Merged-chr17-83307130-30
NR2304--MA0036.3.GATA2	chr14	101477377	101477387	-	0.000	0.000	Merged-chr14-101477413-70
NR4932--MA0482.1.Gata4	chr4	156022069	156022079	+	0.000	0.000	Merged-chr4-156022073-120
NR4813--MA0035.3.Gata1	chr4	132030618	132030628	+	0.000	0.000	Merged-chr4-132030725-25
NR4608--MA0035.3.Gata1	chr4	33189442	33189452	+	0.000	0.000	Merged-chr4-33189254-36
NR4236--MA0036.3.GATA2	chr3	68240094	68240104	-	0.000	0.000	Merged-chr3-68240034-18
NR5965--MA0037.3.GATA3	chr7	51750390	51750397	+	0.000	0.000	Merged-chr7-51750437-26
NR5024--MA0482.1.Gata4	chr5	36722516	36722526	-	0.000	0.000	Merged-chr5-36722614-37
NR5280--MA0037.3.GATA3	chr5	130255521	130255528	+	0.000	0.000	Merged-chr5-130255429-49
NR4377--MA0037.3.GATA3	chr3	115729287	115729294	-	0.000	0.000	Merged-chr3-115729400-55
NR3299--MA1104.1.GATA6	chr18	79303776	79303788	-	0.000	0.000	Merged-chr18-79303705-44
NR6881--MA1104.1.GATA6	chr9	108832552	108832564	+	0.000	0.000	Merged-chr9-108832464-53
NR1540--MA0036.3.GATA2	chr12	108763691	108763701	-	0.000	0.000	Merged-chr12-108763648-15
NR6819--MA0036.3.GATA2	chr9	94614100	94614110	+	0.000	0.000	Merged-chr9-94614117-31
NR4212--MA0766.1.GATA5	chr3	55744018	55744025	-	0.000	0.000	Merged-chr3-55744037-44
NR1850--MA0140.2.GATA1::TAL1	chr13	75740054	75740071	+	0.000	0.000	Merged-chr13-75740223-12
NR5610--MA0140.2.GATA1::TAL1	chr6	97321354	97321371	-	0.000	0.000	Merged-chr6-97321339-36
NR6405--MA0036.3.GATA2	chr8	75082609	75082619	-	0.000	0.000	Merged-chr8-75082480-28
NR3679--MA1104.1.GATA6	chr2	58137932	58137944	+	0.000	0.000	Merged-chr2-58137903-53
NR145--MA0035.3.Gata1	chr1	71576671	71576681	-	0.000	0.000	Merged-chr1-71576890-29
NR4141--MA0035.3.Gata1	chr2	181497621	181497631	+	0.000	0.000	Merged-chr2-181497766-4
NR6192--MA0482.1.Gata4	chr7	123108636	123108646	-	0.000	0.000	Merged-chr7-123108481-68
NR4849--MA0482.1.Gata4	chr4	145361253	145361263	-	0.000	0.000	Merged-chr4-145361226-45
NR3852--MA0036.3.GATA2	chr2	115855977	115855987	+	0.000	0.000	Merged-chr2-115856078-28
NR1237--MA1104.1.GATA6	chr11	101627407	101627419	-	0.000	0.000	Merged-chr11-101627512-104
NR2484--MA0482.1.Gata4	chr15	67130058	67130068	+	0.000	0.000	Merged-chr15-67130106-32
NR4614--MA1104.1.GATA6	chr4	40773025	40773037	-	0.000	0.000	Merged-chr4-40772932-1
NR2934--MA1104.1.GATA6	chr17	18597362	18597374	-	0.000	0.000	Merged-chr17-18597509-40
NR230--MA0482.1.Gata4	chr1	94035513	94035523	+	0.000	0.000	Merged-chr1-94035484-87
NR6975--MA0140.2.GATA1::TAL1	chrX	48310755	48310772	-	0.000	0.000	Merged-chrX-48310773-8
NR6480--MA1104.1.GATA6	chr8	107164412	107164424	-	0.000	0.000	Merged-chr8-107164486-19
NR2816--MA0766.1.GATA5	chr16	84864872	84864879	-	0.000	0.000	Merged-chr16-84864807-26
NR753--MA0482.1.Gata4	chr10	80700850	80700860	+	0.000	0.000	Merged-chr10-80700904-35
NR3893--MA0140.2.GATA1::TAL1	chr2	127789087	127789104	+	0.000	0.000	Merged-chr2-127788936-49
NR4085--MA0037.3.GATA3	chr2	170117131	170117138	+	0.000	0.000	Merged-chr2-170117129-44
NR2383--MA0766.1.GATA5	chr15	5263387	5263394	+	0.000	0.000	Merged-chr15-5263232-16
NR6562--MA0035.3.Gata1	chr8	121907709	121907719	+	0.000	0.000	Merged-chr8-121907786-62
NR1551--MA0037.3.GATA3	chr12	114313379	114313386	-	0.000	0.000	Merged-chr12-114313437-14
NR3135--MA1104.1.GATA6	chr17	86880651	86880663	-	0.000	0.000	Merged-chr17-86880662-37
NR447--MA0766.1.GATA5	chr1	165988794	165988801	+	0.000	0.000	Merged-chr1-165988939-8
NR6585--MA0482.1.Gata4	chr8	126673365	126673375	-	0.000	0.000	Merged-chr8-126673229-3
NR2830--MA0482.1.Gata4	chr16	89849286	89849296	-	0.000	0.000	Merged-chr16-89849155-62
NR3406--MA0037.3.GATA3	chr19	16418579	16418586	-	0.000	0.000	Merged-chr19-16418552-32
NR6323--MA0035.3.Gata1	chr8	25769095	25769105	-	0.000	0.000	Merged-chr8-25769209-9
NR1880--MA0036.3.GATA2	chr13	90886326	90886336	-	0.000	0.000	Merged-chr13-90886172-1
NR2487--MA0035.3.Gata1	chr15	67130057	67130067	+	0.000	0.000	Merged-chr15-67130106-32
NR802--MA1104.1.GATA6	chr10	95971100	95971112	-	0.000	0.000	Merged-chr10-95971075-85
NR504--MA0035.3.Gata1	chr1	179131559	179131569	-	0.000	0.000	Merged-chr1-179131404-17
NR1308--MA0482.1.Gata4	chr11	117109712	117109722	+	0.000	0.000	Merged-chr11-117109823-31
NR2928--MA0036.3.GATA2	chr17	18462835	18462845	-	0.000	0.000	Merged-chr17-18462916-14
NR5058--MA0766.1.GATA5	chr5	53566530	53566537	-	0.000	0.000	Merged-chr5-53566690-62
NR6484--MA0140.2.GATA1::TAL1	chr8	107164415	107164432	+	0.000	0.000	Merged-chr8-107164486-19
NR4794--MA0036.3.GATA2	chr4	122829338	122829348	-	0.000	0.000	Merged-chr4-122829434-12
NR2894--MA1104.1.GATA6	chr17	12165546	12165558	-	0.000	0.000	Merged-chr17-12165459-54
NR4702--MA1104.1.GATA6	chr4	89044204	89044216	-	0.000	0.000	Merged-chr4-89044155-38
NR1673--MA0037.3.GATA3	chr13	20134072	20134079	-	0.000	0.000	Merged-chr13-20133930-14
NR4385--MA0035.3.Gata1	chr3	121548576	121548586	-	0.000	0.000	Merged-chr3-121548223-73
NR7047--MA0035.3.Gata1	chrX	159189310	159189320	+	0.000	0.000	Merged-chrX-159189448-11
NR1893--MA0036.3.GATA2	chr13	92629671	92629681	-	0.000	0.000	Merged-chr13-92629769-12
NR4903--MA0482.1.Gata4	chr4	150517582	150517592	+	0.000	0.000	Merged-chr4-150517532-35
NR4513--MA0035.3.Gata1	chr3	146192716	146192726	-	0.000	0.000	Merged-chr3-146192596-55
NR416--MA0036.3.GATA2	chr1	162773741	162773751	+	0.000	0.000	Merged-chr1-162773825-31
NR4422--MA0766.1.GATA5	chr3	132791516	132791523	+	0.000	0.000	Merged-chr3-132791387-40
NR6743--MA1104.1.GATA6	chr9	69073400	69073412	-	0.000	0.000	Merged-chr9-69073494-25
NR2252--MA0140.2.GATA1::TAL1	chr14	78436673	78436690	+	0.000	0.000	Merged-chr14-78436741-6
NR5298--MA1104.1.GATA6	chr5	137425806	137425818	+	0.000	0.000	Merged-chr5-137425710-17
NR1067--MA1104.1.GATA6	chr11	70265523	70265535	-	0.000	0.000	Merged-chr11-70265494-15
NR3571--MA0037.3.GATA3	chr2	17644736	17644743	+	0.000	0.000	Merged-chr2-17644831-25
NR2466--MA0035.3.Gata1	chr15	59018970	59018980	-	0.000	0.000	Merged-chr15-59019141-20
NR3127--MA1104.1.GATA6	chr17	86038430	86038442	+	0.000	0.000	Merged-chr17-86038391-20
NR464--MA0035.3.Gata1	chr1	171502734	171502744	-	0.000	0.000	Merged-chr1-171502650-3
NR510--MA0037.3.GATA3	chr1	180850958	180850965	-	0.000	0.000	Merged-chr1-180850855-72
NR2467--MA0140.2.GATA1::TAL1	chr15	59762448	59762465	-	0.000	0.000	Merged-chr15-59762255-43
NR2161--MA0035.3.Gata1	chr14	54227577	54227587	-	0.000	0.000	Merged-chr14-54227788-83
NR3300--MA0036.3.GATA2	chr18	79303777	79303787	+	0.000	0.000	Merged-chr18-79303705-44
NR5008--MA0482.1.Gata4	chr5	30887490	30887500	-	0.000	0.000	Merged-chr5-30887642-12
NR3382--MA0140.2.GATA1::TAL1	chr19	10709761	10709778	+	0.000	0.000	Merged-chr19-10709872-54
NR4933--MA1104.1.GATA6	chr4	156022067	156022079	-	0.000	0.000	Merged-chr4-156022073-120
NR4263--MA0036.3.GATA2	chr3	84477726	84477736	-	0.000	0.000	Merged-chr3-84477603-8,Merged-chr3-84477916-1
NR5025--MA1104.1.GATA6	chr5	36722516	36722528	+	0.000	0.000	Merged-chr5-36722614-37
NR596--MA0482.1.Gata4	chr10	7630596	7630606	+	0.000	0.000	Merged-chr10-7630837-45
NR4592--MA0482.1.Gata4	chr4	16740015	16740025	-	0.000	0.000	Merged-chr4-16739896-7
NR4473--MA0035.3.Gata1	chr3	139024691	139024701	+	0.000	0.000	Merged-chr3-139024771-15
NR5369--MA0482.1.Gata4	chr5	149392278	149392288	-	0.000	0.000	Merged-chr5-149392157-30
NR2588--MA0035.3.Gata1	chr15	97790276	97790286	-	0.000	0.000	Merged-chr15-97790248-21
NR519--MA0482.1.Gata4	chr1	181839662	181839672	-	0.000	0.000	Merged-chr1-181839725-20
NR4531--MA0140.2.GATA1::TAL1	chr3	152210480	152210497	-	0.000	0.000	Merged-chr3-152210438-105
NR105--MA0482.1.Gata4	chr1	64086112	64086122	+	0.000	0.000	Merged-chr1-64086002-50
NR6560--MA1104.1.GATA6	chr8	121907708	121907720	-	0.000	0.000	Merged-chr8-121907786-62
NR3871--MA0035.3.Gata1	chr2	119251032	119251042	+	0.000	0.000	Merged-chr2-119251076-33
NR5731--MA0766.1.GATA5	chr6	127575140	127575147	+	0.000	0.000	Merged-chr6-127575169-36
NR2697--MA0035.3.Gata1	chr16	29856392	29856402	+	0.000	0.000	Merged-chr16-29856280-19
NR4467--MA0140.2.GATA1::TAL1	chr3	139024643	139024660	+	0.000	0.000	Merged-chr3-139024771-15
NR2468--MA0482.1.Gata4	chr15	60132889	60132899	-	0.000	0.000	Merged-chr15-60132913-50
NR2647--MA1104.1.GATA6	chr16	14701525	14701537	+	0.000	0.000	Merged-chr16-14701585-15
NR1774--MA0037.3.GATA3	chr13	52801102	52801109	+	0.000	0.000	Merged-chr13-52800951-49
NR4799--MA0036.3.GATA2	chr4	122872201	122872211	+	0.000	0.000	Merged-chr4-122872187-66
NR5060--MA0140.2.GATA1::TAL1	chr5	54060202	54060219	+	0.000	0.000	Merged-chr5-54060187-18
NR4209--MA0766.1.GATA5	chr3	52878543	52878550	-	0.000	0.000	Merged-chr3-52878450-55
NR466--MA0482.1.Gata4	chr1	171643757	171643767	+	0.000	0.000	Merged-chr1-171643793-46
NR6689--MA0035.3.Gata1	chr9	44772869	44772879	-	0.000	0.000	Merged-chr9-44772887-60
NR2485--MA1104.1.GATA6	chr15	67130056	67130068	-	0.000	0.000	Merged-chr15-67130106-32
NR5239--MA0482.1.Gata4	chr5	107295420	107295430	-	0.000	0.000	Merged-chr5-107295347-25
NR989--MA0482.1.Gata4	chr11	32162426	32162436	+	0.000	0.000	Merged-chr11-32162378-27
NR231--MA1104.1.GATA6	chr1	94035511	94035523	-	0.000	0.000	Merged-chr1-94035484-87
NR4595--MA0035.3.Gata1	chr4	16740016	16740026	-	0.000	0.000	Merged-chr4-16739896-7
NR1535--MA0037.3.GATA3	chr12	107139203	107139210	+	0.000	0.000	Merged-chr12-107139139-48
NR1513--MA0766.1.GATA5	chr12	103129577	103129584	-	0.000	0.000	Merged-chr12-103129553-17
NR108--MA0035.3.Gata1	chr1	64086111	64086121	+	0.000	0.000	Merged-chr1-64086002-50
NR6359--MA0766.1.GATA5	chr8	36130500	36130507	+	0.000	0.000	Merged-chr8-36130475-35
NR6349--MA0036.3.GATA2	chr8	34164659	34164669	+	0.000	0.000	Merged-chr8-34164566-26
NR4679--MA0766.1.GATA5	chr4	63405247	63405254	-	0.000	0.000	Merged-chr4-63405214-23
NR5554--MA0140.2.GATA1::TAL1	chr6	84559864	84559881	+	0.000	0.000	Merged-chr6-84559723-19
NR336--MA0482.1.Gata4	chr1	136601112	136601122	+	0.000	0.000	Merged-chr1-136600909-41
NR4213--MA0035.3.Gata1	chr3	55744017	55744027	+	0.000	0.000	Merged-chr3-55744037-44
NR6197--MA0766.1.GATA5	chr7	123378038	123378045	-	0.000	0.000	Merged-chr7-123378098-56
NR6729--MA0036.3.GATA2	chr9	63785709	63785719	+	0.000	0.000	Merged-chr9-63785726-16
NR3608--MA0037.3.GATA3	chr2	31081560	31081567	+	0.000	0.000	Merged-chr2-31081632-31
NR167--MA0140.2.GATA1::TAL1	chr1	82836638	82836655	-	0.000	0.000	Merged-chr1-82836652-59
NR554--MA0482.1.Gata4	chr1	192532234	192532244	-	0.000	0.000	Merged-chr1-192532397-12
NR2940--MA0037.3.GATA3	chr17	27056441	27056448	-	0.000	0.000	Merged-chr17-27056351-33
NR3175--MA0037.3.GATA3	chr18	46448741	46448748	+	0.000	0.000	Merged-chr18-46448750-18
NR2817--MA0035.3.Gata1	chr16	84864871	84864881	+	0.000	0.000	Merged-chr16-84864807-26
NR1734--MA0036.3.GATA2	chr13	41683053	41683063	+	0.000	0.000	Merged-chr13-41683049-20
NR1944--MA0035.3.Gata1	chr13	102598332	102598342	+	0.000	0.000	Merged-chr13-102598245-27
NR4904--MA1104.1.GATA6	chr4	150517580	150517592	-	0.000	0.000	Merged-chr4-150517532-35
NR2384--MA0035.3.Gata1	chr15	5263385	5263395	-	0.000	0.000	Merged-chr15-5263232-16
NR5490--MA0035.3.Gata1	chr6	50387874	50387884	-	0.000	0.000	Merged-chr6-50387910-30
NR889--MA1104.1.GATA6	chr10	121640513	121640525	-	0.000	0.000	Merged-chr10-121640592-32
NR5487--MA0037.3.GATA3	chr6	50387876	50387883	+	0.000	0.000	Merged-chr6-50387910-30
NR1710--MA0766.1.GATA5	chr13	37325801	37325808	-	0.000	0.000	Merged-chr13-37325634-26
NR448--MA0035.3.Gata1	chr1	166462734	166462744	+	0.000	0.000	Merged-chr1-166462719-26
NR2172--MA1104.1.GATA6	chr14	57713185	57713197	+	0.000	0.000	Merged-chr14-57713043-44
NR4375--MA1104.1.GATA6	chr3	115675885	115675897	-	0.000	0.000	Merged-chr3-115675973-49
NR618--MA0140.2.GATA1::TAL1	chr10	21908907	21908924	+	0.000	0.000	Merged-chr10-21908729-44
NR3132--MA0766.1.GATA5	chr17	86496073	86496080	-	0.000	0.000	Merged-chr17-86495952-1
NR5360--MA0035.3.Gata1	chr5	147063477	147063487	+	0.000	0.000	Merged-chr5-147063758-85
NR5009--MA1104.1.GATA6	chr5	30887490	30887502	+	0.000	0.000	Merged-chr5-30887642-12
NR5902--MA0035.3.Gata1	chr7	27933592	27933602	-	0.000	0.000	Merged-chr7-27933719-74
NR3677--MA0037.3.GATA3	chr2	58137935	58137942	+	0.000	0.000	Merged-chr2-58137903-53
NR6687--MA1104.1.GATA6	chr9	44772868	44772880	+	0.000	0.000	Merged-chr9-44772887-60
NR6427--MA0140.2.GATA1::TAL1	chr8	86484973	86484990	+	0.000	0.000	Merged-chr8-86484982-16
NR2390--MA1104.1.GATA6	chr15	9533706	9533718	-	0.000	0.000	Merged-chr15-9533546-44
NR1832--MA0766.1.GATA5	chr13	64315647	64315654	+	0.000	0.000	Merged-chr13-64315696-19
NR1627--MA0766.1.GATA5	chr13	8457034	8457041	-	0.000	0.000	Merged-chr13-8457184-81
NR597--MA1104.1.GATA6	chr10	7630594	7630606	-	0.000	0.000	Merged-chr10-7630837-45
NR4593--MA1104.1.GATA6	chr4	16740015	16740027	+	0.000	0.000	Merged-chr4-16739896-7
NR5920--MA0766.1.GATA5	chr7	30099623	30099630	+	0.000	0.000	Merged-chr7-30099514-26
NR2405--MA0482.1.Gata4	chr15	25216779	25216789	+	0.000	0.000	Merged-chr15-25216736-38
NR6278--MA0140.2.GATA1::TAL1	chr7	144822240	144822257	+	0.000	0.000	Merged-chr7-144822124-13
NR1235--MA0037.3.GATA3	chr11	101627409	101627416	-	0.000	0.000	Merged-chr11-101627512-104
NR6416--MA0036.3.GATA2	chr8	83715200	83715210	-	0.000	0.000	Merged-chr8-83715259-53
NR4612--MA0037.3.GATA3	chr4	40773027	40773034	-	0.000	0.000	Merged-chr4-40772932-1
NR6130--MA1104.1.GATA6	chr7	113419584	113419596	+	0.000	0.000	Merged-chr7-113419557-35
NR4066--MA0482.1.Gata4	chr2	165854788	165854798	-	0.000	0.000	Merged-chr2-165854688-17
NR5118--MA0037.3.GATA3	chr5	92375117	92375124	-	0.000	0.000	Merged-chr5-92374946-3
NR3438--MA0037.3.GATA3	chr19	31210684	31210691	-	0.000	0.000	Merged-chr19-31210653-54
NR3611--MA0036.3.GATA2	chr2	31081558	31081568	-	0.000	0.000	Merged-chr2-31081632-31
NR1670--MA0766.1.GATA5	chr13	20094995	20095002	-	0.000	0.000	Merged-chr13-20095026-36
NR106--MA1104.1.GATA6	chr1	64086110	64086122	-	0.000	0.000	Merged-chr1-64086002-50
NR3024--MA0037.3.GATA3	chr17	52150040	52150047	-	0.000	0.000	Merged-chr17-52149947-112
NR2038--MA0482.1.Gata4	chr14	7994567	7994577	-	0.000	0.000	Merged-chr14-7994545-46
NR2689--MA0036.3.GATA2	chr16	27388011	27388021	+	0.000	0.000	Merged-chr16-27388094-20
NR2836--MA0037.3.GATA3	chr16	90042512	90042519	-	0.000	0.000	Merged-chr16-90042684-16
NR1394--MA0035.3.Gata1	chr12	55051397	55051407	+	0.000	0.000	Merged-chr12-55051446-14
NR3720--MA0036.3.GATA2	chr2	80638825	80638835	-	0.000	0.000	Merged-chr2-80638943-54
NR2469--MA1104.1.GATA6	chr15	60132889	60132901	+	0.000	0.000	Merged-chr15-60132913-50
NR4698--MA0482.1.Gata4	chr4	88015483	88015493	+	0.000	0.000	Merged-chr4-88015608-45
NR6259--MA0035.3.Gata1	chr7	139249848	139249858	-	0.000	0.000	Merged-chr7-139249708-3
NR2260--MA1104.1.GATA6	chr14	78687946	78687958	-	0.000	0.000	Merged-chr14-78687892-42
NR2418--MA0482.1.Gata4	chr15	34412343	34412353	-	0.000	0.000	Merged-chr15-34412458-31
NR3844--MA0482.1.Gata4	chr2	115515294	115515304	-	0.000	0.000	Merged-chr2-115515190-3
NR406--MA0140.2.GATA1::TAL1	chr1	160777222	160777239	+	0.000	0.000	Merged-chr1-160777141-20
NR467--MA1104.1.GATA6	chr1	171643755	171643767	-	0.000	0.000	Merged-chr1-171643793-46
NR965--MA0140.2.GATA1::TAL1	chr11	20565296	20565313	-	0.000	0.000	Merged-chr11-20565128-32
NR3905--MA0766.1.GATA5	chr2	129385622	129385629	-	0.000	0.000	Merged-chr2-129385556-29
NR2408--MA0035.3.Gata1	chr15	25216778	25216788	+	0.000	0.000	Merged-chr15-25216736-38
NR668--MA0482.1.Gata4	chr10	39613038	39613048	+	0.000	0.000	Merged-chr10-39613248-57
NR6124--MA0036.3.GATA2	chr7	113261850	113261860	-	0.000	0.000	Merged-chr7-113261896-3
NR4238--MA0140.2.GATA1::TAL1	chr3	68240085	68240102	-	0.000	0.000	Merged-chr3-68240034-18
NR3600--MA0766.1.GATA5	chr2	25054340	25054347	-	0.000	0.000	Merged-chr2-25054565-53
NR6386--MA0766.1.GATA5	chr8	64935135	64935142	-	0.000	0.000	Merged-chr8-64935114-22
NR5742--MA0482.1.Gata4	chr6	129239824	129239834	-	0.000	0.000	Merged-chr6-129239949-37
NR4843--MA0037.3.GATA3	chr4	145312628	145312635	+	0.000	0.000	Merged-chr4-145312696-44
NR6090--MA1104.1.GATA6	chr7	107788515	107788527	+	0.000	0.000	Merged-chr7-107788483-31
NR2892--MA0037.3.GATA3	chr17	12165548	12165555	-	0.000	0.000	Merged-chr17-12165459-54
NR2734--MA0140.2.GATA1::TAL1	chr16	44962944	44962961	-	0.000	0.000	Merged-chr16-44962970-21
