#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR11214--MA0496.2.MAFK	chrX	75764229	75764247	-	0.000	0.000	Merged-chrX-75764478-65
NR8226--MA0501.1.MAF::NFE2	chr5	77092699	77092713	-	0.000	0.000	Merged-chr5-77092743-13
NR7209--MA0495.2.MAFF	chr3	148488518	148488538	+	0.000	0.000	Merged-chr3-148488399-75
NR3977--MA0089.1.MAFG::NFE2L1	chr15	53222676	53222681	+	0.000	0.000	Merged-chr15-53222571-24
NR11205--MA0089.1.MAFG::NFE2L1	chrX	75056329	75056334	-	0.000	0.000	Merged-chrX-75056362-10
NR6481--MA0496.2.MAFK	chr2	160658028	160658046	+	0.000	0.000	Merged-chr2-160657923-30
NR5616--MA0591.1.Bach1::Mafk	chr19	53461527	53461541	+	0.000	0.000	Merged-chr19-53461472-73
NR10963--MA0501.1.MAF::NFE2	chr9	100462315	100462329	+	0.000	0.000	Merged-chr9-100462229-47
NR8679--MA0591.1.Bach1::Mafk	chr6	3447719	3447733	-	0.000	0.000	Merged-chr6-3447560-31
NR4662--MA0659.1.MAFG	chr17	5887184	5887204	+	0.000	0.000	Merged-chr17-5887399-51
NR561--MA0501.1.MAF::NFE2	chr1	155812835	155812849	+	0.000	0.000	Merged-chr1-155812844-63
NR4993--MA0089.1.MAFG::NFE2L1	chr17	83846446	83846451	-	0.000	0.000	Merged-chr17-83846499-25
NR7967--MA0501.1.MAF::NFE2	chr5	3494541	3494555	-	0.000	0.000	Merged-chr5-3494641-74
NR6978--MA0089.1.MAFG::NFE2L1	chr3	108767465	108767470	+	0.000	0.000	Merged-chr3-108767545-22
NR8903--MA0501.1.MAF::NFE2	chr6	71632848	71632862	-	0.000	0.000	Merged-chr6-71633001-103
NR10768--MA0089.1.MAFG::NFE2L1	chr9	55541142	55541147	-	0.000	0.000	Merged-chr9-55541090-24
NR9186--MA0089.1.MAFG::NFE2L1	chr6	125084669	125084674	+	0.000	0.000	Merged-chr6-125084626-24
NR1117--MA0496.2.MAFK	chr10	58393205	58393223	+	0.000	0.000	Merged-chr10-58393245-48
NR5067--MA0089.1.MAFG::NFE2L1	chr18	5334382	5334387	-	0.000	0.000	Merged-chr18-5334580-80
NR1706--MA0659.1.MAFG	chr11	43729108	43729128	-	0.000	0.000	Merged-chr11-43729040-41
NR5830--MA0496.2.MAFK	chr2	35447542	35447560	+	0.000	0.000	Merged-chr2-35447488-46
NR4766--MA0501.1.MAF::NFE2	chr17	29606629	29606643	-	0.000	0.000	Merged-chr17-29606605-11
NR5819--MA0117.2.Mafb	chr2	34494335	34494346	-	0.000	0.000	Merged-chr2-34494375-14
NR4973--MA0496.2.MAFK	chr17	80520739	80520757	+	0.000	0.000	Merged-chr17-80520754-23
NR10487--MA0496.2.MAFK	chr8	120563923	120563941	+	0.000	0.000	Merged-chr8-120564046-29
NR265--MA0089.1.MAFG::NFE2L1	chr1	88267991	88267996	+	0.000	0.000	Merged-chr1-88267879-42
NR10272--MA0496.2.MAFK	chr8	79046711	79046729	-	0.000	0.000	Merged-chr8-79046826-18
NR2015--MA0495.2.MAFF	chr11	99562665	99562685	+	0.000	0.000	Merged-chr11-99562680-10
NR8675--MA0495.2.MAFF	chr6	3447530	3447550	+	0.000	0.000	Merged-chr6-3447560-31
NR9864--MA0089.1.MAFG::NFE2L1	chr7	109986407	109986412	-	0.000	0.000	Merged-chr7-109986340-83
NR4751--MA0501.1.MAF::NFE2	chr17	26610555	26610569	+	0.000	0.000	Merged-chr17-26610479-9
NR6661--MA0591.1.Bach1::Mafk	chr3	7613427	7613441	+	0.000	0.000	Merged-chr3-7613271-98
NR7795--MA0496.2.MAFK	chr4	135876716	135876734	+	0.000	0.000	Merged-chr4-135876762-48
NR1811--MA0496.2.MAFK	chr11	61660917	61660935	+	0.000	0.000	Merged-chr11-61660971-31
NR10510--MA0495.2.MAFF	chr8	121906568	121906588	+	0.000	0.000	Merged-chr8-121906680-28
NR7590--MA0089.1.MAFG::NFE2L1	chr4	103094019	103094024	+	0.000	0.000	Merged-chr4-103093936-18
NR10702--MA0496.2.MAFK	chr9	35475548	35475566	-	0.000	0.000	Merged-chr9-35475679-27
NR9686--MA0501.1.MAF::NFE2	chr7	74351473	74351487	+	0.000	0.000	Merged-chr7-74351466-1
NR140--MA0496.2.MAFK	chr1	58725974	58725992	+	0.000	0.000	Merged-chr1-58726093-26
NR1946--MA0495.2.MAFF	chr11	87074101	87074121	+	0.000	0.000	Merged-chr11-87073947-35
NR8766--MA0591.1.Bach1::Mafk	chr6	31220346	31220360	-	0.000	0.000	Merged-chr6-31220407-8
NR9957--MA0496.2.MAFK	chr7	120851827	120851845	+	0.000	0.000	Merged-chr7-120851847-38
NR6038--MA0591.1.Bach1::Mafk	chr2	101678618	101678632	+	0.000	0.000	Merged-chr2-101678794-92
NR8746--MA0089.1.MAFG::NFE2L1	chr6	28482978	28482983	+	0.000	0.000	Merged-chr6-28483013-10
NR6472--MA0089.1.MAFG::NFE2L1	chr2	158791897	158791902	+	0.000	0.000	Merged-chr2-158791796-5
NR7381--MA0117.2.Mafb	chr4	31964112	31964123	+	0.000	0.000	Merged-chr4-31964071-76
NR5758--MA0089.1.MAFG::NFE2L1	chr2	22784439	22784444	+	0.000	0.000	Merged-chr2-22784309-53
NR4338--MA0089.1.MAFG::NFE2L1	chr16	33769967	33769972	-	0.000	0.000	Merged-chr16-33769896-51
NR2794--MA0591.1.Bach1::Mafk	chr13	12475386	12475400	-	0.000	0.000	Merged-chr13-12475485-11
NR1639--MA0089.1.MAFG::NFE2L1	chr11	5429962	5429967	-	0.000	0.000	Merged-chr11-5429912-13
NR5267--MA0089.1.MAFG::NFE2L1	chr18	65395640	65395645	+	0.000	0.000	Merged-chr18-65395765-31
NR8733--MA0501.1.MAF::NFE2	chr6	17633954	17633968	-	0.000	0.000	Merged-chr6-17634029-17
NR361--MA0591.1.Bach1::Mafk	chr1	120073873	120073887	-	0.000	0.000	Merged-chr1-120073802-51
NR3860--MA0089.1.MAFG::NFE2L1	chr15	5250304	5250309	+	0.000	0.000	Merged-chr15-5250378-18
NR132--MA0501.1.MAF::NFE2	chr1	58029748	58029762	+	0.000	0.000	Merged-chr1-58029750-23
NR4998--MA0117.2.Mafb	chr17	84308537	84308548	+	0.000	0.000	Merged-chr17-84308630-3
NR1726--MA0089.1.MAFG::NFE2L1	chr11	48788041	48788046	+	0.000	0.000	Merged-chr11-48788226-76
NR11361--MA0501.1.MAF::NFE2	chrX	167182472	167182486	-	0.000	0.000	Merged-chrX-167182631-37
NR6535--MA0501.1.MAF::NFE2	chr2	167363332	167363346	+	0.000	0.000	Merged-chr2-167363421-42
NR10400--MA0117.2.Mafb	chr8	111976532	111976543	-	0.000	0.000	Merged-chr8-111976573-47
NR2514--MA0591.1.Bach1::Mafk	chr12	91774863	91774877	+	0.000	0.000	Merged-chr12-91774838-26
NR1386--MA0496.2.MAFK	chr10	96231454	96231472	+	0.000	0.000	Merged-chr10-96231519-16
NR8677--MA0117.2.Mafb	chr6	3447530	3447541	+	0.000	0.000	Merged-chr6-3447560-31
NR2170--MA0501.1.MAF::NFE2	chr11	118212949	118212963	-	0.000	0.000	Merged-chr11-118212846-19
NR4149--MA0089.1.MAFG::NFE2L1	chr15	89123059	89123064	+	0.000	0.000	Merged-chr15-89123028-62
NR176--MA0089.1.MAFG::NFE2L1	chr1	62843348	62843353	-	0.000	0.000	Merged-chr1-62843391-6
NR2366--MA0089.1.MAFG::NFE2L1	chr12	55051437	55051442	+	0.000	0.000	Merged-chr12-55051446-14
NR5732--MA0496.2.MAFK	chr2	11637391	11637409	+	0.000	0.000	Merged-chr2-11637334-22
NR7266--MA0501.1.MAF::NFE2	chr3	153911643	153911657	+	0.000	0.000	Merged-chr3-153911762-31
NR9420--MA0496.2.MAFK	chr6	146516343	146516361	-	0.000	0.000	Merged-chr6-146516138-30
NR1537--MA0591.1.Bach1::Mafk	chr10	122815305	122815319	+	0.000	0.000	Merged-chr10-122815337-49
NR159--MA0495.2.MAFF	chr1	60875485	60875505	+	0.000	0.000	Merged-chr1-60875356-55
NR2174--MA0659.1.MAFG	chr11	118337579	118337599	+	0.000	0.000	Merged-chr11-118337723-52
NR898--MA0591.1.Bach1::Mafk	chr1	192770756	192770770	-	0.000	0.000	Merged-chr1-192770762-94
NR6296--MA0117.2.Mafb	chr2	132269428	132269439	-	0.000	0.000	Merged-chr2-132269487-27
NR8703--MA0591.1.Bach1::Mafk	chr6	8712324	8712338	+	0.000	0.000	Merged-chr6-8712206-28
NR8079--MA0089.1.MAFG::NFE2L1	chr5	24777062	24777067	+	0.000	0.000	Merged-chr5-24777004-40
NR4437--MA0495.2.MAFF	chr16	52879649	52879669	+	0.000	0.000	Merged-chr16-52879758-28
NR2668--MA0089.1.MAFG::NFE2L1	chr12	113023311	113023316	-	0.000	0.000	Merged-chr12-113023273-19
NR3407--MA0089.1.MAFG::NFE2L1	chr14	27351659	27351664	+	0.000	0.000	Merged-chr14-27351647-44
NR7265--MA0117.2.Mafb	chr3	153911649	153911660	-	0.000	0.000	Merged-chr3-153911762-31
NR3915--MA0501.1.MAF::NFE2	chr15	27325954	27325968	+	0.000	0.000	Merged-chr15-27326036-33
NR11264--MA0496.2.MAFK	chrX	103621839	103621857	+	0.000	0.000	Merged-chrX-103621915-2
NR669--MA0501.1.MAF::NFE2	chr1	171637023	171637037	-	0.000	0.000	Merged-chr1-171637086-23
NR941--MA0089.1.MAFG::NFE2L1	chr10	12842793	12842798	+	0.000	0.000	Merged-chr10-12842715-46
NR1667--MA0591.1.Bach1::Mafk	chr11	19993313	19993327	+	0.000	0.000	Merged-chr11-19993082-47
NR2935--MA0117.2.Mafb	chr13	52004069	52004080	-	0.000	0.000	Merged-chr13-52004248-54
NR289--MA0089.1.MAFG::NFE2L1	chr1	92473816	92473821	+	0.000	0.000	Merged-chr1-92473909-79
NR5430--MA0117.2.Mafb	chr19	5850313	5850324	+	0.000	0.000	Merged-chr19-5850230-41
NR9691--MA0117.2.Mafb	chr7	74698040	74698051	+	0.000	0.000	Merged-chr7-74698017-54
NR1435--MA0089.1.MAFG::NFE2L1	chr10	111214815	111214820	-	0.000	0.000	Merged-chr10-111214498-109
NR6483--MA0089.1.MAFG::NFE2L1	chr2	160741717	160741722	+	0.000	0.000	Merged-chr2-160741664-16
NR3913--MA0117.2.Mafb	chr15	25892947	25892958	-	0.000	0.000	Merged-chr15-25893072-12
NR4647--MA0496.2.MAFK	chr16	96711190	96711208	+	0.000	0.000	Merged-chr16-96711061-1
NR8835--MA0501.1.MAF::NFE2	chr6	51544473	51544487	-	0.000	0.000	Merged-chr6-51544589-23
NR7915--MA0089.1.MAFG::NFE2L1	chr4	150001504	150001509	+	0.000	0.000	Merged-chr4-150001453-41
NR7800--MA0089.1.MAFG::NFE2L1	chr4	136033569	136033574	-	0.000	0.000	Merged-chr4-136033547-7
NR7953--MA0495.2.MAFF	chr5	3358936	3358956	+	0.000	0.000	Merged-chr5-3358967-15
NR1984--MA0117.2.Mafb	chr11	94133385	94133396	-	0.000	0.000	Merged-chr11-94133597-36
NR3952--MA0501.1.MAF::NFE2	chr15	38122314	38122328	-	0.000	0.000	Merged-chr15-38122272-49
NR10688--MA0501.1.MAF::NFE2	chr9	32652416	32652430	+	0.000	0.000	Merged-chr9-32652377-47
NR7511--MA0089.1.MAFG::NFE2L1	chr4	83234360	83234365	-	0.000	0.000	Merged-chr4-83234214-31
NR7020--MA0089.1.MAFG::NFE2L1	chr3	115801433	115801438	-	0.000	0.000	Merged-chr3-115801349-115
NR9900--MA0495.2.MAFF	chr7	116409582	116409602	+	0.000	0.000	Merged-chr7-116409560-37
NR3931--MA0117.2.Mafb	chr15	31460756	31460767	+	0.000	0.000	Merged-chr15-31460865-20
NR6943--MA0591.1.Bach1::Mafk	chr3	105763609	105763623	+	0.000	0.000	Merged-chr3-105763665-52
NR410--MA0495.2.MAFF	chr1	133146148	133146168	+	0.000	0.000	Merged-chr1-133146237-29
NR8655--MA0089.1.MAFG::NFE2L1	chr5	150718068	150718073	-	0.000	0.000	Merged-chr5-150717955-23
NR2377--MA0089.1.MAFG::NFE2L1	chr12	70104880	70104885	+	0.000	0.000	Merged-chr12-70104994-28
NR3925--MA0495.2.MAFF	chr15	31356849	31356869	+	0.000	0.000	Merged-chr15-31357016-32
NR5523--MA0501.1.MAF::NFE2	chr19	29563489	29563503	+	0.000	0.000	Merged-chr19-29563613-18
NR8127--MA0117.2.Mafb	chr5	37051269	37051280	+	0.000	0.000	Merged-chr5-37051336-115
NR4738--MA0089.1.MAFG::NFE2L1	chr17	25014250	25014255	+	0.000	0.000	Merged-chr17-25014289-16
NR3318--MA0089.1.MAFG::NFE2L1	chr13	114887326	114887331	-	0.000	0.000	Merged-chr13-114887526-35
NR1709--MA0496.2.MAFK	chr11	43729109	43729127	+	0.000	0.000	Merged-chr11-43729040-41
NR1884--MA0591.1.Bach1::Mafk	chr11	75472963	75472977	+	0.000	0.000	Merged-chr11-75472911-35
NR8742--MA0089.1.MAFG::NFE2L1	chr6	22444298	22444303	+	0.000	0.000	Merged-chr6-22444466-21
NR5540--MA0496.2.MAFK	chr19	32262950	32262968	-	0.000	0.000	Merged-chr19-32262868-44
NR3393--MA0089.1.MAFG::NFE2L1	chr14	23465383	23465388	+	0.000	0.000	Merged-chr14-23465360-30
NR5575--MA0501.1.MAF::NFE2	chr19	40661356	40661370	-	0.000	0.000	Merged-chr19-40661209-23
NR9170--MA0591.1.Bach1::Mafk	chr6	120799651	120799665	+	0.000	0.000	Merged-chr6-120799783-44
NR967--MA0117.2.Mafb	chr10	19215058	19215069	+	0.000	0.000	Merged-chr10-19215120-16
NR5601--MA0591.1.Bach1::Mafk	chr19	46502312	46502326	+	0.000	0.000	Merged-chr19-46502185-13
NR10142--MA0501.1.MAF::NFE2	chr8	34142939	34142953	-	0.000	0.000	Merged-chr8-34142846-49
NR3310--MA0501.1.MAF::NFE2	chr13	113322300	113322314	-	0.000	0.000	Merged-chr13-113322180-25
NR7662--MA0501.1.MAF::NFE2	chr4	116301277	116301291	+	0.000	0.000	Merged-chr4-116301152-13
NR3505--MA0089.1.MAFG::NFE2L1	chr14	55913539	55913544	+	0.000	0.000	Merged-chr14-55913661-13
NR2275--MA0089.1.MAFG::NFE2L1	chr12	25209010	25209015	-	0.000	0.000	Merged-chr12-25209047-25
NR7955--MA0117.2.Mafb	chr5	3358945	3358956	-	0.000	0.000	Merged-chr5-3358967-15
NR8755--MA0089.1.MAFG::NFE2L1	chr6	30171626	30171631	+	0.000	0.000	Merged-chr6-30171611-7
NR9667--MA0496.2.MAFK	chr7	67353743	67353761	-	0.000	0.000	Merged-chr7-67353683-35
NR10332--MA0495.2.MAFF	chr8	94186724	94186744	+	0.000	0.000	Merged-chr8-94186753-31
NR3782--MA0089.1.MAFG::NFE2L1	chr14	120303421	120303426	-	0.000	0.000	Merged-chr14-120303374-10
NR6304--MA0501.1.MAF::NFE2	chr2	135737701	135737715	-	0.000	0.000	Merged-chr2-135737673-31
NR10665--MA0117.2.Mafb	chr9	21161629	21161640	+	0.000	0.000	Merged-chr9-21161494-64
NR4478--MA0495.2.MAFF	chr16	64796757	64796777	+	0.000	0.000	Merged-chr16-64796887-9
NR10222--MA0659.1.MAFG	chr8	69189008	69189028	-	0.000	0.000	Merged-chr8-69189155-7
NR412--MA0117.2.Mafb	chr1	133146148	133146159	+	0.000	0.000	Merged-chr1-133146237-29
NR8351--MA0089.1.MAFG::NFE2L1	chr5	105541195	105541200	+	0.000	0.000	Merged-chr5-105541026-23
NR1658--MA0659.1.MAFG	chr11	11766210	11766230	+	0.000	0.000	Merged-chr11-11766225-56
NR8157--MA0495.2.MAFF	chr5	53401309	53401329	-	0.000	0.000	Merged-chr5-53401251-38
NR536--MA0591.1.Bach1::Mafk	chr1	153304722	153304736	-	0.000	0.000	Merged-chr1-153304811-42
NR9986--MA0089.1.MAFG::NFE2L1	chr7	126774714	126774719	-	0.000	0.000	Merged-chr7-126774751-6
NR5257--MA0501.1.MAF::NFE2	chr18	64516556	64516570	+	0.000	0.000	Merged-chr18-64516532-71
NR850--MA0089.1.MAFG::NFE2L1	chr1	189675706	189675711	-	0.000	0.000	Merged-chr1-189675672-22
NR1026--MA0591.1.Bach1::Mafk	chr10	26799629	26799643	+	0.000	0.000	Merged-chr10-26799592-100
NR4158--MA0501.1.MAF::NFE2	chr15	93552310	93552324	+	0.000	0.000	Merged-chr15-93552269-41
NR9664--MA0591.1.Bach1::Mafk	chr7	67353745	67353759	-	0.000	0.000	Merged-chr7-67353683-35
NR3495--MA0496.2.MAFK	chr14	54259258	54259276	-	0.000	0.000	Merged-chr14-54259345-44
NR3943--MA0501.1.MAF::NFE2	chr15	36640982	36640996	-	0.000	0.000	Merged-chr15-36640954-48
NR5677--MA0117.2.Mafb	chr2	3764423	3764434	-	0.000	0.000	Merged-chr2-3764311-29
NR9582--MA0089.1.MAFG::NFE2L1	chr7	44553627	44553632	+	0.000	0.000	Merged-chr7-44553464-1
NR10297--MA0089.1.MAFG::NFE2L1	chr8	86077471	86077476	-	0.000	0.000	Merged-chr8-86077410-12
NR4043--MA0089.1.MAFG::NFE2L1	chr15	64191474	64191479	+	0.000	0.000	Merged-chr15-64191593-19
NR7824--MA0089.1.MAFG::NFE2L1	chr4	140948246	140948251	-	0.000	0.000	Merged-chr4-140948211-54
NR4283--MA0591.1.Bach1::Mafk	chr16	19975630	19975644	+	0.000	0.000	Merged-chr16-19975535-20
NR438--MA0501.1.MAF::NFE2	chr1	136458838	136458852	+	0.000	0.000	Merged-chr1-136458989-12
NR3201--MA0089.1.MAFG::NFE2L1	chr13	105377194	105377199	-	0.000	0.000	Merged-chr13-105377302-26
NR1949--MA0591.1.Bach1::Mafk	chr11	87074104	87074118	-	0.000	0.000	Merged-chr11-87073947-35
NR666--MA0591.1.Bach1::Mafk	chr1	171607249	171607263	-	0.000	0.000	Merged-chr1-171607234-71
NR4035--MA0495.2.MAFF	chr15	64041700	64041720	+	0.000	0.000	Merged-chr15-64041818-65
NR9809--MA0089.1.MAFG::NFE2L1	chr7	102210431	102210436	+	0.000	0.000	Merged-chr7-102210325-100
NR7412--MA0495.2.MAFF	chr4	46560560	46560580	-	0.000	0.000	Merged-chr4-46560470-31
NR8955--MA0089.1.MAFG::NFE2L1	chr6	91440937	91440942	+	0.000	0.000	Merged-chr6-91441090-75
NR7962--MA0496.2.MAFK	chr5	3358937	3358955	+	0.000	0.000	Merged-chr5-3358967-15
NR2177--MA0496.2.MAFK	chr11	118337580	118337598	-	0.000	0.000	Merged-chr11-118337723-52
NR7911--MA0089.1.MAFG::NFE2L1	chr4	149680854	149680859	-	0.000	0.000	Merged-chr4-149680900-7
NR9884--MA0089.1.MAFG::NFE2L1	chr7	114069322	114069327	+	0.000	0.000	Merged-chr7-114069379-29
NR10599--MA0089.1.MAFG::NFE2L1	chr8	126971098	126971103	-	0.000	0.000	Merged-chr8-126971027-48
NR8767--MA0501.1.MAF::NFE2	chr6	31220343	31220357	-	0.000	0.000	Merged-chr6-31220407-8
NR4969--MA0591.1.Bach1::Mafk	chr17	80520741	80520755	+	0.000	0.000	Merged-chr17-80520754-23
NR2777--MA0089.1.MAFG::NFE2L1	chr13	8400881	8400886	+	0.000	0.000	Merged-chr13-8400702-31
NR4037--MA0659.1.MAFG	chr15	64041700	64041720	+	0.000	0.000	Merged-chr15-64041818-65
NR5823--MA0501.1.MAF::NFE2	chr2	34982237	34982251	+	0.000	0.000	Merged-chr2-34982434-20
NR5361--MA0089.1.MAFG::NFE2L1	chr18	80455661	80455666	-	0.000	0.000	Merged-chr18-80455760-29
NR67--MA0495.2.MAFF	chr1	37308181	37308201	+	0.000	0.000	Merged-chr1-37308112-49
NR7980--MA0496.2.MAFK	chr5	8075507	8075525	+	0.000	0.000	Merged-chr5-8075370-38
NR11136--MA0089.1.MAFG::NFE2L1	chrX	13552560	13552565	-	0.000	0.000	Merged-chrX-13552455-23
NR1068--MA0089.1.MAFG::NFE2L1	chr10	42701653	42701658	+	0.000	0.000	Merged-chr10-42701771-5
NR9804--MA0117.2.Mafb	chr7	101348429	101348440	-	0.000	0.000	Merged-chr7-101348573-1
NR6492--MA0089.1.MAFG::NFE2L1	chr2	163102407	163102412	+	0.000	0.000	Merged-chr2-163102412-2
NR540--MA0496.2.MAFK	chr1	153304720	153304738	+	0.000	0.000	Merged-chr1-153304811-42
NR746--MA0496.2.MAFK	chr1	182528173	182528191	-	0.000	0.000	Merged-chr1-182528373-67
NR6765--MA0496.2.MAFK	chr3	55424096	55424114	+	0.000	0.000	Merged-chr3-55424109-16
NR5778--MA0089.1.MAFG::NFE2L1	chr2	28180224	28180229	+	0.000	0.000	Merged-chr2-28180315-8
NR385--MA0089.1.MAFG::NFE2L1	chr1	126040045	126040050	+	0.000	0.000	Merged-chr1-126040245-1
NR4734--MA0089.1.MAFG::NFE2L1	chr17	24669586	24669591	-	0.000	0.000	Merged-chr17-24669740-50
NR10800--MA0591.1.Bach1::Mafk	chr9	64253677	64253691	+	0.000	0.000	Merged-chr9-64253507-68
NR7517--MA0117.2.Mafb	chr4	87893227	87893238	-	0.000	0.000	Merged-chr4-87893124-1
NR69--MA0659.1.MAFG	chr1	37308181	37308201	+	0.000	0.000	Merged-chr1-37308112-49
NR8177--MA0117.2.Mafb	chr5	64024637	64024648	+	0.000	0.000	Merged-chr5-64024575-33
