#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR335--MA0508.2.PRDM1	chr11	109166626	109166635	-	0.000	0.000	Merged-chr11-109166641-10
NR606--MA0508.2.PRDM1	chr15	38101430	38101439	-	0.000	0.000	Merged-chr15-38101336-28
NR173--MA0508.2.PRDM1	chr10	57463527	57463536	+	0.000	0.000	Merged-chr10-57463564-15
NR715--MA0508.2.PRDM1	chr16	78532151	78532160	-	0.000	0.000	Merged-chr16-78532286-51
NR239--MA0508.2.PRDM1	chr10	117571672	117571681	+	0.000	0.000	Merged-chr10-117571495-58
NR1129--MA0508.2.PRDM1	chr3	84679076	84679085	+	0.000	0.000	Merged-chr3-84679070-45
NR205--MA0508.2.PRDM1	chr10	88826719	88826728	-	0.000	0.000	Merged-chr10-88826786-54
NR1791--MA0508.2.PRDM1	chr9	58271320	58271329	-	0.000	0.000	Merged-chr9-58271289-37
NR109--MA0508.2.PRDM1	chr1	173536088	173536097	-	0.000	0.000	Merged-chr1-173535900-60
NR837--MA0508.2.PRDM1	chr18	34759304	34759313	+	0.000	0.000	Merged-chr18-34759316-108
NR1108--MA0508.2.PRDM1	chr3	52863250	52863259	+	0.000	0.000	Merged-chr3-52863330-16
NR675--MA0508.2.PRDM1	chr16	27349519	27349528	-	0.000	0.000	Merged-chr16-27349554-54
NR261--MA0508.2.PRDM1	chr10	130337465	130337474	+	0.000	0.000	Merged-chr10-130337662-26
NR327--MA0508.2.PRDM1	chr11	101448428	101448437	-	0.000	0.000	Merged-chr11-101448490-55
NR165--MA0508.2.PRDM1	chr10	42701643	42701652	-	0.000	0.000	Merged-chr10-42701771-5
NR707--MA0508.2.PRDM1	chr16	57131012	57131021	-	0.000	0.000	Merged-chr16-57131008-16
NR1531--MA0508.2.PRDM1	chr6	135011572	135011581	-	0.000	0.000	Merged-chr6-135011680-51
NR1802--MA0508.2.PRDM1	chr9	64831979	64831988	-	0.000	0.000	Merged-chr9-64831906-29
NR1783--MA0508.2.PRDM1	chr9	53773766	53773775	+	0.000	0.000	Merged-chr9-53773717-9
NR667--MA0508.2.PRDM1	chr16	10769881	10769890	+	0.000	0.000	Merged-chr16-10769811-36
NR1510--MA0508.2.PRDM1	chr6	120124993	120125002	+	0.000	0.000	Merged-chr6-120124865-39
NR1491--MA0508.2.PRDM1	chr6	94646499	94646508	-	0.000	0.000	Merged-chr6-94646597-32
NR266--MA0508.2.PRDM1	chr11	6267807	6267816	+	0.000	0.000	Merged-chr11-6267788-45
NR808--MA0508.2.PRDM1	chr17	71190727	71190736	-	0.000	0.000	Merged-chr17-71190756-15
NR898--MA0508.2.PRDM1	chr19	11055829	11055838	+	0.000	0.000	Merged-chr19-11055893-27
NR279--MA0508.2.PRDM1	chr11	40718501	40718510	-	0.000	0.000	Merged-chr11-40718408-12
NR407--MA0508.2.PRDM1	chr12	105733785	105733794	-	0.000	0.000	Merged-chr12-105733581-8
NR1470--MA0508.2.PRDM1	chr6	57529550	57529559	+	0.000	0.000	Merged-chr6-57529378-24
NR1231--MA0508.2.PRDM1	chr4	46641382	46641391	-	0.000	0.000	Merged-chr4-46641506-27
NR529--MA0508.2.PRDM1	chr14	7986956	7986965	-	0.000	0.000	Merged-chr14-7987076-7
NR1720--MA0508.2.PRDM1	chr8	88362331	88362340	+	0.000	0.000	Merged-chr8-88362163-113
NR1876--MA0508.2.PRDM1	chrX	103622468	103622477	+	0.000	0.000	Merged-chrX-103622282-68
NR1571--MA0508.2.PRDM1	chr7	25835656	25835665	+	0.000	0.000	Merged-chr7-25835602-47
NR598--MA0508.2.PRDM1	chr15	27784087	27784096	+	0.000	0.000	Merged-chr15-27783998-63
NR1061--MA0508.2.PRDM1	chr2	147895812	147895821	-	0.000	0.000	Merged-chr2-147895728-19
NR1868--MA0508.2.PRDM1	chrX	70385620	70385629	+	0.000	0.000	Merged-chrX-70385731-95
NR229--MA0508.2.PRDM1	chr10	111100282	111100291	+	0.000	0.000	Merged-chr10-111100246-10
NR338--MA0508.2.PRDM1	chr11	110897214	110897223	+	0.000	0.000	Merged-chr11-110897111-25
NR1576--MA0508.2.PRDM1	chr7	29991547	29991556	-	0.000	0.000	Merged-chr7-29991563-13
NR1542--MA0508.2.PRDM1	chr6	142752600	142752609	+	0.000	0.000	Merged-chr6-142752635-30
NR1794--MA0508.2.PRDM1	chr9	61332385	61332394	+	0.000	0.000	Merged-chr9-61332388-31
NR298--MA0508.2.PRDM1	chr11	72946478	72946487	-	0.000	0.000	Merged-chr11-72946553-29
NR870--MA0508.2.PRDM1	chr18	74880281	74880290	-	0.000	0.000	Merged-chr18-74880525-86
NR1412--MA0508.2.PRDM1	chr5	124022579	124022588	+	0.000	0.000	Merged-chr5-124022476-27
NR1393--MA0508.2.PRDM1	chr5	108001108	108001117	+	0.000	0.000	Merged-chr5-108001250-29
NR1316--MA0508.2.PRDM1	chr4	147848475	147848484	-	0.000	0.000	Merged-chr4-147848412-69
NR1568--MA0508.2.PRDM1	chr7	16201347	16201356	+	0.000	0.000	Merged-chr7-16201318-27
NR740--MA0508.2.PRDM1	chr17	5747919	5747928	+	0.000	0.000	Merged-chr17-5748141-46
NR1154--MA0508.2.PRDM1	chr3	104938090	104938099	-	0.000	0.000	Merged-chr3-104938092-13
NR1425--MA0508.2.PRDM1	chr5	144753283	144753292	+	0.000	0.000	Merged-chr5-144753020-44
NR992--MA0508.2.PRDM1	chr2	79087414	79087423	-	0.000	0.000	Merged-chr2-79087442-58
NR1011--MA0508.2.PRDM1	chr2	106003263	106003272	+	0.000	0.000	Merged-chr2-106003306-49
NR1120--MA0508.2.PRDM1	chr3	68056599	68056608	-	0.000	0.000	Merged-chr3-68056784-48
NR1276--MA0508.2.PRDM1	chr4	128728608	128728617	-	0.000	0.000	Merged-chr4-128728655-13
NR1590--MA0508.2.PRDM1	chr7	49462669	49462678	+	0.000	0.000	Merged-chr7-49462687-57
NR1385--MA0508.2.PRDM1	chr5	105609879	105609888	+	0.000	0.000	Merged-chr5-105609798-27
NR1656--MA0508.2.PRDM1	chr7	127746164	127746173	-	0.000	0.000	Merged-chr7-127746259-1
NR1242--MA0508.2.PRDM1	chr4	63639076	63639085	-	0.000	0.000	Merged-chr4-63639054-20
NR732--MA0508.2.PRDM1	chr16	94660625	94660634	-	0.000	0.000	Merged-chr16-94660460-20
NR1080--MA0508.2.PRDM1	chr2	167621494	167621503	+	0.000	0.000	Merged-chr2-167621504-22
NR1351--MA0508.2.PRDM1	chr5	64959265	64959274	-	0.000	0.000	Merged-chr5-64959516-90
NR1398--MA0508.2.PRDM1	chr5	114824207	114824216	+	0.000	0.000	Merged-chr5-114824362-38
NR1003--MA0508.2.PRDM1	chr2	92243956	92243965	-	0.000	0.000	Merged-chr2-92243919-9
NR1669--MA0508.2.PRDM1	chr7	140983181	140983190	+	0.000	0.000	Merged-chr7-140983161-18
NR1526--MA0508.2.PRDM1	chr6	131418737	131418746	+	0.000	0.000	Merged-chr6-131418903-28
NR1112--MA0508.2.PRDM1	chr3	59120161	59120170	-	0.000	0.000	Merged-chr3-59120352-78
NR1778--MA0508.2.PRDM1	chr9	44772236	44772245	+	0.000	0.000	Merged-chr9-44772185-16
NR950--MA0508.2.PRDM1	chr2	18765828	18765837	-	0.000	0.000	Merged-chr2-18765910-35
NR1364--MA0508.2.PRDM1	chr5	77253288	77253297	-	0.000	0.000	Merged-chr5-77253463-13
NR1887--MA0508.2.PRDM1	chrX	163869098	163869107	+	0.000	0.000	Merged-chrX-163869062-41
NR854--MA0508.2.PRDM1	chr18	62188971	62188980	+	0.000	0.000	Merged-chr18-62189000-72
NR1473--MA0508.2.PRDM1	chr6	65585172	65585181	+	0.000	0.000	Merged-chr6-65585243-27
NR692--MA0508.2.PRDM1	chr16	49772880	49772889	-	0.000	0.000	Merged-chr16-49772867-33
NR1648--MA0508.2.PRDM1	chr7	119866786	119866795	-	0.000	0.000	Merged-chr7-119866666-5
NR14--MA0508.2.PRDM1	chr1	51572857	51572866	-	0.000	0.000	Merged-chr1-51572755-47
NR1486--MA0508.2.PRDM1	chr6	84802877	84802886	-	0.000	0.000	Merged-chr6-84802793-2
NR27--MA0508.2.PRDM1	chr1	82869940	82869949	+	0.000	0.000	Merged-chr1-82869741-41
NR562--MA0508.2.PRDM1	chr14	69241602	69241611	+	0.000	0.000	Merged-chr14-69241687-19
NR1723--MA0508.2.PRDM1	chr8	94354661	94354670	+	0.000	0.000	Merged-chr8-94354585-34
NR1518--MA0508.2.PRDM1	chr6	125493130	125493139	+	0.000	0.000	Merged-chr6-125493098-13
NR1499--MA0508.2.PRDM1	chr6	100841712	100841721	+	0.000	0.000	Merged-chr6-100841733-15
NR942--MA0508.2.PRDM1	chr2	9520088	9520097	-	0.000	0.000	Merged-chr2-9520151-55
NR1290--MA0508.2.PRDM1	chr4	135895473	135895482	-	0.000	0.000	Merged-chr4-135895375-12
NR1627--MA0508.2.PRDM1	chr7	101341586	101341595	+	0.000	0.000	Merged-chr7-101341598-26
NR1465--MA0508.2.PRDM1	chr6	50542796	50542805	+	0.000	0.000	Merged-chr6-50542752-2
NR432--MA0508.2.PRDM1	chr12	116620104	116620113	+	0.000	0.000	Merged-chr12-116620074-47
NR703--MA0508.2.PRDM1	chr16	55637018	55637027	+	0.000	0.000	Merged-chr16-55636906-56
NR1117--MA0508.2.PRDM1	chr3	60537283	60537292	+	0.000	0.000	Merged-chr3-60537221-29
NR684--MA0508.2.PRDM1	chr16	36057762	36057771	-	0.000	0.000	Merged-chr16-36057640-19
NR1845--MA0508.2.PRDM1	chr9	116223603	116223612	+	0.000	0.000	Merged-chr9-116223599-38
NR1098--MA0508.2.PRDM1	chr3	19240100	19240109	-	0.000	0.000	Merged-chr3-19240113-21
NR1369--MA0508.2.PRDM1	chr5	92327576	92327585	-	0.000	0.000	Merged-chr5-92327493-24
NR812--MA0508.2.PRDM1	chr17	73814695	73814704	-	0.000	0.000	Merged-chr17-73814943-62
NR1226--MA0508.2.PRDM1	chr4	40845787	40845796	-	0.000	0.000	Merged-chr4-40845579-27
NR1749--MA0508.2.PRDM1	chr8	121898697	121898706	-	0.000	0.000	Merged-chr8-121898554-47
NR1064--MA0508.2.PRDM1	chr2	150915348	150915357	-	0.000	0.000	Merged-chr2-150915256-26
NR1335--MA0508.2.PRDM1	chr5	24041422	24041431	+	0.000	0.000	Merged-chr5-24041571-31
NR1606--MA0508.2.PRDM1	chr7	75416301	75416310	+	0.000	0.000	Merged-chr7-75416159-31
NR19--MA0508.2.PRDM1	chr1	59180231	59180240	-	0.000	0.000	Merged-chr1-59180254-19
NR825--MA0508.2.PRDM1	chr17	86187956	86187965	-	0.000	0.000	Merged-chr17-86187981-35
NR140--MA0508.2.PRDM1	chr10	8370263	8370272	+	0.000	0.000	Merged-chr10-8370203-10
NR1030--MA0508.2.PRDM1	chr2	126252454	126252463	+	0.000	0.000	Merged-chr2-126252361-10
NR62--MA0508.2.PRDM1	chr1	132341854	132341863	-	0.000	0.000	Merged-chr1-132341932-46
NR1619--MA0508.2.PRDM1	chr7	90074607	90074616	-	0.000	0.000	Merged-chr7-90074700-23
NR520--MA0508.2.PRDM1	chr13	113104962	113104971	+	0.000	0.000	Merged-chr13-113104978-22
NR1457--MA0508.2.PRDM1	chr6	42324304	42324313	-	0.000	0.000	Merged-chr6-42324232-2
NR424--MA0508.2.PRDM1	chr12	115027192	115027201	+	0.000	0.000	Merged-chr12-115027175-2
NR1837--MA0508.2.PRDM1	chr9	109000832	109000841	+	0.000	0.000	Merged-chr9-109000906-26
NR262--MA0508.2.PRDM1	chr11	3105458	3105467	+	0.000	0.000	Merged-chr11-3105314-74
NR1152--MA0508.2.PRDM1	chr3	101610907	101610916	-	0.000	0.000	Merged-chr3-101610932-6
NR1218--MA0508.2.PRDM1	chr4	9066486	9066495	+	0.000	0.000	Merged-chr4-9066622-31
NR785--MA0508.2.PRDM1	chr17	45703389	45703398	-	0.000	0.000	Merged-chr17-45703436-19
NR371--MA0508.2.PRDM1	chr12	69537945	69537954	-	0.000	0.000	Merged-chr12-69537994-76
NR913--MA0508.2.PRDM1	chr19	32172665	32172674	+	0.000	0.000	Merged-chr19-32172725-56
NR817--MA0508.2.PRDM1	chr17	79016040	79016049	-	0.000	0.000	Merged-chr17-79016098-11
NR1707--MA0508.2.PRDM1	chr8	71542729	71542738	-	0.000	0.000	Merged-chr8-71542903-45
NR403--MA0508.2.PRDM1	chr12	104062022	104062031	+	0.000	0.000	Merged-chr12-104062030-43
NR1022--MA0508.2.PRDM1	chr2	117089713	117089722	-	0.000	0.000	Merged-chr2-117089625-28
NR1688--MA0508.2.PRDM1	chr8	22808479	22808488	-	0.000	0.000	Merged-chr8-22808418-90
NR860--MA0508.2.PRDM1	chr18	66442189	66442198	+	0.000	0.000	Merged-chr18-66442128-39
NR384--MA0508.2.PRDM1	chr12	80198741	80198750	+	0.000	0.000	Merged-chr12-80198800-18
NR1274--MA0508.2.PRDM1	chr4	126278105	126278114	-	0.000	0.000	Merged-chr4-126278129-23
NR241--MA0508.2.PRDM1	chr10	117975532	117975541	-	0.000	0.000	Merged-chr10-117975710-27
NR1797--MA0508.2.PRDM1	chr9	62349320	62349329	+	0.000	0.000	Merged-chr9-62349502-36
NR764--MA0508.2.PRDM1	chr17	29584476	29584485	+	0.000	0.000	Merged-chr17-29584339-4
NR1449--MA0508.2.PRDM1	chr6	38342440	38342449	+	0.000	0.000	Merged-chr6-38342518-71
NR873--MA0508.2.PRDM1	chr18	80496025	80496034	-	0.000	0.000	Merged-chr18-80495918-16
NR1287--MA0508.2.PRDM1	chr4	134273506	134273515	+	0.000	0.000	Merged-chr4-134273569-45
NR8--MA0508.2.PRDM1	chr1	36883963	36883972	-	0.000	0.000	Merged-chr1-36883943-16
NR254--MA0508.2.PRDM1	chr10	128232264	128232273	+	0.000	0.000	Merged-chr10-128232191-128
NR1144--MA0508.2.PRDM1	chr3	96764769	96764778	+	0.000	0.000	Merged-chr3-96764776-19
NR777--MA0508.2.PRDM1	chr17	36023756	36023765	-	0.000	0.000	Merged-chr17-36023858-33
NR634--MA0508.2.PRDM1	chr15	80697716	80697725	+	0.000	0.000	Merged-chr15-80697819-49
NR905--MA0508.2.PRDM1	chr19	18591303	18591312	-	0.000	0.000	Merged-chr19-18591291-34
NR220--MA0508.2.PRDM1	chr10	98776467	98776476	+	0.000	0.000	Merged-chr10-98776574-38
NR886--MA0508.2.PRDM1	chr18	89159488	89159497	-	0.000	0.000	Merged-chr18-89159613-61
NR472--MA0508.2.PRDM1	chr13	54209589	54209598	-	0.000	0.000	Merged-chr13-54209586-83
NR600--MA0508.2.PRDM1	chr15	28159183	28159192	-	0.000	0.000	Merged-chr15-28159214-52
NR852--MA0508.2.PRDM1	chr18	61614597	61614606	+	0.000	0.000	Merged-chr18-61614590-32
NR918--MA0508.2.PRDM1	chr19	34607771	34607780	+	0.000	0.000	Merged-chr19-34607589-82
NR1123--MA0508.2.PRDM1	chr3	75939672	75939681	-	0.000	0.000	Merged-chr3-75939658-25
NR756--MA0508.2.PRDM1	chr17	24895523	24895532	+	0.000	0.000	Merged-chr17-24895385-66
NR103--MA0508.2.PRDM1	chr1	170167939	170167948	-	0.000	0.000	Merged-chr1-170167960-28
NR1245--MA0508.2.PRDM1	chr4	71291898	71291907	+	0.000	0.000	Merged-chr4-71291736-94
NR212--MA0508.2.PRDM1	chr10	94552159	94552168	+	0.000	0.000	Merged-chr10-94552139-57
NR878--MA0508.2.PRDM1	chr18	82537331	82537340	-	0.000	0.000	Merged-chr18-82537240-31
NR464--MA0508.2.PRDM1	chr13	34163153	34163162	+	0.000	0.000	Merged-chr13-34163217-77
NR321--MA0508.2.PRDM1	chr11	97104325	97104334	+	0.000	0.000	Merged-chr11-97104187-33
NR1006--MA0508.2.PRDM1	chr2	103672987	103672996	-	0.000	0.000	Merged-chr2-103672845-28
NR844--MA0508.2.PRDM1	chr18	46917849	46917858	+	0.000	0.000	Merged-chr18-46917814-10
NR701--MA0508.2.PRDM1	chr16	52468480	52468489	+	0.000	0.000	Merged-chr16-52468577-24
NR477--MA0508.2.PRDM1	chr13	63112792	63112801	+	0.000	0.000	Merged-chr13-63112828-16
NR748--MA0508.2.PRDM1	chr17	15816635	15816644	+	0.000	0.000	Merged-chr17-15816733-57
NR857--MA0508.2.PRDM1	chr18	65395858	65395867	-	0.000	0.000	Merged-chr18-65395765-31
NR313--MA0508.2.PRDM1	chr11	86429108	86429117	+	0.000	0.000	Merged-chr11-86429163-19
NR1107--MA0508.2.PRDM1	chr3	52863244	52863253	+	0.000	0.000	Merged-chr3-52863330-16
NR674--MA0508.2.PRDM1	chr16	27349410	27349419	-	0.000	0.000	Merged-chr16-27349554-54
NR945--MA0508.2.PRDM1	chr2	10101440	10101449	-	0.000	0.000	Merged-chr2-10101354-20
NR260--MA0508.2.PRDM1	chr10	130322868	130322877	-	0.000	0.000	Merged-chr10-130322822-49
NR531--MA0508.2.PRDM1	chr14	15770067	15770076	+	0.000	0.000	Merged-chr14-15770075-60
NR578--MA0508.2.PRDM1	chr14	103719037	103719046	+	0.000	0.000	Merged-chr14-103719095-60
NR164--MA0508.2.PRDM1	chr10	41536793	41536802	+	0.000	0.000	Merged-chr10-41536893-12
NR86--MA0508.2.PRDM1	chr1	155505876	155505885	-	0.000	0.000	Merged-chr1-155505844-22
NR958--MA0508.2.PRDM1	chr2	29054435	29054444	+	0.000	0.000	Merged-chr2-29054435-74
NR1229--MA0508.2.PRDM1	chr4	45819354	45819363	+	0.000	0.000	Merged-chr4-45819324-1
NR796--MA0508.2.PRDM1	chr17	50580594	50580603	-	0.000	0.000	Merged-chr17-50580565-35
NR401--MA0508.2.PRDM1	chr12	102877476	102877485	-	0.000	0.000	Merged-chr12-102877557-6
NR1801--MA0508.2.PRDM1	chr9	64179231	64179240	-	0.000	0.000	Merged-chr9-64179300-60
NR382--MA0508.2.PRDM1	chr12	79522671	79522680	+	0.000	0.000	Merged-chr12-79522633-19
NR653--MA0508.2.PRDM1	chr15	97373996	97374005	-	0.000	0.000	Merged-chr15-97373973-3
NR177--MA0508.2.PRDM1	chr10	61336241	61336250	-	0.000	0.000	Merged-chr10-61336292-21
NR491--MA0508.2.PRDM1	chr13	91224129	91224138	+	0.000	0.000	Merged-chr13-91224009-83
NR286--MA0508.2.PRDM1	chr11	52004191	52004200	+	0.000	0.000	Merged-chr11-52004219-51
NR1891--MA0508.2.PRDM1	chrX	167231346	167231355	+	0.000	0.000	Merged-chrX-167231316-28
NR209--MA0508.2.PRDM1	chr10	94021281	94021290	+	0.000	0.000	Merged-chr10-94021256-59
NR666--MA0508.2.PRDM1	chr16	10741345	10741354	+	0.000	0.000	Merged-chr16-10741370-34
NR299--MA0508.2.PRDM1	chr11	72954003	72954012	-	0.000	0.000	Merged-chr11-72953852-64
NR1189--MA0508.2.PRDM1	chr3	139033227	139033236	+	0.000	0.000	Merged-chr3-139033383-15
NR265--MA0508.2.PRDM1	chr11	4804243	4804252	+	0.000	0.000	Merged-chr11-4804243-58
NR374--MA0508.2.PRDM1	chr12	73647835	73647844	-	0.000	0.000	Merged-chr12-73647879-51
NR483--MA0508.2.PRDM1	chr13	76128738	76128747	+	0.000	0.000	Merged-chr13-76128854-26
